"UniProtKB_ac"	"iso_id"	"uniprot_seq_length"	"coordinate_id"	"provider"	"from"	"to"	"template"	"qmean"	"qmean_norm"	"url"	"mapid"	"id_mapping"	"chain"	"chain_new"	"id_mapping_chain"	"pident"	"mismatch"	"qstart2"	"qend2"	"sstart2"	"send2"	"Resolution"	"Coverage"	"pdb_length"	"locus"
"Q12285"	""	212	"5a9af7f375daaa1bb7d23415"	"PDB"	70	152	"4a20"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q12285.pdb?from=70&to=152&template=4a20&provider=pdb"	"70_152_4a20_5a9af7f375daaa1bb7d23415"	"Q12285@4a20"	"A"	"A"	"Q12285@4a20@A"	100	0	1	80	72	151	1.78	0.372641509433962	79	"YOL111C"
"Q12285"	""	212	"5a9afdbc75daaa65e3fb1ebc"	"PDB"	3	56	"3lku"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q12285.pdb?from=3&to=56&template=3lku&provider=pdb"	"3_56_3lku_5a9afdbc75daaa65e3fb1ebc"	"Q12285@3lku"	"B;D;F"	"F"	"Q12285@3lku@F"	100	0	1	54	3	56	2.8	0.25	53	"YOL111C"
"P35187"	""	1447	"5a9b11f175daaa07d95940c2"	"PDB"	1271	1351	"1d8b"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P35187.pdb?from=1271&to=1351&template=1d8b&provider=pdb"	"1271_1351_1d8b_5a9b11f175daaa07d95940c2"	"P35187@1d8b"	"A"	"A"	"P35187@1d8b@A"	100	0	1	81	1271	1351	NA	0.055286800276434	80	"YMR190C"
"P53091"	""	1017	"5a9b099f75daaa1521d96dc5"	"PDB"	1	1017	"3jc6"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P53091.pdb?from=1&to=1017&template=3jc6&provider=pdb"	"1_1017_3jc6_5a9b099f75daaa1521d96dc5"	"P53091@3jc6"	"6"	"6"	"P53091@3jc6@6"	100	0	1	99	97	195	3.7	0.0963618485742379	98	"YGL201C"
"P31109"	""	117	"5a9b254f75daaa100e77a422"	"PDB"	27	86	"3b5n"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P31109.pdb?from=27&to=86&template=3b5n&provider=pdb"	"27_86_3b5n_5a9b254f75daaa100e77a422"	"P31109@3b5n"	"A;E;I"	"A"	"P31109@3b5n@A"	100	0	2	61	27	86	1.6	0.504273504273504	59	"YAL030W"
"P11746"	""	286	"5a9b248b75daaa05ad58ff34"	"PDB"	1	100	"1mnm"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P11746.pdb?from=1&to=100&template=1mnm&provider=pdb"	"1_100_1mnm_5a9b248b75daaa05ad58ff34"	"P11746@1mnm"	"A;B"	"A"	"P11746@1mnm@A"	100	0	1	85	15	99	2.25	0.293706293706294	84	"YMR043W"
"Q12488"	""	208	"5a9b099f75daaa1521d96dc5"	"PDB"	1	208	"3jc6"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q12488.pdb?from=1&to=208&template=3jc6&provider=pdb"	"1_208_3jc6_5a9b099f75daaa1521d96dc5"	"Q12488@3jc6"	"A"	"A"	"Q12488@3jc6@A"	100	0	1	208	1	208	3.7	0.995192307692308	207	"YDR013W"
"P39678"	""	833	"5a9b0df975daaa4c7039ff5e"	"PDB"	4	102	"1bm8"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P39678.pdb?from=4&to=102&template=1bm8&provider=pdb"	"4_102_1bm8_5a9b0df975daaa4c7039ff5e"	"P39678@1bm8"	"A"	"A"	"P39678@1bm8@A"	100	0	1	99	4	102	1.71	0.117647058823529	98	"YDL056W"
"P22336"	""	621	"5b20b14702efd01923d51957"	"PDB"	181	294	"1ynx"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P22336.pdb?from=181&to=294&template=1ynx&provider=pdb"	"181_294_1ynx_5b20b14702efd01923d51957"	"P22336@1ynx"	"A"	"A"	"P22336@1ynx@A"	100	0	1	114	181	294	NA	0.181964573268921	113	"YAR007C"
"P25491"	""	409	"5af2917602efd06240ac87bb"	"PDB"	1	70	"5vso"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P25491.pdb?from=1&to=70&template=5vso&provider=pdb"	"1_70_5vso_5af2917602efd06240ac87bb"	"P25491@5vso"	"A"	"A"	"P25491@5vso@A"	100	0	6	75	1	70	NA	0.168704156479218	69	"YNL064C"
"P27616"	""	306	"5a9b1a6a75daaa769d37dec4"	"PDB"	2	306	"1obg"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P27616.pdb?from=2&to=306&template=1obg&provider=pdb"	"2_306_1obg_5a9b1a6a75daaa769d37dec4"	"P27616@1obg"	"A"	"A"	"P27616@1obg@A"	100	0	1	305	2	306	2.05	0.993464052287582	304	"YAR015W"
"P53051"	""	589	"5a9b0bd075daaa3285be8a8c"	"PDB"	1	589	"3aj7"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P53051.pdb?from=1&to=589&template=3aj7&provider=pdb"	"1_589_3aj7_5a9b0bd075daaa3285be8a8c"	"P53051@3aj7"	"A"	"A"	"P53051@3aj7@A"	100	0	1	586	4	589	1.3	0.99320882852292	585	"YGR287C"
"P38907"	""	458	"5a9b011975daaa18236f51cd"	"PDB"	361	458	"4je3"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P38907.pdb?from=361&to=458&template=4je3&provider=pdb"	"361_458_4je3_5a9b011975daaa18236f51cd"	"P38907@4je3"	"B"	"B"	"P38907@4je3@B"	100	0	1	77	374	450	2.282	0.165938864628821	76	"YDR254W"
"Q08096"	""	367	"5a9afac475daaa432978b078"	"PDB"	1	367	"5tzs"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q08096.pdb?from=1&to=367&template=5tzs&provider=pdb"	"1_367_5tzs_5a9afac475daaa432978b078"	"Q08096@5tzs"	"h"	"h"	"Q08096@5tzs@h"	100	0	1	355	7	361	5.1	0.964577656675749	354	"YOL010W"
"P41318"	""	303	"5af2907c02efd05c7ef81532"	"PDB"	1	303	"6emk"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P41318.pdb?from=1&to=303&template=6emk&provider=pdb"	"1_303_6emk_5af2907c02efd05c7ef81532"	"P41318@6emk"	"B;D"	"B"	"P41318@6emk@B"	100	0	1	300	3	302	7.9	0.986798679867987	299	"YNL006W"
"P41318"	""	303	"5af2907c02efd05c7ef81532"	"PDB"	1	303	"6emk"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P41318.pdb?from=1&to=303&template=6emk&provider=pdb"	"1_303_6emk_5af2907c02efd05c7ef81532"	"P41318@6emk"	"B;D"	"D"	"P41318@6emk@D"	100	0	1	300	3	302	7.9	0.986798679867987	299	"YNL006W"
"P38720"	""	489	"5a9b2a2475daaa56b3c01cd5"	"PDB"	1	489	"2p4q"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P38720.pdb?from=1&to=489&template=2p4q&provider=pdb"	"1_489_2p4q_5a9b2a2475daaa56b3c01cd5"	"P38720@2p4q"	"A"	"A"	"P38720@2p4q@A"	100	0	1	476	1	476	2.37	0.971370143149284	475	"YHR183W"
"Q06406"	""	86	"5a9b236475daaa73f498b0d3"	"PDB"	1	86	"4c92"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q06406.pdb?from=1&to=86&template=4c92&provider=pdb"	"1_86_4c92_5a9b236475daaa73f498b0d3"	"Q06406@4c92"	"F"	"F"	"Q06406@4c92@F"	100	0	1	77	10	86	2.299	0.883720930232558	76	"YDR378C"
"P38203"	""	95	"5a9b236475daaa73f498b0d3"	"PDB"	2	95	"4c92"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P38203.pdb?from=2&to=95&template=4c92&provider=pdb"	"2_95_4c92_5a9b236475daaa73f498b0d3"	"P38203@4c92"	"B"	"B"	"P38203@4c92@B"	100	0	12	105	2	95	2.299	0.978947368421053	93	"YBL026W"
"P38801"	""	184	"5a9b140275daaa247d3ca56e"	"PDB"	1	133	"4wfc"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P38801.pdb?from=1&to=133&template=4wfc&provider=pdb"	"1_133_4wfc_5a9b140275daaa247d3ca56e"	"P38801@4wfc"	"B;D;F"	"B"	"P38801@4wfc@B"	100	0	1	118	3	120	2.35	0.635869565217391	117	"YHR081W"
"P57743"	""	89	"5a9b101875daaa67f17629e9"	"PDB"	1	89	"4n0a"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P57743.pdb?from=1&to=89&template=4n0a&provider=pdb"	"1_89_4n0a_5a9b101875daaa67f17629e9"	"P57743@4n0a"	"A;B;E;F"	"A"	"P57743@4n0a@A"	100	0	1	80	1	80	3.15	0.887640449438202	79	"YLR438C-A"
"P57743"	""	89	"5a9b101875daaa67f17629e9"	"PDB"	1	89	"4n0a"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P57743.pdb?from=1&to=89&template=4n0a&provider=pdb"	"1_89_4n0a_5a9b101875daaa67f17629e9"	"P57743@4n0a"	"A;B;E;F"	"B"	"P57743@4n0a@B"	100	0	1	80	1	80	3.15	0.887640449438202	79	"YLR438C-A"
"P08638"	""	886	"5a9b0dff75daaa4c703a000f"	"PDB"	32	103	"2er8"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P08638.pdb?from=32&to=103&template=2er8&provider=pdb"	"32_103_2er8_5a9b0dff75daaa4c703a000f"	"P08638@2er8"	"A;B;C;D"	"A"	"P08638@2er8@A"	100	0	1	68	32	99	2.85	0.0756207674943567	67	"YLR451W"
"P08638"	""	886	"5a9b0dff75daaa4c703a000f"	"PDB"	32	103	"2er8"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P08638.pdb?from=32&to=103&template=2er8&provider=pdb"	"32_103_2er8_5a9b0dff75daaa4c703a000f"	"P08638@2er8"	"A;B;C;D"	"D"	"P08638@2er8@D"	100	0	1	68	32	99	2.85	0.0756207674943567	67	"YLR451W"
"P05743"	""	127	"5a9b0f5f75daaa62ade414eb"	"PDB"	1	127	"2ww9"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P05743.pdb?from=1&to=127&template=2ww9&provider=pdb"	"1_127_2ww9_5a9b0f5f75daaa62ade414eb"	"P05743@2ww9"	"L"	"L"	"P05743@2ww9@L"	100	0	1	127	1	127	8.6	0.992125984251969	126	"YLR344W"
"P32495"	""	156	"5b20b0cb02efd01834407e0f"	"PDB"	36	156	"2lbx"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P32495.pdb?from=36&to=156&template=2lbx&provider=pdb"	"36_156_2lbx_5b20b0cb02efd01834407e0f"	"P32495@2lbx"	"A"	"A"	"P32495@2lbx@A"	100	0	1	121	36	156	NA	0.769230769230769	120	"YDL208W"
"Q04081"	""	328	"5a9b15b775daaa3ac571343a"	"PDB"	1	328	"1rjd"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q04081.pdb?from=1&to=328&template=1rjd&provider=pdb"	"1_328_1rjd_5a9b15b775daaa3ac571343a"	"Q04081@1rjd"	"A;B;C"	"A"	"Q04081@1rjd@A"	100	0	1	327	2	328	1.8	0.99390243902439	326	"YDR435C"
"Q04081"	""	328	"5a9b15b775daaa3ac571343a"	"PDB"	1	328	"1rjd"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q04081.pdb?from=1&to=328&template=1rjd&provider=pdb"	"1_328_1rjd_5a9b15b775daaa3ac571343a"	"Q04081@1rjd"	"A;B;C"	"B"	"Q04081@1rjd@B"	100	0	1	327	2	328	1.8	0.99390243902439	326	"YDR435C"
"Q04081"	""	328	"5a9b15b775daaa3ac571343a"	"PDB"	1	328	"1rjd"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q04081.pdb?from=1&to=328&template=1rjd&provider=pdb"	"1_328_1rjd_5a9b15b775daaa3ac571343a"	"Q04081@1rjd"	"A;B;C"	"C"	"Q04081@1rjd@C"	100	0	1	327	2	328	1.8	0.99390243902439	326	"YDR435C"
"Q04377"	""	747	"5af28eef02efd052b55355f3"	"PDB"	73	136	"5omd"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q04377.pdb?from=73&to=136&template=5omd&provider=pdb"	"73_136_5omd_5af28eef02efd052b55355f3"	"Q04377@5omd"	"A"	"A"	"Q04377@5omd@A"	100	0	2	61	73	132	2.1	0.0789825970548862	59	"YDR499W"
"Q08001"	""	693	"5af28ab202efd0399089c30d"	"PDB"	161	272	"5yqr"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q08001.pdb?from=161&to=272&template=5yqr&provider=pdb"	"161_272_5yqr_5af28ab202efd0399089c30d"	"Q08001@5yqr"	"A"	"A"	"Q08001@5yqr@A"	100	0	161	268	161	268	2.402	0.154401154401154	107	"YLR072W"
"P00175"	""	591	"5a9b087475daaa054ca0a535"	"PDB"	86	180	"3ks0"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P00175.pdb?from=86&to=180&template=3ks0&provider=pdb"	"86_180_3ks0_5a9b087475daaa054ca0a535"	"P00175@3ks0"	"A;B"	"A"	"P00175@3ks0@A"	100	0	1	92	86	177	2.7	0.153976311336717	91	"YML054C"
"P00175"	""	591	"5a9b087475daaa054ca0a535"	"PDB"	86	180	"3ks0"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P00175.pdb?from=86&to=180&template=3ks0&provider=pdb"	"86_180_3ks0_5a9b087475daaa054ca0a535"	"P00175@3ks0"	"A;B"	"B"	"P00175@3ks0@B"	100	0	1	92	86	177	2.7	0.153976311336717	91	"YML054C"
"Q03036"	""	179	"5a9b1b0f75daaa040649818d"	"PDB"	1	179	"5cog"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q03036.pdb?from=1&to=179&template=5cog&provider=pdb"	"1_179_5cog_5a9b1b0f75daaa040649818d"	"Q03036@5cog"	"A;B"	"B"	"Q03036@5cog@B"	100	0	1	169	2	170	1.613	0.93854748603352	168	"YDR540C"
"P38131"	""	464	"5a9b0b0975daaa254161f1a6"	"PDB"	33	464	"5a07"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P38131.pdb?from=33&to=464&template=5a07&provider=pdb"	"33_464_5a07_5a9b0b0975daaa254161f1a6"	"P38131@5a07"	"A;B"	"A"	"P38131@5a07@A"	100	0	1	395	70	464	1.9	0.849137931034483	394	"YBR199W"
"P00572"	""	216	"5a9b20f575daaa52372affe4"	"PDB"	1	216	"3tmk"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P00572.pdb?from=1&to=216&template=3tmk&provider=pdb"	"1_216_3tmk_5a9b20f575daaa52372affe4"	"P00572@3tmk"	"A;B;C;D;E;F;G;H"	"A"	"P00572@3tmk@A"	100	0	1	216	1	216	2	0.99537037037037	215	"YJR057W"
"P00572"	""	216	"5a9b20f575daaa52372affe4"	"PDB"	1	216	"3tmk"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P00572.pdb?from=1&to=216&template=3tmk&provider=pdb"	"1_216_3tmk_5a9b20f575daaa52372affe4"	"P00572@3tmk"	"A;B;C;D;E;F;G;H"	"B"	"P00572@3tmk@B"	100	0	1	216	1	216	2	0.99537037037037	215	"YJR057W"
"P00572"	""	216	"5a9b20f575daaa52372affe4"	"PDB"	1	216	"3tmk"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P00572.pdb?from=1&to=216&template=3tmk&provider=pdb"	"1_216_3tmk_5a9b20f575daaa52372affe4"	"P00572@3tmk"	"A;B;C;D;E;F;G;H"	"F"	"P00572@3tmk@F"	100	0	1	216	1	216	2	0.99537037037037	215	"YJR057W"
"P25586"	""	316	"5a9b192975daaa657871f9aa"	"PDB"	32	222	"4qmf"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P25586.pdb?from=32&to=222&template=4qmf&provider=pdb"	"32_222_4qmf_5a9b192975daaa657871f9aa"	"P25586@4qmf"	"B;D"	"B"	"P25586@4qmf@B"	100	0	1	175	38	212	2.804	0.550632911392405	174	"YCL059C"
"P38169"	""	460	"5a9b061c75daaa65412e2361"	"PDB"	1	394	"4j34"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P38169.pdb?from=1&to=394&template=4j34&provider=pdb"	"1_394_4j34_5a9b061c75daaa65412e2361"	"P38169@4j34"	"A;B"	"B"	"P38169@4j34@B"	100	0	2	390	1	389	2.03	0.843478260869565	388	"YBL098W"
"P80667"	""	386	"5a9b2af375daaa63ee118886"	"PDB"	299	386	"1jqq"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P80667.pdb?from=299&to=386&template=1jqq&provider=pdb"	"299_386_1jqq_5a9b2af375daaa63ee118886"	"P80667@1jqq"	"A;B;C;D"	"B"	"P80667@1jqq@B"	100	0	5	82	299	376	2.65	0.199481865284974	77	"YLR191W"
"Q07508"	""	261	"5af28d1502efd047c71210d4"	"PDB"	1	261	"5uz5"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q07508.pdb?from=1&to=261&template=5uz5&provider=pdb"	"1_261_5uz5_5af28d1502efd047c71210d4"	"Q07508@5uz5"	"H"	"H"	"Q07508@5uz5@H"	100	0	1	46	39	84	3.7	0.172413793103448	45	"YDL087C"
"P15454"	""	187	"5a9b0c2975daaa36fdfa7a65"	"PDB"	2	187	"1ex7"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P15454.pdb?from=2&to=187&template=1ex7&provider=pdb"	"2_187_1ex7_5a9b0c2975daaa36fdfa7a65"	"P15454@1ex7"	"A"	"A"	"P15454@1ex7@A"	100	0	1	186	2	187	1.9	0.989304812834225	185	"YDR454C"
"P23291"	""	538	"5a9b0c7f75daaa3ccf7d067e"	"PDB"	62	355	"5x18"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P23291.pdb?from=62&to=355&template=5x18&provider=pdb"	"62_355_5x18_5a9b0c7f75daaa3ccf7d067e"	"P23291@5x18"	"A;B"	"A"	"P23291@5x18@A"	100	0	1	294	62	355	1.8	0.544609665427509	293	"YHR135C"
"P23291"	""	538	"5a9b0c7f75daaa3ccf7d067e"	"PDB"	62	355	"5x18"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P23291.pdb?from=62&to=355&template=5x18&provider=pdb"	"62_355_5x18_5a9b0c7f75daaa3ccf7d067e"	"P23291@5x18"	"A;B"	"B"	"P23291@5x18@B"	100	0	1	294	62	355	1.8	0.544609665427509	293	"YHR135C"
"P00830"	""	511	"5a9b15c675daaa3ac5713648"	"PDB"	34	511	"2wpd"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P00830.pdb?from=34&to=511&template=2wpd&provider=pdb"	"34_511_2wpd_5a9b15c675daaa3ac5713648"	"P00830@2wpd"	"D;E;F"	"E"	"P00830@2wpd@E"	100	0	1	473	39	511	3.432	0.923679060665362	472	"YJR121W"
"P36102"	""	679	"5a9b218d75daaa5ea29158d4"	"PDB"	1	41	"4cyk"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P36102.pdb?from=1&to=41&template=4cyk&provider=pdb"	"1_41_4cyk_5a9b218d75daaa5ea29158d4"	"P36102@4cyk"	"A"	"A"	"P36102@4cyk@A"	100	0	1	41	1	41	NA	0.0589101620029455	40	"YKL025C"
"P53193"	""	184	"5a9b058675daaa5aad4e9752"	"PDB"	5	182	"3uo3"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P53193.pdb?from=5&to=182&template=3uo3&provider=pdb"	"5_182_3uo3_5a9b058675daaa5aad4e9752"	"P53193@3uo3"	"A;B"	"A"	"P53193@3uo3@A"	100	0	1	174	8	181	1.85	0.940217391304348	173	"YGL018C"
"Q12417"	""	451	"5af28dc102efd04b6fdc4e52"	"PDB"	1	451	"6bk8"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q12417.pdb?from=1&to=451&template=6bk8&provider=pdb"	"1_451_6bk8_5af28dc102efd04b6fdc4e52"	"Q12417@6bk8"	"D"	"D"	"Q12417@6bk8@D"	100	0	1	359	93	451	3.3	0.793791574279379	358	"YPL151C"
"Q06505"	""	410	"5b20b32602efd01e70dab174"	"PDB"	148	295	"3o8z"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q06505.pdb?from=148&to=295&template=3o8z&provider=pdb"	"148_295_3o8z_5b20b32602efd01e70dab174"	"Q06505@3o8z"	"A"	"A"	"Q06505@3o8z@A"	100	0	5	152	148	295	2.15	0.358536585365854	147	"YPR133C"
"P17695"	""	143	"5a9b23c475daaa78fd29990c"	"PDB"	35	143	"3d4m"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P17695.pdb?from=35&to=143&template=3d4m&provider=pdb"	"35_143_3d4m_5a9b23c475daaa78fd29990c"	"P17695@3d4m"	"A"	"A"	"P17695@3d4m@A"	100	0	1	109	35	143	2.05	0.755244755244755	108	"YDR513W"
"P05738"	""	191	"5a9b284a75daaa3e7a40c7dc"	"PDB"	1	191	"5h4p-H-bundle1"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P05738.pdb?from=1&to=191&template=5h4p&provider=pdb"	"1_191_5h4p_5a9b284a75daaa3e7a40c7dc"	"P05738@5h4p"	"H"	"H"	"P05738@5h4p@H"	100	0	1	191	1	191	3.07	0.994764397905759	190	"YGL147C"
"Q03020"	""	165	"5a9b17ed75daaa559c4227a3"	"PDB"	28	165	"5tre"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q03020.pdb?from=28&to=165&template=5tre&provider=pdb"	"28_165_5tre_5a9b17ed75daaa559c4227a3"	"Q03020@5tre"	"a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x"	"a"	"Q03020@5tre@a"	100	0	5	142	28	165	15.6	0.83030303030303	137	"YPL135W"
"Q03020"	""	165	"5a9b17ed75daaa559c4227a3"	"PDB"	28	165	"5tre"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q03020.pdb?from=28&to=165&template=5tre&provider=pdb"	"28_165_5tre_5a9b17ed75daaa559c4227a3"	"Q03020@5tre"	"a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x"	"b"	"Q03020@5tre@b"	100	0	5	142	28	165	15.6	0.83030303030303	137	"YPL135W"
"Q03020"	""	165	"5a9b17ed75daaa559c4227a3"	"PDB"	28	165	"5tre"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q03020.pdb?from=28&to=165&template=5tre&provider=pdb"	"28_165_5tre_5a9b17ed75daaa559c4227a3"	"Q03020@5tre"	"a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x"	"c"	"Q03020@5tre@c"	100	0	5	142	28	165	15.6	0.83030303030303	137	"YPL135W"
"Q03020"	""	165	"5a9b17ed75daaa559c4227a3"	"PDB"	28	165	"5tre"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q03020.pdb?from=28&to=165&template=5tre&provider=pdb"	"28_165_5tre_5a9b17ed75daaa559c4227a3"	"Q03020@5tre"	"a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x"	"d"	"Q03020@5tre@d"	100	0	5	142	28	165	15.6	0.83030303030303	137	"YPL135W"
"Q03020"	""	165	"5a9b17ed75daaa559c4227a3"	"PDB"	28	165	"5tre"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q03020.pdb?from=28&to=165&template=5tre&provider=pdb"	"28_165_5tre_5a9b17ed75daaa559c4227a3"	"Q03020@5tre"	"a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x"	"e"	"Q03020@5tre@e"	100	0	5	142	28	165	15.6	0.83030303030303	137	"YPL135W"
"Q03020"	""	165	"5a9b17ed75daaa559c4227a3"	"PDB"	28	165	"5tre"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q03020.pdb?from=28&to=165&template=5tre&provider=pdb"	"28_165_5tre_5a9b17ed75daaa559c4227a3"	"Q03020@5tre"	"a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x"	"f"	"Q03020@5tre@f"	100	0	5	142	28	165	15.6	0.83030303030303	137	"YPL135W"
"Q03020"	""	165	"5a9b17ed75daaa559c4227a3"	"PDB"	28	165	"5tre"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q03020.pdb?from=28&to=165&template=5tre&provider=pdb"	"28_165_5tre_5a9b17ed75daaa559c4227a3"	"Q03020@5tre"	"a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x"	"g"	"Q03020@5tre@g"	100	0	5	142	28	165	15.6	0.83030303030303	137	"YPL135W"
"Q03020"	""	165	"5a9b17ed75daaa559c4227a3"	"PDB"	28	165	"5tre"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q03020.pdb?from=28&to=165&template=5tre&provider=pdb"	"28_165_5tre_5a9b17ed75daaa559c4227a3"	"Q03020@5tre"	"a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x"	"h"	"Q03020@5tre@h"	100	0	5	142	28	165	15.6	0.83030303030303	137	"YPL135W"
"Q03020"	""	165	"5a9b17ed75daaa559c4227a3"	"PDB"	28	165	"5tre"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q03020.pdb?from=28&to=165&template=5tre&provider=pdb"	"28_165_5tre_5a9b17ed75daaa559c4227a3"	"Q03020@5tre"	"a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x"	"i"	"Q03020@5tre@i"	100	0	5	142	28	165	15.6	0.83030303030303	137	"YPL135W"
"Q03020"	""	165	"5a9b17ed75daaa559c4227a3"	"PDB"	28	165	"5tre"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q03020.pdb?from=28&to=165&template=5tre&provider=pdb"	"28_165_5tre_5a9b17ed75daaa559c4227a3"	"Q03020@5tre"	"a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x"	"j"	"Q03020@5tre@j"	100	0	5	142	28	165	15.6	0.83030303030303	137	"YPL135W"
"Q03020"	""	165	"5a9b17ed75daaa559c4227a3"	"PDB"	28	165	"5tre"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q03020.pdb?from=28&to=165&template=5tre&provider=pdb"	"28_165_5tre_5a9b17ed75daaa559c4227a3"	"Q03020@5tre"	"a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x"	"k"	"Q03020@5tre@k"	100	0	5	142	28	165	15.6	0.83030303030303	137	"YPL135W"
"Q03020"	""	165	"5a9b17ed75daaa559c4227a3"	"PDB"	28	165	"5tre"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q03020.pdb?from=28&to=165&template=5tre&provider=pdb"	"28_165_5tre_5a9b17ed75daaa559c4227a3"	"Q03020@5tre"	"a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x"	"l"	"Q03020@5tre@l"	100	0	5	142	28	165	15.6	0.83030303030303	137	"YPL135W"
"Q03020"	""	165	"5a9b17ed75daaa559c4227a3"	"PDB"	28	165	"5tre"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q03020.pdb?from=28&to=165&template=5tre&provider=pdb"	"28_165_5tre_5a9b17ed75daaa559c4227a3"	"Q03020@5tre"	"a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x"	"m"	"Q03020@5tre@m"	100	0	5	142	28	165	15.6	0.83030303030303	137	"YPL135W"
