"UniProtKB_ac"	"iso_id"	"uniprot_seq_length"	"uniprot_seq_md5"	"coordinate_id"	"provider"	"from"	"to"	"template"	"qmean"	"qmean_norm"	"seqid"	"url"	"mapid"	"Seq_similarity"	"Seq_identity"	"pdb_id2"	"Resolution"
"Q08179"	""	573	"1f265c2ad4a176055a79614d36a41f9b"	"5cd72e818fd6f9ab5fe4b3d0"	"SWISSMODEL"	214	337	"5d43.1.A"	-3.6620774137	0.5901119237	12.8712873459	"https://swissmodel.expasy.org/repository/uniprot/Q08179.pdb?provider=swissmodel&from=214&to=337&template=5d43.1.A&provider=swissmodel"	"214_337_5d43.1.A_5cd72e818fd6f9ab5fe4b3d0"	"    0.27"	"    12.87"	"5d43"	NA
"Q08179"	""	573	"1f265c2ad4a176055a79614d36a41f9b"	"5cd72e818fd6f9ab5fe4b3dc"	"SWISSMODEL"	236	337	"1k94.1.A"	-3.2303894461	0.6295506919	16.4948444366	"https://swissmodel.expasy.org/repository/uniprot/Q08179.pdb?provider=swissmodel&from=236&to=337&template=1k94.1.A&provider=swissmodel"	"236_337_1k94.1.A_5cd72e818fd6f9ab5fe4b3dc"	"    0.28"	"    16.49"	"1k94"	NA
"Q08179"	""	573	"1f265c2ad4a176055a79614d36a41f9b"	"5cd72e818fd6f9ab5fe4b3d8"	"SWISSMODEL"	214	335	"5i0i.2.B"	-4.1235392971	0.5654584145	17.1717166901	"https://swissmodel.expasy.org/repository/uniprot/Q08179.pdb?provider=swissmodel&from=214&to=335&template=5i0i.2.B&provider=swissmodel"	"214_335_5i0i.2.B_5cd72e818fd6f9ab5fe4b3d8"	"    0.30"	"    17.17"	"5i0i"	NA
"Q03099"	""	1374	"639ce72ec1ed26a2bc83173706cb0beb"	"5cdb41a99ffd12ec8bfc250f"	"SWISSMODEL"	347	787	"2wwy.1.A"	-4.5800294807	0.6166667753	17.1875	"https://swissmodel.expasy.org/repository/uniprot/Q03099.pdb?provider=swissmodel&from=347&to=787&template=2wwy.1.A&provider=swissmodel"	"347_787_2wwy.1.A_5cdb41a99ffd12ec8bfc250f"	"    0.28"	"    17.19"	"2wwy"	NA
"Q06820"	""	579	"bf3fc1224e99ff7d666f60e6b6399d7c"	"5cd739d2a03a1b66f3d5cd6f"	"SWISSMODEL"	220	323	"5u4i.1.q"	-1.4370059967	0.7203828072	11.1111106873	"https://swissmodel.expasy.org/repository/uniprot/Q06820.pdb?provider=swissmodel&from=220&to=323&template=5u4i.1.q&provider=swissmodel"	"220_323_5u4i.1.q_5cd739d2a03a1b66f3d5cd6f"	"    0.25"	"    11.11"	"5u4i"	NA
"P10664"	""	362	"2c5c81bd1791981b961a0b690f2ed69b"	"5a7c26137aaa0d4d2a4d9007"	"SWISSMODEL"	2	362	"5t62.1.G"	-3.6397950183	0.6442450682	100	"https://swissmodel.expasy.org/repository/uniprot/P10664.pdb?provider=swissmodel&from=2&to=362&template=5t62.1.G&provider=swissmodel"	"2_362_5t62.1.G_5a7c26137aaa0d4d2a4d9007"	"    0.60"	"    100.00"	"5t62"	NA
"P32833"	""	620	"aa6c0ffe7a4213eed23b9f499c832178"	"5cd7916e9ffd125e528d8817"	"SWISSMODEL"	236	620	"5zr1.1.B"	-1.7722480591	0.7101616334	100	"https://swissmodel.expasy.org/repository/uniprot/P32833.pdb?provider=swissmodel&from=236&to=620&template=5zr1.1.B&provider=swissmodel"	"236_620_5zr1.1.B_5cd7916e9ffd125e528d8817"	"    0.61"	"    100.00"	"5zr1"	NA
"P32833"	""	620	"aa6c0ffe7a4213eed23b9f499c832178"	"5cd7916e9ffd125e528d8813"	"SWISSMODEL"	268	617	"5v8f.1.J"	-4.753224774	0.6060541011	100	"https://swissmodel.expasy.org/repository/uniprot/P32833.pdb?provider=swissmodel&from=268&to=617&template=5v8f.1.J&provider=swissmodel"	"268_617_5v8f.1.J_5cd7916e9ffd125e528d8813"	"    0.61"	"    100.00"	"5v8f"	NA
"P38786"	""	293	"8f8ec2e56c47ec9f3b827754f5edbfc2"	"5cd58de43b85d15e3a39c9b9"	"SWISSMODEL"	1	293	"6ah3.1.J"	-3.1501895216	0.650969659	100	"https://swissmodel.expasy.org/repository/uniprot/P38786.pdb?provider=swissmodel&from=1&to=293&template=6ah3.1.J&provider=swissmodel"	"1_293_6ah3.1.J_5cd58de43b85d15e3a39c9b9"	"    0.60"	"    100.00"	"6ah3"	NA
"P53083"	""	459	"27391619ef8d6f00e01b72141ab48631"	"5cdd27cfc4494f22eb529a7f"	"SWISSMODEL"	1	182	"5yk7.1.B"	-4.653212375	0.5820545745	17.7215194702	"https://swissmodel.expasy.org/repository/uniprot/P53083.pdb?provider=swissmodel&from=1&to=182&template=5yk7.1.B&provider=swissmodel"	"1_182_5yk7.1.B_5cdd27cfc4494f22eb529a7f"	"    0.30"	"    17.72"	"5yk7"	NA
"Q12499"	""	511	"63e3d61d15b580c03a9fee440fae525f"	"5cd6854e8fd6f9a08e5a13fc"	"SWISSMODEL"	4	403	"3nmu.1.A"	-4.3429912007	0.6161029556	30.4945049286	"https://swissmodel.expasy.org/repository/uniprot/Q12499.pdb?provider=swissmodel&from=4&to=403&template=3nmu.1.A&provider=swissmodel"	"4_403_3nmu.1.A_5cd6854e8fd6f9a08e5a13fc"	"    0.36"	"    30.49"	"3nmu"	NA
"Q12499"	""	511	"63e3d61d15b580c03a9fee440fae525f"	"5cd6854e8fd6f9a08e5a13f4"	"SWISSMODEL"	109	410	"5o9z.1.H"	-4.4785904474	0.605940064	23.674911499	"https://swissmodel.expasy.org/repository/uniprot/Q12499.pdb?provider=swissmodel&from=109&to=410&template=5o9z.1.H&provider=swissmodel"	"109_410_5o9z.1.H_5cd6854e8fd6f9a08e5a13f4"	"    0.33"	"    23.67"	"5o9z"	NA
"Q12499"	""	511	"63e3d61d15b580c03a9fee440fae525f"	"5cd6854e8fd6f9a08e5a13f8"	"SWISSMODEL"	3	403	"5wyj.4.A"	-2.0419495424	0.6998619717	100	"https://swissmodel.expasy.org/repository/uniprot/Q12499.pdb?provider=swissmodel&from=3&to=403&template=5wyj.4.A&provider=swissmodel"	"3_403_5wyj.4.A_5cd6854e8fd6f9a08e5a13f8"	"    0.58"	"    100.00"	"5wyj"	NA
"Q12499"	""	511	"63e3d61d15b580c03a9fee440fae525f"	"5cd6854e8fd6f9a08e5a13f0"	"SWISSMODEL"	3	404	"5gio.1.A"	-3.0018460005	0.6642982815	32.6145553589	"https://swissmodel.expasy.org/repository/uniprot/Q12499.pdb?provider=swissmodel&from=3&to=404&template=5gio.1.A&provider=swissmodel"	"3_404_5gio.1.A_5cd6854e8fd6f9a08e5a13f0"	"    0.36"	"    32.61"	"5gio"	NA
"Q12499"	""	511	"63e3d61d15b580c03a9fee440fae525f"	"5cd6854d8fd6f9a08e5a13ec"	"SWISSMODEL"	4	403	"4by9.1.I"	-3.9538403623	0.6303494754	30.5785121918	"https://swissmodel.expasy.org/repository/uniprot/Q12499.pdb?provider=swissmodel&from=4&to=403&template=4by9.1.I&provider=swissmodel"	"4_403_4by9.1.I_5cd6854d8fd6f9a08e5a13ec"	"    0.35"	"    30.58"	"4by9"	NA
"Q12499"	""	511	"63e3d61d15b580c03a9fee440fae525f"	"5cd6854d8fd6f9a08e5a13dc"	"SWISSMODEL"	3	281	"3id6.1.A"	-3.188526675	0.6469841486	27.2727279663	"https://swissmodel.expasy.org/repository/uniprot/Q12499.pdb?provider=swissmodel&from=3&to=281&template=3id6.1.A&provider=swissmodel"	"3_281_3id6.1.A_5cd6854d8fd6f9a08e5a13dc"	"    0.34"	"    27.27"	"3id6"	NA
"Q12499"	""	511	"63e3d61d15b580c03a9fee440fae525f"	"5cd6854d8fd6f9a08e5a13e0"	"SWISSMODEL"	4	403	"4by9.1.F"	-3.6286065814	0.6422560397	30.5785121918	"https://swissmodel.expasy.org/repository/uniprot/Q12499.pdb?provider=swissmodel&from=4&to=403&template=4by9.1.F&provider=swissmodel"	"4_403_4by9.1.F_5cd6854d8fd6f9a08e5a13e0"	"    0.35"	"    30.58"	"4by9"	NA
"Q12499"	""	511	"63e3d61d15b580c03a9fee440fae525f"	"5cd6854d8fd6f9a08e5a13e8"	"SWISSMODEL"	92	437	"5wlc.44.A"	-3.1890344488	0.6623205196	90.4534606934	"https://swissmodel.expasy.org/repository/uniprot/Q12499.pdb?provider=swissmodel&from=92&to=437&template=5wlc.44.A&provider=swissmodel"	"92_437_5wlc.44.A_5cd6854d8fd6f9a08e5a13e8"	"    0.53"	"    90.45"	"5wlc"	NA
"Q12499"	""	511	"63e3d61d15b580c03a9fee440fae525f"	"5cd6854d8fd6f9a08e5a13e4"	"SWISSMODEL"	3	405	"3id5.1.E"	-3.501365961	0.6459829936	32.6145553589	"https://swissmodel.expasy.org/repository/uniprot/Q12499.pdb?provider=swissmodel&from=3&to=405&template=3id5.1.E&provider=swissmodel"	"3_405_3id5.1.E_5cd6854d8fd6f9a08e5a13e4"	"    0.36"	"    32.61"	"3id5"	NA
"P25044"	""	335	"7a2bd690dc06ff30452c863a849c9832"	"5cd4a5648fd6f994d8b8d251"	"SWISSMODEL"	10	333	"3sr9.1.A"	-3.2157458394	0.6591060936	32.2463760376	"https://swissmodel.expasy.org/repository/uniprot/P25044.pdb?provider=swissmodel&from=10&to=333&template=3sr9.1.A&provider=swissmodel"	"10_333_3sr9.1.A_5cd4a5648fd6f994d8b8d251"	"    0.36"	"    32.25"	"3sr9"	NA
"P25623"	""	870	"56fd59964558050945e375d2ddc0ace1"	"5cd93ec31a200b04b7a50b78"	"SWISSMODEL"	11	243	"4wpc.1.B"	-4.8120181105	0.6144974474	13.1067962646	"https://swissmodel.expasy.org/repository/uniprot/P25623.pdb?provider=swissmodel&from=11&to=243&template=4wpc.1.B&provider=swissmodel"	"11_243_4wpc.1.B_5cd93ec31a200b04b7a50b78"	"    0.28"	"    13.11"	"4wpc"	NA
"P25623"	""	870	"56fd59964558050945e375d2ddc0ace1"	"5cd93ec31a200b04b7a50b74"	"SWISSMODEL"	609	870	"3g9h.1.A"	-1.7961976369	0.7021645898	100	"https://swissmodel.expasy.org/repository/uniprot/P25623.pdb?provider=swissmodel&from=609&to=870&template=3g9h.1.A&provider=swissmodel"	"609_870_3g9h.1.A_5cd93ec31a200b04b7a50b74"	"    0.60"	"    100.00"	"3g9h"	NA
"P25623"	""	870	"56fd59964558050945e375d2ddc0ace1"	"5cd93ec31a200b04b7a50b70"	"SWISSMODEL"	21	244	"3haj.1.B"	-4.5368072719	0.620971709	15.1960783005	"https://swissmodel.expasy.org/repository/uniprot/P25623.pdb?provider=swissmodel&from=21&to=244&template=3haj.1.B&provider=swissmodel"	"21_244_3haj.1.B_5cd93ec31a200b04b7a50b70"	"    0.28"	"    15.20"	"3haj"	NA
"P25623"	""	870	"56fd59964558050945e375d2ddc0ace1"	"5cd93ec31a200b04b7a50b6c"	"SWISSMODEL"	1	250	"3g9g.1.A"	-1.4965569756	0.7240598609	100	"https://swissmodel.expasy.org/repository/uniprot/P25623.pdb?provider=swissmodel&from=1&to=250&template=3g9g.1.A&provider=swissmodel"	"1_250_3g9g.1.A_5cd93ec31a200b04b7a50b6c"	"    0.60"	"    100.00"	"3g9g"	NA
"P40058"	""	173	"fff61892136aa90ed779682f57a2b506"	"5ad72870afa358b1becfce08"	"SWISSMODEL"	20	51	"4mu6.1.A"	-2.161885402	0.5263393177	33.3333320618	"https://swissmodel.expasy.org/repository/uniprot/P40058.pdb?provider=swissmodel&from=20&to=51&template=4mu6.1.A&provider=swissmodel"	"20_51_4mu6.1.A_5ad72870afa358b1becfce08"	"    0.34"	"    33.33"	"4mu6"	NA
"Q01846"	""	1127	"304e89c3b3cb73215b99c464386994b7"	"5cda706f1a200b31d19e6531"	"SWISSMODEL"	772	900	"2dyb.1.A"	-3.2854737981	0.6058586102	23.5294113159	"https://swissmodel.expasy.org/repository/uniprot/Q01846.pdb?provider=swissmodel&from=772&to=900&template=2dyb.1.A&provider=swissmodel"	"772_900_2dyb.1.A_5cda706f1a200b31d19e6531"	"    0.31"	"    23.53"	"2dyb"	NA
"Q01846"	""	1127	"304e89c3b3cb73215b99c464386994b7"	"5cda706f1a200b31d19e6529"	"SWISSMODEL"	424	570	"2es0.1.A"	-2.9643613993	0.6315665918	15.8730154037	"https://swissmodel.expasy.org/repository/uniprot/Q01846.pdb?provider=swissmodel&from=424&to=570&template=2es0.1.A&provider=swissmodel"	"424_570_2es0.1.A_5cda706f1a200b31d19e6529"	"    0.27"	"    15.87"	"2es0"	NA
"Q01846"	""	1127	"304e89c3b3cb73215b99c464386994b7"	"5cda706f1a200b31d19e652d"	"SWISSMODEL"	424	571	"2a72.1.A"	-4.9490427481	0.531127698	17.4603176117	"https://swissmodel.expasy.org/repository/uniprot/Q01846.pdb?provider=swissmodel&from=424&to=571&template=2a72.1.A&provider=swissmodel"	"424_571_2a72.1.A_5cda706f1a200b31d19e652d"	"    0.27"	"    17.46"	"2a72"	NA
"Q01846"	""	1127	"304e89c3b3cb73215b99c464386994b7"	"5cda706f1a200b31d19e6525"	"SWISSMODEL"	424	573	"1dk8.1.A"	-4.0022859921	0.5800978934	19.2307701111	"https://swissmodel.expasy.org/repository/uniprot/Q01846.pdb?provider=swissmodel&from=424&to=573&template=1dk8.1.A&provider=swissmodel"	"424_573_1dk8.1.A_5cda706f1a200b31d19e6525"	"    0.29"	"    19.23"	"1dk8"	NA
"P33311"	""	773	"54ec35aa13d2f2b9581d35d0e2ad95b7"	"5cd8a94f1a200bf90c21400f"	"SWISSMODEL"	106	679	"4ayx.1.B"	-2.5591431983	0.6750118767	41.330997467	"https://swissmodel.expasy.org/repository/uniprot/P33311.pdb?provider=swissmodel&from=106&to=679&template=4ayx.1.B&provider=swissmodel"	"106_679_4ayx.1.B_5cd8a94f1a200bf90c21400f"	"    0.39"	"    41.33"	"4ayx"	NA
"P0CX87"	""	25	"17360525efe880a03c3547a7bf24e100"	"5cc8b21b08cc8f1bdf099a4c"	"SWISSMODEL"	1	25	"5tga.149.A"	1.1346799535	0.8987805046	100	"https://swissmodel.expasy.org/repository/uniprot/P0CX87.pdb?provider=swissmodel&from=1&to=25&template=5tga.149.A&provider=swissmodel"	"1_25_5tga.149.A_5cc8b21b08cc8f1bdf099a4c"	"    0.60"	"    100.00"	"5tga"	NA
"P33310"	""	695	"9576379fc95b3a9a9fadd012f09f5958"	"5cd8286a732c1e133ec45f25"	"SWISSMODEL"	89	666	"4ayx.1.B"	-2.1806835063	0.6888264208	43.6741752625	"https://swissmodel.expasy.org/repository/uniprot/P33310.pdb?provider=swissmodel&from=89&to=666&template=4ayx.1.B&provider=swissmodel"	"89_666_4ayx.1.B_5cd8286a732c1e133ec45f25"	"    0.40"	"    43.67"	"4ayx"	NA
"P17505"	""	334	"87a5915dc00d12f0dc0ab0d50a8761b8"	"5cd4abbd08cc8f7cc710b683"	"SWISSMODEL"	18	333	"1emd.1.A"	0.0704886364	0.7709987568	48.867313385	"https://swissmodel.expasy.org/repository/uniprot/P17505.pdb?provider=swissmodel&from=18&to=333&template=1emd.1.A&provider=swissmodel"	"18_333_1emd.1.A_5cd4abbd08cc8f7cc710b683"	"    0.42"	"    48.87"	"1emd"	NA
"P22133"	""	377	"edc796eb32962b9075be80fe729842c8"	"5cd4a5628fd6f994d8b8d181"	"SWISSMODEL"	14	372	"5zi2.1.A"	-3.5574865209	0.6385703263	43.9252319336	"https://swissmodel.expasy.org/repository/uniprot/P22133.pdb?provider=swissmodel&from=14&to=372&template=5zi2.1.A&provider=swissmodel"	"14_372_5zi2.1.A_5cd4a5628fd6f994d8b8d181"	"    0.41"	"    43.93"	"5zi2"	NA
"Q02206"	""	625	"96a07abfd1aee42f7b37e670d2af55b6"	"5cd79d608fd6f922fd1391ac"	"SWISSMODEL"	56	291	"6fic.1.A"	-4.1195499238	0.6094893486	21.9626159668	"https://swissmodel.expasy.org/repository/uniprot/Q02206.pdb?provider=swissmodel&from=56&to=291&template=6fic.1.A&provider=swissmodel"	"56_291_6fic.1.A_5cd79d608fd6f922fd1391ac"	"    0.32"	"    21.96"	"6fic"	NA
"Q02206"	""	625	"96a07abfd1aee42f7b37e670d2af55b6"	"5cd79d608fd6f922fd1391a8"	"SWISSMODEL"	19	311	"2r0v.1.A"	-0.4154062352	0.7622554907	100	"https://swissmodel.expasy.org/repository/uniprot/Q02206.pdb?provider=swissmodel&from=19&to=311&template=2r0v.1.A&provider=swissmodel"	"19_311_2r0v.1.A_5cd79d608fd6f922fd1391a8"	"    0.61"	"    100.00"	"2r0v"	NA
"P53885"	""	366	"8c7af4a440003dbd5c9d5f624371a297"	"5ad4b553ad01f0bada0a40a8"	"SWISSMODEL"	5	90	"5ufu.2.E"	-3.0565108128	0.6087622844	30.8641967773	"https://swissmodel.expasy.org/repository/uniprot/P53885.pdb?provider=swissmodel&from=5&to=90&template=5ufu.2.E&provider=swissmodel"	"5_90_5ufu.2.E_5ad4b553ad01f0bada0a40a8"	"    0.37"	"    30.86"	"5ufu"	NA
"Q06567"	""	569	"ec8ce4e3f2bf1bd5e1e57e2f284f93a3"	"5cd724fed60c59bf465a9f1f"	"SWISSMODEL"	110	493	"5i35.1.A"	-4.1373741361	0.6213945373	18.8888893127	"https://swissmodel.expasy.org/repository/uniprot/Q06567.pdb?provider=swissmodel&from=110&to=493&template=5i35.1.A&provider=swissmodel"	"110_493_5i35.1.A_5cd724fed60c59bf465a9f1f"	"    0.30"	"    18.89"	"5i35"	NA
"Q06567"	""	569	"ec8ce4e3f2bf1bd5e1e57e2f284f93a3"	"5cd724fed60c59bf465a9f1b"	"SWISSMODEL"	96	493	"5yjz.1.A"	-4.7136936738	0.6031887455	18.159204483	"https://swissmodel.expasy.org/repository/uniprot/Q06567.pdb?provider=swissmodel&from=96&to=493&template=5yjz.1.A&provider=swissmodel"	"96_493_5yjz.1.A_5cd724fed60c59bf465a9f1b"	"    0.29"	"    18.16"	"5yjz"	NA
"Q06567"	""	569	"ec8ce4e3f2bf1bd5e1e57e2f284f93a3"	"5cd724fed60c59bf465a9f17"	"SWISSMODEL"	135	381	"3q60.1.A"	-4.6916960871	0.579326504	13.8755979538	"https://swissmodel.expasy.org/repository/uniprot/Q06567.pdb?provider=swissmodel&from=135&to=381&template=3q60.1.A&provider=swissmodel"	"135_381_3q60.1.A_5cd724fed60c59bf465a9f17"	"    0.26"	"    13.88"	"3q60"	NA
"P40465"	""	213	"a0fa24e8651ba08e2b4b72ce93779a3c"	"5cd70f1308cc8f3653cf9824"	"SWISSMODEL"	1	213	"4dt1.1.A"	-1.3603626812	0.7275464418	100	"https://swissmodel.expasy.org/repository/uniprot/P40465.pdb?provider=swissmodel&from=1&to=213&template=4dt1.1.A&provider=swissmodel"	"1_213_4dt1.1.A_5cd70f1308cc8f3653cf9824"	"    0.60"	"    100.00"	"4dt1"	NA
"P38132"	""	845	"eeb91e69600c69f9e17e52f92e2728e9"	"5cd91c0508cc8ffa9ba6f24a"	"SWISSMODEL"	1	729	"3ja8.1.F"	-3.9658698896	0.6236635074	100	"https://swissmodel.expasy.org/repository/uniprot/P38132.pdb?provider=swissmodel&from=1&to=729&template=3ja8.1.F&provider=swissmodel"	"1_729_3ja8.1.F_5cd91c0508cc8ffa9ba6f24a"	"    0.60"	"    100.00"	"3ja8"	NA
"P40496"	""	264	"e3f8fcd01368d330ad2150125d4093d2"	"5cd60cfda03a1b4ee238f059"	"SWISSMODEL"	1	233	"5mrc.60.A"	-0.787972575	0.7496091289	100	"https://swissmodel.expasy.org/repository/uniprot/P40496.pdb?provider=swissmodel&from=1&to=233&template=5mrc.60.A&provider=swissmodel"	"1_233_5mrc.60.A_5cd60cfda03a1b4ee238f059"	"    0.61"	"    100.00"	"5mrc"	NA
"P30665"	""	933	"c4ee6d3fa3b516ae2d4323f9e5befa11"	"5cd9a2223b85d14518a5d060"	"SWISSMODEL"	189	838	"5bk4.1.D"	-4.7726676989	0.5942137557	34.8909645081	"https://swissmodel.expasy.org/repository/uniprot/P30665.pdb?provider=swissmodel&from=189&to=838&template=5bk4.1.D&provider=swissmodel"	"189_838_5bk4.1.D_5cd9a2223b85d14518a5d060"	"    0.38"	"    34.89"	"5bk4"	NA
"P40395"	""	1056	"ae87ba3ca59189fbc5826e7ced4261cb"	"5b66bc87732c1e4fefeeb09a"	"SWISSMODEL"	241	482	"6en4.1.A"	-4.8022252323	0.5759782154	12.9186601639	"https://swissmodel.expasy.org/repository/uniprot/P40395.pdb?provider=swissmodel&from=241&to=482&template=6en4.1.A&provider=swissmodel"	"241_482_6en4.1.A_5b66bc87732c1e4fefeeb09a"	"    0.26"	"    12.92"	"6en4"	NA
"P29469"	""	868	"abf98f904a9d6816d79b34ef5e7f4d0b"	"5cd93e36d60c590247cbd28c"	"SWISSMODEL"	201	864	"6f0l.1.G"	-3.5766860775	0.6378695037	100	"https://swissmodel.expasy.org/repository/uniprot/P29469.pdb?provider=swissmodel&from=201&to=864&template=6f0l.1.G&provider=swissmodel"	"201_864_6f0l.1.G_5cd93e36d60c590247cbd28c"	"    0.60"	"    100.00"	"6f0l"	NA
"P29469"	""	868	"abf98f904a9d6816d79b34ef5e7f4d0b"	"5cd93e36d60c590247cbd288"	"SWISSMODEL"	201	864	"5v8f.1.A"	-3.7262282663	0.6324109113	100	"https://swissmodel.expasy.org/repository/uniprot/P29469.pdb?provider=swissmodel&from=201&to=864&template=5v8f.1.A&provider=swissmodel"	"201_864_5v8f.1.A_5cd93e36d60c590247cbd288"	"    0.60"	"    100.00"	"5v8f"	NA
"P32354"	""	571	"3986a3f0266a7e6608766f956d673cba"	"5cd728d33b85d1c20739019f"	"SWISSMODEL"	152	348	"3ebe.3.A"	-3.1727305116	0.6548332019	25	"https://swissmodel.expasy.org/repository/uniprot/P32354.pdb?provider=swissmodel&from=152&to=348&template=3ebe.3.A&provider=swissmodel"	"152_348_3ebe.3.A_5cd728d33b85d1c20739019f"	"    0.34"	"    25.00"	"3ebe"	NA
"P47977"	""	285	"077dc457c4ff12f81c81a8f6dc74bee8"	"5cd5b47d8fd6f986a3395a1a"	"SWISSMODEL"	169	235	"2rhk.1.C"	-2.6842171042	0.6115100854	32.1428565979	"https://swissmodel.expasy.org/repository/uniprot/P47977.pdb?provider=swissmodel&from=169&to=235&template=2rhk.1.C&provider=swissmodel"	"169_235_2rhk.1.C_5cd5b47d8fd6f986a3395a1a"	"    0.37"	"    32.14"	"2rhk"	NA
"P47977"	""	285	"077dc457c4ff12f81c81a8f6dc74bee8"	"5cd5b47d8fd6f986a3395a16"	"SWISSMODEL"	170	235	"1rgo.1.A"	-1.9393017127	0.6700758547	48.4848480225	"https://swissmodel.expasy.org/repository/uniprot/P47977.pdb?provider=swissmodel&from=170&to=235&template=1rgo.1.A&provider=swissmodel"	"170_235_1rgo.1.A_5cd5b47d8fd6f986a3395a16"	"    0.45"	"    48.48"	"1rgo"	NA
"P40010"	""	520	"631db6ec4beba4a4b5c7db9f6744dd3a"	"5cd6a48a8fd6f95513e3f954"	"SWISSMODEL"	155	342	"3t34.1.B"	-3.5561189809	0.6352352185	17.5757579803	"https://swissmodel.expasy.org/repository/uniprot/P40010.pdb?provider=swissmodel&from=155&to=342&template=3t34.1.B&provider=swissmodel"	"155_342_3t34.1.B_5cd6a48a8fd6f95513e3f954"	"    0.29"	"    17.58"	"3t34"	NA
"P40010"	""	520	"631db6ec4beba4a4b5c7db9f6744dd3a"	"5cd6a48a8fd6f95513e3f948"	"SWISSMODEL"	1	77	"3jct.1.i"	-0.7184171297	0.7452625006	100	"https://swissmodel.expasy.org/repository/uniprot/P40010.pdb?provider=swissmodel&from=1&to=77&template=3jct.1.i&provider=swissmodel"	"1_77_3jct.1.i_5cd6a48a8fd6f95513e3f948"	"    0.60"	"    100.00"	"3jct"	NA
"P40010"	""	520	"631db6ec4beba4a4b5c7db9f6744dd3a"	"5cd6a48a8fd6f95513e3f94c"	"SWISSMODEL"	107	459	"3jct.1.c"	-4.9938531955	0.5987841947	32.5878601074	"https://swissmodel.expasy.org/repository/uniprot/P40010.pdb?provider=swissmodel&from=107&to=459&template=3jct.1.c&provider=swissmodel"	"107_459_3jct.1.c_5cd6a48a8fd6f95513e3f94c"	"    0.36"	"    32.59"	"3jct"	NA
"P40010"	""	520	"631db6ec4beba4a4b5c7db9f6744dd3a"	"5cd6a48a8fd6f95513e3f944"	"SWISSMODEL"	155	344	"5m7h.1.A"	-4.7150252042	0.5872345558	22.6190471649	"https://swissmodel.expasy.org/repository/uniprot/P40010.pdb?provider=swissmodel&from=155&to=344&template=5m7h.1.A&provider=swissmodel"	"155_344_5m7h.1.A_5cd6a48a8fd6f95513e3f944"	"    0.32"	"    22.62"	"5m7h"	NA
"P40010"	""	520	"631db6ec4beba4a4b5c7db9f6744dd3a"	"5cd6a48a8fd6f95513e3f950"	"SWISSMODEL"	170	342	"3kxi.1.A"	-4.4656078361	0.583984067	20.1298694611	"https://swissmodel.expasy.org/repository/uniprot/P40010.pdb?provider=swissmodel&from=170&to=342&template=3kxi.1.A&provider=swissmodel"	"170_342_3kxi.1.A_5cd6a48a8fd6f95513e3f950"	"    0.30"	"    20.13"	"3kxi"	NA
"O13525"	""	335	"cc3d06e67b655b8cde7b53bf8d3edf44"	"5b57758e8fd6f9d16a74e802"	"SWISSMODEL"	85	303	"3kb4.1.A"	-4.9200577179	0.6051273696	17.7884616852	"https://swissmodel.expasy.org/repository/uniprot/O13525.pdb?provider=swissmodel&from=85&to=303&template=3kb4.1.A&provider=swissmodel"	"85_303_3kb4.1.A_5b57758e8fd6f9d16a74e802"	"    0.30"	"    17.79"	"3kb4"	NA
"P46947"	""	266	"5742dca7ce1c064a6fad1413feb5e6b1"	"5cd605879ffd1227e343e93b"	"SWISSMODEL"	215	255	"2my2.1.B"	-1.3956826158	0.6230788772	100	"https://swissmodel.expasy.org/repository/uniprot/P46947.pdb?provider=swissmodel&from=215&to=255&template=2my2.1.B&provider=swissmodel"	"215_255_2my2.1.B_5cd605879ffd1227e343e93b"	"    0.64"	"    100.00"	"2my2"	NA
"P46947"	""	266	"5742dca7ce1c064a6fad1413feb5e6b1"	"5cd605879ffd1227e343e937"	"SWISSMODEL"	145	265	"5gm6.1.V"	-2.7031557317	0.6422296717	100	"https://swissmodel.expasy.org/repository/uniprot/P46947.pdb?provider=swissmodel&from=145&to=265&template=5gm6.1.V&provider=swissmodel"	"145_265_5gm6.1.V_5cd605879ffd1227e343e937"	"    0.61"	"    100.00"	"5gm6"	NA
"P34227"	""	261	"59defbadd633acfb8296853ad2c3db99"	"5cd61cd2d60c59e57cd6479f"	"SWISSMODEL"	48	260	"5ovq.1.A"	-2.6434218777	0.6744709188	46.601940155	"https://swissmodel.expasy.org/repository/uniprot/P34227.pdb?provider=swissmodel&from=48&to=260&template=5ovq.1.A&provider=swissmodel"	"48_260_5ovq.1.A_5cd61cd2d60c59e57cd6479f"	"    0.41"	"    46.60"	"5ovq"	NA
"P34227"	""	261	"59defbadd633acfb8296853ad2c3db99"	"5cd61cd2d60c59e57cd6479b"	"SWISSMODEL"	49	258	"5b6m.1.A"	-3.8177934439	0.6366728464	50.9615402222	"https://swissmodel.expasy.org/repository/uniprot/P34227.pdb?provider=swissmodel&from=49&to=258&template=5b6m.1.A&provider=swissmodel"	"49_258_5b6m.1.A_5cd61cd2d60c59e57cd6479b"	"    0.44"	"    50.96"	"5b6m"	NA
