Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Yhab160&Kazachstania&Kunashirensis	36 (10)	49	1.36	82 (0)	82	1.0	1791	-0.0109188
Nakazawaea&Peltata	25 (12)	25	1.0	75 (0)	75	1.0	1809	-0.0157316
Yhmpu5000034615&Saturnispora&Zaruensis	111 (109)	126	1.14	88 (2)	90	1.02	1710	-0.000502837
Yhmpu5000034646&Wickerhamiella&Cacticola	79 (3)	102	1.29	150 (0)	150	1.0	1680	-0.0272251
Yhmpu5000034902&Ogataea&Minuta	29 (19)	30	1.03	188 (0)	188	1.0	1692	-0.0430285
Yhmpu5000026145&Ambrosiozyma&Vanderkliftii	45 (39)	55	1.22	38 (0)	38	1.0	1826	-0.000287336
Lachancea&Nothofagi	6 (3)	8	1.33	73 (0)	73	1.0	1830	-0.0147978
Yhmpu5000034748&Lipomyces&Oligophaga	7 (0)	7	1.0	52 (0)	52	1.0	1850	-0.0243517
Yhmpu5000035665&Middelhovenomyces&Tepae	39 (0)	46	1.18	88 (0)	88	1.0	1782	-0.00919474
Yhmpu5000041863&Candida&Gorgasii	110 (86)	119	1.08	132 (0)	132	1.0	1667	-0.00955391
Yhmpu5000035018&Candida&Canberraensis	113 (96)	113	1.0	63 (0)	63	1.0	1733	0.00165218
Tetrapisispora&Phaffii	5 (2)	5	1.0	41 (1)	42	1.02	1863	-0.00818907
Yhmpu5000034875&Tetrapisispora&Fleetii	3 (3)	5	1.67	37 (1)	38	1.03	1869	-0.00732706
Naumovozyma&Castellii	13 (1)	13	1.0	104 (0)	105	1.01	1792	-0.0166655
Candida&Intermedia	171 (152)	175	1.02	95 (0)	95	1.0	1643	-0.00215502
Yhmpu5000035639&Wickerhamomyces&Canadensis	12 (9)	12	1.0	46 (0)	46	1.0	1851	-0.00703972
Kluyveromyces&Lactis	5 (1)	6	1.2	27 (0)	27	1.0	1877	-0.00481287
Yhmpu5000034754&Lipomyces&Arxii	10 (0)	10	1.0	15 (0)	15	1.0	1884	0.00193952
Candida&Albicans	134 (131)	153	1.14	4 (0)	4	1.0	1771	0.0170246
Ogataea&Parapolymorpha	28 (26)	30	1.07	42 (40)	42	1.0	1839	-0.00969758
Metschnikowia&Matae&Maris	460 (454)	572	1.24	125 (123)	129	1.03	1324	0.0365635
Yhmpu5000034655&Botryozyma&Nematodophila	107 (2)	133	1.24	111 (0)	111	1.0	1691	0.0044537
Yhmpu5000034947&Ambrosiozyma&Philentoma	72 (46)	95	1.32	64 (0)	64	1.0	1773	0.0109906
Yhmpu5000035662&Meyerozyma&Caribbica	86 (85)	86	1.0	103 (0)	103	1.0	1720	-0.00668055
Yhmpu5000034979&Cyberlindnera&Misumaiensis	12 (4)	15	1.25	57 (0)	57	1.0	1840	-0.00883557
Metschnikowia&Bowlesiae	325 (320)	376	1.16	128 (127)	129	1.01	1456	0.0257165
Candida&Sorboxylosa	49 (40)	53	1.08	201 (0)	202	1.0	1659	-0.0433159
Arxula&Adeninivorans	1 (0)	1	1.0	29 (0)	29	1.0	1879	-0.00624955
Yhmpu5000035033&Candida&Cretensis	87 (80)	89	1.02	97 (0)	97	1.0	1725	-0.00739889
Yhmpu5000041713&Debaryomyces&Maramus	117 (99)	119	1.02	189 (0)	189	1.0	1603	-0.0275842
Yhmpu5000034710&Kluyveromyces&Dobzhanskii	4 (2)	5	1.25	38 (0)	39	1.03	1867	-0.0082609
Yhmpu5000034903&Ogataea&Naganishii	44 (30)	54	1.23	91 (0)	92	1.01	1774	-0.0243517
Yhmpu5000035654&Tortispora&Ganteri	15 (0)	15	1.0	17 (0)	17	1.0	1877	0.000502837
Yhmpu5000034597&Candida&Stellimalicola	10 (3)	15	1.5	47 (0)	47	1.0	1852	-0.0105596
Nadsonia&Fulvescens&Var&Elongata	9 (1)	9	1.0	19 (2)	22	1.16	1881	-0.00926658
Metschnikowia&Dekortum	274 (269)	334	1.22	149 (149)	150	1.01	1486	0.0193233
Yhmpu5000035658&Starmera&Amethionina	30 (4)	35	1.17	111 (0)	111	1.0	1768	-0.0191078
Eremothecium&Sinecaudum	9 (3)	13	1.44	85 (0)	85	1.0	1815	-0.0228432
Yhmpu5000035041&Ambrosiozyma&Pseudovanderkliftii	44 (37)	52	1.18	32 (0)	32	1.0	1833	-7.18339e-05
Yhmpu5000034742&Lipomyces&Suomiensis	18 (0)	19	1.06	24 (0)	25	1.04	1867	-0.000143668
Yhmpu5000035671&Phaffomyces&Antillensis	10 (7)	11	1.1	42 (0)	42	1.0	1857	-0.00596222
Yhmpu5000034631&Martiniozyma&Abiesophila	238 (122)	338	1.42	119 (0)	120	1.01	1552	0.0489189
Yhmpu5000035325&Cyberlindnera&Petersonii	14 (3)	15	1.07	86 (1)	89	1.03	1809	-0.0219093
Saccharomyces&Cerevisiae	45 (36)	51	1.13	8 (0)	8	1.0	1856	0.0183176
Nakaseomyces&Bacillisporus	7 (1)	8	1.14	69 (0)	69	1.0	1833	-0.0145105
Hanseniaspora&Valbyensis	40 (4)	43	1.07	38 (0)	38	1.0	1831	0.0046692
Kazachstania&Naganishii	18 (1)	18	1.0	83 (0)	83	1.0	1808	-0.022053
Yhmpu5000034636&Ogataea&Nitratoaversa	45 (37)	58	1.29	41 (0)	41	1.0	1823	-0.00186768
Yarrowia&Deformans	3 (2)	4	1.33	9 (0)	9	1.0	1897	0.00193952
Yhmpu5000035040&Ambrosiozyma&Maleeae	46 (38)	52	1.13	127 (0)	130	1.02	1736	-0.0409453
Yhmpu5000035688&Cyberlindnera&Xylosilytica	64 (3)	70	1.09	83 (0)	83	1.0	1762	0.00610588
Nakaseomyces&Bracarensis	8 (3)	11	1.38	40 (0)	40	1.0	1861	-0.00510021
Yhmpu5000034986&Candida&Oregonensis	178 (143)	180	1.01	332 (0)	335	1.01	1399	-0.0473386
Yhmpu5000035691&Candida&Salmanticensis	18 (0)	24	1.33	93 (0)	93	1.0	1798	-0.0563896
Yhmpu5000034627&Pichia&Heedii	65 (53)	70	1.08	50 (0)	50	1.0	1794	-0.00624955
Yhmpu5000034667&Blastobotrys&Serpentis	29 (0)	34	1.17	58 (0)	59	1.02	1822	-0.00969758
Yhab164&Kazachstania&Aerobia	16 (15)	18	1.13	45 (40)	46	1.02	1848	-0.00510021
Spathaspora&Girioi	98 (80)	119	1.21	92 (1)	93	1.01	1719	0.00308886
Nakaseomyces&Delphensis	4 (2)	4	1.0	46 (0)	46	1.0	1859	-0.0111343
Hanseniaspora&Vinae	8 (1)	8	1.0	41 (0)	41	1.0	1860	-0.00524388
Lachancea&Waltii	32 (2)	34	1.06	92 (0)	92	1.0	1785	-0.00675239
Yhab158&Kazachstania&Viticola	63 (14)	79	1.25	91 (0)	91	1.0	1755	-0.000431004
Metschnikowia&Santaceciliae	422 (417)	490	1.16	188 (184)	194	1.03	1299	0.0265786
Yhmpu5000035677&Kodamaea&Ohmeri	103 (91)	106	1.03	94 (0)	94	1.0	1712	-0.00344803
Candida&Versatilis	44 (1)	58	1.32	96 (0)	96	1.0	1769	-0.00553121
Yhmpu5000026256&Zygotorulaspora&Mrakii	8 (1)	8	1.0	73 (0)	73	1.0	1828	-0.017743
Cyberlindnera&Jadinii	26 (5)	29	1.12	62 (0)	62	1.0	1821	-0.00883557
Yhab155&Kazachstania&Spencerorum	71 (24)	107	1.51	105 (0)	105	1.0	1733	0.00323253
Cyberlindnera&Fabianii&Jcm3601	16 (2)	18	1.13	59 (0)	59	1.0	1834	-0.0165218
Yhmpu5000035046&Barnettozyma&Populi	8 (1)	8	1.0	48 (0)	48	1.0	1853	-0.0103441
Yhmpu5000041824&Debaryomyces&Subglobosus	101 (91)	102	1.01	82 (1)	83	1.01	1726	-0.00567488
Yhmpu5000034625&Pichia&Kudriavzevii	70 (46)	99	1.41	106 (0)	106	1.0	1733	-0.00165218
Yhmpu5000034622&Pichia&Occidentalis	76 (60)	85	1.12	60 (0)	60	1.0	1773	-0.00351986
