	OrthologID	Ascoidea_rubescens	Saccharomyces_cerevisiae
473	OG0000473	maker-scaffold_6-snap-gene-4.0-mRNA-1_1&gene=maker-scaffold_6-snap-gene-4.0&CDS=1-963	YBL068W, YER099C
474	OG0000474	genemark-scaffold_6-processed-gene-6.109-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.109&CDS=1-3198, snap_masked-scaffold_6-processed-gene-6.28-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.28&CDS=1-3402	YLR389C
475	OG0000475	genemark-scaffold_6-processed-gene-6.115-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.115&CDS=1-3315	YGR056W, YLR357W
476	OG0000476	snap_masked-scaffold_6-processed-gene-6.14-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.14&CDS=1-243	YGR008C, YLR327C
477	OG0000477	snap_masked-scaffold_6-processed-gene-7.27-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.27&CDS=1-477	YCR031C, YJL191W
478	OG0000478	snap_masked-scaffold_6-processed-gene-7.29-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.29&CDS=1-390	YJL190C, YLR367W
479	OG0000479	snap_masked-scaffold_6-processed-gene-7.19-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.19&CDS=1-3240	YDR213W, YLR228C
480	OG0000480	genemark-scaffold_6-processed-gene-9.66-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-9.66&CDS=1-1326	YAL034C, YOR338W
481	OG0000481	genemark-scaffold_6-processed-gene-9.82-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-9.82&CDS=1-5790	YEL022W, YJR031C
482	OG0000482	genemark-scaffold_6-processed-gene-9.83-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-9.83&CDS=1-2238	YFR023W, YHR015W
483	OG0000483	snap_masked-scaffold_7-processed-gene-0.38-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-0.38&CDS=1-417	YDR447C, YML024W
484	OG0000484	maker-scaffold_7-augustus-gene-4.36-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-4.36&CDS=1-441	YBR191W, YPL079W
485	OG0000485	snap_masked-scaffold_7-processed-gene-4.32-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.32&CDS=1-1452, snap_masked-scaffold_7-processed-gene-4.33-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.33&CDS=1-1428	YHR137W
486	OG0000486	genemark-scaffold_7-processed-gene-5.21-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.21&CDS=1-468	YBR048W, YDR025W
487	OG0000487	genemark-scaffold_7-processed-gene-5.10-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.10&CDS=1-774	YBR014C, YDL010W
488	OG0000488	genemark-scaffold_7-processed-gene-5.26-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.26&CDS=1-2694	YDR223W, YLR223C
489	OG0000489	augustus_masked-scaffold_7-processed-gene-6.46-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.46&CDS=1-5088	YIL149C, YKR095W
490	OG0000490	maker-scaffold_7-snap-gene-6.27-mRNA-1_1&gene=maker-scaffold_7-snap-gene-6.27&CDS=1-5055	YER132C, YGL197W
491	OG0000491	genemark-scaffold_7-processed-gene-6.10-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.10&CDS=1-2139	YDR146C, YLR131C
492	OG0000492	augustus_masked-scaffold_7-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.29&CDS=1-2730	YGR243W, YHR162W
493	OG0000493	genemark-scaffold_7-processed-gene-7.63-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.63&CDS=1-1326	YCR094W, YNR048W
494	OG0000494	genemark-scaffold_7-processed-gene-8.2-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.2&CDS=1-1083	YDL246C, YJR159W
495	OG0000495	genemark-scaffold_7-processed-gene-8.12-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.12&CDS=1-5307	YER129W, YGL179C
496	OG0000496	genemark-scaffold_8-processed-gene-1.6-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.6&CDS=1-1854	YBR278W, YJL065C
497	OG0000497	augustus_masked-scaffold_8-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.57&CDS=1-492	YDL137W, YDL192W
498	OG0000498	augustus_masked-scaffold_8-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.58&CDS=1-357	YDL136W, YDL191W
499	OG0000499	genemark-scaffold_8-processed-gene-1.42-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.42&CDS=1-4026, genemark-scaffold_8-processed-gene-1.44-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.44&CDS=1-615	YGR227W
500	OG0000500	genemark-scaffold_8-processed-gene-2.56-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-2.56&CDS=1-1569	YJR054W, YML047C
501	OG0000501	snap_masked-scaffold_8-processed-gene-3.99-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.99&CDS=1-2958	YKR089C, YOR081C
502	OG0000502	snap_masked-scaffold_8-processed-gene-3.107-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.107&CDS=1-4269	YLR098C, YOR337W
503	OG0000503	genemark-scaffold_8-processed-gene-3.17-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.17&CDS=1-882	YLL053C, YPR192W
504	OG0000504	snap_masked-scaffold_8-processed-gene-4.83-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.83&CDS=1-5400	YGR238C, YHR158C
505	OG0000505	snap_masked-scaffold_8-processed-gene-4.94-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.94&CDS=1-2463	YIL156W, YKR098C
506	OG0000506	genemark-scaffold_8-processed-gene-5.76-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.76&CDS=1-189	YLR287C-A, YOR182C
507	OG0000507	genemark-scaffold_8-processed-gene-6.65-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.65&CDS=1-1491	YEL047C, YJR051W
508	OG0000508	genemark-scaffold_8-processed-gene-8.34-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-8.34&CDS=1-1860	YGR004W, YLR324W
509	OG0000509	genemark-scaffold_8-processed-gene-8.39-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-8.39&CDS=1-774	YHL033C, YLL045C
510	OG0000510	genemark-scaffold_9-processed-gene-1.36-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-1.36&CDS=1-1554	YEL041W, YJR049C
511	OG0000511	genemark-scaffold_9-processed-gene-3.87-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.87&CDS=1-2451	YBR294W, YLR092W
512	OG0000512	genemark-scaffold_9-processed-gene-3.76-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.76&CDS=1-873, genemark-scaffold_9-processed-gene-5.6-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-5.6&CDS=1-642	YNL036W
513	OG0000513	maker-scaffold_9-snap-gene-4.34-mRNA-1_1&gene=maker-scaffold_9-snap-gene-4.34&CDS=1-312	YOR234C, YPL143W
514	OG0000514	genemark-scaffold_9-processed-gene-4.82-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.82&CDS=1-1353	YOR237W, YPL145C
515	OG0000515	augustus_masked-scaffold_9-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-4.61&CDS=1-1092, augustus_masked-scaffold_9-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-5.126&CDS=1-1092	YDL055C
516	OG0000516	genemark-scaffold_9-processed-gene-4.89-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.89&CDS=1-3111	YNL293W, YOL112W
517	OG0000517	genemark-scaffold_9-processed-gene-5.50-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-5.50&CDS=1-1434	YER081W, YIL074C
518	OG0000518	snap_masked-scaffold_9-processed-gene-5.186-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-5.186&CDS=1-405	YDR471W, YHR010W
519	OG0000519	genemark-scaffold_9-processed-gene-5.16-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-5.16&CDS=1-3522	YLR450W, YML075C
520	OG0000520	genemark-scaffold_1-processed-gene-0.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.82&CDS=1-864	YBR185C
521	OG0000521	genemark-scaffold_1-processed-gene-0.98-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.98&CDS=1-963	YGR096W
522	OG0000522	genemark-scaffold_1-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.83&CDS=1-1989	YGL099W
523	OG0000523	genemark-scaffold_1-processed-gene-0.99-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.99&CDS=1-1656	YJL111W
524	OG0000524	genemark-scaffold_1-processed-gene-0.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.84&CDS=1-1335	YNL220W
525	OG0000525	genemark-scaffold_1-processed-gene-0.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.100&CDS=1-1968	YML130C
526	OG0000526	maker-scaffold_1-snap-gene-0.1-mRNA-1_1&gene=maker-scaffold_1-snap-gene-0.1&CDS=1-1326	YLR019W
527	OG0000527	genemark-scaffold_1-processed-gene-0.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.86&CDS=1-1455	YNL142W
528	OG0000528	maker-scaffold_1-snap-gene-0.4-mRNA-1_1&gene=maker-scaffold_1-snap-gene-0.4&CDS=1-1806	YDR221W
529	OG0000529	genemark-scaffold_1-processed-gene-0.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.87&CDS=1-990	YLR017W
530	OG0000530	genemark-scaffold_1-processed-gene-0.104-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.104&CDS=1-978	YHR104W
531	OG0000531	genemark-scaffold_1-processed-gene-0.106-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.106&CDS=1-1185	YMR028W
532	OG0000532	augustus_masked-scaffold_1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.35&CDS=1-1875	YKL089W
533	OG0000533	genemark-scaffold_1-processed-gene-0.91-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.91&CDS=1-2151	YGR093W
534	OG0000534	genemark-scaffold_1-processed-gene-0.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.92&CDS=1-654	YLR262C
535	OG0000535	genemark-scaffold_1-processed-gene-0.93-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.93&CDS=1-1386	YKL082C
536	OG0000536	genemark-scaffold_1-processed-gene-0.111-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.111&CDS=1-1728	YGR124W
537	OG0000537	snap_masked-scaffold_1-processed-gene-0.77-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.77&CDS=1-1815	YNL104C
538	OG0000538	genemark-scaffold_1-processed-gene-0.113-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.113&CDS=1-2367	YLR141W
539	OG0000539	genemark-scaffold_1-processed-gene-0.114-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.114&CDS=1-960	YDL014W
540	OG0000540	genemark-scaffold_1-processed-gene-0.115-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.115&CDS=1-1446	YKL184W
541	OG0000541	snap_masked-scaffold_1-processed-gene-0.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.60&CDS=1-261	YMR286W
542	OG0000542	genemark-scaffold_1-processed-gene-1.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.3&CDS=1-1335	YER043C
543	OG0000543	augustus_masked-scaffold_1-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.71&CDS=1-4134	YGR274C
544	OG0000544	genemark-scaffold_1-processed-gene-1.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.6&CDS=1-1200	YKR071C
545	OG0000545	genemark-scaffold_1-processed-gene-1.11-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.11&CDS=1-993	YOR223W
546	OG0000546	genemark-scaffold_1-processed-gene-1.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.22&CDS=1-1359	YOL140W
547	OG0000547	snap_masked-scaffold_1-processed-gene-1.44-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.44&CDS=1-2325	YMR089C
548	OG0000548	augustus_masked-scaffold_1-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.90&CDS=1-1248	YDR527W
549	OG0000549	genemark-scaffold_1-processed-gene-1.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.24&CDS=1-2922	YCL054W
550	OG0000550	maker-scaffold_1-snap-gene-1.34-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.34&CDS=1-879	YBL050W
551	OG0000551	augustus_masked-scaffold_1-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.92&CDS=1-4653	YIL147C
552	OG0000552	augustus_masked-scaffold_1-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.80&CDS=1-633	YJL004C
553	OG0000553	snap_masked-scaffold_1-processed-gene-1.62-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.62&CDS=1-3021	YDR217C
554	OG0000554	genemark-scaffold_1-processed-gene-1.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.14&CDS=1-1119	YDR400W
555	OG0000555	genemark-scaffold_1-processed-gene-1.26-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.26&CDS=1-2658	YPL164C
556	OG0000556	augustus_masked-scaffold_1-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.82&CDS=1-5205	YNR053C
557	OG0000557	genemark-scaffold_1-processed-gene-1.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.27&CDS=1-300	YDR510W
558	OG0000558	genemark-scaffold_1-processed-gene-1.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.16&CDS=1-675	YJL001W
559	OG0000559	genemark-scaffold_1-processed-gene-2.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.6&CDS=1-780	YGR207C
560	OG0000560	snap_masked-scaffold_1-processed-gene-2.46-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.46&CDS=1-414	YAL046C
561	OG0000561	genemark-scaffold_1-processed-gene-2.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.28&CDS=1-1014	YBR046C
562	OG0000562	genemark-scaffold_1-processed-gene-2.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.13&CDS=1-1068	YHR198C
563	OG0000563	genemark-scaffold_1-processed-gene-2.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.14&CDS=1-1944	YJR136C
564	OG0000564	genemark-scaffold_1-processed-gene-2.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.15&CDS=1-870	YKL195W
565	OG0000565	genemark-scaffold_1-processed-gene-2.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.16&CDS=1-2106	YFR015C
566	OG0000566	genemark-scaffold_1-processed-gene-2.31-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.31&CDS=1-261	YJR135W-A
567	OG0000567	augustus_masked-scaffold_1-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.96&CDS=1-1173	YHR200W
568	OG0000568	augustus_masked-scaffold_1-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.111&CDS=1-2040	YHR031C
569	OG0000569	augustus_masked-scaffold_1-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.112&CDS=1-1689	YCR024C
570	OG0000570	genemark-scaffold_1-processed-gene-2.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.20&CDS=1-855	YBR011C
571	OG0000571	maker-scaffold_1-snap-gene-2.125-mRNA-1_1&gene=maker-scaffold_1-snap-gene-2.125&CDS=1-8730	YDR023W
572	OG0000572	genemark-scaffold_1-processed-gene-2.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.21&CDS=1-2469	YOL033W
573	OG0000573	genemark-scaffold_1-processed-gene-2.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.37&CDS=1-4494	YBL079W
574	OG0000574	snap_masked-scaffold_1-processed-gene-2.61-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.61&CDS=1-504	YNL153C
575	OG0000575	genemark-scaffold_1-processed-gene-2.23-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.23&CDS=1-855	YHR189W
576	OG0000576	genemark-scaffold_1-processed-gene-2.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.41&CDS=1-2298	YMR224C
577	OG0000577	augustus_masked-scaffold_1-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.121&CDS=1-2091	YMR240C
578	OG0000578	augustus_masked-scaffold_1-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.105&CDS=1-1068	YOR305W
579	OG0000579	genemark-scaffold_1-processed-gene-3.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.88&CDS=1-990	YJR024C
580	OG0000580	genemark-scaffold_1-processed-gene-3.89-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.89&CDS=1-1569	YML056C
581	OG0000581	genemark-scaffold_1-processed-gene-3.111-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.111&CDS=1-765	YLR441C
582	OG0000582	genemark-scaffold_1-processed-gene-3.112-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.112&CDS=1-747	YMR073C
583	OG0000583	genemark-scaffold_1-processed-gene-3.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.90&CDS=1-960	YML064C
584	OG0000584	genemark-scaffold_1-processed-gene-3.113-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.113&CDS=1-2853	YML065W
585	OG0000585	genemark-scaffold_1-processed-gene-3.91-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.91&CDS=1-1170	YLR443W
586	OG0000586	genemark-scaffold_1-processed-gene-3.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.92&CDS=1-1542	YML066C
587	OG0000587	snap_masked-scaffold_1-processed-gene-3.33-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.33&CDS=1-3612	YJL020C
588	OG0000588	genemark-scaffold_1-processed-gene-3.93-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.93&CDS=1-1476	YMR048W
589	OG0000589	genemark-scaffold_1-processed-gene-3.94-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.94&CDS=1-804	YER026C
590	OG0000590	genemark-scaffold_1-processed-gene-3.97-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.97&CDS=1-834	YDR090C
591	OG0000591	genemark-scaffold_1-processed-gene-3.99-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.99&CDS=1-1551	YHR170W
592	OG0000592	augustus_masked-scaffold_1-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.57&CDS=1-549	YJL024C
593	OG0000593	genemark-scaffold_1-processed-gene-3.118-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.118&CDS=1-1470	YDR111C
594	OG0000594	genemark-scaffold_1-processed-gene-3.102-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.102&CDS=1-1332	YOR303W
595	OG0000595	genemark-scaffold_1-processed-gene-3.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.103&CDS=1-1032	YER142C
596	OG0000596	genemark-scaffold_1-processed-gene-3.104-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.104&CDS=1-1329	YER136W
597	OG0000597	maker-scaffold_1-snap-gene-3.4-mRNA-1_1&gene=maker-scaffold_1-snap-gene-3.4&CDS=1-1191	YOR077W
598	OG0000598	genemark-scaffold_1-processed-gene-3.122-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.122&CDS=1-648	YDR067C
599	OG0000599	genemark-scaffold_1-processed-gene-3.106-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.106&CDS=1-1296	YDR068W
600	OG0000600	genemark-scaffold_1-processed-gene-3.107-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.107&CDS=1-642	YLR293C
601	OG0000601	maker-scaffold_1-snap-gene-3.2-mRNA-1_1&gene=maker-scaffold_1-snap-gene-3.2&CDS=1-324	YDR512C
602	OG0000602	genemark-scaffold_1-processed-gene-4.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.88&CDS=1-1077	YER107C
603	OG0000603	snap_masked-scaffold_1-processed-gene-4.22-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.22&CDS=1-939	YIL106W
604	OG0000604	snap_masked-scaffold_1-processed-gene-4.4-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.4&CDS=1-552	YER112W
605	OG0000605	genemark-scaffold_1-processed-gene-4.109-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.109&CDS=1-1230	YGR185C
606	OG0000606	genemark-scaffold_1-processed-gene-4.91-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.91&CDS=1-1122	YNL263C
607	OG0000607	augustus_masked-scaffold_1-processed-gene-4.68-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.68&CDS=1-4506	YBL091C
608	OG0000608	genemark-scaffold_1-processed-gene-4.96-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.96&CDS=1-1167	YOR340C
609	OG0000609	genemark-scaffold_1-processed-gene-4.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.100&CDS=1-1218	YMR166C
610	OG0000610	snap_masked-scaffold_1-processed-gene-4.15-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.15&CDS=1-1065	YMR315W
611	OG0000611	genemark-scaffold_1-processed-gene-4.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.103&CDS=1-1821	YGL142C
612	OG0000612	genemark-scaffold_1-processed-gene-4.116-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.116&CDS=1-1338	YDL107W
613	OG0000613	genemark-scaffold_1-processed-gene-4.117-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.117&CDS=1-960	YDL108W
614	OG0000614	snap_masked-scaffold_1-processed-gene-4.30-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.30&CDS=1-2523	YLR138W
615	OG0000615	snap_masked-scaffold_1-processed-gene-4.31-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.31&CDS=1-723	YER163C
616	OG0000616	maker-scaffold_1-snap-gene-4.84-mRNA-1_1&gene=maker-scaffold_1-snap-gene-4.84&CDS=1-273	YDL045W-A
617	OG0000617	maker-scaffold_1-snap-gene-4.85-mRNA-1_1&gene=maker-scaffold_1-snap-gene-4.85&CDS=1-3564	YBR043C
618	OG0000618	genemark-scaffold_1-processed-gene-4.121-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.121&CDS=1-621	YBR040W
619	OG0000619	snap_masked-scaffold_1-processed-gene-5.30-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.30&CDS=1-513	YCL033C
620	OG0000620	snap_masked-scaffold_1-processed-gene-5.31-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.31&CDS=1-3789	YNL054W
621	OG0000621	genemark-scaffold_1-processed-gene-5.2-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.2&CDS=1-1365	YGR169C
622	OG0000622	genemark-scaffold_1-processed-gene-5.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.16&CDS=1-2034	YIL108W
623	OG0000623	genemark-scaffold_1-processed-gene-5.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.3&CDS=1-2784	YIL109C
624	OG0000624	genemark-scaffold_1-processed-gene-5.4-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.4&CDS=1-1692	YCR014C
625	OG0000625	maker-scaffold_1-snap-gene-5.83-mRNA-1_1&gene=maker-scaffold_1-snap-gene-5.83&CDS=1-1062	YML067C
626	OG0000626	genemark-scaffold_1-processed-gene-5.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.18&CDS=1-1521	YDR448W
627	OG0000627	genemark-scaffold_1-processed-gene-5.5-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.5&CDS=1-1767	YML068W
628	OG0000628	maker-scaffold_1-snap-gene-5.84-mRNA-1_1&gene=maker-scaffold_1-snap-gene-5.84&CDS=1-1752	YHR150W
629	OG0000629	genemark-scaffold_1-processed-gene-5.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.7&CDS=1-849	YLR414C
630	OG0000630	snap_masked-scaffold_1-processed-gene-5.48-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.48&CDS=1-2940	YKL185W
631	OG0000631	snap_masked-scaffold_1-processed-gene-5.49-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.49&CDS=1-693	YLR438W
632	OG0000632	snap_masked-scaffold_1-processed-gene-5.51-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.51&CDS=1-2988	YGR128C
633	OG0000633	snap_masked-scaffold_1-processed-gene-5.52-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.52&CDS=1-3450	YML061C
634	OG0000634	maker-scaffold_1-augustus-gene-5.26-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.26&CDS=1-4668	YLR410W
635	OG0000635	genemark-scaffold_1-processed-gene-5.23-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.23&CDS=1-3018	YLR409C
636	OG0000636	maker-scaffold_1-augustus-gene-5.27-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.27&CDS=1-6768	YDL077C
637	OG0000637	snap_masked-scaffold_1-processed-gene-5.56-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.56&CDS=1-711	YBR096W
638	OG0000638	genemark-scaffold_1-processed-gene-5.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.13&CDS=1-882	YLR372W
639	OG0000639	genemark-scaffold_1-processed-gene-6.0-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.0&CDS=1-885	YDR121W
640	OG0000640	augustus_masked-scaffold_1-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.36&CDS=1-1179	YMR272C
641	OG0000641	genemark-scaffold_1-processed-gene-6.1-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.1&CDS=1-1989	YLR429W
642	OG0000642	augustus_masked-scaffold_1-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.37&CDS=1-348	YPL098C
643	OG0000643	snap_masked-scaffold_1-processed-gene-6.77-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.77&CDS=1-939	YPL094C
