	OrthologID	Metschnikowia_bicuspidata	Saccharomyces_cerevisiae
708	OG0000708	genemark-scaffold_1-processed-gene-17.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.71&CDS=1-1497	YHL004W
709	OG0000709	genemark-scaffold_1-processed-gene-17.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.72&CDS=1-1491	YHL002W
710	OG0000710	genemark-scaffold_1-processed-gene-17.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.84&CDS=1-798	YKL007W
711	OG0000711	genemark-scaffold_1-processed-gene-17.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.85&CDS=1-4851	YKL010C
712	OG0000712	genemark-scaffold_1-processed-gene-17.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.73&CDS=1-1509	YGR260W
713	OG0000713	augustus_masked-scaffold_1-processed-gene-17.21-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.21&CDS=1-1107	YBL016W
714	OG0000714	genemark-scaffold_1-processed-gene-17.74-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.74&CDS=1-1029	YLR100W
715	OG0000715	maker-scaffold_1-snap-gene-17.30-mRNA-1_1&gene=maker-scaffold_1-snap-gene-17.30&CDS=1-4434	YDR128W
716	OG0000716	genemark-scaffold_1-processed-gene-17.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.76&CDS=1-1248	YER019W
717	OG0000717	snap_masked-scaffold_1-processed-gene-17.43-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.43&CDS=1-327	YLR104W
718	OG0000718	maker-scaffold_1-snap-gene-17.29-mRNA-1_1&gene=maker-scaffold_1-snap-gene-17.29&CDS=1-1524	YLR149C
719	OG0000719	genemark-scaffold_1-processed-gene-17.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.78&CDS=1-2172	YLR103C
720	OG0000720	snap_masked-scaffold_1-processed-gene-18.32-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.32&CDS=1-1290	YDR323C
721	OG0000721	snap_masked-scaffold_1-processed-gene-18.33-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.33&CDS=1-273	YDR322C-A
722	OG0000722	snap_masked-scaffold_1-processed-gene-18.34-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.34&CDS=1-1113	YHR076W
723	OG0000723	genemark-scaffold_1-processed-gene-18.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.84&CDS=1-3015	YHR077C
724	OG0000724	genemark-scaffold_1-processed-gene-18.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.85&CDS=1-1080	YDR322W
725	OG0000725	genemark-scaffold_1-processed-gene-18.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.73&CDS=1-441	YHR051W
726	OG0000726	augustus_masked-scaffold_1-processed-gene-18.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.6&CDS=1-1668	YOR035C
727	OG0000727	genemark-scaffold_1-processed-gene-18.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.90&CDS=1-2967	YHR098C
728	OG0000728	genemark-scaffold_1-processed-gene-18.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.77&CDS=1-2418	YDR258C
729	OG0000729	snap_masked-scaffold_1-processed-gene-18.52-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.52&CDS=1-4242	YIR006C
730	OG0000730	genemark-scaffold_1-processed-gene-18.93-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.93&CDS=1-2301	YML035C
731	OG0000731	snap_masked-scaffold_1-processed-gene-18.40-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.40&CDS=1-951	YPL111W
732	OG0000732	genemark-scaffold_1-processed-gene-18.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.79&CDS=1-3831	YPL110C
733	OG0000733	genemark-scaffold_1-processed-gene-18.80-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.80&CDS=1-1449	YPR040W
734	OG0000734	genemark-scaffold_1-processed-gene-18.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.81&CDS=1-783	YJR101W
735	OG0000735	genemark-scaffold_1-processed-gene-18.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.82&CDS=1-930	YJR088C
736	OG0000736	genemark-scaffold_1-processed-gene-18.95-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.95&CDS=1-1725	YBL039C
737	OG0000737	genemark-scaffold_1-processed-gene-18.96-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.96&CDS=1-570	YJR102C
738	OG0000738	maker-scaffold_1-snap-gene-19.68-mRNA-1_1&gene=maker-scaffold_1-snap-gene-19.68&CDS=1-2733	YJR084W
739	OG0000739	genemark-scaffold_1-processed-gene-19.36-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.36&CDS=1-1191	YPR041W
740	OG0000740	genemark-scaffold_1-processed-gene-19.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.37&CDS=1-960	YJR093C
741	OG0000741	maker-scaffold_1-snap-gene-19.69-mRNA-1_1&gene=maker-scaffold_1-snap-gene-19.69&CDS=1-5148	YJR092W
742	OG0000742	genemark-scaffold_1-processed-gene-19.40-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.40&CDS=1-1413	YDL103C
743	OG0000743	genemark-scaffold_1-processed-gene-19.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.41&CDS=1-1884	YHL032C
744	OG0000744	genemark-scaffold_1-processed-gene-19.43-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.43&CDS=1-741	YKL152C
745	OG0000745	genemark-scaffold_1-processed-gene-19.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.44&CDS=1-2430	YJL041W
746	OG0000746	genemark-scaffold_1-processed-gene-19.45-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.45&CDS=1-1131	YGL040C
747	OG0000747	genemark-scaffold_1-processed-gene-19.59-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.59&CDS=1-663	YMR077C
748	OG0000748	genemark-scaffold_1-processed-gene-19.46-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.46&CDS=1-1668	YGL116W
749	OG0000749	genemark-scaffold_1-processed-gene-19.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.47&CDS=1-1128	YLR113W
750	OG0000750	genemark-scaffold_1-processed-gene-19.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.60&CDS=1-960	YBL033C
751	OG0000751	augustus_masked-scaffold_1-processed-gene-19.85-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.85&CDS=1-627	YKL041W
752	OG0000752	genemark-scaffold_1-processed-gene-19.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.62&CDS=1-684	YBL038W
753	OG0000753	maker-scaffold_1-augustus-gene-19.104-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-19.104&CDS=1-3153	YPR047W
754	OG0000754	genemark-scaffold_1-processed-gene-19.64-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.64&CDS=1-1422	YMR023C
755	OG0000755	genemark-scaffold_1-processed-gene-19.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.67&CDS=1-363	YJL104W
756	OG0000756	genemark-scaffold_1-processed-gene-19.56-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.56&CDS=1-1932	YBR030W
757	OG0000757	snap_masked-scaffold_1-processed-gene-20.40-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.40&CDS=1-1866	YKR017C
758	OG0000758	genemark-scaffold_1-processed-gene-20.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.83&CDS=1-957	YKR030W
759	OG0000759	genemark-scaffold_1-processed-gene-20.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.86&CDS=1-1098	YNL036W
760	OG0000760	genemark-scaffold_1-processed-gene-20.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.103&CDS=1-669	YJL055W
761	OG0000761	genemark-scaffold_1-processed-gene-20.104-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.104&CDS=1-420	YJR044C
762	OG0000762	genemark-scaffold_1-processed-gene-20.105-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.105&CDS=1-1008	YJL066C
763	OG0000763	genemark-scaffold_1-processed-gene-20.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.88&CDS=1-1686	YOL033W
764	OG0000764	snap_masked-scaffold_1-processed-gene-20.67-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.67&CDS=1-3072	YOL034W
765	OG0000765	augustus_masked-scaffold_1-processed-gene-20.7-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.7&CDS=1-426	YGL106W
766	OG0000766	maker-scaffold_1-snap-gene-20.39-mRNA-1_1&gene=maker-scaffold_1-snap-gene-20.39&CDS=1-2367	YNL001W
767	OG0000767	genemark-scaffold_1-processed-gene-20.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.92&CDS=1-1839	YBR239C
768	OG0000768	snap_masked-scaffold_1-processed-gene-20.51-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.51&CDS=1-1467	YBR241C
769	OG0000769	snap_masked-scaffold_1-processed-gene-20.52-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.52&CDS=1-447	YGL103W
770	OG0000770	maker-scaffold_1-snap-gene-20.38-mRNA-1_1&gene=maker-scaffold_1-snap-gene-20.38&CDS=1-534	YGR029W
771	OG0000771	snap_masked-scaffold_1-processed-gene-20.55-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.55&CDS=1-2946	YJL187C
772	OG0000772	snap_masked-scaffold_1-processed-gene-20.74-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.74&CDS=1-3771	YER008C
773	OG0000773	snap_masked-scaffold_1-processed-gene-20.75-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.75&CDS=1-600	YBR171W
774	OG0000774	snap_masked-scaffold_1-processed-gene-20.77-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.77&CDS=1-735	YPL051W
775	OG0000775	genemark-scaffold_1-processed-gene-20.99-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.99&CDS=1-1395	YER081W
776	OG0000776	genemark-scaffold_1-processed-gene-20.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.100&CDS=1-2886	YIL075C
777	OG0000777	augustus_masked-scaffold_1-processed-gene-21.0-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.0&CDS=1-4431	YER014W
778	OG0000778	snap_masked-scaffold_1-processed-gene-21.41-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.41&CDS=1-207	YIR009W
779	OG0000779	genemark-scaffold_1-processed-gene-21.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.78&CDS=1-1122	YGL143C
780	OG0000780	genemark-scaffold_1-processed-gene-21.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.76&CDS=1-315	YDL110C
781	OG0000781	genemark-scaffold_1-processed-gene-21.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.79&CDS=1-1392	YDR316W
782	OG0000782	genemark-scaffold_1-processed-gene-21.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.77&CDS=1-1275	YDL097C
783	OG0000783	augustus_masked-scaffold_1-processed-gene-21.5-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.5&CDS=1-2379	YDL116W
784	OG0000784	genemark-scaffold_1-processed-gene-21.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.81&CDS=1-1980	YDL113C
785	OG0000785	maker-scaffold_1-snap-gene-21.33-mRNA-1_1&gene=maker-scaffold_1-snap-gene-21.33&CDS=1-4278	YDL112W
786	OG0000786	genemark-scaffold_1-processed-gene-21.95-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.95&CDS=1-867	YDL111C
787	OG0000787	genemark-scaffold_1-processed-gene-21.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.86&CDS=1-330	YMR155W
788	OG0000788	augustus_masked-scaffold_1-processed-gene-21.24-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.24&CDS=1-2616	YBR179C
789	OG0000789	snap_masked-scaffold_1-processed-gene-21.50-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.50&CDS=1-645	YIR032C
790	OG0000790	genemark-scaffold_1-processed-gene-21.97-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.97&CDS=1-834	YFR043C
791	OG0000791	genemark-scaffold_1-processed-gene-21.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.87&CDS=1-2580	YGL233W
792	OG0000792	genemark-scaffold_1-processed-gene-21.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.88&CDS=1-888	YMR314W
793	OG0000793	genemark-scaffold_1-processed-gene-21.89-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.89&CDS=1-858	YGL232W
794	OG0000794	snap_masked-scaffold_1-processed-gene-21.64-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.64&CDS=1-522	YGL231C
795	OG0000795	snap_masked-scaffold_1-processed-gene-21.57-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.57&CDS=1-1149	YPL138C
796	OG0000796	snap_masked-scaffold_1-processed-gene-21.65-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.65&CDS=1-1407	YDR403W
797	OG0000797	maker-scaffold_1-snap-gene-21.34-mRNA-1_1&gene=maker-scaffold_1-snap-gene-21.34&CDS=1-3672	YDR060W
798	OG0000798	augustus_masked-scaffold_1-processed-gene-21.29-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.29&CDS=1-4713	YBL104C
799	OG0000799	snap_masked-scaffold_1-processed-gene-21.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.60&CDS=1-4680	YFL036W
800	OG0000800	snap_masked-scaffold_1-processed-gene-21.69-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.69&CDS=1-573	YFL034C-B
801	OG0000801	snap_masked-scaffold_1-processed-gene-21.70-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.70&CDS=1-1833	YNL169C
802	OG0000802	snap_masked-scaffold_1-processed-gene-21.71-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.71&CDS=1-3492	YNL172W
803	OG0000803	genemark-scaffold_1-processed-gene-21.105-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.105&CDS=1-1281	YOR187W
804	OG0000804	augustus_masked-scaffold_1-processed-gene-22.67-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.67&CDS=1-3147	YBR155W
805	OG0000805	genemark-scaffold_1-processed-gene-22.2-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.2&CDS=1-1608	YLR299W
806	OG0000806	genemark-scaffold_1-processed-gene-22.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.15&CDS=1-1434	YOR188W
807	OG0000807	snap_masked-scaffold_1-processed-gene-22.50-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-22.50&CDS=1-1968	YNL167C
808	OG0000808	genemark-scaffold_1-processed-gene-22.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.17&CDS=1-1950	YJR131W
809	OG0000809	snap_masked-scaffold_1-processed-gene-22.37-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-22.37&CDS=1-2445	YML076C
810	OG0000810	genemark-scaffold_1-processed-gene-22.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.19&CDS=1-1602	YER052C
811	OG0000811	genemark-scaffold_1-processed-gene-22.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.7&CDS=1-1830	YER049W
812	OG0000812	genemark-scaffold_1-processed-gene-22.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.8&CDS=1-849	YIL043C
813	OG0000813	genemark-scaffold_1-processed-gene-22.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.20&CDS=1-2400	YLL013C
814	OG0000814	augustus_masked-scaffold_1-processed-gene-22.75-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.75&CDS=1-1041	YGR222W
815	OG0000815	augustus_masked-scaffold_1-processed-gene-22.83-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.83&CDS=1-1071	YGR223C
816	OG0000816	genemark-scaffold_1-processed-gene-22.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.21&CDS=1-2052	YKL022C
817	OG0000817	genemark-scaffold_1-processed-gene-22.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.12&CDS=1-1194	YKL021C
818	OG0000818	genemark-scaffold_1-processed-gene-22.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.22&CDS=1-1119	YIR034C
819	OG0000819	genemark-scaffold_1-processed-gene-22.23-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.23&CDS=1-1980	YGR194C
820	OG0000820	snap_masked-scaffold_1-processed-gene-22.64-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-22.64&CDS=1-4533	YPR184W
821	OG0000821	maker-scaffold_1-snap-gene-22.91-mRNA-1_1&gene=maker-scaffold_1-snap-gene-22.91&CDS=1-4695	YNL139C
822	OG0000822	genemark-scaffold_1-processed-gene-23.2-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.2&CDS=1-453	YDR397C
823	OG0000823	maker-scaffold_1-snap-gene-23.72-mRNA-1_1&gene=maker-scaffold_1-snap-gene-23.72&CDS=1-3801	YDR395W
824	OG0000824	genemark-scaffold_1-processed-gene-23.5-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.5&CDS=1-1068	YGR048W
825	OG0000825	genemark-scaffold_1-processed-gene-23.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.15&CDS=1-651	YDR399W
826	OG0000826	augustus_masked-scaffold_1-processed-gene-23.83-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.83&CDS=1-3939	YKL073W
827	OG0000827	augustus_masked-scaffold_1-processed-gene-23.93-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.93&CDS=1-945	YMR055C
828	OG0000828	genemark-scaffold_1-processed-gene-23.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.7&CDS=1-864	YCL031C
829	OG0000829	genemark-scaffold_1-processed-gene-23.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.8&CDS=1-849	YMR289W
830	OG0000830	genemark-scaffold_1-processed-gene-23.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.16&CDS=1-906	YGR208W
831	OG0000831	genemark-scaffold_1-processed-gene-23.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.18&CDS=1-1380	YJL025W
832	OG0000832	maker-scaffold_1-snap-gene-23.73-mRNA-1_1&gene=maker-scaffold_1-snap-gene-23.73&CDS=1-1935	YOR374W
833	OG0000833	snap_masked-scaffold_1-processed-gene-23.62-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.62&CDS=1-2094	YDR017C
834	OG0000834	genemark-scaffold_1-processed-gene-23.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.10&CDS=1-2901	YDL031W
835	OG0000835	genemark-scaffold_1-processed-gene-23.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.20&CDS=1-1644	YOL123W
836	OG0000836	genemark-scaffold_1-processed-gene-23.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.21&CDS=1-1047	YDL100C
837	OG0000837	genemark-scaffold_1-processed-gene-23.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.12&CDS=1-1560	YPL003W
838	OG0000838	genemark-scaffold_1-processed-gene-23.23-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.23&CDS=1-1821	YFL002C
839	OG0000839	genemark-scaffold_1-processed-gene-23.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.13&CDS=1-1311	YFL001W
840	OG0000840	genemark-scaffold_1-processed-gene-23.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.14&CDS=1-1965	YDL057W
841	OG0000841	genemark-scaffold_1-processed-gene-23.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.24&CDS=1-435	YHR191C
842	OG0000842	genemark-scaffold_1-processed-gene-24.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.78&CDS=1-531	YHR193C
843	OG0000843	genemark-scaffold_1-processed-gene-24.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.79&CDS=1-2799	YLR115W
844	OG0000844	genemark-scaffold_1-processed-gene-24.95-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.95&CDS=1-2100	YLR002C
845	OG0000845	snap_masked-scaffold_1-processed-gene-24.41-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.41&CDS=1-1572	YMR015C
846	OG0000846	genemark-scaffold_1-processed-gene-24.96-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.96&CDS=1-1521	YHR183W
847	OG0000847	genemark-scaffold_1-processed-gene-24.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.82&CDS=1-1581	YJR010W
848	OG0000848	genemark-scaffold_1-processed-gene-24.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.83&CDS=1-1185	YKL124W
849	OG0000849	genemark-scaffold_1-processed-gene-24.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.85&CDS=1-525	YER134C
850	OG0000850	genemark-scaffold_1-processed-gene-24.98-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.98&CDS=1-7761	YBL004W
851	OG0000851	genemark-scaffold_1-processed-gene-24.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.88&CDS=1-1221	YDL001W
852	OG0000852	snap_masked-scaffold_1-processed-gene-24.64-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.64&CDS=1-2031	YDR208W
853	OG0000853	genemark-scaffold_1-processed-gene-24.91-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.91&CDS=1-912	YBR151W
854	OG0000854	genemark-scaffold_1-processed-gene-24.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.92&CDS=1-318	YDR286C
855	OG0000855	genemark-scaffold_1-processed-gene-25.65-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.65&CDS=1-3006	YIL125W
856	OG0000856	snap_masked-scaffold_1-processed-gene-25.31-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.31&CDS=1-540	YKR065C
857	OG0000857	maker-scaffold_1-snap-gene-25.0-mRNA-1_1&gene=maker-scaffold_1-snap-gene-25.0&CDS=1-960	YNL316C
858	OG0000858	genemark-scaffold_1-processed-gene-25.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.82&CDS=1-405	YOL133W
859	OG0000859	genemark-scaffold_1-processed-gene-25.70-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.70&CDS=1-696	YOL135C
860	OG0000860	genemark-scaffold_1-processed-gene-25.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.83&CDS=1-2205	YKL135C
861	OG0000861	genemark-scaffold_1-processed-gene-25.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.84&CDS=1-561	YJR074W
862	OG0000862	augustus_masked-scaffold_1-processed-gene-25.9-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.9&CDS=1-1182	YJR075W
863	OG0000863	genemark-scaffold_1-processed-gene-25.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.72&CDS=1-1335	YNR050C
864	OG0000864	genemark-scaffold_1-processed-gene-25.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.85&CDS=1-1500	YMR211W
865	OG0000865	genemark-scaffold_1-processed-gene-25.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.73&CDS=1-1077	YMR214W
866	OG0000866	genemark-scaffold_1-processed-gene-25.74-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.74&CDS=1-612	YJR073C
867	OG0000867	genemark-scaffold_1-processed-gene-25.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.75&CDS=1-909	YOR352W
868	OG0000868	genemark-scaffold_1-processed-gene-25.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.77&CDS=1-3585	YKL209C
869	OG0000869	genemark-scaffold_1-processed-gene-25.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.88&CDS=1-3054	YKL210W
870	OG0000870	genemark-scaffold_1-processed-gene-25.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.78&CDS=1-2178	YIL005W
871	OG0000871	genemark-scaffold_1-processed-gene-25.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.79&CDS=1-1320	YER003C
872	OG0000872	snap_masked-scaffold_1-processed-gene-25.48-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.48&CDS=1-621	YER002W
873	OG0000873	genemark-scaffold_1-processed-gene-25.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.90&CDS=1-882	YIL003W
874	OG0000874	genemark-scaffold_1-processed-gene-25.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.81&CDS=1-441	YIL004C
875	OG0000875	augustus_masked-scaffold_1-processed-gene-26.70-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-26.70&CDS=1-1416	YCL034W
876	OG0000876	genemark-scaffold_1-processed-gene-26.0-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.0&CDS=1-2052	YDR172W
877	OG0000877	genemark-scaffold_1-processed-gene-26.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.14&CDS=1-1182	YDR173C
878	OG0000878	maker-scaffold_1-snap-gene-26.64-mRNA-1_1&gene=maker-scaffold_1-snap-gene-26.64&CDS=1-2025	YIL049W
879	OG0000879	genemark-scaffold_1-processed-gene-26.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.6&CDS=1-849	YPL065W
880	OG0000880	genemark-scaffold_1-processed-gene-26.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.15&CDS=1-828	YFR052W
881	OG0000881	genemark-scaffold_1-processed-gene-26.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.7&CDS=1-1722	YGR124W
882	OG0000882	snap_masked-scaffold_1-processed-gene-26.53-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.53&CDS=1-2340	YBR202W
883	OG0000883	genemark-scaffold_1-processed-gene-26.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.19&CDS=1-1521	YDR169C
884	OG0000884	snap_masked-scaffold_1-processed-gene-26.55-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.55&CDS=1-756	YLR150W
885	OG0000885	snap_masked-scaffold_1-processed-gene-26.56-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.56&CDS=1-5805	YDR170C
886	OG0000886	genemark-scaffold_1-processed-gene-26.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.21&CDS=1-5643	YPL231W
