	OrthologID	Saccharomyces_cerevisiae	Tortispora_caseinolytica
197	OG0000197	YBR048W, YDR025W	augustus_masked-scaffold_2-processed-gene-15.124-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.124&CDS=1-3237
198	OG0000198	YBR054W, YDR033W	snap_masked-scaffold_3-processed-gene-19.47-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-19.47&CDS=1-867
199	OG0000199	YBR072W	snap_masked-scaffold_2-processed-gene-23.138-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-23.138&CDS=1-600, snap_masked-scaffold_2-processed-gene-4.100-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.100&CDS=1-486
200	OG0000200	YBR089C-A, YPR052C	snap_masked-scaffold_2-processed-gene-24.105-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-24.105&CDS=1-273
201	OG0000201	YBR104W, YPR058W	snap_masked-scaffold_2-processed-gene-21.43-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-21.43&CDS=1-891
202	OG0000202	YBR147W, YOL092W	snap_masked-scaffold_1-processed-gene-12.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.81&CDS=1-948
203	OG0000203	YBR161W, YPL057C	snap_masked-scaffold_1-processed-gene-2.105-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.105&CDS=1-954
204	OG0000204	YBR169C, YPL106C	snap_masked-scaffold_2-processed-gene-5.181-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.181&CDS=1-2175
205	OG0000205	YBR172C, YPL105C	augustus_masked-scaffold_3-processed-gene-21.3-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-21.3&CDS=1-2655
206	OG0000206	YBR177C, YPL095C	snap_masked-scaffold_3-processed-gene-22.174-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-22.174&CDS=1-1164
207	OG0000207	YBR182C, YPL089C	snap_masked-scaffold_3-processed-gene-22.150-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-22.150&CDS=1-1470
208	OG0000208	YBR183W, YPL087W	snap_masked-scaffold_3-processed-gene-7.35-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-7.35&CDS=1-834
209	OG0000209	YBR191W, YPL079W	snap_masked-scaffold_3-processed-gene-14.67-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-14.67&CDS=1-477
210	OG0000210	YBR214W, YGL056C	snap_masked-scaffold_1-processed-gene-16.55-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.55&CDS=1-1329
211	OG0000211	YBR241C, YGL104C	augustus_masked-scaffold_1-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.33&CDS=1-1368
212	OG0000212	YBR242W, YGL101W	snap_masked-scaffold_3-processed-gene-0.136-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.136&CDS=1-591
213	OG0000213	YBR244W, YIR037W	snap_masked-scaffold_1-processed-gene-17.82-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.82&CDS=1-477
214	OG0000214	YBR273C, YJL048C	maker-scaffold_2-snap-gene-10.0-mRNA-1_1&gene=maker-scaffold_2-snap-gene-10.0&CDS=1-1224
215	OG0000215	YBR294W, YLR092W	snap_masked-scaffold_3-processed-gene-18.27-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-18.27&CDS=1-2535
216	OG0000216	YCL026C-A, YCL026C-B	snap_masked-scaffold_3-processed-gene-23.133-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-23.133&CDS=1-597
217	OG0000217	YCL050C, YDR530C	snap_masked-scaffold_2-processed-gene-13.157-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.157&CDS=1-915
218	OG0000218	YCR010C, YDR384C, YNR002C	
219	OG0000219	YCR048W, YNR019W	snap_masked-scaffold_3-processed-gene-13.82-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-13.82&CDS=1-1506
220	OG0000220	YCR067C, YNR026C	genemark-scaffold_3-processed-gene-19.134-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-19.134&CDS=1-1146
221	OG0000221	YCR073C, YNR031C	snap_masked-scaffold_1-processed-gene-17.48-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.48&CDS=1-3378
222	OG0000222	YCR073W-A, YNR034W	snap_masked-scaffold_3-processed-gene-19.50-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-19.50&CDS=1-774
223	OG0000223	YCR094W, YNR048W	maker-scaffold_2-augustus-gene-16.102-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-16.102&CDS=1-1770
224	OG0000224	YDL006W	snap_masked-scaffold_1-processed-gene-21.30-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.30&CDS=1-816, snap_masked-scaffold_1-processed-gene-23.18-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.18&CDS=1-1077
225	OG0000225	YDL022W, YOL059W	snap_masked-scaffold_1-processed-gene-18.132-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.132&CDS=1-1146
226	OG0000226	YDL042C, YOL068C	augustus_masked-scaffold_2-processed-gene-22.112-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-22.112&CDS=1-1482
227	OG0000227	YDL049C, YJL174W	snap_masked-scaffold_3-processed-gene-1.12-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.12&CDS=1-786
228	OG0000228	YDL075W, YLR406C	snap_masked-scaffold_4-processed-gene-2.105-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.105&CDS=1-372
229	OG0000229	YDL081C, YDL130W	snap_masked-scaffold_2-processed-gene-13.138-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.138&CDS=1-327
230	OG0000230	YDL082W, YMR142C	snap_masked-scaffold_3-processed-gene-5.125-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.125&CDS=1-636
231	OG0000231	YDL083C, YMR143W	snap_masked-scaffold_1-processed-gene-26.79-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.79&CDS=1-441
232	OG0000232	YDL085W, YMR145C	snap_masked-scaffold_3-processed-gene-5.119-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.119&CDS=1-1761
233	OG0000233	YDL109C, YGL144C	snap_masked-scaffold_4-processed-gene-0.37-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.37&CDS=1-2367
234	OG0000234	YDL136W, YDL191W	snap_masked-scaffold_1-processed-gene-20.93-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.93&CDS=1-366
235	OG0000235	YDL161W, YLR206W	maker-scaffold_1-augustus-gene-20.172-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-20.172&CDS=1-1923
236	OG0000236	YDL174C	augustus_masked-scaffold_1-processed-gene-15.118-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.118&CDS=1-1683, augustus_masked-scaffold_1-processed-gene-22.9-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.9&CDS=1-3147
237	OG0000237	YDL224C, YNL197C	snap_masked-scaffold_1-processed-gene-4.14-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.14&CDS=1-1899
238	OG0000238	YDL246C, YJR159W	snap_masked-scaffold_1-processed-gene-20.63-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.63&CDS=1-1041
239	OG0000239	YDR032C	snap_masked-scaffold_1-processed-gene-24.101-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.101&CDS=1-597, snap_masked-scaffold_1-processed-gene-24.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.81&CDS=1-738
240	OG0000240	YDR098C, YER174C	augustus_masked-scaffold_2-processed-gene-24.49-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-24.49&CDS=1-3480
241	OG0000241	YDR111C, YLR089C	maker-scaffold_1-augustus-gene-7.44-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.44&CDS=1-2763
242	OG0000242	YDR132C, YLR108C	maker-scaffold_3-snap-gene-18.48-mRNA-1_1&gene=maker-scaffold_3-snap-gene-18.48&CDS=1-1191
243	OG0000243	YDR146C, YLR131C	snap_masked-scaffold_2-processed-gene-8.75-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.75&CDS=1-1737
244	OG0000244	YDR147W, YLR133W	augustus_masked-scaffold_1-processed-gene-5.155-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.155&CDS=1-4326
245	OG0000245	YDR151C, YLR136C	genemark-scaffold_2-processed-gene-16.89-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-16.89&CDS=1-969
246	OG0000246	YDR185C, YLR168C	maker-scaffold_3-augustus-gene-25.0-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-25.0&CDS=1-840
247	OG0000247	YDR200C, YLR238W	snap_masked-scaffold_2-processed-gene-24.66-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-24.66&CDS=1-1488
248	OG0000248	YDR252W, YPL037C	snap_masked-scaffold_2-processed-gene-17.8-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.8&CDS=1-459
249	OG0000249	YDR263C, YOR033C	maker-scaffold_1-augustus-gene-22.0-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-22.0&CDS=1-2592
250	OG0000250	YDR264C, YOR034C	snap_masked-scaffold_3-processed-gene-17.96-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-17.96&CDS=1-1935
251	OG0000251	YDR270W	snap_masked-scaffold_1-processed-gene-23.8-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.8&CDS=1-3297, snap_masked-scaffold_3-processed-gene-15.137-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-15.137&CDS=1-2985
252	OG0000252	YDR272W, YOR040W	augustus_masked-scaffold_2-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.11&CDS=1-771
253	OG0000253	YDR273W, YOR042W	snap_masked-scaffold_1-processed-gene-3.7-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.7&CDS=1-903
254	OG0000254	YDR277C, YOR047C	snap_masked-scaffold_2-processed-gene-13.115-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.115&CDS=1-1023
255	OG0000255	YDR300C, YHR033W	snap_masked-scaffold_1-processed-gene-13.124-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.124&CDS=1-1296
256	OG0000256	YDR312W, YHR066W	snap_masked-scaffold_2-processed-gene-12.57-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.57&CDS=1-1239
257	OG0000257	YDR326C, YHR080C	augustus_masked-scaffold_2-processed-gene-24.10-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-24.10&CDS=1-2952
258	OG0000258	YDR358W, YHR108W	snap_masked-scaffold_4-processed-gene-1.44-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.44&CDS=1-1770
259	OG0000259	YDR368W, YOR120W	augustus_masked-scaffold_2-processed-gene-28.50-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-28.50&CDS=1-924
260	OG0000260	YDR385W, YOR133W	snap_masked-scaffold_1-processed-gene-24.70-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.70&CDS=1-2526
261	OG0000261	YDR411C	snap_masked-scaffold_2-processed-gene-11.11-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.11&CDS=1-738, snap_masked-scaffold_3-processed-gene-22.161-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-22.161&CDS=1-645
262	OG0000262	YDR415C	augustus_masked-scaffold_2-processed-gene-23.28-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-23.28&CDS=1-1047, maker-scaffold_2-augustus-gene-23.46-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-23.46&CDS=1-2904
263	OG0000263	YDR418W, YEL054C	snap_masked-scaffold_2-processed-gene-10.111-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.111&CDS=1-495
264	OG0000264	YDR447C, YML024W	augustus_masked-scaffold_1-processed-gene-11.7-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.7&CDS=1-411
265	OG0000265	YDR450W, YML026C	snap_masked-scaffold_1-processed-gene-18.153-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.153&CDS=1-462
266	OG0000266	YDR451C, YML027W	snap_masked-scaffold_1-processed-gene-1.62-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.62&CDS=1-687
267	OG0000267	YDR453C, YML028W	snap_masked-scaffold_1-processed-gene-22.87-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-22.87&CDS=1-585
268	OG0000268	YDR471W, YHR010W	snap_masked-scaffold_2-processed-gene-7.26-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.26&CDS=1-408
269	OG0000269	YDR492W, YOL002C	augustus_masked-scaffold_3-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.22&CDS=1-801
270	OG0000270	YDR497C, YOL103W	snap_masked-scaffold_2-processed-gene-29.11-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-29.11&CDS=1-1653
271	OG0000271	YDR500C, YLR185W	genemark-scaffold_3-processed-gene-18.57-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-18.57&CDS=1-288
272	OG0000272	YDR501W, YLR183C	augustus_masked-scaffold_3-processed-gene-18.126-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-18.126&CDS=1-1578
273	OG0000273	YDR505C, YLR177W	snap_masked-scaffold_1-processed-gene-10.139-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.139&CDS=1-1716
274	OG0000274	YEL006W, YIL006W	snap_masked-scaffold_2-processed-gene-12.77-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.77&CDS=1-1122
275	OG0000275	YEL007W	snap_masked-scaffold_1-processed-gene-30.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-30.81&CDS=1-1563, snap_masked-scaffold_2-processed-gene-9.49-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.49&CDS=1-1938
276	OG0000276	YEL022W, YJR031C	snap_masked-scaffold_1-processed-gene-28.8-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-28.8&CDS=1-4530
277	OG0000277	YEL039C, YJR048W	snap_masked-scaffold_2-processed-gene-5.170-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.170&CDS=1-324
278	OG0000278	YEL041W, YJR049C	snap_masked-scaffold_2-processed-gene-4.76-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.76&CDS=1-1419
279	OG0000279	YEL046C	augustus_masked-scaffold_1-processed-gene-15.113-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.113&CDS=1-1224, augustus_masked-scaffold_1-processed-gene-25.35-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.35&CDS=1-2289
280	OG0000280	YEL047C, YJR051W	snap_masked-scaffold_1-processed-gene-26.93-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.93&CDS=1-1902
281	OG0000281	YER017C, YMR089C	genemark-scaffold_1-processed-gene-26.46-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.46&CDS=1-2472
282	OG0000282	YER027C, YGL208W	augustus_masked-scaffold_2-processed-gene-11.150-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.150&CDS=1-1308
283	OG0000283	YER031C, YGL210W	snap_masked-scaffold_2-processed-gene-16.13-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.13&CDS=1-636
284	OG0000284	YER037W, YGL224C	augustus_masked-scaffold_2-processed-gene-15.168-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.168&CDS=1-546
285	OG0000285	YER042W	snap_masked-scaffold_2-processed-gene-24.92-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-24.92&CDS=1-558, snap_masked-scaffold_3-processed-gene-9.121-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.121&CDS=1-570
286	OG0000286	YER054C, YIL045W	maker-scaffold_1-snap-gene-0.84-mRNA-1_1&gene=maker-scaffold_1-snap-gene-0.84&CDS=1-3327
287	OG0000287	YER056C-A, YIL052C	snap_masked-scaffold_3-processed-gene-12.131-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.131&CDS=1-327
288	OG0000288	YER064C, YIL056W	snap_masked-scaffold_2-processed-gene-14.80-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.80&CDS=1-2580
289	OG0000289	YER066W, YFL009W	snap_masked-scaffold_2-processed-gene-6.36-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.36&CDS=1-2166
290	OG0000290	YER074W, YIL069C	snap_masked-scaffold_2-processed-gene-14.57-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.57&CDS=1-390
291	OG0000291	YER081W, YIL074C	augustus_masked-scaffold_2-processed-gene-13.8-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.8&CDS=1-3750
292	OG0000292	YER131W, YGL189C	snap_masked-scaffold_2-processed-gene-4.85-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.85&CDS=1-360
293	OG0000293	YER177W	snap_masked-scaffold_3-processed-gene-19.34-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-19.34&CDS=1-753, snap_masked-scaffold_3-processed-gene-20.10-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-20.10&CDS=1-777
294	OG0000294	YFR022W, YOR018W	snap_masked-scaffold_3-processed-gene-13.75-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-13.75&CDS=1-1752
295	OG0000295	YFR031C-A, YIL018W	snap_masked-scaffold_2-processed-gene-7.13-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.13&CDS=1-762
296	OG0000296	YGL031C, YGR148C	snap_masked-scaffold_2-processed-gene-18.109-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.109&CDS=1-450
297	OG0000297	YGL049C, YGR162W	snap_masked-scaffold_3-processed-gene-6.120-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.120&CDS=1-3075
298	OG0000298	YGL076C, YPL198W	maker-scaffold_1-augustus-gene-26.159-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-26.159&CDS=1-741
299	OG0000299	YGL082W, YPL191C	snap_masked-scaffold_2-processed-gene-0.56-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.56&CDS=1-1032
300	OG0000300	YGL096W, YPL177C	snap_masked-scaffold_3-processed-gene-17.82-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-17.82&CDS=1-1413
301	OG0000301	YGL133W, YPL216W	augustus_masked-scaffold_3-processed-gene-17.16-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.16&CDS=1-3117
302	OG0000302	YGL135W, YPL220W	augustus_masked-scaffold_1-processed-gene-5.147-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.147&CDS=1-1944
303	OG0000303	YGL147C, YNL067W	snap_masked-scaffold_3-processed-gene-19.39-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-19.39&CDS=1-567
304	OG0000304	YGL212W	snap_masked-scaffold_2-processed-gene-6.47-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.47&CDS=1-975, snap_masked-scaffold_3-processed-gene-14.88-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-14.88&CDS=1-780
305	OG0000305	YGL215W	snap_masked-scaffold_1-processed-gene-23.30-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.30&CDS=1-1296, snap_masked-scaffold_3-processed-gene-1.7-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.7&CDS=1-831
306	OG0000306	YGR004W, YLR324W	augustus_masked-scaffold_2-processed-gene-23.15-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-23.15&CDS=1-1710
307	OG0000307	YGR008C, YLR327C	snap_masked-scaffold_3-processed-gene-25.85-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-25.85&CDS=1-246
308	OG0000308	YGR027C, YLR333C	snap_masked-scaffold_1-processed-gene-14.136-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.136&CDS=1-321
309	OG0000309	YGR034W, YLR344W	snap_masked-scaffold_4-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.31&CDS=1-387
310	OG0000310	YGR038W, YLR350W	augustus_masked-scaffold_3-processed-gene-22.113-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-22.113&CDS=1-1260
311	OG0000311	YGR085C, YPR102C	augustus_masked-scaffold_1-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.74&CDS=1-2919
312	OG0000312	YGR092W, YPR111W	maker-scaffold_3-snap-gene-3.2-mRNA-1_1&gene=maker-scaffold_3-snap-gene-3.2&CDS=1-1617
313	OG0000313	YGR118W, YPR132W	snap_masked-scaffold_2-processed-gene-12.85-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.85&CDS=1-435
314	OG0000314	YGR124W, YPR145W	augustus_masked-scaffold_2-processed-gene-29.70-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-29.70&CDS=1-2787
315	OG0000315	YGR131W, YPR149W	maker-scaffold_2-augustus-gene-10.61-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-10.61&CDS=1-510
316	OG0000316	YGR138C, YPR156C	maker-scaffold_3-snap-gene-3.3-mRNA-1_1&gene=maker-scaffold_3-snap-gene-3.3&CDS=1-3573
317	OG0000317	YGR141W, YPR157W	snap_masked-scaffold_3-processed-gene-9.111-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.111&CDS=1-1200
318	OG0000318	YGR197C, YJR015W	snap_masked-scaffold_2-processed-gene-29.15-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-29.15&CDS=1-1530
319	OG0000319	YGR214W, YLR048W	augustus_masked-scaffold_2-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.32&CDS=1-2346
320	OG0000320	YGR238C, YHR158C	snap_masked-scaffold_2-processed-gene-1.35-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.35&CDS=1-4023
321	OG0000321	YGR241C, YHR161C	snap_masked-scaffold_3-processed-gene-22.179-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-22.179&CDS=1-1719
322	OG0000322	YGR243W, YHR162W	snap_masked-scaffold_2-processed-gene-11.4-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.4&CDS=1-417
323	OG0000323	YGR263C	augustus_masked-scaffold_2-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.4&CDS=1-1053, snap_masked-scaffold_2-processed-gene-30.150-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-30.150&CDS=1-1080
324	OG0000324	YGR279C, YMR305C	augustus_masked-scaffold_1-processed-gene-6.140-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.140&CDS=1-1068
325	OG0000325	YHL001W, YKL006W	augustus_masked-scaffold_3-processed-gene-3.138-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.138&CDS=1-399
326	OG0000326	YHL017W, YKL039W	snap_masked-scaffold_2-processed-gene-30.129-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-30.129&CDS=1-1632
327	OG0000327	YHL033C, YLL045C	snap_masked-scaffold_2-processed-gene-7.12-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.12&CDS=1-783
328	OG0000328	YHL034C, YLL046C	snap_masked-scaffold_3-processed-gene-2.14-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.14&CDS=1-996
329	OG0000329	YHL039W, YPL208W	snap_masked-scaffold_1-processed-gene-20.111-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.111&CDS=1-1599
330	OG0000330	YHR001W, YKR003W	snap_masked-scaffold_3-processed-gene-18.20-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-18.20&CDS=1-2451
331	OG0000331	YHR021C, YKL156W	maker-scaffold_2-augustus-gene-1.52-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-1.52&CDS=1-246
332	OG0000332	YHR032W	snap_masked-scaffold_1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.22&CDS=1-1395, snap_masked-scaffold_2-processed-gene-19.54-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.54&CDS=1-1710
333	OG0000333	YHR115C, YNL116W	snap_masked-scaffold_4-processed-gene-1.20-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.20&CDS=1-1110
334	OG0000334	YHR117W, YNL121C	augustus_masked-scaffold_2-processed-gene-10.95-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.95&CDS=1-1935
335	OG0000335	YHR131C, YNL144C	snap_masked-scaffold_4-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.29&CDS=1-1836
336	OG0000336	YHR132W-A, YNL157W	snap_masked-scaffold_2-processed-gene-12.96-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.96&CDS=1-279
337	OG0000337	YHR133C, YNL156C	genemark-scaffold_3-processed-gene-23.25-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-23.25&CDS=1-609
338	OG0000338	YHR141C, YNL162W	snap_masked-scaffold_2-processed-gene-16.34-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.34&CDS=1-318
339	OG0000339	YHR155W, YNL257C	maker-scaffold_2-snap-gene-10.4-mRNA-1_1&gene=maker-scaffold_2-snap-gene-10.4&CDS=1-3888
340	OG0000340	YHR176W	snap_masked-scaffold_2-processed-gene-14.75-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.75&CDS=1-1509, snap_masked-scaffold_2-processed-gene-5.148-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.148&CDS=1-1368
341	OG0000341	YHR179W, YPL171C	snap_masked-scaffold_1-processed-gene-18.159-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.159&CDS=1-1152
342	OG0000342	YHR198C, YHR199C	genemark-scaffold_1-processed-gene-30.57-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-30.57&CDS=1-828
343	OG0000343	YHR203C, YJR145C	snap_masked-scaffold_1-processed-gene-22.67-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-22.67&CDS=1-777
344	OG0000344	YHR210C, YNR071C	augustus_masked-scaffold_1-processed-gene-21.57-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.57&CDS=1-3087
345	OG0000345	YIL004C, YMR276W	augustus_masked-scaffold_1-processed-gene-16.102-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.102&CDS=1-1239
346	OG0000346	YIL035C, YOR061W	snap_masked-scaffold_1-processed-gene-26.69-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.69&CDS=1-1014
