	OrthologID	Eremothecium_gossypii	Saccharomyces_cerevisiae
331	OG0000331	augustus_masked-AE016814-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.3&CDS=1-3096	YML109W
332	OG0000332	genemark-AE016814-processed-gene-0.86-mRNA-1_1&gene=genemark-AE016814-processed-gene-0.86&CDS=1-1131	YMR272C
333	OG0000333	genemark-AE016814-processed-gene-0.87-mRNA-1_1&gene=genemark-AE016814-processed-gene-0.87&CDS=1-3693	YJL074C
334	OG0000334	maker-AE016814-augustus-gene-0.77-mRNA-1_1&gene=maker-AE016814-augustus-gene-0.77&CDS=1-3456	YJL076W
335	OG0000335	augustus_masked-AE016814-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.21&CDS=1-891	YKR011C
336	OG0000336	augustus_masked-AE016814-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.6&CDS=1-3594	YJL080C
337	OG0000337	augustus_masked-AE016814-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.22&CDS=1-615	YKR014C
338	OG0000338	augustus_masked-AE016814-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.7&CDS=1-2649	YML099C
339	OG0000339	snap_masked-AE016814-processed-gene-0.63-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-0.63&CDS=1-1260	YLL002W
340	OG0000340	maker-AE016814-augustus-gene-0.78-mRNA-1_1&gene=maker-AE016814-augustus-gene-0.78&CDS=1-645	YJL001W
341	OG0000341	augustus_masked-AE016814-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.8&CDS=1-2973	YLL003W
342	OG0000342	augustus_masked-AE016814-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.9&CDS=1-1407	YJL002C
343	OG0000343	augustus_masked-AE016814-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.25&CDS=1-2214	YLL004W
344	OG0000344	augustus_masked-AE016814-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.10&CDS=1-2865	YLL005C
345	OG0000345	augustus_masked-AE016814-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.26&CDS=1-1332	YLL006W
346	OG0000346	augustus_masked-AE016814-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.11&CDS=1-1998	YLL007C
347	OG0000347	augustus_masked-AE016814-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.27&CDS=1-2202	YLL008W
348	OG0000348	augustus_masked-AE016814-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.12&CDS=1-597	YJL004C
349	OG0000349	augustus_masked-AE016814-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.28&CDS=1-5622	YJL005W
350	OG0000350	augustus_masked-AE016814-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.13&CDS=1-1131	YLR017W
351	OG0000351	augustus_masked-AE016814-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.29&CDS=1-1155	YLR018C
352	OG0000352	augustus_masked-AE016814-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.14&CDS=1-1134	YLR019W
353	OG0000353	augustus_masked-AE016814-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.30&CDS=1-1437	YLL011W
354	OG0000354	augustus_masked-AE016814-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.31&CDS=1-1176	YLR020C
355	OG0000355	augustus_masked-AE016814-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.15&CDS=1-534	YLR021W
356	OG0000356	augustus_masked-AE016814-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.32&CDS=1-1806	YLR022C
357	OG0000357	augustus_masked-AE016814-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.16&CDS=1-2322	YLL013C
358	OG0000358	augustus_masked-AE016814-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.33&CDS=1-318	YLL014W
359	OG0000359	augustus_masked-AE016814-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.17&CDS=1-1119	YGR187C
360	OG0000360	augustus_masked-AE016814-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.34&CDS=1-1869	YGR186W
361	OG0000361	augustus_masked-AE016814-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-0.18&CDS=1-1212	YGR185C
362	OG0000362	augustus_masked-AE016814-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.56&CDS=1-5439	YLR024C
363	OG0000363	augustus_masked-AE016814-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.54&CDS=1-5700	YGR184C
364	OG0000364	augustus_masked-AE016814-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.55&CDS=1-198	YGR183C
365	OG0000365	augustus_masked-AE016814-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.57&CDS=1-309	YGR181W
366	OG0000366	augustus_masked-AE016814-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.58&CDS=1-555	YJL024C
367	OG0000367	genemark-AE016814-processed-gene-1.131-mRNA-1_1&gene=genemark-AE016814-processed-gene-1.131&CDS=1-429	YGR174C
368	OG0000368	snap_masked-AE016814-processed-gene-1.27-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.27&CDS=1-1491	YGR175C
369	OG0000369	snap_masked-AE016814-processed-gene-1.28-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.28&CDS=1-3240	YGR178C
370	OG0000370	augustus_masked-AE016814-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.78&CDS=1-921	YGR179C
371	OG0000371	augustus_masked-AE016814-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.59&CDS=1-993	YGR144W
372	OG0000372	maker-AE016814-augustus-gene-1.101-mRNA-1_1&gene=maker-AE016814-augustus-gene-1.101&CDS=1-1932	YJL026W
373	OG0000373	snap_masked-AE016814-processed-gene-1.32-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.32&CDS=1-4344	YGR170W
374	OG0000374	augustus_masked-AE016814-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.61&CDS=1-279	YGR169C-A
375	OG0000375	augustus_masked-AE016814-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.82&CDS=1-870	YJL023C
376	OG0000376	augustus_masked-AE016814-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.62&CDS=1-2604	YKL157W
377	OG0000377	augustus_masked-AE016814-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.84&CDS=1-1650	YHR045W
378	OG0000378	augustus_masked-AE016814-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.63&CDS=1-1011	YDR279W
379	OG0000379	augustus_masked-AE016814-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.64&CDS=1-915	YDR280W
380	OG0000380	augustus_masked-AE016814-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.85&CDS=1-3066	YHR042W
381	OG0000381	snap_masked-AE016814-processed-gene-1.37-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.37&CDS=1-891	YDR288W
382	OG0000382	augustus_masked-AE016814-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.66&CDS=1-1611	YFR021W
383	OG0000383	augustus_masked-AE016814-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.87&CDS=1-321	YOR265W
384	OG0000384	augustus_masked-AE016814-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.88&CDS=1-1041	YOR262W
385	OG0000385	augustus_masked-AE016814-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.67&CDS=1-978	YOR261C
386	OG0000386	genemark-AE016814-processed-gene-1.119-mRNA-1_1&gene=genemark-AE016814-processed-gene-1.119&CDS=1-942	YPL172C
387	OG0000387	augustus_masked-AE016814-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.89&CDS=1-1494	YOR260W
388	OG0000388	augustus_masked-AE016814-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.69&CDS=1-1296	YOR259C
389	OG0000389	augustus_masked-AE016814-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.90&CDS=1-912	YOR258W
390	OG0000390	augustus_masked-AE016814-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.91&CDS=1-879	YPL173W
391	OG0000391	augustus_masked-AE016814-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.92&CDS=1-516	YOR257W
392	OG0000392	genemark-AE016814-processed-gene-1.149-mRNA-1_1&gene=genemark-AE016814-processed-gene-1.149&CDS=1-1287	YPL175W
393	OG0000393	snap_masked-AE016814-processed-gene-1.45-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.45&CDS=1-639	YOR255W
394	OG0000394	augustus_masked-AE016814-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.94&CDS=1-1755	YPL169C
395	OG0000395	augustus_masked-AE016814-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.72&CDS=1-2007	YOR254C
396	OG0000396	augustus_masked-AE016814-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.95&CDS=1-477	YOR253W
397	OG0000397	snap_masked-AE016814-processed-gene-1.21-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.21&CDS=1-909	YPL168W
398	OG0000398	snap_masked-AE016814-processed-gene-1.48-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.48&CDS=1-570	YOR252W
399	OG0000399	snap_masked-AE016814-processed-gene-1.49-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.49&CDS=1-3993	YPL167C
400	OG0000400	snap_masked-AE016814-processed-gene-1.50-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-1.50&CDS=1-1104	YPL165C
401	OG0000401	genemark-AE016814-processed-gene-1.126-mRNA-1_1&gene=genemark-AE016814-processed-gene-1.126&CDS=1-909	YOR251C
402	OG0000402	genemark-AE016814-processed-gene-1.127-mRNA-1_1&gene=genemark-AE016814-processed-gene-1.127&CDS=1-1335	YOR250C
403	OG0000403	augustus_masked-AE016814-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.97&CDS=1-2028	YPL164C
404	OG0000404	augustus_masked-AE016814-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.99&CDS=1-789	YPL162C
405	OG0000405	augustus_masked-AE016814-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.100&CDS=1-1773	YPL161C
406	OG0000406	augustus_masked-AE016814-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.75&CDS=1-984	YOR246C
407	OG0000407	augustus_masked-AE016814-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.76&CDS=1-3312	YPL160W
408	OG0000408	augustus_masked-AE016814-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.4&CDS=1-333	YDR286C
409	OG0000409	snap_masked-AE016814-processed-gene-2.56-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-2.56&CDS=1-2436	YDR285W
410	OG0000410	maker-AE016814-augustus-gene-2.104-mRNA-1_1&gene=maker-AE016814-augustus-gene-2.104&CDS=1-6612	YDR283C
411	OG0000411	augustus_masked-AE016814-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.27&CDS=1-1038	YDR289C
412	OG0000412	augustus_masked-AE016814-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.7&CDS=1-3180	YDR291W
413	OG0000413	augustus_masked-AE016814-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.28&CDS=1-1758	YDR292C
414	OG0000414	augustus_masked-AE016814-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.29&CDS=1-1083	YHR040W
415	OG0000415	maker-AE016814-augustus-gene-2.105-mRNA-1_1&gene=maker-AE016814-augustus-gene-2.105&CDS=1-342	YHR039C-A
416	OG0000416	augustus_masked-AE016814-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.10&CDS=1-1911	YHR039C
417	OG0000417	augustus_masked-AE016814-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.30&CDS=1-678	YHR038W
418	OG0000418	genemark-AE016814-processed-gene-2.141-mRNA-1_1&gene=genemark-AE016814-processed-gene-2.141&CDS=1-3660	YDR293C
419	OG0000419	genemark-AE016814-processed-gene-2.142-mRNA-1_1&gene=genemark-AE016814-processed-gene-2.142&CDS=1-1719	YHR037W
420	OG0000420	snap_masked-AE016814-processed-gene-2.83-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-2.83&CDS=1-1968	YDR295C
421	OG0000421	maker-AE016814-augustus-gene-2.106-mRNA-1_1&gene=maker-AE016814-augustus-gene-2.106&CDS=1-1596	YDR297W
422	OG0000422	augustus_masked-AE016814-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.33&CDS=1-621	YDR298C
423	OG0000423	augustus_masked-AE016814-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.14&CDS=1-1584	YDR299W
424	OG0000424	augustus_masked-AE016814-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.15&CDS=1-981	YHR034C
425	OG0000425	augustus_masked-AE016814-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.35&CDS=1-1260	YDR300C
426	OG0000426	augustus_masked-AE016814-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.16&CDS=1-4458	YDR301W
427	OG0000427	genemark-AE016814-processed-gene-2.148-mRNA-1_1&gene=genemark-AE016814-processed-gene-2.148&CDS=1-2427	YDR303C
428	OG0000428	augustus_masked-AE016814-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.37&CDS=1-609	YDR304C
429	OG0000429	augustus_masked-AE016814-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.38&CDS=1-705	YHR058C
430	OG0000430	augustus_masked-AE016814-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.17&CDS=1-366	YHR059W
431	OG0000431	augustus_masked-AE016814-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.39&CDS=1-1788	YDR306C
432	OG0000432	augustus_masked-AE016814-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.41&CDS=1-426	YDR308C
433	OG0000433	augustus_masked-AE016814-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.19&CDS=1-537	YHR060W
434	OG0000434	snap_masked-AE016814-processed-gene-2.95-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-2.95&CDS=1-1101	YDR309C
435	OG0000435	augustus_masked-AE016814-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.43&CDS=1-816	YHR062C
436	OG0000436	augustus_masked-AE016814-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.44&CDS=1-2574	YDR310C
437	OG0000437	snap_masked-AE016814-processed-gene-2.98-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-2.98&CDS=1-1047	YHR063C
438	OG0000438	augustus_masked-AE016814-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.46&CDS=1-1614	YHR064C
439	OG0000439	augustus_masked-AE016814-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.20&CDS=1-1827	YDR311W
440	OG0000440	augustus_masked-AE016814-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.47&CDS=1-1458	YHR065C
441	OG0000441	augustus_masked-AE016814-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.48&CDS=1-849	YDR313C
442	OG0000442	snap_masked-AE016814-processed-gene-2.71-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-2.71&CDS=1-909	YHR067W
443	OG0000443	augustus_masked-AE016814-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.49&CDS=1-720	YDR315C
444	OG0000444	augustus_masked-AE016814-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.23&CDS=1-1146	YHR068W
445	OG0000445	augustus_masked-AE016814-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.24&CDS=1-1356	YDR316W
446	OG0000446	augustus_masked-AE016814-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.50&CDS=1-1053	YHR069C
447	OG0000447	augustus_masked-AE016814-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-2.25&CDS=1-1467	YHR070W
448	OG0000448	genemark-AE016814-processed-gene-2.135-mRNA-1_1&gene=genemark-AE016814-processed-gene-2.135&CDS=1-732	YHR071W
449	OG0000449	genemark-AE016814-processed-gene-2.136-mRNA-1_1&gene=genemark-AE016814-processed-gene-2.136&CDS=1-417	YNL133C
450	OG0000450	genemark-AE016814-processed-gene-2.163-mRNA-1_1&gene=genemark-AE016814-processed-gene-2.163&CDS=1-4554	YLR247C
451	OG0000451	genemark-AE016814-processed-gene-3.0-mRNA-1_1&gene=genemark-AE016814-processed-gene-3.0&CDS=1-1647	YLR248W
452	OG0000452	snap_masked-AE016814-processed-gene-3.102-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-3.102&CDS=1-2016	YNL012W
453	OG0000453	augustus_masked-AE016814-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.52&CDS=1-684	YLR250W
454	OG0000454	augustus_masked-AE016814-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.81&CDS=1-1332	YNL011C
455	OG0000455	augustus_masked-AE016814-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.53&CDS=1-720	YNL010W
456	OG0000456	augustus_masked-AE016814-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.55&CDS=1-900	YCL009C
457	OG0000457	genemark-AE016814-processed-gene-3.33-mRNA-1_1&gene=genemark-AE016814-processed-gene-3.33&CDS=1-1077	YNL005C
458	OG0000458	augustus_masked-AE016814-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.56&CDS=1-708	YCL010C
459	OG0000459	augustus_masked-AE016814-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.83&CDS=1-4434	YCL014W
460	OG0000460	augustus_masked-AE016814-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.58&CDS=1-1089	YCL016C
461	OG0000461	augustus_masked-AE016814-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.84&CDS=1-813	YNL003C
462	OG0000462	augustus_masked-AE016814-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.59&CDS=1-1371	YCL017C
463	OG0000463	augustus_masked-AE016814-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.85&CDS=1-1116	YCL018W
464	OG0000464	augustus_masked-AE016814-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.86&CDS=1-879	YNL002C
465	OG0000465	augustus_masked-AE016814-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.60&CDS=1-2502	YLR176C
466	OG0000466	genemark-AE016814-processed-gene-3.38-mRNA-1_1&gene=genemark-AE016814-processed-gene-3.38&CDS=1-909	YNL006W
467	OG0000467	augustus_masked-AE016814-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.61&CDS=1-1047	YNL007C
468	OG0000468	genemark-AE016814-processed-gene-3.39-mRNA-1_1&gene=genemark-AE016814-processed-gene-3.39&CDS=1-1455	YLR175W
469	OG0000469	snap_masked-AE016814-processed-gene-3.143-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-3.143&CDS=1-1284	YCL008C
470	OG0000470	augustus_masked-AE016814-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.63&CDS=1-1473	YCL004W
471	OG0000471	augustus_masked-AE016814-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.64&CDS=1-549	YCL001W
472	OG0000472	augustus_masked-AE016814-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.65&CDS=1-1155	YNL001W
473	OG0000473	augustus_masked-AE016814-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.89&CDS=1-984	YCR002C
474	OG0000474	augustus_masked-AE016814-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.66&CDS=1-534	YCR003W
475	OG0000475	augustus_masked-AE016814-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.68&CDS=1-891	YLR257W
476	OG0000476	augustus_masked-AE016814-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.69&CDS=1-2685	YFR016C
477	OG0000477	augustus_masked-AE016814-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.71&CDS=1-2109	YLR258W
478	OG0000478	augustus_masked-AE016814-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.72&CDS=1-1359	YOL016C
479	OG0000479	augustus_masked-AE016814-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.73&CDS=1-924	YIR017C
480	OG0000480	snap_masked-AE016814-processed-gene-3.146-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-3.146&CDS=1-2241	YOL036W
481	OG0000481	genemark-AE016814-processed-gene-3.44-mRNA-1_1&gene=genemark-AE016814-processed-gene-3.44&CDS=1-783	YOL038W
482	OG0000482	augustus_masked-AE016814-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.74&CDS=1-465	YOL026C
483	OG0000483	genemark-AE016814-processed-gene-3.45-mRNA-1_1&gene=genemark-AE016814-processed-gene-3.45&CDS=1-468	YIR015W
484	OG0000484	maker-AE016814-augustus-gene-3.99-mRNA-1_1&gene=maker-AE016814-augustus-gene-3.99&CDS=1-3558	YIR007W
485	OG0000485	augustus_masked-AE016814-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.77&CDS=1-585	YER012W
486	OG0000486	augustus_masked-AE016814-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.79&CDS=1-1800	YER014W
487	OG0000487	augustus_masked-AE016814-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.80&CDS=1-966	YER016W
488	OG0000488	augustus_masked-AE016814-processed-gene-4.110-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-4.110&CDS=1-948	YBR251W
489	OG0000489	augustus_masked-AE016814-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-4.111&CDS=1-1128	YGR112W
490	OG0000490	genemark-AE016814-processed-gene-4.3-mRNA-1_1&gene=genemark-AE016814-processed-gene-4.3&CDS=1-1017	YGR113W
491	OG0000491	genemark-AE016814-processed-gene-4.4-mRNA-1_1&gene=genemark-AE016814-processed-gene-4.4&CDS=1-957	YPR124W
492	OG0000492	augustus_masked-AE016814-processed-gene-4.113-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-4.113&CDS=1-4296	YGR116W
493	OG0000493	augustus_masked-AE016814-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-4.115&CDS=1-1023	YPR127W
494	OG0000494	augustus_masked-AE016814-processed-gene-4.116-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-4.116&CDS=1-3183	YGR094W
495	OG0000495	augustus_masked-AE016814-processed-gene-4.138-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-4.138&CDS=1-642	YGR095C
496	OG0000496	augustus_masked-AE016814-processed-gene-4.117-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-4.117&CDS=1-951	YGR096W
497	OG0000497	genemark-AE016814-processed-gene-4.10-mRNA-1_1&gene=genemark-AE016814-processed-gene-4.10&CDS=1-696	YPR113W
498	OG0000498	genemark-AE016814-processed-gene-4.11-mRNA-1_1&gene=genemark-AE016814-processed-gene-4.11&CDS=1-1698	YBR132C
499	OG0000499	augustus_masked-AE016814-processed-gene-4.139-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-4.139&CDS=1-1989	YBR131W
500	OG0000500	augustus_masked-AE016814-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-4.120&CDS=1-1542	YPR088C
501	OG0000501	augustus_masked-AE016814-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-4.121&CDS=1-1410	YBR130C
502	OG0000502	augustus_masked-AE016814-processed-gene-4.140-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-4.140&CDS=1-1611	YNR030W
503	OG0000503	augustus_masked-AE016814-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-4.122&CDS=1-1230	YNR029C
504	OG0000504	genemark-AE016814-processed-gene-4.34-mRNA-1_1&gene=genemark-AE016814-processed-gene-4.34&CDS=1-927	YCR069W
505	OG0000505	genemark-AE016814-processed-gene-4.35-mRNA-1_1&gene=genemark-AE016814-processed-gene-4.35&CDS=1-1632	YCR068W
506	OG0000506	augustus_masked-AE016814-processed-gene-4.142-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-4.142&CDS=1-903	YNR027W
507	OG0000507	augustus_masked-AE016814-processed-gene-4.123-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-4.123&CDS=1-3033	YNR026C
508	OG0000508	genemark-AE016814-processed-gene-4.37-mRNA-1_1&gene=genemark-AE016814-processed-gene-4.37&CDS=1-1329	YCR066W
509	OG0000509	genemark-AE016814-processed-gene-4.38-mRNA-1_1&gene=genemark-AE016814-processed-gene-4.38&CDS=1-1635	YCR063W
510	OG0000510	genemark-AE016814-processed-gene-4.39-mRNA-1_1&gene=genemark-AE016814-processed-gene-4.39&CDS=1-1737	YCR061W
