	OrthologID	Hanseniaspora_valbyensis	Saccharomyces_cerevisiae
667	OG0000667	snap_masked-scaffold_10-processed-gene-0.42-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-0.42&CDS=1-1677	YGR088W
668	OG0000668	snap_masked-scaffold_10-processed-gene-0.43-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-0.43&CDS=1-792	YPL078C
669	OG0000669	augustus_masked-scaffold_10-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.10&CDS=1-714	YBR193C
670	OG0000670	augustus_masked-scaffold_10-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.24&CDS=1-1155	YBR192W
671	OG0000671	augustus_masked-scaffold_10-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.11&CDS=1-5631	YPL082C
672	OG0000672	maker-scaffold_10-snap-gene-0.71-mRNA-1_1&gene=maker-scaffold_10-snap-gene-0.71&CDS=1-846	YBR187W
673	OG0000673	maker-scaffold_10-snap-gene-0.65-mRNA-1_1&gene=maker-scaffold_10-snap-gene-0.65&CDS=1-2826	YOR206W
674	OG0000674	augustus_masked-scaffold_10-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.0&CDS=1-699	YOR194C
675	OG0000675	snap_masked-scaffold_10-processed-gene-1.43-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.43&CDS=1-1137	YPL112C
676	OG0000676	snap_masked-scaffold_10-processed-gene-1.42-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.42&CDS=1-3522	YPL115C
677	OG0000677	augustus_masked-scaffold_10-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.3&CDS=1-1176	YOR196C
678	OG0000678	snap_masked-scaffold_10-processed-gene-1.46-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.46&CDS=1-273	YNR037C
679	OG0000679	maker-scaffold_10-snap-gene-1.81-mRNA-1_1&gene=maker-scaffold_10-snap-gene-1.81&CDS=1-3327	YPL040C
680	OG0000680	snap_masked-scaffold_10-processed-gene-1.48-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.48&CDS=1-780	YDR248C
681	OG0000681	snap_masked-scaffold_10-processed-gene-1.62-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.62&CDS=1-1203	YPL028W
682	OG0000682	augustus_masked-scaffold_10-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.23&CDS=1-1761	YPL030W
683	OG0000683	augustus_masked-scaffold_10-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.25&CDS=1-798	YDR246W
684	OG0000684	snap_masked-scaffold_10-processed-gene-1.67-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.67&CDS=1-1269	YPL109C
685	OG0000685	augustus_masked-scaffold_10-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.28&CDS=1-552	YBR164C
686	OG0000686	snap_masked-scaffold_10-processed-gene-1.54-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.54&CDS=1-1419	YOR163W
687	OG0000687	snap_masked-scaffold_10-processed-gene-1.69-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.69&CDS=1-1425	YPL097W
688	OG0000688	augustus_masked-scaffold_10-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.30&CDS=1-1362	YBR166C
689	OG0000689	augustus_masked-scaffold_10-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.31&CDS=1-1230	YIR032C
690	OG0000690	snap_masked-scaffold_10-processed-gene-1.56-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.56&CDS=1-618	YBR171W
691	OG0000691	snap_masked-scaffold_10-processed-gene-1.74-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.74&CDS=1-471	YBR173C
692	OG0000692	augustus_masked-scaffold_10-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.17&CDS=1-1029	YBR175W
693	OG0000693	snap_masked-scaffold_10-processed-gene-1.58-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.58&CDS=1-1980	YPL104W
694	OG0000694	augustus_masked-scaffold_10-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.19&CDS=1-1518	YPL101W
695	OG0000695	snap_masked-scaffold_10-processed-gene-1.77-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.77&CDS=1-291	YPL098C
696	OG0000696	augustus_masked-scaffold_10-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.39&CDS=1-2517	YBR179C
697	OG0000697	snap_masked-scaffold_10-processed-gene-1.80-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.80&CDS=1-969	YPL094C
698	OG0000698	snap_masked-scaffold_10-processed-gene-2.11-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.11&CDS=1-1404	YPL091W
699	OG0000699	augustus_masked-scaffold_10-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.73&CDS=1-4473	YPL085W
700	OG0000700	snap_masked-scaffold_10-processed-gene-2.17-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.17&CDS=1-2547	YPL075W
701	OG0000701	snap_masked-scaffold_10-processed-gene-2.18-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.18&CDS=1-2523	YBR198C
702	OG0000702	augustus_masked-scaffold_10-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.105&CDS=1-921	YPL076W
703	OG0000703	snap_masked-scaffold_10-processed-gene-2.19-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.19&CDS=1-1653	YBR196C
704	OG0000704	snap_masked-scaffold_10-processed-gene-2.20-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.20&CDS=1-1389	YDR221W
705	OG0000705	augustus_masked-scaffold_10-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.79&CDS=1-2394	YDR223W
706	OG0000706	augustus_masked-scaffold_10-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.108&CDS=1-678	YDR226W
707	OG0000707	augustus_masked-scaffold_10-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.110&CDS=1-753	YDR228C
708	OG0000708	augustus_masked-scaffold_10-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.81&CDS=1-990	YLR220W
709	OG0000709	augustus_masked-scaffold_10-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.82&CDS=1-2553	YLR222C
710	OG0000710	augustus_masked-scaffold_10-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.83&CDS=1-654	YLR221C
711	OG0000711	snap_masked-scaffold_10-processed-gene-2.27-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.27&CDS=1-1431	YLR226W
712	OG0000712	snap_masked-scaffold_10-processed-gene-2.28-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.28&CDS=1-1266	YDR218C
713	OG0000713	augustus_masked-scaffold_10-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.111&CDS=1-1092	YDR214W
714	OG0000714	snap_masked-scaffold_10-processed-gene-2.53-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.53&CDS=1-1683	YDR212W
715	OG0000715	augustus_masked-scaffold_10-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.115&CDS=1-573	YLR229C
716	OG0000716	augustus_masked-scaffold_10-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.116&CDS=1-1008	YDR204W
717	OG0000717	augustus_masked-scaffold_10-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.117&CDS=1-945	YLR239C
718	OG0000718	augustus_masked-scaffold_10-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.91&CDS=1-1356	YDR198C
719	OG0000719	snap_masked-scaffold_10-processed-gene-2.36-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.36&CDS=1-816	YDR196C
720	OG0000720	augustus_masked-scaffold_10-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.93&CDS=1-4020	YLR240W
721	OG0000721	augustus_masked-scaffold_10-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.94&CDS=1-2451	YLR241W
722	OG0000722	augustus_masked-scaffold_10-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.119&CDS=1-879	YLR242C
723	OG0000723	augustus_masked-scaffold_10-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.96&CDS=1-813	YLR243W
724	OG0000724	snap_masked-scaffold_10-processed-gene-2.41-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.41&CDS=1-480	YLR245C
725	OG0000725	augustus_masked-scaffold_10-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.98&CDS=1-1140	YLR244C
726	OG0000726	augustus_masked-scaffold_10-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.121&CDS=1-1005	YPL069C
727	OG0000727	snap_masked-scaffold_10-processed-gene-2.59-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.59&CDS=1-2169	YBR200W
728	OG0000728	augustus_masked-scaffold_10-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.124&CDS=1-1407	YNL292W
729	OG0000729	maker-scaffold_10-snap-gene-2.5-mRNA-1_1&gene=maker-scaffold_10-snap-gene-2.5&CDS=1-1896	YBR160W
730	OG0000730	augustus_masked-scaffold_10-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.127&CDS=1-1599	YDR120C
731	OG0000731	snap_masked-scaffold_10-processed-gene-2.65-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.65&CDS=1-774	YLR059C
732	OG0000732	augustus_masked-scaffold_10-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.102&CDS=1-438	YDR121W
733	OG0000733	augustus_masked-scaffold_10-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.130&CDS=1-1578	YHR176W
734	OG0000734	snap_masked-scaffold_10-processed-gene-2.68-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.68&CDS=1-1659	YLR094C
735	OG0000735	maker-scaffold_100-snap-gene-0.6-mRNA-1_1&gene=maker-scaffold_100-snap-gene-0.6&CDS=1-2928	YFL008W
736	OG0000736	genemark-scaffold_103-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_103-processed-gene-0.3&CDS=1-1221	YBR155W
737	OG0000737	genemark-scaffold_105-processed-gene-0.6-mRNA-1_1&gene=genemark-scaffold_105-processed-gene-0.6&CDS=1-1434	YDR105C
738	OG0000738	genemark-scaffold_105-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_105-processed-gene-0.7&CDS=1-4773	YLL015W
739	OG0000739	genemark-scaffold_109-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_109-processed-gene-0.4&CDS=1-1653	YML115C
740	OG0000740	snap_masked-scaffold_109-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scaffold_109-processed-gene-0.2&CDS=1-1950	YML117W
741	OG0000741	genemark-scaffold_11-processed-gene-0.93-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.93&CDS=1-993	YFR018C
742	OG0000742	genemark-scaffold_11-processed-gene-0.81-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.81&CDS=1-1968	YJL085W
743	OG0000743	genemark-scaffold_11-processed-gene-0.82-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.82&CDS=1-1641	YKR016W
744	OG0000744	genemark-scaffold_11-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.83&CDS=1-1386	YJL091C
745	OG0000745	genemark-scaffold_11-processed-gene-0.95-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.95&CDS=1-3369	YJL092W
746	OG0000746	genemark-scaffold_11-processed-gene-0.84-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.84&CDS=1-951	YER053C
747	OG0000747	genemark-scaffold_11-processed-gene-0.97-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.97&CDS=1-3069	YIL073C
748	OG0000748	genemark-scaffold_11-processed-gene-0.98-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.98&CDS=1-1833	YER080W
749	OG0000749	genemark-scaffold_11-processed-gene-0.85-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.85&CDS=1-2523	YER075C
750	OG0000750	augustus_masked-scaffold_11-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-0.61&CDS=1-294	YER074W-A
751	OG0000751	genemark-scaffold_11-processed-gene-0.87-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.87&CDS=1-1089	YKL151C
752	OG0000752	genemark-scaffold_11-processed-gene-0.88-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.88&CDS=1-924	YKL150W
753	OG0000753	genemark-scaffold_11-processed-gene-0.102-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.102&CDS=1-1176	YKL149C
754	OG0000754	genemark-scaffold_11-processed-gene-0.103-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.103&CDS=1-1893	YKL148C
755	OG0000755	genemark-scaffold_11-processed-gene-0.89-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.89&CDS=1-1476	YKL145W
756	OG0000756	genemark-scaffold_11-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.105&CDS=1-723	YKL144C
757	OG0000757	genemark-scaffold_11-processed-gene-0.90-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.90&CDS=1-1542	YKL143W
758	OG0000758	genemark-scaffold_11-processed-gene-0.91-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.91&CDS=1-636	YKL142W
759	OG0000759	genemark-scaffold_11-processed-gene-0.106-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.106&CDS=1-2082	YJL010C
760	OG0000760	genemark-scaffold_11-processed-gene-0.107-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.107&CDS=1-1089	YJR008W
761	OG0000761	genemark-scaffold_11-processed-gene-0.108-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.108&CDS=1-966	YJR007W
762	OG0000762	genemark-scaffold_11-processed-gene-0.92-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.92&CDS=1-573	YKL160W
763	OG0000763	genemark-scaffold_11-processed-gene-0.109-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.109&CDS=1-438	YHR051W
764	OG0000764	genemark-scaffold_11-processed-gene-0.112-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.112&CDS=1-708	YHR049W
765	OG0000765	genemark-scaffold_11-processed-gene-0.113-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.113&CDS=1-1608	YHR048W
766	OG0000766	genemark-scaffold_11-processed-gene-0.114-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.114&CDS=1-534	YGR203W
767	OG0000767	genemark-scaffold_11-processed-gene-1.49-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.49&CDS=1-1437	YGR202C
768	OG0000768	genemark-scaffold_11-processed-gene-1.50-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.50&CDS=1-2280	YLL008W
769	OG0000769	genemark-scaffold_11-processed-gene-1.46-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.46&CDS=1-774	YLL006W
770	OG0000770	genemark-scaffold_11-processed-gene-1.52-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.52&CDS=1-1005	YGR192C
771	OG0000771	genemark-scaffold_11-processed-gene-1.48-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.48&CDS=1-2046	YHR042W
772	OG0000772	genemark-scaffold_11-processed-gene-1.53-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.53&CDS=1-3312	YDR291W
773	OG0000773	genemark-scaffold_11-processed-gene-1.54-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.54&CDS=1-612	YDR298C
774	OG0000774	genemark-scaffold_11-processed-gene-1.75-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.75&CDS=1-1053	YDR297W
775	OG0000775	genemark-scaffold_11-processed-gene-1.76-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.76&CDS=1-738	YDR296W
776	OG0000776	augustus_masked-scaffold_11-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-1.13&CDS=1-1932	YDR321W
777	OG0000777	genemark-scaffold_11-processed-gene-1.61-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.61&CDS=1-5649	YDR283C
778	OG0000778	genemark-scaffold_11-processed-gene-1.79-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.79&CDS=1-723	YAR008W
779	OG0000779	genemark-scaffold_11-processed-gene-1.62-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.62&CDS=1-1062	YLR006C
780	OG0000780	augustus_masked-scaffold_11-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-1.32&CDS=1-849	YLR003C
781	OG0000781	maker-scaffold_11-snap-gene-1.99-mRNA-1_1&gene=maker-scaffold_11-snap-gene-1.99&CDS=1-3561	YNR055C
782	OG0000782	genemark-scaffold_11-processed-gene-1.68-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.68&CDS=1-1302	YDR299W
783	OG0000783	genemark-scaffold_11-processed-gene-1.84-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.84&CDS=1-1116	YDR302W
784	OG0000784	genemark-scaffold_11-processed-gene-1.85-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.85&CDS=1-834	YDR310C
785	OG0000785	genemark-scaffold_11-processed-gene-1.86-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.86&CDS=1-1152	YHR063C
786	OG0000786	genemark-scaffold_11-processed-gene-1.87-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.87&CDS=1-1218	YHR064C
787	OG0000787	genemark-scaffold_11-processed-gene-1.69-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.69&CDS=1-1314	YLR015W
788	OG0000788	genemark-scaffold_11-processed-gene-1.70-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.70&CDS=1-1605	YLR005W
789	OG0000789	genemark-scaffold_11-processed-gene-1.71-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.71&CDS=1-987	YHR062C
790	OG0000790	genemark-scaffold_11-processed-gene-1.90-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.90&CDS=1-510	YDR308C
791	OG0000791	genemark-scaffold_11-processed-gene-2.67-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.67&CDS=1-1413	YDR306C
792	OG0000792	snap_masked-scaffold_11-processed-gene-2.0-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.0&CDS=1-696	YKR062W
793	OG0000793	genemark-scaffold_11-processed-gene-2.70-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.70&CDS=1-2229	YHR074W
794	OG0000794	augustus_masked-scaffold_11-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.127&CDS=1-1191	YHR075C
795	OG0000795	genemark-scaffold_11-processed-gene-2.97-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.97&CDS=1-1155	YDR337W
796	OG0000796	genemark-scaffold_11-processed-gene-2.72-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.72&CDS=1-915	YHR089C
797	OG0000797	maker-scaffold_11-snap-gene-2.61-mRNA-1_1&gene=maker-scaffold_11-snap-gene-2.61&CDS=1-3780	YDR335W
798	OG0000798	genemark-scaffold_11-processed-gene-2.100-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.100&CDS=1-372	YJL003W
799	OG0000799	genemark-scaffold_11-processed-gene-2.75-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.75&CDS=1-1791	YJR016C
800	OG0000800	genemark-scaffold_11-processed-gene-2.76-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.76&CDS=1-1491	YJL002C
801	OG0000801	genemark-scaffold_11-processed-gene-2.78-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.78&CDS=1-3321	YLL001W
802	OG0000802	genemark-scaffold_11-processed-gene-2.79-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.79&CDS=1-1209	YLL002W
803	OG0000803	genemark-scaffold_11-processed-gene-2.102-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.102&CDS=1-2946	YLR001C
804	OG0000804	genemark-scaffold_11-processed-gene-2.80-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.80&CDS=1-1989	YJR001W
805	OG0000805	maker-scaffold_11-snap-gene-2.63-mRNA-1_1&gene=maker-scaffold_11-snap-gene-2.63&CDS=1-1200	YHR070W
806	OG0000806	genemark-scaffold_11-processed-gene-2.82-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.82&CDS=1-1194	YHR069C
807	OG0000807	genemark-scaffold_11-processed-gene-2.83-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.83&CDS=1-1695	YDR316W
808	OG0000808	augustus_masked-scaffold_11-processed-gene-2.160-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.160&CDS=1-2808	YGR204W
809	OG0000809	genemark-scaffold_11-processed-gene-2.106-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.106&CDS=1-2484	YGR200C
810	OG0000810	genemark-scaffold_11-processed-gene-2.107-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.107&CDS=1-1491	YHR065C
811	OG0000811	genemark-scaffold_11-processed-gene-2.108-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.108&CDS=1-774	YDR313C
812	OG0000812	genemark-scaffold_11-processed-gene-2.109-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.109&CDS=1-1944	YDR314C
813	OG0000813	genemark-scaffold_11-processed-gene-2.110-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.110&CDS=1-1704	YOR023C
814	OG0000814	genemark-scaffold_11-processed-gene-2.112-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.112&CDS=1-1458	YHR011W
815	OG0000815	genemark-scaffold_11-processed-gene-2.87-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.87&CDS=1-1629	YDR470C
816	OG0000816	genemark-scaffold_11-processed-gene-2.88-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.88&CDS=1-630	YDR468C
817	OG0000817	genemark-scaffold_11-processed-gene-2.89-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.89&CDS=1-576	YDR339C
818	OG0000818	genemark-scaffold_11-processed-gene-2.90-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.90&CDS=1-987	YHR090C
819	OG0000819	genemark-scaffold_11-processed-gene-2.113-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.113&CDS=1-2733	YGR198W
820	OG0000820	genemark-scaffold_11-processed-gene-2.93-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.93&CDS=1-3102	YGL207W
821	OG0000821	genemark-scaffold_11-processed-gene-2.114-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.114&CDS=1-4929	YGL206C
822	OG0000822	genemark-scaffold_11-processed-gene-2.94-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.94&CDS=1-1188	YGL240W
823	OG0000823	genemark-scaffold_11-processed-gene-2.115-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.115&CDS=1-522	YGL242C
824	OG0000824	genemark-scaffold_11-processed-gene-2.116-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.116&CDS=1-1110	YGL224C
825	OG0000825	genemark-scaffold_11-processed-gene-2.96-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.96&CDS=1-1923	YGL236C
826	OG0000826	maker-scaffold_110-augustus-gene-0.4-mRNA-1_1&gene=maker-scaffold_110-augustus-gene-0.4&CDS=1-966	YLR118C
827	OG0000827	genemark-scaffold_110-processed-gene-0.9-mRNA-1_1&gene=genemark-scaffold_110-processed-gene-0.9&CDS=1-867	YMR193W
828	OG0000828	maker-scaffold_111-snap-gene-0.6-mRNA-1_1&gene=maker-scaffold_111-snap-gene-0.6&CDS=1-1482	YJR110W
829	OG0000829	genemark-scaffold_112-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_112-processed-gene-0.3&CDS=1-444	YBR109C
830	OG0000830	genemark-scaffold_112-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_112-processed-gene-0.7&CDS=1-231	YBR106W
831	OG0000831	genemark-scaffold_113-processed-gene-0.6-mRNA-1_1&gene=genemark-scaffold_113-processed-gene-0.6&CDS=1-1380	YER019W
832	OG0000832	genemark-scaffold_113-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_113-processed-gene-0.7&CDS=1-1569	YNL277W
833	OG0000833	genemark-scaffold_113-processed-gene-0.8-mRNA-1_1&gene=genemark-scaffold_113-processed-gene-0.8&CDS=1-579	YCR043C
834	OG0000834	maker-scaffold_114-snap-gene-0.12-mRNA-1_1&gene=maker-scaffold_114-snap-gene-0.12&CDS=1-4143	YAL001C
835	OG0000835	genemark-scaffold_114-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_114-processed-gene-0.0&CDS=1-777	YGR001C
836	OG0000836	augustus_masked-scaffold_115-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scaffold_115-processed-gene-0.5&CDS=1-3834	YOR086C
837	OG0000837	augustus_masked-scaffold_117-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_117-processed-gene-0.3&CDS=1-1953	YPR010C
838	OG0000838	genemark-scaffold_119-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_119-processed-gene-0.0&CDS=1-1023	YPL215W
839	OG0000839	maker-scaffold_12-snap-gene-0.85-mRNA-1_1&gene=maker-scaffold_12-snap-gene-0.85&CDS=1-1029	YNL025C
840	OG0000840	genemark-scaffold_12-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.3&CDS=1-1332	YIL103W
841	OG0000841	maker-scaffold_12-augustus-gene-0.44-mRNA-1_1&gene=maker-scaffold_12-augustus-gene-0.44&CDS=1-4311	YNL041C
842	OG0000842	genemark-scaffold_12-processed-gene-0.23-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.23&CDS=1-735	YNL036W
843	OG0000843	maker-scaffold_12-snap-gene-0.87-mRNA-1_1&gene=maker-scaffold_12-snap-gene-0.87&CDS=1-1830	YIL104C
