	OrthologID	Saccharomyces_arboricola	Saccharomyces_cerevisiae
613	OG0000613	genemark-NC_026173.1-processed-gene-0.70-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-0.70&CDS=1-330	YCL035C
614	OG0000614	genemark-NC_026173.1-processed-gene-0.51-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-0.51&CDS=1-1065	YCL034W
615	OG0000615	genemark-NC_026173.1-processed-gene-0.71-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-0.71&CDS=1-405	YCL033C
616	OG0000616	genemark-NC_026173.1-processed-gene-0.52-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-0.52&CDS=1-1038	YCL032W
617	OG0000617	genemark-NC_026173.1-processed-gene-0.72-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-0.72&CDS=1-891	YCL031C
618	OG0000618	genemark-NC_026173.1-processed-gene-0.73-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-0.73&CDS=1-2397	YCL030C
619	OG0000619	genemark-NC_026173.1-processed-gene-0.74-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-0.74&CDS=1-1320	YCL029C
620	OG0000620	genemark-NC_026173.1-processed-gene-0.53-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-0.53&CDS=1-1179	YCL028W
621	OG0000621	genemark-NC_026173.1-processed-gene-0.54-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-0.54&CDS=1-1524	YCL027W
622	OG0000622	genemark-NC_026173.1-processed-gene-0.75-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-0.75&CDS=1-579	YCL026C-B
623	OG0000623	genemark-NC_026173.1-processed-gene-0.77-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-0.77&CDS=1-375	YCL021W-A
624	OG0000624	genemark-NC_026173.1-processed-gene-0.56-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-0.56&CDS=1-1092	YCL018W
625	OG0000625	genemark-NC_026173.1-processed-gene-0.78-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-0.78&CDS=1-1491	YCL017C
626	OG0000626	genemark-NC_026173.1-processed-gene-0.79-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-0.79&CDS=1-1140	YCL016C
627	OG0000627	genemark-NC_026173.1-processed-gene-1.24-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.24&CDS=1-4878	YCL014W
628	OG0000628	augustus_masked-NC_026173.1-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-NC_026173.1-processed-gene-1.105&CDS=1-4395	YCL011C
629	OG0000629	maker-NC_026173.1-snap-gene-1.4-mRNA-1_1&gene=maker-NC_026173.1-snap-gene-1.4&CDS=1-348	YCL007C
630	OG0000630	genemark-NC_026173.1-processed-gene-1.25-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.25&CDS=1-756	YCL005W
631	OG0000631	genemark-NC_026173.1-processed-gene-1.26-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.26&CDS=1-1476	YCL004W
632	OG0000632	snap_masked-NC_026173.1-processed-gene-1.177-mRNA-1_1&gene=snap_masked-NC_026173.1-processed-gene-1.177&CDS=1-291	YCL002C
633	OG0000633	genemark-NC_026173.1-processed-gene-1.29-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.29&CDS=1-564	YCL001W
634	OG0000634	genemark-NC_026173.1-processed-gene-1.62-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.62&CDS=1-966	YCR002C
635	OG0000635	genemark-NC_026173.1-processed-gene-1.31-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.31&CDS=1-549	YCR003W
636	OG0000636	genemark-NC_026173.1-processed-gene-1.63-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.63&CDS=1-738	YCR004C
637	OG0000637	genemark-NC_026173.1-processed-gene-1.32-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.32&CDS=1-1812	YCR008W
638	OG0000638	genemark-NC_026173.1-processed-gene-1.65-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.65&CDS=1-795	YCR009C
639	OG0000639	augustus_masked-NC_026173.1-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-NC_026173.1-processed-gene-1.139&CDS=1-3147	YCR011C
640	OG0000640	genemark-NC_026173.1-processed-gene-1.33-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.33&CDS=1-1248	YCR012W
641	OG0000641	maker-NC_026173.1-augustus-gene-1.13-mRNA-1_1&gene=maker-NC_026173.1-augustus-gene-1.13&CDS=1-2757	YCR014C
642	OG0000642	genemark-NC_026173.1-processed-gene-1.34-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.34&CDS=1-843	YCR016W
643	OG0000643	genemark-NC_026173.1-processed-gene-1.70-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.70&CDS=1-2862	YCR017C
644	OG0000644	genemark-NC_026173.1-processed-gene-1.71-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.71&CDS=1-666	YCR018C
645	OG0000645	genemark-NC_026173.1-processed-gene-1.35-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.35&CDS=1-1086	YCR019W
646	OG0000646	genemark-NC_026173.1-processed-gene-1.72-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.72&CDS=1-783	YCR020C
647	OG0000647	snap_masked-NC_026173.1-processed-gene-1.184-mRNA-1_1&gene=snap_masked-NC_026173.1-processed-gene-1.184&CDS=1-255	YCR020W-B
648	OG0000648	genemark-NC_026173.1-processed-gene-1.73-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.73&CDS=1-1002	YCR021C
649	OG0000649	genemark-NC_026173.1-processed-gene-1.74-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.74&CDS=1-1833	YCR023C
650	OG0000650	genemark-NC_026173.1-processed-gene-1.75-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.75&CDS=1-1476	YCR024C
651	OG0000651	maker-NC_026173.1-snap-gene-1.7-mRNA-1_1&gene=maker-NC_026173.1-snap-gene-1.7&CDS=1-216	YCR025C
652	OG0000652	genemark-NC_026173.1-processed-gene-1.76-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.76&CDS=1-2220	YCR026C
653	OG0000653	genemark-NC_026173.1-processed-gene-1.77-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.77&CDS=1-627	YCR027C
654	OG0000654	genemark-NC_026173.1-processed-gene-1.78-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.78&CDS=1-1542	YCR028C
655	OG0000655	genemark-NC_026173.1-processed-gene-1.79-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.79&CDS=1-405	YCR028C-A
656	OG0000656	maker-NC_026173.1-snap-gene-1.9-mRNA-1_1&gene=maker-NC_026173.1-snap-gene-1.9&CDS=1-2610	YCR030C
657	OG0000657	snap_masked-NC_026173.1-processed-gene-1.185-mRNA-1_1&gene=snap_masked-NC_026173.1-processed-gene-1.185&CDS=1-6477	YCR032W
658	OG0000658	snap_masked-NC_026173.1-processed-gene-1.186-mRNA-1_1&gene=snap_masked-NC_026173.1-processed-gene-1.186&CDS=1-3681	YCR033W
659	OG0000659	genemark-NC_026173.1-processed-gene-1.38-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.38&CDS=1-1041	YCR034W
660	OG0000660	genemark-NC_026173.1-processed-gene-1.82-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.82&CDS=1-1179	YCR035C
661	OG0000661	genemark-NC_026173.1-processed-gene-1.39-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.39&CDS=1-1002	YCR036W
662	OG0000662	snap_masked-NC_026173.1-processed-gene-1.233-mRNA-1_1&gene=snap_masked-NC_026173.1-processed-gene-1.233&CDS=1-5112	YCR042C
663	OG0000663	augustus_masked-NC_026173.1-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-NC_026173.1-processed-gene-1.156&CDS=1-4089	YCR045C
664	OG0000664	augustus_masked-NC_026173.1-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-NC_026173.1-processed-gene-1.116&CDS=1-4044	YCR048W
665	OG0000665	snap_masked-NC_026173.1-processed-gene-1.239-mRNA-1_1&gene=snap_masked-NC_026173.1-processed-gene-1.239&CDS=1-486	YCR049C
666	OG0000666	snap_masked-NC_026173.1-processed-gene-1.240-mRNA-1_1&gene=snap_masked-NC_026173.1-processed-gene-1.240&CDS=1-969	YCR050C
667	OG0000667	genemark-NC_026173.1-processed-gene-1.43-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.43&CDS=1-1542	YCR053W
668	OG0000668	genemark-NC_026173.1-processed-gene-1.87-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.87&CDS=1-1689	YCR054C
669	OG0000669	maker-NC_026173.1-augustus-gene-1.17-mRNA-1_1&gene=maker-NC_026173.1-augustus-gene-1.17&CDS=1-3546	YCR057C
670	OG0000670	genemark-NC_026173.1-processed-gene-1.44-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.44&CDS=1-333	YCR060W
671	OG0000671	genemark-NC_026173.1-processed-gene-1.45-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.45&CDS=1-1824	YCR061W
672	OG0000672	genemark-NC_026173.1-processed-gene-1.46-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.46&CDS=1-471	YCR063W
673	OG0000673	snap_masked-NC_026173.1-processed-gene-1.194-mRNA-1_1&gene=snap_masked-NC_026173.1-processed-gene-1.194&CDS=1-1716	YCR065W
674	OG0000674	snap_masked-NC_026173.1-processed-gene-1.195-mRNA-1_1&gene=snap_masked-NC_026173.1-processed-gene-1.195&CDS=1-1467	YCR066W
675	OG0000675	genemark-NC_026173.1-processed-gene-1.89-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.89&CDS=1-3066	YCR067C
676	OG0000676	maker-NC_026173.1-augustus-gene-1.10-mRNA-1_1&gene=maker-NC_026173.1-augustus-gene-1.10&CDS=1-2502	YCR068W
677	OG0000677	augustus_masked-NC_026173.1-processed-gene-1.160-mRNA-1_1&gene=augustus_masked-NC_026173.1-processed-gene-1.160&CDS=1-1944	YCR072C
678	OG0000678	genemark-NC_026173.1-processed-gene-1.93-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.93&CDS=1-780	YCR075C
679	OG0000679	snap_masked-NC_026173.1-processed-gene-1.200-mRNA-1_1&gene=snap_masked-NC_026173.1-processed-gene-1.200&CDS=1-225	YCR075W-A
680	OG0000680	augustus_masked-NC_026173.1-processed-gene-1.163-mRNA-1_1&gene=augustus_masked-NC_026173.1-processed-gene-1.163&CDS=1-3165	YCR077C
681	OG0000681	genemark-NC_026173.1-processed-gene-1.50-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.50&CDS=1-1329	YCR079W
682	OG0000682	augustus_masked-NC_026173.1-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-NC_026173.1-processed-gene-1.124&CDS=1-4623	YCR081W
683	OG0000683	snap_masked-NC_026173.1-processed-gene-1.203-mRNA-1_1&gene=snap_masked-NC_026173.1-processed-gene-1.203&CDS=1-381	YCR083W
684	OG0000684	genemark-NC_026173.1-processed-gene-1.96-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.96&CDS=1-2139	YCR084C
685	OG0000685	genemark-NC_026173.1-processed-gene-1.54-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.54&CDS=1-570	YCR086W
686	OG0000686	genemark-NC_026173.1-processed-gene-1.97-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.97&CDS=1-417	YCR087C-A
687	OG0000687	genemark-NC_026173.1-processed-gene-1.55-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.55&CDS=1-1785	YCR088W
688	OG0000688	augustus_masked-NC_026173.1-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-NC_026173.1-processed-gene-1.128&CDS=1-4770	YCR089W
689	OG0000689	genemark-NC_026173.1-processed-gene-1.98-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.98&CDS=1-546	YCR090C
690	OG0000690	genemark-NC_026173.1-processed-gene-1.99-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.99&CDS=1-3048	YCR092C
691	OG0000691	maker-NC_026173.1-snap-gene-1.2-mRNA-1_1&gene=maker-NC_026173.1-snap-gene-1.2&CDS=1-7446	YCR093W
692	OG0000692	genemark-NC_026173.1-processed-gene-1.100-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.100&CDS=1-1089	YCR095C
693	OG0000693	genemark-NC_026173.1-processed-gene-1.61-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.61&CDS=1-2031	YOL164W
694	OG0000694	genemark-NC_026174.1-processed-gene-0.68-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.68&CDS=1-594	YJL217W
695	OG0000695	genemark-NC_026174.1-processed-gene-0.82-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.82&CDS=1-951	YER185W
696	OG0000696	genemark-NC_026174.1-processed-gene-0.70-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.70&CDS=1-2343	YER184C
697	OG0000697	snap_masked-NC_026174.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-0.33&CDS=1-366	YDL241W
698	OG0000698	maker-NC_026174.1-snap-gene-0.65-mRNA-1_1&gene=maker-NC_026174.1-snap-gene-0.65&CDS=1-378	YGR290W
699	OG0000699	genemark-NC_026174.1-processed-gene-0.75-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.75&CDS=1-3051	YDL240W
700	OG0000700	maker-NC_026174.1-augustus-gene-0.61-mRNA-1_1&gene=maker-NC_026174.1-augustus-gene-0.61&CDS=1-3822	YDL238C
701	OG0000701	genemark-NC_026174.1-processed-gene-0.76-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.76&CDS=1-1170	YDL237W
702	OG0000702	genemark-NC_026174.1-processed-gene-0.77-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.77&CDS=1-927	YDL236W
703	OG0000703	maker-NC_026174.1-augustus-gene-0.62-mRNA-1_1&gene=maker-NC_026174.1-augustus-gene-0.62&CDS=1-2808	YDL234C
704	OG0000704	genemark-NC_026174.1-processed-gene-0.78-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.78&CDS=1-1590	YDL233W
705	OG0000705	genemark-NC_026174.1-processed-gene-0.90-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.90&CDS=1-3375	YDL231C
706	OG0000706	augustus_masked-NC_026174.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-0.12&CDS=1-1014	YDL230W
707	OG0000707	genemark-NC_026174.1-processed-gene-0.91-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.91&CDS=1-1758	YDL227C
708	OG0000708	genemark-NC_026174.1-processed-gene-0.92-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.92&CDS=1-1056	YDL226C
709	OG0000709	genemark-NC_026174.1-processed-gene-0.80-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.80&CDS=1-1647	YDL225W
710	OG0000710	genemark-NC_026174.1-processed-gene-0.93-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.93&CDS=1-1947	YDL224C
711	OG0000711	genemark-NC_026174.1-processed-gene-1.43-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.43&CDS=1-6843	YDL220C
712	OG0000712	genemark-NC_026174.1-processed-gene-1.41-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.41&CDS=1-366	YDL219W
713	OG0000713	genemark-NC_026174.1-processed-gene-1.42-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.42&CDS=1-951	YDL218W
714	OG0000714	augustus_masked-NC_026174.1-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-1.2&CDS=1-1893	YDL216C
715	OG0000715	genemark-NC_026174.1-processed-gene-1.46-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.46&CDS=1-3276	YDL215C
716	OG0000716	snap_masked-NC_026174.1-processed-gene-1.119-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-1.119&CDS=1-2085	YDL214C
717	OG0000717	genemark-NC_026174.1-processed-gene-1.71-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.71&CDS=1-690	YDL213C
718	OG0000718	genemark-NC_026174.1-processed-gene-1.47-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.47&CDS=1-621	YDL212W
719	OG0000719	genemark-NC_026174.1-processed-gene-1.72-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.72&CDS=1-1101	YDL211C
720	OG0000720	genemark-NC_026174.1-processed-gene-1.48-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.48&CDS=1-1713	YDL210W
721	OG0000721	genemark-NC_026174.1-processed-gene-1.73-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.73&CDS=1-1023	YDL209C
722	OG0000722	genemark-NC_026174.1-processed-gene-1.49-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.49&CDS=1-468	YDL208W
723	OG0000723	augustus_masked-NC_026174.1-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-1.7&CDS=1-3870	YDL206W
724	OG0000724	genemark-NC_026174.1-processed-gene-1.74-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.74&CDS=1-981	YDL205C
725	OG0000725	genemark-NC_026174.1-processed-gene-1.52-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.52&CDS=1-1179	YDL204W
726	OG0000726	genemark-NC_026174.1-processed-gene-1.75-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.75&CDS=1-1854	YDL203C
727	OG0000727	genemark-NC_026174.1-processed-gene-1.53-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.53&CDS=1-744	YDL202W
728	OG0000728	genemark-NC_026174.1-processed-gene-1.54-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.54&CDS=1-858	YDL201W
729	OG0000729	augustus_masked-NC_026174.1-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-1.30&CDS=1-3417	YDL199C
730	OG0000730	genemark-NC_026174.1-processed-gene-1.79-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.79&CDS=1-1587	YDL197C
731	OG0000731	genemark-NC_026174.1-processed-gene-1.55-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.55&CDS=1-3840	YDL195W
732	OG0000732	genemark-NC_026174.1-processed-gene-1.57-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.57&CDS=1-1116	YDL193W
733	OG0000733	genemark-NC_026174.1-processed-gene-1.80-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.80&CDS=1-2883	YDL190C
734	OG0000734	genemark-NC_026174.1-processed-gene-1.59-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.59&CDS=1-1374	YDL189W
735	OG0000735	genemark-NC_026174.1-processed-gene-1.60-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.60&CDS=1-846	YDL186W
736	OG0000736	genemark-NC_026174.1-processed-gene-1.61-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.61&CDS=1-1851	YDL185W
737	OG0000737	genemark-NC_026174.1-processed-gene-1.82-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.82&CDS=1-957	YDL183C
738	OG0000738	snap_masked-NC_026174.1-processed-gene-1.111-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-1.111&CDS=1-255	YDL181W
739	OG0000739	snap_masked-NC_026174.1-processed-gene-1.112-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-1.112&CDS=1-1641	YDL180W
740	OG0000740	genemark-NC_026174.1-processed-gene-1.83-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.83&CDS=1-504	YDL177C
741	OG0000741	genemark-NC_026174.1-processed-gene-1.66-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.66&CDS=1-2121	YDL176W
742	OG0000742	genemark-NC_026174.1-processed-gene-1.84-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.84&CDS=1-1032	YDL175C
743	OG0000743	genemark-NC_026174.1-processed-gene-1.85-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.85&CDS=1-1785	YDL174C
744	OG0000744	genemark-NC_026174.1-processed-gene-1.67-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.67&CDS=1-924	YDL173W
745	OG0000745	genemark-NC_026174.1-processed-gene-1.86-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.86&CDS=1-6435	YDL171C
746	OG0000746	genemark-NC_026174.1-processed-gene-1.68-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.68&CDS=1-1584	YDL170W
747	OG0000747	genemark-NC_026174.1-processed-gene-1.87-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.87&CDS=1-672	YDL169C
748	OG0000748	genemark-NC_026174.1-processed-gene-1.69-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.69&CDS=1-1158	YDL168W
749	OG0000749	genemark-NC_026174.1-processed-gene-2.95-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.95&CDS=1-2184	YDL167C
750	OG0000750	genemark-NC_026174.1-processed-gene-2.96-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.96&CDS=1-591	YDL166C
751	OG0000751	genemark-NC_026174.1-processed-gene-2.93-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.93&CDS=1-573	YDL165W
752	OG0000752	genemark-NC_026174.1-processed-gene-2.97-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.97&CDS=1-2202	YDL164C
753	OG0000753	snap_masked-NC_026174.1-processed-gene-2.5-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-2.5&CDS=1-240	YDL160C-A
754	OG0000754	genemark-NC_026174.1-processed-gene-2.98-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.98&CDS=1-1521	YDL160C
755	OG0000755	genemark-NC_026174.1-processed-gene-2.99-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.99&CDS=1-1521	YDL159W
756	OG0000756	genemark-NC_026174.1-processed-gene-2.126-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.126&CDS=1-351	YDL157C
757	OG0000757	genemark-NC_026174.1-processed-gene-2.100-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.100&CDS=1-1566	YDL156W
758	OG0000758	augustus_masked-NC_026174.1-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-2.58&CDS=1-3990	YDL154W
759	OG0000759	snap_masked-NC_026174.1-processed-gene-2.35-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-2.35&CDS=1-2256	YDL153C
760	OG0000760	maker-NC_026174.1-snap-gene-2.142-mRNA-1_1&gene=maker-NC_026174.1-snap-gene-2.142&CDS=1-1248	YDL150W
761	OG0000761	genemark-NC_026174.1-processed-gene-2.104-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.104&CDS=1-2979	YDL149W
762	OG0000762	genemark-NC_026174.1-processed-gene-2.128-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.128&CDS=1-2430	YDL148C
763	OG0000763	genemark-NC_026174.1-processed-gene-2.105-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.105&CDS=1-1335	YDL147W
764	OG0000764	genemark-NC_026174.1-processed-gene-2.106-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.106&CDS=1-1467	YDL146W
765	OG0000765	genemark-NC_026174.1-processed-gene-2.129-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.129&CDS=1-3603	YDL145C
766	OG0000766	genemark-NC_026174.1-processed-gene-2.130-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.130&CDS=1-1068	YDL144C
767	OG0000767	genemark-NC_026174.1-processed-gene-2.107-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.107&CDS=1-1584	YDL143W
768	OG0000768	genemark-NC_026174.1-processed-gene-2.131-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.131&CDS=1-633	YDL142C
769	OG0000769	genemark-NC_026174.1-processed-gene-2.108-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.108&CDS=1-2070	YDL141W
770	OG0000770	genemark-NC_026174.1-processed-gene-2.132-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.132&CDS=1-5178	YDL140C
771	OG0000771	genemark-NC_026174.1-processed-gene-2.133-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.133&CDS=1-678	YDL139C
772	OG0000772	genemark-NC_026174.1-processed-gene-2.112-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.112&CDS=1-1329	YDL133W
773	OG0000773	genemark-NC_026174.1-processed-gene-2.113-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.113&CDS=1-2445	YDL132W
774	OG0000774	genemark-NC_026174.1-processed-gene-2.114-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.114&CDS=1-372	YDL130W-A
775	OG0000775	genemark-NC_026174.1-processed-gene-2.115-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.115&CDS=1-318	YDL130W
776	OG0000776	genemark-NC_026174.1-processed-gene-2.116-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.116&CDS=1-876	YDL129W
777	OG0000777	genemark-NC_026174.1-processed-gene-2.117-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.117&CDS=1-1233	YDL128W
778	OG0000778	genemark-NC_026174.1-processed-gene-2.118-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.118&CDS=1-912	YDL127W
779	OG0000779	maker-NC_026174.1-snap-gene-2.145-mRNA-1_1&gene=maker-NC_026174.1-snap-gene-2.145&CDS=1-2847	YDL126C
780	OG0000780	genemark-NC_026174.1-processed-gene-2.119-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.119&CDS=1-936	YDL124W
781	OG0000781	snap_masked-NC_026174.1-processed-gene-2.28-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-2.28&CDS=1-264	YDL123W
782	OG0000782	genemark-NC_026174.1-processed-gene-2.120-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.120&CDS=1-2121	YDL122W
783	OG0000783	genemark-NC_026174.1-processed-gene-2.138-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.138&CDS=1-447	YDL121C
784	OG0000784	augustus_masked-NC_026174.1-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-2.75&CDS=1-519	YDL120W
785	OG0000785	genemark-NC_026174.1-processed-gene-2.139-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.139&CDS=1-921	YDL119C
786	OG0000786	maker-NC_026174.1-snap-gene-2.144-mRNA-1_1&gene=maker-NC_026174.1-snap-gene-2.144&CDS=1-2634	YDL117W
787	OG0000787	genemark-NC_026174.1-processed-gene-2.124-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.124&CDS=1-2178	YDL116W
