	OrthologID	Metschnikowia_aberdeeniae	Saccharomyces_cerevisiae
645	OG0000645	augustus_masked-abe-_s10-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-abe-_s10-processed-gene-0.3&CDS=1-1629	YLR133W
646	OG0000646	augustus_masked-abe-_s10-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-abe-_s10-processed-gene-0.4&CDS=1-3720	YDR142C
647	OG0000647	augustus_masked-abe-_s12-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.37&CDS=1-1140	YHR002W
648	OG0000648	augustus_masked-abe-_s12-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.51&CDS=1-666	YGR147C
649	OG0000649	augustus_masked-abe-_s12-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.52&CDS=1-1290	YKL027W
650	OG0000650	augustus_masked-abe-_s12-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.53&CDS=1-729	YBR261C
651	OG0000651	augustus_masked-abe-_s12-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.38&CDS=1-519	YOL146W
652	OG0000652	augustus_masked-abe-_s12-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.54&CDS=1-3117	YOL145C
653	OG0000653	augustus_masked-abe-_s12-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.39&CDS=1-1305	YBR143C
654	OG0000654	augustus_masked-abe-_s12-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.56&CDS=1-2622	YBR142W
655	OG0000655	augustus_masked-abe-_s12-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.41&CDS=1-957	YBR141C
656	OG0000656	augustus_masked-abe-_s12-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.45&CDS=1-915	YDR337W
657	OG0000657	augustus_masked-abe-_s12-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.59&CDS=1-579	YJR112W
658	OG0000658	augustus_masked-abe-_s12-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.46&CDS=1-873	YBL050W
659	OG0000659	augustus_masked-abe-_s12-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.61&CDS=1-4683	YBR017C
660	OG0000660	augustus_masked-abe-_s12-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.62&CDS=1-999	YBR046C
661	OG0000661	augustus_masked-abe-_s12-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.48&CDS=1-2820	YGR125W
662	OG0000662	augustus_masked-abe-_s12-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.65&CDS=1-579	YDL046W
663	OG0000663	augustus_masked-abe-_s12-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.68&CDS=1-5478	YBR208C
664	OG0000664	augustus_masked-abe-_s12-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.69&CDS=1-2124	YHL016C
665	OG0000665	augustus_masked-abe-_s12-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.113&CDS=1-1782	YLR417W
666	OG0000666	augustus_masked-abe-_s12-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.112&CDS=1-1020	YKL189W
667	OG0000667	augustus_masked-abe-_s12-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.114&CDS=1-1188	YJR148W
668	OG0000668	augustus_masked-abe-_s12-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.115&CDS=1-5463	YNL256W
669	OG0000669	augustus_masked-abe-_s12-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.116&CDS=1-1290	YFR034C
670	OG0000670	augustus_masked-abe-_s12-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.118&CDS=1-588	YKL144C
671	OG0000671	augustus_masked-abe-_s12-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.138&CDS=1-1335	YKL145W
672	OG0000672	snap_masked-abe-_s12-processed-gene-1.91-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-1.91&CDS=1-690	YDR296W
673	OG0000673	augustus_masked-abe-_s12-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.119&CDS=1-1758	YHR078W
674	OG0000674	augustus_masked-abe-_s12-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.121&CDS=1-1962	YBR121C
675	OG0000675	augustus_masked-abe-_s12-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.140&CDS=1-2043	YCL057W
676	OG0000676	augustus_masked-abe-_s12-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.142&CDS=1-1434	YPL092W
677	OG0000677	maker-abe-_s12-augustus-gene-1.52-mRNA-1_1&gene=maker-abe-_s12-augustus-gene-1.52&CDS=1-5346	YHR186C
678	OG0000678	augustus_masked-abe-_s12-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.145&CDS=1-645	YGR235C
679	OG0000679	snap_masked-abe-_s12-processed-gene-1.69-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-1.69&CDS=1-2277	YKL155C
680	OG0000680	genemark-abe-_s12-processed-gene-1.15-mRNA-1_1&gene=genemark-abe-_s12-processed-gene-1.15&CDS=1-1356	YDR306C
681	OG0000681	augustus_masked-abe-_s12-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.147&CDS=1-477	YDR308C
682	OG0000682	augustus_masked-abe-_s12-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.126&CDS=1-753	YDR313C
683	OG0000683	augustus_masked-abe-_s12-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.148&CDS=1-1419	YHR065C
684	OG0000684	augustus_masked-abe-_s12-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.150&CDS=1-1209	YLR151C
685	OG0000685	augustus_masked-abe-_s12-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.153&CDS=1-1035	YKL151C
686	OG0000686	augustus_masked-abe-_s12-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.128&CDS=1-3474	YKL150W
687	OG0000687	augustus_masked-abe-_s12-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.129&CDS=1-1038	YPR128C
688	OG0000688	augustus_masked-abe-_s12-processed-gene-1.154-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.154&CDS=1-1221	YPR133C
689	OG0000689	augustus_masked-abe-_s12-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.131&CDS=1-816	YPR129W
690	OG0000690	augustus_masked-abe-_s12-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.134&CDS=1-636	YOR115C
691	OG0000691	augustus_masked-abe-_s12-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.14&CDS=1-1287	YMR062C
692	OG0000692	augustus_masked-abe-_s12-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.15&CDS=1-2058	YMR075W
693	OG0000693	augustus_masked-abe-_s12-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.16&CDS=1-780	YEL021W
694	OG0000694	augustus_masked-abe-_s12-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.36&CDS=1-2373	YJL053W
695	OG0000695	augustus_masked-abe-_s12-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.19&CDS=1-846	YGL050W
696	OG0000696	snap_masked-abe-_s12-processed-gene-2.119-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-2.119&CDS=1-1623	YDR143C
697	OG0000697	augustus_masked-abe-_s12-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.20&CDS=1-3045	YDR495C
698	OG0000698	snap_masked-abe-_s12-processed-gene-2.121-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-2.121&CDS=1-1038	YNR041C
699	OG0000699	genemark-abe-_s12-processed-gene-2.78-mRNA-1_1&gene=genemark-abe-_s12-processed-gene-2.78&CDS=1-2211	YDL141W
700	OG0000700	maker-abe-_s12-augustus-gene-2.4-mRNA-1_1&gene=maker-abe-_s12-augustus-gene-2.4&CDS=1-2622	YBL015W
701	OG0000701	augustus_masked-abe-_s12-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.27&CDS=1-294	YOR265W
702	OG0000702	augustus_masked-abe-_s12-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.28&CDS=1-963	YOR261C
703	OG0000703	augustus_masked-abe-_s12-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.29&CDS=1-2379	YNL085W
704	OG0000704	augustus_masked-abe-_s12-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.43&CDS=1-2037	YHR042W
705	OG0000705	augustus_masked-abe-_s12-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.30&CDS=1-2580	YER070W
706	OG0000706	augustus_masked-abe-_s12-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.32&CDS=1-2037	YIL067C
707	OG0000707	snap_masked-abe-_s12-processed-gene-2.131-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-2.131&CDS=1-1170	YJR076C
708	OG0000708	augustus_masked-abe-_s12-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.33&CDS=1-738	YJR144W
709	OG0000709	augustus_masked-abe-_s12-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.34&CDS=1-546	YGR082W
710	OG0000710	augustus_masked-abe-_s12-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.35&CDS=1-1071	YJR139C
711	OG0000711	augustus_masked-abe-_s12-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.58&CDS=1-4527	YJR138W
712	OG0000712	augustus_masked-abe-_s12-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.61&CDS=1-4137	YAL024C
713	OG0000713	augustus_masked-abe-_s12-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.62&CDS=1-2523	YPR104C
714	OG0000714	augustus_masked-abe-_s12-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.63&CDS=1-843	YPR103W
715	OG0000715	augustus_masked-abe-_s12-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.88&CDS=1-960	YGR080W
716	OG0000716	maker-abe-_s12-snap-gene-3.53-mRNA-1_1&gene=maker-abe-_s12-snap-gene-3.53&CDS=1-3504	YOR014W
717	OG0000717	maker-abe-_s12-augustus-gene-3.1-mRNA-1_1&gene=maker-abe-_s12-augustus-gene-3.1&CDS=1-1563	YML056C
718	OG0000718	augustus_masked-abe-_s12-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.69&CDS=1-453	YOR367W
719	OG0000719	augustus_masked-abe-_s12-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.70&CDS=1-837	YAL025C
720	OG0000720	augustus_masked-abe-_s12-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.72&CDS=1-645	YLR293C
721	OG0000721	augustus_masked-abe-_s12-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.92&CDS=1-405	YLR298C
722	OG0000722	augustus_masked-abe-_s12-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.93&CDS=1-780	YLR281C
723	OG0000723	augustus_masked-abe-_s12-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.76&CDS=1-2184	YLR274W
724	OG0000724	maker-abe-_s12-augustus-gene-3.2-mRNA-1_1&gene=maker-abe-_s12-augustus-gene-3.2&CDS=1-552	YGR078C
725	OG0000725	augustus_masked-abe-_s12-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.94&CDS=1-882	YOL073C
726	OG0000726	augustus_masked-abe-_s12-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.95&CDS=1-1662	YGR103W
727	OG0000727	augustus_masked-abe-_s12-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.79&CDS=1-1191	YPR140W
728	OG0000728	augustus_masked-abe-_s12-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.81&CDS=1-729	YPR143W
729	OG0000729	snap_masked-abe-_s12-processed-gene-3.129-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-3.129&CDS=1-1065	YOR057W
730	OG0000730	augustus_masked-abe-_s12-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.84&CDS=1-1236	YGR193C
731	OG0000731	augustus_masked-abe-_s12-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.5&CDS=1-669	YNL110C
732	OG0000732	augustus_masked-abe-_s12-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.6&CDS=1-621	YOR111W
733	OG0000733	augustus_masked-abe-_s12-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.8&CDS=1-1416	YNL071W
734	OG0000734	maker-abe-_s12-augustus-gene-4.93-mRNA-1_1&gene=maker-abe-_s12-augustus-gene-4.93&CDS=1-1848	YNL072W
735	OG0000735	snap_masked-abe-_s12-processed-gene-4.72-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-4.72&CDS=1-177	YNL070W
736	OG0000736	snap_masked-abe-_s12-processed-gene-4.54-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-4.54&CDS=1-657	YNL107W
737	OG0000737	augustus_masked-abe-_s12-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.12&CDS=1-5316	YER155C
738	OG0000738	augustus_masked-abe-_s12-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.28&CDS=1-1071	YER154W
739	OG0000739	augustus_masked-abe-_s12-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.29&CDS=1-3294	YLR383W
740	OG0000740	augustus_masked-abe-_s12-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.31&CDS=1-504	YBR137W
741	OG0000741	augustus_masked-abe-_s12-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.16&CDS=1-252	YPR170W-B
742	OG0000742	augustus_masked-abe-_s12-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.32&CDS=1-1008	YJR111C
743	OG0000743	maker-abe-_s12-augustus-gene-4.95-mRNA-1_1&gene=maker-abe-_s12-augustus-gene-4.95&CDS=1-3948	YJR110W
744	OG0000744	augustus_masked-abe-_s12-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.34&CDS=1-1614	YPR169W
745	OG0000745	augustus_masked-abe-_s12-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.35&CDS=1-3399	YAR042W
746	OG0000746	augustus_masked-abe-_s12-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.36&CDS=1-1056	YHR069C
747	OG0000747	augustus_masked-abe-_s12-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.18&CDS=1-3828	YHR070W
748	OG0000748	augustus_masked-abe-_s12-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.21&CDS=1-2472	YHR073W
749	OG0000749	augustus_masked-abe-_s12-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.41&CDS=1-1275	YDR473C
750	OG0000750	augustus_masked-abe-_s12-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.22&CDS=1-1752	YDR386W
751	OG0000751	augustus_masked-abe-_s12-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.23&CDS=1-918	YOR158W
752	OG0000752	augustus_masked-abe-_s12-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.24&CDS=1-1974	YML031W
753	OG0000753	augustus_masked-abe-_s12-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.42&CDS=1-1896	YDR456W
754	OG0000754	augustus_masked-abe-_s12-processed-gene-5.94-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.94&CDS=1-1338	YOR307C
755	OG0000755	augustus_masked-abe-_s12-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.98&CDS=1-909	YMR241W
756	OG0000756	augustus_masked-abe-_s12-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.99&CDS=1-657	YDR410C
757	OG0000757	augustus_masked-abe-_s12-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.100&CDS=1-525	YLR370C
758	OG0000758	augustus_masked-abe-_s12-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.103&CDS=1-714	YBR096W
759	OG0000759	augustus_masked-abe-_s12-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.104&CDS=1-264	YOR159C
760	OG0000760	maker-abe-_s12-snap-gene-5.143-mRNA-1_1&gene=maker-abe-_s12-snap-gene-5.143&CDS=1-2700	YPR066W
761	OG0000761	genemark-abe-_s12-processed-gene-5.80-mRNA-1_1&gene=genemark-abe-_s12-processed-gene-5.80&CDS=1-1209	YGR110W
762	OG0000762	augustus_masked-abe-_s12-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.108&CDS=1-1479	YBR288C
763	OG0000763	augustus_masked-abe-_s12-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.128&CDS=1-1356	YHR011W
764	OG0000764	augustus_masked-abe-_s12-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.129&CDS=1-2301	YKL134C
765	OG0000765	augustus_masked-abe-_s12-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.130&CDS=1-486	YBL107C
766	OG0000766	augustus_masked-abe-_s12-processed-gene-5.112-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.112&CDS=1-597	YKR035W-A
767	OG0000767	augustus_masked-abe-_s12-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.113&CDS=1-675	YHR008C
768	OG0000768	augustus_masked-abe-_s12-processed-gene-5.131-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.131&CDS=1-1548	YOR132W
769	OG0000769	augustus_masked-abe-_s12-processed-gene-5.132-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.132&CDS=1-1419	YDR470C
770	OG0000770	augustus_masked-abe-_s12-processed-gene-5.115-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.115&CDS=1-1842	YCR061W
771	OG0000771	augustus_masked-abe-_s12-processed-gene-5.116-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.116&CDS=1-3840	YFL028C
772	OG0000772	augustus_masked-abe-_s12-processed-gene-5.117-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.117&CDS=1-456	YKL067W
773	OG0000773	augustus_masked-abe-_s12-processed-gene-5.118-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.118&CDS=1-1797	YLR055C
774	OG0000774	augustus_masked-abe-_s12-processed-gene-5.135-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.135&CDS=1-1617	YFL027C
775	OG0000775	augustus_masked-abe-_s12-processed-gene-5.136-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.136&CDS=1-954	YHR104W
776	OG0000776	augustus_masked-abe-_s12-processed-gene-5.137-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.137&CDS=1-465	YIL062C
777	OG0000777	augustus_masked-abe-_s12-processed-gene-5.138-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.138&CDS=1-408	YML108W
778	OG0000778	augustus_masked-abe-_s12-processed-gene-5.139-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.139&CDS=1-1659	YBR196C
779	OG0000779	augustus_masked-abe-_s12-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.61&CDS=1-1137	YBR234C
780	OG0000780	augustus_masked-abe-_s12-processed-gene-6.59-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.59&CDS=1-201	YDR086C
781	OG0000781	maker-abe-_s12-augustus-gene-6.155-mRNA-1_1&gene=maker-abe-_s12-augustus-gene-6.155&CDS=1-1680	YDR087C
782	OG0000782	augustus_masked-abe-_s12-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.86&CDS=1-1161	YLR181C
783	OG0000783	augustus_masked-abe-_s12-processed-gene-6.87-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.87&CDS=1-417	YOL071W
784	OG0000784	augustus_masked-abe-_s12-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.62&CDS=1-573	YDR373W
785	OG0000785	augustus_masked-abe-_s12-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.63&CDS=1-726	YDL043C
786	OG0000786	augustus_masked-abe-_s12-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.64&CDS=1-798	YDL045C
787	OG0000787	augustus_masked-abe-_s12-processed-gene-6.89-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.89&CDS=1-732	YOL067C
788	OG0000788	augustus_masked-abe-_s12-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.69&CDS=1-1464	YPL091W
789	OG0000789	augustus_masked-abe-_s12-processed-gene-6.93-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.93&CDS=1-306	YLR147C
790	OG0000790	genemark-abe-_s12-processed-gene-6.119-mRNA-1_1&gene=genemark-abe-_s12-processed-gene-6.119&CDS=1-1764	YLR253W
791	OG0000791	augustus_masked-abe-_s12-processed-gene-6.71-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.71&CDS=1-1461	YEL064C
792	OG0000792	augustus_masked-abe-_s12-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.95&CDS=1-3612	YNL273W
793	OG0000793	genemark-abe-_s12-processed-gene-6.125-mRNA-1_1&gene=genemark-abe-_s12-processed-gene-6.125&CDS=1-3240	YDL045W-A
794	OG0000794	augustus_masked-abe-_s12-processed-gene-6.96-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.96&CDS=1-1389	YDR257C
795	OG0000795	snap_masked-abe-_s12-processed-gene-6.24-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-6.24&CDS=1-1875	YOL070C
796	OG0000796	snap_masked-abe-_s12-processed-gene-6.25-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-6.25&CDS=1-1596	YKL116C
797	OG0000797	augustus_masked-abe-_s12-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.79&CDS=1-3279	YLR071C
798	OG0000798	augustus_masked-abe-_s12-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.98&CDS=1-1761	YJR001W
799	OG0000799	augustus_masked-abe-_s12-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.100&CDS=1-1203	YPR108W
800	OG0000800	augustus_masked-abe-_s12-processed-gene-6.101-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.101&CDS=1-531	YJL124C
801	OG0000801	augustus_masked-abe-_s12-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.83&CDS=1-1107	YJL125C
802	OG0000802	maker-abe-_s12-augustus-gene-6.157-mRNA-1_1&gene=maker-abe-_s12-augustus-gene-6.157&CDS=1-1176	YDL029W
803	OG0000803	augustus_masked-abe-_s12-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.102&CDS=1-2271	YDL028C
804	OG0000804	augustus_masked-abe-_s12-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.85&CDS=1-3177	YOL098C
805	OG0000805	genemark-abe-_s12-processed-gene-7.18-mRNA-1_1&gene=genemark-abe-_s12-processed-gene-7.18&CDS=1-1404	YGL059W
806	OG0000806	genemark-abe-_s12-processed-gene-7.19-mRNA-1_1&gene=genemark-abe-_s12-processed-gene-7.19&CDS=1-1287	YBR215W
807	OG0000807	augustus_masked-abe-_s12-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-7.98&CDS=1-546	YBR217W
808	OG0000808	augustus_masked-abe-_s12-processed-gene-7.127-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-7.127&CDS=1-1896	YLL019C
809	OG0000809	snap_masked-abe-_s12-processed-gene-7.175-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-7.175&CDS=1-4350	YGL173C
810	OG0000810	augustus_masked-abe-_s12-processed-gene-7.128-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-7.128&CDS=1-285	YLL018C-A
811	OG0000811	augustus_masked-abe-_s12-processed-gene-7.101-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-7.101&CDS=1-2151	YPR021C
812	OG0000812	maker-abe-_s12-augustus-gene-7.5-mRNA-1_1&gene=maker-abe-_s12-augustus-gene-7.5&CDS=1-1485	YGL172W
813	OG0000813	augustus_masked-abe-_s12-processed-gene-7.102-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-7.102&CDS=1-1278	YGL175C
814	OG0000814	augustus_masked-abe-_s12-processed-gene-7.103-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-7.103&CDS=1-2190	YGL178W
