	OrthologID	Saccharomyces_cerevisiae	Wickerhamomyces_anomalus
699	OG0000699	YBR196C	snap_masked-scaffold_6-processed-gene-5.90-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.90&CDS=1-1668
700	OG0000700	YBR198C	snap_masked-scaffold_6-processed-gene-5.88-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.88&CDS=1-2178
701	OG0000701	YBR199W	augustus_masked-scaffold_1-processed-gene-14.125-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.125&CDS=1-1329
702	OG0000702	YBR200W	snap_masked-scaffold_5-processed-gene-9.30-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-9.30&CDS=1-1653
703	OG0000703	YBR201W	augustus_masked-scaffold_5-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.35&CDS=1-612
704	OG0000704	YBR202W	snap_masked-scaffold_6-processed-gene-7.11-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.11&CDS=1-2445
705	OG0000705	YBR203W	snap_masked-scaffold_8-processed-gene-0.87-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.87&CDS=1-1869
706	OG0000706	YBR204C	snap_masked-scaffold_6-processed-gene-2.9-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.9&CDS=1-1170
707	OG0000707	YBR207W	maker-scaffold_6-augustus-gene-2.99-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-2.99&CDS=1-2073
708	OG0000708	YBR208C	snap_masked-scaffold_1-processed-gene-25.129-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.129&CDS=1-5490
709	OG0000709	YBR211C	maker-scaffold_7-snap-gene-1.112-mRNA-1_1&gene=maker-scaffold_7-snap-gene-1.112&CDS=1-966
710	OG0000710	YBR213W	maker-scaffold_5-snap-gene-8.74-mRNA-1_1&gene=maker-scaffold_5-snap-gene-8.74&CDS=1-807
711	OG0000711	YBR215W	maker-scaffold_1-snap-gene-18.9-mRNA-1_1&gene=maker-scaffold_1-snap-gene-18.9&CDS=1-1884
712	OG0000712	YBR217W	maker-scaffold_3-augustus-gene-3.111-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-3.111&CDS=1-603
713	OG0000713	YBR218C	snap_masked-scaffold_3-processed-gene-14.125-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-14.125&CDS=1-3552
714	OG0000714	YBR220C	snap_masked-scaffold_8-processed-gene-2.154-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.154&CDS=1-1560
715	OG0000715	YBR221C	snap_masked-scaffold_8-processed-gene-2.135-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.135&CDS=1-1125
716	OG0000716	YBR222C	snap_masked-scaffold_8-processed-gene-2.155-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.155&CDS=1-1578
717	OG0000717	YBR223C	snap_masked-scaffold_3-processed-gene-11.20-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.20&CDS=1-1758
718	OG0000718	YBR225W	augustus_masked-scaffold_3-processed-gene-10.147-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.147&CDS=1-1224
719	OG0000719	YBR227C	augustus_masked-scaffold_3-processed-gene-10.146-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.146&CDS=1-5769
720	OG0000720	YBR231C	snap_masked-scaffold_3-processed-gene-5.86-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.86&CDS=1-885
721	OG0000721	YBR233W-A	snap_masked-scaffold_1-processed-gene-3.34-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.34&CDS=1-309
722	OG0000722	YBR234C	snap_masked-scaffold_1-processed-gene-3.58-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.58&CDS=1-1095
723	OG0000723	YBR235W	snap_masked-scaffold_3-processed-gene-5.59-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.59&CDS=1-3507
724	OG0000724	YBR236C	snap_masked-scaffold_3-processed-gene-5.57-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.57&CDS=1-1458
725	OG0000725	YBR237W	snap_masked-scaffold_3-processed-gene-5.58-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.58&CDS=1-2679
726	OG0000726	YBR239C	snap_masked-scaffold_5-processed-gene-11.31-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-11.31&CDS=1-1524
727	OG0000727	YBR243C	snap_masked-scaffold_5-processed-gene-11.33-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-11.33&CDS=1-1377
728	OG0000728	YBR245C	maker-scaffold_3-snap-gene-4.111-mRNA-1_1&gene=maker-scaffold_3-snap-gene-4.111&CDS=1-3147
729	OG0000729	YBR246W	snap_masked-scaffold_5-processed-gene-11.30-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-11.30&CDS=1-1077
730	OG0000730	YBR247C	snap_masked-scaffold_3-processed-gene-8.99-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.99&CDS=1-1392
731	OG0000731	YBR248C	maker-scaffold_3-snap-gene-8.0-mRNA-1_1&gene=maker-scaffold_3-snap-gene-8.0&CDS=1-2658
732	OG0000732	YBR251W	snap_masked-scaffold_1-processed-gene-6.155-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.155&CDS=1-948
733	OG0000733	YBR254C	snap_masked-scaffold_6-processed-gene-8.60-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.60&CDS=1-423
734	OG0000734	YBR255C-A	snap_masked-scaffold_1-processed-gene-19.101-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.101&CDS=1-381
735	OG0000735	YBR255W	snap_masked-scaffold_6-processed-gene-8.74-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.74&CDS=1-2019
736	OG0000736	YBR256C	snap_masked-scaffold_4-processed-gene-15.8-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-15.8&CDS=1-702
737	OG0000737	YBR257W	snap_masked-scaffold_4-processed-gene-7.49-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.49&CDS=1-795
738	OG0000738	YBR258C	snap_masked-scaffold_3-processed-gene-6.162-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.162&CDS=1-417
739	OG0000739	YBR260C	snap_masked-scaffold_3-processed-gene-6.163-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.163&CDS=1-1992
740	OG0000740	YBR261C	snap_masked-scaffold_1-processed-gene-20.101-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.101&CDS=1-699
741	OG0000741	YBR263W	maker-scaffold_3-snap-gene-8.2-mRNA-1_1&gene=maker-scaffold_3-snap-gene-8.2&CDS=1-1470
742	OG0000742	YBR267W	snap_masked-scaffold_3-processed-gene-10.111-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.111&CDS=1-1179
743	OG0000743	YBR268W	snap_masked-scaffold_3-processed-gene-10.87-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.87&CDS=1-339
744	OG0000744	YBR269C	snap_masked-scaffold_3-processed-gene-10.86-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.86&CDS=1-384
745	OG0000745	YBR271W	augustus_masked-scaffold_3-processed-gene-10.132-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.132&CDS=1-1188
746	OG0000746	YBR273C	snap_masked-scaffold_3-processed-gene-6.164-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.164&CDS=1-1623
747	OG0000747	YBR274W	maker-scaffold_3-snap-gene-6.66-mRNA-1_1&gene=maker-scaffold_3-snap-gene-6.66&CDS=1-1581
748	OG0000748	YBR275C	snap_masked-scaffold_7-processed-gene-6.107-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.107&CDS=1-4776
749	OG0000749	YBR276C	snap_masked-scaffold_1-processed-gene-30.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-30.81&CDS=1-3063
750	OG0000750	YBR279W	snap_masked-scaffold_3-processed-gene-10.112-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.112&CDS=1-1134
751	OG0000751	YBR280C	snap_masked-scaffold_5-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.14&CDS=1-1566
752	OG0000752	YBR281C	snap_masked-scaffold_5-processed-gene-0.13-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.13&CDS=1-2439
753	OG0000753	YBR282W	snap_masked-scaffold_1-processed-gene-30.82-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-30.82&CDS=1-438
754	OG0000754	YBR283C	snap_masked-scaffold_1-processed-gene-20.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.81&CDS=1-1455
755	OG0000755	YBR286W	snap_masked-scaffold_3-processed-gene-6.161-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.161&CDS=1-1515
756	OG0000756	YBR287W	snap_masked-scaffold_1-processed-gene-26.14-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.14&CDS=1-1353
757	OG0000757	YBR288C	snap_masked-scaffold_2-processed-gene-21.127-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-21.127&CDS=1-1572
758	OG0000758	YBR289W	augustus_masked-scaffold_2-processed-gene-16.49-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.49&CDS=1-2919
759	OG0000759	YBR291C	snap_masked-scaffold_2-processed-gene-16.82-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.82&CDS=1-891
760	OG0000760	YBR293W	augustus_masked-scaffold_3-processed-gene-20.189-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-20.189&CDS=1-1710
761	OG0000761	YBR295W	snap_masked-scaffold_6-processed-gene-0.83-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.83&CDS=1-3060
762	OG0000762	YBR296C	snap_masked-scaffold_1-processed-gene-13.50-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.50&CDS=1-1794
763	OG0000763	YCL001W	snap_masked-scaffold_2-processed-gene-8.92-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.92&CDS=1-297
764	OG0000764	YCL002C	augustus_masked-scaffold_2-processed-gene-8.27-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.27&CDS=1-312
765	OG0000765	YCL004W	augustus_masked-scaffold_2-processed-gene-8.48-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.48&CDS=1-1404
766	OG0000766	YCL005W-A	maker-scaffold_2-augustus-gene-8.14-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-8.14&CDS=1-216
767	OG0000767	YCL009C	augustus_masked-scaffold_5-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.74&CDS=1-891
768	OG0000768	YCL014W	snap_masked-scaffold_2-processed-gene-8.95-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.95&CDS=1-3444
769	OG0000769	YCL016C	snap_masked-scaffold_2-processed-gene-8.73-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.73&CDS=1-1068
770	OG0000770	YCL018W	maker-scaffold_2-augustus-gene-8.13-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-8.13&CDS=1-2484
771	OG0000771	YCL026C-B	snap_masked-scaffold_1-processed-gene-21.77-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.77&CDS=1-573
772	OG0000772	YCL027W	snap_masked-scaffold_2-processed-gene-20.17-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.17&CDS=1-1317
773	OG0000773	YCL028W	snap_masked-scaffold_2-processed-gene-17.52-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.52&CDS=1-1152
774	OG0000774	YCL029C	augustus_masked-scaffold_4-processed-gene-8.91-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.91&CDS=1-2538
775	OG0000775	YCL030C	snap_masked-scaffold_4-processed-gene-8.38-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.38&CDS=1-2553
776	OG0000776	YCL031C	snap_masked-scaffold_4-processed-gene-8.31-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.31&CDS=1-873
777	OG0000777	YCL032W	maker-scaffold_4-snap-gene-8.53-mRNA-1_1&gene=maker-scaffold_4-snap-gene-8.53&CDS=1-1182
778	OG0000778	YCL033C	snap_masked-scaffold_4-processed-gene-8.14-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.14&CDS=1-402
779	OG0000779	YCL034W	snap_masked-scaffold_4-processed-gene-8.37-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.37&CDS=1-1122
780	OG0000780	YCL038C	snap_masked-scaffold_4-processed-gene-8.11-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.11&CDS=1-1791
781	OG0000781	YCL039W	snap_masked-scaffold_4-processed-gene-8.29-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.29&CDS=1-1620
782	OG0000782	YCL043C	snap_masked-scaffold_4-processed-gene-8.13-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.13&CDS=1-1521
783	OG0000783	YCL044C	snap_masked-scaffold_2-processed-gene-16.84-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.84&CDS=1-915
784	OG0000784	YCL045C	snap_masked-scaffold_2-processed-gene-16.85-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.85&CDS=1-2655
785	OG0000785	YCL052C	snap_masked-scaffold_4-processed-gene-19.241-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-19.241&CDS=1-1359
786	OG0000786	YCL054W	maker-scaffold_4-snap-gene-19.12-mRNA-1_1&gene=maker-scaffold_4-snap-gene-19.12&CDS=1-2466
787	OG0000787	YCL055W	snap_masked-scaffold_4-processed-gene-19.188-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-19.188&CDS=1-1326
788	OG0000788	YCL057C-A	augustus_masked-scaffold_4-processed-gene-18.80-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-18.80&CDS=1-255
789	OG0000789	YCL057W	maker-scaffold_4-snap-gene-18.61-mRNA-1_1&gene=maker-scaffold_4-snap-gene-18.61&CDS=1-2091
790	OG0000790	YCL059C	snap_masked-scaffold_2-processed-gene-20.18-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.18&CDS=1-1071
791	OG0000791	YCL061C	snap_masked-scaffold_2-processed-gene-20.20-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.20&CDS=1-3747
792	OG0000792	YCR002C	maker-scaffold_1-snap-gene-1.50-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.50&CDS=1-1044
793	OG0000793	YCR003W	snap_masked-scaffold_1-processed-gene-1.97-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.97&CDS=1-552
794	OG0000794	YCR008W	snap_masked-scaffold_7-processed-gene-4.72-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.72&CDS=1-1776
795	OG0000795	YCR009C	snap_masked-scaffold_7-processed-gene-4.73-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.73&CDS=1-792
796	OG0000796	YCR011C	snap_masked-scaffold_4-processed-gene-0.89-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.89&CDS=1-2901
797	OG0000797	YCR012W	snap_masked-scaffold_3-processed-gene-19.62-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-19.62&CDS=1-1245
798	OG0000798	YCR014C	augustus_masked-scaffold_3-processed-gene-19.37-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-19.37&CDS=1-1647
799	OG0000799	YCR015C	snap_masked-scaffold_3-processed-gene-19.77-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-19.77&CDS=1-804
800	OG0000800	YCR016W	snap_masked-scaffold_3-processed-gene-19.58-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-19.58&CDS=1-1134
801	OG0000801	YCR017C	snap_masked-scaffold_3-processed-gene-19.79-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-19.79&CDS=1-2799
802	OG0000802	YCR019W	maker-scaffold_1-augustus-gene-30.164-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-30.164&CDS=1-2076
803	OG0000803	YCR020C	snap_masked-scaffold_2-processed-gene-3.43-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.43&CDS=1-648
804	OG0000804	YCR020C-A	snap_masked-scaffold_3-processed-gene-16.88-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-16.88&CDS=1-270
805	OG0000805	YCR023C	snap_masked-scaffold_6-processed-gene-6.36-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.36&CDS=1-1611
806	OG0000806	YCR024C	snap_masked-scaffold_5-processed-gene-14.122-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-14.122&CDS=1-1446
807	OG0000807	YCR027C	snap_masked-scaffold_8-processed-gene-2.168-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.168&CDS=1-543
808	OG0000808	YCR028C-A	maker-scaffold_1-snap-gene-27.6-mRNA-1_1&gene=maker-scaffold_1-snap-gene-27.6&CDS=1-405
809	OG0000809	YCR030C	snap_masked-scaffold_1-processed-gene-27.120-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-27.120&CDS=1-2712
810	OG0000810	YCR032W	augustus_masked-scaffold_1-processed-gene-27.67-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-27.67&CDS=1-6498
811	OG0000811	YCR033W	snap_masked-scaffold_1-processed-gene-11.3-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.3&CDS=1-3588
812	OG0000812	YCR034W	snap_masked-scaffold_1-processed-gene-11.2-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.2&CDS=1-1062
813	OG0000813	YCR035C	snap_masked-scaffold_1-processed-gene-11.0-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.0&CDS=1-1149
814	OG0000814	YCR036W	snap_masked-scaffold_1-processed-gene-10.113-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.113&CDS=1-1008
815	OG0000815	YCR042C	snap_masked-scaffold_2-processed-gene-20.37-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.37&CDS=1-3978
816	OG0000816	YCR044C	snap_masked-scaffold_6-processed-gene-0.79-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.79&CDS=1-987
817	OG0000817	YCR045C	snap_masked-scaffold_4-processed-gene-14.39-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-14.39&CDS=1-1680
818	OG0000818	YCR046C	maker-scaffold_7-snap-gene-3.0-mRNA-1_1&gene=maker-scaffold_7-snap-gene-3.0&CDS=1-534
819	OG0000819	YCR047C	snap_masked-scaffold_7-processed-gene-3.62-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.62&CDS=1-861
820	OG0000820	YCR051W	snap_masked-scaffold_7-processed-gene-3.65-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.65&CDS=1-630
821	OG0000821	YCR068W	snap_masked-scaffold_4-processed-gene-1.66-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.66&CDS=1-3279
822	OG0000822	YCR071C	augustus_masked-scaffold_3-processed-gene-18.72-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-18.72&CDS=1-387
823	OG0000823	YCR072C	snap_masked-scaffold_3-processed-gene-18.21-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-18.21&CDS=1-1527
824	OG0000824	YCR075C	augustus_masked-scaffold_4-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.37&CDS=1-816
825	OG0000825	YCR077C	snap_masked-scaffold_3-processed-gene-20.264-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-20.264&CDS=1-2091
826	OG0000826	YCR079W	snap_masked-scaffold_3-processed-gene-20.258-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-20.258&CDS=1-1200
827	OG0000827	YCR081W	snap_masked-scaffold_4-processed-gene-0.64-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.64&CDS=1-3876
828	OG0000828	YCR084C	snap_masked-scaffold_5-processed-gene-1.25-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.25&CDS=1-1884
829	OG0000829	YCR086W	maker-scaffold_5-snap-gene-1.123-mRNA-1_1&gene=maker-scaffold_5-snap-gene-1.123&CDS=1-972
830	OG0000830	YCR087C-A	maker-scaffold_5-snap-gene-1.117-mRNA-1_1&gene=maker-scaffold_5-snap-gene-1.117&CDS=1-426
831	OG0000831	YCR088W	snap_masked-scaffold_5-processed-gene-1.24-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.24&CDS=1-1665
832	OG0000832	YCR090C	maker-scaffold_5-snap-gene-12.3-mRNA-1_1&gene=maker-scaffold_5-snap-gene-12.3&CDS=1-471
833	OG0000833	YCR091W	snap_masked-scaffold_5-processed-gene-12.73-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-12.73&CDS=1-2436
834	OG0000834	YCR092C	snap_masked-scaffold_5-processed-gene-12.94-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-12.94&CDS=1-3081
835	OG0000835	YCR093W	maker-scaffold_5-snap-gene-0.79-mRNA-1_1&gene=maker-scaffold_5-snap-gene-0.79&CDS=1-7629
836	OG0000836	YCR095C	snap_masked-scaffold_5-processed-gene-0.26-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.26&CDS=1-891
837	OG0000837	YCR097W	augustus_masked-scaffold_4-processed-gene-17.23-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-17.23&CDS=1-657
838	OG0000838	YCR098C	snap_masked-scaffold_2-processed-gene-13.34-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.34&CDS=1-1530
839	OG0000839	YDL001W	snap_masked-scaffold_5-processed-gene-6.80-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.80&CDS=1-1203
840	OG0000840	YDL002C	augustus_masked-scaffold_5-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.28&CDS=1-618
841	OG0000841	YDL003W	snap_masked-scaffold_7-processed-gene-5.10-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.10&CDS=1-1587
842	OG0000842	YDL004W	augustus_masked-scaffold_7-processed-gene-5.51-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.51&CDS=1-483
843	OG0000843	YDL006W	snap_masked-scaffold_7-processed-gene-5.7-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.7&CDS=1-837
844	OG0000844	YDL007W	maker-scaffold_7-snap-gene-5.94-mRNA-1_1&gene=maker-scaffold_7-snap-gene-5.94&CDS=1-1320
845	OG0000845	YDL013W	snap_masked-scaffold_5-processed-gene-9.47-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-9.47&CDS=1-1245
846	OG0000846	YDL014W	snap_masked-scaffold_5-processed-gene-9.48-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-9.48&CDS=1-951
847	OG0000847	YDL017W	snap_masked-scaffold_5-processed-gene-10.0-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-10.0&CDS=1-1731
848	OG0000848	YDL020C	snap_masked-scaffold_5-processed-gene-6.62-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.62&CDS=1-1464
849	OG0000849	YDL022W	snap_masked-scaffold_2-processed-gene-7.35-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.35&CDS=1-1161
850	OG0000850	YDL025C	maker-scaffold_1-snap-gene-32.9-mRNA-1_1&gene=maker-scaffold_1-snap-gene-32.9&CDS=1-1755
851	OG0000851	YDL028C	snap_masked-scaffold_1-processed-gene-31.134-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-31.134&CDS=1-2190
852	OG0000852	YDL029W	maker-scaffold_1-snap-gene-31.13-mRNA-1_1&gene=maker-scaffold_1-snap-gene-31.13&CDS=1-1164
853	OG0000853	YDL030W	snap_masked-scaffold_7-processed-gene-1.44-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.44&CDS=1-1440
854	OG0000854	YDL031W	snap_masked-scaffold_1-processed-gene-19.79-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.79&CDS=1-2829
855	OG0000855	YDL035C	augustus_masked-scaffold_5-processed-gene-9.65-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.65&CDS=1-1287
856	OG0000856	YDL040C	snap_masked-scaffold_5-processed-gene-5.13-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.13&CDS=1-2358
857	OG0000857	YDL043C	maker-scaffold_5-snap-gene-5.99-mRNA-1_1&gene=maker-scaffold_5-snap-gene-5.99&CDS=1-729
858	OG0000858	YDL045W-A	snap_masked-scaffold_5-processed-gene-6.66-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.66&CDS=1-270
859	OG0000859	YDL046W	snap_masked-scaffold_5-processed-gene-10.5-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-10.5&CDS=1-540
860	OG0000860	YDL047W	augustus_masked-scaffold_5-processed-gene-13.17-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-13.17&CDS=1-927
861	OG0000861	YDL051W	augustus_masked-scaffold_1-processed-gene-21.132-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.132&CDS=1-1479
862	OG0000862	YDL052C	snap_masked-scaffold_1-processed-gene-21.84-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.84&CDS=1-879
863	OG0000863	YDL055C	snap_masked-scaffold_3-processed-gene-12.3-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.3&CDS=1-1086
864	OG0000864	YDL056W	snap_masked-scaffold_3-processed-gene-12.6-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.6&CDS=1-2241
865	OG0000865	YDL057W	snap_masked-scaffold_3-processed-gene-11.27-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.27&CDS=1-1947
866	OG0000866	YDL058W	snap_masked-scaffold_3-processed-gene-18.29-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-18.29&CDS=1-5250
867	OG0000867	YDL059C	snap_masked-scaffold_3-processed-gene-18.40-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-18.40&CDS=1-549
868	OG0000868	YDL060W	snap_masked-scaffold_1-processed-gene-25.118-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.118&CDS=1-2286
869	OG0000869	YDL063C	snap_masked-scaffold_1-processed-gene-25.114-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.114&CDS=1-1809
870	OG0000870	YDL064W	snap_masked-scaffold_1-processed-gene-25.116-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.116&CDS=1-471
871	OG0000871	YDL067C	genemark-scaffold_3-processed-gene-18.124-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-18.124&CDS=1-228
872	OG0000872	YDL072C	snap_masked-scaffold_1-processed-gene-24.125-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.125&CDS=1-624
