	OrthologID	Eremothecium_coryli	Saccharomyces_cerevisiae
292	OG0000292	snap_masked-AZAH01000009.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-0.14&CDS=1-468	YBR048W, YDR025W
293	OG0000293	snap_masked-AZAH01000009.1-processed-gene-1.5-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-1.5&CDS=1-1410	YER081W, YIL074C
294	OG0000294	snap_masked-AZAH01000009.1-processed-gene-1.32-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-1.32&CDS=1-879	YDL127W, YDL179W
295	OG0000295	augustus_masked-AZAH01000009.1-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-AZAH01000009.1-processed-gene-1.89&CDS=1-384	YDL136W, YDL191W
296	OG0000296	augustus_masked-AZAH01000009.1-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-AZAH01000009.1-processed-gene-1.90&CDS=1-1056	YDL137W, YDL192W
297	OG0000297	snap_masked-AZAH01000009.1-processed-gene-1.47-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-1.47&CDS=1-2025	YDL138W, YDL194W
298	OG0000298	maker-AZAH01000009.1-snap-gene-2.51-mRNA-1_1&gene=maker-AZAH01000009.1-snap-gene-2.51&CDS=1-411	YBL087C, YER117W
299	OG0000299	snap_masked-AZAH01000009.1-processed-gene-3.182-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-3.182&CDS=1-285	YJR094W-A, YPR043W
300	OG0000300	snap_masked-AZAH01000009.1-processed-gene-3.243-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-3.243&CDS=1-1746	YJL172W, YOL153C
301	OG0000301	augustus_masked-AZAH01000009.1-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-AZAH01000009.1-processed-gene-3.55&CDS=1-594	YBL043W, YJR115W
302	OG0000302	snap_masked-AZAH01000009.1-processed-gene-3.223-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-3.223&CDS=1-573	YLR456W, YPR172W
303	OG0000303	snap_masked-AZAH01000010.1-processed-gene-0.64-mRNA-1_1&gene=snap_masked-AZAH01000010.1-processed-gene-0.64&CDS=1-1173	YGR279C, YMR305C
304	OG0000304	augustus_masked-AZAH01000010.1-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-AZAH01000010.1-processed-gene-1.15&CDS=1-546	YMR242C, YOR312C
305	OG0000305	maker-AZAH01000010.1-augustus-gene-1.48-mRNA-1_1&gene=maker-AZAH01000010.1-augustus-gene-1.48&CDS=1-2460	YMR237W, YOR299W
306	OG0000306	augustus_masked-AZAH01000010.1-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-AZAH01000010.1-processed-gene-2.91&CDS=1-2082	YBL009W, YGL021W
307	OG0000307	snap_masked-AZAH01000010.1-processed-gene-2.130-mRNA-1_1&gene=snap_masked-AZAH01000010.1-processed-gene-2.130&CDS=1-465	YGL031C, YGR148C
308	OG0000308	snap_masked-AZAH01000010.1-processed-gene-3.22-mRNA-1_1&gene=snap_masked-AZAH01000010.1-processed-gene-3.22&CDS=1-612	YLR029C, YMR121C
309	OG0000309	snap_masked-AZAH01000010.1-processed-gene-3.36-mRNA-1_1&gene=snap_masked-AZAH01000010.1-processed-gene-3.36&CDS=1-1164	YGR023W, YLR332W
310	OG0000310	maker-AZAH01000011.1-augustus-gene-0.95-mRNA-1_1&gene=maker-AZAH01000011.1-augustus-gene-0.95&CDS=1-6177	YLR249W, YNL014W
311	OG0000311	snap_masked-AZAH01000011.1-processed-gene-1.199-mRNA-1_1&gene=snap_masked-AZAH01000011.1-processed-gene-1.199&CDS=1-510	YGR131W, YPR149W
312	OG0000312	snap_masked-AZAH01000011.1-processed-gene-1.203-mRNA-1_1&gene=snap_masked-AZAH01000011.1-processed-gene-1.203&CDS=1-702	YGR136W, YPR154W
313	OG0000313	snap_masked-AZAH01000011.1-processed-gene-1.241-mRNA-1_1&gene=snap_masked-AZAH01000011.1-processed-gene-1.241&CDS=1-1809	YGR138C, YPR156C
314	OG0000314	augustus_masked-AZAH01000012.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-AZAH01000012.1-processed-gene-0.70&CDS=1-2316	YKL105C, YMR086W
315	OG0000315	augustus_masked-AZAH01000012.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-AZAH01000012.1-processed-gene-0.58&CDS=1-2430	YKL121W, YMR102C
316	OG0000316	maker-AZAH01000012.1-snap-gene-1.79-mRNA-1_1&gene=maker-AZAH01000012.1-snap-gene-1.79&CDS=1-414	YHL001W, YKL006W
317	OG0000317	snap_masked-AZAH01000012.1-processed-gene-1.50-mRNA-1_1&gene=snap_masked-AZAH01000012.1-processed-gene-1.50&CDS=1-324	YGR027C, YLR333C
318	OG0000318	snap_masked-AZAH01000013.1-processed-gene-0.207-mRNA-1_1&gene=snap_masked-AZAH01000013.1-processed-gene-0.207&CDS=1-1386	YBR241C, YGL104C
319	OG0000319	augustus_masked-AZAH01000013.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-AZAH01000013.1-processed-gene-0.34&CDS=1-2025	YBR216C, YGL060W
320	OG0000320	genemark-AZAH01000013.1-processed-gene-0.142-mRNA-1_1&gene=genemark-AZAH01000013.1-processed-gene-0.142&CDS=1-189	YLR287C-A, YOR182C
321	OG0000321	augustus_masked-AZAH01000013.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-AZAH01000013.1-processed-gene-0.50&CDS=1-813	YLR284C, YOR180C
322	OG0000322	snap_masked-AZAH01000014.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AZAH01000014.1-processed-gene-0.15&CDS=1-201	YLR264W, YOR167C
323	OG0000323	maker-AZAH01000015.1-snap-gene-0.124-mRNA-1_1&gene=maker-AZAH01000015.1-snap-gene-0.124&CDS=1-549	YGL089C, YPL187W
324	OG0000324	snap_masked-AZAH01000015.1-processed-gene-0.118-mRNA-1_1&gene=snap_masked-AZAH01000015.1-processed-gene-0.118&CDS=1-756	YGL076C, YPL198W
325	OG0000325	snap_masked-AZAH01000018.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AZAH01000018.1-processed-gene-0.17&CDS=1-951	YGL162W, YPR009W
326	OG0000326	snap_masked-AZAH01000018.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AZAH01000018.1-processed-gene-0.18&CDS=1-1887	YGL166W, YPR008W
327	OG0000327	snap_masked-AZAH01000018.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-AZAH01000018.1-processed-gene-0.23&CDS=1-1353	YHR001W, YKR003W
328	OG0000328	augustus_masked-AZAH01000018.1-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-AZAH01000018.1-processed-gene-0.97&CDS=1-660	YGR049W, YLR356W
329	OG0000329	snap_masked-AZAH01000018.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-AZAH01000018.1-processed-gene-0.34&CDS=1-381	YGR034W, YLR344W
330	OG0000330		YML116W, YMR279C, YOR378W
331	OG0000331	snap_masked-AZAH01000001.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.19&CDS=1-309	YCR097W
332	OG0000332	snap_masked-AZAH01000001.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.2&CDS=1-657	YER183C
333	OG0000333	snap_masked-AZAH01000001.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.21&CDS=1-732	YER182W
334	OG0000334	snap_masked-AZAH01000001.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.3&CDS=1-1467	YHR207C
335	OG0000335	snap_masked-AZAH01000001.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.22&CDS=1-1416	YHR206W
336	OG0000336	genemark-AZAH01000001.1-processed-gene-0.73-mRNA-1_1&gene=genemark-AZAH01000001.1-processed-gene-0.73&CDS=1-2145	YHR205W
337	OG0000337	snap_masked-AZAH01000001.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.24&CDS=1-2367	YHR204W
338	OG0000338	snap_masked-AZAH01000001.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.25&CDS=1-1767	YHR202W
339	OG0000339	snap_masked-AZAH01000001.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.26&CDS=1-963	YOR142W
340	OG0000340	snap_masked-AZAH01000001.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.5&CDS=1-2334	YOR141C
341	OG0000341	snap_masked-AZAH01000001.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.28&CDS=1-1110	YOR136W
342	OG0000342	snap_masked-AZAH01000001.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.6&CDS=1-1884	YDR390C
343	OG0000343	snap_masked-AZAH01000001.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.29&CDS=1-2391	YDR389W
344	OG0000344	snap_masked-AZAH01000001.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.30&CDS=1-1236	YDR388W
345	OG0000345	genemark-AZAH01000001.1-processed-gene-0.58-mRNA-1_1&gene=genemark-AZAH01000001.1-processed-gene-0.58&CDS=1-1599	YDR387C
346	OG0000346	snap_masked-AZAH01000001.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.31&CDS=1-1857	YDR386W
347	OG0000347	snap_masked-AZAH01000001.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.33&CDS=1-1551	YOR132W
348	OG0000348	snap_masked-AZAH01000001.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.34&CDS=1-324	YDR382W
349	OG0000349	augustus_masked-AZAH01000001.1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-0.105&CDS=1-843	YOR130C
350	OG0000350	snap_masked-AZAH01000001.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.9&CDS=1-291	YDR381C-A
351	OG0000351	maker-AZAH01000001.1-snap-gene-0.49-mRNA-1_1&gene=maker-AZAH01000001.1-snap-gene-0.49&CDS=1-681	YDR381W
352	OG0000352	augustus_masked-AZAH01000001.1-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-0.107&CDS=1-2877	YOR129C
353	OG0000353	snap_masked-AZAH01000001.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.11&CDS=1-1713	YOR128C
354	OG0000354	snap_masked-AZAH01000001.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.12&CDS=1-237	YDR379C-A
355	OG0000355	snap_masked-AZAH01000001.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.38&CDS=1-3207	YOR127W
356	OG0000356	snap_masked-AZAH01000001.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.13&CDS=1-255	YDR378C
357	OG0000357	maker-AZAH01000001.1-snap-gene-0.50-mRNA-1_1&gene=maker-AZAH01000001.1-snap-gene-0.50&CDS=1-303	YDR377W
358	OG0000358	snap_masked-AZAH01000001.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.40&CDS=1-1473	YDR376W
359	OG0000359	maker-AZAH01000001.1-snap-gene-0.47-mRNA-1_1&gene=maker-AZAH01000001.1-snap-gene-0.47&CDS=1-2046	YDR375C
360	OG0000360	snap_masked-AZAH01000001.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.15&CDS=1-885	YLR208W
361	OG0000361	snap_masked-AZAH01000001.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.42&CDS=1-933	YLR209C
362	OG0000362	snap_masked-AZAH01000001.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.43&CDS=1-1578	YDL160C
363	OG0000363	snap_masked-AZAH01000001.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.44&CDS=1-354	YDL157C
364	OG0000364	snap_masked-AZAH01000001.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.17&CDS=1-1563	YDL156W
365	OG0000365	snap_masked-AZAH01000001.1-processed-gene-1.0-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.0&CDS=1-2184	YPR031W
366	OG0000366	snap_masked-AZAH01000001.1-processed-gene-1.1-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.1&CDS=1-2976	YBL104C
367	OG0000367	snap_masked-AZAH01000001.1-processed-gene-1.2-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.2&CDS=1-2367	YBL105C
368	OG0000368	augustus_masked-AZAH01000001.1-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-1.109&CDS=1-591	YBL107C
369	OG0000369	snap_masked-AZAH01000001.1-processed-gene-1.5-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.5&CDS=1-1467	YJR078W
370	OG0000370	snap_masked-AZAH01000001.1-processed-gene-1.28-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.28&CDS=1-1554	YPR033C
371	OG0000371	augustus_masked-AZAH01000001.1-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-1.132&CDS=1-1188	YJR080C
372	OG0000372	snap_masked-AZAH01000001.1-processed-gene-1.30-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.30&CDS=1-294	YJR082C
373	OG0000373	genemark-AZAH01000001.1-processed-gene-1.61-mRNA-1_1&gene=genemark-AZAH01000001.1-processed-gene-1.61&CDS=1-1206	YPR034W
374	OG0000374	snap_masked-AZAH01000001.1-processed-gene-1.8-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.8&CDS=1-1110	YPR035W
375	OG0000375	snap_masked-AZAH01000001.1-processed-gene-1.9-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.9&CDS=1-1416	YPR036W
376	OG0000376	augustus_masked-AZAH01000001.1-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-1.134&CDS=1-780	YJR083C
377	OG0000377	snap_masked-AZAH01000001.1-processed-gene-1.10-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.10&CDS=1-1338	YJR084W
378	OG0000378	snap_masked-AZAH01000001.1-processed-gene-1.32-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.32&CDS=1-306	YJR085C
379	OG0000379	snap_masked-AZAH01000001.1-processed-gene-1.11-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.11&CDS=1-285	YJR086W
380	OG0000380	snap_masked-AZAH01000001.1-processed-gene-1.33-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.33&CDS=1-564	YPR037C
381	OG0000381	snap_masked-AZAH01000001.1-processed-gene-1.12-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.12&CDS=1-1122	YPR040W
382	OG0000382	snap_masked-AZAH01000001.1-processed-gene-1.34-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.34&CDS=1-870	YJR088C
383	OG0000383	snap_masked-AZAH01000001.1-processed-gene-1.13-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.13&CDS=1-1221	YPR041W
384	OG0000384	augustus_masked-AZAH01000001.1-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-1.118&CDS=1-2487	YJR089W
385	OG0000385	snap_masked-AZAH01000001.1-processed-gene-1.35-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.35&CDS=1-3441	YJR090C
386	OG0000386	snap_masked-AZAH01000001.1-processed-gene-1.15-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.15&CDS=1-4317	YBL079W
387	OG0000387	snap_masked-AZAH01000001.1-processed-gene-1.36-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.36&CDS=1-354	YBL078C
388	OG0000388	snap_masked-AZAH01000001.1-processed-gene-1.38-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.38&CDS=1-3303	YBL076C
389	OG0000389	augustus_masked-AZAH01000001.1-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-1.142&CDS=1-1110	YBL074C
390	OG0000390	snap_masked-AZAH01000001.1-processed-gene-1.16-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.16&CDS=1-243	YBL071W-A
391	OG0000391	augustus_masked-AZAH01000001.1-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-1.144&CDS=1-735	YER100W
392	OG0000392	augustus_masked-AZAH01000001.1-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-1.146&CDS=1-3183	YBL066C
393	OG0000393	snap_masked-AZAH01000001.1-processed-gene-1.45-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.45&CDS=1-735	YBL064C
394	OG0000394	snap_masked-AZAH01000001.1-processed-gene-1.46-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.46&CDS=1-2304	YBL061C
395	OG0000395	snap_masked-AZAH01000001.1-processed-gene-1.47-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.47&CDS=1-1176	YER095W
396	OG0000396	snap_masked-AZAH01000001.1-processed-gene-1.20-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.20&CDS=1-1962	YBL060W
397	OG0000397	maker-AZAH01000001.1-snap-gene-1.54-mRNA-1_1&gene=maker-AZAH01000001.1-snap-gene-1.54&CDS=1-621	YER094C
398	OG0000398	snap_masked-AZAH01000001.1-processed-gene-1.48-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.48&CDS=1-315	YBL059C-A
399	OG0000399	maker-AZAH01000001.1-augustus-gene-1.105-mRNA-1_1&gene=maker-AZAH01000001.1-augustus-gene-1.105&CDS=1-465	YER093C-A
400	OG0000400	snap_masked-AZAH01000001.1-processed-gene-1.23-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.23&CDS=1-4053	YER093C
401	OG0000401	snap_masked-AZAH01000001.1-processed-gene-1.49-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.49&CDS=1-336	YER092W
402	OG0000402	snap_masked-AZAH01000001.1-processed-gene-1.24-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.24&CDS=1-2301	YER091C
403	OG0000403	snap_masked-AZAH01000001.1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.25&CDS=1-1179	YBL058W
404	OG0000404	snap_masked-AZAH01000001.1-processed-gene-1.50-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.50&CDS=1-639	YBL057C
405	OG0000405	snap_masked-AZAH01000001.1-processed-gene-1.51-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.51&CDS=1-1515	YER090W
406	OG0000406	snap_masked-AZAH01000001.1-processed-gene-1.26-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.26&CDS=1-1386	YBL056W
407	OG0000407	augustus_masked-AZAH01000001.1-processed-gene-1.154-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-1.154&CDS=1-1200	YBL055C
408	OG0000408	snap_masked-AZAH01000001.1-processed-gene-1.27-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.27&CDS=1-1644	YBL054W
409	OG0000409	snap_masked-AZAH01000001.1-processed-gene-2.119-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.119&CDS=1-1761	YBL051C
410	OG0000410	snap_masked-AZAH01000001.1-processed-gene-2.120-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.120&CDS=1-1674	YER087W
411	OG0000411	snap_masked-AZAH01000001.1-processed-gene-2.116-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.116&CDS=1-1683	YER086W
412	OG0000412	augustus_masked-AZAH01000001.1-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.58&CDS=1-1392	YLR190W
413	OG0000413	snap_masked-AZAH01000001.1-processed-gene-2.121-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.121&CDS=1-1176	YLR191W
414	OG0000414	snap_masked-AZAH01000001.1-processed-gene-2.145-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.145&CDS=1-810	YLR192C
415	OG0000415	snap_masked-AZAH01000001.1-processed-gene-2.146-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.146&CDS=1-6429	YDL171C
416	OG0000416	augustus_masked-AZAH01000001.1-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.89&CDS=1-531	YLR193C
417	OG0000417	snap_masked-AZAH01000001.1-processed-gene-2.149-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.149&CDS=1-1356	YLR195C
418	OG0000418	snap_masked-AZAH01000001.1-processed-gene-2.123-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.123&CDS=1-1695	YLR196W
419	OG0000419	augustus_masked-AZAH01000001.1-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.92&CDS=1-522	YDL169C
420	OG0000420	augustus_masked-AZAH01000001.1-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.65&CDS=1-1599	YLR197W
421	OG0000421	snap_masked-AZAH01000001.1-processed-gene-2.151-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.151&CDS=1-780	YLR199C
422	OG0000422	snap_masked-AZAH01000001.1-processed-gene-2.125-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.125&CDS=1-318	YLR200W
423	OG0000423	snap_masked-AZAH01000001.1-processed-gene-2.152-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.152&CDS=1-735	YLR201C
424	OG0000424	snap_masked-AZAH01000001.1-processed-gene-2.126-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.126&CDS=1-1143	YDL168W
425	OG0000425	maker-AZAH01000001.1-augustus-gene-2.112-mRNA-1_1&gene=maker-AZAH01000001.1-augustus-gene-2.112&CDS=1-2421	YDL166C
426	OG0000426	snap_masked-AZAH01000001.1-processed-gene-2.127-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.127&CDS=1-573	YDL165W
427	OG0000427	snap_masked-AZAH01000001.1-processed-gene-2.155-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.155&CDS=1-1254	YLR203C
428	OG0000428	snap_masked-AZAH01000001.1-processed-gene-2.156-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.156&CDS=1-939	YLR205C
429	OG0000429	snap_masked-AZAH01000001.1-processed-gene-2.157-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.157&CDS=1-2058	YDL164C
430	OG0000430	snap_masked-AZAH01000001.1-processed-gene-2.158-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.158&CDS=1-276	YDL160C-A
431	OG0000431	augustus_masked-AZAH01000001.1-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.71&CDS=1-1974	YLR207W
432	OG0000432	augustus_masked-AZAH01000001.1-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.72&CDS=1-738	YDR374C
433	OG0000433	snap_masked-AZAH01000001.1-processed-gene-2.132-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.132&CDS=1-693	YOR125C
434	OG0000434	snap_masked-AZAH01000001.1-processed-gene-2.160-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.160&CDS=1-570	YDR373W
435	OG0000435	snap_masked-AZAH01000001.1-processed-gene-2.133-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.133&CDS=1-3675	YOR124C
436	OG0000436	snap_masked-AZAH01000001.1-processed-gene-2.134-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.134&CDS=1-1005	YDR372C
437	OG0000437	snap_masked-AZAH01000001.1-processed-gene-2.161-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.161&CDS=1-1413	YDR371W
438	OG0000438	snap_masked-AZAH01000001.1-processed-gene-2.135-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.135&CDS=1-1347	YOR123C
439	OG0000439	snap_masked-AZAH01000001.1-processed-gene-2.136-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.136&CDS=1-423	YOR122C
440	OG0000440	augustus_masked-AZAH01000001.1-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.79&CDS=1-1527	YBR030W
441	OG0000441	snap_masked-AZAH01000001.1-processed-gene-2.138-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.138&CDS=1-1482	YKL217W
442	OG0000442	snap_masked-AZAH01000001.1-processed-gene-2.165-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.165&CDS=1-1044	YBR034C
443	OG0000443	snap_masked-AZAH01000001.1-processed-gene-2.166-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.166&CDS=1-612	YDR013W
444	OG0000444	augustus_masked-AZAH01000001.1-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.82&CDS=1-1728	YDR014W
445	OG0000445	snap_masked-AZAH01000001.1-processed-gene-2.167-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.167&CDS=1-678	YBR035C
446	OG0000446	snap_masked-AZAH01000001.1-processed-gene-2.169-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.169&CDS=1-327	YDR016C
447	OG0000447	maker-AZAH01000001.1-snap-gene-2.174-mRNA-1_1&gene=maker-AZAH01000001.1-snap-gene-2.174&CDS=1-2313	YDR017C
448	OG0000448	snap_masked-AZAH01000001.1-processed-gene-2.141-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.141&CDS=1-870	YBR039W
449	OG0000449	snap_masked-AZAH01000001.1-processed-gene-2.142-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.142&CDS=1-837	YBR040W
450	OG0000450	snap_masked-AZAH01000001.1-processed-gene-2.143-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.143&CDS=1-1914	YBR041W
