	OrthologID	Alloascoidea_hylecoeti	Saccharomyces_cerevisiae
266	OG0000266	-augustus-gene-1.127-mRNA-1_1&gene=maker-gi|1002318378|dbj|BCKZ01000005.1|-augustus-gene-1.127&CDS=1-2313, -snap-gene-9.139-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-snap-gene-9.139&CDS=1-2397	YJL082W, YKR018C
267	OG0000267	-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-0.64&CDS=1-1815, -processed-gene-12.114-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-12.114&CDS=1-2136	YDR463W, YHR006W
268	OG0000268	-processed-gene-10.135-mRNA-1_1&gene=genemark-gi|1002318377|dbj|BCKZ01000006.1|-processed-gene-10.135&CDS=1-1638, -processed-gene-3.62-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-3.62&CDS=1-1221, -processed-gene-3.78-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-3.78&CDS=1-1221	YKL059C
269	OG0000269	-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-4.42&CDS=1-1134, -processed-gene-4.58-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-4.58&CDS=1-432, -snap-gene-10.64-mRNA-1_1&gene=maker-gi|1002318378|dbj|BCKZ01000005.1|-snap-gene-10.64&CDS=1-774	YLR403W
270	OG0000270	-augustus-gene-4.106-mRNA-1_1&gene=maker-gi|1002318376|dbj|BCKZ01000007.1|-augustus-gene-4.106&CDS=1-1371, -processed-gene-4.49-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-4.49&CDS=1-1149	YBL056W, YER089C
271	OG0000271	-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-3.68&CDS=1-366, -processed-gene-8.63-mRNA-1_1&gene=genemark-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-8.63&CDS=1-396	YDL136W, YDL191W
272	OG0000272	-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-7.24&CDS=1-1569, -processed-gene-8.83-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-8.83&CDS=1-1878	YDL138W, YDL194W
273	OG0000273	-processed-gene-10.42-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-10.42&CDS=1-555, -processed-gene-2.60-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-2.60&CDS=1-555	YJL177W, YKL180W
274	OG0000274	-augustus-gene-10.61-mRNA-1_1&gene=maker-gi|1002318379|dbj|BCKZ01000004.1|-augustus-gene-10.61&CDS=1-282, -snap-gene-1.62-mRNA-1_1&gene=maker-gi|1002318377|dbj|BCKZ01000006.1|-snap-gene-1.62&CDS=1-312	YJR094W-A, YPR043W
275	OG0000275	-processed-gene-1.41-mRNA-1_1&gene=genemark-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-1.41&CDS=1-2145, -processed-gene-3.66-mRNA-1_1&gene=augustus_masked-gi|1002318377|dbj|BCKZ01000006.1|-processed-gene-3.66&CDS=1-2055	YDR264C, YOR034C
276	OG0000276	-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-gi|1002318377|dbj|BCKZ01000006.1|-processed-gene-5.87&CDS=1-4593	YHR216W, YLR432W, YML056C
277	OG0000277	-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-1.66&CDS=1-636, -processed-gene-4.75-mRNA-1_1&gene=augustus_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-4.75&CDS=1-636	YDL082W, YMR142C
278	OG0000278	-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-2.52&CDS=1-1311, -processed-gene-2.53-mRNA-1_1&gene=augustus_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-2.53&CDS=1-1524, -snap-gene-2.7-mRNA-1_1&gene=maker-gi|1002318378|dbj|BCKZ01000005.1|-snap-gene-2.7&CDS=1-1206	YGR111W
279	OG0000279	-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-4.35&CDS=1-1257, -processed-gene-5.50-mRNA-1_1&gene=augustus_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-5.50&CDS=1-1509	YMR253C, YPL264C
280	OG0000280	-processed-gene-10.38-mRNA-1_1&gene=augustus_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-10.38&CDS=1-699	YFL060C, YMR095C, YNL334C
281	OG0000281	-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-2.37&CDS=1-2526, -processed-gene-3.17-mRNA-1_1&gene=genemark-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-3.17&CDS=1-2526	YDR385W, YOR133W
282	OG0000282	-augustus-gene-11.45-mRNA-1_1&gene=maker-gi|1002318380|dbj|BCKZ01000003.1|-augustus-gene-11.45&CDS=1-978, -augustus-gene-13.106-mRNA-1_1&gene=maker-gi|1002318382|dbj|BCKZ01000001.1|-augustus-gene-13.106&CDS=1-819	YBR002C, YMR101C
283	OG0000283	-processed-gene-11.75-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-11.75&CDS=1-909, -processed-gene-12.29-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-12.29&CDS=1-870	YJL079C, YKR013W
284	OG0000284	-augustus-gene-12.86-mRNA-1_1&gene=maker-gi|1002318380|dbj|BCKZ01000003.1|-augustus-gene-12.86&CDS=1-2076, -augustus-gene-20.65-mRNA-1_1&gene=maker-gi|1002318382|dbj|BCKZ01000001.1|-augustus-gene-20.65&CDS=1-2265	YMR237W, YOR299W
285	OG0000285	-augustus-gene-12.127-mRNA-1_1&gene=maker-gi|1002318381|dbj|BCKZ01000002.1|-augustus-gene-12.127&CDS=1-1194, -processed-gene-3.20-mRNA-1_1&gene=augustus_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-3.20&CDS=1-1188	YJL138C, YKR059W
286	OG0000286	-processed-gene-12.117-mRNA-1_1&gene=augustus_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-12.117&CDS=1-3252	YDR038C, YDR039C, YDR040C
287	OG0000287	-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-0.118&CDS=1-1704, -processed-gene-13.87-mRNA-1_1&gene=snap_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-13.87&CDS=1-1668	YDR497C, YOL103W
288	OG0000288	-processed-gene-17.8-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-17.8&CDS=1-783, -processed-gene-3.66-mRNA-1_1&gene=snap_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-3.66&CDS=1-780	YHR203C, YJR145C
289	OG0000289	-processed-gene-21.36-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-21.36&CDS=1-576, -processed-gene-9.47-mRNA-1_1&gene=genemark-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-9.47&CDS=1-423	YBR014C, YDL010W
290	OG0000290	-augustus-gene-13.110-mRNA-1_1&gene=maker-gi|1002318382|dbj|BCKZ01000001.1|-augustus-gene-13.110&CDS=1-894	YFL059W, YMR096W, YNL333W
291	OG0000291		YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
292	OG0000292		YKL222C, YLR266C, YOR162C, YOR172W
293	OG0000293	-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-gi|1002318273|dbj|BCKZ01000110.1|-processed-gene-0.0&CDS=1-1383, -processed-gene-0.0-mRNA-1_1&gene=snap_masked-gi|1002318274|dbj|BCKZ01000109.1|-processed-gene-0.0&CDS=1-1377, -processed-gene-0.36-mRNA-1_1&gene=snap_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-0.36&CDS=1-825	
294	OG0000294	-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-gi|1002318284|dbj|BCKZ01000099.1|-processed-gene-0.1&CDS=1-1596, -processed-gene-4.78-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-4.78&CDS=1-2211	YDL132W
295	OG0000295	-augustus-gene-0.5-mRNA-1_1&gene=maker-gi|1002318298|dbj|BCKZ01000085.1|-augustus-gene-0.5&CDS=1-1092, -augustus-gene-7.105-mRNA-1_1&gene=maker-gi|1002318374|dbj|BCKZ01000009.1|-augustus-gene-7.105&CDS=1-201	YCR045C
296	OG0000296	-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-gi|1002318326|dbj|BCKZ01000057.1|-processed-gene-0.1&CDS=1-2439, -snap-gene-0.3-mRNA-1_1&gene=maker-gi|1002318324|dbj|BCKZ01000059.1|-snap-gene-0.3&CDS=1-3645	YOR346W
297	OG0000297	-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-gi|1002318326|dbj|BCKZ01000057.1|-processed-gene-0.0&CDS=1-504, -processed-gene-2.6-mRNA-1_1&gene=snap_masked-gi|1002318364|dbj|BCKZ01000019.1|-processed-gene-2.6&CDS=1-1416	YDR088C
298	OG0000298	-augustus-gene-0.4-mRNA-1_1&gene=maker-gi|1002318328|dbj|BCKZ01000055.1|-augustus-gene-0.4&CDS=1-6018, -augustus-gene-3.68-mRNA-1_1&gene=maker-gi|1002318366|dbj|BCKZ01000017.1|-augustus-gene-3.68&CDS=1-6438	YHR023W
299	OG0000299	-processed-gene-0.10-mRNA-1_1&gene=snap_masked-gi|1002318333|dbj|BCKZ01000050.1|-processed-gene-0.10&CDS=1-186, -processed-gene-0.12-mRNA-1_1&gene=augustus_masked-gi|1002318343|dbj|BCKZ01000040.1|-processed-gene-0.12&CDS=1-2040	YGL227W
300	OG0000300	-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-gi|1002318333|dbj|BCKZ01000050.1|-processed-gene-0.18&CDS=1-1026, -processed-gene-3.168-mRNA-1_1&gene=augustus_masked-gi|1002318362|dbj|BCKZ01000021.1|-processed-gene-3.168&CDS=1-1092	YOR311C
301	OG0000301	-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-gi|1002318333|dbj|BCKZ01000050.1|-processed-gene-0.21&CDS=1-2361, -processed-gene-1.13-mRNA-1_1&gene=augustus_masked-gi|1002318356|dbj|BCKZ01000027.1|-processed-gene-1.13&CDS=1-2400	YPR141C
302	OG0000302	-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-gi|1002318335|dbj|BCKZ01000048.1|-processed-gene-0.33&CDS=1-1623, -processed-gene-3.38-mRNA-1_1&gene=augustus_masked-gi|1002318369|dbj|BCKZ01000014.1|-processed-gene-3.38&CDS=1-1734	YLR345W
303	OG0000303	-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-gi|1002318339|dbj|BCKZ01000044.1|-processed-gene-0.24&CDS=1-429, -processed-gene-5.53-mRNA-1_1&gene=augustus_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-5.53&CDS=1-429	YOL040C
304	OG0000304	-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-gi|1002318339|dbj|BCKZ01000044.1|-processed-gene-0.36&CDS=1-1299, -processed-gene-6.194-mRNA-1_1&gene=augustus_masked-gi|1002318372|dbj|BCKZ01000011.1|-processed-gene-6.194&CDS=1-1308	YGR244C
305	OG0000305	-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-gi|1002318340|dbj|BCKZ01000043.1|-processed-gene-0.26&CDS=1-1800, -processed-gene-11.21-mRNA-1_1&gene=snap_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-11.21&CDS=1-1794	YBR296C
306	OG0000306	-augustus-gene-1.87-mRNA-1_1&gene=maker-gi|1002318359|dbj|BCKZ01000024.1|-augustus-gene-1.87&CDS=1-1098, -processed-gene-0.11-mRNA-1_1&gene=augustus_masked-gi|1002318340|dbj|BCKZ01000043.1|-processed-gene-0.11&CDS=1-1260	YNR052C
307	OG0000307	-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-gi|1002318340|dbj|BCKZ01000043.1|-processed-gene-0.13&CDS=1-1125, -processed-gene-4.41-mRNA-1_1&gene=augustus_masked-gi|1002318372|dbj|BCKZ01000011.1|-processed-gene-4.41&CDS=1-1053	YPL112C
308	OG0000308	-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-4.1&CDS=1-1050, -snap-gene-0.85-mRNA-1_1&gene=maker-gi|1002318341|dbj|BCKZ01000042.1|-snap-gene-0.85&CDS=1-1005	YFL044C
309	OG0000309	-augustus-gene-0.34-mRNA-1_1&gene=maker-gi|1002318341|dbj|BCKZ01000042.1|-augustus-gene-0.34&CDS=1-2673	YGR056W, YLR357W
310	OG0000310	-augustus-gene-0.32-mRNA-1_1&gene=maker-gi|1002318341|dbj|BCKZ01000042.1|-augustus-gene-0.32&CDS=1-1095, -augustus-gene-4.79-mRNA-1_1&gene=maker-gi|1002318374|dbj|BCKZ01000009.1|-augustus-gene-4.79&CDS=1-1077	YGR028W
311	OG0000311	-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-gi|1002318341|dbj|BCKZ01000042.1|-processed-gene-0.72&CDS=1-1155, -processed-gene-3.64-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-3.64&CDS=1-1902	YOR023C
312	OG0000312	-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-gi|1002318342|dbj|BCKZ01000041.1|-processed-gene-0.82&CDS=1-2328, -processed-gene-2.58-mRNA-1_1&gene=augustus_masked-gi|1002318362|dbj|BCKZ01000021.1|-processed-gene-2.58&CDS=1-2277	YJR126C
313	OG0000313	-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-gi|1002318342|dbj|BCKZ01000041.1|-processed-gene-0.75&CDS=1-1365, -processed-gene-3.172-mRNA-1_1&gene=augustus_masked-gi|1002318362|dbj|BCKZ01000021.1|-processed-gene-3.172&CDS=1-1131	YGR189C
314	OG0000314	-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-gi|1002318342|dbj|BCKZ01000041.1|-processed-gene-0.80&CDS=1-1389	YDL088C, YMR153W
315	OG0000315	-augustus-gene-0.5-mRNA-1_1&gene=maker-gi|1002318343|dbj|BCKZ01000040.1|-augustus-gene-0.5&CDS=1-2274, -processed-gene-1.10-mRNA-1_1&gene=augustus_masked-gi|1002318356|dbj|BCKZ01000027.1|-processed-gene-1.10&CDS=1-2337	YPR065W
316	OG0000316	-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-gi|1002318343|dbj|BCKZ01000040.1|-processed-gene-0.14&CDS=1-843, -processed-gene-1.15-mRNA-1_1&gene=augustus_masked-gi|1002318356|dbj|BCKZ01000027.1|-processed-gene-1.15&CDS=1-852	YNL055C
317	OG0000317	-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-gi|1002318343|dbj|BCKZ01000040.1|-processed-gene-0.37&CDS=1-2826	YKL072W, YMR053C
318	OG0000318	-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-gi|1002318344|dbj|BCKZ01000039.1|-processed-gene-0.34&CDS=1-510, -processed-gene-1.53-mRNA-1_1&gene=genemark-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-1.53&CDS=1-1923	YPR007C
319	OG0000319	-processed-gene-0.120-mRNA-1_1&gene=snap_masked-gi|1002318344|dbj|BCKZ01000039.1|-processed-gene-0.120&CDS=1-483, -processed-gene-3.49-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-3.49&CDS=1-285	YGR230W
320	OG0000320	-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-gi|1002318344|dbj|BCKZ01000039.1|-processed-gene-0.39&CDS=1-2184, -processed-gene-5.42-mRNA-1_1&gene=augustus_masked-gi|1002318369|dbj|BCKZ01000014.1|-processed-gene-5.42&CDS=1-2271	YKL047W
321	OG0000321	-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-gi|1002318345|dbj|BCKZ01000038.1|-processed-gene-0.12&CDS=1-3312, -processed-gene-13.54-mRNA-1_1&gene=augustus_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-13.54&CDS=1-2829	YKL054C
322	OG0000322	-augustus-gene-0.64-mRNA-1_1&gene=maker-gi|1002318345|dbj|BCKZ01000038.1|-augustus-gene-0.64&CDS=1-3051, -augustus-gene-13.106-mRNA-1_1&gene=maker-gi|1002318381|dbj|BCKZ01000002.1|-augustus-gene-13.106&CDS=1-3165	YPR049C
323	OG0000323	-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-gi|1002318345|dbj|BCKZ01000038.1|-processed-gene-0.18&CDS=1-843, -processed-gene-0.19-mRNA-1_1&gene=augustus_masked-gi|1002318345|dbj|BCKZ01000038.1|-processed-gene-0.19&CDS=1-861	YIL070C
324	OG0000324	-augustus-gene-0.61-mRNA-1_1&gene=maker-gi|1002318345|dbj|BCKZ01000038.1|-augustus-gene-0.61&CDS=1-7230, -processed-gene-5.68-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-5.68&CDS=1-6861	YLR430W
325	OG0000325	-augustus-gene-0.67-mRNA-1_1&gene=maker-gi|1002318345|dbj|BCKZ01000038.1|-augustus-gene-0.67&CDS=1-10227, -processed-gene-4.24-mRNA-1_1&gene=snap_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-4.24&CDS=1-9318	YDR150W
326	OG0000326	-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-gi|1002318345|dbj|BCKZ01000038.1|-processed-gene-0.25&CDS=1-1608, -processed-gene-0.34-mRNA-1_1&gene=snap_masked-gi|1002318363|dbj|BCKZ01000020.1|-processed-gene-0.34&CDS=1-2232	YJL090C
327	OG0000327	-processed-gene-0.56-mRNA-1_1&gene=genemark-gi|1002318345|dbj|BCKZ01000038.1|-processed-gene-0.56&CDS=1-1197	YNL108C, YOR110W
328	OG0000328	-augustus-gene-0.66-mRNA-1_1&gene=maker-gi|1002318346|dbj|BCKZ01000037.1|-augustus-gene-0.66&CDS=1-1881, -augustus-gene-12.44-mRNA-1_1&gene=maker-gi|1002318379|dbj|BCKZ01000004.1|-augustus-gene-12.44&CDS=1-2067	YNR063W
329	OG0000329	-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-gi|1002318347|dbj|BCKZ01000036.1|-processed-gene-0.13&CDS=1-1554, -processed-gene-7.17-mRNA-1_1&gene=augustus_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-7.17&CDS=1-1329	YMR155W
330	OG0000330	-augustus-gene-0.99-mRNA-1_1&gene=maker-gi|1002318347|dbj|BCKZ01000036.1|-augustus-gene-0.99&CDS=1-870, -processed-gene-0.17-mRNA-1_1&gene=augustus_masked-gi|1002318347|dbj|BCKZ01000036.1|-processed-gene-0.17&CDS=1-864	YDR287W
331	OG0000331	-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-gi|1002318347|dbj|BCKZ01000036.1|-processed-gene-0.35&CDS=1-1263, -processed-gene-7.82-mRNA-1_1&gene=snap_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-7.82&CDS=1-1200	YJR080C
332	OG0000332	-processed-gene-0.143-mRNA-1_1&gene=snap_masked-gi|1002318347|dbj|BCKZ01000036.1|-processed-gene-0.143&CDS=1-972, -processed-gene-6.186-mRNA-1_1&gene=augustus_masked-gi|1002318372|dbj|BCKZ01000011.1|-processed-gene-6.186&CDS=1-933	YDR044W
333	OG0000333	-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-gi|1002318347|dbj|BCKZ01000036.1|-processed-gene-0.24&CDS=1-1173, -processed-gene-9.21-mRNA-1_1&gene=augustus_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-9.21&CDS=1-927	YGR127W
334	OG0000334	-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-gi|1002318347|dbj|BCKZ01000036.1|-processed-gene-0.47&CDS=1-951, -processed-gene-1.30-mRNA-1_1&gene=snap_masked-gi|1002318361|dbj|BCKZ01000022.1|-processed-gene-1.30&CDS=1-669	YPR147C
335	OG0000335	-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-gi|1002318348|dbj|BCKZ01000035.1|-processed-gene-0.22&CDS=1-444, -processed-gene-4.120-mRNA-1_1&gene=snap_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-4.120&CDS=1-441	YGL041W-A
336	OG0000336	-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-gi|1002318348|dbj|BCKZ01000035.1|-processed-gene-0.2&CDS=1-3849	YAL017W, YOL045W
337	OG0000337	-augustus-gene-1.150-mRNA-1_1&gene=maker-gi|1002318374|dbj|BCKZ01000009.1|-augustus-gene-1.150&CDS=1-6432, -processed-gene-0.121-mRNA-1_1&gene=snap_masked-gi|1002318348|dbj|BCKZ01000035.1|-processed-gene-0.121&CDS=1-6234	YER155C
338	OG0000338	-processed-gene-0.2-mRNA-1_1&gene=snap_masked-gi|1002318349|dbj|BCKZ01000034.1|-processed-gene-0.2&CDS=1-1893, -processed-gene-7.109-mRNA-1_1&gene=snap_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-7.109&CDS=1-1917	YLL007C
339	OG0000339	-processed-gene-0.26-mRNA-1_1&gene=snap_masked-gi|1002318349|dbj|BCKZ01000034.1|-processed-gene-0.26&CDS=1-819, -processed-gene-8.29-mRNA-1_1&gene=augustus_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-8.29&CDS=1-1368	YLL010C
340	OG0000340	-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-gi|1002318349|dbj|BCKZ01000034.1|-processed-gene-0.84&CDS=1-1314	YGR092W, YPR111W
341	OG0000341	-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-gi|1002318349|dbj|BCKZ01000034.1|-processed-gene-0.85&CDS=1-1605, -processed-gene-2.50-mRNA-1_1&gene=genemark-gi|1002318367|dbj|BCKZ01000016.1|-processed-gene-2.50&CDS=1-1542	YOL060C
342	OG0000342	-processed-gene-0.157-mRNA-1_1&gene=genemark-gi|1002318349|dbj|BCKZ01000034.1|-processed-gene-0.157&CDS=1-4509, -snap-gene-12.2-mRNA-1_1&gene=maker-gi|1002318380|dbj|BCKZ01000003.1|-snap-gene-12.2&CDS=1-5454	YJL095W
343	OG0000343	-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-gi|1002318349|dbj|BCKZ01000034.1|-processed-gene-0.98&CDS=1-1599, -processed-gene-12.101-mRNA-1_1&gene=augustus_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-12.101&CDS=1-2466	YDR208W
344	OG0000344	-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-gi|1002318350|dbj|BCKZ01000033.1|-processed-gene-0.115&CDS=1-849, -processed-gene-1.71-mRNA-1_1&gene=augustus_masked-gi|1002318373|dbj|BCKZ01000010.1|-processed-gene-1.71&CDS=1-780	YJL174W
345	OG0000345	-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-gi|1002318350|dbj|BCKZ01000033.1|-processed-gene-0.144&CDS=1-2418, -processed-gene-12.105-mRNA-1_1&gene=augustus_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-12.105&CDS=1-2418	YJR053W
346	OG0000346	-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-gi|1002318350|dbj|BCKZ01000033.1|-processed-gene-0.117&CDS=1-945, -processed-gene-7.53-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-7.53&CDS=1-930	YJR077C
347	OG0000347	-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-gi|1002318350|dbj|BCKZ01000033.1|-processed-gene-0.127&CDS=1-2334, -processed-gene-4.81-mRNA-1_1&gene=snap_masked-gi|1002318366|dbj|BCKZ01000017.1|-processed-gene-4.81&CDS=1-1830	YDL025C
348	OG0000348	-processed-gene-0.17-mRNA-1_1&gene=snap_masked-gi|1002318350|dbj|BCKZ01000033.1|-processed-gene-0.17&CDS=1-237, -processed-gene-6.57-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-6.57&CDS=1-4041	YGR014W
349	OG0000349	-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-gi|1002318350|dbj|BCKZ01000033.1|-processed-gene-0.132&CDS=1-1371, -processed-gene-8.34-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-8.34&CDS=1-1485	YJL127C
350	OG0000350	-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-gi|1002318350|dbj|BCKZ01000033.1|-processed-gene-0.135&CDS=1-1086, -processed-gene-2.91-mRNA-1_1&gene=snap_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-2.91&CDS=1-756	YOL067C
351	OG0000351	-augustus-gene-0.0-mRNA-1_1&gene=maker-gi|1002318351|dbj|BCKZ01000032.1|-augustus-gene-0.0&CDS=1-5670, -processed-gene-0.36-mRNA-1_1&gene=augustus_masked-gi|1002318360|dbj|BCKZ01000023.1|-processed-gene-0.36&CDS=1-5865	YDR170C
352	OG0000352	-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-gi|1002318360|dbj|BCKZ01000023.1|-processed-gene-0.50&CDS=1-1101, -processed-gene-0.76-mRNA-1_1&gene=augustus_masked-gi|1002318351|dbj|BCKZ01000032.1|-processed-gene-0.76&CDS=1-1203	YDR169C
353	OG0000353	-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-gi|1002318351|dbj|BCKZ01000032.1|-processed-gene-0.62&CDS=1-447, -processed-gene-1.8-mRNA-1_1&gene=augustus_masked-gi|1002318359|dbj|BCKZ01000024.1|-processed-gene-1.8&CDS=1-447	YGL103W
354	OG0000354	-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-gi|1002318351|dbj|BCKZ01000032.1|-processed-gene-0.67&CDS=1-1368, -processed-gene-16.36-mRNA-1_1&gene=genemark-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-16.36&CDS=1-1353	YMR238W
355	OG0000355	-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-gi|1002318351|dbj|BCKZ01000032.1|-processed-gene-0.68&CDS=1-534, -processed-gene-1.104-mRNA-1_1&gene=augustus_masked-gi|1002318365|dbj|BCKZ01000018.1|-processed-gene-1.104&CDS=1-561	YPR028W
356	OG0000356	-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-gi|1002318351|dbj|BCKZ01000032.1|-processed-gene-0.74&CDS=1-5328, -snap-gene-1.136-mRNA-1_1&gene=maker-gi|1002318381|dbj|BCKZ01000002.1|-snap-gene-1.136&CDS=1-4914	YPL242C
