	OrthologID	Nakazawaea_peltata	Saccharomyces_cerevisiae
245	OG0000245	-processed-gene-7.139-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-7.139&CDS=1-324	YGR027C, YLR333C
246	OG0000246	-augustus-gene-7.70-mRNA-1_1&gene=maker-gi|1002316194|dbj|BCGQ01000007.1|-augustus-gene-7.70&CDS=1-1989	YDL079C, YMR139W
247	OG0000247	-processed-gene-7.31-mRNA-1_1&gene=augustus_masked-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-7.31&CDS=1-2805	YDR379W, YOR127W
248	OG0000248	-processed-gene-23.85-mRNA-1_1&gene=snap_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-23.85&CDS=1-2022, -processed-gene-7.196-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-7.196&CDS=1-1965	YLR176C
249	OG0000249	-processed-gene-1.21-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-1.21&CDS=1-1173, -processed-gene-7.200-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-7.200&CDS=1-1149	YAL061W
250	OG0000250	-processed-gene-0.34-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.34&CDS=1-2949, -snap-gene-0.119-mRNA-1_1&gene=maker-gi|1002316195|dbj|BCGQ01000006.1|-snap-gene-0.119&CDS=1-2145	YBR084W
251	OG0000251	-processed-gene-0.75-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-0.75&CDS=1-846	YDL204W, YDR233C
252	OG0000252	-processed-gene-0.58-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-0.58&CDS=1-2709	YDR251W, YPL032C
253	OG0000253	-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-0.18&CDS=1-1890, -processed-gene-1.71-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-1.71&CDS=1-1902	YLR248W
254	OG0000254	-processed-gene-1.102-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-1.102&CDS=1-3060	YGR056W, YLR357W
255	OG0000255	-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-1.138&CDS=1-537	YMR242C, YOR312C
256	OG0000256	-processed-gene-2.100-mRNA-1_1&gene=snap_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-2.100&CDS=1-2667	YJL076W, YKR010C
257	OG0000257	-processed-gene-2.66-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-2.66&CDS=1-3159, -processed-gene-2.72-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-2.72&CDS=1-2616	YOR032C
258	OG0000258	-processed-gene-2.67-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-2.67&CDS=1-543	YLR456W, YPR172W
259	OG0000259	-processed-gene-11.127-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-11.127&CDS=1-1848, -processed-gene-3.124-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-3.124&CDS=1-1863	YMR058W
260	OG0000260	-processed-gene-4.63-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-4.63&CDS=1-3693	YLL016W, YLR310C
261	OG0000261	-processed-gene-4.75-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-4.75&CDS=1-3960	YGR238C, YHR158C
262	OG0000262	-processed-gene-5.92-mRNA-1_1&gene=snap_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.92&CDS=1-1812	YDL224C, YNL197C
263	OG0000263	-processed-gene-5.133-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.133&CDS=1-423	YHR132W-A, YNL157W
264	OG0000264	-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.31&CDS=1-816	YHR133C, YNL156C
265	OG0000265	-processed-gene-6.52-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.52&CDS=1-1686	YHR131C, YNL144C
266	OG0000266	-processed-gene-6.76-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.76&CDS=1-1116	YAL015C, YOL043C
267	OG0000267	-processed-gene-6.62-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.62&CDS=1-1050, -processed-gene-7.145-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-7.145&CDS=1-993	YMR041C
268	OG0000268	-processed-gene-6.66-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.66&CDS=1-663	YER031C, YGL210W
269	OG0000269	-processed-gene-6.67-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.67&CDS=1-1158	YOR390W, YPL279C
270	OG0000270	-processed-gene-6.44-mRNA-1_1&gene=augustus_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.44&CDS=1-6108	YEL022W, YJR031C
271	OG0000271	-processed-gene-2.144-mRNA-1_1&gene=snap_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-2.144&CDS=1-954, -processed-gene-7.168-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.168&CDS=1-990	YBR053C
272	OG0000272	-processed-gene-15.93-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-15.93&CDS=1-1008, -processed-gene-7.198-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.198&CDS=1-921	YGR031W
273	OG0000273	-processed-gene-7.200-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.200&CDS=1-654	YGR136W, YPR154W
274	OG0000274	-processed-gene-24.138-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-24.138&CDS=1-1536, -processed-gene-7.172-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.172&CDS=1-1617	YGR260W
275	OG0000275	-processed-gene-7.173-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.173&CDS=1-507	YGR131W, YPR149W
276	OG0000276	-processed-gene-7.203-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.203&CDS=1-1668	YKL127W, YMR105C
277	OG0000277	-processed-gene-7.210-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.210&CDS=1-1263	YDR151C, YLR136C
278	OG0000278	-processed-gene-7.212-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.212&CDS=1-3789	YER132C, YGL197W
279	OG0000279	-processed-gene-7.151-mRNA-1_1&gene=snap_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.151&CDS=1-2190, -processed-gene-8.31-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-8.31&CDS=1-2043	YBL097W
280	OG0000280	-processed-gene-7.224-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.224&CDS=1-354	YER131W, YGL189C
281	OG0000281	-processed-gene-0.57-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.57&CDS=1-1260	YHR001W, YKR003W
282	OG0000282	-processed-gene-0.44-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.44&CDS=1-3318	YIL151C, YKR096W
283	OG0000283	-processed-gene-0.46-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.46&CDS=1-1515, -processed-gene-9.237-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-9.237&CDS=1-1512	YCL043C
284	OG0000284	-processed-gene-0.48-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.48&CDS=1-1224	YBR161W, YPL057C
285	OG0000285	-processed-gene-1.101-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.101&CDS=1-1668	YER059W, YIL050W
286	OG0000286	-processed-gene-1.98-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.98&CDS=1-456	YER057C, YIL051C
287	OG0000287	-processed-gene-1.99-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.99&CDS=1-351	YER056C-A, YIL052C
288	OG0000288	-processed-gene-1.92-mRNA-1_1&gene=snap_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.92&CDS=1-828	YDL037C, YIR019C
289	OG0000289	-processed-gene-1.122-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.122&CDS=1-381	YGR243W, YHR162W
290	OG0000290	-processed-gene-1.128-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.128&CDS=1-1416	YCL040W, YDR516C
291	OG0000291	-processed-gene-1.80-mRNA-1_1&gene=snap_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.80&CDS=1-1929, -processed-gene-5.92-mRNA-1_1&gene=snap_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-5.92&CDS=1-1353	YGL023C
292	OG0000292	-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.116&CDS=1-1458	YBR273C, YJL048C
293	OG0000293	-processed-gene-2.32-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.32&CDS=1-1740, -processed-gene-7.52-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-7.52&CDS=1-1674	YHL036W
294	OG0000294	-snap-gene-2.113-mRNA-1_1&gene=maker-gi|1002316196|dbj|BCGQ01000005.1|-snap-gene-2.113&CDS=1-3477	YDR497C, YOL103W
295	OG0000295	-augustus-gene-11.132-mRNA-1_1&gene=maker-gi|1002316199|dbj|BCGQ01000002.1|-augustus-gene-11.132&CDS=1-390, -processed-gene-2.24-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.24&CDS=1-390	YJL190C
296	OG0000296	-processed-gene-2.25-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.25&CDS=1-426	YCR031C, YJL191W
297	OG0000297	-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.114&CDS=1-1101, -processed-gene-9.134-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-9.134&CDS=1-837	YJR080C
298	OG0000298	-processed-gene-3.86-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.86&CDS=1-225	YHR138C, YNL015W
299	OG0000299	-processed-gene-3.106-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.106&CDS=1-1761	YJR130C, YML082W
300	OG0000300	-processed-gene-4.86-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-4.86&CDS=1-1209	YHL003C, YKL008C
301	OG0000301	-processed-gene-4.93-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-4.93&CDS=1-396	YHL001W, YKL006W
302	OG0000302	-processed-gene-5.85-mRNA-1_1&gene=snap_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-5.85&CDS=1-1629	YIL156W, YKR098C
303	OG0000303	-processed-gene-5.46-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-5.46&CDS=1-1284	YDR312W, YHR066W
304	OG0000304	-processed-gene-28.73-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-28.73&CDS=1-2604, -processed-gene-7.40-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-7.40&CDS=1-2427	YOR270C
305	OG0000305	-processed-gene-6.29-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-6.29&CDS=1-1116, -processed-gene-7.60-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-7.60&CDS=1-1011	YNL283C
306	OG0000306	-processed-gene-8.4-mRNA-1_1&gene=snap_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-8.4&CDS=1-888	YLR270W, YOR173W
307	OG0000307	-processed-gene-8.125-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-8.125&CDS=1-201	YLR264W, YOR167C
308	OG0000308	-snap-gene-8.141-mRNA-1_1&gene=maker-gi|1002316196|dbj|BCGQ01000005.1|-snap-gene-8.141&CDS=1-1134	YLR287C-A, YOR182C
309	OG0000309	-processed-gene-9.213-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-9.213&CDS=1-345	YDL075W, YLR406C
310	OG0000310	-processed-gene-9.216-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-9.216&CDS=1-3375	YAL017W, YOL045W
311	OG0000311	-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-9.27&CDS=1-513	YGR085C, YPR102C
312	OG0000312	-processed-gene-9.225-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-9.225&CDS=1-1092, -processed-gene-9.74-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-9.74&CDS=1-1209	YPL092W
313	OG0000313	-processed-gene-1.54-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-1.54&CDS=1-1332	YCL011C, YNL004W
314	OG0000314	-processed-gene-2.83-mRNA-1_1&gene=snap_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-2.83&CDS=1-3519	YHR155W, YNL257C
315	OG0000315	-processed-gene-10.121-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-10.121&CDS=1-2628, -processed-gene-2.51-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-2.51&CDS=1-1701	YOR301W
316	OG0000316	-processed-gene-2.74-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-2.74&CDS=1-1689	YDR263C, YOR033C
317	OG0000317	-processed-gene-3.106-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-3.106&CDS=1-1290	YCL048W, YDR522C
318	OG0000318	-processed-gene-3.81-mRNA-1_1&gene=snap_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-3.81&CDS=1-1536	YCL051W, YDR528W
319	OG0000319	-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-3.40&CDS=1-246	YDR500C, YLR185W
320	OG0000320	-snap-gene-3.161-mRNA-1_1&gene=maker-gi|1002316197|dbj|BCGQ01000004.1|-snap-gene-3.161&CDS=1-2523	YDR502C, YLR180W
321	OG0000321	-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-3.17&CDS=1-1659	YDR505C, YLR177W
322	OG0000322	-processed-gene-11.29-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-11.29&CDS=1-1707, -processed-gene-3.154-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-3.154&CDS=1-1644	YEL063C
323	OG0000323	-processed-gene-4.87-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-4.87&CDS=1-1005	YCL050C, YDR530C
324	OG0000324	-processed-gene-4.91-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-4.91&CDS=1-1278	YLR300W, YOR190W
325	OG0000325	-processed-gene-12.176-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-12.176&CDS=1-1728, -processed-gene-5.30-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-5.30&CDS=1-1710	YDL210W
326	OG0000326	-processed-gene-3.52-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-3.52&CDS=1-2520, -processed-gene-5.12-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-5.12&CDS=1-2268	YNL020C
327	OG0000327	-processed-gene-6.77-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-6.77&CDS=1-1743	YHL017W, YKL039W
328	OG0000328	-snap-gene-6.119-mRNA-1_1&gene=maker-gi|1002316197|dbj|BCGQ01000004.1|-snap-gene-6.119&CDS=1-1920	YKL121W, YMR102C
329	OG0000329	-processed-gene-6.101-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-6.101&CDS=1-1794	YGR092W, YPR111W
330	OG0000330	-processed-gene-6.6-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-6.6&CDS=1-798, -processed-gene-8.57-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-8.57&CDS=1-1257	YNL103W
331	OG0000331	-snap-gene-7.123-mRNA-1_1&gene=maker-gi|1002316197|dbj|BCGQ01000004.1|-snap-gene-7.123&CDS=1-1368	YHR043C, YHR044C
332	OG0000332	-snap-gene-7.124-mRNA-1_1&gene=maker-gi|1002316197|dbj|BCGQ01000004.1|-snap-gene-7.124&CDS=1-1038	YBR189W, YPL081W
333	OG0000333	-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-7.35&CDS=1-3426	YIR033W, YKL020C
334	OG0000334	-processed-gene-8.47-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-8.47&CDS=1-966	YKR076W, YMR251W
335	OG0000335	-processed-gene-8.74-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-8.74&CDS=1-1236	YMR199W, YPL256C
336	OG0000336	-processed-gene-12.63-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.63&CDS=1-1416, -processed-gene-9.112-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-9.112&CDS=1-1365	YBR199W
337	OG0000337	-processed-gene-9.122-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-9.122&CDS=1-1890	YGR138C, YPR156C
338	OG0000338	-processed-gene-10.92-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-10.92&CDS=1-1260	YBR078W, YDR055W
339	OG0000339	-processed-gene-10.18-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-10.18&CDS=1-1071	YAL034C, YOR338W
340	OG0000340	-processed-gene-10.100-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-10.100&CDS=1-1764, -processed-gene-3.52-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-3.52&CDS=1-1722	YNL065W
341	OG0000341	-processed-gene-10.120-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-10.120&CDS=1-1938, -processed-gene-7.97-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-7.97&CDS=1-2553	YOR140W
342	OG0000342	-processed-gene-11.135-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-11.135&CDS=1-585	YBL027W, YBR084C-A
343	OG0000343	-processed-gene-11.20-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-11.20&CDS=1-750	YBR197C, YPL077C
344	OG0000344	-processed-gene-11.60-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-11.60&CDS=1-1206	YHR179W, YPL171C
345	OG0000345	-processed-gene-11.36-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-11.36&CDS=1-930	YCL036W, YDR514C
346	OG0000346	-processed-gene-8.85-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-8.85&CDS=1-2109, -snap-gene-0.4-mRNA-1_1&gene=maker-gi|1002316198|dbj|BCGQ01000003.1|-snap-gene-0.4&CDS=1-1047	YNL027W
347	OG0000347	-processed-gene-0.48-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-0.48&CDS=1-1461	YGR121C, YPR138C
348	OG0000348	-augustus-gene-1.2-mRNA-1_1&gene=maker-gi|1002316198|dbj|BCGQ01000003.1|-augustus-gene-1.2&CDS=1-4131	YGL133W, YPL216W
349	OG0000349	-processed-gene-1.126-mRNA-1_1&gene=snap_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-1.126&CDS=1-3510	YDR122W, YLR096W
350	OG0000350	-processed-gene-1.70-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-1.70&CDS=1-2427	YGL139W, YPL221W
351	OG0000351	-processed-gene-2.64-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-2.64&CDS=1-651	YGL135W, YPL220W
352	OG0000352	-processed-gene-3.59-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-3.59&CDS=1-558	YNL301C, YOL120C
353	OG0000353	-processed-gene-4.5-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-4.5&CDS=1-435	YNL302C, YOL121C
354	OG0000354	-processed-gene-4.9-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-4.9&CDS=1-2244	YFL050C, YOL130W
355	OG0000355	-processed-gene-4.41-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-4.41&CDS=1-660	YML106W, YMR271C
356	OG0000356	-processed-gene-5.61-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-5.61&CDS=1-567	YOR226C, YPL135W
357	OG0000357	-processed-gene-6.76-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-6.76&CDS=1-732	YGR248W, YHR163W
358	OG0000358	-augustus-gene-7.151-mRNA-1_1&gene=maker-gi|1002316198|dbj|BCGQ01000003.1|-augustus-gene-7.151&CDS=1-2856	YIL085C, YNL029C
359	OG0000359	-processed-gene-8.113-mRNA-1_1&gene=augustus_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-8.113&CDS=1-2244	YGR221C, YHR149C
360	OG0000360	-processed-gene-8.124-mRNA-1_1&gene=augustus_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-8.124&CDS=1-582	YHR021C, YKL156W
361	OG0000361	-processed-gene-9.1-mRNA-1_1&gene=augustus_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-9.1&CDS=1-1899	YDR351W, YHR103W
362	OG0000362	-processed-gene-8.39-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-8.39&CDS=1-2325, -processed-gene-9.88-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-9.88&CDS=1-2367	YPR181C
363	OG0000363	-processed-gene-9.90-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-9.90&CDS=1-495	YDR418W, YEL054C
364	OG0000364	-processed-gene-10.126-mRNA-1_1&gene=augustus_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-10.126&CDS=1-5325	YCL068C, YCR038C
365	OG0000365	-processed-gene-11.101-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-11.101&CDS=1-2121	YFR015C, YLR258W
366	OG0000366	-processed-gene-12.183-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-12.183&CDS=1-603	YBR067C, YIL011W
367	OG0000367	-processed-gene-1.145-mRNA-1_1&gene=snap_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.145&CDS=1-2145, -processed-gene-12.194-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-12.194&CDS=1-2169	YMR216C
368	OG0000368	-processed-gene-12.86-mRNA-1_1&gene=snap_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-12.86&CDS=1-1470	YGL082W, YPL191C
369	OG0000369	-processed-gene-0.74-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-0.74&CDS=1-315, -processed-gene-0.95-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-0.95&CDS=1-324	YNL322C
370	OG0000370	-processed-gene-0.80-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-0.80&CDS=1-3642	YAR042W, YDL019C
371	OG0000371	-processed-gene-0.83-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-0.83&CDS=1-975	YCL064C, YIL167W
372	OG0000372	-processed-gene-1.10-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-1.10&CDS=1-1332	YDR247W, YPL026C
373	OG0000373	-processed-gene-2.60-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-2.60&CDS=1-1980	YBL067C, YER098W
374	OG0000374	-processed-gene-2.36-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-2.36&CDS=1-1002	YBL068W, YER099C
375	OG0000375	-processed-gene-2.62-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-2.62&CDS=1-594	YBL072C, YER102W
376	OG0000376	-processed-gene-2.79-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-2.79&CDS=1-3192	YLR031W, YMR124W
