	OrthologID	Saccharomyces_cerevisiae	Saccharomyces_mikatae
519	OG0000519	YBR231C	snap_masked-Smik_2-processed-gene-6.274-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.274&CDS=1-900
520	OG0000520	YBR233W	augustus_masked-Smik_2-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-6.21&CDS=1-1527
521	OG0000521	YBR234C	snap_masked-Smik_2-processed-gene-6.275-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.275&CDS=1-1152
522	OG0000522	YBR235W	snap_masked-Smik_2-processed-gene-6.231-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.231&CDS=1-3333
523	OG0000523	YBR236C	snap_masked-Smik_2-processed-gene-6.276-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.276&CDS=1-1308
524	OG0000524	YBR237W	snap_masked-Smik_2-processed-gene-6.232-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.232&CDS=1-2550
525	OG0000525	YBR238C	snap_masked-Smik_2-processed-gene-6.277-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.277&CDS=1-2226
526	OG0000526	YBR239C	snap_masked-Smik_2-processed-gene-6.278-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.278&CDS=1-1590
527	OG0000527	YBR240C	snap_masked-Smik_2-processed-gene-6.279-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.279&CDS=1-1344
528	OG0000528	YBR241C	augustus_masked-Smik_2-processed-gene-6.59-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-6.59&CDS=1-1464
529	OG0000529	YBR242W	snap_masked-Smik_2-processed-gene-6.236-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.236&CDS=1-714
530	OG0000530	YBR243C	augustus_masked-Smik_2-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-6.60&CDS=1-1344
531	OG0000531	YBR244W	snap_masked-Smik_2-processed-gene-6.237-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.237&CDS=1-486
532	OG0000532	YBR246W	snap_masked-Smik_2-processed-gene-6.238-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.238&CDS=1-1161
533	OG0000533	YBR247C	snap_masked-Smik_2-processed-gene-6.282-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.282&CDS=1-1440
534	OG0000534	YBR248C	snap_masked-Smik_2-processed-gene-6.283-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.283&CDS=1-1656
535	OG0000535	YBR249C	snap_masked-Smik_2-processed-gene-6.284-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.284&CDS=1-1110
536	OG0000536	YBR250W	snap_masked-Smik_2-processed-gene-6.239-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.239&CDS=1-1569
537	OG0000537	YBR251W	augustus_masked-Smik_2-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-6.28&CDS=1-921
538	OG0000538	YBR253W	genemark-Smik_2-processed-gene-6.127-mRNA-1_1&gene=genemark-Smik_2-processed-gene-6.127&CDS=1-363
539	OG0000539	YBR254C	augustus_masked-Smik_2-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-6.65&CDS=1-528
540	OG0000540	YBR255W	snap_masked-Smik_2-processed-gene-6.241-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.241&CDS=1-2082
541	OG0000541	YBR256C	augustus_masked-Smik_2-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-6.66&CDS=1-990
542	OG0000542	YBR257W	snap_masked-Smik_2-processed-gene-6.242-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.242&CDS=1-837
543	OG0000543	YBR258C	snap_masked-Smik_2-processed-gene-6.288-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.288&CDS=1-426
544	OG0000544	YBR259W	genemark-Smik_2-processed-gene-6.130-mRNA-1_1&gene=genemark-Smik_2-processed-gene-6.130&CDS=1-2067
545	OG0000545	YBR260C	augustus_masked-Smik_2-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-6.68&CDS=1-2919
546	OG0000546	YBR263W	snap_masked-Smik_2-processed-gene-6.243-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.243&CDS=1-1470
547	OG0000547	YBR264C	augustus_masked-Smik_2-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-6.69&CDS=1-597
548	OG0000548	YBR265W	augustus_masked-Smik_2-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-6.34&CDS=1-2532
549	OG0000549	YBR270C	augustus_masked-Smik_2-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-6.70&CDS=1-1986
550	OG0000550	YBR271W	snap_masked-Smik_2-processed-gene-6.246-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.246&CDS=1-1251
551	OG0000551	YBR272C	snap_masked-Smik_2-processed-gene-6.293-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.293&CDS=1-1443
552	OG0000552	YBR273C	snap_masked-Smik_2-processed-gene-6.294-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.294&CDS=1-1287
553	OG0000553	YBR274W	snap_masked-Smik_2-processed-gene-6.247-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.247&CDS=1-1581
554	OG0000554	YBR275C	snap_masked-Smik_2-processed-gene-6.295-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.295&CDS=1-5757
555	OG0000555	YBR276C	snap_masked-Smik_2-processed-gene-6.296-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.296&CDS=1-2421
556	OG0000556	YBR279W	augustus_masked-Smik_2-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-6.37&CDS=1-1836
557	OG0000557	YBR281C	augustus_masked-Smik_2-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-6.74&CDS=1-4545
558	OG0000558	YBR282W	snap_masked-Smik_2-processed-gene-6.250-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.250&CDS=1-438
559	OG0000559	YBR283C	snap_masked-Smik_2-processed-gene-6.299-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.299&CDS=1-1470
560	OG0000560	YBR284W	augustus_masked-Smik_2-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-6.39&CDS=1-5538
561	OG0000561	YBR288C	snap_masked-Smik_2-processed-gene-6.300-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.300&CDS=1-1452
562	OG0000562	YBR289W	maker-Smik_2-augustus-gene-6.198-mRNA-1_1&gene=maker-Smik_2-augustus-gene-6.198&CDS=1-3663
563	OG0000563	YBR291C	snap_masked-Smik_2-processed-gene-6.301-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.301&CDS=1-897
564	OG0000564	YBR293W	snap_masked-Smik_2-processed-gene-6.257-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.257&CDS=1-1704
565	OG0000565	YBR295W	snap_masked-Smik_2-processed-gene-6.259-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.259&CDS=1-3561
566	OG0000566	YBR296C	snap_masked-Smik_2-processed-gene-6.302-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.302&CDS=1-1722
567	OG0000567	YCL001W	snap_masked-Smik_3-processed-gene-1.6-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.6&CDS=1-564
568	OG0000568	YCL004W	snap_masked-Smik_3-processed-gene-1.5-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.5&CDS=1-1476
569	OG0000569	YCL005W	snap_masked-Smik_3-processed-gene-1.4-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.4&CDS=1-780
570	OG0000570	YCL011C	augustus_masked-Smik_3-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-1.101&CDS=1-4281
571	OG0000571	YCL014W	snap_masked-Smik_3-processed-gene-1.0-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.0&CDS=1-4920
572	OG0000572	YCL016C	snap_masked-Smik_3-processed-gene-1.2-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.2&CDS=1-1140
573	OG0000573	YCL017C	augustus_masked-Smik_3-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-1.99&CDS=1-1491
574	OG0000574	YCL018W	augustus_masked-Smik_3-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-1.97&CDS=1-1092
575	OG0000575	YCL021W-A	snap_masked-Smik_3-processed-gene-0.126-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.126&CDS=1-375
576	OG0000576	YCL026C-B	snap_masked-Smik_3-processed-gene-0.124-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.124&CDS=1-579
577	OG0000577	YCL027W	snap_masked-Smik_3-processed-gene-0.100-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.100&CDS=1-1539
578	OG0000578	YCL028W	snap_masked-Smik_3-processed-gene-0.99-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.99&CDS=1-1185
579	OG0000579	YCL029C	snap_masked-Smik_3-processed-gene-0.123-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.123&CDS=1-1326
580	OG0000580	YCL030C	snap_masked-Smik_3-processed-gene-0.122-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.122&CDS=1-2397
581	OG0000581	YCL031C	snap_masked-Smik_3-processed-gene-0.121-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.121&CDS=1-891
582	OG0000582	YCL032W	snap_masked-Smik_3-processed-gene-0.98-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.98&CDS=1-1038
583	OG0000583	YCL033C	snap_masked-Smik_3-processed-gene-0.120-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.120&CDS=1-504
584	OG0000584	YCL034W	snap_masked-Smik_3-processed-gene-0.97-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.97&CDS=1-1050
585	OG0000585	YCL035C	snap_masked-Smik_3-processed-gene-0.119-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.119&CDS=1-330
586	OG0000586	YCL036W	augustus_masked-Smik_3-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-0.12&CDS=1-1683
587	OG0000587	YCL037C	snap_masked-Smik_3-processed-gene-0.117-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.117&CDS=1-1284
588	OG0000588	YCL038C	augustus_masked-Smik_3-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-0.30&CDS=1-1584
589	OG0000589	YCL043C	snap_masked-Smik_3-processed-gene-0.114-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.114&CDS=1-1575
590	OG0000590	YCL044C	snap_masked-Smik_3-processed-gene-0.113-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.113&CDS=1-1248
591	OG0000591	YCL045C	augustus_masked-Smik_3-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-0.27&CDS=1-2964
592	OG0000592	YCL048W	snap_masked-Smik_3-processed-gene-0.95-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.95&CDS=1-1389
593	OG0000593	YCL048W-A	snap_masked-Smik_3-processed-gene-0.94-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.94&CDS=1-252
594	OG0000594	YCL049C	snap_masked-Smik_3-processed-gene-0.110-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.110&CDS=1-921
595	OG0000595	YCL050C	snap_masked-Smik_3-processed-gene-0.109-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.109&CDS=1-963
596	OG0000596	YCL051W	snap_masked-Smik_3-processed-gene-0.93-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.93&CDS=1-1776
597	OG0000597	YCL052C	snap_masked-Smik_3-processed-gene-0.108-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.108&CDS=1-1251
598	OG0000598	YCL054W	snap_masked-Smik_3-processed-gene-0.92-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.92&CDS=1-2508
599	OG0000599	YCL055W	snap_masked-Smik_3-processed-gene-0.91-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.91&CDS=1-1002
600	OG0000600	YCL056C	snap_masked-Smik_3-processed-gene-0.107-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.107&CDS=1-432
601	OG0000601	YCL057C-A	snap_masked-Smik_3-processed-gene-0.106-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.106&CDS=1-291
602	OG0000602	YCL057W	snap_masked-Smik_3-processed-gene-0.90-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.90&CDS=1-2058
603	OG0000603	YCL058W-A	snap_masked-Smik_3-processed-gene-0.89-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.89&CDS=1-339
604	OG0000604	YCL059C	snap_masked-Smik_3-processed-gene-0.105-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.105&CDS=1-948
605	OG0000605	YCL061C	snap_masked-Smik_3-processed-gene-0.104-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.104&CDS=1-3339
606	OG0000606	YCL063W	snap_masked-Smik_3-processed-gene-0.88-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.88&CDS=1-1275
607	OG0000607	YCL064C	snap_masked-Smik_3-processed-gene-0.103-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-0.103&CDS=1-1080
608	OG0000608	YCR002C	snap_masked-Smik_3-processed-gene-1.20-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.20&CDS=1-966
609	OG0000609	YCR003W	genemark-Smik_3-processed-gene-1.65-mRNA-1_1&gene=genemark-Smik_3-processed-gene-1.65&CDS=1-549
610	OG0000610	YCR004C	snap_masked-Smik_3-processed-gene-1.21-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.21&CDS=1-744
611	OG0000611	YCR007C	augustus_masked-Smik_3-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-1.106&CDS=1-717
612	OG0000612	YCR008W	snap_masked-Smik_3-processed-gene-1.9-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.9&CDS=1-1809
613	OG0000613	YCR009C	snap_masked-Smik_3-processed-gene-1.23-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.23&CDS=1-795
614	OG0000614	YCR010C	snap_masked-Smik_3-processed-gene-1.24-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.24&CDS=1-849
615	OG0000615	YCR011C	snap_masked-Smik_3-processed-gene-1.25-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.25&CDS=1-2970
616	OG0000616	YCR012W	augustus_masked-Smik_3-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-1.108&CDS=1-1248
617	OG0000617	YCR014C	augustus_masked-Smik_3-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-1.118&CDS=1-2619
618	OG0000618	YCR016W	augustus_masked-Smik_3-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-1.109&CDS=1-849
619	OG0000619	YCR017C	snap_masked-Smik_3-processed-gene-1.29-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.29&CDS=1-2862
620	OG0000620	YCR018C	genemark-Smik_3-processed-gene-1.86-mRNA-1_1&gene=genemark-Smik_3-processed-gene-1.86&CDS=1-663
621	OG0000621	YCR019W	snap_masked-Smik_3-processed-gene-1.11-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.11&CDS=1-1077
622	OG0000622	YCR020C	snap_masked-Smik_3-processed-gene-1.31-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.31&CDS=1-645
623	OG0000623	YCR020C-A	snap_masked-Smik_3-processed-gene-1.32-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.32&CDS=1-264
624	OG0000624	YCR020W-B	snap_masked-Smik_3-processed-gene-1.12-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.12&CDS=1-234
625	OG0000625	YCR021C	snap_masked-Smik_3-processed-gene-1.33-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.33&CDS=1-996
626	OG0000626	YCR023C	maker-Smik_3-augustus-gene-1.43-mRNA-1_1&gene=maker-Smik_3-augustus-gene-1.43&CDS=1-3300
627	OG0000627	YCR026C	snap_masked-Smik_3-processed-gene-1.36-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.36&CDS=1-2226
628	OG0000628	YCR027C	snap_masked-Smik_3-processed-gene-1.37-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.37&CDS=1-627
629	OG0000629	YCR028C	snap_masked-Smik_3-processed-gene-1.38-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.38&CDS=1-1545
630	OG0000630	YCR028C-A	snap_masked-Smik_3-processed-gene-1.39-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.39&CDS=1-435
631	OG0000631	YCR030C	genemark-Smik_3-processed-gene-1.95-mRNA-1_1&gene=genemark-Smik_3-processed-gene-1.95&CDS=1-2610
632	OG0000632	YCR032W	snap_masked-Smik_3-processed-gene-1.13-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.13&CDS=1-6498
633	OG0000633	YCR033W	snap_masked-Smik_3-processed-gene-1.14-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.14&CDS=1-3672
634	OG0000634	YCR034W	snap_masked-Smik_3-processed-gene-1.15-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-1.15&CDS=1-1041
635	OG0000635	YCR035C	snap_masked-Smik_3-processed-gene-2.110-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.110&CDS=1-1179
636	OG0000636	YCR036W	snap_masked-Smik_3-processed-gene-2.109-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.109&CDS=1-1002
637	OG0000637	YCR042C	snap_masked-Smik_3-processed-gene-2.114-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.114&CDS=1-4194
638	OG0000638	YCR045C	augustus_masked-Smik_3-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-2.24&CDS=1-3987
639	OG0000639	YCR048W	snap_masked-Smik_3-processed-gene-2.115-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.115&CDS=1-1812
640	OG0000640	YCR051W	snap_masked-Smik_3-processed-gene-2.116-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.116&CDS=1-738
641	OG0000641	YCR052W	snap_masked-Smik_3-processed-gene-2.117-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.117&CDS=1-1428
642	OG0000642	YCR053W	snap_masked-Smik_3-processed-gene-2.118-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.118&CDS=1-1542
643	OG0000643	YCR054C	snap_masked-Smik_3-processed-gene-2.150-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.150&CDS=1-1689
644	OG0000644	YCR057C	augustus_masked-Smik_3-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-2.26&CDS=1-3558
645	OG0000645	YCR060W	snap_masked-Smik_3-processed-gene-2.119-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.119&CDS=1-345
646	OG0000646	YCR061W	augustus_masked-Smik_3-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-2.8&CDS=1-1878
647	OG0000647	YCR063W	snap_masked-Smik_3-processed-gene-2.121-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.121&CDS=1-471
648	OG0000648	YCR065W	snap_masked-Smik_3-processed-gene-2.122-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.122&CDS=1-1683
649	OG0000649	YCR066W	snap_masked-Smik_3-processed-gene-2.123-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.123&CDS=1-1461
650	OG0000650	YCR067C	snap_masked-Smik_3-processed-gene-2.152-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.152&CDS=1-3096
651	OG0000651	YCR068W	augustus_masked-Smik_3-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-2.10&CDS=1-2421
652	OG0000652	YCR072C	augustus_masked-Smik_3-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-2.28&CDS=1-1887
653	OG0000653	YCR075C	augustus_masked-Smik_3-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-2.30&CDS=1-780
654	OG0000654	YCR075W-A	augustus_masked-Smik_3-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-2.12&CDS=1-225
655	OG0000655	YCR077C	augustus_masked-Smik_3-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-2.31&CDS=1-3090
656	OG0000656	YCR079W	augustus_masked-Smik_3-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-2.13&CDS=1-1326
657	OG0000657	YCR081W	augustus_masked-Smik_3-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-2.14&CDS=1-5040
658	OG0000658	YCR084C	snap_masked-Smik_3-processed-gene-2.158-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.158&CDS=1-2127
659	OG0000659	YCR086W	snap_masked-Smik_3-processed-gene-2.132-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.132&CDS=1-570
660	OG0000660	YCR087C-A	snap_masked-Smik_3-processed-gene-2.159-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.159&CDS=1-429
661	OG0000661	YCR088W	snap_masked-Smik_3-processed-gene-2.133-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.133&CDS=1-1773
662	OG0000662	YCR089W	genemark-Smik_3-processed-gene-2.72-mRNA-1_1&gene=genemark-Smik_3-processed-gene-2.72&CDS=1-5106
663	OG0000663	YCR090C	augustus_masked-Smik_3-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-2.34&CDS=1-546
664	OG0000664	YCR091W	augustus_masked-Smik_3-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-2.17&CDS=1-2157
665	OG0000665	YCR092C	snap_masked-Smik_3-processed-gene-2.160-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.160&CDS=1-3039
666	OG0000666	YCR093W	maker-Smik_3-snap-gene-2.44-mRNA-1_1&gene=maker-Smik_3-snap-gene-2.44&CDS=1-7389
667	OG0000667	YCR095C	snap_masked-Smik_3-processed-gene-2.161-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.161&CDS=1-1092
668	OG0000668	YCR098C	snap_masked-Smik_3-processed-gene-2.162-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.162&CDS=1-1554
669	OG0000669	YCR105W	snap_masked-Smik_3-processed-gene-2.138-mRNA-1_1&gene=snap_masked-Smik_3-processed-gene-2.138&CDS=1-1128
670	OG0000670	YDL001W	augustus_masked-Smik_4-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-Smik_4-processed-gene-4.57&CDS=1-1296
671	OG0000671	YDL002C	snap_masked-Smik_4-processed-gene-4.28-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.28&CDS=1-609
672	OG0000672	YDL003W	snap_masked-Smik_4-processed-gene-4.11-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.11&CDS=1-1698
673	OG0000673	YDL004W	snap_masked-Smik_4-processed-gene-4.10-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.10&CDS=1-480
674	OG0000674	YDL005C	snap_masked-Smik_4-processed-gene-4.27-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.27&CDS=1-1320
675	OG0000675	YDL006W	augustus_masked-Smik_4-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-Smik_4-processed-gene-4.54&CDS=1-843
676	OG0000676	YDL007W	augustus_masked-Smik_4-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-Smik_4-processed-gene-4.53&CDS=1-1311
677	OG0000677	YDL008W	snap_masked-Smik_4-processed-gene-4.8-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.8&CDS=1-495
678	OG0000678	YDL010W	snap_masked-Smik_4-processed-gene-4.7-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.7&CDS=1-696
679	OG0000679	YDL012C	genemark-Smik_4-processed-gene-4.117-mRNA-1_1&gene=genemark-Smik_4-processed-gene-4.117&CDS=1-318
680	OG0000680	YDL013W	genemark-Smik_4-processed-gene-4.93-mRNA-1_1&gene=genemark-Smik_4-processed-gene-4.93&CDS=1-1857
681	OG0000681	YDL014W	snap_masked-Smik_4-processed-gene-4.5-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.5&CDS=1-990
682	OG0000682	YDL015C	augustus_masked-Smik_4-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-Smik_4-processed-gene-4.72&CDS=1-930
683	OG0000683	YDL017W	snap_masked-Smik_4-processed-gene-4.4-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.4&CDS=1-1521
684	OG0000684	YDL018C	snap_masked-Smik_4-processed-gene-4.26-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.26&CDS=1-675
685	OG0000685	YDL020C	snap_masked-Smik_4-processed-gene-4.2-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.2&CDS=1-1650
686	OG0000686	YDL021W	snap_masked-Smik_4-processed-gene-4.1-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-4.1&CDS=1-933
687	OG0000687	YDL028C	maker-Smik_4-snap-gene-3.84-mRNA-1_1&gene=maker-Smik_4-snap-gene-3.84&CDS=1-5070
688	OG0000688	YDL031W	genemark-Smik_4-processed-gene-3.54-mRNA-1_1&gene=genemark-Smik_4-processed-gene-3.54&CDS=1-5730
689	OG0000689	YDL033C	snap_masked-Smik_4-processed-gene-3.131-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-3.131&CDS=1-1242
690	OG0000690	YDL035C	snap_masked-Smik_4-processed-gene-3.130-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-3.130&CDS=1-2796
691	OG0000691	YDL036C	snap_masked-Smik_4-processed-gene-3.129-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-3.129&CDS=1-1392
692	OG0000692	YDL037C	augustus_masked-Smik_4-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-Smik_4-processed-gene-3.30&CDS=1-2988
693	OG0000693	YDL040C	snap_masked-Smik_4-processed-gene-3.127-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-3.127&CDS=1-2562
694	OG0000694	YDL042C	snap_masked-Smik_4-processed-gene-3.126-mRNA-1_1&gene=snap_masked-Smik_4-processed-gene-3.126&CDS=1-1695
695	OG0000695	YDL043C	genemark-Smik_4-processed-gene-3.69-mRNA-1_1&gene=genemark-Smik_4-processed-gene-3.69&CDS=1-798
