	OrthologID	Lachancea_cidri	Saccharomyces_cerevisiae
1059	OG0001059	snap_masked-LACI0D-processed-gene-5.82-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.82&CDS=1-576	YPR037C
1060	OG0001060	snap_masked-LACI0D-processed-gene-5.64-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.64&CDS=1-1047	YPR040W
1061	OG0001061	snap_masked-LACI0D-processed-gene-5.83-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.83&CDS=1-855	YJR088C
1062	OG0001062	snap_masked-LACI0D-processed-gene-5.65-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.65&CDS=1-1197	YPR041W
1063	OG0001063	augustus_masked-LACI0D-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-5.16&CDS=1-2772	YJR089W
1064	OG0001064	snap_masked-LACI0D-processed-gene-5.84-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.84&CDS=1-3099	YJR090C
1065	OG0001065	snap_masked-LACI0D-processed-gene-5.85-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.85&CDS=1-3099	YJR091C
1066	OG0001066	augustus_masked-LACI0D-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-5.17&CDS=1-4101	YJR092W
1067	OG0001067	snap_masked-LACI0D-processed-gene-5.86-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.86&CDS=1-789	YJR093C
1068	OG0001068	snap_masked-LACI0D-processed-gene-5.68-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.68&CDS=1-372	YHR059W
1069	OG0001069	genemark-LACI0D-processed-gene-5.146-mRNA-1_1&gene=genemark-LACI0D-processed-gene-5.146&CDS=1-1758	YDR306C
1070	OG0001070	augustus_masked-LACI0D-processed-gene-5.19-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-5.19&CDS=1-1971	YDR307W
1071	OG0001071	snap_masked-LACI0D-processed-gene-5.90-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.90&CDS=1-438	YDR308C
1072	OG0001072	snap_masked-LACI0D-processed-gene-5.70-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.70&CDS=1-522	YHR060W
1073	OG0001073	augustus_masked-LACI0D-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-5.37&CDS=1-1098	YDR309C
1074	OG0001074	snap_masked-LACI0D-processed-gene-5.93-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.93&CDS=1-867	YHR062C
1075	OG0001075	genemark-LACI0D-processed-gene-5.152-mRNA-1_1&gene=genemark-LACI0D-processed-gene-5.152&CDS=1-2547	YDR310C
1076	OG0001076	snap_masked-LACI0D-processed-gene-5.95-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.95&CDS=1-1122	YHR063C
1077	OG0001077	snap_masked-LACI0D-processed-gene-5.71-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.71&CDS=1-1848	YDR311W
1078	OG0001078	augustus_masked-LACI0D-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-5.23&CDS=1-1701	YJR046W
1079	OG0001079	snap_masked-LACI0D-processed-gene-5.102-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.102&CDS=1-3621	YEL031W
1080	OG0001080	snap_masked-LACI0D-processed-gene-5.103-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.103&CDS=1-2841	YEL032W
1081	OG0001081	snap_masked-LACI0D-processed-gene-5.74-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.74&CDS=1-1329	YEL036C
1082	OG0001082	snap_masked-LACI0D-processed-gene-5.75-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.75&CDS=1-1185	YEL037C
1083	OG0001083	snap_masked-LACI0D-processed-gene-5.106-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.106&CDS=1-660	YEL038W
1084	OG0001084	snap_masked-LACI0D-processed-gene-5.76-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-5.76&CDS=1-330	YJR048W
1085	OG0001085	snap_masked-LACI0D-processed-gene-6.49-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.49&CDS=1-1596	YEL042W
1086	OG0001086	snap_masked-LACI0D-processed-gene-6.50-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.50&CDS=1-1713	YIL162W
1087	OG0001087	snap_masked-LACI0D-processed-gene-6.46-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.46&CDS=1-801	YJR050W
1088	OG0001088	augustus_masked-LACI0D-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-6.7&CDS=1-2844	YEL043W
1089	OG0001089	snap_masked-LACI0D-processed-gene-6.52-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.52&CDS=1-1155	YEL046C
1090	OG0001090	snap_masked-LACI0D-processed-gene-6.53-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.53&CDS=1-1404	YEL047C
1091	OG0001091	snap_masked-LACI0D-processed-gene-6.54-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.54&CDS=1-423	YEL048C
1092	OG0001092	snap_masked-LACI0D-processed-gene-6.55-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.55&CDS=1-1710	YJR052W
1093	OG0001093	snap_masked-LACI0D-processed-gene-6.76-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.76&CDS=1-1896	YML046W
1094	OG0001094	augustus_masked-LACI0D-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-6.12&CDS=1-1635	YJR053W
1095	OG0001095	snap_masked-LACI0D-processed-gene-6.57-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.57&CDS=1-1617	YJR054W
1096	OG0001096	snap_masked-LACI0D-processed-gene-6.59-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.59&CDS=1-723	YIR042C
1097	OG0001097	snap_masked-LACI0D-processed-gene-6.78-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.78&CDS=1-1158	YML048W
1098	OG0001098	snap_masked-LACI0D-processed-gene-6.61-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.61&CDS=1-3882	YML049C
1099	OG0001099	snap_masked-LACI0D-processed-gene-6.79-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.79&CDS=1-984	YML050W
1100	OG0001100	augustus_masked-LACI0D-processed-gene-6.18-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-6.18&CDS=1-462	YJR055W
1101	OG0001101	snap_masked-LACI0D-processed-gene-6.80-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.80&CDS=1-1278	YML051W
1102	OG0001102	snap_masked-LACI0D-processed-gene-6.81-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.81&CDS=1-879	YML052W
1103	OG0001103	augustus_masked-LACI0D-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-6.36&CDS=1-498	YJR056C
1104	OG0001104	augustus_masked-LACI0D-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-6.20&CDS=1-639	YJR057W
1105	OG0001105	snap_masked-LACI0D-processed-gene-6.83-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.83&CDS=1-645	YJR058C
1106	OG0001106	genemark-LACI0D-processed-gene-6.114-mRNA-1_1&gene=genemark-LACI0D-processed-gene-6.114&CDS=1-3054	YKL197C
1107	OG0001107	snap_masked-LACI0D-processed-gene-6.66-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.66&CDS=1-741	YJR060W
1108	OG0001108	augustus_masked-LACI0D-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-6.37&CDS=1-1257	YJR062C
1109	OG0001109	augustus_masked-LACI0D-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-6.24&CDS=1-2043	YJR064W
1110	OG0001110	snap_masked-LACI0D-processed-gene-6.86-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.86&CDS=1-1353	YJR065C
1111	OG0001111	snap_masked-LACI0D-processed-gene-6.70-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.70&CDS=1-7425	YKL203C
1112	OG0001112	snap_masked-LACI0D-processed-gene-6.87-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.87&CDS=1-426	YJR067C
1113	OG0001113	snap_masked-LACI0D-processed-gene-6.71-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.71&CDS=1-1065	YJR068W
1114	OG0001114	augustus_masked-LACI0D-processed-gene-6.41-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-6.41&CDS=1-1731	YKL204W
1115	OG0001115	snap_masked-LACI0D-processed-gene-6.89-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.89&CDS=1-3153	YKL205W
1116	OG0001116	snap_masked-LACI0D-processed-gene-6.90-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.90&CDS=1-582	YJR069C
1117	OG0001117	snap_masked-LACI0D-processed-gene-6.91-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.91&CDS=1-966	YJR070C
1118	OG0001118	augustus_masked-LACI0D-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-6.27&CDS=1-816	YKL206C
1119	OG0001119	augustus_masked-LACI0D-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-6.45&CDS=1-1884	YJR072C
1120	OG0001120	augustus_masked-LACI0D-processed-gene-7.8-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-7.8&CDS=1-1506	YGR211W
1121	OG0001121	snap_masked-LACI0D-processed-gene-7.50-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.50&CDS=1-1374	YGR212W
1122	OG0001122	snap_masked-LACI0D-processed-gene-7.54-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.54&CDS=1-2061	YLR047C
1123	OG0001123	snap_masked-LACI0D-processed-gene-7.55-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.55&CDS=1-1818	YGR216C
1124	OG0001124	snap_masked-LACI0D-processed-gene-7.56-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.56&CDS=1-6039	YGR217W
1125	OG0001125	augustus_masked-LACI0D-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-7.15&CDS=1-3252	YGR218W
1126	OG0001126	augustus_masked-LACI0D-processed-gene-7.31-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-7.31&CDS=1-816	YGR220C
1127	OG0001127	snap_masked-LACI0D-processed-gene-7.75-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.75&CDS=1-651	YHR147C
1128	OG0001128	snap_masked-LACI0D-processed-gene-7.58-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.58&CDS=1-1092	YML131W
1129	OG0001129	snap_masked-LACI0D-processed-gene-7.59-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.59&CDS=1-399	YCL012C
1130	OG0001130	snap_masked-LACI0D-processed-gene-7.76-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.76&CDS=1-4653	YCL014W
1131	OG0001131	snap_masked-LACI0D-processed-gene-7.60-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.60&CDS=1-1125	YCL016C
1132	OG0001132	snap_masked-LACI0D-processed-gene-7.77-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.77&CDS=1-822	YNL003C
1133	OG0001133	augustus_masked-LACI0D-processed-gene-7.18-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-7.18&CDS=1-1434	YCL017C
1134	OG0001134	snap_masked-LACI0D-processed-gene-7.78-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.78&CDS=1-1092	YCL018W
1135	OG0001135	snap_masked-LACI0D-processed-gene-7.79-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.79&CDS=1-927	YNL002C
1136	OG0001136	snap_masked-LACI0D-processed-gene-7.62-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.62&CDS=1-2112	YLR176C
1137	OG0001137	snap_masked-LACI0D-processed-gene-7.80-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.80&CDS=1-909	YNL006W
1138	OG0001138	snap_masked-LACI0D-processed-gene-7.63-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.63&CDS=1-1101	YNL007C
1139	OG0001139	snap_masked-LACI0D-processed-gene-7.81-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.81&CDS=1-1443	YLR175W
1140	OG0001140	snap_masked-LACI0D-processed-gene-7.82-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.82&CDS=1-1308	YCL008C
1141	OG0001141	snap_masked-LACI0D-processed-gene-7.84-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.84&CDS=1-711	YNL010W
1142	OG0001142	snap_masked-LACI0D-processed-gene-7.64-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.64&CDS=1-1350	YNL011C
1143	OG0001143	snap_masked-LACI0D-processed-gene-7.85-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.85&CDS=1-696	YLR250W
1144	OG0001144	snap_masked-LACI0D-processed-gene-7.86-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.86&CDS=1-2082	YNL012W
1145	OG0001145	snap_masked-LACI0D-processed-gene-7.87-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.87&CDS=1-3132	YNL014W
1146	OG0001146	snap_masked-LACI0D-processed-gene-7.88-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.88&CDS=1-1674	YLR248W
1147	OG0001147	snap_masked-LACI0D-processed-gene-7.65-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.65&CDS=1-4332	YLR247C
1148	OG0001148	genemark-LACI0D-processed-gene-7.135-mRNA-1_1&gene=genemark-LACI0D-processed-gene-7.135&CDS=1-468	YLR170C
1149	OG0001149	augustus_masked-LACI0D-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-7.45&CDS=1-897	YLR172C
1150	OG0001150	snap_masked-LACI0D-processed-gene-7.66-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.66&CDS=1-1812	YLR173W
1151	OG0001151	snap_masked-LACI0D-processed-gene-7.92-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.92&CDS=1-1695	YOL015W
1152	OG0001152	augustus_masked-LACI0D-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-7.25&CDS=1-597	YLR251W
1153	OG0001153	augustus_masked-LACI0D-processed-gene-7.26-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-7.26&CDS=1-1713	YLR253W
1154	OG0001154	snap_masked-LACI0D-processed-gene-7.94-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.94&CDS=1-993	YGL159W
1155	OG0001155	snap_masked-LACI0D-processed-gene-7.69-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.69&CDS=1-3570	YLR256W
1156	OG0001156	augustus_masked-LACI0D-processed-gene-7.48-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-7.48&CDS=1-1590	YGL160W
1157	OG0001157	augustus_masked-LACI0D-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-7.29&CDS=1-3714	YLR257W
1158	OG0001158	snap_masked-LACI0D-processed-gene-8.46-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.46&CDS=1-2124	YLR258W
1159	OG0001159	snap_masked-LACI0D-processed-gene-8.47-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.47&CDS=1-1281	YOL016C
1160	OG0001160	snap_masked-LACI0D-processed-gene-8.48-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.48&CDS=1-2277	YFR013W
1161	OG0001161	snap_masked-LACI0D-processed-gene-8.50-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.50&CDS=1-1920	YFR029W
1162	OG0001162	augustus_masked-LACI0D-processed-gene-8.28-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-8.28&CDS=1-1080	YJL046W
1163	OG0001163	snap_masked-LACI0D-processed-gene-8.51-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.51&CDS=1-819	YBR257W
1164	OG0001164	snap_masked-LACI0D-processed-gene-8.76-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.76&CDS=1-399	YBR258C
1165	OG0001165	snap_masked-LACI0D-processed-gene-8.52-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.52&CDS=1-4110	YJL047C
1166	OG0001166	snap_masked-LACI0D-processed-gene-8.77-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.77&CDS=1-2127	YBR260C
1167	OG0001167	genemark-LACI0D-processed-gene-8.127-mRNA-1_1&gene=genemark-LACI0D-processed-gene-8.127&CDS=1-918	YBR261C
1168	OG0001168	augustus_masked-LACI0D-processed-gene-8.10-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-8.10&CDS=1-1470	YBR283C
1169	OG0001169	augustus_masked-LACI0D-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-8.32&CDS=1-2082	YJL069C
1170	OG0001170	snap_masked-LACI0D-processed-gene-8.54-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.54&CDS=1-2604	YBR281C
1171	OG0001171	snap_masked-LACI0D-processed-gene-8.55-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.55&CDS=1-1824	YBR280C
1172	OG0001172	snap_masked-LACI0D-processed-gene-8.81-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.81&CDS=1-885	YJL068C
1173	OG0001173	snap_masked-LACI0D-processed-gene-8.82-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.82&CDS=1-1269	YBR279W
1174	OG0001174	genemark-LACI0D-processed-gene-8.134-mRNA-1_1&gene=genemark-LACI0D-processed-gene-8.134&CDS=1-417	YJL065C
1175	OG0001175	augustus_masked-LACI0D-processed-gene-8.13-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-8.13&CDS=1-2310	YBR276C
1176	OG0001176	snap_masked-LACI0D-processed-gene-8.57-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.57&CDS=1-264	YJL062W-A
1177	OG0001177	snap_masked-LACI0D-processed-gene-8.58-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.58&CDS=1-930	YBR265W
1178	OG0001178	snap_masked-LACI0D-processed-gene-8.59-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.59&CDS=1-1167	YBR267W
1179	OG0001179	augustus_masked-LACI0D-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-8.17&CDS=1-4242	YJL062W
1180	OG0001180	snap_masked-LACI0D-processed-gene-8.87-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.87&CDS=1-396	YBR269C
1181	OG0001181	snap_masked-LACI0D-processed-gene-8.63-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.63&CDS=1-1287	YJL060W
1182	OG0001182	snap_masked-LACI0D-processed-gene-8.64-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.64&CDS=1-1206	YJL059W
1183	OG0001183	maker-LACI0D-augustus-gene-8.150-mRNA-1_1&gene=maker-LACI0D-augustus-gene-8.150&CDS=1-3327	YJL057C
1184	OG0001184	snap_masked-LACI0D-processed-gene-8.65-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.65&CDS=1-1236	YBR271W
1185	OG0001185	augustus_masked-LACI0D-processed-gene-8.38-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-8.38&CDS=1-1977	YJL056C
1186	OG0001186	snap_masked-LACI0D-processed-gene-8.67-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.67&CDS=1-726	YJL055W
1187	OG0001187	snap_masked-LACI0D-processed-gene-8.69-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.69&CDS=1-1473	YJL054W
1188	OG0001188	snap_masked-LACI0D-processed-gene-8.70-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.70&CDS=1-936	YJL053W
1189	OG0001189	snap_masked-LACI0D-processed-gene-8.71-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.71&CDS=1-2274	YJL051W
1190	OG0001190	snap_masked-LACI0D-processed-gene-8.72-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.72&CDS=1-3231	YJL050W
1191	OG0001191	snap_masked-LACI0D-processed-gene-8.90-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.90&CDS=1-1440	YBR272C
1192	OG0001192	snap_masked-LACI0D-processed-gene-8.73-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.73&CDS=1-1272	YJL049W
1193	OG0001193	augustus_masked-LACI0D-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-8.40&CDS=1-1206	YBR273C
1194	OG0001194	maker-LACI0D-snap-gene-8.44-mRNA-1_1&gene=maker-LACI0D-snap-gene-8.44&CDS=1-1557	YBR274W
1195	OG0001195	snap_masked-LACI0D-processed-gene-8.92-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.92&CDS=1-5589	YBR275C
1196	OG0001196	augustus_masked-LACI0D-processed-gene-8.27-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-8.27&CDS=1-594	YBR264C
1197	OG0001197	snap_masked-LACI0D-processed-gene-9.52-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.52&CDS=1-2082	YMR078C
1198	OG0001198	snap_masked-LACI0D-processed-gene-9.49-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.49&CDS=1-903	YMR079W
1199	OG0001199	snap_masked-LACI0D-processed-gene-9.50-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.50&CDS=1-3189	YKL092C
1200	OG0001200	snap_masked-LACI0D-processed-gene-9.53-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.53&CDS=1-2964	YMR080C
1201	OG0001201	augustus_masked-LACI0D-processed-gene-9.4-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-9.4&CDS=1-858	YMR081C
1202	OG0001202	snap_masked-LACI0D-processed-gene-9.77-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.77&CDS=1-987	YKL094W
1203	OG0001203	snap_masked-LACI0D-processed-gene-9.78-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.78&CDS=1-822	YKL095W
1204	OG0001204	snap_masked-LACI0D-processed-gene-9.80-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.80&CDS=1-822	YKL096W
1205	OG0001205	snap_masked-LACI0D-processed-gene-9.81-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.81&CDS=1-852	YKL098W
1206	OG0001206	snap_masked-LACI0D-processed-gene-9.56-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.56&CDS=1-1512	YKL103C
1207	OG0001207	snap_masked-LACI0D-processed-gene-9.57-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.57&CDS=1-2103	YKL104C
1208	OG0001208	snap_masked-LACI0D-processed-gene-9.58-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.58&CDS=1-2382	YMR086W
1209	OG0001209	snap_masked-LACI0D-processed-gene-9.83-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.83&CDS=1-1278	YKL106W
1210	OG0001210	snap_masked-LACI0D-processed-gene-9.59-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.59&CDS=1-741	YMR087W
1211	OG0001211	snap_masked-LACI0D-processed-gene-9.84-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.84&CDS=1-1683	YMR088C
1212	OG0001212	snap_masked-LACI0D-processed-gene-9.87-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.87&CDS=1-1806	YMR092C
1213	OG0001213	snap_masked-LACI0D-processed-gene-9.60-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.60&CDS=1-1521	YMR093W
1214	OG0001214	snap_masked-LACI0D-processed-gene-9.88-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.88&CDS=1-1011	YKL108W
1215	OG0001215	snap_masked-LACI0D-processed-gene-9.61-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.61&CDS=1-1269	YMR094W
1216	OG0001216	genemark-LACI0D-processed-gene-9.140-mRNA-1_1&gene=genemark-LACI0D-processed-gene-9.140&CDS=1-1194	YMR097C
1217	OG0001217	snap_masked-LACI0D-processed-gene-9.64-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.64&CDS=1-930	YKL110C
1218	OG0001218	snap_masked-LACI0D-processed-gene-9.90-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.90&CDS=1-1800	YMR098C
1219	OG0001219	snap_masked-LACI0D-processed-gene-9.91-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.91&CDS=1-1278	YKL112W
1220	OG0001220	maker-LACI0D-augustus-gene-9.151-mRNA-1_1&gene=maker-LACI0D-augustus-gene-9.151&CDS=1-2178	YKL113C
1221	OG0001221	snap_masked-LACI0D-processed-gene-9.67-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.67&CDS=1-1530	YKL116C
1222	OG0001222	snap_masked-LACI0D-processed-gene-9.68-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.68&CDS=1-888	YMR099C
1223	OG0001223	snap_masked-LACI0D-processed-gene-9.92-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.92&CDS=1-750	YKL117W
1224	OG0001224	snap_masked-LACI0D-processed-gene-9.69-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.69&CDS=1-1527	YKL124W
1225	OG0001225	snap_masked-LACI0D-processed-gene-9.93-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.93&CDS=1-396	YKL122C
1226	OG0001226	snap_masked-LACI0D-processed-gene-9.71-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.71&CDS=1-975	YKL120W
1227	OG0001227	snap_masked-LACI0D-processed-gene-9.72-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.72&CDS=1-1107	YMR101C
1228	OG0001228	snap_masked-LACI0D-processed-gene-9.94-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.94&CDS=1-606	YKL119C
1229	OG0001229	snap_masked-LACI0D-processed-gene-9.73-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.73&CDS=1-1776	YMR100W
1230	OG0001230	snap_masked-LACI0D-processed-gene-9.97-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.97&CDS=1-1785	YMR106C
1231	OG0001231	snap_masked-LACI0D-processed-gene-9.99-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.99&CDS=1-1101	YBR018C
1232	OG0001232	snap_masked-LACI0D-processed-gene-9.76-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.76&CDS=1-543	YBR022W
1233	OG0001233	maker-LACI0D-snap-gene-10.169-mRNA-1_1&gene=maker-LACI0D-snap-gene-10.169&CDS=1-3249	YBR023C
