	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034952_Citeromyces_siamensis
197	OG0000197	YDL127W, YDL179W	augustus_masked-scf7180000059939-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scf7180000059939-processed-gene-0.35&CDS=1-837, genemark-scf7180000054615-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000054615-processed-gene-0.1&CDS=1-756
198	OG0000198	YDL145C, YER050C	augustus_masked-scf7180000060144-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000060144-processed-gene-0.4&CDS=1-504, maker-scf7180000061081-augustus-gene-0.32-mRNA-1_1&gene=maker-scf7180000061081-augustus-gene-0.32&CDS=1-3924
199	OG0000199	YDL195W	augustus_masked-scf7180000059707-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000059707-processed-gene-0.3&CDS=1-3522, snap_masked-scf7180000055838-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000055838-processed-gene-0.2&CDS=1-1008, snap_masked-scf7180000060212-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000060212-processed-gene-0.1&CDS=1-495
200	OG0000200	YDL206W	augustus_masked-scf7180000053555-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000053555-processed-gene-0.6&CDS=1-1680, augustus_masked-scf7180000059739-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000059739-processed-gene-0.17&CDS=1-1740, snap_masked-scf7180000060457-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000060457-processed-gene-0.1&CDS=1-1203
201	OG0000201	YDL222C, YNL194C	augustus_masked-scf7180000061628-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000061628-processed-gene-0.7&CDS=1-825, snap_masked-scf7180000060667-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000060667-processed-gene-0.0&CDS=1-207
202	OG0000202	YDL224C, YNL197C	augustus_masked-scf7180000054427-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000054427-processed-gene-0.5&CDS=1-1404, augustus_masked-scf7180000060236-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000060236-processed-gene-0.2&CDS=1-1116
203	OG0000203	YDL225W	augustus_masked-scf7180000054427-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000054427-processed-gene-0.7&CDS=1-1575, augustus_masked-scf7180000056601-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000056601-processed-gene-0.2&CDS=1-1041, augustus_masked-scf7180000058733-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000058733-processed-gene-0.0&CDS=1-489
204	OG0000204	YDL233W	genemark-scf7180000058782-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000058782-processed-gene-0.2&CDS=1-540, genemark-scf7180000061703-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000061703-processed-gene-0.1&CDS=1-885, snap_masked-scf7180000056965-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000056965-processed-gene-0.1&CDS=1-336
205	OG0000205	YDL238C	augustus_masked-scf7180000054010-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000054010-processed-gene-0.8&CDS=1-924, augustus_masked-scf7180000054432-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scf7180000054432-processed-gene-0.33&CDS=1-1350, genemark-scf7180000059676-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000059676-processed-gene-0.3&CDS=1-1368
206	OG0000206	YDL246C, YJR159W	augustus_masked-scf7180000056862-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000056862-processed-gene-0.2&CDS=1-756, augustus_masked-scf7180000059760-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000059760-processed-gene-0.45&CDS=1-1092
207	OG0000207	YDR017C	augustus_masked-scf7180000061724-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000061724-processed-gene-0.6&CDS=1-2118, genemark-scf7180000059805-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000059805-processed-gene-0.2&CDS=1-603, snap_masked-scf7180000055448-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000055448-processed-gene-0.0&CDS=1-744
208	OG0000208	YDR027C	augustus_masked-scf7180000054463-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000054463-processed-gene-0.9&CDS=1-3054, augustus_masked-scf7180000055582-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000055582-processed-gene-0.1&CDS=1-711, snap_masked-scf7180000056254-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000056254-processed-gene-0.2&CDS=1-675
209	OG0000209	YDR038C, YDR039C, YDR040C	augustus_masked-scf7180000061125-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000061125-processed-gene-0.3&CDS=1-3135
210	OG0000210	YDR080W	augustus_masked-scf7180000057854-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000057854-processed-gene-0.2&CDS=1-414, snap_masked-scf7180000054558-processed-gene-0.15-mRNA-1_1&gene=snap_masked-scf7180000054558-processed-gene-0.15&CDS=1-2631, snap_masked-scf7180000057832-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000057832-processed-gene-0.2&CDS=1-1119
211	OG0000211	YDR098C, YER174C	augustus_masked-scf7180000055233-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055233-processed-gene-0.2&CDS=1-567, maker-scf7180000053854-augustus-gene-0.3-mRNA-1_1&gene=maker-scf7180000053854-augustus-gene-0.3&CDS=1-978
212	OG0000212	YDR108W	augustus_masked-scf7180000059483-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000059483-processed-gene-0.0&CDS=1-405, snap_masked-scf7180000053598-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000053598-processed-gene-0.3&CDS=1-1833, snap_masked-scf7180000056897-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000056897-processed-gene-0.0&CDS=1-381
213	OG0000213	YDR122W, YLR096W	augustus_masked-scf7180000053611-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000053611-processed-gene-0.4&CDS=1-2916, genemark-scf7180000055723-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000055723-processed-gene-0.0&CDS=1-1152
214	OG0000214	YDR126W	genemark-scf7180000053575-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000053575-processed-gene-0.6&CDS=1-1434, genemark-scf7180000056031-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000056031-processed-gene-0.4&CDS=1-1131, snap_masked-scf7180000060980-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000060980-processed-gene-0.2&CDS=1-249
215	OG0000215	YDR132C, YLR108C	genemark-scf7180000061386-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000061386-processed-gene-0.2&CDS=1-1056, snap_masked-scf7180000055962-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scf7180000055962-processed-gene-0.12&CDS=1-1137
216	OG0000216	YDR151C, YLR136C	augustus_masked-scf7180000055720-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000055720-processed-gene-0.3&CDS=1-609, augustus_masked-scf7180000060101-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000060101-processed-gene-0.8&CDS=1-609
217	OG0000217	YDR164C	augustus_masked-scf7180000055962-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scf7180000055962-processed-gene-0.29&CDS=1-2064, augustus_masked-scf7180000058818-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000058818-processed-gene-0.2&CDS=1-486, maker-scf7180000058240-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000058240-snap-gene-0.0&CDS=1-1227
218	OG0000218	YDR166C	augustus_masked-scf7180000059996-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000059996-processed-gene-0.2&CDS=1-825, augustus_masked-scf7180000060238-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000060238-processed-gene-0.1&CDS=1-1152, augustus_masked-scf7180000060756-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000060756-processed-gene-0.2&CDS=1-2391
219	OG0000219	YDR200C, YLR238W	augustus_masked-scf7180000060603-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000060603-processed-gene-0.28&CDS=1-963, snap_masked-scf7180000058476-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000058476-processed-gene-0.1&CDS=1-333
220	OG0000220	YDR206W, YLR233C	snap_masked-scf7180000056924-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000056924-processed-gene-0.1&CDS=1-1437, snap_masked-scf7180000057808-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000057808-processed-gene-0.1&CDS=1-900
221	OG0000221	YDR228C	augustus_masked-scf7180000055892-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000055892-processed-gene-0.4&CDS=1-753, maker-scf7180000055416-augustus-gene-0.1-mRNA-1_1&gene=maker-scf7180000055416-augustus-gene-0.1&CDS=1-1737, snap_masked-scf7180000055369-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000055369-processed-gene-0.0&CDS=1-783
222	OG0000222	YDR231C	augustus_masked-scf7180000055446-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000055446-processed-gene-0.6&CDS=1-288, augustus_masked-scf7180000059815-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000059815-processed-gene-0.13&CDS=1-456, snap_masked-scf7180000056287-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000056287-processed-gene-0.0&CDS=1-195
223	OG0000223	YDR235W	augustus_masked-scf7180000053840-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000053840-processed-gene-0.5&CDS=1-1416, augustus_masked-scf7180000056366-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000056366-processed-gene-0.1&CDS=1-675, genemark-scf7180000055001-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000055001-processed-gene-0.1&CDS=1-141
224	OG0000224	YDR242W	augustus_masked-scf7180000053542-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000053542-processed-gene-0.16&CDS=1-1611, augustus_masked-scf7180000059802-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000059802-processed-gene-0.0&CDS=1-1611, augustus_masked-scf7180000060303-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000060303-processed-gene-0.2&CDS=1-1656
225	OG0000225	YDR247W, YPL026C	augustus_masked-scf7180000059611-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scf7180000059611-processed-gene-0.33&CDS=1-2658, snap_masked-scf7180000056157-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000056157-processed-gene-0.2&CDS=1-912
226	OG0000226	YDR254W	augustus_masked-scf7180000053830-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000053830-processed-gene-0.2&CDS=1-1323, snap_masked-scf7180000058004-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000058004-processed-gene-0.1&CDS=1-501, snap_masked-scf7180000060849-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000060849-processed-gene-0.1&CDS=1-1053
227	OG0000227	YDR255C	augustus_masked-scf7180000055429-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055429-processed-gene-0.0&CDS=1-1161, augustus_masked-scf7180000056680-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000056680-processed-gene-0.1&CDS=1-504, genemark-scf7180000054659-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000054659-processed-gene-0.0&CDS=1-351
228	OG0000228	YDR259C, YOR028C	augustus_masked-scf7180000054182-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054182-processed-gene-0.0&CDS=1-567, augustus_masked-scf7180000055455-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055455-processed-gene-0.2&CDS=1-624
229	OG0000229	YDR263C, YOR033C	augustus_masked-scf7180000054519-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054519-processed-gene-0.2&CDS=1-1575, augustus_masked-scf7180000059779-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000059779-processed-gene-0.3&CDS=1-1590
230	OG0000230	YDR272W, YOR040W	augustus_masked-scf7180000057875-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000057875-processed-gene-0.0&CDS=1-555, snap_masked-scf7180000061543-processed-gene-0.13-mRNA-1_1&gene=snap_masked-scf7180000061543-processed-gene-0.13&CDS=1-759
231	OG0000231	YDR300C, YHR033W	augustus_masked-scf7180000055550-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000055550-processed-gene-0.9&CDS=1-1422, genemark-scf7180000060512-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000060512-processed-gene-0.2&CDS=1-864
232	OG0000232	YDR312W, YHR066W	augustus_masked-scf7180000060357-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scf7180000060357-processed-gene-0.35&CDS=1-1194, maker-scf7180000057774-snap-gene-0.6-mRNA-1_1&gene=maker-scf7180000057774-snap-gene-0.6&CDS=1-1119
233	OG0000233	YDR326C, YHR080C	augustus_masked-scf7180000055578-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000055578-processed-gene-0.1&CDS=1-1698, snap_masked-scf7180000061724-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scf7180000061724-processed-gene-0.28&CDS=1-2325
234	OG0000234	YDR328C	genemark-scf7180000057821-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000057821-processed-gene-0.3&CDS=1-378, snap_masked-scf7180000057821-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000057821-processed-gene-0.1&CDS=1-624, snap_masked-scf7180000061724-processed-gene-0.27-mRNA-1_1&gene=snap_masked-scf7180000061724-processed-gene-0.27&CDS=1-1701
235	OG0000235	YDR342C, YDR343C, YHR092C	augustus_masked-scf7180000053657-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000053657-processed-gene-0.12&CDS=1-1611
236	OG0000236	YDR348C, YHR097C	genemark-scf7180000055464-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000055464-processed-gene-0.6&CDS=1-969, snap_masked-scf7180000056228-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000056228-processed-gene-0.1&CDS=1-966
237	OG0000237	YDR349C	augustus_masked-scf7180000058585-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000058585-processed-gene-0.1&CDS=1-855, augustus_masked-scf7180000061115-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000061115-processed-gene-0.3&CDS=1-1638, snap_masked-scf7180000053732-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000053732-processed-gene-0.1&CDS=1-588
238	OG0000238	YDR351W, YHR103W	snap_masked-scf7180000053592-processed-gene-0.15-mRNA-1_1&gene=snap_masked-scf7180000053592-processed-gene-0.15&CDS=1-1746, snap_masked-scf7180000055634-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000055634-processed-gene-0.3&CDS=1-1536
239	OG0000239	YDR359C	augustus_masked-scf7180000054298-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000054298-processed-gene-0.10&CDS=1-2391, augustus_masked-scf7180000060958-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000060958-processed-gene-0.1&CDS=1-600, genemark-scf7180000060803-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000060803-processed-gene-0.5&CDS=1-1383
240	OG0000240	YDR368W, YOR120W	augustus_masked-scf7180000053619-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000053619-processed-gene-0.7&CDS=1-891, augustus_masked-scf7180000054536-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054536-processed-gene-0.0&CDS=1-585
241	OG0000241	YDR390C	augustus_masked-scf7180000055450-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000055450-processed-gene-0.4&CDS=1-1638, genemark-scf7180000060076-processed-gene-0.20-mRNA-1_1&gene=genemark-scf7180000060076-processed-gene-0.20&CDS=1-1620, snap_masked-scf7180000054424-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000054424-processed-gene-0.3&CDS=1-1722
242	OG0000242	YDR400W, YOL032W	maker-scf7180000059869-augustus-gene-0.20-mRNA-1_1&gene=maker-scf7180000059869-augustus-gene-0.20&CDS=1-2568, maker-scf7180000061038-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000061038-augustus-gene-0.0&CDS=1-582
243	OG0000243	YDR416W	augustus_masked-scf7180000056503-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000056503-processed-gene-0.1&CDS=1-138, augustus_masked-scf7180000057720-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000057720-processed-gene-0.2&CDS=1-1599, snap_masked-scf7180000059720-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000059720-processed-gene-0.4&CDS=1-2313
244	OG0000244	YDR419W	augustus_masked-scf7180000055784-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055784-processed-gene-0.2&CDS=1-1065, augustus_masked-scf7180000061724-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000061724-processed-gene-0.15&CDS=1-1641, genemark-scf7180000060218-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000060218-processed-gene-0.2&CDS=1-399
245	OG0000245	YDR447C, YML024W	augustus_masked-scf7180000059043-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000059043-processed-gene-0.7&CDS=1-408, augustus_masked-scf7180000061790-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000061790-processed-gene-0.11&CDS=1-408
246	OG0000246	YDR450W, YML026C	augustus_masked-scf7180000055530-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055530-processed-gene-0.2&CDS=1-444, augustus_masked-scf7180000061790-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000061790-processed-gene-0.13&CDS=1-444
247	OG0000247	YDR453C, YML028W	augustus_masked-scf7180000053914-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000053914-processed-gene-0.3&CDS=1-591, augustus_masked-scf7180000054023-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000054023-processed-gene-0.6&CDS=1-591
248	OG0000248	YDR463W, YHR006W	augustus_masked-scf7180000059779-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000059779-processed-gene-0.6&CDS=1-990, genemark-scf7180000055711-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000055711-processed-gene-0.2&CDS=1-705
249	OG0000249	YDR471W, YHR010W	augustus_masked-scf7180000055531-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000055531-processed-gene-0.5&CDS=1-2661, maker-scf7180000061730-augustus-gene-0.79-mRNA-1_1&gene=maker-scf7180000061730-augustus-gene-0.79&CDS=1-2808
250	OG0000250	YDR501W, YLR183C	maker-scf7180000054443-augustus-gene-0.8-mRNA-1_1&gene=maker-scf7180000054443-augustus-gene-0.8&CDS=1-1776, snap_masked-scf7180000054770-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000054770-processed-gene-0.1&CDS=1-1005
251	OG0000251	YDR505C, YLR177W	augustus_masked-scf7180000053734-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000053734-processed-gene-0.6&CDS=1-1263, augustus_masked-scf7180000054099-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054099-processed-gene-0.2&CDS=1-1173
252	OG0000252	YDR520C	augustus_masked-scf7180000054005-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054005-processed-gene-0.0&CDS=1-1836, augustus_masked-scf7180000057348-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000057348-processed-gene-0.1&CDS=1-480, snap_masked-scf7180000054852-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000054852-processed-gene-0.4&CDS=1-786
253	OG0000253	YDR525W-A, YJL151C	augustus_masked-scf7180000061774-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000061774-processed-gene-0.3&CDS=1-342, maker-scf7180000055455-augustus-gene-0.12-mRNA-1_1&gene=maker-scf7180000055455-augustus-gene-0.12&CDS=1-234
254	OG0000254	YDR536W	augustus_masked-scf7180000061797-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000061797-processed-gene-0.1&CDS=1-1323, maker-scf7180000057688-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000057688-snap-gene-0.0&CDS=1-1662, maker-scf7180000059916-snap-gene-0.6-mRNA-1_1&gene=maker-scf7180000059916-snap-gene-0.6&CDS=1-1662
255	OG0000255	YEL015W	augustus_masked-scf7180000055486-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055486-processed-gene-0.0&CDS=1-291, augustus_masked-scf7180000057898-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000057898-processed-gene-0.4&CDS=1-405, maker-scf7180000059908-snap-gene-0.87-mRNA-1_1&gene=maker-scf7180000059908-snap-gene-0.87&CDS=1-1551
256	OG0000256	YEL022W, YJR031C	augustus_masked-scf7180000059908-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scf7180000059908-processed-gene-0.50&CDS=1-4227, maker-scf7180000054105-snap-gene-0.2-mRNA-1_1&gene=maker-scf7180000054105-snap-gene-0.2&CDS=1-3540
257	OG0000257	YEL047C, YJR051W	augustus_masked-scf7180000053703-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000053703-processed-gene-0.8&CDS=1-1362, augustus_masked-scf7180000055771-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055771-processed-gene-0.0&CDS=1-1140
258	OG0000258	YEL055C	augustus_masked-scf7180000061699-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000061699-processed-gene-0.17&CDS=1-2859, genemark-scf7180000058593-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000058593-processed-gene-0.1&CDS=1-1635, snap_masked-scf7180000055396-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000055396-processed-gene-0.0&CDS=1-420
259	OG0000259	YER014W	augustus_masked-scf7180000054159-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000054159-processed-gene-0.3&CDS=1-552, augustus_masked-scf7180000057249-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000057249-processed-gene-0.1&CDS=1-408, maker-scf7180000054434-snap-gene-0.21-mRNA-1_1&gene=maker-scf7180000054434-snap-gene-0.21&CDS=1-2538
260	OG0000260	YER019C-A, YER087C-B	augustus_masked-scf7180000056323-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000056323-processed-gene-0.2&CDS=1-267, genemark-scf7180000060541-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000060541-processed-gene-0.1&CDS=1-264
261	OG0000261	YER020W	genemark-scf7180000056880-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000056880-processed-gene-0.0&CDS=1-573, genemark-scf7180000061082-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000061082-processed-gene-0.0&CDS=1-486, genemark-scf7180000061749-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000061749-processed-gene-0.15&CDS=1-1182
262	OG0000262	YER021W	augustus_masked-scf7180000053561-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000053561-processed-gene-0.11&CDS=1-1380, augustus_masked-scf7180000054058-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000054058-processed-gene-0.7&CDS=1-822, augustus_masked-scf7180000058067-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000058067-processed-gene-0.2&CDS=1-435
263	OG0000263	YER056C, YER060W, YER060W-A	augustus_masked-scf7180000056391-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000056391-processed-gene-0.5&CDS=1-1548
264	OG0000264	YER057C, YIL051C	maker-scf7180000054575-snap-gene-0.17-mRNA-1_1&gene=maker-scf7180000054575-snap-gene-0.17&CDS=1-636, maker-scf7180000059843-snap-gene-0.10-mRNA-1_1&gene=maker-scf7180000059843-snap-gene-0.10&CDS=1-525
265	OG0000265	YER066W, YFL009W	augustus_masked-scf7180000054432-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000054432-processed-gene-0.40&CDS=1-2055, maker-scf7180000058064-snap-gene-0.1-mRNA-1_1&gene=maker-scf7180000058064-snap-gene-0.1&CDS=1-1308
266	OG0000266	YER067W, YIL057C	augustus_masked-scf7180000053578-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000053578-processed-gene-0.34&CDS=1-519, snap_masked-scf7180000059119-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000059119-processed-gene-0.3&CDS=1-354
267	OG0000267	YER074W, YIL069C	augustus_masked-scf7180000060208-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000060208-processed-gene-0.24&CDS=1-405, genemark-scf7180000057786-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000057786-processed-gene-0.5&CDS=1-423
268	OG0000268	YER109C	augustus_masked-scf7180000053578-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000053578-processed-gene-0.31&CDS=1-1743, augustus_masked-scf7180000058899-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000058899-processed-gene-0.1&CDS=1-630, snap_masked-scf7180000056041-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000056041-processed-gene-0.1&CDS=1-1167
269	OG0000269	YER118C	augustus_masked-scf7180000061009-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000061009-processed-gene-0.0&CDS=1-252, genemark-scf7180000059773-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000059773-processed-gene-0.15&CDS=1-852, snap_masked-scf7180000056827-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000056827-processed-gene-0.0&CDS=1-297
270	OG0000270	YER185W, YGR213C	augustus_masked-scf7180000054874-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054874-processed-gene-0.1&CDS=1-687, snap_masked-scf7180000053554-processed-gene-0.32-mRNA-1_1&gene=snap_masked-scf7180000053554-processed-gene-0.32&CDS=1-819
271	OG0000271	YFL007W	augustus_masked-scf7180000053611-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000053611-processed-gene-0.6&CDS=1-6528, augustus_masked-scf7180000055944-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000055944-processed-gene-0.3&CDS=1-1380, snap_masked-scf7180000055635-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000055635-processed-gene-0.0&CDS=1-1968
272	OG0000272	YFL025C	augustus_masked-scf7180000059725-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000059725-processed-gene-0.8&CDS=1-2430, snap_masked-scf7180000055957-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000055957-processed-gene-0.2&CDS=1-1281, snap_masked-scf7180000059461-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000059461-processed-gene-0.1&CDS=1-438
