	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035696_Hanseniaspora_singularis
424	OG0000424	YAL022C	augustus_masked-flattened_line_12-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.77&CDS=1-1446
425	OG0000425	YAL023C	augustus_masked-flattened_line_12-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.78&CDS=1-2313
426	OG0000426	YAL024C	snap_masked-flattened_line_12-processed-gene-1.19-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.19&CDS=1-4776
427	OG0000427	YAL025C	snap_masked-flattened_line_12-processed-gene-1.20-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.20&CDS=1-924
428	OG0000428	YAL026C	snap_masked-flattened_line_12-processed-gene-1.21-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.21&CDS=1-3918
429	OG0000429	YAL031C	maker-flattened_line_112-snap-gene-0.66-mRNA-1_1&gene=maker-flattened_line_112-snap-gene-0.66&CDS=1-2403
430	OG0000430	YAL033W	augustus_masked-flattened_line_112-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.44&CDS=1-432
431	OG0000431	YAL035W	snap_masked-flattened_line_0-processed-gene-2.138-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.138&CDS=1-2910
432	OG0000432	YAL036C	snap_masked-flattened_line_54-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.3&CDS=1-1107
433	OG0000433	YAL038W	snap_masked-flattened_line_54-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.2&CDS=1-1512
434	OG0000434	YAL039C	snap_masked-flattened_line_2-processed-gene-1.26-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.26&CDS=1-846
435	OG0000435	YAL040C	augustus_masked-flattened_line_2-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.76&CDS=1-1464
436	OG0000436	YAL041W	augustus_masked-flattened_line_2-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.95&CDS=1-2559
437	OG0000437	YAL042W	maker-flattened_line_2-augustus-gene-1.150-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-1.150&CDS=1-1656
438	OG0000438	YAL043C	augustus_masked-flattened_line_2-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.81&CDS=1-2457
439	OG0000439	YAL044C	snap_masked-flattened_line_40-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.42&CDS=1-552
440	OG0000440	YAL046C	snap_masked-flattened_line_2-processed-gene-1.33-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.33&CDS=1-273
441	OG0000441	YAL048C	augustus_masked-flattened_line_2-processed-gene-2.223-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.223&CDS=1-2241
442	OG0000442	YAL049C	augustus_masked-flattened_line_14-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.27&CDS=1-756
443	OG0000443	YAL053W	augustus_masked-flattened_line_4-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.109&CDS=1-2535
444	OG0000444	YAL059W	augustus_masked-flattened_line_2-processed-gene-2.198-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.198&CDS=1-651
445	OG0000445	YAL067C	snap_masked-flattened_line_98-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_98-processed-gene-0.47&CDS=1-1713
446	OG0000446	YAR003W	augustus_masked-flattened_line_80-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.60&CDS=1-5874
447	OG0000447	YAR007C	snap_masked-flattened_line_80-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.23&CDS=1-1848
448	OG0000448	YAR014C	augustus_masked-flattened_line_22-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.31&CDS=1-1425
449	OG0000449	YAR015W	snap_masked-flattened_line_22-processed-gene-0.270-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.270&CDS=1-957
450	OG0000450	YAR018C	snap_masked-flattened_line_22-processed-gene-0.229-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.229&CDS=1-1350
451	OG0000451	YAR019C	augustus_masked-flattened_line_66-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.121&CDS=1-3300
452	OG0000452	YBL001C	snap_masked-flattened_line_16-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.32&CDS=1-369
453	OG0000453	YBL004W	augustus_masked-flattened_line_74-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.29&CDS=1-7878
454	OG0000454	YBL007C	augustus_masked-flattened_line_36-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.35&CDS=1-3033
455	OG0000455	YBL008W	augustus_masked-flattened_line_8-processed-gene-1.222-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.222&CDS=1-2682
456	OG0000456	YBL013W	augustus_masked-flattened_line_24-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.75&CDS=1-1341
457	OG0000457	YBL015W	snap_masked-flattened_line_102-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.80&CDS=1-1632
458	OG0000458	YBL016W	snap_masked-flattened_line_102-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.81&CDS=1-1110
459	OG0000459	YBL018C	snap_masked-flattened_line_102-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.71&CDS=1-399
460	OG0000460	YBL019W	augustus_masked-flattened_line_102-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.56&CDS=1-1977
461	OG0000461	YBL020W	augustus_masked-flattened_line_102-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.35&CDS=1-1731
462	OG0000462	YBL022C	augustus_masked-flattened_line_102-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.50&CDS=1-3831
463	OG0000463	YBL023C	augustus_masked-flattened_line_102-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.49&CDS=1-2919
464	OG0000464	YBL024W	snap_masked-flattened_line_102-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.62&CDS=1-2223
465	OG0000465	YBL026W	augustus_masked-flattened_line_102-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.31&CDS=1-324
466	OG0000466	YBL028C	snap_masked-flattened_line_0-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.42&CDS=1-417
467	OG0000467	YBL029C-A	snap_masked-flattened_line_56-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.66&CDS=1-318
468	OG0000468	YBL029W	augustus_masked-flattened_line_56-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.35&CDS=1-960
469	OG0000469	YBL030C	snap_masked-flattened_line_56-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.67&CDS=1-903
470	OG0000470	YBL033C	snap_masked-flattened_line_0-processed-gene-1.35-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.35&CDS=1-939
471	OG0000471	YBL035C	augustus_masked-flattened_line_0-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.121&CDS=1-2094
472	OG0000472	YBL036C	augustus_masked-flattened_line_0-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.122&CDS=1-720
473	OG0000473	YBL038W	augustus_masked-flattened_line_0-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.148&CDS=1-798
474	OG0000474	YBL039C	augustus_masked-flattened_line_44-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.45&CDS=1-1737
475	OG0000475	YBL040C	augustus_masked-flattened_line_44-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.42&CDS=1-657
476	OG0000476	YBL041W	snap_masked-flattened_line_44-processed-gene-0.135-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.135&CDS=1-843
477	OG0000477	YBL045C	augustus_masked-flattened_line_2-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.86&CDS=1-1302
478	OG0000478	YBL047C	augustus_masked-flattened_line_2-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.84&CDS=1-3738
479	OG0000479	YBL050W	augustus_masked-flattened_line_64-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.59&CDS=1-915
480	OG0000480	YBL051C	augustus_masked-flattened_line_114-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.4&CDS=1-1527
481	OG0000481	YBL054W	augustus_masked-flattened_line_114-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.15&CDS=1-1341
482	OG0000482	YBL055C	augustus_masked-flattened_line_114-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.16&CDS=1-1080
483	OG0000483	YBL059C-A	snap_masked-flattened_line_114-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_114-processed-gene-0.62&CDS=1-336
484	OG0000484	YBL061C	augustus_masked-flattened_line_114-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.11&CDS=1-2247
485	OG0000485	YBL066C	snap_masked-flattened_line_4-processed-gene-2.155-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.155&CDS=1-3432
486	OG0000486	YBL071W-A	snap_masked-flattened_line_229-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_229-processed-gene-0.5&CDS=1-279
487	OG0000487	YBL074C	augustus_masked-flattened_line_114-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.21&CDS=1-1305
488	OG0000488	YBL076C	augustus_masked-flattened_line_114-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.20&CDS=1-3213
489	OG0000489	YBL078C	snap_masked-flattened_line_4-processed-gene-2.114-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.114&CDS=1-468
490	OG0000490	YBL080C	augustus_masked-flattened_line_4-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.3&CDS=1-3846
491	OG0000491	YBL082C	snap_masked-flattened_line_4-processed-gene-2.143-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.143&CDS=1-1557
492	OG0000492	YBL086C	snap_masked-flattened_line_144-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_144-processed-gene-0.19&CDS=1-2025
493	OG0000493	YBL088C	maker-flattened_line_144-snap-gene-0.14-mRNA-1_1&gene=maker-flattened_line_144-snap-gene-0.14&CDS=1-8427
494	OG0000494	YBL091C	snap_masked-flattened_line_4-processed-gene-2.131-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.131&CDS=1-1332
495	OG0000495	YBL092W	snap_masked-flattened_line_4-processed-gene-2.125-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.125&CDS=1-393
496	OG0000496	YBL093C	snap_masked-flattened_line_4-processed-gene-2.124-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.124&CDS=1-645
497	OG0000497	YBL095W	augustus_masked-flattened_line_4-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.8&CDS=1-828
498	OG0000498	YBL097W	augustus_masked-flattened_line_4-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.36&CDS=1-2571
499	OG0000499	YBL099W	snap_masked-flattened_line_4-processed-gene-2.120-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.120&CDS=1-1638
500	OG0000500	YBL104C	augustus_masked-flattened_line_140-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_140-processed-gene-0.14&CDS=1-4566
501	OG0000501	YBL105C	augustus_masked-flattened_line_140-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_140-processed-gene-0.18&CDS=1-2289
502	OG0000502	YBR002C	augustus_masked-flattened_line_74-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.33&CDS=1-963
503	OG0000503	YBR003W	snap_masked-flattened_line_74-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.50&CDS=1-1527
504	OG0000504	YBR004C	genemark-flattened_line_74-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.106&CDS=1-1071
505	OG0000505	YBR006W	snap_masked-flattened_line_56-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.84&CDS=1-1512
506	OG0000506	YBR011C	augustus_masked-flattened_line_110-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.99&CDS=1-861
507	OG0000507	YBR017C	snap_masked-flattened_line_50-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.36&CDS=1-2781
508	OG0000508	YBR023C	augustus_masked-flattened_line_22-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.81&CDS=1-3066
509	OG0000509	YBR025C	snap_masked-flattened_line_22-processed-gene-0.226-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.226&CDS=1-1179
510	OG0000510	YBR026C	snap_masked-flattened_line_54-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.5&CDS=1-1212
511	OG0000511	YBR028C	augustus_masked-flattened_line_0-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.142&CDS=1-1914
512	OG0000512	YBR029C	augustus_masked-flattened_line_50-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.127&CDS=1-1398
513	OG0000513	YBR030W	snap_masked-flattened_line_68-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.17&CDS=1-1794
514	OG0000514	YBR034C	snap_masked-flattened_line_68-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.16&CDS=1-1092
515	OG0000515	YBR035C	augustus_masked-flattened_line_44-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.43&CDS=1-696
516	OG0000516	YBR038W	augustus_masked-flattened_line_22-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.82&CDS=1-2817
517	OG0000517	YBR039W	snap_masked-flattened_line_76-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.22&CDS=1-894
518	OG0000518	YBR040W	snap_masked-flattened_line_76-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.21&CDS=1-1140
519	OG0000519	YBR041W	augustus_masked-flattened_line_76-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.96&CDS=1-1809
520	OG0000520	YBR042C	augustus_masked-flattened_line_76-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.80&CDS=1-1236
521	OG0000521	YBR046C	augustus_masked-flattened_line_148-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_148-processed-gene-0.17&CDS=1-1131
522	OG0000522	YBR053C	snap_masked-flattened_line_44-processed-gene-0.125-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.125&CDS=1-987
523	OG0000523	YBR057C	augustus_masked-flattened_line_173-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_173-processed-gene-0.10&CDS=1-1389
524	OG0000524	YBR058C	augustus_masked-flattened_line_173-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_173-processed-gene-0.9&CDS=1-2310
525	OG0000525	YBR059C	augustus_masked-flattened_line_148-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_148-processed-gene-0.14&CDS=1-3012
526	OG0000526	YBR060C	augustus_masked-flattened_line_148-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_148-processed-gene-0.13&CDS=1-1785
527	OG0000527	YBR061C	augustus_masked-flattened_line_44-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.1&CDS=1-885
528	OG0000528	YBR070C	augustus_masked-flattened_line_44-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.27&CDS=1-675
529	OG0000529	YBR073W	augustus_masked-flattened_line_44-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.3&CDS=1-2784
530	OG0000530	YBR074W	snap_masked-flattened_line_44-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.129&CDS=1-2787
531	OG0000531	YBR079C	augustus_masked-flattened_line_56-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.7&CDS=1-2886
532	OG0000532	YBR080C	snap_masked-flattened_line_56-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.69&CDS=1-2313
533	OG0000533	YBR081C	augustus_masked-flattened_line_0-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.117&CDS=1-3900
534	OG0000534	YBR083W	augustus_masked-flattened_line_26-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.86&CDS=1-1755
535	OG0000535	YBR086C	augustus_masked-flattened_line_0-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.146&CDS=1-2148
536	OG0000536	YBR087W	augustus_masked-flattened_line_0-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.123&CDS=1-1110
537	OG0000537	YBR088C	augustus_masked-flattened_line_0-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.150&CDS=1-789
538	OG0000538	YBR091C	augustus_masked-flattened_line_0-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.152&CDS=1-336
539	OG0000539	YBR094W	snap_masked-flattened_line_0-processed-gene-1.19-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.19&CDS=1-2334
540	OG0000540	YBR095C	augustus_masked-flattened_line_0-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.153&CDS=1-2379
541	OG0000541	YBR097W	augustus_masked-flattened_line_0-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.129&CDS=1-4539
542	OG0000542	YBR101C	augustus_masked-flattened_line_0-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.155&CDS=1-1011
543	OG0000543	YBR106W	snap_masked-flattened_line_0-processed-gene-1.29-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.29&CDS=1-552
544	OG0000544	YBR108W	snap_masked-flattened_line_0-processed-gene-1.49-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.49&CDS=1-2115
545	OG0000545	YBR109C	snap_masked-flattened_line_0-processed-gene-1.50-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.50&CDS=1-444
546	OG0000546	YBR110W	augustus_masked-flattened_line_0-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.139&CDS=1-1386
547	OG0000547	YBR111C	genemark-flattened_line_0-processed-gene-2.180-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.180&CDS=1-666
548	OG0000548	YBR112C	snap_masked-flattened_line_0-processed-gene-2.96-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.96&CDS=1-3051
549	OG0000549	YBR114W	snap_masked-flattened_line_8-processed-gene-1.13-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.13&CDS=1-2403
550	OG0000550	YBR115C	snap_masked-flattened_line_8-processed-gene-1.12-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.12&CDS=1-4107
551	OG0000551	YBR120C	snap_masked-flattened_line_54-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.14&CDS=1-480
552	OG0000552	YBR121C	snap_masked-flattened_line_54-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.13&CDS=1-1989
553	OG0000553	YBR122C	snap_masked-flattened_line_54-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.11&CDS=1-609
554	OG0000554	YBR123C	augustus_masked-flattened_line_54-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.146&CDS=1-2052
555	OG0000555	YBR126C	snap_masked-flattened_line_54-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.46&CDS=1-1461
556	OG0000556	YBR127C	snap_masked-flattened_line_54-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.47&CDS=1-1551
557	OG0000557	YBR133C	augustus_masked-flattened_line_50-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.162&CDS=1-1947
558	OG0000558	YBR135W	snap_masked-flattened_line_50-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.18&CDS=1-375
559	OG0000559	YBR136W	maker-flattened_line_50-augustus-gene-0.114-mRNA-1_1&gene=maker-flattened_line_50-augustus-gene-0.114&CDS=1-7074
560	OG0000560	YBR141C	augustus_masked-flattened_line_140-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_140-processed-gene-0.25&CDS=1-1062
561	OG0000561	YBR142W	augustus_masked-flattened_line_74-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.8&CDS=1-2355
562	OG0000562	YBR143C	augustus_masked-flattened_line_74-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.26&CDS=1-1311
563	OG0000563	YBR146W	snap_masked-flattened_line_110-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_110-processed-gene-0.26&CDS=1-924
564	OG0000564	YBR151W	snap_masked-flattened_line_110-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_110-processed-gene-0.12&CDS=1-1269
565	OG0000565	YBR153W	augustus_masked-flattened_line_110-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.82&CDS=1-1059
566	OG0000566	YBR154C	augustus_masked-flattened_line_110-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.97&CDS=1-654
567	OG0000567	YBR155W	augustus_masked-flattened_line_8-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.33&CDS=1-1221
568	OG0000568	YBR160W	augustus_masked-flattened_line_28-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.121&CDS=1-1926
569	OG0000569	YBR162C	augustus_masked-flattened_line_18-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.67&CDS=1-1488
570	OG0000570	YBR162W-A	augustus_masked-flattened_line_18-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.48&CDS=1-210
571	OG0000571	YBR164C	augustus_masked-flattened_line_30-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.127&CDS=1-552
572	OG0000572	YBR166C	snap_masked-flattened_line_30-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.52&CDS=1-1413
573	OG0000573	YBR170C	augustus_masked-flattened_line_30-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.133&CDS=1-1824
574	OG0000574	YBR171W	augustus_masked-flattened_line_30-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.93&CDS=1-603
575	OG0000575	YBR173C	snap_masked-flattened_line_30-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.59&CDS=1-471
576	OG0000576	YBR175W	augustus_masked-flattened_line_30-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.94&CDS=1-1026
577	OG0000577	YBR179C	snap_masked-flattened_line_30-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.64&CDS=1-2502
578	OG0000578	YBR185C	augustus_masked-flattened_line_30-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.145&CDS=1-954
579	OG0000579	YBR187W	snap_masked-flattened_line_8-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.45&CDS=1-864
580	OG0000580	YBR192W	snap_masked-flattened_line_8-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.48&CDS=1-1137
581	OG0000581	YBR193C	snap_masked-flattened_line_8-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.66&CDS=1-690
582	OG0000582	YBR195C	snap_masked-flattened_line_8-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.68&CDS=1-1503
583	OG0000583	YBR196C	augustus_masked-flattened_line_30-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.107&CDS=1-1653
584	OG0000584	YBR198C	augustus_masked-flattened_line_30-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.105&CDS=1-2610
585	OG0000585	YBR200W	augustus_masked-flattened_line_28-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.117&CDS=1-2031
586	OG0000586	YBR202W	augustus_masked-flattened_line_108-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.0&CDS=1-2541
587	OG0000587	YBR203W	augustus_masked-flattened_line_108-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.9&CDS=1-2118
588	OG0000588	YBR207W	augustus_masked-flattened_line_18-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.46&CDS=1-1299
589	OG0000589	YBR208C	snap_masked-flattened_line_18-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.22&CDS=1-5574
