	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035688_Cyberlindnera_xylosilytica
776	OG0000776	YBR280C	snap_masked-flattened_line_24-processed-gene-1.197-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.197&CDS=1-1611
777	OG0000777	YBR281C	maker-flattened_line_24-augustus-gene-1.102-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-1.102&CDS=1-3180
778	OG0000778	YBR282W	snap_masked-flattened_line_38-processed-gene-1.155-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.155&CDS=1-438
779	OG0000779	YBR283C	augustus_masked-flattened_line_30-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.5&CDS=1-1452
780	OG0000780	YBR286W	snap_masked-flattened_line_12-processed-gene-1.31-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.31&CDS=1-1560
781	OG0000781	YBR287W	snap_masked-flattened_line_16-processed-gene-2.145-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.145&CDS=1-1302
782	OG0000782	YBR288C	snap_masked-flattened_line_108-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.63&CDS=1-1593
783	OG0000783	YBR289W	snap_masked-flattened_line_12-processed-gene-1.33-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.33&CDS=1-1818
784	OG0000784	YBR290W	maker-flattened_line_12-snap-gene-1.93-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-1.93&CDS=1-999
785	OG0000785	YBR291C	snap_masked-flattened_line_12-processed-gene-1.6-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.6&CDS=1-888
786	OG0000786	YBR294W	snap_masked-flattened_line_62-processed-gene-0.152-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.152&CDS=1-2334
787	OG0000787	YBR296C	snap_masked-flattened_line_114-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_114-processed-gene-0.82&CDS=1-1749
788	OG0000788	YCL001W	augustus_masked-flattened_line_126-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_126-processed-gene-0.89&CDS=1-555
789	OG0000789	YCL002C	maker-flattened_line_126-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_126-snap-gene-0.0&CDS=1-609
790	OG0000790	YCL004W	snap_masked-flattened_line_126-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_126-processed-gene-0.54&CDS=1-1449
791	OG0000791	YCL005W-A	snap_masked-flattened_line_58-processed-gene-0.148-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.148&CDS=1-216
792	OG0000792	YCL008C	maker-flattened_line_58-snap-gene-0.175-mRNA-1_1&gene=maker-flattened_line_58-snap-gene-0.175&CDS=1-1317
793	OG0000793	YCL009C	snap_masked-flattened_line_48-processed-gene-0.179-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.179&CDS=1-873
794	OG0000794	YCL010C	snap_masked-flattened_line_126-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_126-processed-gene-0.40&CDS=1-693
795	OG0000795	YCL014W	snap_masked-flattened_line_126-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_126-processed-gene-0.43&CDS=1-3735
796	OG0000796	YCL016C	augustus_masked-flattened_line_126-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_126-processed-gene-0.95&CDS=1-1056
797	OG0000797	YCL017C	snap_masked-flattened_line_126-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_126-processed-gene-0.58&CDS=1-1401
798	OG0000798	YCL018W	snap_masked-flattened_line_14-processed-gene-2.49-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.49&CDS=1-1089
799	OG0000799	YCL027W	snap_masked-flattened_line_108-processed-gene-0.75-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.75&CDS=1-1359
800	OG0000800	YCL029C	snap_masked-flattened_line_52-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.35&CDS=1-2679
801	OG0000801	YCL030C	snap_masked-flattened_line_52-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.70&CDS=1-2547
802	OG0000802	YCL031C	snap_masked-flattened_line_52-processed-gene-0.31-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.31&CDS=1-864
803	OG0000803	YCL032W	snap_masked-flattened_line_52-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.34&CDS=1-987
804	OG0000804	YCL033C	augustus_masked-flattened_line_52-processed-gene-0.198-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.198&CDS=1-423
805	OG0000805	YCL034W	augustus_masked-flattened_line_52-processed-gene-0.206-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.206&CDS=1-1101
806	OG0000806	YCL038C	snap_masked-flattened_line_177-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_177-processed-gene-0.5&CDS=1-1701
807	OG0000807	YCL039W	snap_masked-flattened_line_52-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.59&CDS=1-1590
808	OG0000808	YCL043C	snap_masked-flattened_line_52-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.60&CDS=1-1512
809	OG0000809	YCL044C	snap_masked-flattened_line_44-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.129&CDS=1-834
810	OG0000810	YCL045C	snap_masked-flattened_line_44-processed-gene-0.173-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.173&CDS=1-2661
811	OG0000811	YCL052C	maker-flattened_line_22-snap-gene-1.88-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-1.88&CDS=1-1356
812	OG0000812	YCL054W	maker-flattened_line_22-snap-gene-1.92-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-1.92&CDS=1-2451
813	OG0000813	YCL055W	snap_masked-flattened_line_22-processed-gene-1.246-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.246&CDS=1-1161
814	OG0000814	YCL057C-A	snap_masked-flattened_line_64-processed-gene-0.111-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.111&CDS=1-240
815	OG0000815	YCL057W	augustus_masked-flattened_line_64-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.42&CDS=1-2088
816	OG0000816	YCL059C	snap_masked-flattened_line_108-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.89&CDS=1-1101
817	OG0000817	YCL061C	snap_masked-flattened_line_126-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_126-processed-gene-0.56&CDS=1-3783
818	OG0000818	YCR002C	snap_masked-flattened_line_132-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_132-processed-gene-0.73&CDS=1-1032
819	OG0000819	YCR003W	snap_masked-flattened_line_132-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_132-processed-gene-0.90&CDS=1-552
820	OG0000820	YCR008W	maker-flattened_line_14-augustus-gene-0.49-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-0.49&CDS=1-3021
821	OG0000821	YCR009C	maker-flattened_line_14-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-0.1&CDS=1-792
822	OG0000822	YCR011C	augustus_masked-flattened_line_136-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_136-processed-gene-0.9&CDS=1-2979
823	OG0000823	YCR014C	snap_masked-flattened_line_54-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.92&CDS=1-1476
824	OG0000824	YCR016W	snap_masked-flattened_line_124-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_124-processed-gene-0.46&CDS=1-1083
825	OG0000825	YCR017C	snap_masked-flattened_line_124-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_124-processed-gene-0.34&CDS=1-2799
826	OG0000826	YCR019W	snap_masked-flattened_line_100-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.77&CDS=1-1068
827	OG0000827	YCR020C-A	augustus_masked-flattened_line_134-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_134-processed-gene-0.51&CDS=1-750
828	OG0000828	YCR021C	snap_masked-flattened_line_102-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.90&CDS=1-888
829	OG0000829	YCR023C	snap_masked-flattened_line_18-processed-gene-2.153-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.153&CDS=1-1713
830	OG0000830	YCR027C	snap_masked-flattened_line_26-processed-gene-1.118-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.118&CDS=1-543
831	OG0000831	YCR028C-A	snap_masked-flattened_line_16-processed-gene-1.56-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.56&CDS=1-402
832	OG0000832	YCR030C	snap_masked-flattened_line_16-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.71&CDS=1-2646
833	OG0000833	YCR032W	augustus_masked-flattened_line_16-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.35&CDS=1-6438
834	OG0000834	YCR033W	snap_masked-flattened_line_14-processed-gene-1.94-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.94&CDS=1-3465
835	OG0000835	YCR034W	snap_masked-flattened_line_14-processed-gene-2.4-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.4&CDS=1-1011
836	OG0000836	YCR035C	snap_masked-flattened_line_14-processed-gene-2.2-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.2&CDS=1-1134
837	OG0000837	YCR036W	snap_masked-flattened_line_14-processed-gene-1.73-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.73&CDS=1-975
838	OG0000838	YCR042C	snap_masked-flattened_line_126-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_126-processed-gene-0.39&CDS=1-4065
839	OG0000839	YCR044C	snap_masked-flattened_line_62-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.104&CDS=1-987
840	OG0000840	YCR045C	snap_masked-flattened_line_0-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.60&CDS=1-1557
841	OG0000841	YCR046C	snap_masked-flattened_line_158-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_158-processed-gene-0.34&CDS=1-522
842	OG0000842	YCR047C	snap_masked-flattened_line_158-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_158-processed-gene-0.22&CDS=1-804
843	OG0000843	YCR051W	snap_masked-flattened_line_158-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_158-processed-gene-0.25&CDS=1-618
844	OG0000844	YCR066W	genemark-flattened_line_36-processed-gene-1.83-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.83&CDS=1-1152
845	OG0000845	YCR068W	snap_masked-flattened_line_3-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-0.64&CDS=1-1590
846	OG0000846	YCR071C	snap_masked-flattened_line_0-processed-gene-4.118-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.118&CDS=1-360
847	OG0000847	YCR072C	snap_masked-flattened_line_0-processed-gene-4.117-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.117&CDS=1-1521
848	OG0000848	YCR075C	augustus_masked-flattened_line_136-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_136-processed-gene-0.11&CDS=1-780
849	OG0000849	YCR077C	snap_masked-flattened_line_54-processed-gene-0.162-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.162&CDS=1-2223
850	OG0000850	YCR079W	snap_masked-flattened_line_54-processed-gene-0.115-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.115&CDS=1-1254
851	OG0000851	YCR081W	augustus_masked-flattened_line_136-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_136-processed-gene-0.23&CDS=1-5025
852	OG0000852	YCR084C	snap_masked-flattened_line_5-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.25&CDS=1-1821
853	OG0000853	YCR086W	snap_masked-flattened_line_5-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.8&CDS=1-1065
854	OG0000854	YCR087C-A	maker-flattened_line_5-snap-gene-0.45-mRNA-1_1&gene=maker-flattened_line_5-snap-gene-0.45&CDS=1-462
855	OG0000855	YCR088W	snap_masked-flattened_line_5-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.27&CDS=1-1509
856	OG0000856	YCR090C	augustus_masked-flattened_line_34-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.133&CDS=1-489
857	OG0000857	YCR091W	genemark-flattened_line_34-processed-gene-1.89-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.89&CDS=1-2316
858	OG0000858	YCR092C	snap_masked-flattened_line_34-processed-gene-1.0-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.0&CDS=1-3138
859	OG0000859	YCR093W	maker-flattened_line_24-snap-gene-1.320-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-1.320&CDS=1-6573
860	OG0000860	YCR094W	maker-flattened_line_24-snap-gene-1.319-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-1.319&CDS=1-1209
861	OG0000861	YCR097W	maker-flattened_line_22-snap-gene-1.84-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-1.84&CDS=1-648
862	OG0000862	YDL001W	snap_masked-flattened_line_56-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.47&CDS=1-1230
863	OG0000863	YDL002C	snap_masked-flattened_line_56-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.48&CDS=1-567
864	OG0000864	YDL003W	snap_masked-flattened_line_14-processed-gene-1.71-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.71&CDS=1-1623
865	OG0000865	YDL008W	snap_masked-flattened_line_174-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_174-processed-gene-0.10&CDS=1-336
866	OG0000866	YDL013W	snap_masked-flattened_line_12-processed-gene-2.124-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.124&CDS=1-1254
867	OG0000867	YDL014W	snap_masked-flattened_line_12-processed-gene-2.123-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.123&CDS=1-963
868	OG0000868	YDL015C	snap_masked-flattened_line_14-processed-gene-1.89-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.89&CDS=1-825
869	OG0000869	YDL017W	augustus_masked-flattened_line_154-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_154-processed-gene-0.46&CDS=1-1419
870	OG0000870	YDL018C	snap_masked-flattened_line_154-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_154-processed-gene-0.23&CDS=1-621
871	OG0000871	YDL020C	snap_masked-flattened_line_82-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.129&CDS=1-1383
872	OG0000872	YDL022W	augustus_masked-flattened_line_14-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.131&CDS=1-1176
873	OG0000873	YDL025C	snap_masked-flattened_line_56-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.54&CDS=1-1623
874	OG0000874	YDL028C	genemark-flattened_line_175-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_175-processed-gene-0.15&CDS=1-2172
875	OG0000875	YDL029W	snap_masked-flattened_line_175-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_175-processed-gene-0.33&CDS=1-1164
876	OG0000876	YDL030W	snap_masked-flattened_line_62-processed-gene-0.144-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.144&CDS=1-1440
877	OG0000877	YDL033C	augustus_masked-flattened_line_56-processed-gene-0.234-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.234&CDS=1-1209
878	OG0000878	YDL035C	snap_masked-flattened_line_38-processed-gene-1.216-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.216&CDS=1-1398
879	OG0000879	YDL040C	snap_masked-flattened_line_3-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-0.76&CDS=1-2343
880	OG0000880	YDL043C	augustus_masked-flattened_line_148-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_148-processed-gene-0.13&CDS=1-663
881	OG0000881	YDL044C	snap_masked-flattened_line_148-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_148-processed-gene-0.23&CDS=1-999
882	OG0000882	YDL045C	snap_masked-flattened_line_148-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_148-processed-gene-0.24&CDS=1-744
883	OG0000883	YDL045W-A	snap_masked-flattened_line_128-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_128-processed-gene-0.60&CDS=1-273
884	OG0000884	YDL046W	snap_masked-flattened_line_12-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.67&CDS=1-549
885	OG0000885	YDL047W	snap_masked-flattened_line_76-processed-gene-0.188-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.188&CDS=1-927
886	OG0000886	YDL051W	snap_masked-flattened_line_54-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.124&CDS=1-798
887	OG0000887	YDL052C	snap_masked-flattened_line_54-processed-gene-0.160-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.160&CDS=1-876
888	OG0000888	YDL054C	snap_masked-flattened_line_12-processed-gene-2.136-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.136&CDS=1-1383
889	OG0000889	YDL055C	snap_masked-flattened_line_18-processed-gene-0.79-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.79&CDS=1-1086
890	OG0000890	YDL056W	snap_masked-flattened_line_18-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.80&CDS=1-2175
891	OG0000891	YDL057W	maker-flattened_line_0-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-0.0&CDS=1-3876
892	OG0000892	YDL058W	snap_masked-flattened_line_124-processed-gene-0.31-mRNA-1_1&gene=snap_masked-flattened_line_124-processed-gene-0.31&CDS=1-5367
893	OG0000893	YDL059C	snap_masked-flattened_line_124-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_124-processed-gene-0.30&CDS=1-552
894	OG0000894	YDL060W	snap_masked-flattened_line_10-processed-gene-1.72-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.72&CDS=1-2292
895	OG0000895	YDL063C	snap_masked-flattened_line_10-processed-gene-1.69-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.69&CDS=1-1818
896	OG0000896	YDL064W	snap_masked-flattened_line_10-processed-gene-1.86-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.86&CDS=1-468
897	OG0000897	YDL065C	snap_masked-flattened_line_10-processed-gene-1.70-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.70&CDS=1-915
898	OG0000898	YDL066W	snap_masked-flattened_line_10-processed-gene-2.251-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.251&CDS=1-1323
899	OG0000899	YDL072C	snap_masked-flattened_line_10-processed-gene-1.63-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.63&CDS=1-594
900	OG0000900	YDL074C	snap_masked-flattened_line_10-processed-gene-1.85-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.85&CDS=1-2025
901	OG0000901	YDL077C	augustus_masked-flattened_line_10-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.134&CDS=1-2457
902	OG0000902	YDL081C	snap_masked-flattened_line_30-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.55&CDS=1-321
903	OG0000903	YDL084W	maker-flattened_line_30-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-0.0&CDS=1-1272
904	OG0000904	YDL086W	augustus_masked-flattened_line_18-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.22&CDS=1-816
905	OG0000905	YDL087C	snap_masked-flattened_line_18-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.77&CDS=1-627
906	OG0000906	YDL089W	snap_masked-flattened_line_24-processed-gene-1.126-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.126&CDS=1-1014
907	OG0000907	YDL090C	maker-flattened_line_24-snap-gene-1.316-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-1.316&CDS=1-2844
908	OG0000908	YDL092W	augustus_masked-flattened_line_24-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.17&CDS=1-393
909	OG0000909	YDL095W	snap_masked-flattened_line_24-processed-gene-1.179-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.179&CDS=1-2229
910	OG0000910	YDL097C	snap_masked-flattened_line_24-processed-gene-1.172-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.172&CDS=1-1254
911	OG0000911	YDL098C	snap_masked-flattened_line_18-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.94&CDS=1-573
912	OG0000912	YDL099W	snap_masked-flattened_line_18-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.73&CDS=1-981
913	OG0000913	YDL100C	snap_masked-flattened_line_18-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.91&CDS=1-1014
914	OG0000914	YDL101C	maker-flattened_line_24-snap-gene-0.63-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-0.63&CDS=1-1452
915	OG0000915	YDL102W	snap_masked-flattened_line_3-processed-gene-1.110-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-1.110&CDS=1-3318
916	OG0000916	YDL103C	snap_masked-flattened_line_3-processed-gene-0.61-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-0.61&CDS=1-1341
917	OG0000917	YDL104C	genemark-flattened_line_3-processed-gene-0.133-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-0.133&CDS=1-1179
918	OG0000918	YDL105W	snap_masked-flattened_line_3-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-0.54&CDS=1-1179
919	OG0000919	YDL106C	snap_masked-flattened_line_16-processed-gene-2.140-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.140&CDS=1-1380
920	OG0000920	YDL107W	snap_masked-flattened_line_3-processed-gene-2.8-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-2.8&CDS=1-1116
921	OG0000921	YDL108W	snap_masked-flattened_line_3-processed-gene-2.1-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-2.1&CDS=1-924
922	OG0000922	YDL110C	genemark-flattened_line_3-processed-gene-2.94-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-2.94&CDS=1-459
923	OG0000923	YDL111C	snap_masked-flattened_line_3-processed-gene-2.3-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-2.3&CDS=1-792
924	OG0000924	YDL112W	snap_masked-flattened_line_24-processed-gene-1.125-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.125&CDS=1-4065
925	OG0000925	YDL114W	snap_masked-flattened_line_18-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.76&CDS=1-918
926	OG0000926	YDL115C	maker-flattened_line_18-snap-gene-0.152-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-0.152&CDS=1-876
927	OG0000927	YDL116W	snap_masked-flattened_line_24-processed-gene-1.127-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.127&CDS=1-2118
928	OG0000928	YDL117W	snap_masked-flattened_line_24-processed-gene-1.170-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.170&CDS=1-2496
929	OG0000929	YDL119C	maker-flattened_line_0-augustus-gene-0.70-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-0.70&CDS=1-1722
930	OG0000930	YDL120W	snap_masked-flattened_line_10-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.64&CDS=1-528
931	OG0000931	YDL122W	snap_masked-flattened_line_16-processed-gene-1.70-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.70&CDS=1-2028
932	OG0000932	YDL124W	snap_masked-flattened_line_18-processed-gene-2.201-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.201&CDS=1-894
933	OG0000933	YDL125C	snap_masked-flattened_line_18-processed-gene-1.48-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.48&CDS=1-441
934	OG0000934	YDL126C	maker-flattened_line_44-augustus-gene-0.213-mRNA-1_1&gene=maker-flattened_line_44-augustus-gene-0.213&CDS=1-3225
935	OG0000935	YDL127W	snap_masked-flattened_line_44-processed-gene-0.146-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.146&CDS=1-903
936	OG0000936	YDL128W	augustus_masked-flattened_line_142-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_142-processed-gene-0.76&CDS=1-1179
937	OG0000937	YDL130W	maker-flattened_line_36-snap-gene-1.2-mRNA-1_1&gene=maker-flattened_line_36-snap-gene-1.2&CDS=1-318
938	OG0000938	YDL131W	snap_masked-flattened_line_18-processed-gene-2.142-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.142&CDS=1-1371
939	OG0000939	YDL132W	snap_masked-flattened_line_18-processed-gene-2.144-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.144&CDS=1-2343
940	OG0000940	YDL133W	snap_masked-flattened_line_14-processed-gene-1.93-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.93&CDS=1-1170
941	OG0000941	YDL134C	snap_masked-flattened_line_90-processed-gene-0.116-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.116&CDS=1-1062
942	OG0000942	YDL135C	snap_masked-flattened_line_90-processed-gene-0.123-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.123&CDS=1-594
943	OG0000943	YDL138W	augustus_masked-flattened_line_90-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.82&CDS=1-2148
944	OG0000944	YDL139C	snap_masked-flattened_line_14-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.58&CDS=1-1011
