	OrthologID	Saccharomyces_cerevisiae	Yarrowia_lipolytica
192	OG0000192	YDR213W, YLR228C	genemark-YALI0B-processed-gene-21.4-mRNA-1_1&gene=genemark-YALI0B-processed-gene-21.4&CDS=1-2046
193	OG0000193	YDR247W, YPL026C	genemark-YALI0B-processed-gene-11.55-mRNA-1_1&gene=genemark-YALI0B-processed-gene-11.55&CDS=1-1248
194	OG0000194	YDR251W, YPL032C	snap_masked-YALI0D-processed-gene-26.1-mRNA-1_1&gene=snap_masked-YALI0D-processed-gene-26.1&CDS=1-2232
195	OG0000195	YDR252W, YPL037C	genemark-YALI0F-processed-gene-11.107-mRNA-1_1&gene=genemark-YALI0F-processed-gene-11.107&CDS=1-486
196	OG0000196	YDR253C, YPL038W	genemark-YALI0E-processed-gene-27.113-mRNA-1_1&gene=genemark-YALI0E-processed-gene-27.113&CDS=1-903
197	OG0000197	YDR263C, YOR033C	genemark-YALI0E-processed-gene-16.75-mRNA-1_1&gene=genemark-YALI0E-processed-gene-16.75&CDS=1-1638
198	OG0000198	YDR264C, YOR034C	genemark-YALI0E-processed-gene-25.17-mRNA-1_1&gene=genemark-YALI0E-processed-gene-25.17&CDS=1-2106
199	OG0000199	YDR272W, YOR040W	genemark-YALI0D-processed-gene-9.1-mRNA-1_1&gene=genemark-YALI0D-processed-gene-9.1&CDS=1-774
200	OG0000200	YDR273W, YOR042W	augustus_masked-YALI0D-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-YALI0D-processed-gene-0.82&CDS=1-1428
201	OG0000201	YDR277C, YOR047C	snap_masked-YALI0B-processed-gene-6.72-mRNA-1_1&gene=snap_masked-YALI0B-processed-gene-6.72&CDS=1-828
202	OG0000202	YDR312W, YHR066W	genemark-YALI0A-processed-gene-12.53-mRNA-1_1&gene=genemark-YALI0A-processed-gene-12.53&CDS=1-1218
203	OG0000203	YDR320C	genemark-YALI0B-processed-gene-16.80-mRNA-1_1&gene=genemark-YALI0B-processed-gene-16.80&CDS=1-2514, snap_masked-YALI0D-processed-gene-29.15-mRNA-1_1&gene=snap_masked-YALI0D-processed-gene-29.15&CDS=1-327
204	OG0000204	YDR326C, YHR080C	genemark-YALI0A-processed-gene-16.97-mRNA-1_1&gene=genemark-YALI0A-processed-gene-16.97&CDS=1-2433
205	OG0000205	YDR329C	augustus_masked-YALI0B-processed-gene-26.28-mRNA-1_1&gene=augustus_masked-YALI0B-processed-gene-26.28&CDS=1-1185, genemark-YALI0F-processed-gene-29.94-mRNA-1_1&gene=genemark-YALI0F-processed-gene-29.94&CDS=1-1293
206	OG0000206	YDR348C, YHR097C	augustus_masked-YALI0B-processed-gene-26.47-mRNA-1_1&gene=augustus_masked-YALI0B-processed-gene-26.47&CDS=1-1542
207	OG0000207	YDR349C	augustus_masked-YALI0E-processed-gene-29.88-mRNA-1_1&gene=augustus_masked-YALI0E-processed-gene-29.88&CDS=1-2046, augustus_masked-YALI0E-processed-gene-40.37-mRNA-1_1&gene=augustus_masked-YALI0E-processed-gene-40.37&CDS=1-1791
208	OG0000208	YDR358W, YHR108W	genemark-YALI0D-processed-gene-35.22-mRNA-1_1&gene=genemark-YALI0D-processed-gene-35.22&CDS=1-1848
209	OG0000209	YDR379W, YOR127W	maker-YALI0B-augustus-gene-14.35-mRNA-1_1&gene=maker-YALI0B-augustus-gene-14.35&CDS=1-4107
210	OG0000210	YDR385W, YOR133W	augustus_masked-YALI0A-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-YALI0A-processed-gene-0.35&CDS=1-2526
211	OG0000211	YDR389W, YOR134W	augustus_masked-YALI0D-processed-gene-17.35-mRNA-1_1&gene=augustus_masked-YALI0D-processed-gene-17.35&CDS=1-2973
212	OG0000212	YDR409W, YOR156C	snap_masked-YALI0E-processed-gene-27.31-mRNA-1_1&gene=snap_masked-YALI0E-processed-gene-27.31&CDS=1-2121
213	OG0000213	YDR418W, YEL054C	genemark-YALI0D-processed-gene-17.21-mRNA-1_1&gene=genemark-YALI0D-processed-gene-17.21&CDS=1-495
214	OG0000214	YDR428C	genemark-YALI0C-processed-gene-9.3-mRNA-1_1&gene=genemark-YALI0C-processed-gene-9.3&CDS=1-882, snap_masked-YALI0E-processed-gene-4.90-mRNA-1_1&gene=snap_masked-YALI0E-processed-gene-4.90&CDS=1-732
215	OG0000215	YDR447C, YML024W	genemark-YALI0F-processed-gene-19.12-mRNA-1_1&gene=genemark-YALI0F-processed-gene-19.12&CDS=1-414
216	OG0000216	YDR450W, YML026C	genemark-YALI0D-processed-gene-26.41-mRNA-1_1&gene=genemark-YALI0D-processed-gene-26.41&CDS=1-456
217	OG0000217	YDR458C, YML034W	maker-YALI0E-augustus-gene-14.37-mRNA-1_1&gene=maker-YALI0E-augustus-gene-14.37&CDS=1-2814
218	OG0000218	YDR463W, YHR006W	snap_masked-YALI0E-processed-gene-29.33-mRNA-1_1&gene=snap_masked-YALI0E-processed-gene-29.33&CDS=1-1557
219	OG0000219	YDR471W, YHR010W	augustus_masked-YALI0B-processed-gene-8.28-mRNA-1_1&gene=augustus_masked-YALI0B-processed-gene-8.28&CDS=1-414
220	OG0000220	YDR490C, YOL100W	genemark-YALI0B-processed-gene-7.44-mRNA-1_1&gene=genemark-YALI0B-processed-gene-7.44&CDS=1-4626
221	OG0000221	YDR497C, YOL103W	genemark-YALI0F-processed-gene-31.22-mRNA-1_1&gene=genemark-YALI0F-processed-gene-31.22&CDS=1-1620
222	OG0000222	YDR500C, YLR185W	augustus_masked-YALI0E-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-YALI0E-processed-gene-1.49&CDS=1-252
223	OG0000223	YDR501W, YLR183C	genemark-YALI0E-processed-gene-1.31-mRNA-1_1&gene=genemark-YALI0E-processed-gene-1.31&CDS=1-2118
224	OG0000224	YDR505C, YLR177W	genemark-YALI0F-processed-gene-10.43-mRNA-1_1&gene=genemark-YALI0F-processed-gene-10.43&CDS=1-2040
225	OG0000225	YEL007W, YHR177W	genemark-YALI0B-processed-gene-24.31-mRNA-1_1&gene=genemark-YALI0B-processed-gene-24.31&CDS=1-1545
226	OG0000226	YEL022W, YJR031C	maker-YALI0E-augustus-gene-23.32-mRNA-1_1&gene=maker-YALI0E-augustus-gene-23.32&CDS=1-4452
227	OG0000227	YEL041W, YJR049C	snap_masked-YALI0E-processed-gene-33.73-mRNA-1_1&gene=snap_masked-YALI0E-processed-gene-33.73&CDS=1-1140
228	OG0000228	YEL060C	genemark-YALI0B-processed-gene-21.15-mRNA-1_1&gene=genemark-YALI0B-processed-gene-21.15&CDS=1-1548, snap_masked-YALI0A-processed-gene-6.88-mRNA-1_1&gene=snap_masked-YALI0A-processed-gene-6.88&CDS=1-1413
229	OG0000229	YEL066W, YPR193C	genemark-YALI0B-processed-gene-26.26-mRNA-1_1&gene=genemark-YALI0B-processed-gene-26.26&CDS=1-450
230	OG0000230	YER008C	maker-YALI0F-augustus-gene-28.40-mRNA-1_1&gene=maker-YALI0F-augustus-gene-28.40&CDS=1-4560, snap_masked-YALI0C-processed-gene-22.40-mRNA-1_1&gene=snap_masked-YALI0C-processed-gene-22.40&CDS=1-282
231	OG0000231	YER027C, YGL208W	genemark-YALI0E-processed-gene-16.72-mRNA-1_1&gene=genemark-YALI0E-processed-gene-16.72&CDS=1-1170
232	OG0000232	YER031C, YGL210W	genemark-YALI0D-processed-gene-17.32-mRNA-1_1&gene=genemark-YALI0D-processed-gene-17.32&CDS=1-636
233	OG0000233	YER054C, YIL045W	augustus_masked-YALI0B-processed-gene-13.47-mRNA-1_1&gene=augustus_masked-YALI0B-processed-gene-13.47&CDS=1-3102
234	OG0000234	YER056C-A, YIL052C	augustus_masked-YALI0C-processed-gene-6.104-mRNA-1_1&gene=augustus_masked-YALI0C-processed-gene-6.104&CDS=1-321
235	OG0000235	YER057C, YIL051C	genemark-YALI0C-processed-gene-13.53-mRNA-1_1&gene=genemark-YALI0C-processed-gene-13.53&CDS=1-375
236	OG0000236	YER059W, YIL050W	genemark-YALI0C-processed-gene-6.55-mRNA-1_1&gene=genemark-YALI0C-processed-gene-6.55&CDS=1-1860
237	OG0000237	YER064C, YIL056W	augustus_masked-YALI0A-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-YALI0A-processed-gene-7.45&CDS=1-1668
238	OG0000238	YER066W, YFL009W	genemark-YALI0E-processed-gene-18.43-mRNA-1_1&gene=genemark-YALI0E-processed-gene-18.43&CDS=1-2094
239	OG0000239	YER074W, YIL069C	genemark-YALI0D-processed-gene-17.2-mRNA-1_1&gene=genemark-YALI0D-processed-gene-17.2&CDS=1-402
240	OG0000240	YER081W, YIL074C	genemark-YALI0F-processed-gene-13.80-mRNA-1_1&gene=genemark-YALI0F-processed-gene-13.80&CDS=1-1407
241	OG0000241	YER116C	augustus_masked-YALI0B-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-YALI0B-processed-gene-0.46&CDS=1-444, genemark-YALI0D-processed-gene-13.52-mRNA-1_1&gene=genemark-YALI0D-processed-gene-13.52&CDS=1-582
242	OG0000242	YER131W, YGL189C	maker-YALI0E-snap-gene-23.80-mRNA-1_1&gene=maker-YALI0E-snap-gene-23.80&CDS=1-369
243	OG0000243	YFL025C	genemark-YALI0F-processed-gene-38.70-mRNA-1_1&gene=genemark-YALI0F-processed-gene-38.70&CDS=1-2865, snap_masked-YALI0B-processed-gene-13.17-mRNA-1_1&gene=snap_masked-YALI0B-processed-gene-13.17&CDS=1-2616
244	OG0000244	YFL034C-A, YLR061W	genemark-YALI0E-processed-gene-38.122-mRNA-1_1&gene=genemark-YALI0E-processed-gene-38.122&CDS=1-345
245	OG0000245	YFL054C	augustus_masked-YALI0F-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-YALI0F-processed-gene-0.37&CDS=1-966, genemark-YALI0E-processed-gene-6.36-mRNA-1_1&gene=genemark-YALI0E-processed-gene-6.36&CDS=1-1155
246	OG0000246	YFR022W, YOR018W	genemark-YALI0D-processed-gene-16.103-mRNA-1_1&gene=genemark-YALI0D-processed-gene-16.103&CDS=1-1818
247	OG0000247	YFR024C-A, YHR016C	genemark-YALI0E-processed-gene-6.34-mRNA-1_1&gene=genemark-YALI0E-processed-gene-6.34&CDS=1-1512
248	OG0000248	YFR031C-A, YIL018W	genemark-YALI0F-processed-gene-32.56-mRNA-1_1&gene=genemark-YALI0F-processed-gene-32.56&CDS=1-762
249	OG0000249	YFR053C, YGL253W	genemark-YALI0B-processed-gene-29.70-mRNA-1_1&gene=genemark-YALI0B-processed-gene-29.70&CDS=1-1602
250	OG0000250	YGL031C, YGR148C	genemark-YALI0E-processed-gene-27.95-mRNA-1_1&gene=genemark-YALI0E-processed-gene-27.95&CDS=1-465
251	OG0000251	YGL049C, YGR162W	genemark-YALI0C-processed-gene-6.49-mRNA-1_1&gene=genemark-YALI0C-processed-gene-6.49&CDS=1-2757
252	OG0000252	YGL066W	genemark-YALI0C-processed-gene-7.39-mRNA-1_1&gene=genemark-YALI0C-processed-gene-7.39&CDS=1-744, genemark-YALI0E-processed-gene-37.65-mRNA-1_1&gene=genemark-YALI0E-processed-gene-37.65&CDS=1-1035
253	OG0000253	YGL076C, YPL198W	genemark-YALI0E-processed-gene-16.54-mRNA-1_1&gene=genemark-YALI0E-processed-gene-16.54&CDS=1-750
254	OG0000254	YGL082W, YPL191C	genemark-YALI0E-processed-gene-16.73-mRNA-1_1&gene=genemark-YALI0E-processed-gene-16.73&CDS=1-1866
255	OG0000255	YGL096W, YPL177C	genemark-YALI0E-processed-gene-34.104-mRNA-1_1&gene=genemark-YALI0E-processed-gene-34.104&CDS=1-1077
256	OG0000256	YGL133W, YPL216W	genemark-YALI0C-processed-gene-31.70-mRNA-1_1&gene=genemark-YALI0C-processed-gene-31.70&CDS=1-2910
257	OG0000257	YGL135W, YPL220W	genemark-YALI0E-processed-gene-38.98-mRNA-1_1&gene=genemark-YALI0E-processed-gene-38.98&CDS=1-651
258	OG0000258	YGL147C, YNL067W	genemark-YALI0E-processed-gene-34.115-mRNA-1_1&gene=genemark-YALI0E-processed-gene-34.115&CDS=1-564
259	OG0000259	YGR008C, YLR327C	augustus_masked-YALI0C-processed-gene-8.29-mRNA-1_1&gene=augustus_masked-YALI0C-processed-gene-8.29&CDS=1-279
260	OG0000260	YGR010W, YLR328W	genemark-YALI0E-processed-gene-30.64-mRNA-1_1&gene=genemark-YALI0E-processed-gene-30.64&CDS=1-1410
261	OG0000261	YGR027C, YLR333C	genemark-YALI0C-processed-gene-5.36-mRNA-1_1&gene=genemark-YALI0C-processed-gene-5.36&CDS=1-330
262	OG0000262	YGR034W, YLR344W	genemark-YALI0E-processed-gene-25.7-mRNA-1_1&gene=genemark-YALI0E-processed-gene-25.7&CDS=1-384
263	OG0000263	YGR038W, YLR350W	genemark-YALI0B-processed-gene-23.27-mRNA-1_1&gene=genemark-YALI0B-processed-gene-23.27&CDS=1-552
264	OG0000264	YGR056W, YLR357W	genemark-YALI0D-processed-gene-26.58-mRNA-1_1&gene=genemark-YALI0D-processed-gene-26.58&CDS=1-2277
265	OG0000265	YGR070W, YLR371W	genemark-YALI0B-processed-gene-26.24-mRNA-1_1&gene=genemark-YALI0B-processed-gene-26.24&CDS=1-3939
266	OG0000266	YGR085C, YPR102C	augustus_masked-YALI0B-processed-gene-20.5-mRNA-1_1&gene=augustus_masked-YALI0B-processed-gene-20.5&CDS=1-516
267	OG0000267	YGR088W	augustus_masked-YALI0E-processed-gene-41.36-mRNA-1_1&gene=augustus_masked-YALI0E-processed-gene-41.36&CDS=1-1596, genemark-YALI0E-processed-gene-40.72-mRNA-1_1&gene=genemark-YALI0E-processed-gene-40.72&CDS=1-1596
268	OG0000268	YGR092W, YPR111W	genemark-YALI0B-processed-gene-19.0-mRNA-1_1&gene=genemark-YALI0B-processed-gene-19.0&CDS=1-1740
269	OG0000269	YGR108W, YPR119W	genemark-YALI0B-processed-gene-20.41-mRNA-1_1&gene=genemark-YALI0B-processed-gene-20.41&CDS=1-1569
270	OG0000270	YGR118W, YPR132W	genemark-YALI0A-processed-gene-22.132-mRNA-1_1&gene=genemark-YALI0A-processed-gene-22.132&CDS=1-435
271	OG0000271	YGR121C, YPR138C	genemark-YALI0F-processed-gene-22.45-mRNA-1_1&gene=genemark-YALI0F-processed-gene-22.45&CDS=1-1551
272	OG0000272	YGR131W, YPR149W	genemark-YALI0C-processed-gene-16.40-mRNA-1_1&gene=genemark-YALI0C-processed-gene-16.40&CDS=1-522
273	OG0000273	YGR136W, YPR154W	maker-YALI0C-snap-gene-5.97-mRNA-1_1&gene=maker-YALI0C-snap-gene-5.97&CDS=1-852
274	OG0000274	YGR138C, YPR156C	genemark-YALI0B-processed-gene-27.41-mRNA-1_1&gene=genemark-YALI0B-processed-gene-27.41&CDS=1-1650
275	OG0000275	YGR141W, YPR157W	genemark-YALI0E-processed-gene-7.40-mRNA-1_1&gene=genemark-YALI0E-processed-gene-7.40&CDS=1-1215
276	OG0000276	YGR189C	genemark-YALI0C-processed-gene-13.62-mRNA-1_1&gene=genemark-YALI0C-processed-gene-13.62&CDS=1-1545, genemark-YALI0E-processed-gene-29.62-mRNA-1_1&gene=genemark-YALI0E-processed-gene-29.62&CDS=1-1752
277	OG0000277	YGR209C, YLR043C	genemark-YALI0F-processed-gene-2.6-mRNA-1_1&gene=genemark-YALI0F-processed-gene-2.6&CDS=1-312
278	OG0000278	YGR214W, YLR048W	genemark-YALI0A-processed-gene-19.16-mRNA-1_1&gene=genemark-YALI0A-processed-gene-19.16&CDS=1-810
279	OG0000279	YGR238C, YHR158C	genemark-YALI0D-processed-gene-27.23-mRNA-1_1&gene=genemark-YALI0D-processed-gene-27.23&CDS=1-4920
280	OG0000280	YGR241C, YHR161C	genemark-YALI0B-processed-gene-13.72-mRNA-1_1&gene=genemark-YALI0B-processed-gene-13.72&CDS=1-2121
281	OG0000281	YGR243W, YHR162W	genemark-YALI0C-processed-gene-4.46-mRNA-1_1&gene=genemark-YALI0C-processed-gene-4.46&CDS=1-402
282	OG0000282	YGR248W, YHR163W	genemark-YALI0E-processed-gene-14.6-mRNA-1_1&gene=genemark-YALI0E-processed-gene-14.6&CDS=1-744
283	OG0000283	YGR273C, YMR295C	genemark-YALI0B-processed-gene-6.12-mRNA-1_1&gene=genemark-YALI0B-processed-gene-6.12&CDS=1-657
284	OG0000284	YGR279C, YMR305C	genemark-YALI0D-processed-gene-26.42-mRNA-1_1&gene=genemark-YALI0D-processed-gene-26.42&CDS=1-1260
285	OG0000285	YGR283C, YMR310C	augustus_masked-YALI0E-processed-gene-24.67-mRNA-1_1&gene=augustus_masked-YALI0E-processed-gene-24.67&CDS=1-1152
286	OG0000286	YHL001W, YKL006W	genemark-YALI0E-processed-gene-0.42-mRNA-1_1&gene=genemark-YALI0E-processed-gene-0.42&CDS=1-417
287	OG0000287	YHL003C, YKL008C	genemark-YALI0F-processed-gene-9.64-mRNA-1_1&gene=genemark-YALI0F-processed-gene-9.64&CDS=1-1287
288	OG0000288	YHL016C	genemark-YALI0B-processed-gene-5.14-mRNA-1_1&gene=genemark-YALI0B-processed-gene-5.14&CDS=1-2214, genemark-YALI0C-processed-gene-22.30-mRNA-1_1&gene=genemark-YALI0C-processed-gene-22.30&CDS=1-2211
289	OG0000289	YHL017W, YKL039W	genemark-YALI0A-processed-gene-20.67-mRNA-1_1&gene=genemark-YALI0A-processed-gene-20.67&CDS=1-1671
290	OG0000290	YHL033C, YLL045C	genemark-YALI0F-processed-gene-32.72-mRNA-1_1&gene=genemark-YALI0F-processed-gene-32.72&CDS=1-789
291	OG0000291	YHR001W, YKR003W	augustus_masked-YALI0A-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-YALI0A-processed-gene-3.50&CDS=1-1482
292	OG0000292	YHR021C, YKL156W	augustus_masked-YALI0E-processed-gene-41.39-mRNA-1_1&gene=augustus_masked-YALI0E-processed-gene-41.39&CDS=1-246
293	OG0000293	YHR032W	genemark-YALI0D-processed-gene-35.36-mRNA-1_1&gene=genemark-YALI0D-processed-gene-35.36&CDS=1-1800, genemark-YALI0E-processed-gene-31.25-mRNA-1_1&gene=genemark-YALI0E-processed-gene-31.25&CDS=1-1812
294	OG0000294	YHR048W	augustus_masked-YALI0A-processed-gene-20.100-mRNA-1_1&gene=augustus_masked-YALI0A-processed-gene-20.100&CDS=1-1482, genemark-YALI0F-processed-gene-18.63-mRNA-1_1&gene=genemark-YALI0F-processed-gene-18.63&CDS=1-1602
295	OG0000295	YHR101C	genemark-YALI0C-processed-gene-29.50-mRNA-1_1&gene=genemark-YALI0C-processed-gene-29.50&CDS=1-996, genemark-YALI0C-processed-gene-4.39-mRNA-1_1&gene=genemark-YALI0C-processed-gene-4.39&CDS=1-846
296	OG0000296	YHR115C, YNL116W	genemark-YALI0F-processed-gene-25.37-mRNA-1_1&gene=genemark-YALI0F-processed-gene-25.37&CDS=1-1833
297	OG0000297	YHR117W, YNL121C	genemark-YALI0B-processed-gene-14.6-mRNA-1_1&gene=genemark-YALI0B-processed-gene-14.6&CDS=1-1848
298	OG0000298	YHR123W, YNL130C	genemark-YALI0C-processed-gene-15.74-mRNA-1_1&gene=genemark-YALI0C-processed-gene-15.74&CDS=1-1182
299	OG0000299	YHR131C, YNL144C	genemark-YALI0C-processed-gene-18.62-mRNA-1_1&gene=genemark-YALI0C-processed-gene-18.62&CDS=1-1533
300	OG0000300	YHR132W-A, YNL157W	genemark-YALI0D-processed-gene-35.28-mRNA-1_1&gene=genemark-YALI0D-processed-gene-35.28&CDS=1-348
301	OG0000301	YHR133C, YNL156C	genemark-YALI0A-processed-gene-14.25-mRNA-1_1&gene=genemark-YALI0A-processed-gene-14.25&CDS=1-855
302	OG0000302	YHR141C, YNL162W	maker-YALI0B-snap-gene-5.106-mRNA-1_1&gene=maker-YALI0B-snap-gene-5.106&CDS=1-318
303	OG0000303	YHR155W, YNL257C	augustus_masked-YALI0A-processed-gene-8.76-mRNA-1_1&gene=augustus_masked-YALI0A-processed-gene-8.76&CDS=1-4227
304	OG0000304	YHR188C	genemark-YALI0B-processed-gene-15.65-mRNA-1_1&gene=genemark-YALI0B-processed-gene-15.65&CDS=1-2925, genemark-YALI0B-processed-gene-27.12-mRNA-1_1&gene=genemark-YALI0B-processed-gene-27.12&CDS=1-1725
305	OG0000305	YHR203C, YJR145C	genemark-YALI0D-processed-gene-16.102-mRNA-1_1&gene=genemark-YALI0D-processed-gene-16.102&CDS=1-780
306	OG0000306	YIL038C, YPR072W	genemark-YALI0E-processed-gene-7.59-mRNA-1_1&gene=genemark-YALI0E-processed-gene-7.59&CDS=1-1878
307	OG0000307	YIL085C, YNL029C	genemark-YALI0F-processed-gene-33.46-mRNA-1_1&gene=genemark-YALI0F-processed-gene-33.46&CDS=1-1446
308	OG0000308	YIL095W, YNL020C	genemark-YALI0E-processed-gene-27.81-mRNA-1_1&gene=genemark-YALI0E-processed-gene-27.81&CDS=1-3186
309	OG0000309	YIL105C, YNL047C	genemark-YALI0D-processed-gene-11.83-mRNA-1_1&gene=genemark-YALI0D-processed-gene-11.83&CDS=1-2412
310	OG0000310	YIL111W, YNL052W	genemark-YALI0F-processed-gene-5.29-mRNA-1_1&gene=genemark-YALI0F-processed-gene-5.29&CDS=1-507
311	OG0000311	YIL114C, YNL055C	snap_masked-YALI0F-processed-gene-23.28-mRNA-1_1&gene=snap_masked-YALI0F-processed-gene-23.28&CDS=1-867
312	OG0000312	YIL120W, YIL121W	genemark-YALI0F-processed-gene-5.41-mRNA-1_1&gene=genemark-YALI0F-processed-gene-5.41&CDS=1-1728
313	OG0000313	YIL131C, YNL068C	maker-YALI0C-snap-gene-12.32-mRNA-1_1&gene=maker-YALI0C-snap-gene-12.32&CDS=1-2085
314	OG0000314	YIL149C, YKR095W	snap_masked-YALI0F-processed-gene-27.12-mRNA-1_1&gene=snap_masked-YALI0F-processed-gene-27.12&CDS=1-5817
315	OG0000315	YIR007W	genemark-YALI0B-processed-gene-15.62-mRNA-1_1&gene=genemark-YALI0B-processed-gene-15.62&CDS=1-2418, genemark-YALI0E-processed-gene-7.55-mRNA-1_1&gene=genemark-YALI0E-processed-gene-7.55&CDS=1-2364
316	OG0000316	YIR013C, YLR013W	snap_masked-YALI0E-processed-gene-37.84-mRNA-1_1&gene=snap_masked-YALI0E-processed-gene-37.84&CDS=1-1218
317	OG0000317	YIR031C, YNL117W	augustus_masked-YALI0E-processed-gene-18.12-mRNA-1_1&gene=augustus_masked-YALI0E-processed-gene-18.12&CDS=1-1650
318	OG0000318	YJL081C	genemark-YALI0F-processed-gene-33.58-mRNA-1_1&gene=genemark-YALI0F-processed-gene-33.58&CDS=1-1281, genemark-YALI0F-processed-gene-35.74-mRNA-1_1&gene=genemark-YALI0F-processed-gene-35.74&CDS=1-1296
319	OG0000319	YJL082W, YKR018C	genemark-YALI0F-processed-gene-37.4-mRNA-1_1&gene=genemark-YALI0F-processed-gene-37.4&CDS=1-2163
320	OG0000320	YJL083W, YKR019C	genemark-YALI0E-processed-gene-35.43-mRNA-1_1&gene=genemark-YALI0E-processed-gene-35.43&CDS=1-3015
321	OG0000321	YJL084C, YKR021W	snap_masked-YALI0B-processed-gene-0.10-mRNA-1_1&gene=snap_masked-YALI0B-processed-gene-0.10&CDS=1-2340
322	OG0000322	YJL093C	genemark-YALI0D-processed-gene-7.27-mRNA-1_1&gene=genemark-YALI0D-processed-gene-7.27&CDS=1-2427, genemark-YALI0E-processed-gene-3.31-mRNA-1_1&gene=genemark-YALI0E-processed-gene-3.31&CDS=1-2490
323	OG0000323	YJL105W, YKR029C	genemark-YALI0F-processed-gene-4.50-mRNA-1_1&gene=genemark-YALI0F-processed-gene-4.50&CDS=1-1914
324	OG0000324	YJL133W, YKR052C	genemark-YALI0B-processed-gene-28.20-mRNA-1_1&gene=genemark-YALI0B-processed-gene-28.20&CDS=1-951
325	OG0000325	YJL134W, YKR053C	genemark-YALI0E-processed-gene-25.24-mRNA-1_1&gene=genemark-YALI0E-processed-gene-25.24&CDS=1-1890
326	OG0000326	YJL136C, YKR057W	augustus_masked-YALI0D-processed-gene-17.40-mRNA-1_1&gene=augustus_masked-YALI0D-processed-gene-17.40&CDS=1-261
327	OG0000327	YJL137C, YKR058W	snap_masked-YALI0C-processed-gene-28.86-mRNA-1_1&gene=snap_masked-YALI0C-processed-gene-28.86&CDS=1-1641
328	OG0000328	YJL138C, YKR059W	genemark-YALI0B-processed-gene-27.17-mRNA-1_1&gene=genemark-YALI0B-processed-gene-27.17&CDS=1-1185
329	OG0000329	YJL158C, YJL160C	genemark-YALI0B-processed-gene-26.13-mRNA-1_1&gene=genemark-YALI0B-processed-gene-26.13&CDS=1-858
330	OG0000330	YJL177W, YKL180W	genemark-YALI0C-processed-gene-22.21-mRNA-1_1&gene=genemark-YALI0C-processed-gene-22.21&CDS=1-552
331	OG0000331	YJL218W	genemark-YALI0A-processed-gene-15.39-mRNA-1_1&gene=genemark-YALI0A-processed-gene-15.39&CDS=1-663, genemark-YALI0B-processed-gene-15.42-mRNA-1_1&gene=genemark-YALI0B-processed-gene-15.42&CDS=1-660
332	OG0000332	YJR054W, YML047C	augustus_masked-YALI0E-processed-gene-40.20-mRNA-1_1&gene=augustus_masked-YALI0E-processed-gene-40.20&CDS=1-1386
333	OG0000333	YJR061W, YKL201C	genemark-YALI0D-processed-gene-31.41-mRNA-1_1&gene=genemark-YALI0D-processed-gene-31.41&CDS=1-1932
334	OG0000334	YJR076C	genemark-YALI0C-processed-gene-6.63-mRNA-1_1&gene=genemark-YALI0C-processed-gene-6.63&CDS=1-1161, genemark-YALI0E-processed-gene-21.2-mRNA-1_1&gene=genemark-YALI0E-processed-gene-21.2&CDS=1-1275
335	OG0000335	YJR091C, YPR042C	genemark-YALI0A-processed-gene-21.61-mRNA-1_1&gene=genemark-YALI0A-processed-gene-21.61&CDS=1-2646
336	OG0000336	YJR092W	genemark-YALI0B-processed-gene-10.35-mRNA-1_1&gene=genemark-YALI0B-processed-gene-10.35&CDS=1-3570, snap_masked-YALI0D-processed-gene-14.26-mRNA-1_1&gene=snap_masked-YALI0D-processed-gene-14.26&CDS=1-6354
337	OG0000337	YJR094W-A, YPR043W	genemark-YALI0E-processed-gene-41.3-mRNA-1_1&gene=genemark-YALI0E-processed-gene-41.3&CDS=1-279
338	OG0000338	YJR096W	genemark-YALI0A-processed-gene-21.50-mRNA-1_1&gene=genemark-YALI0A-processed-gene-21.50&CDS=1-861, genemark-YALI0C-processed-gene-0.17-mRNA-1_1&gene=genemark-YALI0C-processed-gene-0.17&CDS=1-852
339	OG0000339	YJR124C	augustus_masked-YALI0C-processed-gene-11.42-mRNA-1_1&gene=augustus_masked-YALI0C-processed-gene-11.42&CDS=1-1383, genemark-YALI0A-processed-gene-16.89-mRNA-1_1&gene=genemark-YALI0A-processed-gene-16.89&CDS=1-1389
340	OG0000340	YJR127C, YML081W	genemark-YALI0D-processed-gene-23.12-mRNA-1_1&gene=genemark-YALI0D-processed-gene-23.12&CDS=1-3321
341	OG0000341	YJR130C, YML082W	genemark-YALI0D-processed-gene-21.117-mRNA-1_1&gene=genemark-YALI0D-processed-gene-21.117&CDS=1-1647
342	OG0000342	YKL050C, YMR031C	augustus_masked-YALI0F-processed-gene-19.70-mRNA-1_1&gene=augustus_masked-YALI0F-processed-gene-19.70&CDS=1-3873
343	OG0000343	YKL068W, YMR047C	genemark-YALI0F-processed-gene-36.73-mRNA-1_1&gene=genemark-YALI0F-processed-gene-36.73&CDS=1-3291
344	OG0000344	YKL072W, YMR053C	genemark-YALI0E-processed-gene-12.32-mRNA-1_1&gene=genemark-YALI0E-processed-gene-12.32&CDS=1-2649
