	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034681_Blastobotrys_americana
387	OG0000387	YIL113W, YNL053W	maker-flattened_line_2-snap-gene-1.141-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-1.141&CDS=1-1413
388	OG0000388	YIL114C, YNL055C	snap_masked-flattened_line_34-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.15&CDS=1-849
389	OG0000389	YIL124W	snap_masked-flattened_line_38-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.37&CDS=1-843, snap_masked-flattened_line_78-processed-gene-0.135-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.135&CDS=1-852
390	OG0000390	YIL126W	snap_masked-flattened_line_0-processed-gene-5.9-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.9&CDS=1-4593, snap_masked-flattened_line_32-processed-gene-1.54-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.54&CDS=1-4089
391	OG0000391	YIL130W	snap_masked-flattened_line_0-processed-gene-4.8-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.8&CDS=1-2373, snap_masked-flattened_line_20-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.41&CDS=1-2514
392	OG0000392	YIL147C	snap_masked-flattened_line_20-processed-gene-2.188-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-2.188&CDS=1-3915, snap_masked-flattened_line_24-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.102&CDS=1-3297
393	OG0000393	YIL149C, YKR095W	augustus_masked-flattened_line_12-processed-gene-2.160-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.160&CDS=1-5820
394	OG0000394	YIL154C	snap_masked-flattened_line_0-processed-gene-2.92-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.92&CDS=1-1650, snap_masked-flattened_line_14-processed-gene-2.62-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.62&CDS=1-1029
395	OG0000395	YIL160C	snap_masked-flattened_line_6-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.42&CDS=1-1242, snap_masked-flattened_line_72-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.102&CDS=1-1248
396	OG0000396	YIR007W	snap_masked-flattened_line_16-processed-gene-1.92-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.92&CDS=1-2157, snap_masked-flattened_line_8-processed-gene-1.76-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.76&CDS=1-2133
397	OG0000397	YIR013C, YLR013W	snap_masked-flattened_line_18-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.48&CDS=1-1935
398	OG0000398	YIR031C, YNL117W	snap_masked-flattened_line_2-processed-gene-3.19-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.19&CDS=1-1641
399	OG0000399	YIR038C	snap_masked-flattened_line_14-processed-gene-2.76-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.76&CDS=1-675, snap_masked-flattened_line_2-processed-gene-5.77-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-5.77&CDS=1-690
400	OG0000400	YJL076W, YKR010C	snap_masked-flattened_line_30-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.15&CDS=1-2862
401	OG0000401	YJL079C, YKR013W	snap_masked-flattened_line_0-processed-gene-1.59-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.59&CDS=1-795
402	OG0000402	YJL082W, YKR018C	snap_masked-flattened_line_6-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.17&CDS=1-2229
403	OG0000403	YJL083W, YKR019C	snap_masked-flattened_line_4-processed-gene-2.132-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.132&CDS=1-2307
404	OG0000404	YJL084C, YKR021W	snap_masked-flattened_line_0-processed-gene-4.12-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.12&CDS=1-2724
405	OG0000405	YJL105W, YKR029C	snap_masked-flattened_line_82-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.18&CDS=1-2397
406	OG0000406	YJL133W, YKR052C	snap_masked-flattened_line_54-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.26&CDS=1-1059
407	OG0000407	YJL134W, YKR053C	snap_masked-flattened_line_18-processed-gene-2.96-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.96&CDS=1-1674
408	OG0000408	YJL136C, YKR057W	snap_masked-flattened_line_50-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.124&CDS=1-261
409	OG0000409	YJL137C, YKR058W	snap_masked-flattened_line_100-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.51&CDS=1-1875
410	OG0000410	YJL163C	maker-flattened_line_64-snap-gene-0.70-mRNA-1_1&gene=maker-flattened_line_64-snap-gene-0.70&CDS=1-1620, snap_masked-flattened_line_12-processed-gene-1.41-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.41&CDS=1-1638
411	OG0000411	YJL172W, YOL153C	snap_masked-flattened_line_4-processed-gene-1.54-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.54&CDS=1-1797
412	OG0000412	YJL177W, YKL180W	snap_masked-flattened_line_62-processed-gene-0.100-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.100&CDS=1-558
413	OG0000413	YJL190C, YLR367W	maker-flattened_line_20-snap-gene-0.91-mRNA-1_1&gene=maker-flattened_line_20-snap-gene-0.91&CDS=1-387
414	OG0000414	YJR040W	snap_masked-flattened_line_24-processed-gene-0.75-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.75&CDS=1-2436, snap_masked-flattened_line_4-processed-gene-1.71-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.71&CDS=1-2211
415	OG0000415	YJR054W, YML047C	snap_masked-flattened_line_14-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.88&CDS=1-2262
416	OG0000416	YJR061W, YKL201C	snap_masked-flattened_line_26-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.42&CDS=1-1989
417	OG0000417	YJR080C	genemark-flattened_line_16-processed-gene-1.127-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.127&CDS=1-915, snap_masked-flattened_line_30-processed-gene-1.76-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.76&CDS=1-1101
418	OG0000418	YJR091C, YPR042C	snap_masked-flattened_line_42-processed-gene-1.96-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-1.96&CDS=1-3372
419	OG0000419	YJR094W-A, YPR043W	maker-flattened_line_2-augustus-gene-4.87-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-4.87&CDS=1-282
420	OG0000420	YJR096W	snap_masked-flattened_line_0-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.70&CDS=1-822, snap_masked-flattened_line_14-processed-gene-2.69-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.69&CDS=1-849
421	OG0000421	YJR119C	maker-flattened_line_18-snap-gene-2.4-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-2.4&CDS=1-4449, snap_masked-flattened_line_18-processed-gene-2.57-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.57&CDS=1-2460
422	OG0000422	YJR124C	snap_masked-flattened_line_16-processed-gene-1.59-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.59&CDS=1-1425, snap_masked-flattened_line_20-processed-gene-2.195-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-2.195&CDS=1-1404
423	OG0000423	YJR127C, YML081W	snap_masked-flattened_line_70-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.45&CDS=1-3636
424	OG0000424	YJR130C, YML082W	maker-flattened_line_70-snap-gene-0.227-mRNA-1_1&gene=maker-flattened_line_70-snap-gene-0.227&CDS=1-1719
425	OG0000425	YJR152W	maker-flattened_line_40-augustus-gene-0.6-mRNA-1_1&gene=maker-flattened_line_40-augustus-gene-0.6&CDS=1-2364, snap_masked-flattened_line_28-processed-gene-1.25-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.25&CDS=1-1536
426	OG0000426	YKL050C, YMR031C	augustus_masked-flattened_line_20-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-2.26&CDS=1-2949
427	OG0000427	YKL072W, YMR053C	snap_masked-flattened_line_32-processed-gene-1.44-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.44&CDS=1-2394
428	OG0000428	YKL081W, YPL048W	maker-flattened_line_0-snap-gene-5.119-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-5.119&CDS=1-1215
429	OG0000429	YKL103C	augustus_masked-flattened_line_50-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.78&CDS=1-1524, genemark-flattened_line_80-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.131&CDS=1-1530
430	OG0000430	YKL121W, YMR102C	snap_masked-flattened_line_16-processed-gene-1.58-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.58&CDS=1-2901
431	OG0000431	YKL128C	maker-flattened_line_2-snap-gene-4.42-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-4.42&CDS=1-2469, snap_masked-flattened_line_40-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.11&CDS=1-909
432	OG0000432	YKL132C, YMR113W	snap_masked-flattened_line_38-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.47&CDS=1-1236
433	OG0000433	YKL133C, YMR115W	maker-flattened_line_38-augustus-gene-0.4-mRNA-1_1&gene=maker-flattened_line_38-augustus-gene-0.4&CDS=1-1545
434	OG0000434	YKL141W, YMR118C	snap_masked-flattened_line_4-processed-gene-2.133-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.133&CDS=1-549
435	OG0000435	YKL192C	genemark-flattened_line_18-processed-gene-1.61-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.61&CDS=1-411, maker-flattened_line_20-augustus-gene-1.52-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-1.52&CDS=1-432
436	OG0000436	YKL217W	snap_masked-flattened_line_2-processed-gene-6.111-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-6.111&CDS=1-1635, snap_masked-flattened_line_50-processed-gene-0.147-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.147&CDS=1-1620
437	OG0000437	YKR001C	snap_masked-flattened_line_32-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.55&CDS=1-2052, snap_masked-flattened_line_46-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.35&CDS=1-2097
438	OG0000438	YKR066C	snap_masked-flattened_line_32-processed-gene-1.52-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.52&CDS=1-1134, snap_masked-flattened_line_8-processed-gene-1.60-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.60&CDS=1-861
439	OG0000439	YKR076W, YMR251W	snap_masked-flattened_line_58-processed-gene-0.229-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.229&CDS=1-963
440	OG0000440	YLL010C, YLR019W	snap_masked-flattened_line_98-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_98-processed-gene-0.94&CDS=1-1293
441	OG0000441	YLL012W, YLR020C	snap_masked-flattened_line_24-processed-gene-0.97-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.97&CDS=1-1590
442	OG0000442	YLL016W, YLR310C	maker-flattened_line_12-snap-gene-0.84-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-0.84&CDS=1-4095
443	OG0000443	YLL028W	snap_masked-flattened_line_46-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.14&CDS=1-1689, snap_masked-flattened_line_52-processed-gene-0.204-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.204&CDS=1-1731
444	OG0000444	YLL056C	maker-flattened_line_14-snap-gene-2.5-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-2.5&CDS=1-1662, snap_masked-flattened_line_6-processed-gene-4.147-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.147&CDS=1-894
445	OG0000445	YLR027C	snap_masked-flattened_line_22-processed-gene-1.44-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.44&CDS=1-1212, snap_masked-flattened_line_24-processed-gene-1.3-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.3&CDS=1-1299
446	OG0000446	YLR031W, YMR124W	snap_masked-flattened_line_20-processed-gene-1.33-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.33&CDS=1-2286
447	OG0000447	YLR044C, YLR134W	snap_masked-flattened_line_30-processed-gene-1.58-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.58&CDS=1-1695
448	OG0000448	YLR109W	snap_masked-flattened_line_70-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.29&CDS=1-510, snap_masked-flattened_line_96-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.43&CDS=1-513
449	OG0000449	YLR138W	maker-flattened_line_8-snap-gene-3.65-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-3.65&CDS=1-2622, snap_masked-flattened_line_4-processed-gene-2.112-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.112&CDS=1-1332
450	OG0000450	YLR144C	snap_masked-flattened_line_30-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.38&CDS=1-2265, snap_masked-flattened_line_38-processed-gene-1.39-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.39&CDS=1-2949
451	OG0000451	YLR153C	snap_masked-flattened_line_26-processed-gene-1.104-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.104&CDS=1-1974, snap_masked-flattened_line_28-processed-gene-2.15-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-2.15&CDS=1-1980
452	OG0000452	YLR178C, YLR179C	snap_masked-flattened_line_50-processed-gene-0.115-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.115&CDS=1-603
453	OG0000453	YLR216C	genemark-flattened_line_10-processed-gene-3.147-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.147&CDS=1-669, snap_masked-flattened_line_2-processed-gene-3.2-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.2&CDS=1-1104
454	OG0000454	YLR260W, YOR171C	snap_masked-flattened_line_42-processed-gene-1.72-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-1.72&CDS=1-1506
455	OG0000455	YLR264W, YOR167C	genemark-flattened_line_4-processed-gene-1.32-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.32&CDS=1-201
456	OG0000456	YLR270W, YOR173W	maker-flattened_line_12-snap-gene-0.86-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-0.86&CDS=1-888
457	OG0000457	YLR284C, YOR180C	snap_masked-flattened_line_38-processed-gene-1.76-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.76&CDS=1-861
458	OG0000458	YLR287C-A, YOR182C	maker-flattened_line_34-snap-gene-1.78-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-1.78&CDS=1-186
459	OG0000459	YLR300W, YOR190W	snap_masked-flattened_line_6-processed-gene-4.194-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.194&CDS=1-1251
460	OG0000460	YLR380W	snap_masked-flattened_line_0-processed-gene-5.12-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.12&CDS=1-1239, snap_masked-flattened_line_6-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.10&CDS=1-1230
461	OG0000461	YLR449W, YML074C	snap_masked-flattened_line_4-processed-gene-1.63-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.63&CDS=1-1221
462	OG0000462	YLR450W, YML075C	snap_masked-flattened_line_2-processed-gene-6.101-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-6.101&CDS=1-3123
463	OG0000463	YLR456W, YPR172W	snap_masked-flattened_line_20-processed-gene-2.172-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-2.172&CDS=1-516
464	OG0000464	YML046W	augustus_masked-flattened_line_119-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_119-processed-gene-0.13&CDS=1-1656, snap_masked-flattened_line_28-processed-gene-1.23-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.23&CDS=1-1677
465	OG0000465	YML061C	genemark-flattened_line_4-processed-gene-2.75-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.75&CDS=1-2316, snap_masked-flattened_line_20-processed-gene-0.78-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.78&CDS=1-2997
466	OG0000466	YML088W	snap_masked-flattened_line_22-processed-gene-0.97-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.97&CDS=1-1779, snap_masked-flattened_line_60-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.66&CDS=1-2370
467	OG0000467	YML100W, YMR261C	snap_masked-flattened_line_22-processed-gene-2.18-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-2.18&CDS=1-2946
468	OG0000468	YML106W, YMR271C	snap_masked-flattened_line_38-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.30&CDS=1-657
469	OG0000469	YML109W, YMR273C	snap_masked-flattened_line_4-processed-gene-5.207-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-5.207&CDS=1-3324
470	OG0000470	YML118W, YMR285C	snap_masked-flattened_line_24-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.87&CDS=1-1344
471	OG0000471	YMR008C	maker-flattened_line_0-snap-gene-0.51-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-0.51&CDS=1-1710, snap_masked-flattened_line_50-processed-gene-0.111-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.111&CDS=1-1875
472	OG0000472	YMR041C	snap_masked-flattened_line_10-processed-gene-3.96-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.96&CDS=1-1068, snap_masked-flattened_line_12-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.14&CDS=1-1044
473	OG0000473	YMR110C	snap_masked-flattened_line_38-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.15&CDS=1-1578, snap_masked-flattened_line_66-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.7&CDS=1-1503
474	OG0000474	YMR119W, YNL008C	snap_masked-flattened_line_22-processed-gene-1.25-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.25&CDS=1-2220
475	OG0000475	YMR155W	snap_masked-flattened_line_16-processed-gene-1.48-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.48&CDS=1-1563, snap_masked-flattened_line_36-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.88&CDS=1-1356
476	OG0000476	YMR177W, YPL224C	snap_masked-flattened_line_18-processed-gene-2.52-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.52&CDS=1-1386
477	OG0000477	YMR182C, YPL230W	snap_masked-flattened_line_22-processed-gene-0.116-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.116&CDS=1-1893
478	OG0000478	YMR183C, YPL232W	snap_masked-flattened_line_78-processed-gene-0.144-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.144&CDS=1-894
479	OG0000479	YMR194W, YPL249C-A	maker-flattened_line_32-snap-gene-0.142-mRNA-1_1&gene=maker-flattened_line_32-snap-gene-0.142&CDS=1-303
480	OG0000480	YMR222C, YOR280C	genemark-flattened_line_8-processed-gene-3.89-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.89&CDS=1-771
481	OG0000481	YMR230W, YOR293W	snap_masked-flattened_line_0-processed-gene-1.104-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.104&CDS=1-417
482	OG0000482	YMR237W, YOR299W	snap_masked-flattened_line_10-processed-gene-3.85-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.85&CDS=1-2124
483	OG0000483	YMR242C, YOR312C	snap_masked-flattened_line_30-processed-gene-1.81-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.81&CDS=1-516
484	OG0000484	YMR243C, YOR316C	snap_masked-flattened_line_16-processed-gene-2.87-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.87&CDS=1-1335
485	OG0000485	YNL026W	augustus_masked-flattened_line_2-processed-gene-3.111-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.111&CDS=1-1482, snap_masked-flattened_line_16-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.54&CDS=1-1425
486	OG0000486	YNL087W, YOR086C	snap_masked-flattened_line_2-processed-gene-5.63-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-5.63&CDS=1-4422
487	OG0000487	YNL104C, YOR108W	maker-flattened_line_4-augustus-gene-5.234-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-5.234&CDS=1-2217
488	OG0000488	YNL106C, YOR109W	snap_masked-flattened_line_12-processed-gene-2.21-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.21&CDS=1-3282
489	OG0000489	YNL108C, YOR110W	maker-flattened_line_0-snap-gene-3.45-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-3.45&CDS=1-1221
490	OG0000490	YNL239W	snap_masked-flattened_line_0-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.72&CDS=1-1473, snap_masked-flattened_line_0-processed-gene-6.165-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.165&CDS=1-1323
491	OG0000491	YNL294C	augustus_masked-flattened_line_2-processed-gene-6.33-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.33&CDS=1-1770, augustus_masked-flattened_line_8-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.8&CDS=1-1470
492	OG0000492	YNL299W, YOL115W	snap_masked-flattened_line_62-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.88&CDS=1-1992
493	OG0000493	YNL301C, YOL120C	snap_masked-flattened_line_24-processed-gene-2.78-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.78&CDS=1-558
494	OG0000494	YNL302C, YOL121C	snap_masked-flattened_line_24-processed-gene-2.43-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.43&CDS=1-444
495	OG0000495	YNL322C	snap_masked-flattened_line_34-processed-gene-1.108-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.108&CDS=1-306, snap_masked-flattened_line_4-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.38&CDS=1-309
496	OG0000496	YOL013C	augustus_masked-flattened_line_30-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-2.60&CDS=1-999, genemark-flattened_line_54-processed-gene-0.142-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.142&CDS=1-1680
497	OG0000497	YOL060C	snap_masked-flattened_line_10-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.10&CDS=1-1506, snap_masked-flattened_line_2-processed-gene-5.54-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-5.54&CDS=1-2172
498	OG0000498	YOL107W	augustus_masked-flattened_line_60-processed-gene-0.224-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.224&CDS=1-1227, snap_masked-flattened_line_28-processed-gene-2.14-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-2.14&CDS=1-1020
499	OG0000499	YOR084W	augustus_masked-flattened_line_38-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.123&CDS=1-1107, augustus_masked-flattened_line_54-processed-gene-0.250-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.250&CDS=1-1107
500	OG0000500	YOR126C	snap_masked-flattened_line_22-processed-gene-1.23-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.23&CDS=1-795, snap_masked-flattened_line_64-processed-gene-0.179-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.179&CDS=1-741
501	OG0000501	YOR227W, YPL137C	maker-flattened_line_4-snap-gene-2.47-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-2.47&CDS=1-3756
502	OG0000502	YOR237W, YPL145C	snap_masked-flattened_line_113-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_113-processed-gene-0.18&CDS=1-1221
503	OG0000503	YOR270C	maker-flattened_line_10-snap-gene-2.129-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-2.129&CDS=1-2538, maker-flattened_line_32-snap-gene-1.5-mRNA-1_1&gene=maker-flattened_line_32-snap-gene-1.5&CDS=1-2547
504	OG0000504	YOR390W, YPL279C	snap_masked-flattened_line_32-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.52&CDS=1-1080
505	OG0000505	YPL060W	snap_masked-flattened_line_30-processed-gene-2.87-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-2.87&CDS=1-1410, snap_masked-flattened_line_4-processed-gene-5.217-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-5.217&CDS=1-1470
506	OG0000506	YPL242C	maker-flattened_line_18-snap-gene-1.153-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-1.153&CDS=1-4638, snap_masked-flattened_line_24-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.74&CDS=1-2352
507	OG0000507	YPL248C	maker-flattened_line_32-snap-gene-0.139-mRNA-1_1&gene=maker-flattened_line_32-snap-gene-0.139&CDS=1-2025, snap_masked-flattened_line_40-processed-gene-1.95-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.95&CDS=1-2622
508	OG0000508	YPR013C, YPR015C	snap_masked-flattened_line_0-processed-gene-5.29-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.29&CDS=1-990
509	OG0000509	YPR169W-A, YPR170W-B	augustus_masked-flattened_line_14-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.3&CDS=1-252
