	OrthologID	Metschnikowia_continentalis	Saccharomyces_cerevisiae
630	OG0000630	augustus_masked-con_s128-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-con_s128-processed-gene-0.23&CDS=1-1248	YNL326C
631	OG0000631	augustus_masked-con_s128-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-con_s128-processed-gene-0.24&CDS=1-1470	YNL330C
632	OG0000632	augustus_masked-con_s129-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-con_s129-processed-gene-0.7&CDS=1-147	YJL189W
633	OG0000633	genemark-con_s130-processed-gene-0.8-mRNA-1_1&gene=genemark-con_s130-processed-gene-0.8&CDS=1-1122	YLR151C
634	OG0000634	augustus_masked-con_s130-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-con_s130-processed-gene-0.20&CDS=1-1035	YKL151C
635	OG0000635	augustus_masked-con_s130-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-con_s130-processed-gene-0.12&CDS=1-879	YKL150W
636	OG0000636	augustus_masked-con_s130-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-con_s130-processed-gene-0.13&CDS=1-1593	YKL149C
637	OG0000637	snap_masked-con_s130-processed-gene-0.25-mRNA-1_1&gene=snap_masked-con_s130-processed-gene-0.25&CDS=1-1230	YGR117C
638	OG0000638	snap_masked-con_s131-processed-gene-0.1-mRNA-1_1&gene=snap_masked-con_s131-processed-gene-0.1&CDS=1-243	YJL062W-A
639	OG0000639	augustus_masked-con_s133-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.99&CDS=1-1638	YBL020W
640	OG0000640	augustus_masked-con_s133-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.70&CDS=1-762	YBL021C
641	OG0000641	augustus_masked-con_s133-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.71&CDS=1-2148	YBL024W
642	OG0000642	augustus_masked-con_s133-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.73&CDS=1-3315	YBL022C
643	OG0000643	augustus_masked-con_s133-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.74&CDS=1-2595	YBL023C
644	OG0000644	augustus_masked-con_s133-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.103&CDS=1-783	YLR285W
645	OG0000645	augustus_masked-con_s133-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.104&CDS=1-1962	YJR072C
646	OG0000646	genemark-con_s133-processed-gene-0.130-mRNA-1_1&gene=genemark-con_s133-processed-gene-0.130&CDS=1-486	YDR231C
647	OG0000647	genemark-con_s133-processed-gene-0.131-mRNA-1_1&gene=genemark-con_s133-processed-gene-0.131&CDS=1-3177	YKL197C
648	OG0000648	augustus_masked-con_s133-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.105&CDS=1-1050	YOL009C
649	OG0000649	maker-con_s133-augustus-gene-0.67-mRNA-1_1&gene=maker-con_s133-augustus-gene-0.67&CDS=1-951	YMR116C
650	OG0000650	snap_masked-con_s133-processed-gene-0.20-mRNA-1_1&gene=snap_masked-con_s133-processed-gene-0.20&CDS=1-921	YKR026C
651	OG0000651	maker-con_s133-augustus-gene-0.68-mRNA-1_1&gene=maker-con_s133-augustus-gene-0.68&CDS=1-2727	YDR062W
652	OG0000652	genemark-con_s133-processed-gene-0.138-mRNA-1_1&gene=genemark-con_s133-processed-gene-0.138&CDS=1-1263	YLR006C
653	OG0000653	snap_masked-con_s133-processed-gene-0.24-mRNA-1_1&gene=snap_masked-con_s133-processed-gene-0.24&CDS=1-294	YER146W
654	OG0000654	snap_masked-con_s133-processed-gene-0.25-mRNA-1_1&gene=snap_masked-con_s133-processed-gene-0.25&CDS=1-1188	YER143W
655	OG0000655	augustus_masked-con_s133-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.108&CDS=1-2739	YER136W
656	OG0000656	augustus_masked-con_s133-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.109&CDS=1-690	YDR071C
657	OG0000657	augustus_masked-con_s133-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.110&CDS=1-1167	YEL056W
658	OG0000658	augustus_masked-con_s133-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.87&CDS=1-990	YPR004C
659	OG0000659	augustus_masked-con_s133-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.112&CDS=1-2946	YKL015W
660	OG0000660	augustus_masked-con_s133-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.114&CDS=1-2247	YKL017C
661	OG0000661	augustus_masked-con_s133-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.116&CDS=1-4674	YKL014C
662	OG0000662	snap_masked-con_s133-processed-gene-0.61-mRNA-1_1&gene=snap_masked-con_s133-processed-gene-0.61&CDS=1-441	YPL059W
663	OG0000663	augustus_masked-con_s133-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.94&CDS=1-2967	YKL205W
664	OG0000664	augustus_masked-con_s133-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-con_s133-processed-gene-0.96&CDS=1-1614	YJL069C
665	OG0000665	augustus_masked-con_s134-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-con_s134-processed-gene-0.8&CDS=1-897	YOR251C
666	OG0000666	genemark-con_s135-processed-gene-0.25-mRNA-1_1&gene=genemark-con_s135-processed-gene-0.25&CDS=1-3126	YCR092C
667	OG0000667	maker-con_s135-augustus-gene-0.70-mRNA-1_1&gene=maker-con_s135-augustus-gene-0.70&CDS=1-1212	YMR067C
668	OG0000668	augustus_masked-con_s135-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-con_s135-processed-gene-0.50&CDS=1-783	YEL009C
669	OG0000669	augustus_masked-con_s135-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-con_s135-processed-gene-0.64&CDS=1-993	YJL088W
670	OG0000670	augustus_masked-con_s135-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-con_s135-processed-gene-0.53&CDS=1-960	YNR003C
671	OG0000671	augustus_masked-con_s135-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-con_s135-processed-gene-0.67&CDS=1-804	YBR257W
672	OG0000672	augustus_masked-con_s135-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-con_s135-processed-gene-0.55&CDS=1-1227	YJL046W
673	OG0000673	augustus_masked-con_s137-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-con_s137-processed-gene-0.8&CDS=1-513	YLR193C
674	OG0000674	augustus_masked-con_s137-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-con_s137-processed-gene-0.1&CDS=1-876	YLR205C
675	OG0000675	augustus_masked-con_s137-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-con_s137-processed-gene-0.12&CDS=1-597	YDL166C
676	OG0000676	augustus_masked-con_s137-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s137-processed-gene-0.5&CDS=1-582	YDL165W
677	OG0000677	augustus_masked-con_s137-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-con_s137-processed-gene-0.15&CDS=1-921	YHR012W
678	OG0000678	augustus_masked-con_s137-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-con_s137-processed-gene-0.16&CDS=1-1584	YOR161C
679	OG0000679	genemark-con_s141-processed-gene-0.7-mRNA-1_1&gene=genemark-con_s141-processed-gene-0.7&CDS=1-753	YJR144W
680	OG0000680	augustus_masked-con_s141-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-con_s141-processed-gene-0.1&CDS=1-1173	YJR076C
681	OG0000681	genemark-con_s141-processed-gene-0.9-mRNA-1_1&gene=genemark-con_s141-processed-gene-0.9&CDS=1-4167	YJL212C
682	OG0000682	augustus_masked-con_s144-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.1&CDS=1-1863	YOR273C
683	OG0000683	augustus_masked-con_s144-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.3&CDS=1-2097	YBR019C
684	OG0000684	augustus_masked-con_s144-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.4&CDS=1-1158	YBR018C
685	OG0000685	genemark-con_s144-processed-gene-0.67-mRNA-1_1&gene=genemark-con_s144-processed-gene-0.67&CDS=1-4698	YKL215C
686	OG0000686	augustus_masked-con_s144-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.5&CDS=1-1416	YCR054C
687	OG0000687	augustus_masked-con_s144-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.28&CDS=1-1536	YCR053W
688	OG0000688	augustus_masked-con_s144-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.6&CDS=1-1188	YGR046W
689	OG0000689	augustus_masked-con_s144-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.7&CDS=1-459	YMR263W
690	OG0000690	augustus_masked-con_s144-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.30&CDS=1-588	YMR264W
691	OG0000691	augustus_masked-con_s144-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.36&CDS=1-1359	YGR009C
692	OG0000692	genemark-con_s144-processed-gene-0.79-mRNA-1_1&gene=genemark-con_s144-processed-gene-0.79&CDS=1-456	YDL208W
693	OG0000693	augustus_masked-con_s145-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.86&CDS=1-1335	YCR028C
694	OG0000694	augustus_masked-con_s145-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.103&CDS=1-2523	YGL163C
695	OG0000695	augustus_masked-con_s145-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.87&CDS=1-1326	YGL164C
696	OG0000696	genemark-con_s145-processed-gene-0.63-mRNA-1_1&gene=genemark-con_s145-processed-gene-0.63&CDS=1-1737	YGL166W
697	OG0000697	augustus_masked-con_s145-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.89&CDS=1-4641	YOR326W
698	OG0000698	snap_masked-con_s145-processed-gene-0.22-mRNA-1_1&gene=snap_masked-con_s145-processed-gene-0.22&CDS=1-192	YAL044W-A
699	OG0000699	genemark-con_s145-processed-gene-0.65-mRNA-1_1&gene=genemark-con_s145-processed-gene-0.65&CDS=1-540	YLR065C
700	OG0000700	snap_masked-con_s145-processed-gene-0.5-mRNA-1_1&gene=snap_masked-con_s145-processed-gene-0.5&CDS=1-2094	YPL072W
701	OG0000701	genemark-con_s145-processed-gene-0.68-mRNA-1_1&gene=genemark-con_s145-processed-gene-0.68&CDS=1-591	YER183C
702	OG0000702	augustus_masked-con_s145-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.109&CDS=1-1437	YHR207C
703	OG0000703	genemark-con_s145-processed-gene-0.71-mRNA-1_1&gene=genemark-con_s145-processed-gene-0.71&CDS=1-1119	YDR005C
704	OG0000704	snap_masked-con_s145-processed-gene-0.31-mRNA-1_1&gene=snap_masked-con_s145-processed-gene-0.31&CDS=1-1224	YDR004W
705	OG0000705	augustus_masked-con_s145-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.111&CDS=1-810	YCR098C
706	OG0000706	augustus_masked-con_s145-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.112&CDS=1-3069	YIL002C
707	OG0000707	augustus_masked-con_s145-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.113&CDS=1-720	YEL001C
708	OG0000708	genemark-con_s145-processed-gene-0.54-mRNA-1_1&gene=genemark-con_s145-processed-gene-0.54&CDS=1-387	YNR046W
709	OG0000709	augustus_masked-con_s145-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.96&CDS=1-930	YEL051W
710	OG0000710	augustus_masked-con_s145-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.97&CDS=1-1887	YKL148C
711	OG0000711	genemark-con_s145-processed-gene-0.77-mRNA-1_1&gene=genemark-con_s145-processed-gene-0.77&CDS=1-2514	YGL083W
712	OG0000712	augustus_masked-con_s145-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.98&CDS=1-594	YPL178W
713	OG0000713	augustus_masked-con_s145-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.116&CDS=1-1746	YAL067C
714	OG0000714	augustus_masked-con_s145-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.99&CDS=1-978	YML121W
715	OG0000715	augustus_masked-con_s145-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.100&CDS=1-1335	YHR190W
716	OG0000716	augustus_masked-con_s145-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.117&CDS=1-1269	YBR279W
717	OG0000717	augustus_masked-con_s145-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.119&CDS=1-954	YJR096W
718	OG0000718	augustus_masked-con_s145-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.102&CDS=1-642	YML001W
719	OG0000719	augustus_masked-con_s145-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.120&CDS=1-693	YPL199C
720	OG0000720	augustus_masked-con_s145-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.122&CDS=1-2082	YJL090C
721	OG0000721	augustus_masked-con_s146-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-con_s146-processed-gene-0.1&CDS=1-828	YFR052W
722	OG0000722	genemark-con_s146-processed-gene-0.18-mRNA-1_1&gene=genemark-con_s146-processed-gene-0.18&CDS=1-813	YPL065W
723	OG0000723	augustus_masked-con_s146-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s146-processed-gene-0.3&CDS=1-1137	YDR173C
724	OG0000724	augustus_masked-con_s146-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-con_s146-processed-gene-0.8&CDS=1-2067	YDR172W
725	OG0000725	augustus_masked-con_s146-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-con_s146-processed-gene-0.4&CDS=1-1383	YCL034W
726	OG0000726	augustus_masked-con_s148-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-con_s148-processed-gene-0.9&CDS=1-1161	YPL151C
727	OG0000727	augustus_masked-con_s148-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-con_s148-processed-gene-0.13&CDS=1-1566	YOR244W
728	OG0000728	augustus_masked-con_s148-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-con_s148-processed-gene-0.10&CDS=1-1071	YPL152W
729	OG0000729	augustus_masked-con_s148-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-con_s148-processed-gene-0.15&CDS=1-1461	YOR250C
730	OG0000730	augustus_masked-con_s148-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-con_s148-processed-gene-0.11&CDS=1-1071	YLR019W
731	OG0000731	snap_masked-con_s152-processed-gene-0.5-mRNA-1_1&gene=snap_masked-con_s152-processed-gene-0.5&CDS=1-267	YHR051W
732	OG0000732	augustus_masked-con_s152-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-con_s152-processed-gene-0.28&CDS=1-1047	YDR322W
733	OG0000733	augustus_masked-con_s152-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-con_s152-processed-gene-0.31&CDS=1-3201	YHR077C
734	OG0000734	snap_masked-con_s152-processed-gene-0.8-mRNA-1_1&gene=snap_masked-con_s152-processed-gene-0.8&CDS=1-1134	YHR076W
735	OG0000735	augustus_masked-con_s156-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s156-processed-gene-0.6&CDS=1-1410	YLR324W
736	OG0000736	augustus_masked-con_s156-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-con_s156-processed-gene-0.8&CDS=1-3513	YFR031C
737	OG0000737	snap_masked-con_s156-processed-gene-0.11-mRNA-1_1&gene=snap_masked-con_s156-processed-gene-0.11&CDS=1-1374	YEL036C
738	OG0000738	augustus_masked-con_s158-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-con_s158-processed-gene-0.22&CDS=1-1545	YFR034C
739	OG0000739	maker-con_s158-augustus-gene-0.0-mRNA-1_1&gene=maker-con_s158-augustus-gene-0.0&CDS=1-3402	YNL256W
740	OG0000740	augustus_masked-con_s158-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-con_s158-processed-gene-0.16&CDS=1-2334	YHR204W
741	OG0000741	augustus_masked-con_s158-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-con_s158-processed-gene-0.24&CDS=1-1023	YKL189W
742	OG0000742	snap_masked-con_s158-processed-gene-0.7-mRNA-1_1&gene=snap_masked-con_s158-processed-gene-0.7&CDS=1-2238	YLR417W
743	OG0000743	augustus_masked-con_s158-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-con_s158-processed-gene-0.20&CDS=1-2139	YHL016C
744	OG0000744	augustus_masked-con_s16-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.49&CDS=1-1278	YFL001W
745	OG0000745	genemark-con_s16-processed-gene-0.20-mRNA-1_1&gene=genemark-con_s16-processed-gene-0.20&CDS=1-1800	YFL002C
746	OG0000746	augustus_masked-con_s16-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.50&CDS=1-1545	YPL003W
747	OG0000747	maker-con_s16-augustus-gene-0.58-mRNA-1_1&gene=maker-con_s16-augustus-gene-0.58&CDS=1-1239	YDL100C
748	OG0000748	augustus_masked-con_s16-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.43&CDS=1-807	YDL086W
749	OG0000749	augustus_masked-con_s16-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.44&CDS=1-1053	YMR146C
750	OG0000750	augustus_masked-con_s16-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.46&CDS=1-1827	YDR452W
751	OG0000751	augustus_masked-con_s16-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.47&CDS=1-927	YLR340W
752	OG0000752	augustus_masked-con_s16-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.55&CDS=1-402	YPL013C
753	OG0000753	augustus_masked-con_s16-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.56&CDS=1-3567	YPL012W
754	OG0000754	augustus_masked-con_s16-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.57&CDS=1-1323	YDR148C
755	OG0000755	snap_masked-con_s160-processed-gene-0.4-mRNA-1_1&gene=snap_masked-con_s160-processed-gene-0.4&CDS=1-192	YBR162W-A
756	OG0000756	augustus_masked-con_s163-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.16&CDS=1-6315	YKL203C
757	OG0000757	genemark-con_s163-processed-gene-0.52-mRNA-1_1&gene=genemark-con_s163-processed-gene-0.52&CDS=1-1260	YJR065C
758	OG0000758	augustus_masked-con_s163-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.18&CDS=1-1647	YJR064W
759	OG0000759	augustus_masked-con_s163-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.0&CDS=1-951	YJR070C
760	OG0000760	augustus_masked-con_s163-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.19&CDS=1-369	YJR063W
761	OG0000761	augustus_masked-con_s163-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.1&CDS=1-915	YOR004W
762	OG0000762	augustus_masked-con_s163-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.2&CDS=1-3792	YMR076C
763	OG0000763	augustus_masked-con_s163-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.21&CDS=1-1461	YDL207W
764	OG0000764	augustus_masked-con_s163-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.3&CDS=1-858	YDR237W
765	OG0000765	augustus_masked-con_s163-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.4&CDS=1-663	YGR042W
766	OG0000766	augustus_masked-con_s163-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.5&CDS=1-1107	YOL001W
767	OG0000767	augustus_masked-con_s163-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.6&CDS=1-861	YMR178W
768	OG0000768	augustus_masked-con_s163-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.23&CDS=1-2859	YOR335C
769	OG0000769	augustus_masked-con_s163-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.8&CDS=1-1797	YGL073W
770	OG0000770	augustus_masked-con_s163-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.25&CDS=1-1020	YHR052W
771	OG0000771	augustus_masked-con_s163-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.27&CDS=1-1335	YMR065W
772	OG0000772	augustus_masked-con_s163-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.28&CDS=1-966	YMR063W
773	OG0000773	augustus_masked-con_s163-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.10&CDS=1-1083	YOL064C
774	OG0000774	augustus_masked-con_s163-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.29&CDS=1-1572	YPL097W
775	OG0000775	augustus_masked-con_s163-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.11&CDS=1-2493	YKL078W
776	OG0000776	augustus_masked-con_s163-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.30&CDS=1-1113	YPL096W
777	OG0000777	augustus_masked-con_s163-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.12&CDS=1-1662	YOR002W
778	OG0000778	augustus_masked-con_s165-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-con_s165-processed-gene-0.18&CDS=1-342	YKL192C
779	OG0000779	augustus_masked-con_s165-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-con_s165-processed-gene-0.19&CDS=1-1104	YKL193C
780	OG0000780	augustus_masked-con_s165-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-con_s165-processed-gene-0.25&CDS=1-1077	YLR291C
781	OG0000781	augustus_masked-con_s167-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-con_s167-processed-gene-0.34&CDS=1-636	YOR111W
782	OG0000782	augustus_masked-con_s167-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-con_s167-processed-gene-0.35&CDS=1-789	YNL110C
783	OG0000783	genemark-con_s167-processed-gene-0.80-mRNA-1_1&gene=genemark-con_s167-processed-gene-0.80&CDS=1-1194	YGR193C
784	OG0000784	augustus_masked-con_s167-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-con_s167-processed-gene-0.51&CDS=1-1251	YOR057W
785	OG0000785	augustus_masked-con_s167-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-con_s167-processed-gene-0.53&CDS=1-891	YPR143W
786	OG0000786	augustus_masked-con_s167-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-con_s167-processed-gene-0.55&CDS=1-1200	YPR140W
787	OG0000787	augustus_masked-con_s168-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s168-processed-gene-0.2&CDS=1-2496	YHR073W
788	OG0000788	augustus_masked-con_s17-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.83&CDS=1-1233	YGR210C
789	OG0000789	augustus_masked-con_s17-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.84&CDS=1-1056	YJL145W
790	OG0000790	augustus_masked-con_s17-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.86&CDS=1-2910	YKL165C
791	OG0000791	augustus_masked-con_s17-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.87&CDS=1-1506	YKL211C
792	OG0000792	augustus_masked-con_s17-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.89&CDS=1-1833	YKL212W
793	OG0000793	augustus_masked-con_s17-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.92&CDS=1-909	YJR077C
794	OG0000794	genemark-con_s17-processed-gene-0.54-mRNA-1_1&gene=genemark-con_s17-processed-gene-0.54&CDS=1-681	YJL148W
795	OG0000795	genemark-con_s17-processed-gene-0.56-mRNA-1_1&gene=genemark-con_s17-processed-gene-0.56&CDS=1-738	YER010C
796	OG0000796	augustus_masked-con_s17-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.97&CDS=1-1140	YPL203W
797	OG0000797	augustus_masked-con_s17-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.98&CDS=1-2415	YNL298W
798	OG0000798	snap_masked-con_s17-processed-gene-0.34-mRNA-1_1&gene=snap_masked-con_s17-processed-gene-0.34&CDS=1-372	YER009W
799	OG0000799	augustus_masked-con_s17-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.115&CDS=1-834	YKR062W
800	OG0000800	augustus_masked-con_s17-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.116&CDS=1-1704	YBR203W
801	OG0000801	genemark-con_s17-processed-gene-0.79-mRNA-1_1&gene=genemark-con_s17-processed-gene-0.79&CDS=1-2049	YML096W
802	OG0000802	genemark-con_s17-processed-gene-0.80-mRNA-1_1&gene=genemark-con_s17-processed-gene-0.80&CDS=1-681	YOR078W
803	OG0000803	snap_masked-con_s17-processed-gene-0.40-mRNA-1_1&gene=snap_masked-con_s17-processed-gene-0.40&CDS=1-2313	YOR080W
804	OG0000804	augustus_masked-con_s17-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.102&CDS=1-852	YOR079C
805	OG0000805	augustus_masked-con_s17-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.103&CDS=1-2574	YKR079C
806	OG0000806	augustus_masked-con_s17-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.3&CDS=1-1083	YEL050C
807	OG0000807	genemark-con_s17-processed-gene-1.45-mRNA-1_1&gene=genemark-con_s17-processed-gene-1.45&CDS=1-612	YDR298C
808	OG0000808	augustus_masked-con_s17-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.1&CDS=1-1437	YIL039W
809	OG0000809	augustus_masked-con_s17-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.4&CDS=1-615	YIL010W
