	OrthologID	Candida_tropicalis	Saccharomyces_cerevisiae
332	OG0000332	genemark-NW_003020056.1-processed-gene-7.89-mRNA-1_1&gene=genemark-NW_003020056.1-processed-gene-7.89&CDS=1-891	YHR141C, YNL162W
333	OG0000333	snap_masked-NW_003020056.1-processed-gene-7.74-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-7.74&CDS=1-2166	YEL007W, YHR177W
334	OG0000334	snap_masked-NW_003020056.1-processed-gene-8.6-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-8.6&CDS=1-1788	YIL113W, YNL053W
335	OG0000335	snap_masked-NW_003020056.1-processed-gene-8.24-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-8.24&CDS=1-462, snap_masked-NW_003020056.1-processed-gene-8.32-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-8.32&CDS=1-462	YIL098C
336	OG0000336	snap_masked-NW_003020056.1-processed-gene-8.41-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-8.41&CDS=1-1653	YIR031C, YNL117W
337	OG0000337	genemark-NW_003020056.1-processed-gene-8.116-mRNA-1_1&gene=genemark-NW_003020056.1-processed-gene-8.116&CDS=1-984, genemark-NW_003020056.1-processed-gene-9.72-mRNA-1_1&gene=genemark-NW_003020056.1-processed-gene-9.72&CDS=1-984	YMR267W
338	OG0000338	augustus_masked-NW_003020057.1-processed-gene-11.106-mRNA-1_1&gene=augustus_masked-NW_003020057.1-processed-gene-11.106&CDS=1-1635, snap_masked-NW_003020056.1-processed-gene-9.88-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-9.88&CDS=1-1635	YKL162C
339	OG0000339	genemark-NW_003020056.1-processed-gene-9.84-mRNA-1_1&gene=genemark-NW_003020056.1-processed-gene-9.84&CDS=1-1593	YLR260W, YOR171C
340	OG0000340	augustus_masked-NW_003020056.1-processed-gene-10.85-mRNA-1_1&gene=augustus_masked-NW_003020056.1-processed-gene-10.85&CDS=1-252	YPR169W-A, YPR170W-B
341	OG0000341	snap_masked-NW_003020056.1-processed-gene-10.25-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-10.25&CDS=1-1938, snap_masked-NW_003020056.1-processed-gene-10.31-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-10.31&CDS=1-1962	YNL101W
342	OG0000342	snap_masked-NW_003020056.1-processed-gene-10.7-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-10.7&CDS=1-2793	YDR251W, YPL032C
343	OG0000343	snap_masked-NW_003020056.1-processed-gene-10.35-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-10.35&CDS=1-1704, snap_masked-NW_003020056.1-processed-gene-10.9-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-10.9&CDS=1-1710	YMR250W
344	OG0000344	snap_masked-NW_003020056.1-processed-gene-10.36-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-10.36&CDS=1-462	YDR252W, YPL037C
345	OG0000345	snap_masked-NW_003020056.1-processed-gene-11.105-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-11.105&CDS=1-7923	YBR140C, YOL081W
346	OG0000346	maker-NW_003020056.1-snap-gene-12.46-mRNA-1_1&gene=maker-NW_003020056.1-snap-gene-12.46&CDS=1-393	YHL001W, YKL006W
347	OG0000347	snap_masked-NW_003020056.1-processed-gene-13.12-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-13.12&CDS=1-2121	YCL048W, YDR522C
348	OG0000348	snap_masked-NW_003020056.1-processed-gene-13.14-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-13.14&CDS=1-1476	YDR463W, YHR006W
349	OG0000349	snap_masked-NW_003020056.1-processed-gene-14.42-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-14.42&CDS=1-1752, snap_masked-NW_003020056.1-processed-gene-14.59-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-14.59&CDS=1-1755	YML054C
350	OG0000350	snap_masked-NW_003020056.1-processed-gene-14.67-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-14.67&CDS=1-1944, snap_masked-NW_003020058.1-processed-gene-10.9-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-10.9&CDS=1-1932	YLL024C
351	OG0000351	genemark-NW_003020056.1-processed-gene-14.15-mRNA-1_1&gene=genemark-NW_003020056.1-processed-gene-14.15&CDS=1-654, genemark-NW_003020058.1-processed-gene-2.64-mRNA-1_1&gene=genemark-NW_003020058.1-processed-gene-2.64&CDS=1-651	YMR202W
352	OG0000352	genemark-NW_003020056.1-processed-gene-15.110-mRNA-1_1&gene=genemark-NW_003020056.1-processed-gene-15.110&CDS=1-3462	YJR127C, YML081W
353	OG0000353	augustus_masked-NW_003020056.1-processed-gene-15.4-mRNA-1_1&gene=augustus_masked-NW_003020056.1-processed-gene-15.4&CDS=1-3390, genemark-NW_003020056.1-processed-gene-15.115-mRNA-1_1&gene=genemark-NW_003020056.1-processed-gene-15.115&CDS=1-1428	YGL059W
354	OG0000354	snap_masked-NW_003020056.1-processed-gene-15.194-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-15.194&CDS=1-2001	YBR216C, YGL060W
355	OG0000355	augustus_masked-NW_003020056.1-processed-gene-15.13-mRNA-1_1&gene=augustus_masked-NW_003020056.1-processed-gene-15.13&CDS=1-7152, maker-NW_003020056.1-augustus-gene-15.147-mRNA-1_1&gene=maker-NW_003020056.1-augustus-gene-15.147&CDS=1-4146	YJL109C
356	OG0000356	snap_masked-NW_003020056.1-processed-gene-15.176-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-15.176&CDS=1-1089	YBR031W, YDR012W
357	OG0000357	snap_masked-NW_003020056.1-processed-gene-15.177-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-15.177&CDS=1-1134, snap_masked-NW_003020056.1-processed-gene-15.206-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-15.206&CDS=1-1146	YER145C
358	OG0000358	snap_masked-NW_003020056.1-processed-gene-15.202-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-15.202&CDS=1-2781	YJL105W, YKR029C
359	OG0000359	snap_masked-NW_003020056.1-processed-gene-15.205-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-15.205&CDS=1-2625	YJL082W, YKR018C
360	OG0000360	snap_masked-NW_003020056.1-processed-gene-15.208-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-15.208&CDS=1-2727	YKL121W, YMR102C
361	OG0000361	snap_masked-NW_003020056.1-processed-gene-15.211-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-15.211&CDS=1-1620	YHR146W, YNL173C
362	OG0000362	genemark-NW_003020057.1-processed-gene-0.54-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-0.54&CDS=1-888	YBR183W, YPL087W
363	OG0000363	snap_masked-NW_003020057.1-processed-gene-1.73-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-1.73&CDS=1-2679	YBR172C, YPL105C
364	OG0000364	snap_masked-NW_003020057.1-processed-gene-2.41-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-2.41&CDS=1-1137, snap_masked-NW_003020057.1-processed-gene-2.46-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-2.46&CDS=1-1137	YDR289C
365	OG0000365	snap_masked-NW_003020057.1-processed-gene-2.40-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-2.40&CDS=1-672, snap_masked-NW_003020057.1-processed-gene-2.61-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-2.61&CDS=1-672	YCR086W
366	OG0000366	snap_masked-NW_003020057.1-processed-gene-3.67-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.67&CDS=1-1335	YGR141W, YPR157W
367	OG0000367	snap_masked-NW_003020057.1-processed-gene-4.32-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.32&CDS=1-2106	YCR026C, YEL016C
368	OG0000368	snap_masked-NW_003020057.1-processed-gene-4.18-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.18&CDS=1-360	YFL034C-A, YLR061W
369	OG0000369	maker-NW_003020057.1-snap-gene-4.46-mRNA-1_1&gene=maker-NW_003020057.1-snap-gene-4.46&CDS=1-2472	YIL156W, YKR098C
370	OG0000370	snap_masked-NW_003020057.1-processed-gene-5.78-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-5.78&CDS=1-540, snap_masked-NW_003020057.1-processed-gene-5.86-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-5.86&CDS=1-540	YBR171W
371	OG0000371	snap_masked-NW_003020057.1-processed-gene-5.79-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-5.79&CDS=1-609, snap_masked-NW_003020057.1-processed-gene-5.85-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-5.85&CDS=1-609	YKL142W
372	OG0000372	genemark-NW_003020057.1-processed-gene-5.53-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-5.53&CDS=1-897	YBR104W, YPR058W
373	OG0000373	maker-NW_003020059.1-snap-gene-4.77-mRNA-1_1&gene=maker-NW_003020059.1-snap-gene-4.77&CDS=1-3354, snap_masked-NW_003020057.1-processed-gene-7.3-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.3&CDS=1-1707	YIL166C
374	OG0000374	snap_masked-NW_003020057.1-processed-gene-7.25-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.25&CDS=1-1932	YGL139W, YPL221W
375	OG0000375	snap_masked-NW_003020057.1-processed-gene-7.14-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.14&CDS=1-786	YCR010C, YNR002C
376	OG0000376	snap_masked-NW_003020057.1-processed-gene-8.118-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-8.118&CDS=1-1455, snap_masked-NW_003020057.1-processed-gene-8.129-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-8.129&CDS=1-1455	YHR113W
377	OG0000377	genemark-NW_003020057.1-processed-gene-8.22-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-8.22&CDS=1-411	YDR447C, YML024W
378	OG0000378	snap_masked-NW_003020057.1-processed-gene-9.49-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-9.49&CDS=1-762	YFR031C-A, YIL018W
379	OG0000379	snap_masked-NW_003020057.1-processed-gene-9.58-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-9.58&CDS=1-4089	YCL024W, YDR507C
380	OG0000380	snap_masked-NW_003020057.1-processed-gene-9.77-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-9.77&CDS=1-270	YDR500C, YLR185W
381	OG0000381	snap_masked-NW_003020057.1-processed-gene-9.60-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-9.60&CDS=1-1680	YDR501W, YLR183C
382	OG0000382	snap_masked-NW_003020057.1-processed-gene-9.63-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-9.63&CDS=1-2031	YDR505C, YLR177W
383	OG0000383	snap_masked-NW_003020057.1-processed-gene-10.9-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-10.9&CDS=1-3186	YDR326C, YHR080C
384	OG0000384	snap_masked-NW_003020057.1-processed-gene-11.32-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-11.32&CDS=1-1008	YJL079C, YKR013W
385	OG0000385	snap_masked-NW_003020057.1-processed-gene-11.40-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-11.40&CDS=1-1443, snap_masked-NW_003020058.1-processed-gene-6.20-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-6.20&CDS=1-1416	YKL221W
386	OG0000386	snap_masked-NW_003020057.1-processed-gene-11.27-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-11.27&CDS=1-423	YER057C, YIL051C
387	OG0000387	snap_masked-NW_003020057.1-processed-gene-11.28-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-11.28&CDS=1-339	YER056C-A, YIL052C
388	OG0000388	snap_masked-NW_003020057.1-processed-gene-11.44-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-11.44&CDS=1-2001	YER059W, YIL050W
389	OG0000389	snap_masked-NW_003020057.1-processed-gene-12.198-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-12.198&CDS=1-435	YGR118W, YPR132W
390	OG0000390	snap_masked-NW_003020057.1-processed-gene-12.180-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-12.180&CDS=1-1359, snap_masked-NW_003020057.1-processed-gene-12.204-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-12.204&CDS=1-1368	YBR028C
391	OG0000391	augustus_masked-NW_003020057.1-processed-gene-12.141-mRNA-1_1&gene=augustus_masked-NW_003020057.1-processed-gene-12.141&CDS=1-3804	YBR169C, YPL106C
392	OG0000392	augustus_masked-NW_003020058.1-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-NW_003020058.1-processed-gene-0.117&CDS=1-837	YER045C, YIL036W
393	OG0000393	snap_masked-NW_003020058.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-0.3&CDS=1-3288	YGR238C, YHR158C
394	OG0000394	snap_masked-NW_003020058.1-processed-gene-1.99-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-1.99&CDS=1-1305	YLR300W, YOR190W
395	OG0000395	snap_masked-NW_003020058.1-processed-gene-1.121-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-1.121&CDS=1-606	YDL082W, YMR142C
396	OG0000396	snap_masked-NW_003020058.1-processed-gene-1.102-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-1.102&CDS=1-426	YDL083C, YMR143W
397	OG0000397	snap_masked-NW_003020058.1-processed-gene-1.110-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-1.110&CDS=1-1758	YJR130C, YML082W
398	OG0000398	genemark-NW_003020058.1-processed-gene-1.75-mRNA-1_1&gene=genemark-NW_003020058.1-processed-gene-1.75&CDS=1-342, snap_masked-NW_003020058.1-processed-gene-2.30-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-2.30&CDS=1-606	YGL047W
399	OG0000399	snap_masked-NW_003020058.1-processed-gene-2.7-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-2.7&CDS=1-1878	YMR199W, YPL256C
400	OG0000400	snap_masked-NW_003020058.1-processed-gene-3.58-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-3.58&CDS=1-1995	YER054C, YIL045W
401	OG0000401	maker-NW_003020058.1-snap-gene-9.82-mRNA-1_1&gene=maker-NW_003020058.1-snap-gene-9.82&CDS=1-1005, snap_masked-NW_003020058.1-processed-gene-3.45-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-3.45&CDS=1-1047	YPL088W
402	OG0000402	snap_masked-NW_003020058.1-processed-gene-3.73-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-3.73&CDS=1-1842	YMR172W, YOL116W
403	OG0000403	maker-NW_003020058.1-snap-gene-3.37-mRNA-1_1&gene=maker-NW_003020058.1-snap-gene-3.37&CDS=1-2466	YJL134W, YKR053C
404	OG0000404	augustus_masked-NW_003020058.1-processed-gene-4.46-mRNA-1_1&gene=augustus_masked-NW_003020058.1-processed-gene-4.46&CDS=1-3111	YDR409W, YOR156C
405	OG0000405	snap_masked-NW_003020058.1-processed-gene-4.89-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-4.89&CDS=1-786	YHR203C, YJR145C
406	OG0000406	snap_masked-NW_003020058.1-processed-gene-5.60-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-5.60&CDS=1-1290	YMR177W, YPL224C
407	OG0000407	genemark-NW_003020058.1-processed-gene-5.92-mRNA-1_1&gene=genemark-NW_003020058.1-processed-gene-5.92&CDS=1-1122	YDR273W, YOR042W
408	OG0000408	augustus_masked-NW_003020058.1-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-NW_003020058.1-processed-gene-5.34&CDS=1-2664	YDR492W, YOL002C
409	OG0000409	maker-NW_003020058.1-augustus-gene-6.0-mRNA-1_1&gene=maker-NW_003020058.1-augustus-gene-6.0&CDS=1-4005	YNL299W, YOL115W
410	OG0000410	snap_masked-NW_003020058.1-processed-gene-6.42-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-6.42&CDS=1-3642	YHR155W, YNL257C
411	OG0000411	snap_masked-NW_003020058.1-processed-gene-6.50-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-6.50&CDS=1-825	YBR278W, YJL065C
412	OG0000412	snap_masked-NW_003020058.1-processed-gene-7.69-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-7.69&CDS=1-1680	YBR273C, YJL048C
413	OG0000413	genemark-NW_003020058.1-processed-gene-7.12-mRNA-1_1&gene=genemark-NW_003020058.1-processed-gene-7.12&CDS=1-1116, snap_masked-NW_003020058.1-processed-gene-7.58-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-7.58&CDS=1-1011	YCR021C
414	OG0000414	snap_masked-NW_003020058.1-processed-gene-7.83-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-7.83&CDS=1-732	YDR247W, YPL026C
415	OG0000415	snap_masked-NW_003020058.1-processed-gene-7.84-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-7.84&CDS=1-1446	YBR020W, YDR009W
416	OG0000416	snap_masked-NW_003020058.1-processed-gene-8.14-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-8.14&CDS=1-381	YGR034W, YLR344W
417	OG0000417	maker-NW_003020058.1-augustus-gene-8.2-mRNA-1_1&gene=maker-NW_003020058.1-augustus-gene-8.2&CDS=1-3396	YGR056W, YLR357W
418	OG0000418	maker-NW_003020058.1-snap-gene-9.81-mRNA-1_1&gene=maker-NW_003020058.1-snap-gene-9.81&CDS=1-2229	YIR035C, YIR036C
419	OG0000419	maker-NW_003020058.1-augustus-gene-10.159-mRNA-1_1&gene=maker-NW_003020058.1-augustus-gene-10.159&CDS=1-4923	YHR047C, YKL157W
420	OG0000420	snap_masked-NW_003020058.1-processed-gene-11.167-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-11.167&CDS=1-2088	YDR200C, YLR238W
421	OG0000421	snap_masked-NW_003020058.1-processed-gene-11.168-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-11.168&CDS=1-1851	YDR358W, YHR108W
422	OG0000422	snap_masked-NW_003020058.1-processed-gene-11.208-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-11.208&CDS=1-789	YDR099W, YER177W
423	OG0000423	snap_masked-NW_003020058.1-processed-gene-11.180-mRNA-1_1&gene=snap_masked-NW_003020058.1-processed-gene-11.180&CDS=1-1278	YBR177C, YPL095C
424	OG0000424	maker-NW_003020058.1-snap-gene-11.158-mRNA-1_1&gene=maker-NW_003020058.1-snap-gene-11.158&CDS=1-723	YGL076C, YPL198W
425	OG0000425	genemark-NW_003020058.1-processed-gene-11.113-mRNA-1_1&gene=genemark-NW_003020058.1-processed-gene-11.113&CDS=1-2982	YCR037C, YJL198W
426	OG0000426	snap_masked-NW_003020059.1-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-0.92&CDS=1-1881	YLR270W, YOR173W
427	OG0000427	maker-NW_003020059.1-snap-gene-0.133-mRNA-1_1&gene=maker-NW_003020059.1-snap-gene-0.133&CDS=1-2169	YKL132C, YMR113W
428	OG0000428	genemark-NW_003020059.1-processed-gene-0.67-mRNA-1_1&gene=genemark-NW_003020059.1-processed-gene-0.67&CDS=1-1158	YDR451C, YML027W
429	OG0000429	snap_masked-NW_003020059.1-processed-gene-0.131-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-0.131&CDS=1-435	YDR450W, YML026C
430	OG0000430	snap_masked-NW_003020059.1-processed-gene-1.101-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-1.101&CDS=1-1383	YCL011C, YNL004W
431	OG0000431	genemark-NW_003020059.1-processed-gene-1.85-mRNA-1_1&gene=genemark-NW_003020059.1-processed-gene-1.85&CDS=1-1173	YOR390W, YPL279C
432	OG0000432	augustus_masked-NW_003020059.1-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-NW_003020059.1-processed-gene-2.52&CDS=1-1185	YCL036W, YDR514C
433	OG0000433	snap_masked-NW_003020059.1-processed-gene-2.15-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-2.15&CDS=1-1947	YDR389W, YOR134W
434	OG0000434	snap_masked-NW_003020059.1-processed-gene-3.40-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-3.40&CDS=1-1713, snap_masked-NW_003020059.1-processed-gene-3.46-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-3.46&CDS=1-1785	YLL028W
435	OG0000435	snap_masked-NW_003020059.1-processed-gene-3.54-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-3.54&CDS=1-1035	YBR066C, YDR043C
436	OG0000436	snap_masked-NW_003020059.1-processed-gene-3.47-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-3.47&CDS=1-351, snap_masked-NW_003020059.1-processed-gene-3.59-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-3.59&CDS=1-1233	YOL022C
437	OG0000437	snap_masked-NW_003020059.1-processed-gene-4.31-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-4.31&CDS=1-501	YOR226C, YPL135W
438	OG0000438	snap_masked-NW_003020059.1-processed-gene-4.17-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-4.17&CDS=1-4125	YOR227W, YPL137C
439	OG0000439	snap_masked-NW_003020059.1-processed-gene-4.37-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-4.37&CDS=1-1995	YDL224C, YNL197C
440	OG0000440	snap_masked-NW_003020059.1-processed-gene-5.27-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-5.27&CDS=1-777	YGL096W, YPL177C
441	OG0000441	snap_masked-NW_003020059.1-processed-gene-5.12-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-5.12&CDS=1-1722	YLR273C, YOR178C
442	OG0000442	augustus_masked-NW_003020059.1-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-NW_003020059.1-processed-gene-5.86&CDS=1-201	YLR264W, YOR167C
443	OG0000443	maker-NW_003020059.1-snap-gene-6.73-mRNA-1_1&gene=maker-NW_003020059.1-snap-gene-6.73&CDS=1-1434	YNL108C, YOR110W
444	OG0000444	genemark-NW_003020059.1-processed-gene-7.18-mRNA-1_1&gene=genemark-NW_003020059.1-processed-gene-7.18&CDS=1-1416, snap_masked-NW_003020059.1-processed-gene-8.5-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-8.5&CDS=1-1416	YBR247C
445	OG0000445	genemark-NW_003020059.1-processed-gene-8.106-mRNA-1_1&gene=genemark-NW_003020059.1-processed-gene-8.106&CDS=1-2268	YJL099W, YKR027W
446	OG0000446	snap_masked-NW_003020060.1-processed-gene-1.91-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-1.91&CDS=1-1887, snap_masked-NW_003020060.1-processed-gene-3.27-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-3.27&CDS=1-1359	YAL040C
447	OG0000447	genemark-NW_003020060.1-processed-gene-3.43-mRNA-1_1&gene=genemark-NW_003020060.1-processed-gene-3.43&CDS=1-1302	YNL293W, YOL112W
448	OG0000448	snap_masked-NW_003020060.1-processed-gene-3.25-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-3.25&CDS=1-1260, snap_masked-NW_003020060.1-processed-gene-3.9-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-3.9&CDS=1-1296	YOR355W
449	OG0000449	snap_masked-NW_003020060.1-processed-gene-4.5-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-4.5&CDS=1-3027	YJL084C, YKR021W
450	OG0000450	snap_masked-NW_003020060.1-processed-gene-4.15-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-4.15&CDS=1-759	YGR038W, YLR350W
451	OG0000451	snap_masked-NW_003020060.1-processed-gene-4.23-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-4.23&CDS=1-2004	YDR475C, YOR019W
452	OG0000452	maker-NW_003020060.1-snap-gene-6.110-mRNA-1_1&gene=maker-NW_003020060.1-snap-gene-6.110&CDS=1-3699	YDR211W, YGR175C
453	OG0000453	genemark-NW_003020060.1-processed-gene-6.86-mRNA-1_1&gene=genemark-NW_003020060.1-processed-gene-6.86&CDS=1-315	YGR027C, YLR333C
454	OG0000454	augustus_masked-NW_003020060.1-processed-gene-6.16-mRNA-1_1&gene=augustus_masked-NW_003020060.1-processed-gene-6.16&CDS=1-1692	YHR131C, YNL144C
455	OG0000455	genemark-NW_003020060.1-processed-gene-7.59-mRNA-1_1&gene=genemark-NW_003020060.1-processed-gene-7.59&CDS=1-897, snap_masked-NW_003020060.1-processed-gene-7.27-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-7.27&CDS=1-897	YLR172C
456	OG0000456	augustus_masked-NW_003020060.1-processed-gene-7.106-mRNA-1_1&gene=augustus_masked-NW_003020060.1-processed-gene-7.106&CDS=1-525, augustus_masked-NW_003020060.1-processed-gene-7.124-mRNA-1_1&gene=augustus_masked-NW_003020060.1-processed-gene-7.124&CDS=1-924	YPL069C
457	OG0000457	snap_masked-NW_003020060.1-processed-gene-7.42-mRNA-1_1&gene=snap_masked-NW_003020060.1-processed-gene-7.42&CDS=1-1740	YGL162W, YPR009W
458	OG0000458	snap_masked-NW_003020061.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NW_003020061.1-processed-gene-0.27&CDS=1-1023	YDR277C, YOR047C
459	OG0000459	snap_masked-NW_003020061.1-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NW_003020061.1-processed-gene-1.85&CDS=1-4668	YER132C, YGL197W
460	OG0000460	genemark-NW_003020061.1-processed-gene-2.98-mRNA-1_1&gene=genemark-NW_003020061.1-processed-gene-2.98&CDS=1-1089	YCL037C, YDR515W
461	OG0000461	snap_masked-NW_003020061.1-processed-gene-2.23-mRNA-1_1&gene=snap_masked-NW_003020061.1-processed-gene-2.23&CDS=1-1818	YBR238C, YGL107C
462	OG0000462	snap_masked-NW_003020061.1-processed-gene-3.155-mRNA-1_1&gene=snap_masked-NW_003020061.1-processed-gene-3.155&CDS=1-3627	YAL017W, YOL045W
463	OG0000463	snap_masked-NW_003020061.1-processed-gene-3.157-mRNA-1_1&gene=snap_masked-NW_003020061.1-processed-gene-3.157&CDS=1-1317	YBR105C, YGR066C
464	OG0000464	genemark-NW_003020061.1-processed-gene-3.91-mRNA-1_1&gene=genemark-NW_003020061.1-processed-gene-3.91&CDS=1-465	YGL031C, YGR148C
465	OG0000465	snap_masked-NW_003020061.1-processed-gene-3.208-mRNA-1_1&gene=snap_masked-NW_003020061.1-processed-gene-3.208&CDS=1-4932	YML109W, YMR273C
466	OG0000466		YAL051W, YLL054C, YOR363C
