	OrthologID	Metschnikowia_drakensbergensis	Saccharomyces_cerevisiae
159	OG0000159	augustus_masked-draA_s37-processed-gene-1.235-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.235&CDS=1-2550, maker-draA_s86-augustus-gene-4.48-mRNA-1_1&gene=maker-draA_s86-augustus-gene-4.48&CDS=1-4983	YJL141C, YML067C
160	OG0000160	snap_masked-draA_s39-processed-gene-0.18-mRNA-1_1&gene=snap_masked-draA_s39-processed-gene-0.18&CDS=1-918	YMR316W, YNL165W, YOR385W
161	OG0000161	augustus_masked-draA_s39-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-draA_s39-processed-gene-1.67&CDS=1-1236, augustus_masked-draA_s79-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-6.26&CDS=1-1893	YOR334W, YPL060W
162	OG0000162	augustus_masked-draA_s39-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-draA_s39-processed-gene-2.85&CDS=1-2664, augustus_masked-draA_s59-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-draA_s59-processed-gene-0.51&CDS=1-2421	YDR258C, YLL026W
163	OG0000163	augustus_masked-draA_s71-processed-gene-1.205-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.205&CDS=1-954, snap_masked-draA_s39-processed-gene-3.160-mRNA-1_1&gene=snap_masked-draA_s39-processed-gene-3.160&CDS=1-906	YBR151W, YML050W
164	OG0000164	augustus_masked-draA_s39-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-draA_s39-processed-gene-3.89&CDS=1-1182, augustus_masked-draA_s86-processed-gene-5.196-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-5.196&CDS=1-1086	YGL038C, YJR075W
165	OG0000165	augustus_masked-draA_s44-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-0.17&CDS=1-888, augustus_masked-draA_s79-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-0.26&CDS=1-918	YLR146C, YPR069C
166	OG0000166	augustus_masked-draA_s44-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-1.70&CDS=1-1818, augustus_masked-draA_s79-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-3.77&CDS=1-1899	YGL125W, YPL023C
167	OG0000167	augustus_masked-draA_s44-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-3.39&CDS=1-1086, maker-draA_s9-augustus-gene-3.55-mRNA-1_1&gene=maker-draA_s9-augustus-gene-3.55&CDS=1-2778	YBR160W, YPL031C
168	OG0000168	genemark-draA_s44-processed-gene-3.157-mRNA-1_1&gene=genemark-draA_s44-processed-gene-3.157&CDS=1-1455	YDL159W, YOR231W, YPL140C
169	OG0000169	augustus_masked-draA_s48-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-draA_s48-processed-gene-0.170&CDS=1-1374, augustus_masked-draA_s57-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-draA_s57-processed-gene-1.106&CDS=1-1365	YEL036C, YML115C
170	OG0000170	augustus_masked-draA_s49-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-draA_s49-processed-gene-0.51&CDS=1-1731, augustus_masked-draA_s74-processed-gene-3.192-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.192&CDS=1-2670	YDR160W, YPL265W
171	OG0000171	augustus_masked-draA_s49-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-draA_s49-processed-gene-0.77&CDS=1-1440, augustus_masked-draA_s70-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.143&CDS=1-1770	YKL221W, YNL125C
172	OG0000172	augustus_masked-draA_s53-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-draA_s53-processed-gene-0.120&CDS=1-1098, augustus_masked-draA_s78-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-draA_s78-processed-gene-0.3&CDS=1-1914	YBR212W, YHR086W
173	OG0000173	maker-draA_s57-snap-gene-0.64-mRNA-1_1&gene=maker-draA_s57-snap-gene-0.64&CDS=1-2544, maker-draA_s86-augustus-gene-5.255-mRNA-1_1&gene=maker-draA_s86-augustus-gene-5.255&CDS=1-2289	YHR203C, YJR145C
174	OG0000174	augustus_masked-draA_s57-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-draA_s57-processed-gene-1.115&CDS=1-1566, augustus_masked-draA_s79-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-4.97&CDS=1-534	YDR134C, YLR110C
175	OG0000175	augustus_masked-draA_s9-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-1.86&CDS=1-1527, snap_masked-draA_s57-processed-gene-2.33-mRNA-1_1&gene=snap_masked-draA_s57-processed-gene-2.33&CDS=1-2076	YBL052C, YOR244W
176	OG0000176	augustus_masked-draA_s57-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-draA_s57-processed-gene-2.96&CDS=1-3252	YDR038C, YDR039C, YDR040C
177	OG0000177	augustus_masked-draA_s57-processed-gene-4.140-mRNA-1_1&gene=augustus_masked-draA_s57-processed-gene-4.140&CDS=1-1779, maker-draA_s57-augustus-gene-2.52-mRNA-1_1&gene=maker-draA_s57-augustus-gene-2.52&CDS=1-3501	YGR068C, YGR285C
178	OG0000178	augustus_masked-draA_s57-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-draA_s57-processed-gene-3.13&CDS=1-5367, augustus_masked-draA_s57-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-draA_s57-processed-gene-3.39&CDS=1-5664	YGR184C, YLR024C
179	OG0000179	augustus_masked-draA_s57-processed-gene-4.161-mRNA-1_1&gene=augustus_masked-draA_s57-processed-gene-4.161&CDS=1-1326, genemark-draA_s79-processed-gene-9.63-mRNA-1_1&gene=genemark-draA_s79-processed-gene-9.63&CDS=1-1497	YJL103C, YPL133C
180	OG0000180	augustus_masked-draA_s65-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-draA_s65-processed-gene-0.73&CDS=1-717	YFL060C, YMR095C, YNL334C
181	OG0000181	augustus_masked-draA_s71-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.12&CDS=1-1107, augustus_masked-draA_s86-processed-gene-5.234-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-5.234&CDS=1-7194	YKL005C, YPL181W
182	OG0000182	augustus_masked-draA_s71-processed-gene-1.174-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.174&CDS=1-984, genemark-draA_s79-processed-gene-1.7-mRNA-1_1&gene=genemark-draA_s79-processed-gene-1.7&CDS=1-936	YBR002C, YMR101C
183	OG0000183	maker-draA_s71-snap-gene-1.257-mRNA-1_1&gene=maker-draA_s71-snap-gene-1.257&CDS=1-2133, snap_masked-draA_s9-processed-gene-0.65-mRNA-1_1&gene=snap_masked-draA_s9-processed-gene-0.65&CDS=1-1467	YBR263W, YLR058C
184	OG0000184	augustus_masked-draA_s74-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.7&CDS=1-2511, snap_masked-draA_s9-processed-gene-1.23-mRNA-1_1&gene=snap_masked-draA_s9-processed-gene-1.23&CDS=1-1656	YGL216W, YPL155C
185	OG0000185	augustus_masked-draA_s74-processed-gene-3.182-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.182&CDS=1-1107, augustus_masked-draA_s91-processed-gene-3.153-mRNA-1_1&gene=augustus_masked-draA_s91-processed-gene-3.153&CDS=1-1029	YCL064C, YIL167W
186	OG0000186	augustus_masked-draA_s79-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-0.37&CDS=1-993, augustus_masked-draA_s91-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-draA_s91-processed-gene-2.113&CDS=1-981	YCR034W, YLR372W
187	OG0000187	augustus_masked-draA_s79-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-1.64&CDS=1-2067, augustus_masked-draA_s80-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-draA_s80-processed-gene-0.29&CDS=1-2403	YKR001C, YLL001W
188	OG0000188	augustus_masked-draA_s79-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-6.20&CDS=1-1770, snap_masked-draA_s91-processed-gene-3.70-mRNA-1_1&gene=snap_masked-draA_s91-processed-gene-3.70&CDS=1-1797	YDR037W, YNL073W
189	OG0000189	augustus_masked-draA_s79-processed-gene-8.130-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-8.130&CDS=1-618, augustus_masked-draA_s86-processed-gene-5.225-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-5.225&CDS=1-486	YDR155C, YDR304C
190	OG0000190	augustus_masked-draA_s79-processed-gene-9.214-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-9.214&CDS=1-996	YGR192C, YJL052W, YJR009C
191	OG0000191	augustus_masked-draA_s86-processed-gene-5.241-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-5.241&CDS=1-3189, maker-draA_s86-snap-gene-1.98-mRNA-1_1&gene=maker-draA_s86-snap-gene-1.98&CDS=1-2346	YHL007C, YNL298W
192	OG0000192	augustus_masked-draA_s9-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-3.97&CDS=1-1098, augustus_masked-draA_s91-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-draA_s91-processed-gene-0.51&CDS=1-963	YER107C, YOR026W
193	OG0000193	augustus_masked-draA_s91-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-draA_s91-processed-gene-1.132&CDS=1-993	YLL062C, YMR321C, YPL273W
194	OG0000194		YKL222C, YLR266C, YOR162C, YOR172W
195	OG0000195	augustus_masked-draA_C9135-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-draA_C9135-processed-gene-0.2&CDS=1-660	YFR031C-A, YIL018W
196	OG0000196	augustus_masked-draA_C9399-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-draA_C9399-processed-gene-0.0&CDS=1-795, augustus_masked-draA_s17-processed-gene-6.105-mRNA-1_1&gene=augustus_masked-draA_s17-processed-gene-6.105&CDS=1-4287	YOL004W
197	OG0000197	maker-draA_C9635-snap-gene-0.0-mRNA-1_1&gene=maker-draA_C9635-snap-gene-0.0&CDS=1-501	Q0050, Q0055
198	OG0000198	augustus_masked-draA_s1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-draA_s1-processed-gene-0.13&CDS=1-891, augustus_masked-draA_s26-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-draA_s26-processed-gene-0.9&CDS=1-891	YKL096W
199	OG0000199	maker-draA_s100-augustus-gene-0.5-mRNA-1_1&gene=maker-draA_s100-augustus-gene-0.5&CDS=1-1914	YDR418W, YEL054C
200	OG0000200	maker-draA_s100-augustus-gene-0.6-mRNA-1_1&gene=maker-draA_s100-augustus-gene-0.6&CDS=1-795	YGR214W, YLR048W
201	OG0000201	augustus_masked-draA_s100-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.15&CDS=1-900	YGL162W, YPR009W
202	OG0000202	augustus_masked-draA_s100-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.32&CDS=1-870	YBR183W, YPL087W
203	OG0000203	augustus_masked-draA_s100-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.19&CDS=1-1305, snap_masked-draA_s9-processed-gene-3.122-mRNA-1_1&gene=snap_masked-draA_s9-processed-gene-3.122&CDS=1-555	YEL002C
204	OG0000204	augustus_masked-draA_s100-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.58&CDS=1-1281	YMR177W, YPL224C
205	OG0000205	augustus_masked-draA_s9-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-1.79&CDS=1-1689, maker-draA_s100-augustus-gene-1.50-mRNA-1_1&gene=maker-draA_s100-augustus-gene-1.50&CDS=1-2142	YKR093W
206	OG0000206	augustus_masked-draA_s100-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.93&CDS=1-1968, augustus_masked-draA_s110-processed-gene-2.177-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-2.177&CDS=1-2832	YLR014C
207	OG0000207	augustus_masked-draA_s100-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.20&CDS=1-561	YNL096C, YOR096W
208	OG0000208	augustus_masked-draA_s100-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.2&CDS=1-1620	YDR497C, YOL103W
209	OG0000209	augustus_masked-draA_s100-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.29&CDS=1-1776, augustus_masked-draA_s100-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.30&CDS=1-1740	YCR023C
210	OG0000210	augustus_masked-draA_s100-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.17&CDS=1-1860	YBR238C, YGL107C
211	OG0000211	augustus_masked-draA_s100-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.34&CDS=1-3516	YAL017W, YOL045W
212	OG0000212	augustus_masked-draA_s100-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.37&CDS=1-927, augustus_masked-draA_s74-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.33&CDS=1-903	YER175C
213	OG0000213	augustus_masked-draA_s100-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.21&CDS=1-1251	YAL015C, YOL043C
214	OG0000214	augustus_masked-draA_s100-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.23&CDS=1-966, augustus_masked-draA_s98-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-1.78&CDS=1-927	YKL128C
215	OG0000215	augustus_masked-draA_s100-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-4.47&CDS=1-2445, augustus_masked-draA_s98-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-1.76&CDS=1-2268	YAL023C
216	OG0000216	augustus_masked-draA_s100-processed-gene-4.48-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-4.48&CDS=1-912, augustus_masked-draA_s39-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-draA_s39-processed-gene-0.49&CDS=1-906	YDL124W
217	OG0000217	augustus_masked-draA_s100-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-4.69&CDS=1-447, augustus_masked-draA_s79-processed-gene-6.18-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-6.18&CDS=1-930	YML112W
218	OG0000218	augustus_masked-draA_s100-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-4.71&CDS=1-267	YGR008C, YLR327C
219	OG0000219	maker-draA_s100-augustus-gene-4.82-mRNA-1_1&gene=maker-draA_s100-augustus-gene-4.82&CDS=1-3279, maker-draA_s44-augustus-gene-2.125-mRNA-1_1&gene=maker-draA_s44-augustus-gene-2.125&CDS=1-2931	YGL179C
220	OG0000220	augustus_masked-draA_s100-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-4.63&CDS=1-2379, augustus_masked-draA_s74-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.16&CDS=1-2052	YBL011W
221	OG0000221	augustus_masked-draA_s100-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-4.65&CDS=1-2139	YKL050C, YMR031C
222	OG0000222	augustus_masked-draA_s121-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-draA_s121-processed-gene-0.84&CDS=1-864, snap_masked-draA_s103-processed-gene-0.23-mRNA-1_1&gene=snap_masked-draA_s103-processed-gene-0.23&CDS=1-864	YNL202W
223	OG0000223	augustus_masked-draA_s103-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-0.71&CDS=1-1617, augustus_masked-draA_s91-processed-gene-3.127-mRNA-1_1&gene=augustus_masked-draA_s91-processed-gene-3.127&CDS=1-1566	YMR221C
224	OG0000224	augustus_masked-draA_s103-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-0.56&CDS=1-753, augustus_masked-draA_s103-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-0.76&CDS=1-729	YIR038C
225	OG0000225	snap_masked-draA_s103-processed-gene-1.1-mRNA-1_1&gene=snap_masked-draA_s103-processed-gene-1.1&CDS=1-1413	YJL083W, YKR019C
226	OG0000226	augustus_masked-draA_s103-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-1.77&CDS=1-714	YDR098C, YER174C
227	OG0000227	augustus_masked-draA_s103-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-1.81&CDS=1-2430	YDR264C, YOR034C
228	OG0000228	augustus_masked-draA_s103-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-1.83&CDS=1-1113	YBR078W, YDR055W
229	OG0000229	augustus_masked-draA_s103-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-1.89&CDS=1-1887	YDR263C, YOR033C
230	OG0000230	augustus_masked-draA_s15-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-1.43&CDS=1-1683, maker-draA_s103-snap-gene-2.107-mRNA-1_1&gene=maker-draA_s103-snap-gene-2.107&CDS=1-2955	YBR132C
231	OG0000231	augustus_masked-draA_s103-processed-gene-2.140-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-2.140&CDS=1-1770	YIL085C, YNL029C
232	OG0000232	augustus_masked-draA_s103-processed-gene-2.143-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-2.143&CDS=1-1125	YIL135C, YNL074C
233	OG0000233	augustus_masked-draA_s103-processed-gene-2.147-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-2.147&CDS=1-768, snap_masked-draA_s74-processed-gene-0.91-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-0.91&CDS=1-768	YLR441C
234	OG0000234	snap_masked-draA_s103-processed-gene-2.23-mRNA-1_1&gene=snap_masked-draA_s103-processed-gene-2.23&CDS=1-843	YDR253C, YPL038W
235	OG0000235	snap_masked-draA_s103-processed-gene-2.24-mRNA-1_1&gene=snap_masked-draA_s103-processed-gene-2.24&CDS=1-1134, snap_masked-draA_s68-processed-gene-0.47-mRNA-1_1&gene=snap_masked-draA_s68-processed-gene-0.47&CDS=1-1110	YDL022W
236	OG0000236	augustus_masked-draA_s103-processed-gene-2.156-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-2.156&CDS=1-4308, augustus_masked-draA_s44-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-3.25&CDS=1-2718	YGR019W
237	OG0000237	augustus_masked-draA_s103-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-3.133&CDS=1-426	YDL083C, YMR143W
238	OG0000238	augustus_masked-draA_s103-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-3.113&CDS=1-588	YDL082W, YMR142C
239	OG0000239	augustus_masked-draA_s103-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-3.135&CDS=1-1707, augustus_masked-draA_s86-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-1.140&CDS=1-1746	YNR055C
240	OG0000240	augustus_masked-draA_s103-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-3.114&CDS=1-1236	YLR300W, YOR190W
241	OG0000241	genemark-draA_s103-processed-gene-3.94-mRNA-1_1&gene=genemark-draA_s103-processed-gene-3.94&CDS=1-1089	YDR450W, YML026C
242	OG0000242	augustus_masked-draA_s103-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-3.122&CDS=1-2145	YMR042W, YMR043W
243	OG0000243	maker-draA_s103-augustus-gene-3.105-mRNA-1_1&gene=maker-draA_s103-augustus-gene-3.105&CDS=1-207	YLR264W, YOR167C
244	OG0000244	augustus_masked-draA_s103-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-4.18&CDS=1-2493, augustus_masked-draA_s79-processed-gene-9.165-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-9.165&CDS=1-2613	YLR241W
245	OG0000245	augustus_masked-draA_s105-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-draA_s105-processed-gene-0.5&CDS=1-1368	YDR247W, YPL026C
246	OG0000246	augustus_masked-draA_s31-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.74&CDS=1-1497, snap_masked-draA_s107-processed-gene-0.0-mRNA-1_1&gene=snap_masked-draA_s107-processed-gene-0.0&CDS=1-1227	YNL051W
247	OG0000247	augustus_masked-draA_s108-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-draA_s108-processed-gene-0.7&CDS=1-2223, maker-draA_s17-snap-gene-2.42-mRNA-1_1&gene=maker-draA_s17-snap-gene-2.42&CDS=1-5304	YBR155W
248	OG0000248	augustus_masked-draA_s109-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-draA_s109-processed-gene-0.8&CDS=1-2022	YNL299W, YOL115W
249	OG0000249	augustus_masked-draA_s110-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-0.53&CDS=1-1539, augustus_masked-draA_s14-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-draA_s14-processed-gene-0.16&CDS=1-1566	YKL103C
250	OG0000250	augustus_masked-draA_s110-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-0.56&CDS=1-1437	YGR121C, YPR138C
251	OG0000251	augustus_masked-draA_s110-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-0.69&CDS=1-1599, augustus_masked-draA_s27-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.98&CDS=1-1818	YLR248W
252	OG0000252	augustus_masked-draA_s110-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-1.124&CDS=1-2025	YFR013W, YOL017W
253	OG0000253	augustus_masked-draA_s110-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-1.129&CDS=1-1431, augustus_masked-draA_s113-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-draA_s113-processed-gene-0.32&CDS=1-339	YNR023W
254	OG0000254	maker-draA_s110-augustus-gene-1.121-mRNA-1_1&gene=maker-draA_s110-augustus-gene-1.121&CDS=1-1371	YBR104W, YPR058W
255	OG0000255	augustus_masked-draA_s110-processed-gene-2.168-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-2.168&CDS=1-2319	YDL109C, YGL144C
256	OG0000256	augustus_masked-draA_s118-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-draA_s118-processed-gene-0.36&CDS=1-1227, maker-draA_s110-augustus-gene-2.154-mRNA-1_1&gene=maker-draA_s110-augustus-gene-2.154&CDS=1-1959	YEL046C
257	OG0000257	augustus_masked-draA_s110-processed-gene-2.215-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-2.215&CDS=1-1953	YGR241C, YHR161C
258	OG0000258	augustus_masked-draA_s110-processed-gene-2.189-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-2.189&CDS=1-927, augustus_masked-draA_s48-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-draA_s48-processed-gene-0.129&CDS=1-924	YDL236W
259	OG0000259	augustus_masked-draA_s111-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-draA_s111-processed-gene-0.35&CDS=1-519	YLR456W, YPR172W
260	OG0000260	augustus_masked-draA_s111-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-draA_s111-processed-gene-0.41&CDS=1-1047, augustus_masked-draA_s67-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-draA_s67-processed-gene-0.8&CDS=1-1815	YNL027W
261	OG0000261	augustus_masked-draA_s115-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-draA_s115-processed-gene-0.10&CDS=1-4179, snap_masked-draA_s27-processed-gene-1.210-mRNA-1_1&gene=snap_masked-draA_s27-processed-gene-1.210&CDS=1-537	YDR128W
262	OG0000262	augustus_masked-draA_s118-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-draA_s118-processed-gene-0.37&CDS=1-1695	YGR138C, YPR156C
263	OG0000263	snap_masked-draA_s118-processed-gene-0.23-mRNA-1_1&gene=snap_masked-draA_s118-processed-gene-0.23&CDS=1-2418	YDR351W, YHR103W
264	OG0000264	maker-draA_s118-augustus-gene-0.48-mRNA-1_1&gene=maker-draA_s118-augustus-gene-0.48&CDS=1-1329	YPR013C, YPR015C
265	OG0000265	maker-draA_s119-augustus-gene-0.115-mRNA-1_1&gene=maker-draA_s119-augustus-gene-0.115&CDS=1-417	YDR447C, YML024W
266	OG0000266	augustus_masked-draA_s44-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-3.9&CDS=1-1329, maker-draA_s119-augustus-gene-0.114-mRNA-1_1&gene=maker-draA_s119-augustus-gene-0.114&CDS=1-3567	YDL020C
267	OG0000267	snap_masked-draA_s120-processed-gene-0.1-mRNA-1_1&gene=snap_masked-draA_s120-processed-gene-0.1&CDS=1-3546	YHR155W, YNL257C
268	OG0000268	augustus_masked-draA_s121-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-draA_s121-processed-gene-0.99&CDS=1-1104, augustus_masked-draA_s79-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-2.117&CDS=1-1155	YBR026C
269	OG0000269	augustus_masked-draA_s121-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-draA_s121-processed-gene-0.76&CDS=1-5655, augustus_masked-draA_s79-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-7.6&CDS=1-5220	YGR032W
270	OG0000270	maker-draA_s121-augustus-gene-0.67-mRNA-1_1&gene=maker-draA_s121-augustus-gene-0.67&CDS=1-381	YGR034W, YLR344W
271	OG0000271	augustus_masked-draA_s121-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-draA_s121-processed-gene-0.112&CDS=1-1050, augustus_masked-draA_s17-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-draA_s17-processed-gene-1.35&CDS=1-1050	YML131W
272	OG0000272	genemark-draA_s121-processed-gene-0.47-mRNA-1_1&gene=genemark-draA_s121-processed-gene-0.47&CDS=1-2550	YKL121W, YMR102C
273	OG0000273	augustus_masked-draA_s14-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-draA_s14-processed-gene-0.30&CDS=1-1539	YBR020W, YDR009W
274	OG0000274	maker-draA_s15-snap-gene-0.104-mRNA-1_1&gene=maker-draA_s15-snap-gene-0.104&CDS=1-558	YNL301C, YOL120C
275	OG0000275	maker-draA_s15-snap-gene-0.105-mRNA-1_1&gene=maker-draA_s15-snap-gene-0.105&CDS=1-726	YNL302C, YOL121C
