	OrthologID	Candida_infanticola	Saccharomyces_cerevisiae
181	OG0000181	augustus_masked-LWLF01000001.1-processed-gene-15.160-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-15.160&CDS=1-2637, maker-LWLF01000021.1-augustus-gene-12.50-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-12.50&CDS=1-1704	YBL063W
182	OG0000182	maker-LWLF01000001.1-snap-gene-15.131-mRNA-1_1&gene=maker-LWLF01000001.1-snap-gene-15.131&CDS=1-2169, snap_masked-LWLF01000015.1-processed-gene-0.45-mRNA-1_1&gene=snap_masked-LWLF01000015.1-processed-gene-0.45&CDS=1-360	YLR386W
183	OG0000183	augustus_masked-LWLF01000001.1-processed-gene-15.189-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-15.189&CDS=1-1197, augustus_masked-LWLF01000015.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-LWLF01000015.1-processed-gene-0.22&CDS=1-1197	YLR387C
184	OG0000184	augustus_masked-LWLF01000001.1-processed-gene-16.61-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-16.61&CDS=1-2271, augustus_masked-LWLF01000015.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-LWLF01000015.1-processed-gene-0.29&CDS=1-2271	YDL060W
185	OG0000185	augustus_masked-LWLF01000001.1-processed-gene-16.62-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-16.62&CDS=1-2115, augustus_masked-LWLF01000015.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LWLF01000015.1-processed-gene-0.28&CDS=1-2115	YHL016C
186	OG0000186	augustus_masked-LWLF01000001.1-processed-gene-16.63-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-16.63&CDS=1-2208, augustus_masked-LWLF01000015.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-LWLF01000015.1-processed-gene-0.27&CDS=1-2208	YJL156C
187	OG0000187	augustus_masked-LWLF01000001.1-processed-gene-16.64-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-16.64&CDS=1-2007, augustus_masked-LWLF01000015.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LWLF01000015.1-processed-gene-0.21&CDS=1-2007	YOR001W
188	OG0000188	augustus_masked-LWLF01000001.1-processed-gene-16.91-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-16.91&CDS=1-1866, augustus_masked-LWLF01000015.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-LWLF01000015.1-processed-gene-0.19&CDS=1-1866	YGL124C
189	OG0000189	augustus_masked-LWLF01000001.1-processed-gene-16.92-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-16.92&CDS=1-411, augustus_masked-LWLF01000015.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LWLF01000015.1-processed-gene-0.18&CDS=1-411	YNL213C
190	OG0000190	genemark-LWLF01000001.1-processed-gene-16.129-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-16.129&CDS=1-1947, genemark-LWLF01000015.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LWLF01000015.1-processed-gene-0.10&CDS=1-1947	YDL230W
191	OG0000191	genemark-LWLF01000001.1-processed-gene-16.160-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-16.160&CDS=1-2568, genemark-LWLF01000015.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LWLF01000015.1-processed-gene-0.1&CDS=1-2568	YER070W
192	OG0000192	augustus_masked-LWLF01000001.1-processed-gene-16.95-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-16.95&CDS=1-1185, augustus_masked-LWLF01000021.1-processed-gene-16.96-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-16.96&CDS=1-1008	YJR076C
193	OG0000193	augustus_masked-LWLF01000001.1-processed-gene-16.100-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-16.100&CDS=1-1596	YER054C, YIL045W
194	OG0000194	augustus_masked-LWLF01000001.1-processed-gene-17.126-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-17.126&CDS=1-600	YCL026C-A, YCL026C-B
195	OG0000195	augustus_masked-LWLF01000001.1-processed-gene-17.146-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-17.146&CDS=1-1407, snap_masked-LWLF01000021.1-processed-gene-5.34-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-5.34&CDS=1-1293	YDR143C
196	OG0000196	maker-LWLF01000001.1-snap-gene-18.64-mRNA-1_1&gene=maker-LWLF01000001.1-snap-gene-18.64&CDS=1-1167	YGR034W, YLR344W
197	OG0000197	augustus_masked-LWLF01000001.1-processed-gene-23.105-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-23.105&CDS=1-927, snap_masked-LWLF01000001.1-processed-gene-18.53-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-18.53&CDS=1-738	YIL033C
198	OG0000198	augustus_masked-LWLF01000001.1-processed-gene-18.93-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-18.93&CDS=1-786	YHL033C, YLL045C
199	OG0000199	augustus_masked-LWLF01000001.1-processed-gene-18.117-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-18.117&CDS=1-852, augustus_masked-LWLF01000022.1-processed-gene-12.116-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-12.116&CDS=1-663	YOR194C
200	OG0000200	augustus_masked-LWLF01000001.1-processed-gene-18.95-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-18.95&CDS=1-762	YFR031C-A, YIL018W
201	OG0000201	augustus_masked-LWLF01000022.1-processed-gene-21.31-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-21.31&CDS=1-1275, snap_masked-LWLF01000001.1-processed-gene-18.58-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-18.58&CDS=1-1233	YGL219C
202	OG0000202	augustus_masked-LWLF01000001.1-processed-gene-19.174-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-19.174&CDS=1-306	YGR209C, YLR043C
203	OG0000203	augustus_masked-LWLF01000001.1-processed-gene-20.8-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-20.8&CDS=1-615	YGR038W, YLR350W
204	OG0000204	augustus_masked-LWLF01000001.1-processed-gene-20.39-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-20.39&CDS=1-861	YLR284C, YOR180C
205	OG0000205	augustus_masked-LWLF01000001.1-processed-gene-20.14-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-20.14&CDS=1-1260	YCR052W, YNR023W
206	OG0000206	augustus_masked-LWLF01000001.1-processed-gene-21.131-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-21.131&CDS=1-1659	YDR409W, YOR156C
207	OG0000207	maker-LWLF01000001.1-augustus-gene-21.61-mRNA-1_1&gene=maker-LWLF01000001.1-augustus-gene-21.61&CDS=1-1047	YLR029C, YMR121C
208	OG0000208	augustus_masked-LWLF01000001.1-processed-gene-22.67-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-22.67&CDS=1-1785, augustus_masked-LWLF01000022.1-processed-gene-20.157-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-20.157&CDS=1-1731	YHR202W
209	OG0000209	genemark-LWLF01000001.1-processed-gene-22.20-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-22.20&CDS=1-1788, genemark-LWLF01000021.1-processed-gene-18.20-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-18.20&CDS=1-1740	YIL067C
210	OG0000210	augustus_masked-LWLF01000001.1-processed-gene-22.91-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-22.91&CDS=1-396	YER074W, YIL069C
211	OG0000211	augustus_masked-LWLF01000001.1-processed-gene-23.73-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-23.73&CDS=1-624	YDR066C, YER139C
212	OG0000212	augustus_masked-LWLF01000001.1-processed-gene-23.110-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-23.110&CDS=1-2823	YIL095W, YNL020C
213	OG0000213	genemark-LWLF01000001.1-processed-gene-23.155-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-23.155&CDS=1-363	YMR230W, YOR293W
214	OG0000214	augustus_masked-LWLF01000001.1-processed-gene-23.93-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-23.93&CDS=1-711	YBR181C, YPL090C
215	OG0000215	augustus_masked-LWLF01000001.1-processed-gene-23.99-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-23.99&CDS=1-1851	YHL001W, YKL006W
216	OG0000216	augustus_masked-LWLF01000001.1-processed-gene-23.130-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-23.130&CDS=1-1140	YCR094W, YNR048W
217	OG0000217	augustus_masked-LWLF01000001.1-processed-gene-24.39-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-24.39&CDS=1-1629	YHL017W, YKL039W
218	OG0000218	augustus_masked-LWLF01000001.1-processed-gene-24.53-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-24.53&CDS=1-2529	YDR385W, YOR133W
219	OG0000219	augustus_masked-LWLF01000001.1-processed-gene-25.134-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-25.134&CDS=1-1311	YEL041W, YJR049C
220	OG0000220	augustus_masked-LWLF01000001.1-processed-gene-25.142-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-25.142&CDS=1-858	YLR270W, YOR173W
221	OG0000221	augustus_masked-LWLF01000001.1-processed-gene-25.146-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-25.146&CDS=1-1428	YKL121W, YMR102C
222	OG0000222	augustus_masked-LWLF01000001.1-processed-gene-25.152-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-25.152&CDS=1-1629, augustus_masked-LWLF01000022.1-processed-gene-17.63-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.63&CDS=1-1440	YLR047C
223	OG0000223	augustus_masked-LWLF01000001.1-processed-gene-25.181-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-25.181&CDS=1-441	YNL302C, YOL121C
224	OG0000224	snap_masked-LWLF01000001.1-processed-gene-25.95-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-25.95&CDS=1-558	YNL301C, YOL120C
225	OG0000225	augustus_masked-LWLF01000001.1-processed-gene-25.164-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-25.164&CDS=1-1533, augustus_masked-LWLF01000022.1-processed-gene-12.108-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-12.108&CDS=1-1563	YGR260W
226	OG0000226	augustus_masked-LWLF01000001.1-processed-gene-26.4-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-26.4&CDS=1-810	YCR073W-A, YNR034W
227	OG0000227	augustus_masked-LWLF01000001.1-processed-gene-26.9-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-26.9&CDS=1-732	YDR098C, YER174C
228	OG0000228	maker-LWLF01000001.1-augustus-gene-26.196-mRNA-1_1&gene=maker-LWLF01000001.1-augustus-gene-26.196&CDS=1-1041	YHR141C, YNL162W
229	OG0000229	augustus_masked-LWLF01000001.1-processed-gene-26.16-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-26.16&CDS=1-1632	YCR048W, YNR019W
230	OG0000230	augustus_masked-LWLF01000001.1-processed-gene-26.58-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-26.58&CDS=1-1392	YER081W, YIL074C
231	OG0000231	snap_masked-LWLF01000001.1-processed-gene-27.222-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-27.222&CDS=1-2829	YKL050C, YMR031C
232	OG0000232	augustus_masked-LWLF01000001.1-processed-gene-27.122-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-27.122&CDS=1-465	YDR450W, YML026C
233	OG0000233	maker-LWLF01000001.1-augustus-gene-27.105-mRNA-1_1&gene=maker-LWLF01000001.1-augustus-gene-27.105&CDS=1-1071	YBL087C, YER117W
234	OG0000234	augustus_masked-LWLF01000001.1-processed-gene-27.131-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-27.131&CDS=1-642	YAR002C-A, YGL002W
235	OG0000235	augustus_masked-LWLF01000001.1-processed-gene-27.187-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-27.187&CDS=1-486	YLR456W, YPR172W
236	OG0000236	augustus_masked-LWLF01000001.1-processed-gene-27.194-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-27.194&CDS=1-2427	YJL084C, YKR021W
237	OG0000237	snap_masked-LWLF01000001.1-processed-gene-27.299-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-27.299&CDS=1-3378	YGL133W, YPL216W
238	OG0000238	augustus_masked-LWLF01000001.1-processed-gene-27.201-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-27.201&CDS=1-516	YGR085C, YPR102C
239	OG0000239	augustus_masked-LWLF01000022.1-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-0.133&CDS=1-1833, genemark-LWLF01000001.1-processed-gene-27.100-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-27.100&CDS=1-1299	YLR286C
240	OG0000240	augustus_masked-LWLF01000003.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LWLF01000003.1-processed-gene-0.2&CDS=1-1344, augustus_masked-LWLF01000021.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-0.0&CDS=1-2295	YNR013C
241	OG0000241	augustus_masked-LWLF01000021.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-0.31&CDS=1-1422	YGR121C, YPR138C
242	OG0000242	augustus_masked-LWLF01000021.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-0.32&CDS=1-3000	YAR042W, YDL019C
243	OG0000243	augustus_masked-LWLF01000021.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-0.37&CDS=1-1194	YDR312W, YHR066W
244	OG0000244	augustus_masked-LWLF01000021.1-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-1.132&CDS=1-1467, maker-LWLF01000022.1-snap-gene-4.180-mRNA-1_1&gene=maker-LWLF01000022.1-snap-gene-4.180&CDS=1-1899	YDR256C
245	OG0000245	augustus_masked-LWLF01000021.1-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-1.134&CDS=1-1287	YBL089W, YER119C
246	OG0000246	augustus_masked-LWLF01000021.1-processed-gene-1.166-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-1.166&CDS=1-663, augustus_masked-LWLF01000021.1-processed-gene-16.98-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-16.98&CDS=1-750	YBL064C
247	OG0000247	augustus_masked-LWLF01000021.1-processed-gene-1.179-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-1.179&CDS=1-1095, augustus_masked-LWLF01000022.1-processed-gene-24.161-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-24.161&CDS=1-1224	YER145C
248	OG0000248	augustus_masked-LWLF01000021.1-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-1.155&CDS=1-1314	YGR254W, YHR174W
249	OG0000249	augustus_masked-LWLF01000021.1-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-1.156&CDS=1-1644	YIR031C, YNL117W
250	OG0000250	maker-LWLF01000021.1-augustus-gene-2.108-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-2.108&CDS=1-1023	YGL031C, YGR148C
251	OG0000251	augustus_masked-LWLF01000021.1-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-2.63&CDS=1-1239, augustus_masked-LWLF01000021.1-processed-gene-21.136-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-21.136&CDS=1-1668	YLR027C
252	OG0000252	snap_masked-LWLF01000021.1-processed-gene-2.11-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-2.11&CDS=1-2286	YMR119W, YNL008C
253	OG0000253	augustus_masked-LWLF01000021.1-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-2.75&CDS=1-2883	YLR450W, YML075C
254	OG0000254	augustus_masked-LWLF01000021.1-processed-gene-11.79-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-11.79&CDS=1-1638, augustus_masked-LWLF01000021.1-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-2.96&CDS=1-1683	YKR034W
255	OG0000255	genemark-LWLF01000021.1-processed-gene-3.70-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-3.70&CDS=1-1506	YDL042C, YOL068C
256	OG0000256	augustus_masked-LWLF01000021.1-processed-gene-15.74-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-15.74&CDS=1-2229, snap_masked-LWLF01000021.1-processed-gene-3.12-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-3.12&CDS=1-1983	YIR007W
257	OG0000257	genemark-LWLF01000021.1-processed-gene-3.115-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-3.115&CDS=1-1884, snap_masked-LWLF01000021.1-processed-gene-14.138-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-14.138&CDS=1-1620	YPR141C
258	OG0000258	augustus_masked-LWLF01000021.1-processed-gene-3.162-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-3.162&CDS=1-747	YGL076C, YPL198W
259	OG0000259	augustus_masked-LWLF01000021.1-processed-gene-3.166-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-3.166&CDS=1-1803	YHR117W, YNL121C
260	OG0000260	augustus_masked-LWLF01000021.1-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.92&CDS=1-1125	YDR273W, YOR042W
261	OG0000261	maker-LWLF01000021.1-augustus-gene-4.60-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-4.60&CDS=1-1518	YDR272W, YOR040W
262	OG0000262	augustus_masked-LWLF01000021.1-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.102&CDS=1-303	YMR194W, YPL249C-A
263	OG0000263	genemark-LWLF01000021.1-processed-gene-4.18-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-4.18&CDS=1-1470	YBR001C, YDR001C
264	OG0000264	augustus_masked-LWLF01000021.1-processed-gene-22.228-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-22.228&CDS=1-1644, augustus_masked-LWLF01000021.1-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.80&CDS=1-1581	YMR297W
265	OG0000265	maker-LWLF01000021.1-snap-gene-4.63-mRNA-1_1&gene=maker-LWLF01000021.1-snap-gene-4.63&CDS=1-2283	YHR179W, YPL171C
266	OG0000266	augustus_masked-LWLF01000021.1-processed-gene-4.112-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-4.112&CDS=1-2304	YML109W, YMR273C
267	OG0000267	augustus_masked-LWLF01000021.1-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.86&CDS=1-1332	YBL056W, YER089C
268	OG0000268	augustus_masked-LWLF01000021.1-processed-gene-5.63-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.63&CDS=1-1044	YBR042C, YDR018C
269	OG0000269	maker-LWLF01000021.1-snap-gene-5.111-mRNA-1_1&gene=maker-LWLF01000021.1-snap-gene-5.111&CDS=1-3153, snap_masked-LWLF01000021.1-processed-gene-5.27-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-5.27&CDS=1-1686, snap_masked-LWLF01000021.1-processed-gene-5.28-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-5.28&CDS=1-1521	
270	OG0000270	augustus_masked-LWLF01000021.1-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.98&CDS=1-2463	YER066W, YFL009W
271	OG0000271	maker-LWLF01000021.1-augustus-gene-5.112-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-5.112&CDS=1-3030, snap_masked-LWLF01000021.1-processed-gene-10.154-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-10.154&CDS=1-1536	YMR110C
272	OG0000272	augustus_masked-LWLF01000021.1-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.101&CDS=1-3117	YKL068W, YMR047C
273	OG0000273	augustus_masked-LWLF01000021.1-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-5.105&CDS=1-1725	YGR138C, YPR156C
274	OG0000274	augustus_masked-LWLF01000021.1-processed-gene-6.3-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.3&CDS=1-2109	YGR056W, YLR357W
275	OG0000275	augustus_masked-LWLF01000021.1-processed-gene-6.11-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.11&CDS=1-1107	YGR010W, YLR328W
276	OG0000276	augustus_masked-LWLF01000021.1-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.15&CDS=1-3174	YJR127C, YML081W
277	OG0000277	maker-LWLF01000021.1-augustus-gene-6.105-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-6.105&CDS=1-1743	YJR130C, YML082W
278	OG0000278	augustus_masked-LWLF01000021.1-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-6.22&CDS=1-1689	YER064C, YIL056W
279	OG0000279	augustus_masked-LWLF01000021.1-processed-gene-8.95-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.95&CDS=1-408	YDR447C, YML024W
280	OG0000280	snap_masked-LWLF01000021.1-processed-gene-8.124-mRNA-1_1&gene=snap_masked-LWLF01000021.1-processed-gene-8.124&CDS=1-1290	YDR505C, YLR177W
281	OG0000281	augustus_masked-LWLF01000021.1-processed-gene-8.76-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.76&CDS=1-1416	YDL161W, YLR206W
282	OG0000282	augustus_masked-LWLF01000021.1-processed-gene-8.80-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.80&CDS=1-1428, maker-LWLF01000021.1-snap-gene-8.63-mRNA-1_1&gene=maker-LWLF01000021.1-snap-gene-8.63&CDS=1-2088	YKL046C
283	OG0000283	maker-LWLF01000021.1-augustus-gene-8.61-mRNA-1_1&gene=maker-LWLF01000021.1-augustus-gene-8.61&CDS=1-2709	YGR143W, YPR159W
284	OG0000284	augustus_masked-LWLF01000021.1-processed-gene-9.90-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-9.90&CDS=1-390	YFL034C-A, YLR061W
285	OG0000285	genemark-LWLF01000021.1-processed-gene-9.11-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-9.11&CDS=1-1530	YJL112W, YKR036C
286	OG0000286	augustus_masked-LWLF01000021.1-processed-gene-10.29-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-10.29&CDS=1-1119	YHR123W, YNL130C
287	OG0000287	augustus_masked-LWLF01000021.1-processed-gene-11.71-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-11.71&CDS=1-753	YBR147W, YOL092W
288	OG0000288	augustus_masked-LWLF01000021.1-processed-gene-11.81-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-11.81&CDS=1-588, augustus_masked-LWLF01000022.1-processed-gene-19.77-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.77&CDS=1-387	YOR285W
289	OG0000289	augustus_masked-LWLF01000021.1-processed-gene-11.83-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-11.83&CDS=1-819	YER037W, YGL224C
290	OG0000290	augustus_masked-LWLF01000021.1-processed-gene-11.87-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-11.87&CDS=1-1029, augustus_masked-LWLF01000021.1-processed-gene-13.21-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-13.21&CDS=1-1224	YEL036C
291	OG0000291	genemark-LWLF01000021.1-processed-gene-12.59-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-12.59&CDS=1-312	YGR027C, YLR333C
292	OG0000292	augustus_masked-LWLF01000021.1-processed-gene-12.114-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-12.114&CDS=1-2157	YDL109C, YGL144C
293	OG0000293	augustus_masked-LWLF01000021.1-processed-gene-12.152-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-12.152&CDS=1-1134	YML118W, YMR285C
294	OG0000294	augustus_masked-LWLF01000021.1-processed-gene-12.131-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-12.131&CDS=1-645	YML106W, YMR271C
295	OG0000295	augustus_masked-LWLF01000021.1-processed-gene-12.154-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-12.154&CDS=1-1737, augustus_masked-LWLF01000022.1-processed-gene-4.165-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-4.165&CDS=1-1653	YMR088C
296	OG0000296	augustus_masked-LWLF01000021.1-processed-gene-12.155-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-12.155&CDS=1-852	YBR183W, YPL087W
297	OG0000297	augustus_masked-LWLF01000021.1-processed-gene-13.12-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-13.12&CDS=1-2016, maker-LWLF01000022.1-augustus-gene-19.95-mRNA-1_1&gene=maker-LWLF01000022.1-augustus-gene-19.95&CDS=1-2916	YKR001C
298	OG0000298	augustus_masked-LWLF01000021.1-processed-gene-13.37-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-13.37&CDS=1-1470, augustus_masked-LWLF01000022.1-processed-gene-8.79-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-8.79&CDS=1-1539	YCR008W
299	OG0000299	augustus_masked-LWLF01000021.1-processed-gene-13.23-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-13.23&CDS=1-825, augustus_masked-LWLF01000021.1-processed-gene-13.24-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-13.24&CDS=1-834	YER175C
300	OG0000300	augustus_masked-LWLF01000021.1-processed-gene-14.35-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-14.35&CDS=1-891, augustus_masked-LWLF01000022.1-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-1.88&CDS=1-735	YAL014C
