	OrthologID	Saccharomyces_cerevisiae	Yarrowia_deformans
752	OG0000752	YDL043C	-processed-gene-4.47-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-4.47&CDS=1-663
753	OG0000753	YDL045C	-processed-gene-4.99-mRNA-1_1&gene=snap_masked-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-4.99&CDS=1-549
754	OG0000754	YDL046W	-processed-gene-6.114-mRNA-1_1&gene=genemark-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-6.114&CDS=1-570
755	OG0000755	YDL047W	-processed-gene-5.165-mRNA-1_1&gene=augustus_masked-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-5.165&CDS=1-927
756	OG0000756	YDL051W	-processed-gene-3.41-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-3.41&CDS=1-1194
757	OG0000757	YDL052C	-processed-gene-3.37-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-3.37&CDS=1-903
758	OG0000758	YDL054C	-processed-gene-1.3-mRNA-1_1&gene=genemark-gi|1002317470|dbj|BCIW01000019.1|-processed-gene-1.3&CDS=1-1497
759	OG0000759	YDL055C	-processed-gene-5.26-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-5.26&CDS=1-1089
760	OG0000760	YDL056W	-processed-gene-8.133-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-8.133&CDS=1-1896
761	OG0000761	YDL057W	-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-4.26&CDS=1-1794
762	OG0000762	YDL058W	-processed-gene-11.78-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-11.78&CDS=1-5772
763	OG0000763	YDL060W	-processed-gene-10.56-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-10.56&CDS=1-2157
764	OG0000764	YDL063C	-processed-gene-3.84-mRNA-1_1&gene=snap_masked-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-3.84&CDS=1-1914
765	OG0000765	YDL064W	-processed-gene-0.68-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-0.68&CDS=1-477
766	OG0000766	YDL065C	-processed-gene-0.90-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-0.90&CDS=1-966
767	OG0000767	YDL066W	-processed-gene-8.56-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-8.56&CDS=1-1293
768	OG0000768	YDL067C	-processed-gene-8.41-mRNA-1_1&gene=snap_masked-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-8.41&CDS=1-180
769	OG0000769	YDL072C	-processed-gene-10.182-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-10.182&CDS=1-624
770	OG0000770	YDL074C	-processed-gene-9.8-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-9.8&CDS=1-2145
771	OG0000771	YDL077C	-processed-gene-6.109-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-6.109&CDS=1-3018
772	OG0000772	YDL081C	-processed-gene-5.37-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-5.37&CDS=1-312
773	OG0000773	YDL084W	-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-gi|1002317470|dbj|BCIW01000019.1|-processed-gene-1.87&CDS=1-1326
774	OG0000774	YDL086W	-processed-gene-1.63-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-1.63&CDS=1-810
775	OG0000775	YDL087C	-processed-gene-4.44-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-4.44&CDS=1-717
776	OG0000776	YDL090C	-processed-gene-11.39-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-11.39&CDS=1-1257
777	OG0000777	YDL091C	-processed-gene-11.38-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-11.38&CDS=1-1530
778	OG0000778	YDL092W	-processed-gene-0.34-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-0.34&CDS=1-312
779	OG0000779	YDL095W	-processed-gene-2.70-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-2.70&CDS=1-2442
780	OG0000780	YDL097C	-processed-gene-6.56-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-6.56&CDS=1-1260
781	OG0000781	YDL098C	-processed-gene-6.80-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-6.80&CDS=1-456
782	OG0000782	YDL100C	-processed-gene-2.78-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-2.78&CDS=1-981
783	OG0000783	YDL102W	-processed-gene-6.103-mRNA-1_1&gene=genemark-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-6.103&CDS=1-3216
784	OG0000784	YDL103C	-processed-gene-3.58-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-3.58&CDS=1-1437
785	OG0000785	YDL104C	-processed-gene-15.3-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-15.3&CDS=1-1143
786	OG0000786	YDL107W	-processed-gene-10.108-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-10.108&CDS=1-1164
787	OG0000787	YDL108W	-processed-gene-10.34-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-10.34&CDS=1-948
788	OG0000788	YDL111C	-processed-gene-17.15-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-17.15&CDS=1-936
789	OG0000789	YDL112W	-processed-gene-17.29-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-17.29&CDS=1-4164
790	OG0000790	YDL113C	-processed-gene-15.12-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-15.12&CDS=1-1734
791	OG0000791	YDL114W	-processed-gene-0.9-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-0.9&CDS=1-900
792	OG0000792	YDL116W	-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-6.110&CDS=1-2241
793	OG0000793	YDL117W	-processed-gene-18.2-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-18.2&CDS=1-3123
794	OG0000794	YDL119C	-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-1.116&CDS=1-963
795	OG0000795	YDL120W	-processed-gene-2.75-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-2.75&CDS=1-522
796	OG0000796	YDL122W	-processed-gene-8.60-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-8.60&CDS=1-1794
797	OG0000797	YDL124W	-processed-gene-1.36-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-1.36&CDS=1-906
798	OG0000798	YDL126C	-processed-gene-5.21-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-5.21&CDS=1-2439
799	OG0000799	YDL128W	-processed-gene-9.25-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-9.25&CDS=1-1200
800	OG0000800	YDL132W	-processed-gene-5.86-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-5.86&CDS=1-2364
801	OG0000801	YDL133W	-processed-gene-5.85-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-5.85&CDS=1-1665
802	OG0000802	YDL134C	-processed-gene-11.160-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-11.160&CDS=1-1020
803	OG0000803	YDL139C	-processed-gene-0.68-mRNA-1_1&gene=snap_masked-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-0.68&CDS=1-465
804	OG0000804	YDL140C	-processed-gene-8.73-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-8.73&CDS=1-5238
805	OG0000805	YDL141W	-augustus-gene-5.5-mRNA-1_1&gene=maker-gi|1002317484|dbj|BCIW01000005.1|-augustus-gene-5.5&CDS=1-2361
806	OG0000806	YDL142C	-processed-gene-0.49-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-0.49&CDS=1-900
807	OG0000807	YDL143W	-processed-gene-10.44-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-10.44&CDS=1-1581
808	OG0000808	YDL144C	-processed-gene-3.32-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-3.32&CDS=1-1002
809	OG0000809	YDL145C	-processed-gene-2.58-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-2.58&CDS=1-3714
810	OG0000810	YDL146W	-processed-gene-7.41-mRNA-1_1&gene=snap_masked-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-7.41&CDS=1-1035
811	OG0000811	YDL147W	-processed-gene-14.32-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-14.32&CDS=1-1341
812	OG0000812	YDL148C	-processed-gene-5.61-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-5.61&CDS=1-2478
813	OG0000813	YDL149W	-processed-gene-5.45-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-5.45&CDS=1-2409
814	OG0000814	YDL150W	-processed-gene-10.19-mRNA-1_1&gene=snap_masked-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-10.19&CDS=1-1413
815	OG0000815	YDL153C	-processed-gene-10.42-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-10.42&CDS=1-1683
816	OG0000816	YDL156W	-processed-gene-11.175-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-11.175&CDS=1-1614
817	OG0000817	YDL159W	-processed-gene-11.157-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-11.157&CDS=1-1071
818	OG0000818	YDL160C	-processed-gene-11.159-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-11.159&CDS=1-1554
819	OG0000819	YDL164C	-processed-gene-12.69-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-12.69&CDS=1-2148
820	OG0000820	YDL165W	-snap-gene-0.0-mRNA-1_1&gene=maker-gi|1002317482|dbj|BCIW01000007.1|-snap-gene-0.0&CDS=1-729
821	OG0000821	YDL166C	-processed-gene-0.61-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-0.61&CDS=1-519
822	OG0000822	YDL167C	-processed-gene-11.59-mRNA-1_1&gene=augustus_masked-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-11.59&CDS=1-1467
823	OG0000823	YDL168W	-processed-gene-6.100-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-6.100&CDS=1-1143
824	OG0000824	YDL170W	-processed-gene-2.41-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-2.41&CDS=1-1668
825	OG0000825	YDL171C	-processed-gene-4.61-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-4.61&CDS=1-6357
826	OG0000826	YDL174C	-processed-gene-3.56-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-3.56&CDS=1-1737
827	OG0000827	YDL178W	-processed-gene-4.43-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-4.43&CDS=1-1611
828	OG0000828	YDL181W	-processed-gene-9.118-mRNA-1_1&gene=snap_masked-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-9.118&CDS=1-249
829	OG0000829	YDL182W	-processed-gene-0.4-mRNA-1_1&gene=genemark-gi|1002317465|dbj|BCIW01000024.1|-processed-gene-0.4&CDS=1-1350
830	OG0000830	YDL183C	-processed-gene-5.102-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-5.102&CDS=1-933
831	OG0000831	YDL185W	-processed-gene-10.44-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-10.44&CDS=1-1839
832	OG0000832	YDL189W	-processed-gene-5.62-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-5.62&CDS=1-2271
833	OG0000833	YDL190C	-processed-gene-5.84-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-5.84&CDS=1-3231
834	OG0000834	YDL193W	-processed-gene-9.55-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-9.55&CDS=1-903
835	OG0000835	YDL195W	-processed-gene-5.47-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-5.47&CDS=1-3555
836	OG0000836	YDL198C	-processed-gene-5.22-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-5.22&CDS=1-903
837	OG0000837	YDL201W	-processed-gene-5.18-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-5.18&CDS=1-876
838	OG0000838	YDL202W	-processed-gene-8.66-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-8.66&CDS=1-699
839	OG0000839	YDL205C	-processed-gene-3.30-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-3.30&CDS=1-1014
840	OG0000840	YDL206W	-snap-gene-12.41-mRNA-1_1&gene=maker-gi|1002317485|dbj|BCIW01000004.1|-snap-gene-12.41&CDS=1-2052
841	OG0000841	YDL207W	-processed-gene-8.24-mRNA-1_1&gene=augustus_masked-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-8.24&CDS=1-1557
842	OG0000842	YDL208W	-processed-gene-10.52-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-10.52&CDS=1-465
843	OG0000843	YDL209C	-processed-gene-12.51-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-12.51&CDS=1-1149
844	OG0000844	YDL212W	-processed-gene-4.20-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-4.20&CDS=1-561
845	OG0000845	YDL213C	-processed-gene-10.158-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-10.158&CDS=1-918
846	OG0000846	YDL215C	-processed-gene-2.49-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-2.49&CDS=1-3144
847	OG0000847	YDL216C	-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-5.106&CDS=1-1428
848	OG0000848	YDL217C	-processed-gene-2.84-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-2.84&CDS=1-552
849	OG0000849	YDL219W	-processed-gene-4.61-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-4.61&CDS=1-462
850	OG0000850	YDL226C	-processed-gene-3.57-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-3.57&CDS=1-1329
851	OG0000851	YDL230W	-processed-gene-0.2-mRNA-1_1&gene=genemark-gi|1002317465|dbj|BCIW01000024.1|-processed-gene-0.2&CDS=1-846
852	OG0000852	YDL231C	-processed-gene-0.69-mRNA-1_1&gene=snap_masked-gi|1002317465|dbj|BCIW01000024.1|-processed-gene-0.69&CDS=1-3219
853	OG0000853	YDL233W	-processed-gene-1.87-mRNA-1_1&gene=snap_masked-gi|1002317467|dbj|BCIW01000022.1|-processed-gene-1.87&CDS=1-1809
854	OG0000854	YDL234C	-processed-gene-0.55-mRNA-1_1&gene=genemark-gi|1002317465|dbj|BCIW01000024.1|-processed-gene-0.55&CDS=1-2190
855	OG0000855	YDL235C	-processed-gene-1.12-mRNA-1_1&gene=genemark-gi|1002317467|dbj|BCIW01000022.1|-processed-gene-1.12&CDS=1-480
856	OG0000856	YDL236W	-processed-gene-6.48-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-6.48&CDS=1-897
857	OG0000857	YDL237W	-processed-gene-13.19-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-13.19&CDS=1-921
858	OG0000858	YDL238C	-processed-gene-10.159-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-10.159&CDS=1-1353
859	OG0000859	YDL240W	-processed-gene-6.78-mRNA-1_1&gene=augustus_masked-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-6.78&CDS=1-4050
860	OG0000860	YDR002W	-processed-gene-2.19-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-2.19&CDS=1-621
861	OG0000861	YDR004W	-processed-gene-4.18-mRNA-1_1&gene=snap_masked-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-4.18&CDS=1-1299
862	OG0000862	YDR005C	-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-4.86&CDS=1-903
863	OG0000863	YDR006C	-processed-gene-20.40-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-20.40&CDS=1-1998
864	OG0000864	YDR007W	-processed-gene-14.63-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-14.63&CDS=1-1212
865	OG0000865	YDR011W	-processed-gene-12.63-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-12.63&CDS=1-4578
866	OG0000866	YDR013W	-processed-gene-11.125-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-11.125&CDS=1-558
867	OG0000867	YDR016C	-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-3.65&CDS=1-264
868	OG0000868	YDR017C	-augustus-gene-7.96-mRNA-1_1&gene=maker-gi|1002317485|dbj|BCIW01000004.1|-augustus-gene-7.96&CDS=1-2772
869	OG0000869	YDR019C	-processed-gene-10.63-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-10.63&CDS=1-1224
870	OG0000870	YDR020C	-processed-gene-10.105-mRNA-1_1&gene=augustus_masked-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-10.105&CDS=1-627
871	OG0000871	YDR021W	-processed-gene-10.49-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-10.49&CDS=1-1191
872	OG0000872	YDR023W	-processed-gene-10.51-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-10.51&CDS=1-1359
873	OG0000873	YDR026C	-processed-gene-10.45-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-10.45&CDS=1-1992
874	OG0000874	YDR027C	-processed-gene-14.39-mRNA-1_1&gene=augustus_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-14.39&CDS=1-3972
875	OG0000875	YDR028C	-processed-gene-14.38-mRNA-1_1&gene=augustus_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-14.38&CDS=1-2271
876	OG0000876	YDR030C	-processed-gene-0.68-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-0.68&CDS=1-1269
877	OG0000877	YDR031W	-processed-gene-22.44-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-22.44&CDS=1-339
878	OG0000878	YDR035W	-processed-gene-4.71-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-4.71&CDS=1-1086
879	OG0000879	YDR036C	-processed-gene-12.77-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-12.77&CDS=1-1419
880	OG0000880	YDR037W	-processed-gene-10.19-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-10.19&CDS=1-1749
881	OG0000881	YDR041W	-processed-gene-12.70-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-12.70&CDS=1-786
882	OG0000882	YDR043C	-processed-gene-10.60-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-10.60&CDS=1-624
883	OG0000883	YDR044W	-processed-gene-5.39-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-5.39&CDS=1-1212
884	OG0000884	YDR045C	-processed-gene-3.67-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-3.67&CDS=1-300
885	OG0000885	YDR047W	-processed-gene-7.19-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-7.19&CDS=1-1110
886	OG0000886	YDR049W	-processed-gene-10.121-mRNA-1_1&gene=snap_masked-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-10.121&CDS=1-1806
887	OG0000887	YDR050C	-processed-gene-3.83-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-3.83&CDS=1-747
888	OG0000888	YDR051C	-processed-gene-3.18-mRNA-1_1&gene=snap_masked-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-3.18&CDS=1-846
889	OG0000889	YDR052C	-processed-gene-14.45-mRNA-1_1&gene=augustus_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-14.45&CDS=1-2631
890	OG0000890	YDR054C	-augustus-gene-4.1-mRNA-1_1&gene=maker-gi|1002317479|dbj|BCIW01000010.1|-augustus-gene-4.1&CDS=1-711
891	OG0000891	YDR057W	-processed-gene-7.63-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-7.63&CDS=1-1671
892	OG0000892	YDR058C	-processed-gene-6.53-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-6.53&CDS=1-981
893	OG0000893	YDR059C	-processed-gene-20.32-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-20.32&CDS=1-441
894	OG0000894	YDR060W	-processed-gene-20.25-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-20.25&CDS=1-3294
895	OG0000895	YDR061W	-processed-gene-1.82-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-1.82&CDS=1-1500
896	OG0000896	YDR062W	-processed-gene-9.5-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-9.5&CDS=1-1623
897	OG0000897	YDR063W	-augustus-gene-1.3-mRNA-1_1&gene=maker-gi|1002317473|dbj|BCIW01000016.1|-augustus-gene-1.3&CDS=1-462
898	OG0000898	YDR064W	-augustus-gene-3.76-mRNA-1_1&gene=maker-gi|1002317486|dbj|BCIW01000003.1|-augustus-gene-3.76&CDS=1-453
899	OG0000899	YDR067C	-processed-gene-3.114-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-3.114&CDS=1-720
900	OG0000900	YDR071C	-processed-gene-3.97-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-3.97&CDS=1-621
901	OG0000901	YDR074W	-processed-gene-11.58-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-11.58&CDS=1-2400
902	OG0000902	YDR075W	-processed-gene-4.51-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-4.51&CDS=1-966
903	OG0000903	YDR079C-A	-processed-gene-11.77-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-11.77&CDS=1-225
904	OG0000904	YDR079W	-snap-gene-5.134-mRNA-1_1&gene=maker-gi|1002317476|dbj|BCIW01000013.1|-snap-gene-5.134&CDS=1-990
905	OG0000905	YDR080W	-processed-gene-11.99-mRNA-1_1&gene=augustus_masked-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-11.99&CDS=1-3045
906	OG0000906	YDR083W	-processed-gene-11.59-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-11.59&CDS=1-1254
907	OG0000907	YDR086C	-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-6.102&CDS=1-204
908	OG0000908	YDR087C	-processed-gene-6.66-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-6.66&CDS=1-885
909	OG0000909	YDR088C	-processed-gene-6.64-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-6.64&CDS=1-1248
910	OG0000910	YDR090C	-processed-gene-1.11-mRNA-1_1&gene=genemark-gi|1002317467|dbj|BCIW01000022.1|-processed-gene-1.11&CDS=1-816
911	OG0000911	YDR091C	-snap-gene-11.0-mRNA-1_1&gene=maker-gi|1002317483|dbj|BCIW01000006.1|-snap-gene-11.0&CDS=1-1989
912	OG0000912	YDR092W	-processed-gene-0.9-mRNA-1_1&gene=genemark-gi|1002317469|dbj|BCIW01000020.1|-processed-gene-0.9&CDS=1-450
913	OG0000913	YDR097C	-processed-gene-3.27-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-3.27&CDS=1-3441
914	OG0000914	YDR100W	-processed-gene-9.66-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-9.66&CDS=1-402
915	OG0000915	YDR101C	-processed-gene-9.91-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-9.91&CDS=1-1452
916	OG0000916	YDR104C	-processed-gene-5.29-mRNA-1_1&gene=snap_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-5.29&CDS=1-4386
917	OG0000917	YDR105C	-processed-gene-2.49-mRNA-1_1&gene=genemark-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-2.49&CDS=1-1389
918	OG0000918	YDR108W	-processed-gene-0.8-mRNA-1_1&gene=snap_masked-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-0.8&CDS=1-1572
