	OrthologID	Saccharomyces_cerevisiae	Saccharomyces_uvarum
313	OG0000313	YAR002C-A	genemark-Sbay_1-processed-gene-0.61-mRNA-1_1&gene=genemark-Sbay_1-processed-gene-0.61&CDS=1-657
314	OG0000314	YAR002W	genemark-Sbay_1-processed-gene-0.28-mRNA-1_1&gene=genemark-Sbay_1-processed-gene-0.28&CDS=1-1596
315	OG0000315	YAR003W	genemark-Sbay_1-processed-gene-0.29-mRNA-1_1&gene=genemark-Sbay_1-processed-gene-0.29&CDS=1-1284
316	OG0000316	YAR007C	genemark-Sbay_1-processed-gene-0.62-mRNA-1_1&gene=genemark-Sbay_1-processed-gene-0.62&CDS=1-1863
317	OG0000317	YAR008W	snap_masked-Sbay_1-processed-gene-0.104-mRNA-1_1&gene=snap_masked-Sbay_1-processed-gene-0.104&CDS=1-864
318	OG0000318	YAR014C	genemark-Sbay_1-processed-gene-0.64-mRNA-1_1&gene=genemark-Sbay_1-processed-gene-0.64&CDS=1-2178
319	OG0000319	YAR015W	genemark-Sbay_1-processed-gene-0.31-mRNA-1_1&gene=genemark-Sbay_1-processed-gene-0.31&CDS=1-918
320	OG0000320	YAR018C	genemark-Sbay_1-processed-gene-0.65-mRNA-1_1&gene=genemark-Sbay_1-processed-gene-0.65&CDS=1-1305
321	OG0000321	YAR019C	genemark-Sbay_1-processed-gene-0.66-mRNA-1_1&gene=genemark-Sbay_1-processed-gene-0.66&CDS=1-2913
322	OG0000322	YBL001C	genemark-Sbay_2-processed-gene-2.77-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.77&CDS=1-312
323	OG0000323	YBL004W	genemark-Sbay_2-processed-gene-2.56-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.56&CDS=1-7341
324	OG0000324	YBL005W	genemark-Sbay_2-processed-gene-2.55-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.55&CDS=1-2913
325	OG0000325	YBL007C	augustus_masked-Sbay_2-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-2.33&CDS=1-4200
326	OG0000326	YBL008W	genemark-Sbay_2-processed-gene-2.54-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.54&CDS=1-2520
327	OG0000327	YBL009W	genemark-Sbay_2-processed-gene-2.53-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.53&CDS=1-2037
328	OG0000328	YBL010C	genemark-Sbay_2-processed-gene-2.73-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.73&CDS=1-843
329	OG0000329	YBL011W	augustus_masked-Sbay_2-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-2.14&CDS=1-2874
330	OG0000330	YBL014C	genemark-Sbay_2-processed-gene-2.52-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.52&CDS=1-2697
331	OG0000331	YBL015W	augustus_masked-Sbay_2-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-2.13&CDS=1-1578
332	OG0000332	YBL016W	augustus_masked-Sbay_2-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-2.12&CDS=1-1059
333	OG0000333	YBL020W	genemark-Sbay_2-processed-gene-1.33-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.33&CDS=1-1719
334	OG0000334	YBL021C	genemark-Sbay_2-processed-gene-1.55-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.55&CDS=1-432
335	OG0000335	YBL022C	genemark-Sbay_2-processed-gene-1.54-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.54&CDS=1-3435
336	OG0000336	YBL023C	genemark-Sbay_2-processed-gene-1.53-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.53&CDS=1-2604
337	OG0000337	YBL024W	genemark-Sbay_2-processed-gene-1.32-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.32&CDS=1-2010
338	OG0000338	YBL025W	genemark-Sbay_2-processed-gene-1.31-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.31&CDS=1-435
339	OG0000339	YBL026W	snap_masked-Sbay_2-processed-gene-1.81-mRNA-1_1&gene=snap_masked-Sbay_2-processed-gene-1.81&CDS=1-273
340	OG0000340	YBL028C	genemark-Sbay_2-processed-gene-1.52-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.52&CDS=1-318
341	OG0000341	YBL029C-A	augustus_masked-Sbay_2-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-1.146&CDS=1-282
342	OG0000342	YBL029W	genemark-Sbay_2-processed-gene-1.29-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.29&CDS=1-1134
343	OG0000343	YBL032W	augustus_masked-Sbay_2-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-1.125&CDS=1-2214
344	OG0000344	YBL034C	augustus_masked-Sbay_2-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-1.144&CDS=1-5490
345	OG0000345	YBL035C	genemark-Sbay_2-processed-gene-1.47-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.47&CDS=1-2112
346	OG0000346	YBL036C	genemark-Sbay_2-processed-gene-1.46-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.46&CDS=1-771
347	OG0000347	YBL037W	genemark-Sbay_2-processed-gene-1.26-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.26&CDS=1-3075
348	OG0000348	YBL038W	augustus_masked-Sbay_2-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-1.123&CDS=1-696
349	OG0000349	YBL039W-B	snap_masked-Sbay_2-processed-gene-1.74-mRNA-1_1&gene=snap_masked-Sbay_2-processed-gene-1.74&CDS=1-177
350	OG0000350	YBL040C	augustus_masked-Sbay_2-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-1.140&CDS=1-654
351	OG0000351	YBL041W	genemark-Sbay_2-processed-gene-1.24-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.24&CDS=1-723
352	OG0000352	YBL042C	augustus_masked-Sbay_2-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-1.139&CDS=1-3786
353	OG0000353	YBL043W	genemark-Sbay_2-processed-gene-1.23-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.23&CDS=1-801
354	OG0000354	YBL045C	genemark-Sbay_2-processed-gene-1.41-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.41&CDS=1-1371
355	OG0000355	YBL046W	augustus_masked-Sbay_2-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-1.120&CDS=1-1323
356	OG0000356	YBL047C	genemark-Sbay_2-processed-gene-1.40-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.40&CDS=1-4140
357	OG0000357	YBL049W	genemark-Sbay_2-processed-gene-1.21-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.21&CDS=1-414
358	OG0000358	YBL050W	snap_masked-Sbay_2-processed-gene-1.69-mRNA-1_1&gene=snap_masked-Sbay_2-processed-gene-1.69&CDS=1-876
359	OG0000359	YBL051C	genemark-Sbay_2-processed-gene-1.39-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.39&CDS=1-2088
360	OG0000360	YBL052C	genemark-Sbay_2-processed-gene-1.38-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.38&CDS=1-2523
361	OG0000361	YBL054W	genemark-Sbay_2-processed-gene-1.19-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.19&CDS=1-1596
362	OG0000362	YBL055C	genemark-Sbay_2-processed-gene-1.37-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.37&CDS=1-1335
363	OG0000363	YBL056W	genemark-Sbay_2-processed-gene-1.18-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.18&CDS=1-1401
364	OG0000364	YBL057C	genemark-Sbay_2-processed-gene-1.36-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.36&CDS=1-621
365	OG0000365	YBL058W	genemark-Sbay_2-processed-gene-1.17-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.17&CDS=1-1284
366	OG0000366	YBL059C-A	augustus_masked-Sbay_2-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-1.132&CDS=1-327
367	OG0000367	YBL059W	maker-Sbay_2-snap-gene-1.2-mRNA-1_1&gene=maker-Sbay_2-snap-gene-1.2&CDS=1-450
368	OG0000368	YBL060W	maker-Sbay_2-snap-gene-1.1-mRNA-1_1&gene=maker-Sbay_2-snap-gene-1.1&CDS=1-2124
369	OG0000369	YBL061C	genemark-Sbay_2-processed-gene-1.34-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-1.34&CDS=1-2097
370	OG0000370	YBL063W	augustus_masked-Sbay_2-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-1.111&CDS=1-3330
371	OG0000371	YBL066C	maker-Sbay_2-augustus-gene-1.8-mRNA-1_1&gene=maker-Sbay_2-augustus-gene-1.8&CDS=1-4293
372	OG0000372	YBL071W-A	augustus_masked-Sbay_2-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-1.108&CDS=1-246
373	OG0000373	YBL074C	augustus_masked-Sbay_2-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-0.40&CDS=1-1071
374	OG0000374	YBL076C	maker-Sbay_2-augustus-gene-0.6-mRNA-1_1&gene=maker-Sbay_2-augustus-gene-0.6&CDS=1-3684
375	OG0000375	YBL080C	genemark-Sbay_2-processed-gene-0.106-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.106&CDS=1-1623
376	OG0000376	YBL081W	genemark-Sbay_2-processed-gene-0.91-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.91&CDS=1-1044
377	OG0000377	YBL082C	genemark-Sbay_2-processed-gene-0.105-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.105&CDS=1-3543
378	OG0000378	YBL085W	genemark-Sbay_2-processed-gene-0.90-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.90&CDS=1-2946
379	OG0000379	YBL086C	genemark-Sbay_2-processed-gene-0.104-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.104&CDS=1-1404
380	OG0000380	YBL088C	augustus_masked-Sbay_2-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-0.33&CDS=1-8367
381	OG0000381	YBL089W	genemark-Sbay_2-processed-gene-0.89-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.89&CDS=1-1377
382	OG0000382	YBL090W	genemark-Sbay_2-processed-gene-0.88-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.88&CDS=1-531
383	OG0000383	YBL091C	genemark-Sbay_2-processed-gene-0.102-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.102&CDS=1-1740
384	OG0000384	YBL092W	genemark-Sbay_2-processed-gene-0.87-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.87&CDS=1-390
385	OG0000385	YBL093C	snap_masked-Sbay_2-processed-gene-0.63-mRNA-1_1&gene=snap_masked-Sbay_2-processed-gene-0.63&CDS=1-666
386	OG0000386	YBL097W	maker-Sbay_2-augustus-gene-0.2-mRNA-1_1&gene=maker-Sbay_2-augustus-gene-0.2&CDS=1-3153
387	OG0000387	YBL098W	genemark-Sbay_2-processed-gene-0.84-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.84&CDS=1-1365
388	OG0000388	YBL099W	genemark-Sbay_2-processed-gene-0.83-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.83&CDS=1-1641
389	OG0000389	YBL101C	genemark-Sbay_2-processed-gene-0.100-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.100&CDS=1-3375
390	OG0000390	YBL102W	genemark-Sbay_2-processed-gene-0.82-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.82&CDS=1-645
391	OG0000391	YBL103C	augustus_masked-Sbay_2-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-0.29&CDS=1-1449
392	OG0000392	YBR002C	genemark-Sbay_2-processed-gene-2.79-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.79&CDS=1-708
393	OG0000393	YBR003W	genemark-Sbay_2-processed-gene-2.58-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.58&CDS=1-1419
394	OG0000394	YBR004C	genemark-Sbay_2-processed-gene-2.80-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.80&CDS=1-1299
395	OG0000395	YBR005W	genemark-Sbay_2-processed-gene-2.59-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.59&CDS=1-639
396	OG0000396	YBR006W	genemark-Sbay_2-processed-gene-2.60-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.60&CDS=1-1491
397	OG0000397	YBR007C	genemark-Sbay_2-processed-gene-2.81-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.81&CDS=1-2160
398	OG0000398	YBR008C	genemark-Sbay_8-processed-gene-7.109-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.109&CDS=1-1638
399	OG0000399	YBR011C	genemark-Sbay_2-processed-gene-2.83-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.83&CDS=1-861
400	OG0000400	YBR015C	augustus_masked-Sbay_2-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-2.41&CDS=1-2355
401	OG0000401	YBR016W	genemark-Sbay_2-processed-gene-2.62-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.62&CDS=1-357
402	OG0000402	YBR017C	genemark-Sbay_2-processed-gene-2.86-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.86&CDS=1-2751
403	OG0000403	YBR018C	genemark-Sbay_2-processed-gene-2.87-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.87&CDS=1-1098
404	OG0000404	YBR019C	genemark-Sbay_2-processed-gene-2.88-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.88&CDS=1-2097
405	OG0000405	YBR023C	genemark-Sbay_2-processed-gene-2.89-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.89&CDS=1-3504
406	OG0000406	YBR024W	genemark-Sbay_2-processed-gene-2.66-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.66&CDS=1-903
407	OG0000407	YBR025C	genemark-Sbay_2-processed-gene-2.90-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.90&CDS=1-1182
408	OG0000408	YBR028C	augustus_masked-Sbay_2-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-2.47&CDS=1-2727
409	OG0000409	YBR029C	genemark-Sbay_2-processed-gene-2.93-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-2.93&CDS=1-1374
410	OG0000410	YBR030W	maker-Sbay_2-snap-gene-2.1-mRNA-1_1&gene=maker-Sbay_2-snap-gene-2.1&CDS=1-1614
411	OG0000411	YBR033W	genemark-Sbay_4-processed-gene-4.24-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.24&CDS=1-2811
412	OG0000412	YBR034C	maker-Sbay_4-augustus-gene-4.132-mRNA-1_1&gene=maker-Sbay_4-augustus-gene-4.132&CDS=1-1716
413	OG0000413	YBR036C	augustus_masked-Sbay_4-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-4.129&CDS=1-2136
414	OG0000414	YBR038W	genemark-Sbay_4-processed-gene-4.25-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.25&CDS=1-2883
415	OG0000415	YBR039W	snap_masked-Sbay_4-processed-gene-4.72-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-4.72&CDS=1-933
416	OG0000416	YBR040W	maker-Sbay_4-snap-gene-4.137-mRNA-1_1&gene=maker-Sbay_4-snap-gene-4.137&CDS=1-876
417	OG0000417	YBR041W	genemark-Sbay_4-processed-gene-4.27-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.27&CDS=1-2007
418	OG0000418	YBR043C	augustus_masked-Sbay_4-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-5.86&CDS=1-3096
419	OG0000419	YBR044C	augustus_masked-Sbay_4-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-5.87&CDS=1-1635
420	OG0000420	YBR045C	genemark-Sbay_4-processed-gene-5.4-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.4&CDS=1-1941
421	OG0000421	YBR046C	genemark-Sbay_4-processed-gene-5.5-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.5&CDS=1-1002
422	OG0000422	YBR047W	genemark-Sbay_4-processed-gene-5.0-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.0&CDS=1-525
423	OG0000423	YBR053C	augustus_masked-Sbay_4-processed-gene-5.90-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-5.90&CDS=1-5601
424	OG0000424	YBR054W	genemark-Sbay_4-processed-gene-5.7-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.7&CDS=1-1032
425	OG0000425	YBR055C	genemark-Sbay_4-processed-gene-5.22-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.22&CDS=1-2697
426	OG0000426	YBR056W	genemark-Sbay_4-processed-gene-5.8-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.8&CDS=1-1503
427	OG0000427	YBR057C	genemark-Sbay_4-processed-gene-5.23-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.23&CDS=1-1110
428	OG0000428	YBR058C	augustus_masked-Sbay_4-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-5.105&CDS=1-5871
429	OG0000429	YBR060C	genemark-Sbay_4-processed-gene-5.26-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.26&CDS=1-1863
430	OG0000430	YBR061C	genemark-Sbay_4-processed-gene-5.27-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.27&CDS=1-930
431	OG0000431	YBR062C	snap_masked-Sbay_4-processed-gene-5.72-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-5.72&CDS=1-510
432	OG0000432	YBR063C	snap_masked-Sbay_4-processed-gene-5.73-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-5.73&CDS=1-1203
433	OG0000433	YBR065C	augustus_masked-Sbay_4-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-5.109&CDS=1-1665
434	OG0000434	YBR067C	genemark-Sbay_4-processed-gene-5.31-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.31&CDS=1-591
435	OG0000435	YBR070C	genemark-Sbay_4-processed-gene-5.34-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.34&CDS=1-738
436	OG0000436	YBR071W	genemark-Sbay_4-processed-gene-5.11-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.11&CDS=1-639
437	OG0000437	YBR072W	genemark-Sbay_4-processed-gene-5.12-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.12&CDS=1-639
438	OG0000438	YBR073W	maker-Sbay_4-augustus-gene-5.124-mRNA-1_1&gene=maker-Sbay_4-augustus-gene-5.124&CDS=1-5688
439	OG0000439	YBR076W	genemark-Sbay_4-processed-gene-5.14-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.14&CDS=1-1059
440	OG0000440	YBR077C	genemark-Sbay_4-processed-gene-5.35-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.35&CDS=1-486
441	OG0000441	YBR078W	genemark-Sbay_4-processed-gene-5.15-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.15&CDS=1-1299
442	OG0000442	YBR080C	maker-Sbay_4-augustus-gene-5.127-mRNA-1_1&gene=maker-Sbay_4-augustus-gene-5.127&CDS=1-9372
443	OG0000443	YBR083W	genemark-Sbay_4-processed-gene-5.16-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-5.16&CDS=1-1461
444	OG0000444	YBR085C-A	augustus_masked-Sbay_4-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-6.111&CDS=1-255
445	OG0000445	YBR086C	augustus_masked-Sbay_4-processed-gene-6.112-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-6.112&CDS=1-2814
446	OG0000446	YBR087W	snap_masked-Sbay_4-processed-gene-6.19-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-6.19&CDS=1-1509
447	OG0000447	YBR088C	genemark-Sbay_4-processed-gene-6.68-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.68&CDS=1-774
448	OG0000448	YBR089C-A	genemark-Sbay_4-processed-gene-6.69-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.69&CDS=1-297
449	OG0000449	YBR091C	snap_masked-Sbay_4-processed-gene-6.23-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-6.23&CDS=1-327
450	OG0000450	YBR094W	genemark-Sbay_4-processed-gene-6.72-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.72&CDS=1-2259
451	OG0000451	YBR095C	genemark-Sbay_4-processed-gene-6.89-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.89&CDS=1-1305
452	OG0000452	YBR096W	genemark-Sbay_4-processed-gene-6.73-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.73&CDS=1-690
453	OG0000453	YBR097W	genemark-Sbay_4-processed-gene-6.74-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.74&CDS=1-6381
454	OG0000454	YBR101C	genemark-Sbay_4-processed-gene-6.90-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.90&CDS=1-870
455	OG0000455	YBR102C	genemark-Sbay_4-processed-gene-6.91-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.91&CDS=1-2253
456	OG0000456	YBR103W	augustus_masked-Sbay_4-processed-gene-6.119-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-6.119&CDS=1-2559
457	OG0000457	YBR105C	maker-Sbay_4-augustus-gene-6.5-mRNA-1_1&gene=maker-Sbay_4-augustus-gene-6.5&CDS=1-1011
458	OG0000458	YBR106W	genemark-Sbay_4-processed-gene-6.77-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.77&CDS=1-564
459	OG0000459	YBR107C	genemark-Sbay_4-processed-gene-6.93-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.93&CDS=1-735
460	OG0000460	YBR108W	genemark-Sbay_4-processed-gene-6.78-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.78&CDS=1-2958
461	OG0000461	YBR109C	genemark-Sbay_4-processed-gene-6.94-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.94&CDS=1-441
462	OG0000462	YBR110W	genemark-Sbay_4-processed-gene-6.79-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.79&CDS=1-1347
463	OG0000463	YBR111C	maker-Sbay_4-snap-gene-6.18-mRNA-1_1&gene=maker-Sbay_4-snap-gene-6.18&CDS=1-2757
464	OG0000464	YBR114W	genemark-Sbay_4-processed-gene-6.80-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.80&CDS=1-2370
465	OG0000465	YBR115C	genemark-Sbay_4-processed-gene-6.97-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.97&CDS=1-4176
466	OG0000466	YBR120C	genemark-Sbay_4-processed-gene-6.99-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.99&CDS=1-486
467	OG0000467	YBR121C	genemark-Sbay_4-processed-gene-6.100-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.100&CDS=1-2001
468	OG0000468	YBR122C	genemark-Sbay_4-processed-gene-6.101-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.101&CDS=1-642
469	OG0000469	YBR123C	genemark-Sbay_4-processed-gene-6.102-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.102&CDS=1-1956
470	OG0000470	YBR125C	genemark-Sbay_4-processed-gene-6.103-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.103&CDS=1-1179
471	OG0000471	YBR126C	genemark-Sbay_4-processed-gene-6.104-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.104&CDS=1-1485
472	OG0000472	YBR126W-A	snap_masked-Sbay_4-processed-gene-6.37-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-6.37&CDS=1-192
473	OG0000473	YBR127C	augustus_masked-Sbay_4-processed-gene-6.144-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-6.144&CDS=1-4632
474	OG0000474	YBR131W	maker-Sbay_4-snap-gene-6.13-mRNA-1_1&gene=maker-Sbay_4-snap-gene-6.13&CDS=1-2121
475	OG0000475	YBR132C	genemark-Sbay_4-processed-gene-6.107-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.107&CDS=1-1770
476	OG0000476	YBR133C	genemark-Sbay_4-processed-gene-6.108-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.108&CDS=1-2478
477	OG0000477	YBR135W	genemark-Sbay_4-processed-gene-6.85-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.85&CDS=1-420
478	OG0000478	YBR136W	augustus_masked-Sbay_4-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-6.127&CDS=1-7422
479	OG0000479	YBR138C	genemark-Sbay_4-processed-gene-6.109-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.109&CDS=1-1563
480	OG0000480	YBR139W	genemark-Sbay_4-processed-gene-6.88-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.88&CDS=1-1515
481	OG0000481	YBR141C	genemark-Sbay_4-processed-gene-7.52-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.52&CDS=1-1011
482	OG0000482	YBR142W	genemark-Sbay_4-processed-gene-7.50-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.50&CDS=1-2379
483	OG0000483	YBR146W	snap_masked-Sbay_4-processed-gene-7.106-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-7.106&CDS=1-834
484	OG0000484	YBR149W	genemark-Sbay_4-processed-gene-7.57-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.57&CDS=1-1032
485	OG0000485	YBR150C	genemark-Sbay_4-processed-gene-7.81-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.81&CDS=1-3144
486	OG0000486	YBR151W	genemark-Sbay_4-processed-gene-7.58-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.58&CDS=1-948
487	OG0000487	YBR152W	genemark-Sbay_4-processed-gene-7.59-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.59&CDS=1-861
488	OG0000488	YBR153W	genemark-Sbay_4-processed-gene-7.60-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.60&CDS=1-732
489	OG0000489	YBR154C	genemark-Sbay_4-processed-gene-7.82-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.82&CDS=1-645
490	OG0000490	YBR155W	genemark-Sbay_4-processed-gene-7.61-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.61&CDS=1-1155
491	OG0000491	YBR156C	genemark-Sbay_4-processed-gene-7.83-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.83&CDS=1-2163
