	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026137_Ambrosiozyma_ambrosiae
228	OG0000228	YDR146C, YLR131C	snap_masked-flattened_line_0-processed-gene-1.84-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.84&CDS=1-2049
229	OG0000229	YDR151C, YLR136C	snap_masked-flattened_line_20-processed-gene-2.243-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-2.243&CDS=1-1122
230	OG0000230	YDR185C, YLR168C	snap_masked-flattened_line_103-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_103-processed-gene-0.7&CDS=1-747
231	OG0000231	YDR200C, YLR238W	snap_masked-flattened_line_32-processed-gene-2.187-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-2.187&CDS=1-1881
232	OG0000232	YDR206W, YLR233C	genemark-flattened_line_32-processed-gene-2.114-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-2.114&CDS=1-3135
233	OG0000233	YDR213W, YLR228C	snap_masked-flattened_line_18-processed-gene-3.117-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-3.117&CDS=1-2217
234	OG0000234	YDR224C	snap_masked-flattened_line_16-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.73&CDS=1-396, snap_masked-flattened_line_76-processed-gene-0.119-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.119&CDS=1-396
235	OG0000235	YDR247W, YPL026C	snap_masked-flattened_line_44-processed-gene-1.152-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-1.152&CDS=1-1968
236	OG0000236	YDR251W, YPL032C	snap_masked-flattened_line_88-processed-gene-0.105-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.105&CDS=1-2724
237	OG0000237	YDR256C	snap_masked-flattened_line_54-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.56&CDS=1-1512, snap_masked-flattened_line_78-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.86&CDS=1-1521
238	OG0000238	YDR259C, YOR028C	snap_masked-flattened_line_16-processed-gene-3.207-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-3.207&CDS=1-537
239	OG0000239	YDR263C, YOR033C	snap_masked-flattened_line_4-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.39&CDS=1-2025
240	OG0000240	YDR264C, YOR034C	snap_masked-flattened_line_2-processed-gene-8.145-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-8.145&CDS=1-2286
241	OG0000241	YDR272W, YOR040W	snap_masked-flattened_line_30-processed-gene-2.193-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-2.193&CDS=1-765
242	OG0000242	YDR277C, YOR047C	snap_masked-flattened_line_18-processed-gene-3.169-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-3.169&CDS=1-1248
243	OG0000243	YDR300C, YHR033W	snap_masked-flattened_line_2-processed-gene-8.123-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-8.123&CDS=1-1347
244	OG0000244	YDR312W, YHR066W	snap_masked-flattened_line_12-processed-gene-1.12-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.12&CDS=1-1263
245	OG0000245	YDR326C, YHR080C	snap_masked-flattened_line_16-processed-gene-3.186-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-3.186&CDS=1-3030
246	OG0000246	YDR348C, YHR097C	maker-flattened_line_10-snap-gene-1.54-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-1.54&CDS=1-1773
247	OG0000247	YDR351W, YHR103W	snap_masked-flattened_line_14-processed-gene-1.12-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.12&CDS=1-2118
248	OG0000248	YDR358W, YHR108W	genemark-flattened_line_105-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_105-processed-gene-0.35&CDS=1-1752
249	OG0000249	YDR379W, YOR127W	snap_masked-flattened_line_10-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.82&CDS=1-4467
250	OG0000250	YDR380W	snap_masked-flattened_line_14-processed-gene-4.170-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-4.170&CDS=1-1761, snap_masked-flattened_line_6-processed-gene-3.93-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.93&CDS=1-1782
251	OG0000251	YDR382W	genemark-flattened_line_14-processed-gene-4.51-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.51&CDS=1-327, maker-flattened_line_2-snap-gene-4.91-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-4.91&CDS=1-324
252	OG0000252	YDR385W, YOR133W	augustus_masked-flattened_line_24-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.128&CDS=1-3516
253	OG0000253	YDR389W, YOR134W	snap_masked-flattened_line_82-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.121&CDS=1-2709
254	OG0000254	YDR409W, YOR156C	snap_masked-flattened_line_34-processed-gene-2.115-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-2.115&CDS=1-5016
255	OG0000255	YDR418W, YEL054C	snap_masked-flattened_line_4-processed-gene-6.13-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-6.13&CDS=1-495
256	OG0000256	YDR437W	maker-flattened_line_4-snap-gene-2.79-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-2.79&CDS=1-189, snap_masked-flattened_line_16-processed-gene-3.215-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-3.215&CDS=1-726
257	OG0000257	YDR447C, YML024W	augustus_masked-flattened_line_0-processed-gene-7.57-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.57&CDS=1-432
258	OG0000258	YDR450W, YML026C	snap_masked-flattened_line_0-processed-gene-9.187-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.187&CDS=1-450
259	OG0000259	YDR451C, YML027W	snap_masked-flattened_line_0-processed-gene-9.161-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.161&CDS=1-1374
260	OG0000260	YDR453C, YML028W	snap_masked-flattened_line_76-processed-gene-0.141-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.141&CDS=1-585
261	OG0000261	YDR458C, YML034W	snap_masked-flattened_line_4-processed-gene-6.9-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-6.9&CDS=1-2673
262	OG0000262	YDR463W, YHR006W	snap_masked-flattened_line_0-processed-gene-3.85-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.85&CDS=1-1869
263	OG0000263	YDR471W, YHR010W	maker-flattened_line_0-snap-gene-8.45-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-8.45&CDS=1-408
264	OG0000264	YDR475C, YOR019W	snap_masked-flattened_line_22-processed-gene-2.164-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-2.164&CDS=1-2706
265	OG0000265	YDR481C	genemark-flattened_line_18-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.88&CDS=1-1554, genemark-flattened_line_44-processed-gene-0.77-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.77&CDS=1-1773
266	OG0000266	YDR497C, YOL103W	augustus_masked-flattened_line_190-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_190-processed-gene-0.0&CDS=1-1173
267	OG0000267	YDR500C, YLR185W	genemark-flattened_line_24-processed-gene-2.108-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.108&CDS=1-243
268	OG0000268	YDR502C, YLR180W	maker-flattened_line_24-snap-gene-2.159-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-2.159&CDS=1-3297
269	OG0000269	YDR505C, YLR177W	snap_masked-flattened_line_74-processed-gene-0.120-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.120&CDS=1-2277
270	OG0000270	YEL006W, YIL006W	snap_masked-flattened_line_36-processed-gene-1.118-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.118&CDS=1-1104
271	OG0000271	YEL022W, YJR031C	snap_masked-flattened_line_52-processed-gene-0.177-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.177&CDS=1-4761
272	OG0000272	YEL040W	augustus_masked-flattened_line_4-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.60&CDS=1-1401, genemark-flattened_line_4-processed-gene-1.10-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.10&CDS=1-1296
273	OG0000273	YEL041W, YJR049C	snap_masked-flattened_line_62-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.121&CDS=1-2025
274	OG0000274	YEL046C	maker-flattened_line_38-augustus-gene-0.108-mRNA-1_1&gene=maker-flattened_line_38-augustus-gene-0.108&CDS=1-1434, snap_masked-flattened_line_40-processed-gene-1.63-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.63&CDS=1-1155
275	OG0000275	YEL047C, YJR051W	snap_masked-flattened_line_20-processed-gene-1.107-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.107&CDS=1-1434
276	OG0000276	YEL048C	augustus_masked-flattened_line_34-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-2.22&CDS=1-2553, snap_masked-flattened_line_58-processed-gene-0.194-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.194&CDS=1-1365
277	OG0000277	YEL060C	augustus_masked-flattened_line_44-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-1.27&CDS=1-3654, snap_masked-flattened_line_64-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.10&CDS=1-1590
278	OG0000278	YEL066W, YPR193C	augustus_masked-flattened_line_86-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.88&CDS=1-534
279	OG0000279	YER004W	snap_masked-flattened_line_86-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.30&CDS=1-729, snap_masked-flattened_line_88-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.109&CDS=1-687
280	OG0000280	YER019C-A, YER087C-B	genemark-flattened_line_50-processed-gene-0.217-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.217&CDS=1-270
281	OG0000281	YER028C, YGL209W	snap_masked-flattened_line_16-processed-gene-1.111-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.111&CDS=1-1461
282	OG0000282	YER031C, YGL210W	maker-flattened_line_26-snap-gene-1.133-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-1.133&CDS=1-669
283	OG0000283	YER045C, YIL036W	snap_masked-flattened_line_54-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.80&CDS=1-1452
284	OG0000284	YER057C, YIL051C	snap_masked-flattened_line_66-processed-gene-0.44-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.44&CDS=1-447
285	OG0000285	YER059W, YIL050W	snap_masked-flattened_line_66-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.40&CDS=1-2028
286	OG0000286	YER064C, YIL056W	snap_masked-flattened_line_22-processed-gene-1.110-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.110&CDS=1-2229
287	OG0000287	YER066W, YFL009W	snap_masked-flattened_line_111-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_111-processed-gene-0.38&CDS=1-2490
288	OG0000288	YER074W, YIL069C	snap_masked-flattened_line_78-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.81&CDS=1-438
289	OG0000289	YER129W, YGL179C	snap_masked-flattened_line_0-processed-gene-8.32-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.32&CDS=1-4569
290	OG0000290	YER131W, YGL189C	genemark-flattened_line_62-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.47&CDS=1-360
291	OG0000291	YER132C, YGL197W	augustus_masked-flattened_line_6-processed-gene-6.168-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-6.168&CDS=1-4926
292	OG0000292	YER166W	snap_masked-flattened_line_50-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.18&CDS=1-4170, snap_masked-flattened_line_6-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.33&CDS=1-4893
293	OG0000293	YFL004W, YPL019C	snap_masked-flattened_line_26-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.91&CDS=1-2583
294	OG0000294	YFL010C	maker-flattened_line_4-snap-gene-3.40-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-3.40&CDS=1-651, maker-flattened_line_4-snap-gene-3.41-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-3.41&CDS=1-597
295	OG0000295	YFL021W	snap_masked-flattened_line_0-processed-gene-0.116-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.116&CDS=1-2112, snap_masked-flattened_line_20-processed-gene-2.210-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-2.210&CDS=1-1836
296	OG0000296	YFL042C, YLR072W	snap_masked-flattened_line_74-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.102&CDS=1-2631
297	OG0000297	YFL048C, YLR080W	snap_masked-flattened_line_4-processed-gene-4.92-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-4.92&CDS=1-1542
298	OG0000298	YFL050C, YOL130W	snap_masked-flattened_line_6-processed-gene-5.92-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-5.92&CDS=1-2331
299	OG0000299	YFR022W, YOR018W	snap_masked-flattened_line_32-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.25&CDS=1-3114
300	OG0000300	YFR053C, YGL253W	maker-flattened_line_16-snap-gene-3.256-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-3.256&CDS=1-1437
301	OG0000301	YGL008C	genemark-flattened_line_2-processed-gene-6.5-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.5&CDS=1-2706, snap_masked-flattened_line_40-processed-gene-1.53-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.53&CDS=1-2703
302	OG0000302	YGL049C, YGR162W	snap_masked-flattened_line_6-processed-gene-3.115-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.115&CDS=1-3363
303	OG0000303	YGL071W, YPL202C	snap_masked-flattened_line_14-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.34&CDS=1-1533
304	OG0000304	YGL076C, YPL198W	snap_masked-flattened_line_14-processed-gene-3.99-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-3.99&CDS=1-726
305	OG0000305	YGL079W	genemark-flattened_line_74-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.62&CDS=1-846, snap_masked-flattened_line_10-processed-gene-1.28-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.28&CDS=1-888
306	OG0000306	YGL082W, YPL191C	snap_masked-flattened_line_94-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.27&CDS=1-1377
307	OG0000307	YGL096W, YPL177C	snap_masked-flattened_line_2-processed-gene-7.40-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-7.40&CDS=1-852
308	OG0000308	YGL122C	maker-flattened_line_4-snap-gene-4.65-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-4.65&CDS=1-3615, snap_masked-flattened_line_26-processed-gene-2.205-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-2.205&CDS=1-1983
309	OG0000309	YGL134W, YPL219W	snap_masked-flattened_line_107-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.41&CDS=1-1251
310	OG0000310	YGL135W, YPL220W	snap_masked-flattened_line_2-processed-gene-5.108-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-5.108&CDS=1-651
311	OG0000311	YGL139W, YPL221W	genemark-flattened_line_18-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.106&CDS=1-2625
312	OG0000312	YGL162W, YPR009W	snap_masked-flattened_line_6-processed-gene-1.84-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.84&CDS=1-1431
313	OG0000313	YGR008C, YLR327C	snap_masked-flattened_line_16-processed-gene-3.199-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-3.199&CDS=1-276
314	OG0000314	YGR010W, YLR328W	snap_masked-flattened_line_46-processed-gene-1.37-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-1.37&CDS=1-1254
315	OG0000315	YGR027C, YLR333C	snap_masked-flattened_line_52-processed-gene-0.209-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.209&CDS=1-321
316	OG0000316	YGR034W, YLR344W	snap_masked-flattened_line_10-processed-gene-3.6-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.6&CDS=1-381
317	OG0000317	YGR038W, YLR350W	snap_masked-flattened_line_4-processed-gene-4.96-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-4.96&CDS=1-666
318	OG0000318	YGR049W, YLR356W	snap_masked-flattened_line_6-processed-gene-6.8-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-6.8&CDS=1-675
319	OG0000319	YGR056W, YLR357W	augustus_masked-flattened_line_113-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_113-processed-gene-0.7&CDS=1-2754
320	OG0000320	YGR070W, YLR371W	snap_masked-flattened_line_80-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.42&CDS=1-4179
321	OG0000321	YGR085C, YPR102C	genemark-flattened_line_28-processed-gene-2.167-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-2.167&CDS=1-516
322	OG0000322	YGR092W, YPR111W	snap_masked-flattened_line_8-processed-gene-5.166-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-5.166&CDS=1-1782
323	OG0000323	YGR108W, YPR119W	snap_masked-flattened_line_36-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.16&CDS=1-1344
324	OG0000324	YGR118W, YPR132W	snap_masked-flattened_line_12-processed-gene-4.38-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-4.38&CDS=1-435
325	OG0000325	YGR121C, YPR138C	snap_masked-flattened_line_36-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.29&CDS=1-1482
326	OG0000326	YGR123C	snap_masked-flattened_line_24-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.12&CDS=1-1206, snap_masked-flattened_line_46-processed-gene-1.49-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-1.49&CDS=1-1527
327	OG0000327	YGR131W, YPR149W	snap_masked-flattened_line_70-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.53&CDS=1-516
328	OG0000328	YGR136W, YPR154W	maker-flattened_line_32-snap-gene-1.52-mRNA-1_1&gene=maker-flattened_line_32-snap-gene-1.52&CDS=1-774
329	OG0000329	YGR138C, YPR156C	snap_masked-flattened_line_22-processed-gene-1.111-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.111&CDS=1-1920
330	OG0000330	YGR141W, YPR157W	snap_masked-flattened_line_52-processed-gene-0.154-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.154&CDS=1-1329
331	OG0000331	YGR209C, YLR043C	snap_masked-flattened_line_12-processed-gene-2.46-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.46&CDS=1-435
332	OG0000332	YGR214W, YLR048W	maker-flattened_line_2-snap-gene-1.52-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-1.52&CDS=1-804
333	OG0000333	YGR238C, YHR158C	snap_masked-flattened_line_20-processed-gene-2.225-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-2.225&CDS=1-3912
334	OG0000334	YGR241C, YHR161C	snap_masked-flattened_line_58-processed-gene-0.165-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.165&CDS=1-2346
335	OG0000335	YGR243W, YHR162W	augustus_masked-flattened_line_8-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.58&CDS=1-381
336	OG0000336	YHL001W, YKL006W	maker-flattened_line_8-snap-gene-4.143-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-4.143&CDS=1-393
337	OG0000337	YHL003C, YKL008C	snap_masked-flattened_line_20-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.29&CDS=1-1254
338	OG0000338	YHL017W, YKL039W	snap_masked-flattened_line_4-processed-gene-3.17-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.17&CDS=1-1743
339	OG0000339	YHR001W, YKR003W	snap_masked-flattened_line_115-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_115-processed-gene-0.40&CDS=1-1407
340	OG0000340	YHR021C, YKL156W	snap_masked-flattened_line_14-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.38&CDS=1-246
341	OG0000341	YHR115C, YNL116W	snap_masked-flattened_line_115-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_115-processed-gene-0.34&CDS=1-1605
342	OG0000342	YHR117W, YNL121C	snap_masked-flattened_line_26-processed-gene-2.202-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-2.202&CDS=1-1764
343	OG0000343	YHR131C, YNL144C	snap_masked-flattened_line_74-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.126&CDS=1-1974
344	OG0000344	YHR132W-A, YNL157W	snap_masked-flattened_line_26-processed-gene-1.98-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.98&CDS=1-384
345	OG0000345	YHR133C, YNL156C	genemark-flattened_line_26-processed-gene-1.30-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.30&CDS=1-930
346	OG0000346	YHR176W	snap_masked-flattened_line_12-processed-gene-0.117-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.117&CDS=1-1407, snap_masked-flattened_line_34-processed-gene-2.122-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-2.122&CDS=1-1494
347	OG0000347	YHR203C, YJR145C	maker-flattened_line_2-snap-gene-4.89-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-4.89&CDS=1-786
348	OG0000348	YHR208W, YJR148W	snap_masked-flattened_line_26-processed-gene-2.221-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-2.221&CDS=1-1191
349	OG0000349	YIL033C	snap_masked-flattened_line_8-processed-gene-4.111-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.111&CDS=1-1380, snap_masked-flattened_line_8-processed-gene-4.112-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.112&CDS=1-936
350	OG0000350	YIL095W, YNL020C	genemark-flattened_line_28-processed-gene-1.88-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.88&CDS=1-2478
351	OG0000351	YIL099W	augustus_masked-flattened_line_0-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.101&CDS=1-1803, augustus_masked-flattened_line_0-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.102&CDS=1-1539
352	OG0000352	YIL105C, YNL047C	snap_masked-flattened_line_0-processed-gene-8.8-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.8&CDS=1-2118
353	OG0000353	YIL107C	snap_masked-flattened_line_2-processed-gene-7.11-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-7.11&CDS=1-2703, snap_masked-flattened_line_6-processed-gene-1.103-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.103&CDS=1-2184
354	OG0000354	YIL111W, YNL052W	snap_masked-flattened_line_60-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.43&CDS=1-444
355	OG0000355	YIL114C, YNL055C	snap_masked-flattened_line_0-processed-gene-5.30-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.30&CDS=1-846
356	OG0000356	YIL124W	snap_masked-flattened_line_24-processed-gene-1.22-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.22&CDS=1-921, snap_masked-flattened_line_32-processed-gene-2.188-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-2.188&CDS=1-918
357	OG0000357	YIL131C, YNL068C	snap_masked-flattened_line_2-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.9&CDS=1-2220
358	OG0000358	YIL133C, YNL069C	snap_masked-flattened_line_92-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.5&CDS=1-600
359	OG0000359	YIL149C, YKR095W	snap_masked-flattened_line_18-processed-gene-1.5-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.5&CDS=1-5853
360	OG0000360	YIL151C, YKR096W	snap_masked-flattened_line_115-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_115-processed-gene-0.38&CDS=1-3507
361	OG0000361	YIR013C, YLR013W	augustus_masked-flattened_line_22-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.55&CDS=1-1539
362	OG0000362	YIR031C, YNL117W	genemark-flattened_line_26-processed-gene-1.34-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.34&CDS=1-1671
363	OG0000363	YIR033W, YKL020C	snap_masked-flattened_line_14-processed-gene-3.88-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-3.88&CDS=1-3795
364	OG0000364	YJL005W	snap_masked-flattened_line_2-processed-gene-8.159-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-8.159&CDS=1-5826, snap_masked-flattened_line_48-processed-gene-1.20-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-1.20&CDS=1-5949
365	OG0000365	YJL020C	snap_masked-flattened_line_60-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.26&CDS=1-1713, snap_masked-flattened_line_60-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.47&CDS=1-3174
366	OG0000366	YJL076W, YKR010C	snap_masked-flattened_line_0-processed-gene-9.178-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.178&CDS=1-3858
367	OG0000367	YJL079C, YKR013W	snap_masked-flattened_line_30-processed-gene-1.101-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.101&CDS=1-1035
368	OG0000368	YJL082W, YKR018C	snap_masked-flattened_line_44-processed-gene-1.111-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-1.111&CDS=1-2325
