	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035673_Candida_orba
348	OG0000348	YGL071W, YPL202C	augustus_masked-NODE_46_length_56858_cov_116.839_ID_13019-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_46_length_56858_cov_116.839_ID_13019-processed-gene-0.25&CDS=1-1422
349	OG0000349	YGL076C, YPL198W	augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-7.104-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-7.104&CDS=1-753
350	OG0000350	YGL082W, YPL191C	snap_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-10.158-mRNA-1_1&gene=snap_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-10.158&CDS=1-1062
351	OG0000351	YGL114W, YGL115W	augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-3.38&CDS=1-2859
352	OG0000352	YGL135W, YPL220W	augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-3.18&CDS=1-651
353	OG0000353	YGL202W	augustus_masked-NODE_44_length_60991_cov_88.2388_ID_5719-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_44_length_60991_cov_88.2388_ID_5719-processed-gene-0.9&CDS=1-1428, augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-1.119&CDS=1-1479
354	OG0000354	YGL205W	augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-0.38&CDS=1-1992, augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-8.299-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-8.299&CDS=1-3282
355	OG0000355	YGL221C	augustus_masked-NODE_20_length_154965_cov_99.9354_ID_4845-processed-gene-0.228-mRNA-1_1&gene=augustus_masked-NODE_20_length_154965_cov_99.9354_ID_4845-processed-gene-0.228&CDS=1-1764, maker-NODE_7_length_434895_cov_99.951_ID_2823-augustus-gene-2.92-mRNA-1_1&gene=maker-NODE_7_length_434895_cov_99.951_ID_2823-augustus-gene-2.92&CDS=1-2454
356	OG0000356	YGR008C, YLR327C	augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-0.15&CDS=1-246
357	OG0000357	YGR010W, YLR328W	augustus_masked-NODE_20_length_154965_cov_99.9354_ID_4845-processed-gene-0.217-mRNA-1_1&gene=augustus_masked-NODE_20_length_154965_cov_99.9354_ID_4845-processed-gene-0.217&CDS=1-1266
358	OG0000358	YGR023W, YLR332W	augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-6.9&CDS=1-1194
359	OG0000359	YGR027C, YLR333C	snap_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-6.94-mRNA-1_1&gene=snap_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-6.94&CDS=1-327
360	OG0000360	YGR034W, YLR344W	augustus_masked-NODE_14_length_242154_cov_107.613_ID_3890-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_14_length_242154_cov_107.613_ID_3890-processed-gene-0.56&CDS=1-381
361	OG0000361	YGR038W, YLR350W	augustus_masked-NODE_18_length_183053_cov_97.7767_ID_4463-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_18_length_183053_cov_97.7767_ID_4463-processed-gene-0.30&CDS=1-546
362	OG0000362	YGR044C	augustus_masked-NODE_27_length_98002_cov_109.544_ID_4797-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-NODE_27_length_98002_cov_109.544_ID_4797-processed-gene-0.168&CDS=1-1206, augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-6.218-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-6.218&CDS=1-780
363	OG0000363	YGR049W, YLR356W	augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-6.36&CDS=1-636
364	OG0000364	YGR056W, YLR357W	augustus_masked-NODE_9_length_313077_cov_99.8199_ID_3981-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-NODE_9_length_313077_cov_99.8199_ID_3981-processed-gene-1.138&CDS=1-2166
365	OG0000365	YGR060W	augustus_masked-NODE_18_length_183053_cov_97.7767_ID_4463-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_18_length_183053_cov_97.7767_ID_4463-processed-gene-0.7&CDS=1-915, augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-5.31&CDS=1-927
366	OG0000366	YGR085C, YPR102C	augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-2.65&CDS=1-522
367	OG0000367	YGR092W, YPR111W	augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-1.138&CDS=1-1653
368	OG0000368	YGR099W	augustus_masked-NODE_22_length_129868_cov_101.505_ID_8768-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-NODE_22_length_129868_cov_101.505_ID_8768-processed-gene-0.157&CDS=1-2001, snap_masked-NODE_25_length_116563_cov_99.0617_ID_5091-processed-gene-0.142-mRNA-1_1&gene=snap_masked-NODE_25_length_116563_cov_99.0617_ID_5091-processed-gene-0.142&CDS=1-204
369	OG0000369	YGR108W, YPR119W	maker-NODE_14_length_242154_cov_107.613_ID_3890-snap-gene-1.170-mRNA-1_1&gene=maker-NODE_14_length_242154_cov_107.613_ID_3890-snap-gene-1.170&CDS=1-2292
370	OG0000370	YGR110W	augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-0.77&CDS=1-1311, augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-5.38-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-5.38&CDS=1-1236
371	OG0000371	YGR118W, YPR132W	augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-3.27&CDS=1-435
372	OG0000372	YGR131W, YPR149W	augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-0.14&CDS=1-513
373	OG0000373	YGR136W, YPR154W	augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-0.13&CDS=1-696
374	OG0000374	YGR138C, YPR156C	augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-3.37&CDS=1-1866
375	OG0000375	YGR141W, YPR157W	snap_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-0.104-mRNA-1_1&gene=snap_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-0.104&CDS=1-1320
376	OG0000376	YGR159C	augustus_masked-NODE_361_length_385_cov_0.803448_ID_10700-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_361_length_385_cov_0.803448_ID_10700-processed-gene-0.0&CDS=1-381, augustus_masked-NODE_43_length_63378_cov_101.02_ID_5761-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_43_length_63378_cov_101.02_ID_5761-processed-gene-0.62&CDS=1-1353
377	OG0000377	YGR197C, YJR015W	augustus_masked-NODE_55_length_32560_cov_97.3046_ID_6993-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_55_length_32560_cov_97.3046_ID_6993-processed-gene-0.48&CDS=1-1557
378	OG0000378	YGR209C, YLR043C	augustus_masked-NODE_9_length_313077_cov_99.8199_ID_3981-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-NODE_9_length_313077_cov_99.8199_ID_3981-processed-gene-2.18&CDS=1-312
379	OG0000379	YGR214W, YLR048W	augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-2.57&CDS=1-801
380	OG0000380	YGR221C, YHR149C	augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-5.30-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-5.30&CDS=1-2310
381	OG0000381	YGR241C, YHR161C	augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-0.32&CDS=1-1731
382	OG0000382	YGR243W, YHR162W	augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-2.38&CDS=1-381
383	OG0000383	YGR248W, YHR163W	augustus_masked-NODE_59_length_26128_cov_102.527_ID_7968-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_59_length_26128_cov_102.527_ID_7968-processed-gene-0.38&CDS=1-750
384	OG0000384	YGR260W	augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-2.62&CDS=1-1497, augustus_masked-NODE_42_length_67509_cov_97.0814_ID_15312-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_42_length_67509_cov_97.0814_ID_15312-processed-gene-0.21&CDS=1-1587
385	OG0000385	YHL001W, YKL006W	maker-NODE_15_length_223829_cov_100.186_ID_4289-augustus-gene-0.7-mRNA-1_1&gene=maker-NODE_15_length_223829_cov_100.186_ID_4289-augustus-gene-0.7&CDS=1-408
386	OG0000386	YHL017W, YKL039W	snap_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-2.113-mRNA-1_1&gene=snap_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-2.113&CDS=1-1542
387	OG0000387	YHL021C	augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-6.203-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-6.203&CDS=1-4731, augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-1.164-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-1.164&CDS=1-1143
388	OG0000388	YHR028C	augustus_masked-NODE_19_length_157058_cov_101.046_ID_5644-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-NODE_19_length_157058_cov_101.046_ID_5644-processed-gene-0.148&CDS=1-2484, augustus_masked-NODE_56_length_30191_cov_165.813_ID_7253-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_56_length_30191_cov_165.813_ID_7253-processed-gene-0.24&CDS=1-5364
389	OG0000389	YHR043C, YHR044C	augustus_masked-NODE_22_length_129868_cov_101.505_ID_8768-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_22_length_129868_cov_101.505_ID_8768-processed-gene-0.125&CDS=1-702
390	OG0000390	YHR104W	augustus_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-2.98&CDS=1-957, augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-0.20&CDS=1-963
391	OG0000391	YHR115C, YNL116W	augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-3.111-mRNA-1_1&gene=augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-3.111&CDS=1-1353
392	OG0000392	YHR117W, YNL121C	augustus_masked-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.183-mRNA-1_1&gene=augustus_masked-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.183&CDS=1-1845
393	OG0000393	YHR123W, YNL130C	augustus_masked-NODE_44_length_60991_cov_88.2388_ID_5719-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_44_length_60991_cov_88.2388_ID_5719-processed-gene-0.30&CDS=1-3348
394	OG0000394	YHR132C	augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.119&CDS=1-1467, maker-NODE_55_length_32560_cov_97.3046_ID_6993-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_55_length_32560_cov_97.3046_ID_6993-snap-gene-0.0&CDS=1-585
395	OG0000395	YHR132W-A, YNL157W	augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.95&CDS=1-342
396	OG0000396	YHR133C, YNL156C	augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.94&CDS=1-690
397	OG0000397	YHR135C	augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-0.31&CDS=1-1512, augustus_masked-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.213-mRNA-1_1&gene=augustus_masked-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.213&CDS=1-1218
398	OG0000398	YHR155W, YNL257C	augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-3.60&CDS=1-3630
399	OG0000399	YHR179W, YPL171C	snap_masked-NODE_39_length_72524_cov_94.9443_ID_5361-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_39_length_72524_cov_94.9443_ID_5361-processed-gene-0.33&CDS=1-1245
400	OG0000400	YHR198C	augustus_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-2.72&CDS=1-819, augustus_masked-NODE_74_length_6105_cov_90.4454_ID_8422-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_74_length_6105_cov_90.4454_ID_8422-processed-gene-0.2&CDS=1-819
401	OG0000401	YIL026C	augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-4.69&CDS=1-3135, snap_masked-NODE_233_length_429_cov_1.8024_ID_10273-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_233_length_429_cov_1.8024_ID_10273-processed-gene-0.1&CDS=1-258
402	OG0000402	YIL041W	augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-5.25&CDS=1-951, snap_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-3.141-mRNA-1_1&gene=snap_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-3.141&CDS=1-969
403	OG0000403	YIL085C, YNL029C	augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-3.71&CDS=1-1449
404	OG0000404	YIL095W	augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-3.13&CDS=1-2433, augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-1.134&CDS=1-4371
405	OG0000405	YIL105C, YNL047C	augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-2.140-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-2.140&CDS=1-2019
406	OG0000406	YIL111W, YNL052W	maker-NODE_2_length_988990_cov_98.9605_ID_6788-augustus-gene-2.55-mRNA-1_1&gene=maker-NODE_2_length_988990_cov_98.9605_ID_6788-augustus-gene-2.55&CDS=1-1137
407	OG0000407	YIL117C, YNL058C	snap_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-1.79-mRNA-1_1&gene=snap_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-1.79&CDS=1-753
408	OG0000408	YIL120W, YIL121W	snap_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-2.33-mRNA-1_1&gene=snap_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-2.33&CDS=1-1566
409	OG0000409	YIL130W	augustus_masked-NODE_28_length_96598_cov_100.004_ID_8157-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_28_length_96598_cov_100.004_ID_8157-processed-gene-0.99&CDS=1-2727, maker-NODE_2_length_988990_cov_98.9605_ID_6788-augustus-gene-7.100-mRNA-1_1&gene=maker-NODE_2_length_988990_cov_98.9605_ID_6788-augustus-gene-7.100&CDS=1-2496
410	OG0000410	YIL151C, YKR096W	augustus_masked-NODE_19_length_157058_cov_101.046_ID_5644-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-NODE_19_length_157058_cov_101.046_ID_5644-processed-gene-0.130&CDS=1-3021
411	OG0000411	YIR006C	augustus_masked-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.211&CDS=1-3288, augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-2.43&CDS=1-4182
412	OG0000412	YIR013C, YLR013W	genemark-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.229-mRNA-1_1&gene=genemark-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.229&CDS=1-1560
413	OG0000413	YIR033W, YKL020C	snap_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.7&CDS=1-3144
414	OG0000414	YJL079C, YKR013W	maker-NODE_42_length_67509_cov_97.0814_ID_15312-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_42_length_67509_cov_97.0814_ID_15312-snap-gene-0.2&CDS=1-1473
415	OG0000415	YJL082W, YKR018C	augustus_masked-NODE_42_length_67509_cov_97.0814_ID_15312-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_42_length_67509_cov_97.0814_ID_15312-processed-gene-0.26&CDS=1-2238
416	OG0000416	YJL127C	augustus_masked-NODE_24_length_122096_cov_96.048_ID_6063-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-NODE_24_length_122096_cov_96.048_ID_6063-processed-gene-0.135&CDS=1-663, augustus_masked-NODE_24_length_122096_cov_96.048_ID_6063-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-NODE_24_length_122096_cov_96.048_ID_6063-processed-gene-0.136&CDS=1-1692
417	OG0000417	YJL133W, YKR052C	augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-1.108&CDS=1-1017
418	OG0000418	YJL134W, YKR053C	augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-5.132-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-5.132&CDS=1-2295
419	OG0000419	YJL177W, YKL180W	augustus_masked-NODE_15_length_223829_cov_100.186_ID_4289-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_15_length_223829_cov_100.186_ID_4289-processed-gene-0.55&CDS=1-552
420	OG0000420	YJL190C, YLR367W	augustus_masked-NODE_33_length_85342_cov_99.4067_ID_5149-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_33_length_85342_cov_99.4067_ID_5149-processed-gene-0.62&CDS=1-390
421	OG0000421	YJR040W	augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-1.65&CDS=1-2013, augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-5.143-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-5.143&CDS=1-2265
422	OG0000422	YJR045C	augustus_masked-NODE_9_length_313077_cov_99.8199_ID_3981-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-NODE_9_length_313077_cov_99.8199_ID_3981-processed-gene-1.139&CDS=1-1908, maker-NODE_5_length_542709_cov_97.2032_ID_3829-augustus-gene-4.198-mRNA-1_1&gene=maker-NODE_5_length_542709_cov_97.2032_ID_3829-augustus-gene-4.198&CDS=1-1938
423	OG0000423	YJR059W, YKL198C	augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-7.93&CDS=1-2247
424	OG0000424	YJR091C, YPR042C	augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-3.29&CDS=1-3042
425	OG0000425	YJR094W-A, YPR043W	augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-3.14&CDS=1-291
426	OG0000426	YKL043W	augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.58&CDS=1-1497, augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.5&CDS=1-1539
427	OG0000427	YKL046C	augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.9&CDS=1-1353, augustus_masked-NODE_31_length_89179_cov_143.237_ID_5261-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_31_length_89179_cov_143.237_ID_5261-processed-gene-0.20&CDS=1-1341
428	OG0000428	YKL050C, YMR031C	augustus_masked-NODE_22_length_129868_cov_101.505_ID_8768-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-NODE_22_length_129868_cov_101.505_ID_8768-processed-gene-0.136&CDS=1-2115
429	OG0000429	YKL071W	augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-2.79&CDS=1-756, maker-NODE_8_length_374696_cov_108.641_ID_4549-snap-gene-2.270-mRNA-1_1&gene=maker-NODE_8_length_374696_cov_108.641_ID_4549-snap-gene-2.270&CDS=1-1497
430	OG0000430	YKL072W, YMR053C	augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-0.127&CDS=1-2163
431	OG0000431	YKL121W, YMR102C	augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-2.15&CDS=1-2091
432	OG0000432	YKL127W, YMR105C	augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-0.122&CDS=1-1683
433	OG0000433	YKL140W	augustus_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-1.173&CDS=1-1395, maker-NODE_7_length_434895_cov_99.951_ID_2823-augustus-gene-3.4-mRNA-1_1&gene=maker-NODE_7_length_434895_cov_99.951_ID_2823-augustus-gene-3.4&CDS=1-3099
434	OG0000434	YKL141W, YMR118C	augustus_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-3.38&CDS=1-513
435	OG0000435	YKL215C	maker-NODE_10_length_310917_cov_107.48_ID_4357-augustus-gene-2.100-mRNA-1_1&gene=maker-NODE_10_length_310917_cov_107.48_ID_4357-augustus-gene-2.100&CDS=1-5733, snap_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.39&CDS=1-3804
436	OG0000436	YKL216W	augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-8.294-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-8.294&CDS=1-1251, augustus_masked-NODE_400_length_373_cov_0.92446_ID_10822-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_400_length_373_cov_0.92446_ID_10822-processed-gene-0.0&CDS=1-192
