	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034758_Lipomyces_japonicus
519	OG0000519	YBR074W	genemark-flattened_line_9-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.45&CDS=1-3240
520	OG0000520	YBR079C	genemark-flattened_line_0-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.99&CDS=1-2280
521	OG0000521	YBR080C	genemark-flattened_line_55-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_55-processed-gene-0.17&CDS=1-2361
522	OG0000522	YBR081C	genemark-flattened_line_119-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_119-processed-gene-0.34&CDS=1-3210
523	OG0000523	YBR083W	maker-flattened_line_33-snap-gene-0.216-mRNA-1_1&gene=maker-flattened_line_33-snap-gene-0.216&CDS=1-2103
524	OG0000524	YBR084W	snap_masked-flattened_line_99-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_99-processed-gene-0.66&CDS=1-2820
525	OG0000525	YBR085W	genemark-flattened_line_335-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_335-processed-gene-0.2&CDS=1-918
526	OG0000526	YBR086C	genemark-flattened_line_33-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_33-processed-gene-0.40&CDS=1-2208
527	OG0000527	YBR087W	genemark-flattened_line_141-processed-gene-0.109-mRNA-1_1&gene=genemark-flattened_line_141-processed-gene-0.109&CDS=1-1059
528	OG0000528	YBR088C	augustus_masked-flattened_line_21-processed-gene-1.209-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.209&CDS=1-834
529	OG0000529	YBR094W	genemark-flattened_line_2-processed-gene-2.155-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.155&CDS=1-2175
530	OG0000530	YBR095C	genemark-flattened_line_143-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_143-processed-gene-0.49&CDS=1-1065
531	OG0000531	YBR096W	genemark-flattened_line_19-processed-gene-1.69-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-1.69&CDS=1-645
532	OG0000532	YBR097W	genemark-flattened_line_2-processed-gene-2.142-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.142&CDS=1-4950
533	OG0000533	YBR101C	genemark-flattened_line_55-processed-gene-0.59-mRNA-1_1&gene=genemark-flattened_line_55-processed-gene-0.59&CDS=1-954
534	OG0000534	YBR103W	genemark-flattened_line_309-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_309-processed-gene-0.0&CDS=1-1824
535	OG0000535	YBR105C	genemark-flattened_line_39-processed-gene-0.157-mRNA-1_1&gene=genemark-flattened_line_39-processed-gene-0.157&CDS=1-957
536	OG0000536	YBR106W	genemark-flattened_line_51-processed-gene-0.176-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.176&CDS=1-558
537	OG0000537	YBR109C	genemark-flattened_line_35-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_35-processed-gene-0.63&CDS=1-447
538	OG0000538	YBR110W	genemark-flattened_line_27-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-0.33&CDS=1-1350
539	OG0000539	YBR111C	maker-flattened_line_25-augustus-gene-1.196-mRNA-1_1&gene=maker-flattened_line_25-augustus-gene-1.196&CDS=1-615
540	OG0000540	YBR111W-A	genemark-flattened_line_99-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_99-processed-gene-0.104&CDS=1-282
541	OG0000541	YBR112C	genemark-flattened_line_163-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_163-processed-gene-0.37&CDS=1-2697
542	OG0000542	YBR114W	snap_masked-flattened_line_23-processed-gene-1.211-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-1.211&CDS=1-2559
543	OG0000543	YBR115C	genemark-flattened_line_77-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_77-processed-gene-0.48&CDS=1-4239
544	OG0000544	YBR120C	augustus_masked-flattened_line_7-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-0.25&CDS=1-321
545	OG0000545	YBR121C	genemark-flattened_line_9-processed-gene-1.42-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-1.42&CDS=1-1959
546	OG0000546	YBR122C	genemark-flattened_line_135-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_135-processed-gene-0.0&CDS=1-447
547	OG0000547	YBR123C	genemark-flattened_line_0-processed-gene-3.41-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.41&CDS=1-1497
548	OG0000548	YBR126C	genemark-flattened_line_111-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_111-processed-gene-0.87&CDS=1-1470
549	OG0000549	YBR127C	genemark-flattened_line_77-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_77-processed-gene-0.21&CDS=1-1521
550	OG0000550	YBR133C	genemark-flattened_line_2-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.39&CDS=1-3453
551	OG0000551	YBR135W	maker-flattened_line_75-augustus-gene-0.44-mRNA-1_1&gene=maker-flattened_line_75-augustus-gene-0.44&CDS=1-303
552	OG0000552	YBR136W	maker-flattened_line_49-snap-gene-0.267-mRNA-1_1&gene=maker-flattened_line_49-snap-gene-0.267&CDS=1-5436
553	OG0000553	YBR137W	genemark-flattened_line_5-processed-gene-0.135-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.135&CDS=1-540
554	OG0000554	YBR142W	genemark-flattened_line_9-processed-gene-1.1-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-1.1&CDS=1-2577
555	OG0000555	YBR143C	genemark-flattened_line_7-processed-gene-2.30-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-2.30&CDS=1-1302
556	OG0000556	YBR146W	augustus_masked-flattened_line_41-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-0.34&CDS=1-999
557	OG0000557	YBR151W	genemark-flattened_line_19-processed-gene-1.43-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-1.43&CDS=1-867
558	OG0000558	YBR153W	genemark-flattened_line_180-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_180-processed-gene-0.5&CDS=1-798
559	OG0000559	YBR154C	genemark-flattened_line_184-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_184-processed-gene-0.1&CDS=1-642
560	OG0000560	YBR155W	genemark-flattened_line_0-processed-gene-1.77-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.77&CDS=1-687
561	OG0000561	YBR156C	genemark-flattened_line_0-processed-gene-1.59-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.59&CDS=1-3819
562	OG0000562	YBR159W	genemark-flattened_line_47-processed-gene-0.151-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.151&CDS=1-1026
563	OG0000563	YBR162C	genemark-flattened_line_182-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_182-processed-gene-0.54&CDS=1-1449
564	OG0000564	YBR164C	snap_masked-flattened_line_23-processed-gene-0.155-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.155&CDS=1-669
565	OG0000565	YBR166C	genemark-flattened_line_65-processed-gene-0.159-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.159&CDS=1-1320
566	OG0000566	YBR167C	snap_masked-flattened_line_13-processed-gene-1.163-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-1.163&CDS=1-465
567	OG0000567	YBR169C	genemark-flattened_line_89-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_89-processed-gene-0.128&CDS=1-2112
568	OG0000568	YBR170C	genemark-flattened_line_21-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-0.97&CDS=1-1524
569	OG0000569	YBR171W	genemark-flattened_line_21-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-0.120&CDS=1-576
570	OG0000570	YBR173C	genemark-flattened_line_49-processed-gene-0.113-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.113&CDS=1-489
571	OG0000571	YBR176W	genemark-flattened_line_224-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_224-processed-gene-0.24&CDS=1-984
572	OG0000572	YBR179C	genemark-flattened_line_71-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_71-processed-gene-0.52&CDS=1-2592
573	OG0000573	YBR185C	snap_masked-flattened_line_222-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_222-processed-gene-0.15&CDS=1-1074
574	OG0000574	YBR186W	genemark-flattened_line_25-processed-gene-1.10-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-1.10&CDS=1-1437
575	OG0000575	YBR187W	genemark-flattened_line_59-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_59-processed-gene-0.55&CDS=1-1065
576	OG0000576	YBR192W	genemark-flattened_line_9-processed-gene-1.7-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-1.7&CDS=1-1098
577	OG0000577	YBR193C	genemark-flattened_line_9-processed-gene-1.47-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-1.47&CDS=1-735
578	OG0000578	YBR196C	maker-flattened_line_43-augustus-gene-0.88-mRNA-1_1&gene=maker-flattened_line_43-augustus-gene-0.88&CDS=1-3120
579	OG0000579	YBR198C	genemark-flattened_line_55-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_55-processed-gene-0.31&CDS=1-2298
580	OG0000580	YBR199W	augustus_masked-flattened_line_119-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_119-processed-gene-0.107&CDS=1-1236
581	OG0000581	YBR200W	genemark-flattened_line_25-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-0.6&CDS=1-2109
582	OG0000582	YBR202W	augustus_masked-flattened_line_121-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_121-processed-gene-0.0&CDS=1-2349
583	OG0000583	YBR203W	augustus_masked-flattened_line_57-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.16&CDS=1-1563
584	OG0000584	YBR208C	snap_masked-flattened_line_13-processed-gene-1.98-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-1.98&CDS=1-5478
585	OG0000585	YBR213W	genemark-flattened_line_101-processed-gene-0.71-mRNA-1_1&gene=genemark-flattened_line_101-processed-gene-0.71&CDS=1-750
586	OG0000586	YBR215W	genemark-flattened_line_7-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-0.93&CDS=1-1209
587	OG0000587	YBR217W	maker-flattened_line_0-augustus-gene-0.22-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-0.22&CDS=1-648
588	OG0000588	YBR218C	genemark-flattened_line_135-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_135-processed-gene-0.2&CDS=1-3546
589	OG0000589	YBR220C	genemark-flattened_line_2-processed-gene-2.100-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.100&CDS=1-1728
590	OG0000590	YBR221C	genemark-flattened_line_47-processed-gene-0.109-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.109&CDS=1-1176
591	OG0000591	YBR222C	genemark-flattened_line_5-processed-gene-1.62-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-1.62&CDS=1-1557
592	OG0000592	YBR227C	genemark-flattened_line_180-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_180-processed-gene-0.3&CDS=1-1605
593	OG0000593	YBR228W	genemark-flattened_line_121-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_121-processed-gene-0.52&CDS=1-1392
594	OG0000594	YBR229C	maker-flattened_line_121-augustus-gene-0.123-mRNA-1_1&gene=maker-flattened_line_121-augustus-gene-0.123&CDS=1-2883
595	OG0000595	YBR233W	genemark-flattened_line_11-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-0.131&CDS=1-1152
596	OG0000596	YBR233W-A	genemark-flattened_line_216-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_216-processed-gene-0.16&CDS=1-363
597	OG0000597	YBR234C	genemark-flattened_line_23-processed-gene-1.170-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.170&CDS=1-1104
598	OG0000598	YBR235W	genemark-flattened_line_109-processed-gene-0.72-mRNA-1_1&gene=genemark-flattened_line_109-processed-gene-0.72&CDS=1-3606
599	OG0000599	YBR236C	genemark-flattened_line_202-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_202-processed-gene-0.27&CDS=1-1500
600	OG0000600	YBR237W	genemark-flattened_line_17-processed-gene-1.218-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-1.218&CDS=1-2955
601	OG0000601	YBR239C	genemark-flattened_line_31-processed-gene-1.60-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-1.60&CDS=1-1473
602	OG0000602	YBR243C	snap_masked-flattened_line_355-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_355-processed-gene-0.0&CDS=1-1467
603	OG0000603	YBR244W	genemark-flattened_line_153-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_153-processed-gene-0.32&CDS=1-498
604	OG0000604	YBR246W	genemark-flattened_line_23-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.118&CDS=1-1029
605	OG0000605	YBR247C	genemark-flattened_line_97-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_97-processed-gene-0.13&CDS=1-1356
606	OG0000606	YBR248C	maker-flattened_line_21-augustus-gene-0.68-mRNA-1_1&gene=maker-flattened_line_21-augustus-gene-0.68&CDS=1-3003
607	OG0000607	YBR249C	maker-flattened_line_71-augustus-gene-0.74-mRNA-1_1&gene=maker-flattened_line_71-augustus-gene-0.74&CDS=1-1227
608	OG0000608	YBR251W	genemark-flattened_line_77-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_77-processed-gene-0.11&CDS=1-1050
609	OG0000609	YBR254C	snap_masked-flattened_line_0-processed-gene-3.200-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.200&CDS=1-456
610	OG0000610	YBR255W	snap_masked-flattened_line_79-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_79-processed-gene-0.34&CDS=1-2439
611	OG0000611	YBR257W	genemark-flattened_line_37-processed-gene-0.223-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.223&CDS=1-1182
612	OG0000612	YBR260C	maker-flattened_line_226-snap-gene-0.11-mRNA-1_1&gene=maker-flattened_line_226-snap-gene-0.11&CDS=1-1689
613	OG0000613	YBR261C	genemark-flattened_line_15-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-0.58&CDS=1-720
614	OG0000614	YBR265W	genemark-flattened_line_31-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-0.52&CDS=1-957
615	OG0000615	YBR267W	maker-flattened_line_83-snap-gene-0.142-mRNA-1_1&gene=maker-flattened_line_83-snap-gene-0.142&CDS=1-1446
616	OG0000616	YBR268W	genemark-flattened_line_57-processed-gene-0.215-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.215&CDS=1-378
617	OG0000617	YBR269C	genemark-flattened_line_51-processed-gene-0.183-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.183&CDS=1-393
618	OG0000618	YBR271W	genemark-flattened_line_81-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_81-processed-gene-0.2&CDS=1-1089
619	OG0000619	YBR276C	genemark-flattened_line_245-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_245-processed-gene-0.10&CDS=1-2439
620	OG0000620	YBR279W	augustus_masked-flattened_line_59-processed-gene-0.226-mRNA-1_1&gene=augustus_masked-flattened_line_59-processed-gene-0.226&CDS=1-1233
621	OG0000621	YBR281C	genemark-flattened_line_31-processed-gene-1.63-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-1.63&CDS=1-2565
622	OG0000622	YBR282W	maker-flattened_line_7-augustus-gene-0.72-mRNA-1_1&gene=maker-flattened_line_7-augustus-gene-0.72&CDS=1-450
623	OG0000623	YBR287W	genemark-flattened_line_163-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_163-processed-gene-0.51&CDS=1-1479
624	OG0000624	YBR288C	genemark-flattened_line_47-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.97&CDS=1-1437
625	OG0000625	YBR289W	genemark-flattened_line_83-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_83-processed-gene-0.1&CDS=1-1656
626	OG0000626	YBR290W	genemark-flattened_line_0-processed-gene-2.168-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.168&CDS=1-1167
627	OG0000627	YBR291C	genemark-flattened_line_31-processed-gene-1.82-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-1.82&CDS=1-888
628	OG0000628	YBR293W	genemark-flattened_line_11-processed-gene-0.161-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-0.161&CDS=1-1887
629	OG0000629	YBR295W	augustus_masked-flattened_line_47-processed-gene-0.240-mRNA-1_1&gene=augustus_masked-flattened_line_47-processed-gene-0.240&CDS=1-1986
630	OG0000630	YBR296C	genemark-flattened_line_39-processed-gene-0.162-mRNA-1_1&gene=genemark-flattened_line_39-processed-gene-0.162&CDS=1-1716
631	OG0000631	YCL001W	genemark-flattened_line_17-processed-gene-1.231-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-1.231&CDS=1-597
632	OG0000632	YCL004W	maker-flattened_line_101-snap-gene-0.56-mRNA-1_1&gene=maker-flattened_line_101-snap-gene-0.56&CDS=1-1440
633	OG0000633	YCL005W-A	genemark-flattened_line_27-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-0.24&CDS=1-249
634	OG0000634	YCL008C	genemark-flattened_line_25-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-0.5&CDS=1-1629
635	OG0000635	YCL009C	genemark-flattened_line_65-processed-gene-0.186-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.186&CDS=1-912
636	OG0000636	YCL010C	genemark-flattened_line_15-processed-gene-1.191-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.191&CDS=1-873
637	OG0000637	YCL012C	genemark-flattened_line_101-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_101-processed-gene-0.94&CDS=1-549
638	OG0000638	YCL016C	genemark-flattened_line_29-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.67&CDS=1-1098
639	OG0000639	YCL017C	genemark-flattened_line_25-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-0.4&CDS=1-1461
640	OG0000640	YCL018W	maker-flattened_line_19-augustus-gene-1.147-mRNA-1_1&gene=maker-flattened_line_19-augustus-gene-1.147&CDS=1-3279
641	OG0000641	YCL029C	genemark-flattened_line_21-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-0.104&CDS=1-1863
642	OG0000642	YCL030C	genemark-flattened_line_7-processed-gene-1.125-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.125&CDS=1-2664
643	OG0000643	YCL031C	genemark-flattened_line_0-processed-gene-3.46-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.46&CDS=1-960
644	OG0000644	YCL032W	maker-flattened_line_107-snap-gene-0.95-mRNA-1_1&gene=maker-flattened_line_107-snap-gene-0.95&CDS=1-1224
645	OG0000645	YCL033C	genemark-flattened_line_99-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_99-processed-gene-0.97&CDS=1-618
646	OG0000646	YCL034W	genemark-flattened_line_15-processed-gene-1.251-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.251&CDS=1-1344
647	OG0000647	YCL038C	genemark-flattened_line_5-processed-gene-1.72-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-1.72&CDS=1-1914
648	OG0000648	YCL039W	genemark-flattened_line_65-processed-gene-0.184-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.184&CDS=1-1608
649	OG0000649	YCL043C	augustus_masked-flattened_line_29-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.31&CDS=1-1830
650	OG0000650	YCL045C	genemark-flattened_line_93-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_93-processed-gene-0.118&CDS=1-2760
651	OG0000651	YCL047C	maker-flattened_line_129-augustus-gene-0.120-mRNA-1_1&gene=maker-flattened_line_129-augustus-gene-0.120&CDS=1-675
652	OG0000652	YCL054W	genemark-flattened_line_23-processed-gene-1.156-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.156&CDS=1-2601
653	OG0000653	YCL057C-A	genemark-flattened_line_7-processed-gene-1.92-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.92&CDS=1-243
654	OG0000654	YCL057W	snap_masked-flattened_line_65-processed-gene-0.220-mRNA-1_1&gene=snap_masked-flattened_line_65-processed-gene-0.220&CDS=1-2001
655	OG0000655	YCL059C	genemark-flattened_line_21-processed-gene-1.11-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.11&CDS=1-972
656	OG0000656	YCL061C	genemark-flattened_line_119-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_119-processed-gene-0.33&CDS=1-3468
657	OG0000657	YCL074W	augustus_masked-flattened_line_69-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_69-processed-gene-0.77&CDS=1-711
658	OG0000658	YCR002C	genemark-flattened_line_57-processed-gene-0.193-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.193&CDS=1-1047
659	OG0000659	YCR003W	genemark-flattened_line_57-processed-gene-0.155-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.155&CDS=1-597
660	OG0000660	YCR008W	genemark-flattened_line_65-processed-gene-0.175-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.175&CDS=1-1275
661	OG0000661	YCR009C	genemark-flattened_line_27-processed-gene-1.95-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.95&CDS=1-873
662	OG0000662	YCR011C	maker-flattened_line_169-augustus-gene-0.70-mRNA-1_1&gene=maker-flattened_line_169-augustus-gene-0.70&CDS=1-3078
663	OG0000663	YCR012W	genemark-flattened_line_15-processed-gene-1.206-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.206&CDS=1-1245
664	OG0000664	YCR015C	genemark-flattened_line_29-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.76&CDS=1-813
665	OG0000665	YCR016W	snap_masked-flattened_line_131-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_131-processed-gene-0.104&CDS=1-999
666	OG0000666	YCR017C	genemark-flattened_line_85-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_85-processed-gene-0.44&CDS=1-2832
667	OG0000667	YCR019W	genemark-flattened_line_115-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_115-processed-gene-0.61&CDS=1-1065
668	OG0000668	YCR024C	genemark-flattened_line_65-processed-gene-0.166-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.166&CDS=1-1512
669	OG0000669	YCR027C	genemark-flattened_line_17-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-0.61&CDS=1-552
670	OG0000670	YCR028C-A	maker-flattened_line_59-augustus-gene-0.148-mRNA-1_1&gene=maker-flattened_line_59-augustus-gene-0.148&CDS=1-432
671	OG0000671	YCR030C	maker-flattened_line_35-augustus-gene-0.241-mRNA-1_1&gene=maker-flattened_line_35-augustus-gene-0.241&CDS=1-6009
672	OG0000672	YCR031C	maker-flattened_line_17-augustus-gene-0.93-mRNA-1_1&gene=maker-flattened_line_17-augustus-gene-0.93&CDS=1-450
673	OG0000673	YCR032W	maker-flattened_line_147-augustus-gene-0.91-mRNA-1_1&gene=maker-flattened_line_147-augustus-gene-0.91&CDS=1-7062
674	OG0000674	YCR033W	genemark-flattened_line_51-processed-gene-0.134-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.134&CDS=1-4815
675	OG0000675	YCR036W	genemark-flattened_line_2-processed-gene-1.73-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.73&CDS=1-963
676	OG0000676	YCR044C	genemark-flattened_line_21-processed-gene-1.42-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.42&CDS=1-2154
677	OG0000677	YCR046C	genemark-flattened_line_25-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-0.21&CDS=1-567
678	OG0000678	YCR047C	genemark-flattened_line_43-processed-gene-0.204-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.204&CDS=1-801
679	OG0000679	YCR051W	genemark-flattened_line_29-processed-gene-1.98-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.98&CDS=1-690
680	OG0000680	YCR053W	augustus_masked-flattened_line_69-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_69-processed-gene-0.80&CDS=1-5142
681	OG0000681	YCR054C	genemark-flattened_line_204-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_204-processed-gene-0.22&CDS=1-1449
682	OG0000682	YCR057C	maker-flattened_line_0-snap-gene-3.129-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-3.129&CDS=1-2643
683	OG0000683	YCR059C	genemark-flattened_line_313-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_313-processed-gene-0.7&CDS=1-714
684	OG0000684	YCR061W	genemark-flattened_line_17-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-0.48&CDS=1-1800
685	OG0000685	YCR063W	genemark-flattened_line_7-processed-gene-1.123-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.123&CDS=1-441
686	OG0000686	YCR065W	genemark-flattened_line_7-processed-gene-1.99-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.99&CDS=1-1995
687	OG0000687	YCR066W	genemark-flattened_line_5-processed-gene-0.127-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.127&CDS=1-1257
688	OG0000688	YCR072C	genemark-flattened_line_79-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_79-processed-gene-0.53&CDS=1-1566
689	OG0000689	YCR077C	snap_masked-flattened_line_2-processed-gene-2.35-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.35&CDS=1-1596
690	OG0000690	YCR079W	maker-flattened_line_77-snap-gene-0.170-mRNA-1_1&gene=maker-flattened_line_77-snap-gene-0.170&CDS=1-1230
691	OG0000691	YCR081W	genemark-flattened_line_135-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_135-processed-gene-0.32&CDS=1-2106
692	OG0000692	YCR084C	maker-flattened_line_129-augustus-gene-0.125-mRNA-1_1&gene=maker-flattened_line_129-augustus-gene-0.125&CDS=1-1965
693	OG0000693	YCR087C-A	genemark-flattened_line_81-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_81-processed-gene-0.40&CDS=1-717
694	OG0000694	YCR088W	genemark-flattened_line_49-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.95&CDS=1-2271
