	OrthologID	Candida_carpophila	Saccharomyces_cerevisiae
509	OG0000509	-processed-gene-1.66-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.66&CDS=1-3840	YBL047C
510	OG0000510	-augustus-gene-1.99-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-augustus-gene-1.99&CDS=1-2310	YLL057C
511	OG0000511	-processed-gene-1.89-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.89&CDS=1-420	YPR100W
512	OG0000512	-processed-gene-1.90-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.90&CDS=1-1614	YGR055W
513	OG0000513	-processed-gene-1.67-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.67&CDS=1-1674	YOR386W
514	OG0000514	-processed-gene-1.91-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.91&CDS=1-3597	YJL080C
515	OG0000515	-processed-gene-1.92-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.92&CDS=1-2322	YFR016C
516	OG0000516	-processed-gene-1.68-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.68&CDS=1-720	YDR054C
517	OG0000517	-augustus-gene-1.96-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-augustus-gene-1.96&CDS=1-3642	YOL023W
518	OG0000518	-processed-gene-1.71-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.71&CDS=1-1248	YOL022C
519	OG0000519	-processed-gene-1.121-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.121&CDS=1-4074	YJL108C
520	OG0000520	-processed-gene-1.94-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.94&CDS=1-4323	YGR116W
521	OG0000521	-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.47&CDS=1-549	YGR129W
522	OG0000522	-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.25&CDS=1-984	YOR075W
523	OG0000523	-snap-gene-2.171-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-snap-gene-2.171&CDS=1-1884	YKR084C
524	OG0000524	-processed-gene-2.85-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.85&CDS=1-1845	YPL222W
525	OG0000525	-snap-gene-2.169-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-snap-gene-2.169&CDS=1-3345	YOR378W
526	OG0000526	-processed-gene-2.59-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.59&CDS=1-900	YLR351C
527	OG0000527	-processed-gene-2.86-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.86&CDS=1-981	YGR031W
528	OG0000528	-processed-gene-2.87-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.87&CDS=1-843	YER118C
529	OG0000529	-snap-gene-2.172-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-snap-gene-2.172&CDS=1-762	YER120W
530	OG0000530	-processed-gene-2.90-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.90&CDS=1-1281	YBL091C
531	OG0000531	-processed-gene-2.63-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.63&CDS=1-1761	YNL048W
532	OG0000532	-processed-gene-2.64-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.64&CDS=1-2775	YGL137W
533	OG0000533	-processed-gene-2.93-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.93&CDS=1-1953	YGL099W
534	OG0000534	-processed-gene-2.94-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.94&CDS=1-570	YPL218W
535	OG0000535	-processed-gene-2.95-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.95&CDS=1-1416	YGL065C
536	OG0000536	-processed-gene-2.96-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.96&CDS=1-2139	YPL207W
537	OG0000537	-processed-gene-2.68-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.68&CDS=1-1269	YGL066W
538	OG0000538	-processed-gene-2.97-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.97&CDS=1-987	YPL209C
539	OG0000539	-processed-gene-2.70-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.70&CDS=1-1263	YPL204W
540	OG0000540	-processed-gene-2.98-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.98&CDS=1-1623	YPL212C
541	OG0000541	-processed-gene-2.71-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.71&CDS=1-543	YPL211W
542	OG0000542	-processed-gene-2.99-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.99&CDS=1-1482	YGL129C
543	OG0000543	-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.19&CDS=1-4902	YGL064C
544	OG0000544	-processed-gene-2.100-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.100&CDS=1-3402	YGL133W
545	OG0000545	-processed-gene-2.102-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.102&CDS=1-1023	YPR127W
546	OG0000546	-processed-gene-2.84-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.84&CDS=1-990	YPL215W
547	OG0000547	-processed-gene-2.105-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.105&CDS=1-1179	YDR019C
548	OG0000548	-processed-gene-3.101-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.101&CDS=1-8130	YBL088C
549	OG0000549	-snap-gene-3.159-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-snap-gene-3.159&CDS=1-1020	YOL003C
550	OG0000550	-processed-gene-3.47-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.47&CDS=1-744	YOR362C
551	OG0000551	-processed-gene-3.51-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.51&CDS=1-2148	YOR361C
552	OG0000552	-processed-gene-3.77-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.77&CDS=1-324	YAL046C
553	OG0000553	-processed-gene-3.52-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.52&CDS=1-2016	YAL048C
554	OG0000554	-processed-gene-3.53-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.53&CDS=1-591	YOR294W
555	OG0000555	-snap-gene-3.158-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-snap-gene-3.158&CDS=1-657	YMR233W
556	OG0000556	-processed-gene-3.55-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.55&CDS=1-3975	YOR296W
557	OG0000557	-snap-gene-3.160-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-snap-gene-3.160&CDS=1-4110	YOL004W
558	OG0000558	-processed-gene-3.56-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.56&CDS=1-363	YOL005C
559	OG0000559	-processed-gene-3.79-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.79&CDS=1-1938	YMR001C
560	OG0000560	-processed-gene-3.57-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.57&CDS=1-2262	YOL006C
561	OG0000561	-processed-gene-3.80-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.80&CDS=1-405	YMR002W
562	OG0000562	-processed-gene-3.62-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.62&CDS=1-1497	YKL035W
563	OG0000563	-processed-gene-3.63-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.63&CDS=1-507	YJR025C
564	OG0000564	-processed-gene-3.64-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.64&CDS=1-909	YOR223W
565	OG0000565	-processed-gene-3.84-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.84&CDS=1-870	YPR079W
566	OG0000566	-processed-gene-3.65-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.65&CDS=1-2358	YPR089W
567	OG0000567	-processed-gene-3.85-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.85&CDS=1-303	YBR268W
568	OG0000568	-processed-gene-3.67-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.67&CDS=1-1188	YBR025C
569	OG0000569	-processed-gene-3.141-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.141&CDS=1-3726	YML091C
570	OG0000570	-processed-gene-3.88-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.88&CDS=1-1833	YML088W
571	OG0000571	-processed-gene-3.69-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.69&CDS=1-3810	YMR012W
572	OG0000572	-processed-gene-3.92-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.92&CDS=1-1344	YML085C
573	OG0000573	-processed-gene-3.147-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.147&CDS=1-2274	YML128C
574	OG0000574	-processed-gene-3.94-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.94&CDS=1-1326	YML126C
575	OG0000575	-processed-gene-3.96-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.96&CDS=1-1053	YMR214W
576	OG0000576	-processed-gene-3.125-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.125&CDS=1-1431	YMR211W
577	OG0000577	-processed-gene-3.97-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.97&CDS=1-1332	YNR050C
578	OG0000578	-processed-gene-3.71-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.71&CDS=1-618	YJR073C
579	OG0000579	-processed-gene-3.72-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.72&CDS=1-954	YOR352W
580	OG0000580	-processed-gene-3.131-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.131&CDS=1-3729	YKL209C
581	OG0000581	-processed-gene-4.66-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.66&CDS=1-3045	YKL210W
582	OG0000582	-processed-gene-4.67-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.67&CDS=1-1485	YLR004C
583	OG0000583	-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.111&CDS=1-2376	YCR002C
584	OG0000584	-processed-gene-4.65-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.65&CDS=1-546	YCR003W
585	OG0000585	-augustus-gene-4.52-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-augustus-gene-4.52&CDS=1-2313	YBR035C
586	OG0000586	-processed-gene-4.95-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.95&CDS=1-1662	YDR017C
587	OG0000587	-processed-gene-4.74-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.74&CDS=1-459	YLR170C
588	OG0000588	-processed-gene-4.76-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.76&CDS=1-2751	YDL031W
589	OG0000589	-processed-gene-4.96-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.96&CDS=1-1521	YOL123W
590	OG0000590	-augustus-gene-4.55-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-augustus-gene-4.55&CDS=1-2349	YOL124C
591	OG0000591	-processed-gene-4.79-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.79&CDS=1-558	YGR078C
592	OG0000592	-processed-gene-4.97-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.97&CDS=1-1110	YOL073C
593	OG0000593	-processed-gene-4.44-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.44&CDS=1-12420	YKR054C
594	OG0000594	-processed-gene-4.100-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.100&CDS=1-981	YDR044W
595	OG0000595	-processed-gene-4.82-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.82&CDS=1-1278	YBR042C
596	OG0000596	-processed-gene-4.28-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.28&CDS=1-732	YBR040W
597	OG0000597	-processed-gene-4.30-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.30&CDS=1-11328	YHR099W
598	OG0000598	-processed-gene-4.102-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.102&CDS=1-636	YHR100C
599	OG0000599	-processed-gene-4.86-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.86&CDS=1-1791	YDR266C
600	OG0000600	-processed-gene-4.87-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.87&CDS=1-510	YNL310C
601	OG0000601	-processed-gene-4.88-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.88&CDS=1-885	YNL315C
602	OG0000602	-processed-gene-4.103-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.103&CDS=1-1932	YMR224C
603	OG0000603	-processed-gene-4.34-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.34&CDS=1-4839	YDR283C
604	OG0000604	-processed-gene-4.105-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.105&CDS=1-849	YDR284C
605	OG0000605	-snap-gene-4.4-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-snap-gene-4.4&CDS=1-1818	YMR004W
606	OG0000606	-processed-gene-4.91-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.91&CDS=1-1002	YOR043W
607	OG0000607	-processed-gene-4.92-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-4.92&CDS=1-1041	YJR068W
608	OG0000608	-processed-gene-5.58-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.58&CDS=1-2781	YBR276C
609	OG0000609	-processed-gene-5.7-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.7&CDS=1-2052	YAL043C
610	OG0000610	-augustus-gene-5.6-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-augustus-gene-5.6&CDS=1-4737	YJL069C
611	OG0000611	-processed-gene-5.81-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.81&CDS=1-5568	YDL058W
612	OG0000612	-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.106&CDS=1-567	YDL059C
613	OG0000613	-processed-gene-5.82-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.82&CDS=1-3927	YLR384C
614	OG0000614	-processed-gene-5.62-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.62&CDS=1-2139	YHR197W
615	OG0000615	-processed-gene-5.63-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.63&CDS=1-2349	YOR249C
616	OG0000616	-processed-gene-5.84-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.84&CDS=1-678	YPR113W
617	OG0000617	-processed-gene-5.85-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.85&CDS=1-4632	YPL167C
618	OG0000618	-processed-gene-5.66-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.66&CDS=1-1731	YJL128C
619	OG0000619	-processed-gene-5.67-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.67&CDS=1-1002	YNR035C
620	OG0000620	-processed-gene-5.86-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.86&CDS=1-534	YNR036C
621	OG0000621	-processed-gene-5.68-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.68&CDS=1-381	YKL192C
622	OG0000622	-processed-gene-5.69-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.69&CDS=1-234	YHR001W-A
623	OG0000623	-processed-gene-5.88-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.88&CDS=1-1818	YBR260C
624	OG0000624	-processed-gene-5.89-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.89&CDS=1-921	YHR142W
625	OG0000625	-augustus-gene-5.5-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-augustus-gene-5.5&CDS=1-5709	YOR087W
626	OG0000626	-snap-gene-5.3-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-snap-gene-5.3&CDS=1-1578	YMR210W
627	OG0000627	-processed-gene-5.77-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.77&CDS=1-1224	YPL154C
628	OG0000628	-processed-gene-5.32-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.32&CDS=1-3351	YAL004W
629	OG0000629	-processed-gene-5.95-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.95&CDS=1-1944	YJR045C
630	OG0000630	-processed-gene-5.138-mRNA-1_1&gene=augustus_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.138&CDS=1-2832	YEL032W
631	OG0000631	-processed-gene-5.99-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-5.99&CDS=1-1596	YPR144C
632	OG0000632	-snap-gene-6.66-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-snap-gene-6.66&CDS=1-3390	YPL265W
633	OG0000633	-processed-gene-6.121-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.121&CDS=1-1002	YPL165C
634	OG0000634	-processed-gene-6.154-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.154&CDS=1-666	YGR095C
635	OG0000635	-processed-gene-6.125-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.125&CDS=1-1419	YGR091W
636	OG0000636	-processed-gene-6.126-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.126&CDS=1-3342	YGR094W
637	OG0000637	-processed-gene-6.155-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.155&CDS=1-3627	YEL031W
638	OG0000638	-processed-gene-6.156-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.156&CDS=1-1467	YKL045W
639	OG0000639	-processed-gene-6.129-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.129&CDS=1-3009	YGL207W
640	OG0000640	-processed-gene-6.157-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.157&CDS=1-378	YER029C
641	OG0000641	-processed-gene-6.131-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.131&CDS=1-489	YER030W
642	OG0000642	-processed-gene-6.158-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.158&CDS=1-945	YGL215W
643	OG0000643	-processed-gene-6.41-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.41&CDS=1-1104	YKL051W
644	OG0000644	-processed-gene-6.133-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.133&CDS=1-450	YJR055W
645	OG0000645	-augustus-gene-6.63-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-augustus-gene-6.63&CDS=1-1965	YLR215C
646	OG0000646	-processed-gene-6.134-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.134&CDS=1-1599	YDL143W
647	OG0000647	-processed-gene-6.163-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.163&CDS=1-1179	YPR025C
648	OG0000648	-processed-gene-6.164-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.164&CDS=1-1644	YDL153C
649	OG0000649	-processed-gene-6.135-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.135&CDS=1-1062	YDL150W
650	OG0000650	-augustus-gene-6.64-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-augustus-gene-6.64&CDS=1-2823	YJL033W
651	OG0000651	-processed-gene-6.136-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.136&CDS=1-2319	YGR200C
652	OG0000652	-processed-gene-6.137-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.137&CDS=1-861	YOR222W
653	OG0000653	-processed-gene-6.139-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.139&CDS=1-2115	YOR206W
654	OG0000654	-processed-gene-6.168-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.168&CDS=1-1467	YPL133C
655	OG0000655	-augustus-gene-6.65-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-augustus-gene-6.65&CDS=1-5238	YOR207C
656	OG0000656	-processed-gene-6.140-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.140&CDS=1-1515	YPL122C
657	OG0000657	-processed-gene-6.172-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.172&CDS=1-1542	YHR168W
658	OG0000658	-processed-gene-6.142-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.142&CDS=1-1299	YHR169W
659	OG0000659	-processed-gene-6.143-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.143&CDS=1-1620	YGR246C
660	OG0000660	-processed-gene-6.144-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.144&CDS=1-2184	YGR245C
661	OG0000661	-processed-gene-6.174-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.174&CDS=1-792	YDR174W
662	OG0000662	-processed-gene-6.145-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.145&CDS=1-945	YOR221C
663	OG0000663	-processed-gene-6.175-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.175&CDS=1-801	YOR287C
664	OG0000664	-processed-gene-0.57-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-0.57&CDS=1-1581	YIL166C
665	OG0000665	-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-0.1&CDS=1-4620	YBR293W
666	OG0000666	-processed-gene-0.103-mRNA-1_1&gene=snap_masked-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-0.103&CDS=1-3096	YML060W
667	OG0000667	-processed-gene-0.38-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-0.38&CDS=1-2202	YNL218W
668	OG0000668	-augustus-gene-0.77-mRNA-1_1&gene=maker-gi|1002316123|dbj|BCGK01000007.1|-augustus-gene-0.77&CDS=1-3798	YDR176W
669	OG0000669	-processed-gene-0.59-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-0.59&CDS=1-1377	YLR163C
670	OG0000670	-processed-gene-0.44-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-0.44&CDS=1-642	YDR183W
671	OG0000671	-snap-gene-0.126-mRNA-1_1&gene=maker-gi|1002316123|dbj|BCGK01000007.1|-snap-gene-0.126&CDS=1-2556	YLR166C
672	OG0000672	-processed-gene-0.61-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-0.61&CDS=1-1224	YDR182W
673	OG0000673	-processed-gene-0.107-mRNA-1_1&gene=snap_masked-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-0.107&CDS=1-4947	YDR180W
674	OG0000674	-processed-gene-0.50-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-0.50&CDS=1-864	YLR239C
675	OG0000675	-processed-gene-0.65-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-0.65&CDS=1-468	YDR201W
676	OG0000676	-processed-gene-0.51-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-0.51&CDS=1-2232	YDR204W
