	OrthologID	Lachancea_nothofagi	Saccharomyces_cerevisiae
1153	OG0001153	snap_masked-LANO0D-processed-gene-1.103-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.103&CDS=1-1884	YGL228W
1154	OG0001154	snap_masked-LANO0D-processed-gene-1.104-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.104&CDS=1-1347	YER043C
1155	OG0001155	snap_masked-LANO0D-processed-gene-1.105-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.105&CDS=1-2628	YGL227W
1156	OG0001156	snap_masked-LANO0D-processed-gene-1.126-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.126&CDS=1-264	YGL226C-A
1157	OG0001157	snap_masked-LANO0D-processed-gene-1.106-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.106&CDS=1-426	YGL226W
1158	OG0001158	snap_masked-LANO0D-processed-gene-1.127-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.127&CDS=1-552	YER042W
1159	OG0001159	snap_masked-LANO0D-processed-gene-1.128-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.128&CDS=1-2034	YER041W
1160	OG0001160	snap_masked-LANO0D-processed-gene-1.129-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.129&CDS=1-2205	YER040W
1161	OG0001161	snap_masked-LANO0D-processed-gene-1.107-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.107&CDS=1-990	YGL225W
1162	OG0001162	snap_masked-LANO0D-processed-gene-1.108-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.108&CDS=1-1224	YER038C
1163	OG0001163	snap_masked-LANO0D-processed-gene-1.130-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.130&CDS=1-840	YGL224C
1164	OG0001164	snap_masked-LANO0D-processed-gene-1.131-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.131&CDS=1-1599	YGL223C
1165	OG0001165	snap_masked-LANO0D-processed-gene-1.109-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.109&CDS=1-1821	YER036C
1166	OG0001166	snap_masked-LANO0D-processed-gene-1.133-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.133&CDS=1-1110	YGL222C
1167	OG0001167	snap_masked-LANO0D-processed-gene-1.134-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.134&CDS=1-507	YER034W
1168	OG0001168	snap_masked-LANO0D-processed-gene-1.135-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.135&CDS=1-855	YGL221C
1169	OG0001169	snap_masked-LANO0D-processed-gene-1.110-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.110&CDS=1-252	YGL220W
1170	OG0001170	snap_masked-LANO0D-processed-gene-1.136-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.136&CDS=1-1647	YGL219C
1171	OG0001171	snap_masked-LANO0D-processed-gene-1.111-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.111&CDS=1-2427	YGL216W
1172	OG0001172	snap_masked-LANO0D-processed-gene-1.112-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.112&CDS=1-1230	YGL215W
1173	OG0001173	snap_masked-LANO0D-processed-gene-1.137-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.137&CDS=1-1260	YGL213C
1174	OG0001174	snap_masked-LANO0D-processed-gene-1.113-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.113&CDS=1-1044	YGL212W
1175	OG0001175	snap_masked-LANO0D-processed-gene-1.114-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.114&CDS=1-1119	YGL211W
1176	OG0001176	snap_masked-LANO0D-processed-gene-1.115-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.115&CDS=1-2535	YER033C
1177	OG0001177	snap_masked-LANO0D-processed-gene-1.138-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.138&CDS=1-2706	YER032W
1178	OG0001178	snap_masked-LANO0D-processed-gene-1.116-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.116&CDS=1-723	YGL210W
1179	OG0001179	snap_masked-LANO0D-processed-gene-1.139-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.139&CDS=1-423	YER030W
1180	OG0001180	snap_masked-LANO0D-processed-gene-1.117-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.117&CDS=1-513	YER029C
1181	OG0001181	augustus_masked-LANO0D-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-1.23&CDS=1-918	YGL209W
1182	OG0001182	snap_masked-LANO0D-processed-gene-1.118-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.118&CDS=1-1428	YER027C
1183	OG0001183	snap_masked-LANO0D-processed-gene-1.119-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.119&CDS=1-3099	YGL207W
1184	OG0001184	snap_masked-LANO0D-processed-gene-1.141-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.141&CDS=1-4971	YGL206C
1185	OG0001185	snap_masked-LANO0D-processed-gene-1.120-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.120&CDS=1-2217	YGL205W
1186	OG0001186	snap_masked-LANO0D-processed-gene-1.121-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-1.121&CDS=1-804	YER026C
1187	OG0001187	augustus_masked-LANO0D-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-1.44&CDS=1-2046	YGL203C
1188	OG0001188	snap_masked-LANO0D-processed-gene-2.1-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.1&CDS=1-1650	YKL217W
1189	OG0001189	snap_masked-LANO0D-processed-gene-2.2-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.2&CDS=1-2745	YPR160W
1190	OG0001190	snap_masked-LANO0D-processed-gene-2.3-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.3&CDS=1-3126	YGL201C
1191	OG0001191	snap_masked-LANO0D-processed-gene-2.21-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.21&CDS=1-2121	YPR159W
1192	OG0001192	snap_masked-LANO0D-processed-gene-2.23-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.23&CDS=1-1296	YGR142W
1193	OG0001193	snap_masked-LANO0D-processed-gene-2.24-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.24&CDS=1-1329	YGR141W
1194	OG0001194	snap_masked-LANO0D-processed-gene-2.25-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.25&CDS=1-2433	YGR140W
1195	OG0001195	snap_masked-LANO0D-processed-gene-2.6-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.6&CDS=1-1809	YPR155C
1196	OG0001196	augustus_masked-LANO0D-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-2.119&CDS=1-990	YPR153W
1197	OG0001197	snap_masked-LANO0D-processed-gene-2.28-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.28&CDS=1-753	YGR135W
1198	OG0001198	snap_masked-LANO0D-processed-gene-2.7-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.7&CDS=1-1353	YPR152C
1199	OG0001199	snap_masked-LANO0D-processed-gene-2.30-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.30&CDS=1-3405	YGR134W
1200	OG0001200	snap_masked-LANO0D-processed-gene-2.8-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.8&CDS=1-990	YOR142W
1201	OG0001201	snap_masked-LANO0D-processed-gene-2.31-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.31&CDS=1-927	YOR143C
1202	OG0001202	snap_masked-LANO0D-processed-gene-2.9-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.9&CDS=1-990	YDR392W
1203	OG0001203	snap_masked-LANO0D-processed-gene-2.32-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.32&CDS=1-2340	YOR144C
1204	OG0001204	snap_masked-LANO0D-processed-gene-2.33-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.33&CDS=1-831	YOR145C
1205	OG0001205	snap_masked-LANO0D-processed-gene-2.10-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.10&CDS=1-1782	YOR147W
1206	OG0001206	snap_masked-LANO0D-processed-gene-2.34-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.34&CDS=1-606	YOR148C
1207	OG0001207	snap_masked-LANO0D-processed-gene-2.11-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.11&CDS=1-1218	YDR393W
1208	OG0001208	snap_masked-LANO0D-processed-gene-2.12-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.12&CDS=1-1275	YDR394W
1209	OG0001209	snap_masked-LANO0D-processed-gene-2.35-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.35&CDS=1-1521	YOR149C
1210	OG0001210	snap_masked-LANO0D-processed-gene-2.13-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.13&CDS=1-2805	YDR395W
1211	OG0001211	snap_masked-LANO0D-processed-gene-2.36-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.36&CDS=1-486	YDR397C
1212	OG0001212	snap_masked-LANO0D-processed-gene-2.14-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.14&CDS=1-1905	YDR398W
1213	OG0001213	snap_masked-LANO0D-processed-gene-2.15-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.15&CDS=1-651	YDR399W
1214	OG0001214	snap_masked-LANO0D-processed-gene-2.16-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.16&CDS=1-1032	YDR400W
1215	OG0001215	augustus_masked-LANO0D-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-2.130&CDS=1-1530	YDR402C
1216	OG0001216	snap_masked-LANO0D-processed-gene-2.17-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.17&CDS=1-1557	YDR403W
1217	OG0001217	snap_masked-LANO0D-processed-gene-2.39-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.39&CDS=1-513	YDR404C
1218	OG0001218	snap_masked-LANO0D-processed-gene-2.18-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.18&CDS=1-480	YOR150W
1219	OG0001219	snap_masked-LANO0D-processed-gene-2.40-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.40&CDS=1-3657	YOR151C
1220	OG0001220	snap_masked-LANO0D-processed-gene-2.19-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.19&CDS=1-750	YDR405W
1221	OG0001221	snap_masked-LANO0D-processed-gene-2.42-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.42&CDS=1-1341	YOR155C
1222	OG0001222	snap_masked-LANO0D-processed-gene-2.20-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-2.20&CDS=1-1638	YOR161C
1223	OG0001223	augustus_masked-LANO0D-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-2.136&CDS=1-2898	YOR160W
1224	OG0001224	snap_masked-LANO0D-processed-gene-3.47-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.47&CDS=1-282	YOR159C
1225	OG0001225	snap_masked-LANO0D-processed-gene-3.50-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.50&CDS=1-912	YOR158W
1226	OG0001226	snap_masked-LANO0D-processed-gene-3.51-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.51&CDS=1-3669	YDR407C
1227	OG0001227	snap_masked-LANO0D-processed-gene-3.48-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.48&CDS=1-789	YOR157C
1228	OG0001228	snap_masked-LANO0D-processed-gene-3.52-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.52&CDS=1-636	YDR408C
1229	OG0001229	snap_masked-LANO0D-processed-gene-3.49-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.49&CDS=1-2682	YOR156C
1230	OG0001230	genemark-LANO0D-processed-gene-3.117-mRNA-1_1&gene=genemark-LANO0D-processed-gene-3.117&CDS=1-1473	YDR410C
1231	OG0001231	snap_masked-LANO0D-processed-gene-3.74-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.74&CDS=1-1917	YML042W
1232	OG0001232	snap_masked-LANO0D-processed-gene-3.75-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.75&CDS=1-933	YDR411C
1233	OG0001233	snap_masked-LANO0D-processed-gene-3.53-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.53&CDS=1-693	YDR412W
1234	OG0001234	snap_masked-LANO0D-processed-gene-3.76-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.76&CDS=1-1137	YDR414C
1235	OG0001235	snap_masked-LANO0D-processed-gene-3.54-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.54&CDS=1-1056	YEL050C
1236	OG0001236	snap_masked-LANO0D-processed-gene-3.78-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.78&CDS=1-1119	YDR415C
1237	OG0001237	snap_masked-LANO0D-processed-gene-3.79-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.79&CDS=1-810	YEL051W
1238	OG0001238	snap_masked-LANO0D-processed-gene-3.55-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.55&CDS=1-2439	YDR416W
1239	OG0001239	snap_masked-LANO0D-processed-gene-3.80-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.80&CDS=1-1875	YDR419W
1240	OG0001240	snap_masked-LANO0D-processed-gene-3.83-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.83&CDS=1-2280	YEL053C
1241	OG0001241	snap_masked-LANO0D-processed-gene-3.56-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.56&CDS=1-1422	YEL052W
1242	OG0001242	snap_masked-LANO0D-processed-gene-3.58-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.58&CDS=1-1938	YML006C
1243	OG0001243	snap_masked-LANO0D-processed-gene-3.84-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.84&CDS=1-2121	YDR422C
1244	OG0001244	snap_masked-LANO0D-processed-gene-3.61-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.61&CDS=1-1119	YML008C
1245	OG0001245	snap_masked-LANO0D-processed-gene-3.86-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.86&CDS=1-270	YDR424C
1246	OG0001246	snap_masked-LANO0D-processed-gene-3.64-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.64&CDS=1-1830	YDR425W
1247	OG0001247	snap_masked-LANO0D-processed-gene-3.65-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.65&CDS=1-1182	YDR427W
1248	OG0001248	snap_masked-LANO0D-processed-gene-3.87-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.87&CDS=1-729	YDR428C
1249	OG0001249	snap_masked-LANO0D-processed-gene-3.88-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.88&CDS=1-849	YDR429C
1250	OG0001250	snap_masked-LANO0D-processed-gene-3.66-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.66&CDS=1-210	YML009C
1251	OG0001251	snap_masked-LANO0D-processed-gene-3.89-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.89&CDS=1-3063	YML010W
1252	OG0001252	snap_masked-LANO0D-processed-gene-3.67-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.67&CDS=1-531	YML011C
1253	OG0001253	maker-LANO0D-augustus-gene-3.1-mRNA-1_1&gene=maker-LANO0D-augustus-gene-3.1&CDS=1-3507	YDR430C
1254	OG0001254	snap_masked-LANO0D-processed-gene-3.68-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.68&CDS=1-1092	YDR432W
1255	OG0001255	snap_masked-LANO0D-processed-gene-3.92-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.92&CDS=1-1770	YML013W
1256	OG0001256	snap_masked-LANO0D-processed-gene-3.93-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.93&CDS=1-828	YML014W
1257	OG0001257	snap_masked-LANO0D-processed-gene-3.69-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.69&CDS=1-1551	YDR434W
1258	OG0001258	snap_masked-LANO0D-processed-gene-3.70-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.70&CDS=1-1038	YML015C
1259	OG0001259	snap_masked-LANO0D-processed-gene-3.94-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.94&CDS=1-981	YDR435C
1260	OG0001260	snap_masked-LANO0D-processed-gene-3.71-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-3.71&CDS=1-1158	YMR026C
1261	OG0001261	augustus_masked-LANO0D-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-4.10&CDS=1-744	YMR025W
1262	OG0001262	snap_masked-LANO0D-processed-gene-4.55-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.55&CDS=1-1122	YMR024W
1263	OG0001263	snap_masked-LANO0D-processed-gene-4.52-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.52&CDS=1-1488	YMR023C
1264	OG0001264	snap_masked-LANO0D-processed-gene-4.57-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.57&CDS=1-333	YKL061W
1265	OG0001265	augustus_masked-LANO0D-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-4.9&CDS=1-1590	YKL047W
1266	OG0001266	snap_masked-LANO0D-processed-gene-4.58-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.58&CDS=1-1344	YKL046C
1267	OG0001267	snap_masked-LANO0D-processed-gene-4.80-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.80&CDS=1-495	YMR022W
1268	OG0001268	augustus_masked-LANO0D-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-4.15&CDS=1-960	YMR021C
1269	OG0001269	snap_masked-LANO0D-processed-gene-4.81-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.81&CDS=1-1527	YMR020W
1270	OG0001270	snap_masked-LANO0D-processed-gene-4.60-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.60&CDS=1-1518	YKL045W
1271	OG0001271	augustus_masked-LANO0D-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-4.38&CDS=1-1680	YMR019W
1272	OG0001272	snap_masked-LANO0D-processed-gene-4.61-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.61&CDS=1-2403	YKL043W
1273	OG0001273	snap_masked-LANO0D-processed-gene-4.62-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.62&CDS=1-987	YKL042W
1274	OG0001274	snap_masked-LANO0D-processed-gene-4.63-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.63&CDS=1-1593	YMR015C
1275	OG0001275	snap_masked-LANO0D-processed-gene-4.84-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.84&CDS=1-1491	YMR014W
1276	OG0001276	snap_masked-LANO0D-processed-gene-4.64-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.64&CDS=1-1509	YMR013C
1277	OG0001277	snap_masked-LANO0D-processed-gene-4.85-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.85&CDS=1-3723	YMR012W
1278	OG0001278	snap_masked-LANO0D-processed-gene-4.65-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.65&CDS=1-669	YKL041W
1279	OG0001279	maker-LANO0D-snap-gene-4.3-mRNA-1_1&gene=maker-LANO0D-snap-gene-4.3&CDS=1-1134	YHL020C
1280	OG0001280	snap_masked-LANO0D-processed-gene-4.87-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.87&CDS=1-1515	YHL019C
1281	OG0001281	snap_masked-LANO0D-processed-gene-4.67-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.67&CDS=1-324	YHL018W
1282	OG0001282	snap_masked-LANO0D-processed-gene-4.88-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.88&CDS=1-738	YKL040C
1283	OG0001283	snap_masked-LANO0D-processed-gene-4.68-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.68&CDS=1-1485	YKL039W
1284	OG0001284	snap_masked-LANO0D-processed-gene-4.89-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.89&CDS=1-2157	YHL016C
1285	OG0001285	snap_masked-LANO0D-processed-gene-4.69-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.69&CDS=1-354	YHL015W
1286	OG0001286	snap_masked-LANO0D-processed-gene-4.91-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.91&CDS=1-1251	YHL014C
1287	OG0001287	snap_masked-LANO0D-processed-gene-4.92-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.92&CDS=1-945	YHL013C
1288	OG0001288	snap_masked-LANO0D-processed-gene-4.70-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.70&CDS=1-2892	YKL038W
1289	OG0001289	augustus_masked-LANO0D-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-4.26&CDS=1-1497	YKL035W
1290	OG0001290	snap_masked-LANO0D-processed-gene-4.72-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.72&CDS=1-2247	YKL034W
1291	OG0001291	snap_masked-LANO0D-processed-gene-4.73-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.73&CDS=1-669	YKL033W-A
1292	OG0001292	snap_masked-LANO0D-processed-gene-4.93-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.93&CDS=1-960	YHL011C
1293	OG0001293	augustus_masked-LANO0D-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-4.49&CDS=1-1563	YHL010C
1294	OG0001294	augustus_masked-LANO0D-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-4.30&CDS=1-3177	YKL033W
1295	OG0001295	snap_masked-LANO0D-processed-gene-4.76-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.76&CDS=1-1920	YHL008C
1296	OG0001296	snap_masked-LANO0D-processed-gene-4.77-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.77&CDS=1-3801	YMR076C
1297	OG0001297	snap_masked-LANO0D-processed-gene-4.95-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.95&CDS=1-1941	YMR075W
1298	OG0001298	maker-LANO0D-snap-gene-4.2-mRNA-1_1&gene=maker-LANO0D-snap-gene-4.2&CDS=1-405	YMR074C
1299	OG0001299	augustus_masked-LANO0D-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-4.35&CDS=1-654	YMR073C
1300	OG0001300	snap_masked-LANO0D-processed-gene-4.96-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-4.96&CDS=1-1407	YKL032C
1301	OG0001301	maker-LANO0D-snap-gene-5.154-mRNA-1_1&gene=maker-LANO0D-snap-gene-5.154&CDS=1-501	YMR071C
1302	OG0001302	augustus_masked-LANO0D-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-5.107&CDS=1-840	YMR069W
1303	OG0001303	snap_masked-LANO0D-processed-gene-5.54-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.54&CDS=1-1293	YHR004C
1304	OG0001304	snap_masked-LANO0D-processed-gene-5.55-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.55&CDS=1-2520	YJL212C
1305	OG0001305	snap_masked-LANO0D-processed-gene-5.81-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.81&CDS=1-1914	YKL029C
1306	OG0001306	snap_masked-LANO0D-processed-gene-5.58-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.58&CDS=1-1398	YKL028W
1307	OG0001307	snap_masked-LANO0D-processed-gene-5.59-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.59&CDS=1-1341	YKL027W
1308	OG0001308	snap_masked-LANO0D-processed-gene-5.82-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.82&CDS=1-1047	YHR002W
1309	OG0001309	snap_masked-LANO0D-processed-gene-5.60-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.60&CDS=1-891	YBR291C
1310	OG0001310	maker-LANO0D-augustus-gene-5.150-mRNA-1_1&gene=maker-LANO0D-augustus-gene-5.150&CDS=1-2985	YBR289W
1311	OG0001311	augustus_masked-LANO0D-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-5.114&CDS=1-4047	YKR009C
1312	OG0001312	augustus_masked-LANO0D-processed-gene-5.133-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-5.133&CDS=1-2172	YKR008W
1313	OG0001313	snap_masked-LANO0D-processed-gene-5.63-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.63&CDS=1-747	YKR006C
1314	OG0001314	snap_masked-LANO0D-processed-gene-5.64-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.64&CDS=1-1137	YKR004C
1315	OG0001315	snap_masked-LANO0D-processed-gene-5.88-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.88&CDS=1-1320	YHR001W
1316	OG0001316	snap_masked-LANO0D-processed-gene-5.89-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.89&CDS=1-1788	YKR002W
1317	OG0001317	snap_masked-LANO0D-processed-gene-5.65-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.65&CDS=1-2055	YKR001C
1318	OG0001318	maker-LANO0D-snap-gene-5.156-mRNA-1_1&gene=maker-LANO0D-snap-gene-5.156&CDS=1-594	YKL001C
1319	OG0001319	maker-LANO0D-snap-gene-5.157-mRNA-1_1&gene=maker-LANO0D-snap-gene-5.157&CDS=1-690	YKL002W
1320	OG0001320	snap_masked-LANO0D-processed-gene-5.67-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.67&CDS=1-387	YKL003C
1321	OG0001321	genemark-LANO0D-processed-gene-5.38-mRNA-1_1&gene=genemark-LANO0D-processed-gene-5.38&CDS=1-1242	YKL004W
1322	OG0001322	augustus_masked-LANO0D-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-5.119&CDS=1-1656	YKL005C
1323	OG0001323	snap_masked-LANO0D-processed-gene-5.69-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.69&CDS=1-291	YKL006C-A
1324	OG0001324	snap_masked-LANO0D-processed-gene-5.93-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.93&CDS=1-795	YKL007W
1325	OG0001325	snap_masked-LANO0D-processed-gene-5.94-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.94&CDS=1-1485	YHL002W
1326	OG0001326	snap_masked-LANO0D-processed-gene-5.70-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.70&CDS=1-1260	YHL003C
1327	OG0001327	snap_masked-LANO0D-processed-gene-5.95-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-5.95&CDS=1-1230	YHL004W
