	OrthologID	Nakaseomyces_bracarensis	Saccharomyces_cerevisiae
597	OG0000597	augustus_masked-CABR0S04-processed-gene-5.163-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.163&CDS=1-1194	YML037C
598	OG0000598	genemark-CABR0S04-processed-gene-5.75-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-5.75&CDS=1-528	YML036W
599	OG0000599	snap_masked-CABR0S04-processed-gene-5.40-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.40&CDS=1-648	YBR072W
600	OG0000600	genemark-CABR0S04-processed-gene-5.76-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-5.76&CDS=1-720	YBR070C
601	OG0000601	genemark-CABR0S04-processed-gene-5.80-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-5.80&CDS=1-1101	YBR065C
602	OG0000602	maker-CABR0S04-snap-gene-5.66-mRNA-1_1&gene=maker-CABR0S04-snap-gene-5.66&CDS=1-1458	YDL106C
603	OG0000603	genemark-CABR0S04-processed-gene-5.81-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-5.81&CDS=1-1104	YDL105W
604	OG0000604	augustus_masked-CABR0S04-processed-gene-5.168-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.168&CDS=1-2352	YDL104C
605	OG0000605	snap_masked-CABR0S04-processed-gene-5.17-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.17&CDS=1-3519	YAL001C
606	OG0000606	snap_masked-CABR0S04-processed-gene-5.45-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.45&CDS=1-3753	YAL002W
607	OG0000607	snap_masked-CABR0S04-processed-gene-5.18-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.18&CDS=1-1905	YGL003C
608	OG0000608	augustus_masked-CABR0S04-processed-gene-5.143-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.143&CDS=1-1206	YGL004C
609	OG0000609	augustus_masked-CABR0S04-processed-gene-5.144-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.144&CDS=1-795	YGL005C
610	OG0000610	snap_masked-CABR0S04-processed-gene-5.49-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.49&CDS=1-3351	YGL006W
611	OG0000611	augustus_masked-CABR0S04-processed-gene-5.172-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.172&CDS=1-3192	YGL013C
612	OG0000612	genemark-CABR0S04-processed-gene-5.116-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-5.116&CDS=1-762	YGL011C
613	OG0000613	genemark-CABR0S04-processed-gene-5.117-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-5.117&CDS=1-846	YOR311C
614	OG0000614	augustus_masked-CABR0S04-processed-gene-5.148-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.148&CDS=1-804	YOR315W
615	OG0000615	genemark-CABR0S04-processed-gene-5.91-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-5.91&CDS=1-630	YOR319W
616	OG0000616	genemark-CABR0S04-processed-gene-5.119-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-5.119&CDS=1-1476	YOR320C
617	OG0000617	snap_masked-CABR0S04-processed-gene-5.55-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.55&CDS=1-1005	YOL053W
618	OG0000618	snap_masked-CABR0S04-processed-gene-5.56-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.56&CDS=1-1185	YOL054W
619	OG0000619	augustus_masked-CABR0S04-processed-gene-5.179-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.179&CDS=1-1074	YGR142W
620	OG0000620	snap_masked-CABR0S05-processed-gene-0.102-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.102&CDS=1-2217	YKL025C
621	OG0000621	snap_masked-CABR0S05-processed-gene-0.103-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.103&CDS=1-924	YKL024C
622	OG0000622	snap_masked-CABR0S05-processed-gene-0.104-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.104&CDS=1-2136	YKL022C
623	OG0000623	snap_masked-CABR0S05-processed-gene-0.86-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.86&CDS=1-1011	YKL019W
624	OG0000624	snap_masked-CABR0S05-processed-gene-0.105-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.105&CDS=1-246	YKL018C-A
625	OG0000625	snap_masked-CABR0S05-processed-gene-0.87-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.87&CDS=1-978	YKL018W
626	OG0000626	snap_masked-CABR0S05-processed-gene-0.106-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.106&CDS=1-2091	YKL017C
627	OG0000627	snap_masked-CABR0S05-processed-gene-0.107-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.107&CDS=1-528	YKL016C
628	OG0000628	snap_masked-CABR0S05-processed-gene-0.89-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.89&CDS=1-2409	YKL015W
629	OG0000629	snap_masked-CABR0S05-processed-gene-0.108-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.108&CDS=1-5034	YKL014C
630	OG0000630	snap_masked-CABR0S05-processed-gene-0.109-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.109&CDS=1-1338	YIR012W
631	OG0000631	genemark-CABR0S05-processed-gene-0.42-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-0.42&CDS=1-864	YIR011C
632	OG0000632	snap_masked-CABR0S05-processed-gene-0.110-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.110&CDS=1-1398	YIR010W
633	OG0000633	genemark-CABR0S05-processed-gene-0.43-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-0.43&CDS=1-2178	YIR007W
634	OG0000634	snap_masked-CABR0S05-processed-gene-0.111-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.111&CDS=1-1221	YIR008C
635	OG0000635	snap_masked-CABR0S05-processed-gene-0.91-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.91&CDS=1-339	YIR009W
636	OG0000636	snap_masked-CABR0S05-processed-gene-0.112-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.112&CDS=1-1053	YLR097C
637	OG0000637	snap_masked-CABR0S05-processed-gene-0.114-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.114&CDS=1-2601	YPR008W
638	OG0000638	augustus_masked-CABR0S05-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-0.7&CDS=1-1764	YPR007C
639	OG0000639	snap_masked-CABR0S05-processed-gene-0.93-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.93&CDS=1-1716	YPR006C
640	OG0000640	snap_masked-CABR0S05-processed-gene-0.94-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.94&CDS=1-852	YPR005C
641	OG0000641	snap_masked-CABR0S05-processed-gene-0.95-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.95&CDS=1-1005	YPR004C
642	OG0000642	snap_masked-CABR0S05-processed-gene-0.96-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.96&CDS=1-2190	YPR003C
643	OG0000643	snap_masked-CABR0S05-processed-gene-0.97-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.97&CDS=1-1341	YFR005C
644	OG0000644	genemark-CABR0S05-processed-gene-0.70-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-0.70&CDS=1-918	YFR004W
645	OG0000645	genemark-CABR0S05-processed-gene-0.72-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-0.72&CDS=1-1527	YPR002W
646	OG0000646	snap_masked-CABR0S05-processed-gene-0.117-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.117&CDS=1-1422	YPR001W
647	OG0000647	genemark-CABR0S05-processed-gene-0.74-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-0.74&CDS=1-1164	YPL001W
648	OG0000648	snap_masked-CABR0S05-processed-gene-0.98-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.98&CDS=1-714	YPL002C
649	OG0000649	snap_masked-CABR0S05-processed-gene-0.119-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.119&CDS=1-1311	YFL001W
650	OG0000650	snap_masked-CABR0S05-processed-gene-0.99-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.99&CDS=1-1851	YFL002C
651	OG0000651	snap_masked-CABR0S05-processed-gene-0.120-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.120&CDS=1-1317	YPL003W
652	OG0000652	snap_masked-CABR0S05-processed-gene-0.121-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.121&CDS=1-1857	YPL005W
653	OG0000653	snap_masked-CABR0S05-processed-gene-1.84-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.84&CDS=1-3537	YPL006W
654	OG0000654	snap_masked-CABR0S05-processed-gene-1.82-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.82&CDS=1-1761	YPL007C
655	OG0000655	genemark-CABR0S05-processed-gene-1.44-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-1.44&CDS=1-2502	YPL008W
656	OG0000656	genemark-CABR0S05-processed-gene-1.42-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-1.42&CDS=1-3051	YPL009C
657	OG0000657	snap_masked-CABR0S05-processed-gene-1.104-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.104&CDS=1-558	YPL010W
658	OG0000658	snap_masked-CABR0S05-processed-gene-1.85-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.85&CDS=1-2673	YOR211C
659	OG0000659	snap_masked-CABR0S05-processed-gene-1.105-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.105&CDS=1-210	YOR210W
660	OG0000660	snap_masked-CABR0S05-processed-gene-1.86-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.86&CDS=1-1290	YOR209C
661	OG0000661	snap_masked-CABR0S05-processed-gene-1.107-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.107&CDS=1-2043	YOR208W
662	OG0000662	genemark-CABR0S05-processed-gene-1.47-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-1.47&CDS=1-570	YOR215C
663	OG0000663	genemark-CABR0S05-processed-gene-1.49-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-1.49&CDS=1-675	YOR213C
664	OG0000664	genemark-CABR0S05-processed-gene-1.66-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-1.66&CDS=1-1254	YOR212W
665	OG0000665	snap_masked-CABR0S05-processed-gene-1.108-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.108&CDS=1-1401	YOR216C
666	OG0000666	snap_masked-CABR0S05-processed-gene-1.90-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.90&CDS=1-2661	YOR217W
667	OG0000667	augustus_masked-CABR0S05-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-1.28&CDS=1-2604	YOR219C
668	OG0000668	snap_masked-CABR0S05-processed-gene-1.91-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.91&CDS=1-2403	YFL009W
669	OG0000669	augustus_masked-CABR0S05-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-1.12&CDS=1-1680	YPL020C
670	OG0000670	snap_masked-CABR0S05-processed-gene-1.110-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.110&CDS=1-1113	YPL015C
671	OG0000671	snap_masked-CABR0S05-processed-gene-1.94-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.94&CDS=1-963	YPL014W
672	OG0000672	snap_masked-CABR0S05-processed-gene-1.111-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.111&CDS=1-363	YPL013C
673	OG0000673	snap_masked-CABR0S05-processed-gene-1.95-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.95&CDS=1-3642	YPL012W
674	OG0000674	snap_masked-CABR0S05-processed-gene-1.112-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.112&CDS=1-1212	YPL011C
675	OG0000675	snap_masked-CABR0S05-processed-gene-1.96-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.96&CDS=1-843	YML110C
676	OG0000676	snap_masked-CABR0S05-processed-gene-1.114-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.114&CDS=1-1011	YML112W
677	OG0000677	snap_masked-CABR0S05-processed-gene-1.115-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.115&CDS=1-672	YML113W
678	OG0000678	snap_masked-CABR0S05-processed-gene-1.97-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.97&CDS=1-1920	YML114C
679	OG0000679	genemark-CABR0S05-processed-gene-1.57-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-1.57&CDS=1-1542	YML115C
680	OG0000680	snap_masked-CABR0S05-processed-gene-1.117-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.117&CDS=1-3195	YML117W
681	OG0000681	snap_masked-CABR0S05-processed-gene-1.119-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.119&CDS=1-1122	YML119W
682	OG0000682	snap_masked-CABR0S05-processed-gene-1.99-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.99&CDS=1-1569	YML120C
683	OG0000683	genemark-CABR0S05-processed-gene-1.79-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-1.79&CDS=1-942	YML121W
684	OG0000684	snap_masked-CABR0S05-processed-gene-1.100-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.100&CDS=1-1761	YML123C
685	OG0000685	snap_masked-CABR0S05-processed-gene-1.101-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.101&CDS=1-1338	YML085C
686	OG0000686	snap_masked-CABR0S05-processed-gene-1.102-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.102&CDS=1-936	YML125C
687	OG0000687	snap_masked-CABR0S05-processed-gene-1.121-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.121&CDS=1-1842	YML127W
688	OG0000688	snap_masked-CABR0S05-processed-gene-1.103-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.103&CDS=1-1536	YML128C
689	OG0000689	snap_masked-CABR0S05-processed-gene-2.2-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.2&CDS=1-876	YDR233C
690	OG0000690	snap_masked-CABR0S05-processed-gene-2.5-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.5&CDS=1-1551	YDR232W
691	OG0000691	augustus_masked-CABR0S05-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-2.51&CDS=1-1407	YDR254W
692	OG0000692	snap_masked-CABR0S05-processed-gene-2.6-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.6&CDS=1-1284	YDR255C
693	OG0000693	maker-CABR0S05-snap-gene-2.141-mRNA-1_1&gene=maker-CABR0S05-snap-gene-2.141&CDS=1-846	YDR064W
694	OG0000694	snap_masked-CABR0S05-processed-gene-2.35-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.35&CDS=1-1698	YDR062W
695	OG0000695	snap_masked-CABR0S05-processed-gene-2.36-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.36&CDS=1-1665	YDR061W
696	OG0000696	augustus_masked-CABR0S05-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-2.55&CDS=1-285	YBL026W
697	OG0000697	snap_masked-CABR0S05-processed-gene-2.8-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.8&CDS=1-1149	YDR065W
698	OG0000698	snap_masked-CABR0S05-processed-gene-2.38-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.38&CDS=1-657	YDR067C
699	OG0000699	genemark-CABR0S05-processed-gene-2.104-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-2.104&CDS=1-1113	YDR068W
700	OG0000700	snap_masked-CABR0S05-processed-gene-2.40-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.40&CDS=1-273	YDR070C
701	OG0000701	snap_masked-CABR0S05-processed-gene-2.41-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.41&CDS=1-576	YDR071C
702	OG0000702	snap_masked-CABR0S05-processed-gene-2.42-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.42&CDS=1-1593	YDR072C
703	OG0000703	snap_masked-CABR0S05-processed-gene-2.9-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.9&CDS=1-267	YDR073W
704	OG0000704	snap_masked-CABR0S05-processed-gene-2.10-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.10&CDS=1-2700	YDR074W
705	OG0000705	snap_masked-CABR0S05-processed-gene-2.11-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.11&CDS=1-927	YDR075W
706	OG0000706	snap_masked-CABR0S05-processed-gene-2.12-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.12&CDS=1-1026	YDR076W
707	OG0000707	genemark-CABR0S05-processed-gene-2.134-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-2.134&CDS=1-720	YDR078C
708	OG0000708	snap_masked-CABR0S05-processed-gene-2.14-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.14&CDS=1-315	YDR079W
709	OG0000709	snap_masked-CABR0S05-processed-gene-2.44-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.44&CDS=1-222	YDR079C-A
710	OG0000710	augustus_masked-CABR0S05-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-2.64&CDS=1-2871	YDR080W
711	OG0000711	snap_masked-CABR0S05-processed-gene-2.45-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.45&CDS=1-2469	YDR081C
712	OG0000712	augustus_masked-CABR0S05-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-2.65&CDS=1-1356	YDR082W
713	OG0000713	snap_masked-CABR0S05-processed-gene-2.17-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.17&CDS=1-1134	YDR083W
714	OG0000714	snap_masked-CABR0S05-processed-gene-2.46-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.46&CDS=1-588	YDR084C
715	OG0000715	snap_masked-CABR0S05-processed-gene-2.18-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.18&CDS=1-2157	YOR361C
716	OG0000716	genemark-CABR0S05-processed-gene-2.114-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-2.114&CDS=1-1731	YOR360C
717	OG0000717	genemark-CABR0S05-processed-gene-2.137-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-2.137&CDS=1-1722	YOR359W
718	OG0000718	snap_masked-CABR0S05-processed-gene-2.47-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.47&CDS=1-435	YOR358W
719	OG0000719	snap_masked-CABR0S05-processed-gene-2.22-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.22&CDS=1-1911	YNL094W
720	OG0000720	snap_masked-CABR0S05-processed-gene-2.23-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.23&CDS=1-1188	YNL092W
721	OG0000721	snap_masked-CABR0S05-processed-gene-2.24-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.24&CDS=1-3936	YNL091W
722	OG0000722	snap_masked-CABR0S05-processed-gene-2.25-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.25&CDS=1-564	YNL090W
723	OG0000723	snap_masked-CABR0S05-processed-gene-2.28-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.28&CDS=1-4206	YNL088W
724	OG0000724	snap_masked-CABR0S05-processed-gene-2.29-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.29&CDS=1-300	YNL086W
725	OG0000725	snap_masked-CABR0S05-processed-gene-2.30-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.30&CDS=1-2418	YNL085W
726	OG0000726	snap_masked-CABR0S05-processed-gene-2.48-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.48&CDS=1-1044	YNL084C
727	OG0000727	snap_masked-CABR0S05-processed-gene-2.31-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.31&CDS=1-1560	YNL083W
728	OG0000728	snap_masked-CABR0S05-processed-gene-3.98-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.98&CDS=1-2724	YNL082W
729	OG0000729	snap_masked-CABR0S05-processed-gene-3.101-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.101&CDS=1-363	YNL081C
730	OG0000730	snap_masked-CABR0S05-processed-gene-3.102-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.102&CDS=1-1113	YNL080C
731	OG0000731	snap_masked-CABR0S05-processed-gene-3.99-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.99&CDS=1-1920	YGL099W
732	OG0000732	snap_masked-CABR0S05-processed-gene-3.100-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.100&CDS=1-663	YGL098W
733	OG0000733	snap_masked-CABR0S05-processed-gene-3.104-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.104&CDS=1-1413	YGL097W
734	OG0000734	genemark-CABR0S05-processed-gene-3.13-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-3.13&CDS=1-684	YMR090W
735	OG0000735	genemark-CABR0S05-processed-gene-3.32-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-3.32&CDS=1-1323	YMR091C
736	OG0000736	snap_masked-CABR0S05-processed-gene-3.125-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.125&CDS=1-1839	YMR092C
737	OG0000737	snap_masked-CABR0S05-processed-gene-3.106-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.106&CDS=1-1554	YMR093W
738	OG0000738	augustus_masked-CABR0S05-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-3.62&CDS=1-1401	YMR094W
739	OG0000739	snap_masked-CABR0S05-processed-gene-3.126-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.126&CDS=1-1038	YMR097C
740	OG0000740	genemark-CABR0S05-processed-gene-3.35-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-3.35&CDS=1-1782	YMR098C
741	OG0000741	snap_masked-CABR0S05-processed-gene-3.128-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.128&CDS=1-1446	YKL112W
742	OG0000742	snap_masked-CABR0S05-processed-gene-3.108-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.108&CDS=1-3783	YMR012W
743	OG0000743	genemark-CABR0S05-processed-gene-3.37-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-3.37&CDS=1-1428	YMR013C
744	OG0000744	snap_masked-CABR0S05-processed-gene-3.109-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.109&CDS=1-1416	YMR014W
745	OG0000745	snap_masked-CABR0S05-processed-gene-3.130-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.130&CDS=1-1566	YMR015C
746	OG0000746	genemark-CABR0S05-processed-gene-3.18-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-3.18&CDS=1-1518	YMR020W
747	OG0000747	augustus_masked-CABR0S05-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-3.87&CDS=1-1314	YMR021C
748	OG0000748	snap_masked-CABR0S05-processed-gene-3.111-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.111&CDS=1-495	YMR022W
749	OG0000749	snap_masked-CABR0S05-processed-gene-3.132-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.132&CDS=1-1491	YMR023C
750	OG0000750	snap_masked-CABR0S05-processed-gene-3.112-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.112&CDS=1-1101	YMR024W
751	OG0000751	augustus_masked-CABR0S05-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-3.68&CDS=1-855	YMR025W
752	OG0000752	snap_masked-CABR0S05-processed-gene-3.133-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.133&CDS=1-1281	YMR026C
753	OG0000753	snap_masked-CABR0S05-processed-gene-3.114-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.114&CDS=1-1407	YMR027W
754	OG0000754	snap_masked-CABR0S05-processed-gene-3.115-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.115&CDS=1-1113	YMR028W
755	OG0000755	maker-CABR0S05-snap-gene-3.4-mRNA-1_1&gene=maker-CABR0S05-snap-gene-3.4&CDS=1-723	YPL052W
756	OG0000756	snap_masked-CABR0S05-processed-gene-3.135-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.135&CDS=1-471	YPL054W
757	OG0000757	maker-CABR0S05-augustus-gene-3.144-mRNA-1_1&gene=maker-CABR0S05-augustus-gene-3.144&CDS=1-1539	YPL060W
758	OG0000758	snap_masked-CABR0S05-processed-gene-3.139-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.139&CDS=1-1419	YPL063W
759	OG0000759	snap_masked-CABR0S05-processed-gene-3.140-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.140&CDS=1-747	YPL065W
760	OG0000760	augustus_masked-CABR0S05-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-3.96&CDS=1-1404	YPL066W
761	OG0000761	augustus_masked-CABR0S05-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-3.75&CDS=1-600	YPL067C
762	OG0000762	snap_masked-CABR0S05-processed-gene-3.122-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.122&CDS=1-990	YPL069C
763	OG0000763	snap_masked-CABR0S05-processed-gene-3.142-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.142&CDS=1-1671	YPL070W
764	OG0000764	augustus_masked-CABR0S05-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-3.78&CDS=1-420	YPL071C
765	OG0000765	snap_masked-CABR0S05-processed-gene-4.1-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-4.1&CDS=1-1125	YPL072W
766	OG0000766	snap_masked-CABR0S05-processed-gene-4.3-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-4.3&CDS=1-2940	YPL075W
767	OG0000767	snap_masked-CABR0S05-processed-gene-4.4-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-4.4&CDS=1-837	YPL076W
768	OG0000768	snap_masked-CABR0S05-processed-gene-4.5-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-4.5&CDS=1-1665	YBR196C
769	OG0000769	snap_masked-CABR0S05-processed-gene-4.6-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-4.6&CDS=1-714	YPL078C
770	OG0000770	snap_masked-CABR0S05-processed-gene-4.7-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-4.7&CDS=1-5634	YPL082C
