	OrthologID	Debaryomyces_hansenii	Saccharomyces_cerevisiae
619	OG0000619	augustus_masked-Deha2A-processed-gene-8.30-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.30&CDS=1-2778	YGL216W
620	OG0000620	augustus_masked-Deha2A-processed-gene-8.15-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.15&CDS=1-1347	YIL088C
621	OG0000621	augustus_masked-Deha2A-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.32&CDS=1-1212	YNL025C
622	OG0000622	augustus_masked-Deha2A-processed-gene-8.16-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.16&CDS=1-1038	YIL083C
623	OG0000623	augustus_masked-Deha2A-processed-gene-8.33-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.33&CDS=1-1455	YNL026W
624	OG0000624	genemark-Deha2A-processed-gene-8.143-mRNA-1_1&gene=genemark-Deha2A-processed-gene-8.143&CDS=1-1242	YML005W
625	OG0000625	augustus_masked-Deha2A-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.17&CDS=1-1389	YNL016W
626	OG0000626	augustus_masked-Deha2A-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.18&CDS=1-2220	YDL122W
627	OG0000627	augustus_masked-Deha2A-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.19&CDS=1-966	YIL096C
628	OG0000628	augustus_masked-Deha2A-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.36&CDS=1-1533	YIL097W
629	OG0000629	augustus_masked-Deha2A-processed-gene-8.38-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.38&CDS=1-546	YCR027C
630	OG0000630	augustus_masked-Deha2A-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.39&CDS=1-1545	YBR287W
631	OG0000631	augustus_masked-Deha2A-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.40&CDS=1-792	YJL115W
632	OG0000632	augustus_masked-Deha2A-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.41&CDS=1-3528	YER093C
633	OG0000633	augustus_masked-Deha2A-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.42&CDS=1-852	YNL075W
634	OG0000634	augustus_masked-Deha2A-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.43&CDS=1-3150	YKR050W
635	OG0000635	augustus_masked-Deha2A-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.25&CDS=1-6633	YJL130C
636	OG0000636	augustus_masked-Deha2A-processed-gene-9.125-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.125&CDS=1-2379	YJL127C
637	OG0000637	maker-Deha2A-augustus-gene-9.61-mRNA-1_1&gene=maker-Deha2A-augustus-gene-9.61&CDS=1-1017	YIL084C
638	OG0000638	augustus_masked-Deha2A-processed-gene-9.123-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.123&CDS=1-432	YIL087C
639	OG0000639	augustus_masked-Deha2A-processed-gene-9.128-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.128&CDS=1-810	YNL032W
640	OG0000640	augustus_masked-Deha2A-processed-gene-9.124-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.124&CDS=1-213	YNL024C-A
641	OG0000641	augustus_masked-Deha2A-processed-gene-9.153-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.153&CDS=1-2157	YIL091C
642	OG0000642	augustus_masked-Deha2A-processed-gene-9.129-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.129&CDS=1-1017	YIL090W
643	OG0000643	augustus_masked-Deha2A-processed-gene-9.156-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.156&CDS=1-1329	YFL026W
644	OG0000644	augustus_masked-Deha2A-processed-gene-9.130-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.130&CDS=1-1089	YER027C
645	OG0000645	augustus_masked-Deha2A-processed-gene-9.158-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.158&CDS=1-1578	YIL142W
646	OG0000646	maker-Deha2A-snap-gene-9.1-mRNA-1_1&gene=maker-Deha2A-snap-gene-9.1&CDS=1-3195	YNL083W
647	OG0000647	maker-Deha2A-snap-gene-9.2-mRNA-1_1&gene=maker-Deha2A-snap-gene-9.2&CDS=1-2760	YNL082W
648	OG0000648	genemark-Deha2A-processed-gene-9.25-mRNA-1_1&gene=genemark-Deha2A-processed-gene-9.25&CDS=1-1236	YNL092W
649	OG0000649	augustus_masked-Deha2A-processed-gene-9.136-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.136&CDS=1-663	YOR089C
650	OG0000650	augustus_masked-Deha2A-processed-gene-9.138-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.138&CDS=1-933	YDL230W
651	OG0000651	augustus_masked-Deha2A-processed-gene-9.139-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.139&CDS=1-1161	YNL210W
652	OG0000652	augustus_masked-Deha2A-processed-gene-9.160-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.160&CDS=1-1281	YNL207W
653	OG0000653	augustus_masked-Deha2A-processed-gene-9.161-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.161&CDS=1-2793	YNL118C
654	OG0000654	augustus_masked-Deha2A-processed-gene-9.142-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.142&CDS=1-858	YLR393W
655	OG0000655	genemark-Deha2A-processed-gene-9.34-mRNA-1_1&gene=genemark-Deha2A-processed-gene-9.34&CDS=1-354	YHL015W
656	OG0000656	augustus_masked-Deha2A-processed-gene-9.144-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.144&CDS=1-1773	YOR090C
657	OG0000657	augustus_masked-Deha2A-processed-gene-9.145-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.145&CDS=1-3729	YLR398C
658	OG0000658	augustus_masked-Deha2A-processed-gene-9.146-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.146&CDS=1-2376	YLR397C
659	OG0000659	augustus_masked-Deha2A-processed-gene-9.163-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.163&CDS=1-975	YDL065C
660	OG0000660	augustus_masked-Deha2A-processed-gene-9.147-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.147&CDS=1-474	YDL064W
661	OG0000661	augustus_masked-Deha2A-processed-gene-9.164-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.164&CDS=1-1383	YJL155C
662	OG0000662	augustus_masked-Deha2A-processed-gene-9.148-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.148&CDS=1-2472	YJL156C
663	OG0000663	augustus_masked-Deha2A-processed-gene-9.166-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.166&CDS=1-1956	YDL063C
664	OG0000664	maker-Deha2A-augustus-gene-9.65-mRNA-1_1&gene=maker-Deha2A-augustus-gene-9.65&CDS=1-285	YLR390W
665	OG0000665	augustus_masked-Deha2A-processed-gene-9.149-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.149&CDS=1-2337	YDL060W
666	OG0000666	augustus_masked-Deha2A-processed-gene-9.150-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.150&CDS=1-1311	YLR387C
667	OG0000667	maker-Deha2A-augustus-gene-9.64-mRNA-1_1&gene=maker-Deha2A-augustus-gene-9.64&CDS=1-4851	YLR386W
668	OG0000668	augustus_masked-Deha2A-processed-gene-10.63-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.63&CDS=1-1089	YNL080C
669	OG0000669	maker-Deha2A-augustus-gene-10.169-mRNA-1_1&gene=maker-Deha2A-augustus-gene-10.169&CDS=1-363	YNL081C
670	OG0000670	augustus_masked-Deha2A-processed-gene-10.65-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.65&CDS=1-1182	YNL084C
671	OG0000671	augustus_masked-Deha2A-processed-gene-10.93-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.93&CDS=1-1155	YJR032W
672	OG0000672	augustus_masked-Deha2A-processed-gene-10.71-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.71&CDS=1-801	YEL021W
673	OG0000673	augustus_masked-Deha2A-processed-gene-10.95-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.95&CDS=1-933	YJL053W
674	OG0000674	augustus_masked-Deha2A-processed-gene-10.73-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.73&CDS=1-3399	YLR309C
675	OG0000675	maker-Deha2A-augustus-gene-10.171-mRNA-1_1&gene=maker-Deha2A-augustus-gene-10.171&CDS=1-2514	YLL018C
676	OG0000676	augustus_masked-Deha2A-processed-gene-10.75-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.75&CDS=1-1038	YGR163W
677	OG0000677	augustus_masked-Deha2A-processed-gene-10.76-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.76&CDS=1-912	YGR060W
678	OG0000678	augustus_masked-Deha2A-processed-gene-10.98-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.98&CDS=1-384	YIL027C
679	OG0000679	augustus_masked-Deha2A-processed-gene-10.77-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.77&CDS=1-1632	YIL099W
680	OG0000680	augustus_masked-Deha2A-processed-gene-10.99-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.99&CDS=1-2313	YFR038W
681	OG0000681	augustus_masked-Deha2A-processed-gene-10.81-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.81&CDS=1-807	YNL036W
682	OG0000682	genemark-Deha2A-processed-gene-10.50-mRNA-1_1&gene=genemark-Deha2A-processed-gene-10.50&CDS=1-852	YAL014C
683	OG0000683	augustus_masked-Deha2A-processed-gene-10.82-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.82&CDS=1-693	YJL055W
684	OG0000684	augustus_masked-Deha2A-processed-gene-10.103-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.103&CDS=1-420	YJR044C
685	OG0000685	augustus_masked-Deha2A-processed-gene-10.104-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.104&CDS=1-1107	YJL066C
686	OG0000686	augustus_masked-Deha2A-processed-gene-10.83-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.83&CDS=1-1584	YOL033W
687	OG0000687	augustus_masked-Deha2A-processed-gene-10.106-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.106&CDS=1-3261	YOL034W
688	OG0000688	maker-Deha2A-augustus-gene-10.172-mRNA-1_1&gene=maker-Deha2A-augustus-gene-10.172&CDS=1-429	YGL106W
689	OG0000689	augustus_masked-Deha2A-processed-gene-10.107-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.107&CDS=1-2268	YNL001W
690	OG0000690	maker-Deha2A-augustus-gene-10.173-mRNA-1_1&gene=maker-Deha2A-augustus-gene-10.173&CDS=1-1713	YBR239C
691	OG0000691	augustus_masked-Deha2A-processed-gene-10.87-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.87&CDS=1-1491	YBR241C
692	OG0000692	augustus_masked-Deha2A-processed-gene-10.88-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.88&CDS=1-447	YGL103W
693	OG0000693	augustus_masked-Deha2A-processed-gene-10.90-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.90&CDS=1-1029	YBL033C
694	OG0000694	augustus_masked-Deha2A-processed-gene-10.91-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.91&CDS=1-2703	YIL130W
695	OG0000695	augustus_masked-Deha2A-processed-gene-10.92-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.92&CDS=1-849	YGR158C
696	OG0000696	augustus_masked-Deha2A-processed-gene-10.109-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.109&CDS=1-2625	YGR157W
697	OG0000697	maker-Deha2A-augustus-gene-10.176-mRNA-1_1&gene=maker-Deha2A-augustus-gene-10.176&CDS=1-1608	YNL112W
698	OG0000698	augustus_masked-Deha2A-processed-gene-10.111-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.111&CDS=1-387	YNL113W
699	OG0000699	augustus_masked-Deha2A-processed-gene-11.78-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.78&CDS=1-2781	YOR113W
700	OG0000700	augustus_masked-Deha2A-processed-gene-11.79-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.79&CDS=1-2280	YOR112W
701	OG0000701	augustus_masked-Deha2A-processed-gene-11.107-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.107&CDS=1-2346	YGL045W
702	OG0000702	augustus_masked-Deha2A-processed-gene-11.108-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.108&CDS=1-1341	YGR159C
703	OG0000703	augustus_masked-Deha2A-processed-gene-11.82-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.82&CDS=1-1794	YNL104C
704	OG0000704	augustus_masked-Deha2A-processed-gene-11.84-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.84&CDS=1-600	YIL133C
705	OG0000705	augustus_masked-Deha2A-processed-gene-11.85-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.85&CDS=1-2355	YJL029C
706	OG0000706	augustus_masked-Deha2A-processed-gene-11.86-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.86&CDS=1-774	YDR007W
707	OG0000707	augustus_masked-Deha2A-processed-gene-11.109-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.109&CDS=1-1662	YJL008C
708	OG0000708	augustus_masked-Deha2A-processed-gene-11.87-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.87&CDS=1-735	YER046W
709	OG0000709	augustus_masked-Deha2A-processed-gene-11.111-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.111&CDS=1-1866	YNR043W
710	OG0000710	augustus_masked-Deha2A-processed-gene-11.112-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.112&CDS=1-1821	YCR084C
711	OG0000711	maker-Deha2A-snap-gene-11.153-mRNA-1_1&gene=maker-Deha2A-snap-gene-11.153&CDS=1-852	YJL003W
712	OG0000712	augustus_masked-Deha2A-processed-gene-11.113-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.113&CDS=1-885	YCR086W
713	OG0000713	augustus_masked-Deha2A-processed-gene-11.89-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.89&CDS=1-1401	YDR289C
714	OG0000714	augustus_masked-Deha2A-processed-gene-11.114-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.114&CDS=1-2574	YOL095C
715	OG0000715	augustus_masked-Deha2A-processed-gene-11.90-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.90&CDS=1-2136	YDR484W
716	OG0000716	augustus_masked-Deha2A-processed-gene-11.115-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.115&CDS=1-981	YOL094C
717	OG0000717	augustus_masked-Deha2A-processed-gene-11.116-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.116&CDS=1-867	YNL282W
718	OG0000718	augustus_masked-Deha2A-processed-gene-11.117-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.117&CDS=1-5247	YDL140C
719	OG0000719	augustus_masked-Deha2A-processed-gene-11.118-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.118&CDS=1-1110	YLR216C
720	OG0000720	augustus_masked-Deha2A-processed-gene-11.122-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.122&CDS=1-1077	YHR034C
721	OG0000721	augustus_masked-Deha2A-processed-gene-11.91-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.91&CDS=1-2040	YDL141W
722	OG0000722	augustus_masked-Deha2A-processed-gene-11.92-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.92&CDS=1-435	YDL008W
723	OG0000723	genemark-Deha2A-processed-gene-11.180-mRNA-1_1&gene=genemark-Deha2A-processed-gene-11.180&CDS=1-1071	YNR041C
724	OG0000724	snap_masked-Deha2A-processed-gene-11.49-mRNA-1_1&gene=snap_masked-Deha2A-processed-gene-11.49&CDS=1-3168	YDR495C
725	OG0000725	snap_masked-Deha2A-processed-gene-11.17-mRNA-1_1&gene=snap_masked-Deha2A-processed-gene-11.17&CDS=1-759	YOR126C
726	OG0000726	augustus_masked-Deha2A-processed-gene-11.125-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.125&CDS=1-3246	YNL321W
727	OG0000727	augustus_masked-Deha2A-processed-gene-11.126-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.126&CDS=1-1095	YDR411C
728	OG0000728	augustus_masked-Deha2A-processed-gene-11.127-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.127&CDS=1-471	YGR076C
729	OG0000729	augustus_masked-Deha2A-processed-gene-11.129-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.129&CDS=1-480	YDL004W
730	OG0000730	augustus_masked-Deha2A-processed-gene-11.97-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.97&CDS=1-1737	YDL003W
731	OG0000731	augustus_masked-Deha2A-processed-gene-11.98-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.98&CDS=1-735	YDR489W
732	OG0000732	augustus_masked-Deha2A-processed-gene-11.132-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.132&CDS=1-4158	YOL138C
733	OG0000733	augustus_masked-Deha2A-processed-gene-11.99-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.99&CDS=1-867	YNL320W
734	OG0000734	augustus_masked-Deha2A-processed-gene-11.133-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.133&CDS=1-630	YOL139C
735	OG0000735	augustus_masked-Deha2A-processed-gene-11.100-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.100&CDS=1-1542	YDR299W
736	OG0000736	augustus_masked-Deha2B-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.104&CDS=1-2274	YLR214W
737	OG0000737	augustus_masked-Deha2B-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.138&CDS=1-1560	YKR023W
738	OG0000738	augustus_masked-Deha2B-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.112&CDS=1-1893	YJL106W
739	OG0000739	maker-Deha2B-augustus-gene-0.145-mRNA-1_1&gene=maker-Deha2B-augustus-gene-0.145&CDS=1-975	YGR127W
740	OG0000740	augustus_masked-Deha2B-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.118&CDS=1-1419	YBR034C
741	OG0000741	augustus_masked-Deha2B-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.140&CDS=1-948	YDL015C
742	OG0000742	augustus_masked-Deha2B-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.120&CDS=1-450	YOR298C-A
743	OG0000743	augustus_masked-Deha2B-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.121&CDS=1-1704	YOR348C
744	OG0000744	maker-Deha2B-snap-gene-0.6-mRNA-1_1&gene=maker-Deha2B-snap-gene-0.6&CDS=1-5853	YJL109C
745	OG0000745	augustus_masked-Deha2B-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.123&CDS=1-672	YKR014C
746	OG0000746	snap_masked-Deha2B-processed-gene-1.47-mRNA-1_1&gene=snap_masked-Deha2B-processed-gene-1.47&CDS=1-948	YKR030W
747	OG0000747	augustus_masked-Deha2B-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.3&CDS=1-1689	YKR017C
748	OG0000748	augustus_masked-Deha2B-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.1&CDS=1-384	YJL104W
749	OG0000749	augustus_masked-Deha2B-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.26&CDS=1-1377	YKL108W
750	OG0000750	augustus_masked-Deha2B-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.27&CDS=1-1944	YMR098C
751	OG0000751	augustus_masked-Deha2B-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.7&CDS=1-744	YKL099C
752	OG0000752	augustus_masked-Deha2B-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.28&CDS=1-876	YKL110C
753	OG0000753	augustus_masked-Deha2B-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.8&CDS=1-1107	YMR097C
754	OG0000754	augustus_masked-Deha2B-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.29&CDS=1-2169	YMR106C
755	OG0000755	augustus_masked-Deha2B-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.30&CDS=1-2133	YEL011W
756	OG0000756	augustus_masked-Deha2B-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.31&CDS=1-1476	YJL081C
757	OG0000757	augustus_masked-Deha2B-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.32&CDS=1-1734	YKR016W
758	OG0000758	augustus_masked-Deha2B-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.10&CDS=1-1911	YMR092C
759	OG0000759	augustus_masked-Deha2B-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.11&CDS=1-1503	YMR093W
760	OG0000760	augustus_masked-Deha2B-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.34&CDS=1-1167	YOR063W
761	OG0000761	maker-Deha2B-augustus-gene-1.92-mRNA-1_1&gene=maker-Deha2B-augustus-gene-1.92&CDS=1-234	YGR105W
762	OG0000762	augustus_masked-Deha2B-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.13&CDS=1-1023	YGR104C
763	OG0000763	augustus_masked-Deha2B-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.38&CDS=1-1800	YGR103W
764	OG0000764	augustus_masked-Deha2B-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.15&CDS=1-1227	YPR140W
765	OG0000765	augustus_masked-Deha2B-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.40&CDS=1-2190	YPR141C
766	OG0000766	augustus_masked-Deha2B-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.17&CDS=1-753	YPR143W
767	OG0000767	augustus_masked-Deha2B-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.18&CDS=1-4257	YOR057W
768	OG0000768	augustus_masked-Deha2B-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.41&CDS=1-828	YNL056W
769	OG0000769	augustus_masked-Deha2B-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.92&CDS=1-1248	YOL058W
770	OG0000770	augustus_masked-Deha2B-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.96&CDS=1-1542	YER051W
771	OG0000771	augustus_masked-Deha2B-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.93&CDS=1-1368	YIL042C
772	OG0000772	augustus_masked-Deha2B-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.97&CDS=1-2064	YDL146W
773	OG0000773	augustus_masked-Deha2B-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.117&CDS=1-3798	YGR233C
774	OG0000774	augustus_masked-Deha2B-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.118&CDS=1-606	YDR002W
775	OG0000775	augustus_masked-Deha2B-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.119&CDS=1-3240	YGR218W
776	OG0000776	augustus_masked-Deha2B-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.99&CDS=1-1449	YBR003W
777	OG0000777	augustus_masked-Deha2B-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.121&CDS=1-834	YGR220C
778	OG0000778	augustus_masked-Deha2B-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.122&CDS=1-672	YHR147C
779	OG0000779	augustus_masked-Deha2B-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.100&CDS=1-549	YHR148W
780	OG0000780	augustus_masked-Deha2B-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.101&CDS=1-705	YMR069W
781	OG0000781	augustus_masked-Deha2B-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.126&CDS=1-6609	YPL085W
782	OG0000782	augustus_masked-Deha2B-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.102&CDS=1-1548	YBR182C
783	OG0000783	augustus_masked-Deha2B-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.127&CDS=1-1236	YJL203W
784	OG0000784	augustus_masked-Deha2B-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.105&CDS=1-1125	YHR004C
785	OG0000785	augustus_masked-Deha2B-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.129&CDS=1-996	YKL085W
786	OG0000786	augustus_masked-Deha2B-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.108&CDS=1-1875	YBR123C
787	OG0000787	augustus_masked-Deha2B-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.109&CDS=1-891	YIL034C
788	OG0000788	augustus_masked-Deha2B-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.132&CDS=1-3078	YGR200C
789	OG0000789	augustus_masked-Deha2B-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.111&CDS=1-708	YHR041C
790	OG0000790	augustus_masked-Deha2B-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.112&CDS=1-2298	YJL033W
791	OG0000791	augustus_masked-Deha2B-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.133&CDS=1-1197	YDL150W
792	OG0000792	augustus_masked-Deha2B-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.113&CDS=1-1737	YDL153C
