	OrthologID	Hanseniaspora_uvarum	Saccharomyces_cerevisiae
753	OG0000753	genemark-APLS01000002.1-processed-gene-1.120-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-1.120&CDS=1-4335	YFR048W
754	OG0000754	snap_masked-APLS01000002.1-processed-gene-1.86-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.86&CDS=1-2133	YGL245W
755	OG0000755	snap_masked-APLS01000002.1-processed-gene-1.67-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.67&CDS=1-1365	YGL246C
756	OG0000756	augustus_masked-APLS01000002.1-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-1.17&CDS=1-462	YFR049W
757	OG0000757	snap_masked-APLS01000002.1-processed-gene-1.88-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.88&CDS=1-1113	YGL248W
758	OG0000758	snap_masked-APLS01000002.1-processed-gene-1.89-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.89&CDS=1-828	YFR050C
759	OG0000759	snap_masked-APLS01000002.1-processed-gene-1.90-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.90&CDS=1-1560	YFR051C
760	OG0000760	snap_masked-APLS01000002.1-processed-gene-1.91-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.91&CDS=1-900	YGL250W
761	OG0000761	augustus_masked-APLS01000002.1-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-1.18&CDS=1-2487	YGL252C
762	OG0000762	augustus_masked-APLS01000002.1-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-1.39&CDS=1-2025	YGL236C
763	OG0000763	snap_masked-APLS01000002.1-processed-gene-1.73-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.73&CDS=1-519	YGL242C
764	OG0000764	snap_masked-APLS01000002.1-processed-gene-1.93-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.93&CDS=1-2916	YGL241W
765	OG0000765	snap_masked-APLS01000002.1-processed-gene-1.74-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.74&CDS=1-351	YGL237C
766	OG0000766	snap_masked-APLS01000002.1-processed-gene-1.94-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.94&CDS=1-2895	YGL238W
767	OG0000767	snap_masked-APLS01000002.1-processed-gene-1.95-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.95&CDS=1-1374	YGL240W
768	OG0000768	snap_masked-APLS01000002.1-processed-gene-1.75-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.75&CDS=1-4929	YGL206C
769	OG0000769	snap_masked-APLS01000002.1-processed-gene-1.96-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.96&CDS=1-3102	YGL207W
770	OG0000770	snap_masked-APLS01000002.1-processed-gene-1.98-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.98&CDS=1-1887	YOR022C
771	OG0000771	snap_masked-APLS01000002.1-processed-gene-1.77-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.77&CDS=1-2112	YGR198W
772	OG0000772	snap_masked-APLS01000002.1-processed-gene-1.99-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.99&CDS=1-912	YHR090C
773	OG0000773	snap_masked-APLS01000002.1-processed-gene-1.100-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.100&CDS=1-573	YDR339C
774	OG0000774	snap_masked-APLS01000002.1-processed-gene-1.101-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.101&CDS=1-618	YDR468C
775	OG0000775	snap_masked-APLS01000002.1-processed-gene-1.102-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-1.102&CDS=1-1572	YDR470C
776	OG0000776	maker-APLS01000002.1-snap-gene-2.104-mRNA-1_1&gene=maker-APLS01000002.1-snap-gene-2.104&CDS=1-1413	YHR011W
777	OG0000777	genemark-APLS01000002.1-processed-gene-2.112-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-2.112&CDS=1-972	YHR012W
778	OG0000778	augustus_masked-APLS01000002.1-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.11&CDS=1-714	YHR013C
779	OG0000779	augustus_masked-APLS01000002.1-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.6&CDS=1-867	YDR472W
780	OG0000780	snap_masked-APLS01000002.1-processed-gene-2.57-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.57&CDS=1-1515	YOR023C
781	OG0000781	snap_masked-APLS01000002.1-processed-gene-2.58-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.58&CDS=1-1932	YDR314C
782	OG0000782	augustus_masked-APLS01000002.1-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.10&CDS=1-729	YDR313C
783	OG0000783	snap_masked-APLS01000002.1-processed-gene-2.61-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.61&CDS=1-1482	YHR065C
784	OG0000784	snap_masked-APLS01000002.1-processed-gene-2.62-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.62&CDS=1-2451	YGR200C
785	OG0000785	snap_masked-APLS01000002.1-processed-gene-2.84-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.84&CDS=1-813	YHR067W
786	OG0000786	augustus_masked-APLS01000002.1-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.15&CDS=1-1329	YJL036W
787	OG0000787	snap_masked-APLS01000002.1-processed-gene-2.65-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.65&CDS=1-1200	YHR068W
788	OG0000788	snap_masked-APLS01000002.1-processed-gene-2.85-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.85&CDS=1-726	YJL035C
789	OG0000789	augustus_masked-APLS01000002.1-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.37&CDS=1-1446	YDR316W
790	OG0000790	snap_masked-APLS01000002.1-processed-gene-2.87-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.87&CDS=1-1149	YHR069C
791	OG0000791	snap_masked-APLS01000002.1-processed-gene-2.66-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.66&CDS=1-1575	YHR070W
792	OG0000792	augustus_masked-APLS01000002.1-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.21&CDS=1-2217	YLR002C
793	OG0000793	maker-APLS01000002.1-augustus-gene-2.2-mRNA-1_1&gene=maker-APLS01000002.1-augustus-gene-2.2&CDS=1-3621	YJR001W
794	OG0000794	snap_masked-APLS01000002.1-processed-gene-2.71-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.71&CDS=1-2919	YLR001C
795	OG0000795	augustus_masked-APLS01000002.1-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.23&CDS=1-714	YBR257W
796	OG0000796	augustus_masked-APLS01000002.1-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.40&CDS=1-1266	YLL002W
797	OG0000797	snap_masked-APLS01000002.1-processed-gene-2.74-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.74&CDS=1-651	YJL001W
798	OG0000798	snap_masked-APLS01000002.1-processed-gene-2.91-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.91&CDS=1-2496	YLL001W
799	OG0000799	snap_masked-APLS01000002.1-processed-gene-2.94-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.94&CDS=1-1377	YJL002C
800	OG0000800	snap_masked-APLS01000002.1-processed-gene-2.95-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.95&CDS=1-1791	YJR016C
801	OG0000801	snap_masked-APLS01000002.1-processed-gene-2.75-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.75&CDS=1-369	YJL003W
802	OG0000802	augustus_masked-APLS01000002.1-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.46&CDS=1-2841	YLR014C
803	OG0000803	snap_masked-APLS01000002.1-processed-gene-2.77-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.77&CDS=1-978	YHR088W
804	OG0000804	snap_masked-APLS01000002.1-processed-gene-2.78-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.78&CDS=1-3978	YDR335W
805	OG0000805	snap_masked-APLS01000002.1-processed-gene-2.98-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.98&CDS=1-717	YHR089C
806	OG0000806	maker-APLS01000002.1-snap-gene-2.106-mRNA-1_1&gene=maker-APLS01000002.1-snap-gene-2.106&CDS=1-1002	YDR337W
807	OG0000807	snap_masked-APLS01000002.1-processed-gene-2.80-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.80&CDS=1-1215	YHR075C
808	OG0000808	snap_masked-APLS01000002.1-processed-gene-2.99-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.99&CDS=1-2253	YHR074W
809	OG0000809	augustus_masked-APLS01000002.1-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.49&CDS=1-1131	YKR062W
810	OG0000810	snap_masked-APLS01000002.1-processed-gene-2.101-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.101&CDS=1-738	YHR058C
811	OG0000811	snap_masked-APLS01000002.1-processed-gene-2.81-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.81&CDS=1-456	YHR059W
812	OG0000812	maker-APLS01000002.1-augustus-gene-2.3-mRNA-1_1&gene=maker-APLS01000002.1-augustus-gene-2.3&CDS=1-1584	YDR306C
813	OG0000813	snap_masked-APLS01000002.1-processed-gene-3.97-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.97&CDS=1-474	YDR308C
814	OG0000814	snap_masked-APLS01000002.1-processed-gene-3.101-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.101&CDS=1-999	YHR062C
815	OG0000815	augustus_masked-APLS01000002.1-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-3.71&CDS=1-1461	YLR005W
816	OG0000816	snap_masked-APLS01000002.1-processed-gene-3.121-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.121&CDS=1-1239	YLR015W
817	OG0000817	snap_masked-APLS01000002.1-processed-gene-3.102-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.102&CDS=1-1683	YHR064C
818	OG0000818	snap_masked-APLS01000002.1-processed-gene-3.103-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.103&CDS=1-1113	YHR063C
819	OG0000819	snap_masked-APLS01000002.1-processed-gene-3.104-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.104&CDS=1-612	YDR310C
820	OG0000820	augustus_masked-APLS01000002.1-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-3.57&CDS=1-678	YDR302W
821	OG0000821	snap_masked-APLS01000002.1-processed-gene-3.124-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.124&CDS=1-585	YLR009W
822	OG0000822	snap_masked-APLS01000002.1-processed-gene-3.106-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.106&CDS=1-507	YLR008C
823	OG0000823	snap_masked-APLS01000002.1-processed-gene-3.126-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.126&CDS=1-1269	YDR299W
824	OG0000824	maker-APLS01000002.1-snap-gene-3.92-mRNA-1_1&gene=maker-APLS01000002.1-snap-gene-3.92&CDS=1-3516	YNR055C
825	OG0000825	augustus_masked-APLS01000002.1-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-3.62&CDS=1-852	YLR003C
826	OG0000826	augustus_masked-APLS01000002.1-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-3.82&CDS=1-2676	YLR006C
827	OG0000827	maker-APLS01000002.1-augustus-gene-3.47-mRNA-1_1&gene=maker-APLS01000002.1-augustus-gene-3.47&CDS=1-7389	YDR283C
828	OG0000828	snap_masked-APLS01000002.1-processed-gene-3.114-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.114&CDS=1-759	YDR296W
829	OG0000829	snap_masked-APLS01000002.1-processed-gene-3.115-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.115&CDS=1-1092	YDR297W
830	OG0000830	augustus_masked-APLS01000002.1-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-3.87&CDS=1-612	YDR298C
831	OG0000831	snap_masked-APLS01000002.1-processed-gene-3.141-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.141&CDS=1-3285	YDR291W
832	OG0000832	snap_masked-APLS01000002.1-processed-gene-3.142-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.142&CDS=1-2052	YHR042W
833	OG0000833	snap_masked-APLS01000002.1-processed-gene-3.117-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.117&CDS=1-1005	YGR192C
834	OG0000834	genemark-APLS01000002.1-processed-gene-3.22-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-3.22&CDS=1-2802	YLL005C
835	OG0000835	snap_masked-APLS01000002.1-processed-gene-3.144-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.144&CDS=1-1155	YLL006W
836	OG0000836	snap_masked-APLS01000002.1-processed-gene-3.119-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.119&CDS=1-2178	YLL008W
837	OG0000837	maker-APLS01000002.1-augustus-gene-4.177-mRNA-1_1&gene=maker-APLS01000002.1-augustus-gene-4.177&CDS=1-1911	YGR202C
838	OG0000838	genemark-APLS01000002.1-processed-gene-4.2-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-4.2&CDS=1-1485	YHR048W
839	OG0000839	snap_masked-APLS01000002.1-processed-gene-4.194-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.194&CDS=1-711	YHR049W
840	OG0000840	snap_masked-APLS01000002.1-processed-gene-4.195-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.195&CDS=1-1665	YHR050W
841	OG0000841	snap_masked-APLS01000002.1-processed-gene-4.197-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.197&CDS=1-435	YHR051W
842	OG0000842	snap_masked-APLS01000002.1-processed-gene-4.201-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.201&CDS=1-492	YKL160W
843	OG0000843	snap_masked-APLS01000002.1-processed-gene-4.198-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.198&CDS=1-954	YJR007W
844	OG0000844	augustus_masked-APLS01000002.1-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.100&CDS=1-1038	YJR008W
845	OG0000845	snap_masked-APLS01000002.1-processed-gene-4.200-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.200&CDS=1-2076	YJL010C
846	OG0000846	snap_masked-APLS01000002.1-processed-gene-4.202-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.202&CDS=1-633	YKL142W
847	OG0000847	snap_masked-APLS01000002.1-processed-gene-4.203-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.203&CDS=1-1536	YKL143W
848	OG0000848	augustus_masked-APLS01000002.1-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.102&CDS=1-726	YKL144C
849	OG0000849	augustus_masked-APLS01000002.1-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.106&CDS=1-1455	YKL145W
850	OG0000850	snap_masked-APLS01000002.1-processed-gene-4.206-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.206&CDS=1-1899	YKL148C
851	OG0000851	snap_masked-APLS01000002.1-processed-gene-4.207-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.207&CDS=1-1176	YKL149C
852	OG0000852	snap_masked-APLS01000002.1-processed-gene-4.246-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.246&CDS=1-933	YKL150W
853	OG0000853	genemark-APLS01000002.1-processed-gene-4.56-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-4.56&CDS=1-1047	YKL151C
854	OG0000854	snap_masked-APLS01000002.1-processed-gene-4.208-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.208&CDS=1-744	YKL152C
855	OG0000855	maker-APLS01000002.1-snap-gene-4.183-mRNA-1_1&gene=maker-APLS01000002.1-snap-gene-4.183&CDS=1-1545	YJL041W
856	OG0000856	snap_masked-APLS01000002.1-processed-gene-4.248-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.248&CDS=1-5472	YJL039C
857	OG0000857	augustus_masked-APLS01000002.1-processed-gene-4.146-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.146&CDS=1-1485	YHR024C
858	OG0000858	snap_masked-APLS01000002.1-processed-gene-4.212-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.212&CDS=1-1050	YHR025W
859	OG0000859	snap_masked-APLS01000002.1-processed-gene-4.213-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.213&CDS=1-642	YHR026W
860	OG0000860	snap_masked-APLS01000002.1-processed-gene-4.251-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.251&CDS=1-2883	YHR027C
861	OG0000861	genemark-APLS01000002.1-processed-gene-4.23-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-4.23&CDS=1-1095	YHR052W
862	OG0000862	snap_masked-APLS01000002.1-processed-gene-4.252-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.252&CDS=1-798	YIL070C
863	OG0000863	snap_masked-APLS01000002.1-processed-gene-4.215-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.215&CDS=1-2286	YHR031C
864	OG0000864	snap_masked-APLS01000002.1-processed-gene-4.216-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.216&CDS=1-1365	YHR030C
865	OG0000865	genemark-APLS01000002.1-processed-gene-4.26-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-4.26&CDS=1-2526	YHR028C
866	OG0000866	snap_masked-APLS01000002.1-processed-gene-4.254-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.254&CDS=1-3480	YJL029C
867	OG0000867	snap_masked-APLS01000002.1-processed-gene-4.219-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.219&CDS=1-1722	YJL008C
868	OG0000868	snap_masked-APLS01000002.1-processed-gene-4.255-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.255&CDS=1-2349	YJL033W
869	OG0000869	snap_masked-APLS01000002.1-processed-gene-4.256-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.256&CDS=1-2040	YJL034W
870	OG0000870	augustus_masked-APLS01000002.1-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.119&CDS=1-741	YLR022C
871	OG0000871	augustus_masked-APLS01000002.1-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.121&CDS=1-1416	YLL011W
872	OG0000872	augustus_masked-APLS01000002.1-processed-gene-4.155-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.155&CDS=1-1299	YLR019W
873	OG0000873	snap_masked-APLS01000002.1-processed-gene-4.259-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.259&CDS=1-192	YLL009C
874	OG0000874	snap_masked-APLS01000002.1-processed-gene-4.260-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.260&CDS=1-2289	YLR023C
875	OG0000875	snap_masked-APLS01000002.1-processed-gene-4.224-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.224&CDS=1-1689	YHR037W
876	OG0000876	augustus_masked-APLS01000002.1-processed-gene-4.158-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.158&CDS=1-564	YJR017C
877	OG0000877	snap_masked-APLS01000002.1-processed-gene-4.261-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.261&CDS=1-1473	YHR036W
878	OG0000878	snap_masked-APLS01000002.1-processed-gene-4.227-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.227&CDS=1-1899	YHR039C
879	OG0000879	snap_masked-APLS01000002.1-processed-gene-4.228-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.228&CDS=1-1620	YHR045W
880	OG0000880	snap_masked-APLS01000002.1-processed-gene-4.229-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.229&CDS=1-966	YDR280W
881	OG0000881	augustus_masked-APLS01000002.1-processed-gene-4.161-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.161&CDS=1-747	YHR038W
882	OG0000882	snap_masked-APLS01000002.1-processed-gene-4.264-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.264&CDS=1-1359	YHR040W
883	OG0000883	snap_masked-APLS01000002.1-processed-gene-4.234-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.234&CDS=1-1095	YGR196C
884	OG0000884	snap_masked-APLS01000002.1-processed-gene-4.265-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.265&CDS=1-792	YGR195W
885	OG0000885	snap_masked-APLS01000002.1-processed-gene-4.266-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.266&CDS=1-1251	YJR013W
886	OG0000886	snap_masked-APLS01000002.1-processed-gene-4.235-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.235&CDS=1-1167	YGR193C
887	OG0000887	augustus_masked-APLS01000002.1-processed-gene-4.165-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.165&CDS=1-1527	YJR010W
888	OG0000888	maker-APLS01000002.1-augustus-gene-4.181-mRNA-1_1&gene=maker-APLS01000002.1-augustus-gene-4.181&CDS=1-4692	YDR293C
889	OG0000889	snap_masked-APLS01000002.1-processed-gene-4.270-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.270&CDS=1-2712	YHR073W
890	OG0000890	snap_masked-APLS01000002.1-processed-gene-4.236-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.236&CDS=1-2181	YHR072W
891	OG0000891	augustus_masked-APLS01000002.1-processed-gene-4.168-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.168&CDS=1-1656	YDR320C
892	OG0000892	snap_masked-APLS01000002.1-processed-gene-4.272-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.272&CDS=1-609	YJR014W
893	OG0000893	genemark-APLS01000002.1-processed-gene-4.47-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-4.47&CDS=1-5661	YJL005W
894	OG0000894	augustus_masked-APLS01000002.1-processed-gene-4.170-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.170&CDS=1-564	YJL004C
895	OG0000895	snap_masked-APLS01000002.1-processed-gene-4.273-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.273&CDS=1-1359	YHR194W
896	OG0000896	augustus_masked-APLS01000002.1-processed-gene-4.136-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.136&CDS=1-1245	YER061C
897	OG0000897	snap_masked-APLS01000002.1-processed-gene-4.242-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.242&CDS=1-2094	YHR196W
898	OG0000898	snap_masked-APLS01000002.1-processed-gene-4.243-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.243&CDS=1-639	YJR133W
899	OG0000899	snap_masked-APLS01000002.1-processed-gene-4.275-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.275&CDS=1-2256	YLL013C
900	OG0000900	augustus_masked-APLS01000002.1-processed-gene-4.140-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.140&CDS=1-438	YJR022W
901	OG0000901	augustus_masked-APLS01000002.1-processed-gene-4.174-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.174&CDS=1-783	YGR207C
902	OG0000902	snap_masked-APLS01000003.1-processed-gene-0.87-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.87&CDS=1-1362	YBR029C
903	OG0000903	augustus_masked-APLS01000003.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-0.7&CDS=1-471	YDL004W
904	OG0000904	snap_masked-APLS01000003.1-processed-gene-0.109-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.109&CDS=1-2316	YOL076W
905	OG0000905	snap_masked-APLS01000003.1-processed-gene-0.89-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.89&CDS=1-1992	YOL060C
906	OG0000906	snap_masked-APLS01000003.1-processed-gene-0.110-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.110&CDS=1-972	YDL014W
907	OG0000907	augustus_masked-APLS01000003.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-0.10&CDS=1-891	YDL015C
908	OG0000908	augustus_masked-APLS01000003.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-0.30&CDS=1-1557	YDL017W
909	OG0000909	genemark-APLS01000003.1-processed-gene-0.51-mRNA-1_1&gene=genemark-APLS01000003.1-processed-gene-0.51&CDS=1-771	YDL018C
910	OG0000910	augustus_masked-APLS01000003.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-0.31&CDS=1-1530	YIR027C
911	OG0000911	snap_masked-APLS01000003.1-processed-gene-0.112-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.112&CDS=1-2802	YBR017C
912	OG0000912	snap_masked-APLS01000003.1-processed-gene-0.113-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.113&CDS=1-1401	YDL007W
913	OG0000913	maker-APLS01000003.1-augustus-gene-0.41-mRNA-1_1&gene=maker-APLS01000003.1-augustus-gene-0.41&CDS=1-5046	YOR303W
914	OG0000914	snap_masked-APLS01000003.1-processed-gene-0.99-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.99&CDS=1-1866	YDL185W
915	OG0000915	snap_masked-APLS01000003.1-processed-gene-0.100-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.100&CDS=1-1776	YMR239C
916	OG0000916	augustus_masked-APLS01000003.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-0.37&CDS=1-1977	YBR133C
917	OG0000917	snap_masked-APLS01000003.1-processed-gene-0.102-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.102&CDS=1-378	YBR135W
