	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034669_Blastobotrys_raffinofermentans
849	OG0000849	YDL119C	augustus_masked-flattened_line_2-processed-gene-5.18-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.18&CDS=1-900
850	OG0000850	YDL120W	augustus_masked-flattened_line_19-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.102&CDS=1-588
851	OG0000851	YDL122W	augustus_masked-flattened_line_16-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.153&CDS=1-1737
852	OG0000852	YDL125C	snap_masked-flattened_line_19-processed-gene-3.18-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-3.18&CDS=1-438
853	OG0000853	YDL126C	augustus_masked-flattened_line_19-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.133&CDS=1-2448
854	OG0000854	YDL128W	maker-flattened_line_21-augustus-gene-1.167-mRNA-1_1&gene=maker-flattened_line_21-augustus-gene-1.167&CDS=1-1569
855	OG0000855	YDL130W	augustus_masked-flattened_line_6-processed-gene-5.131-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-5.131&CDS=1-312
856	OG0000856	YDL131W	augustus_masked-flattened_line_4-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-6.99&CDS=1-1275
857	OG0000857	YDL132W	maker-flattened_line_0-augustus-gene-17.44-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-17.44&CDS=1-2406
858	OG0000858	YDL133W	augustus_masked-flattened_line_0-processed-gene-17.84-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-17.84&CDS=1-972
859	OG0000859	YDL140C	augustus_masked-flattened_line_0-processed-gene-18.124-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-18.124&CDS=1-5805
860	OG0000860	YDL141W	genemark-flattened_line_12-processed-gene-3.155-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.155&CDS=1-2058
861	OG0000861	YDL142C	augustus_masked-flattened_line_0-processed-gene-25.108-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-25.108&CDS=1-870
862	OG0000862	YDL143W	augustus_masked-flattened_line_0-processed-gene-25.88-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-25.88&CDS=1-1584
863	OG0000863	YDL144C	augustus_masked-flattened_line_16-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.142&CDS=1-1005
864	OG0000864	YDL145C	augustus_masked-flattened_line_26-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.77&CDS=1-3639
865	OG0000865	YDL146W	augustus_masked-flattened_line_32-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.142&CDS=1-1395
866	OG0000866	YDL147W	augustus_masked-flattened_line_32-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.141&CDS=1-1329
867	OG0000867	YDL148C	augustus_masked-flattened_line_26-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.75&CDS=1-2586
868	OG0000868	YDL149W	augustus_masked-flattened_line_26-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.52&CDS=1-2274
869	OG0000869	YDL150W	augustus_masked-flattened_line_0-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.74&CDS=1-1248
870	OG0000870	YDL153C	augustus_masked-flattened_line_0-processed-gene-25.86-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-25.86&CDS=1-1746
871	OG0000871	YDL155W	augustus_masked-flattened_line_4-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.103&CDS=1-1335
872	OG0000872	YDL156W	augustus_masked-flattened_line_0-processed-gene-12.85-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.85&CDS=1-1524
873	OG0000873	YDL159W	augustus_masked-flattened_line_0-processed-gene-12.83-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.83&CDS=1-1122
874	OG0000874	YDL160C	augustus_masked-flattened_line_0-processed-gene-12.108-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.108&CDS=1-1602
875	OG0000875	YDL164C	augustus_masked-flattened_line_38-processed-gene-0.204-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.204&CDS=1-2115
876	OG0000876	YDL165W	snap_masked-flattened_line_0-processed-gene-22.19-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-22.19&CDS=1-1065
877	OG0000877	YDL166C	augustus_masked-flattened_line_0-processed-gene-22.96-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-22.96&CDS=1-537
878	OG0000878	YDL167C	augustus_masked-flattened_line_2-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.74&CDS=1-1680
879	OG0000879	YDL168W	augustus_masked-flattened_line_2-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.97&CDS=1-1128
880	OG0000880	YDL170W	augustus_masked-flattened_line_2-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.85&CDS=1-1863
881	OG0000881	YDL171C	augustus_masked-flattened_line_0-processed-gene-22.74-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-22.74&CDS=1-6339
882	OG0000882	YDL174C	augustus_masked-flattened_line_2-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.91&CDS=1-1710
883	OG0000883	YDL178W	augustus_masked-flattened_line_21-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-0.67&CDS=1-1569
884	OG0000884	YDL181W	augustus_masked-flattened_line_32-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.110&CDS=1-282
885	OG0000885	YDL183C	augustus_masked-flattened_line_0-processed-gene-17.64-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-17.64&CDS=1-801
886	OG0000886	YDL185W	augustus_masked-flattened_line_0-processed-gene-15.73-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-15.73&CDS=1-1848
887	OG0000887	YDL189W	snap_masked-flattened_line_0-processed-gene-15.146-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.146&CDS=1-1185
888	OG0000888	YDL192W	augustus_masked-flattened_line_0-processed-gene-15.94-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-15.94&CDS=1-543
889	OG0000889	YDL193W	augustus_masked-flattened_line_19-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.106&CDS=1-948
890	OG0000890	YDL195W	augustus_masked-flattened_line_12-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.82&CDS=1-3876
891	OG0000891	YDL198C	augustus_masked-flattened_line_8-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.94&CDS=1-921
892	OG0000892	YDL201W	augustus_masked-flattened_line_46-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.92&CDS=1-870
893	OG0000893	YDL202W	augustus_masked-flattened_line_36-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.152&CDS=1-705
894	OG0000894	YDL205C	augustus_masked-flattened_line_6-processed-gene-7.127-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-7.127&CDS=1-1086
895	OG0000895	YDL206W	genemark-flattened_line_6-processed-gene-7.73-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-7.73&CDS=1-2355
896	OG0000896	YDL207W	augustus_masked-flattened_line_6-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.70&CDS=1-1719
897	OG0000897	YDL208W	augustus_masked-flattened_line_6-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.66&CDS=1-441
898	OG0000898	YDL209C	augustus_masked-flattened_line_6-processed-gene-7.128-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-7.128&CDS=1-1224
899	OG0000899	YDL212W	maker-flattened_line_38-augustus-gene-0.10-mRNA-1_1&gene=maker-flattened_line_38-augustus-gene-0.10&CDS=1-552
900	OG0000900	YDL213C	augustus_masked-flattened_line_30-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.83&CDS=1-537
901	OG0000901	YDL215C	augustus_masked-flattened_line_12-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.101&CDS=1-3177
902	OG0000902	YDL217C	augustus_masked-flattened_line_14-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.65&CDS=1-552
903	OG0000903	YDL219W	maker-flattened_line_0-augustus-gene-19.69-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-19.69&CDS=1-468
904	OG0000904	YDL226C	augustus_masked-flattened_line_10-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.32&CDS=1-1068
905	OG0000905	YDL231C	augustus_masked-flattened_line_0-processed-gene-9.80-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.80&CDS=1-3354
906	OG0000906	YDL233W	augustus_masked-flattened_line_0-processed-gene-9.62-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.62&CDS=1-1554
907	OG0000907	YDL234C	augustus_masked-flattened_line_0-processed-gene-9.57-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.57&CDS=1-2178
908	OG0000908	YDL235C	augustus_masked-flattened_line_4-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.70&CDS=1-438
909	OG0000909	YDL236W	augustus_masked-flattened_line_16-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.94&CDS=1-900
910	OG0000910	YDL238C	augustus_masked-flattened_line_4-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.92&CDS=1-1425
911	OG0000911	YDL240W	augustus_masked-flattened_line_42-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.85&CDS=1-3669
912	OG0000912	YDR001C	augustus_masked-flattened_line_24-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-2.78&CDS=1-2184
913	OG0000913	YDR004W	snap_masked-flattened_line_0-processed-gene-15.150-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.150&CDS=1-1131
914	OG0000914	YDR005C	augustus_masked-flattened_line_0-processed-gene-15.79-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-15.79&CDS=1-927
915	OG0000915	YDR006C	augustus_masked-flattened_line_2-processed-gene-8.97-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-8.97&CDS=1-2055
916	OG0000916	YDR007W	augustus_masked-flattened_line_0-processed-gene-8.62-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.62&CDS=1-1317
917	OG0000917	YDR013W	maker-flattened_line_30-augustus-gene-1.72-mRNA-1_1&gene=maker-flattened_line_30-augustus-gene-1.72&CDS=1-576
918	OG0000918	YDR016C	augustus_masked-flattened_line_44-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.108&CDS=1-225
919	OG0000919	YDR017C	augustus_masked-flattened_line_12-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-4.120&CDS=1-2739
920	OG0000920	YDR019C	augustus_masked-flattened_line_0-processed-gene-18.149-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-18.149&CDS=1-1191
921	OG0000921	YDR020C	augustus_masked-flattened_line_4-processed-gene-7.31-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-7.31&CDS=1-624
922	OG0000922	YDR023W	augustus_masked-flattened_line_4-processed-gene-7.64-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-7.64&CDS=1-1362
923	OG0000923	YDR027C	augustus_masked-flattened_line_0-processed-gene-19.75-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-19.75&CDS=1-3510
924	OG0000924	YDR028C	augustus_masked-flattened_line_0-processed-gene-19.74-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-19.74&CDS=1-2316
925	OG0000925	YDR030C	augustus_masked-flattened_line_26-processed-gene-1.166-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.166&CDS=1-1242
926	OG0000926	YDR032C	augustus_masked-flattened_line_28-processed-gene-1.170-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.170&CDS=1-606
927	OG0000927	YDR035W	maker-flattened_line_8-augustus-gene-3.51-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-3.51&CDS=1-1113
928	OG0000928	YDR037W	augustus_masked-flattened_line_6-processed-gene-7.122-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-7.122&CDS=1-1719
929	OG0000929	YDR041W	augustus_masked-flattened_line_6-processed-gene-6.46-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-6.46&CDS=1-744
930	OG0000930	YDR044W	augustus_masked-flattened_line_12-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.113&CDS=1-1209
931	OG0000931	YDR045C	augustus_masked-flattened_line_12-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.111&CDS=1-336
932	OG0000932	YDR047W	augustus_masked-flattened_line_0-processed-gene-19.92-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-19.92&CDS=1-1089
933	OG0000933	YDR049W	augustus_masked-flattened_line_0-processed-gene-11.152-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-11.152&CDS=1-1752
934	OG0000934	YDR050C	augustus_masked-flattened_line_28-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.126&CDS=1-750
935	OG0000935	YDR051C	maker-flattened_line_14-augustus-gene-2.94-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-2.94&CDS=1-807
936	OG0000936	YDR052C	augustus_masked-flattened_line_21-processed-gene-2.220-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-2.220&CDS=1-1338
937	OG0000937	YDR054C	augustus_masked-flattened_line_21-processed-gene-2.231-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-2.231&CDS=1-675
938	OG0000938	YDR057W	snap_masked-flattened_line_21-processed-gene-1.29-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.29&CDS=1-1317
939	OG0000939	YDR060W	augustus_masked-flattened_line_2-processed-gene-7.95-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-7.95&CDS=1-3111
940	OG0000940	YDR061W	snap_masked-flattened_line_14-processed-gene-3.137-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-3.137&CDS=1-1479
941	OG0000941	YDR062W	augustus_masked-flattened_line_14-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.64&CDS=1-1749
942	OG0000942	YDR064W	maker-flattened_line_14-augustus-gene-3.120-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-3.120&CDS=1-897
943	OG0000943	YDR067C	augustus_masked-flattened_line_14-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.21&CDS=1-639
944	OG0000944	YDR068W	augustus_masked-flattened_line_14-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.25&CDS=1-1143
945	OG0000945	YDR071C	augustus_masked-flattened_line_14-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.43&CDS=1-813
946	OG0000946	YDR074W	augustus_masked-flattened_line_6-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.2&CDS=1-2538
947	OG0000947	YDR079C-A	augustus_masked-flattened_line_42-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.72&CDS=1-213
948	OG0000948	YDR079W	maker-flattened_line_12-augustus-gene-0.122-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-0.122&CDS=1-315
949	OG0000949	YDR080W	augustus_masked-flattened_line_42-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.52&CDS=1-3003
950	OG0000950	YDR083W	augustus_masked-flattened_line_42-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.50&CDS=1-1110
951	OG0000951	YDR084C	augustus_masked-flattened_line_12-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.16&CDS=1-573
952	OG0000952	YDR086C	maker-flattened_line_2-augustus-gene-5.115-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-5.115&CDS=1-207
953	OG0000953	YDR087C	augustus_masked-flattened_line_2-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.28&CDS=1-750
954	OG0000954	YDR088C	augustus_masked-flattened_line_2-processed-gene-5.51-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.51&CDS=1-1134
955	OG0000955	YDR090C	augustus_masked-flattened_line_0-processed-gene-9.75-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.75&CDS=1-906
956	OG0000956	YDR091C	augustus_masked-flattened_line_30-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.50&CDS=1-1818
957	OG0000957	YDR092W	augustus_masked-flattened_line_6-processed-gene-3.166-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.166&CDS=1-453
958	OG0000958	YDR100W	maker-flattened_line_32-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_32-snap-gene-0.1&CDS=1-402
959	OG0000959	YDR101C	augustus_masked-flattened_line_32-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.81&CDS=1-1518
960	OG0000960	YDR104C	augustus_masked-flattened_line_0-processed-gene-17.63-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-17.63&CDS=1-3471
961	OG0000961	YDR105C	augustus_masked-flattened_line_32-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.104&CDS=1-1410
962	OG0000962	YDR108W	augustus_masked-flattened_line_32-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.70&CDS=1-1929
963	OG0000963	YDR109C	augustus_masked-flattened_line_6-processed-gene-7.158-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-7.158&CDS=1-1728
964	OG0000964	YDR111C	augustus_masked-flattened_line_16-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.0&CDS=1-1434
965	OG0000965	YDR115W	augustus_masked-flattened_line_0-processed-gene-26.38-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-26.38&CDS=1-360
966	OG0000966	YDR116C	augustus_masked-flattened_line_8-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.100&CDS=1-876
967	OG0000967	YDR117C	augustus_masked-flattened_line_8-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.124&CDS=1-1863
968	OG0000968	YDR118W	snap_masked-flattened_line_8-processed-gene-2.13-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.13&CDS=1-1845
969	OG0000969	YDR120C	augustus_masked-flattened_line_0-processed-gene-26.9-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-26.9&CDS=1-1461
970	OG0000970	YDR124W	snap_masked-flattened_line_6-processed-gene-2.102-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.102&CDS=1-630
971	OG0000971	YDR126W	augustus_masked-flattened_line_0-processed-gene-26.22-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-26.22&CDS=1-1143
972	OG0000972	YDR127W	augustus_masked-flattened_line_0-processed-gene-7.5-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.5&CDS=1-4725
973	OG0000973	YDR128W	augustus_masked-flattened_line_0-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.2&CDS=1-3843
974	OG0000974	YDR129C	augustus_masked-flattened_line_0-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.11&CDS=1-1905
975	OG0000975	YDR135C	augustus_masked-flattened_line_26-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.140&CDS=1-4644
976	OG0000976	YDR137W	augustus_masked-flattened_line_26-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.119&CDS=1-1851
977	OG0000977	YDR141C	augustus_masked-flattened_line_14-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.27&CDS=1-4755
978	OG0000978	YDR142C	augustus_masked-flattened_line_14-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.28&CDS=1-1044
979	OG0000979	YDR145W	augustus_masked-flattened_line_0-processed-gene-21.153-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-21.153&CDS=1-1689
980	OG0000980	YDR148C	augustus_masked-flattened_line_0-processed-gene-22.69-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-22.69&CDS=1-1353
981	OG0000981	YDR150W	augustus_masked-flattened_line_6-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.56&CDS=1-7086
982	OG0000982	YDR152W	augustus_masked-flattened_line_8-processed-gene-5.174-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-5.174&CDS=1-675
983	OG0000983	YDR155C	augustus_masked-flattened_line_8-processed-gene-5.172-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-5.172&CDS=1-546
984	OG0000984	YDR158W	augustus_masked-flattened_line_8-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.55&CDS=1-1068
985	OG0000985	YDR159W	snap_masked-flattened_line_8-processed-gene-1.98-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.98&CDS=1-3378
986	OG0000986	YDR161W	augustus_masked-flattened_line_8-processed-gene-5.142-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-5.142&CDS=1-960
987	OG0000987	YDR162C	augustus_masked-flattened_line_40-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.92&CDS=1-561
988	OG0000988	YDR164C	maker-flattened_line_26-augustus-gene-1.258-mRNA-1_1&gene=maker-flattened_line_26-augustus-gene-1.258&CDS=1-2073
989	OG0000989	YDR165W	augustus_masked-flattened_line_12-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.120&CDS=1-1113
990	OG0000990	YDR166C	augustus_masked-flattened_line_0-processed-gene-16.164-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-16.164&CDS=1-2676
991	OG0000991	YDR167W	augustus_masked-flattened_line_0-processed-gene-28.121-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-28.121&CDS=1-732
992	OG0000992	YDR168W	augustus_masked-flattened_line_0-processed-gene-28.122-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-28.122&CDS=1-1473
993	OG0000993	YDR169C	snap_masked-flattened_line_34-processed-gene-0.191-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.191&CDS=1-1071
994	OG0000994	YDR170C	augustus_masked-flattened_line_0-processed-gene-12.99-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.99&CDS=1-5553
995	OG0000995	YDR172W	augustus_masked-flattened_line_0-processed-gene-20.70-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-20.70&CDS=1-2103
996	OG0000996	YDR173C	maker-flattened_line_36-augustus-gene-0.177-mRNA-1_1&gene=maker-flattened_line_36-augustus-gene-0.177&CDS=1-1197
997	OG0000997	YDR174W	augustus_masked-flattened_line_10-processed-gene-3.145-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.145&CDS=1-801
998	OG0000998	YDR175C	snap_masked-flattened_line_10-processed-gene-3.38-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.38&CDS=1-927
999	OG0000999	YDR176W	augustus_masked-flattened_line_10-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.129&CDS=1-2103
1000	OG0001000	YDR177W	augustus_masked-flattened_line_10-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.131&CDS=1-636
1001	OG0001001	YDR180W	snap_masked-flattened_line_10-processed-gene-2.31-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.31&CDS=1-4695
1002	OG0001002	YDR182W	augustus_masked-flattened_line_16-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.87&CDS=1-1422
1003	OG0001003	YDR188W	augustus_masked-flattened_line_2-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.84&CDS=1-1581
1004	OG0001004	YDR189W	augustus_masked-flattened_line_2-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.86&CDS=1-1905
1005	OG0001005	YDR190C	augustus_masked-flattened_line_2-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.107&CDS=1-1371
1006	OG0001006	YDR191W	augustus_masked-flattened_line_2-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.110&CDS=1-1422
1007	OG0001007	YDR194C	augustus_masked-flattened_line_2-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.73&CDS=1-1998
1008	OG0001008	YDR196C	augustus_masked-flattened_line_2-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.98&CDS=1-717
1009	OG0001009	YDR198C	augustus_masked-flattened_line_2-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.99&CDS=1-1098
1010	OG0001010	YDR204W	maker-flattened_line_2-augustus-gene-0.1-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-0.1&CDS=1-1101
1011	OG0001011	YDR205W	augustus_masked-flattened_line_2-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.113&CDS=1-2028
1012	OG0001012	YDR208W	snap_masked-flattened_line_8-processed-gene-5.204-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-5.204&CDS=1-2607
1013	OG0001013	YDR211W	augustus_masked-flattened_line_0-processed-gene-18.141-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-18.141&CDS=1-2181
1014	OG0001014	YDR212W	augustus_masked-flattened_line_0-processed-gene-18.138-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-18.138&CDS=1-1671
