	OrthologID	Saccharomyces_cerevisiae	yHAB159_Kazachstania_solicola
199	OG0000199	YBR140C	augustus_masked-scf7180000045831-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045831-processed-gene-0.0&CDS=1-9132, snap_masked-scf7180000046254-processed-gene-0.116-mRNA-1_1&gene=snap_masked-scf7180000046254-processed-gene-0.116&CDS=1-9144
200	OG0000200	YBR147W, YOL092W	maker-scf7180000046254-augustus-gene-0.126-mRNA-1_1&gene=maker-scf7180000046254-augustus-gene-0.126&CDS=1-1989
201	OG0000201	YBR152W	augustus_masked-scf7180000045124-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000045124-processed-gene-0.7&CDS=1-411, snap_masked-scf7180000046332-processed-gene-0.55-mRNA-1_1&gene=snap_masked-scf7180000046332-processed-gene-0.55&CDS=1-765
202	OG0000202	YBR153W	genemark-scf7180000045124-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000045124-processed-gene-0.3&CDS=1-729, genemark-scf7180000046332-processed-gene-0.92-mRNA-1_1&gene=genemark-scf7180000046332-processed-gene-0.92&CDS=1-729
203	OG0000203	YBR161W, YPL057C	genemark-scf7180000046325-processed-gene-1.74-mRNA-1_1&gene=genemark-scf7180000046325-processed-gene-1.74&CDS=1-1134
204	OG0000204	YBR181C, YPL090C	genemark-scf7180000046325-processed-gene-2.112-mRNA-1_1&gene=genemark-scf7180000046325-processed-gene-2.112&CDS=1-708
205	OG0000205	YBR183W, YPL087W	genemark-scf7180000046192-processed-gene-0.39-mRNA-1_1&gene=genemark-scf7180000046192-processed-gene-0.39&CDS=1-927
206	OG0000206	YBR191W, YPL079W	maker-scf7180000046192-augustus-gene-0.6-mRNA-1_1&gene=maker-scf7180000046192-augustus-gene-0.6&CDS=1-480
207	OG0000207	YBR242W, YGL101W	genemark-scf7180000046332-processed-gene-1.27-mRNA-1_1&gene=genemark-scf7180000046332-processed-gene-1.27&CDS=1-708
208	OG0000208	YBR244W, YIR037W	genemark-scf7180000046332-processed-gene-1.28-mRNA-1_1&gene=genemark-scf7180000046332-processed-gene-1.28&CDS=1-480
209	OG0000209	YBR245C	genemark-scf7180000046030-processed-gene-0.21-mRNA-1_1&gene=genemark-scf7180000046030-processed-gene-0.21&CDS=1-3396, snap_masked-scf7180000046332-processed-gene-1.151-mRNA-1_1&gene=snap_masked-scf7180000046332-processed-gene-1.151&CDS=1-3204
210	OG0000210	YCL025C	genemark-scf7180000046087-processed-gene-0.97-mRNA-1_1&gene=genemark-scf7180000046087-processed-gene-0.97&CDS=1-1947, genemark-scf7180000046175-processed-gene-0.24-mRNA-1_1&gene=genemark-scf7180000046175-processed-gene-0.24&CDS=1-1944
211	OG0000211	YCL032W	augustus_masked-scf7180000046108-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000046108-processed-gene-0.2&CDS=1-705, genemark-scf7180000046308-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000046308-processed-gene-0.13&CDS=1-1044
212	OG0000212	YCL050C, YDR530C	genemark-scf7180000046087-processed-gene-0.76-mRNA-1_1&gene=genemark-scf7180000046087-processed-gene-0.76&CDS=1-1044
213	OG0000213	YCL051W, YDR528W	augustus_masked-scf7180000046308-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000046308-processed-gene-0.69&CDS=1-2229
214	OG0000214	YCL066W, YCR040W	snap_masked-scf7180000046176-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000046176-processed-gene-0.0&CDS=1-390
215	OG0000215	YCL068C, YCR038C	genemark-scf7180000046243-processed-gene-0.71-mRNA-1_1&gene=genemark-scf7180000046243-processed-gene-0.71&CDS=1-4146
216	OG0000216	YCL075W	snap_masked-scf7180000046164-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scf7180000046164-processed-gene-0.11&CDS=1-372, snap_masked-scf7180000046261-processed-gene-0.79-mRNA-1_1&gene=snap_masked-scf7180000046261-processed-gene-0.79&CDS=1-723
217	OG0000217	YCR010C, YNR002C	genemark-scf7180000046177-processed-gene-0.107-mRNA-1_1&gene=genemark-scf7180000046177-processed-gene-0.107&CDS=1-795
218	OG0000218	YCR012W	genemark-scf7180000046177-processed-gene-0.137-mRNA-1_1&gene=genemark-scf7180000046177-processed-gene-0.137&CDS=1-1245, genemark-scf7180000046326-processed-gene-0.41-mRNA-1_1&gene=genemark-scf7180000046326-processed-gene-0.41&CDS=1-1248
219	OG0000219	YCR024C	augustus_masked-scf7180000046205-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000046205-processed-gene-0.28&CDS=1-1020, snap_masked-scf7180000046177-processed-gene-0.79-mRNA-1_1&gene=snap_masked-scf7180000046177-processed-gene-0.79&CDS=1-267
220	OG0000220	YCR031C, YJL191W	genemark-scf7180000046269-processed-gene-0.198-mRNA-1_1&gene=genemark-scf7180000046269-processed-gene-0.198&CDS=1-411
221	OG0000221	YCR037C	genemark-scf7180000046269-processed-gene-0.202-mRNA-1_1&gene=genemark-scf7180000046269-processed-gene-0.202&CDS=1-2781, maker-scf7180000046243-snap-gene-0.86-mRNA-1_1&gene=maker-scf7180000046243-snap-gene-0.86&CDS=1-2877
222	OG0000222	YCR073W-A, YNR034W	genemark-scf7180000046331-processed-gene-2.38-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.38&CDS=1-1038
223	OG0000223	YCR084C	genemark-scf7180000046209-processed-gene-1.65-mRNA-1_1&gene=genemark-scf7180000046209-processed-gene-1.65&CDS=1-2064, genemark-scf7180000046331-processed-gene-2.80-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.80&CDS=1-2130
224	OG0000224	YCR089W, YLR110C	augustus_masked-scf7180000046209-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-scf7180000046209-processed-gene-1.134&CDS=1-3984
225	OG0000225	YCR106W, YLL054C	augustus_masked-scf7180000046332-processed-gene-1.215-mRNA-1_1&gene=augustus_masked-scf7180000046332-processed-gene-1.215&CDS=1-2709
226	OG0000226	YDL022W	genemark-scf7180000046235-processed-gene-0.74-mRNA-1_1&gene=genemark-scf7180000046235-processed-gene-0.74&CDS=1-1173, genemark-scf7180000046300-processed-gene-0.140-mRNA-1_1&gene=genemark-scf7180000046300-processed-gene-0.140&CDS=1-1203
227	OG0000227	YDL028C	genemark-scf7180000045246-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000045246-processed-gene-0.0&CDS=1-654, snap_masked-scf7180000046235-processed-gene-0.100-mRNA-1_1&gene=snap_masked-scf7180000046235-processed-gene-0.100&CDS=1-2379
228	OG0000228	YDL035C	augustus_masked-scf7180000045303-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045303-processed-gene-0.0&CDS=1-312, genemark-scf7180000046235-processed-gene-0.58-mRNA-1_1&gene=genemark-scf7180000046235-processed-gene-0.58&CDS=1-2769
229	OG0000229	YDL073W	augustus_masked-scf7180000046145-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000046145-processed-gene-0.7&CDS=1-2238, snap_masked-scf7180000046274-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scf7180000046274-processed-gene-0.33&CDS=1-315
230	OG0000230	YDL074C	genemark-scf7180000046145-processed-gene-0.17-mRNA-1_1&gene=genemark-scf7180000046145-processed-gene-0.17&CDS=1-2124, snap_masked-scf7180000044967-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000044967-processed-gene-0.2&CDS=1-213
231	OG0000231	YDL075W, YLR406C	genemark-scf7180000046145-processed-gene-0.23-mRNA-1_1&gene=genemark-scf7180000046145-processed-gene-0.23&CDS=1-339
232	OG0000232	YDL081C	genemark-scf7180000045274-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000045274-processed-gene-0.0&CDS=1-315, genemark-scf7180000046288-processed-gene-0.33-mRNA-1_1&gene=genemark-scf7180000046288-processed-gene-0.33&CDS=1-315
233	OG0000233	YDL083C, YMR143W	snap_masked-scf7180000046288-processed-gene-0.107-mRNA-1_1&gene=snap_masked-scf7180000046288-processed-gene-0.107&CDS=1-429
234	OG0000234	YDL085W, YMR145C	maker-scf7180000046309-snap-gene-0.85-mRNA-1_1&gene=maker-scf7180000046309-snap-gene-0.85&CDS=1-1539
235	OG0000235	YDL088C, YMR153W	genemark-scf7180000046261-processed-gene-0.143-mRNA-1_1&gene=genemark-scf7180000046261-processed-gene-0.143&CDS=1-1704
236	OG0000236	YDL091C	genemark-scf7180000046309-processed-gene-0.26-mRNA-1_1&gene=genemark-scf7180000046309-processed-gene-0.26&CDS=1-1332, snap_masked-scf7180000045008-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000045008-processed-gene-0.1&CDS=1-282
237	OG0000237	YDL093W, YDL095W	maker-scf7180000046309-snap-gene-0.84-mRNA-1_1&gene=maker-scf7180000046309-snap-gene-0.84&CDS=1-4683
238	OG0000238	YDL097C	augustus_masked-scf7180000046142-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-scf7180000046142-processed-gene-0.164&CDS=1-1791, genemark-scf7180000045115-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000045115-processed-gene-0.2&CDS=1-1272
239	OG0000239	YDL127W, YDL179W	genemark-scf7180000046220-processed-gene-1.48-mRNA-1_1&gene=genemark-scf7180000046220-processed-gene-1.48&CDS=1-921
240	OG0000240	YDL131W	genemark-scf7180000046220-processed-gene-1.45-mRNA-1_1&gene=genemark-scf7180000046220-processed-gene-1.45&CDS=1-1320, snap_masked-scf7180000046280-processed-gene-0.85-mRNA-1_1&gene=snap_masked-scf7180000046280-processed-gene-0.85&CDS=1-1320
241	OG0000241	YDL134C, YDL188C	genemark-scf7180000046220-processed-gene-1.76-mRNA-1_1&gene=genemark-scf7180000046220-processed-gene-1.76&CDS=1-1185
242	OG0000242	YDL136W, YDL191W	genemark-scf7180000046280-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000046280-processed-gene-0.25&CDS=1-360
243	OG0000243	YDL137W	genemark-scf7180000046220-processed-gene-1.40-mRNA-1_1&gene=genemark-scf7180000046220-processed-gene-1.40&CDS=1-543, genemark-scf7180000046280-processed-gene-0.24-mRNA-1_1&gene=genemark-scf7180000046280-processed-gene-0.24&CDS=1-543
244	OG0000244	YDL159W	augustus_masked-scf7180000046194-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000046194-processed-gene-0.2&CDS=1-1293, snap_masked-scf7180000046220-processed-gene-1.109-mRNA-1_1&gene=snap_masked-scf7180000046220-processed-gene-1.109&CDS=1-1425
245	OG0000245	YDL175C, YIL079C	genemark-scf7180000046297-processed-gene-0.88-mRNA-1_1&gene=genemark-scf7180000046297-processed-gene-0.88&CDS=1-504
246	OG0000246	YDL186W	augustus_masked-scf7180000044873-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000044873-processed-gene-0.0&CDS=1-354, augustus_masked-scf7180000046280-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-scf7180000046280-processed-gene-0.150&CDS=1-810
247	OG0000247	YDL222C, YNL194C	snap_masked-scf7180000046298-processed-gene-0.61-mRNA-1_1&gene=snap_masked-scf7180000046298-processed-gene-0.61&CDS=1-1041
248	OG0000248	YDL229W, YNL209W	genemark-scf7180000046260-processed-gene-0.265-mRNA-1_1&gene=genemark-scf7180000046260-processed-gene-0.265&CDS=1-1839
249	OG0000249	YDR011W	genemark-scf7180000046300-processed-gene-0.94-mRNA-1_1&gene=genemark-scf7180000046300-processed-gene-0.94&CDS=1-4506, genemark-scf7180000046343-processed-gene-0.47-mRNA-1_1&gene=genemark-scf7180000046343-processed-gene-0.47&CDS=1-4365
250	OG0000250	YDR043C	genemark-scf7180000045216-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000045216-processed-gene-0.0&CDS=1-729, genemark-scf7180000046266-processed-gene-0.259-mRNA-1_1&gene=genemark-scf7180000046266-processed-gene-0.259&CDS=1-729
251	OG0000251	YDR065W	augustus_masked-scf7180000046331-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-scf7180000046331-processed-gene-0.99&CDS=1-1140, snap_masked-scf7180000045286-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000045286-processed-gene-0.1&CDS=1-477
252	OG0000252	YDR073W	genemark-scf7180000046331-processed-gene-0.53-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-0.53&CDS=1-486, snap_masked-scf7180000046045-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000046045-processed-gene-0.1&CDS=1-471
253	OG0000253	YDR099W, YER177W	genemark-scf7180000046273-processed-gene-0.221-mRNA-1_1&gene=genemark-scf7180000046273-processed-gene-0.221&CDS=1-780
254	OG0000254	YDR110W	snap_masked-scf7180000045059-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000045059-processed-gene-0.0&CDS=1-252, snap_masked-scf7180000046318-processed-gene-0.165-mRNA-1_1&gene=snap_masked-scf7180000046318-processed-gene-0.165&CDS=1-1626
255	OG0000255	YDR144C, YLR120C	genemark-scf7180000046324-processed-gene-0.162-mRNA-1_1&gene=genemark-scf7180000046324-processed-gene-0.162&CDS=1-1659
256	OG0000256	YDR150W	augustus_masked-scf7180000044964-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000044964-processed-gene-0.0&CDS=1-492, snap_masked-scf7180000046261-processed-gene-0.88-mRNA-1_1&gene=snap_masked-scf7180000046261-processed-gene-0.88&CDS=1-11037
257	OG0000257	YDR151C, YLR136C	genemark-scf7180000046261-processed-gene-0.115-mRNA-1_1&gene=genemark-scf7180000046261-processed-gene-0.115&CDS=1-1215
258	OG0000258	YDR200C, YLR238W	snap_masked-scf7180000046325-processed-gene-0.103-mRNA-1_1&gene=snap_masked-scf7180000046325-processed-gene-0.103&CDS=1-2010
259	OG0000259	YDR222W, YLR225C	genemark-scf7180000046325-processed-gene-0.55-mRNA-1_1&gene=genemark-scf7180000046325-processed-gene-0.55&CDS=1-1260
260	OG0000260	YDR225W	genemark-scf7180000046269-processed-gene-0.162-mRNA-1_1&gene=genemark-scf7180000046269-processed-gene-0.162&CDS=1-396, genemark-scf7180000046325-processed-gene-0.56-mRNA-1_1&gene=genemark-scf7180000046325-processed-gene-0.56&CDS=1-396
261	OG0000261	YDR263C, YOR033C	genemark-scf7180000046297-processed-gene-0.80-mRNA-1_1&gene=genemark-scf7180000046297-processed-gene-0.80&CDS=1-2244
262	OG0000262	YDR277C, YOR047C	genemark-scf7180000046297-processed-gene-0.74-mRNA-1_1&gene=genemark-scf7180000046297-processed-gene-0.74&CDS=1-1527
263	OG0000263	YDR288W	genemark-scf7180000046234-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000046234-processed-gene-0.1&CDS=1-579, genemark-scf7180000046291-processed-gene-0.55-mRNA-1_1&gene=genemark-scf7180000046291-processed-gene-0.55&CDS=1-909
264	OG0000264	YDR312W, YHR066W	genemark-scf7180000046265-processed-gene-0.145-mRNA-1_1&gene=genemark-scf7180000046265-processed-gene-0.145&CDS=1-1374
265	OG0000265	YDR348C, YHR097C	genemark-scf7180000046319-processed-gene-0.169-mRNA-1_1&gene=genemark-scf7180000046319-processed-gene-0.169&CDS=1-1641
266	OG0000266	YDR353W, YHR106W	augustus_masked-scf7180000046319-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000046319-processed-gene-0.27&CDS=1-2886
267	OG0000267	YDR368W, YOR120W	augustus_masked-scf7180000046299-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-scf7180000046299-processed-gene-0.116&CDS=1-897
268	OG0000268	YDR370C	snap_masked-scf7180000045882-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000045882-processed-gene-0.1&CDS=1-282, snap_masked-scf7180000046299-processed-gene-0.53-mRNA-1_1&gene=snap_masked-scf7180000046299-processed-gene-0.53&CDS=1-1212
269	OG0000269	YDR418W, YEL054C	genemark-scf7180000046296-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000046296-processed-gene-0.62&CDS=1-495
270	OG0000270	YDR421W	augustus_masked-scf7180000045157-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045157-processed-gene-0.0&CDS=1-1110, snap_masked-scf7180000046220-processed-gene-0.81-mRNA-1_1&gene=snap_masked-scf7180000046220-processed-gene-0.81&CDS=1-3078
271	OG0000271	YDR444W	genemark-scf7180000046026-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000046026-processed-gene-0.12&CDS=1-1902, genemark-scf7180000046220-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000046220-processed-gene-0.31&CDS=1-2073
272	OG0000272	YDR450W, YML026C	genemark-scf7180000046320-processed-gene-0.118-mRNA-1_1&gene=genemark-scf7180000046320-processed-gene-0.118&CDS=1-438
273	OG0000273	YDR453C, YML028W	genemark-scf7180000046320-processed-gene-0.87-mRNA-1_1&gene=genemark-scf7180000046320-processed-gene-0.87&CDS=1-597
274	OG0000274	YDR471W, YHR010W	genemark-scf7180000046320-processed-gene-0.112-mRNA-1_1&gene=genemark-scf7180000046320-processed-gene-0.112&CDS=1-408
275	OG0000275	YDR483W	genemark-scf7180000046325-processed-gene-1.69-mRNA-1_1&gene=genemark-scf7180000046325-processed-gene-1.69&CDS=1-1323, snap_masked-scf7180000046325-processed-gene-1.130-mRNA-1_1&gene=snap_masked-scf7180000046325-processed-gene-1.130&CDS=1-1152
276	OG0000276	YDR495C	augustus_masked-scf7180000046143-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scf7180000046143-processed-gene-0.55&CDS=1-1041, snap_masked-scf7180000045893-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000045893-processed-gene-0.9&CDS=1-2871
277	OG0000277	YDR500C, YLR185W	snap_masked-scf7180000046087-processed-gene-0.141-mRNA-1_1&gene=snap_masked-scf7180000046087-processed-gene-0.141&CDS=1-264
278	OG0000278	YDR502C, YLR180W	maker-scf7180000046040-snap-gene-0.10-mRNA-1_1&gene=maker-scf7180000046040-snap-gene-0.10&CDS=1-1056
279	OG0000279	YEL017W	snap_masked-scf7180000045363-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000045363-processed-gene-0.0&CDS=1-354, snap_masked-scf7180000046326-processed-gene-0.71-mRNA-1_1&gene=snap_masked-scf7180000046326-processed-gene-0.71&CDS=1-1026
280	OG0000280	YEL061C	augustus_masked-scf7180000045974-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045974-processed-gene-0.0&CDS=1-609, genemark-scf7180000046309-processed-gene-1.76-mRNA-1_1&gene=genemark-scf7180000046309-processed-gene-1.76&CDS=1-3231
281	OG0000281	YEL065W	genemark-scf7180000046088-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000046088-processed-gene-0.16&CDS=1-1923, maker-scf7180000046285-snap-gene-0.111-mRNA-1_1&gene=maker-scf7180000046285-snap-gene-0.111&CDS=1-1806
282	OG0000282	YER006W	augustus_masked-scf7180000046170-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-scf7180000046170-processed-gene-0.181&CDS=1-606, genemark-scf7180000046244-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000046244-processed-gene-0.10&CDS=1-3504
283	OG0000283	YER007W	augustus_masked-scf7180000046170-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-scf7180000046170-processed-gene-0.180&CDS=1-1413, snap_masked-scf7180000046244-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000046244-processed-gene-0.2&CDS=1-366
284	OG0000284	YER015W	genemark-scf7180000046148-processed-gene-0.37-mRNA-1_1&gene=genemark-scf7180000046148-processed-gene-0.37&CDS=1-2259, snap_masked-scf7180000045188-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000045188-processed-gene-0.1&CDS=1-948
285	OG0000285	YER041W	augustus_masked-scf7180000044949-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000044949-processed-gene-0.2&CDS=1-405, snap_masked-scf7180000046309-processed-gene-2.36-mRNA-1_1&gene=snap_masked-scf7180000046309-processed-gene-2.36&CDS=1-3069
286	OG0000286	YER056C-A, YIL052C	augustus_masked-scf7180000046255-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-scf7180000046255-processed-gene-0.99&CDS=1-363
287	OG0000287	YER059W, YIL050W	snap_masked-scf7180000046331-processed-gene-0.40-mRNA-1_1&gene=snap_masked-scf7180000046331-processed-gene-0.40&CDS=1-1353
288	OG0000288	YER062C, YIL053W	genemark-scf7180000046331-processed-gene-0.89-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-0.89&CDS=1-750
289	OG0000289	YER081W, YIL074C	genemark-scf7180000046300-processed-gene-0.85-mRNA-1_1&gene=genemark-scf7180000046300-processed-gene-0.85&CDS=1-1407
290	OG0000290	YER109C	snap_masked-scf7180000046220-processed-gene-1.92-mRNA-1_1&gene=snap_masked-scf7180000046220-processed-gene-1.92&CDS=1-3063, snap_masked-scf7180000046265-processed-gene-0.98-mRNA-1_1&gene=snap_masked-scf7180000046265-processed-gene-0.98&CDS=1-2139
291	OG0000291	YER111C	snap_masked-scf7180000046220-processed-gene-1.90-mRNA-1_1&gene=snap_masked-scf7180000046220-processed-gene-1.90&CDS=1-3177, snap_masked-scf7180000046265-processed-gene-0.100-mRNA-1_1&gene=snap_masked-scf7180000046265-processed-gene-0.100&CDS=1-3321
292	OG0000292	YER131W, YGL189C	genemark-scf7180000046309-processed-gene-2.77-mRNA-1_1&gene=genemark-scf7180000046309-processed-gene-2.77&CDS=1-357
293	OG0000293	YER137C	genemark-scf7180000045263-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000045263-processed-gene-0.1&CDS=1-543, snap_masked-scf7180000046331-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000046331-processed-gene-0.0&CDS=1-522
294	OG0000294	YER158C	snap_masked-scf7180000045565-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000045565-processed-gene-0.1&CDS=1-279, snap_masked-scf7180000046139-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scf7180000046139-processed-gene-0.19&CDS=1-1647
295	OG0000295	YER187W	genemark-scf7180000044848-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000044848-processed-gene-0.3&CDS=1-972, genemark-scf7180000045458-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000045458-processed-gene-0.0&CDS=1-393
296	OG0000296	YFL002C	augustus_masked-scf7180000045240-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045240-processed-gene-0.2&CDS=1-735, augustus_masked-scf7180000046132-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scf7180000046132-processed-gene-0.56&CDS=1-2700
297	OG0000297	YFL007W	maker-scf7180000046210-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000046210-snap-gene-0.0&CDS=1-6339, maker-scf7180000046309-snap-gene-2.178-mRNA-1_1&gene=maker-scf7180000046309-snap-gene-2.178&CDS=1-6774
298	OG0000298	YFL027C	augustus_masked-scf7180000046305-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-scf7180000046305-processed-gene-1.31&CDS=1-1416, snap_masked-scf7180000044891-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000044891-processed-gene-0.1&CDS=1-306
299	OG0000299	YFL034C-A, YLR061W	genemark-scf7180000046127-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000046127-processed-gene-0.22&CDS=1-354
300	OG0000300	YFL050C, YOL130W	genemark-scf7180000046177-processed-gene-0.108-mRNA-1_1&gene=genemark-scf7180000046177-processed-gene-0.108&CDS=1-2739
301	OG0000301	YFR015C	genemark-scf7180000046269-processed-gene-0.172-mRNA-1_1&gene=genemark-scf7180000046269-processed-gene-0.172&CDS=1-2127, genemark-scf7180000046324-processed-gene-0.151-mRNA-1_1&gene=genemark-scf7180000046324-processed-gene-0.151&CDS=1-2103
302	OG0000302	YFR016C	augustus_masked-scf7180000045494-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045494-processed-gene-0.0&CDS=1-360, augustus_masked-scf7180000046269-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scf7180000046269-processed-gene-0.33&CDS=1-2640
303	OG0000303	YFR024C-A, YHR016C	snap_masked-scf7180000046269-processed-gene-0.141-mRNA-1_1&gene=snap_masked-scf7180000046269-processed-gene-0.141&CDS=1-2220
304	OG0000304	YFR031C-A, YIL018W	snap_masked-scf7180000046310-processed-gene-0.141-mRNA-1_1&gene=snap_masked-scf7180000046310-processed-gene-0.141&CDS=1-762
305	OG0000305	YFR034C	augustus_masked-scf7180000045425-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045425-processed-gene-0.0&CDS=1-234, genemark-scf7180000046255-processed-gene-0.18-mRNA-1_1&gene=genemark-scf7180000046255-processed-gene-0.18&CDS=1-1674
306	OG0000306	YGL008C	genemark-scf7180000046197-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000046197-processed-gene-0.13&CDS=1-2712, genemark-scf7180000046327-processed-gene-0.21-mRNA-1_1&gene=genemark-scf7180000046327-processed-gene-0.21&CDS=1-2793
307	OG0000307	YGL014W	augustus_masked-scf7180000045323-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045323-processed-gene-0.0&CDS=1-498, genemark-scf7180000046197-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000046197-processed-gene-0.12&CDS=1-2532
308	OG0000308	YGL023C	augustus_masked-scf7180000045071-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000045071-processed-gene-0.4&CDS=1-879, augustus_masked-scf7180000045803-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045803-processed-gene-0.0&CDS=1-1713
309	OG0000309	YGL027C	augustus_masked-scf7180000044844-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000044844-processed-gene-0.2&CDS=1-1005, genemark-scf7180000046220-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000046220-processed-gene-0.25&CDS=1-2439
310	OG0000310	YGL031C, YGR148C	snap_masked-scf7180000046220-processed-gene-0.62-mRNA-1_1&gene=snap_masked-scf7180000046220-processed-gene-0.62&CDS=1-453
311	OG0000311	YGL076C, YPL198W	genemark-scf7180000046250-processed-gene-0.44-mRNA-1_1&gene=genemark-scf7180000046250-processed-gene-0.44&CDS=1-732
312	OG0000312	YGL084C, YPL189W	genemark-scf7180000046332-processed-gene-1.76-mRNA-1_1&gene=genemark-scf7180000046332-processed-gene-1.76&CDS=1-3012
313	OG0000313	YGL089C, YPL187W	genemark-scf7180000046250-processed-gene-0.47-mRNA-1_1&gene=genemark-scf7180000046250-processed-gene-0.47&CDS=1-498
314	OG0000314	YGL113W	augustus_masked-scf7180000045142-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045142-processed-gene-0.0&CDS=1-1137, augustus_masked-scf7180000046330-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-scf7180000046330-processed-gene-0.158&CDS=1-2265
315	OG0000315	YGL131C	augustus_masked-scf7180000045175-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045175-processed-gene-0.0&CDS=1-1023, snap_masked-scf7180000046250-processed-gene-0.89-mRNA-1_1&gene=snap_masked-scf7180000046250-processed-gene-0.89&CDS=1-3915
316	OG0000316	YGL135W, YPL220W	genemark-scf7180000046331-processed-gene-1.91-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-1.91&CDS=1-651
