	OrthologID	Nakaseomyces_bacillisporus	Saccharomyces_cerevisiae
742	OG0000742	augustus_masked-NABA0S03-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.77&CDS=1-1014	YJL208C
743	OG0000743	augustus_masked-NABA0S03-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.78&CDS=1-6036	YJL207C
744	OG0000744	augustus_masked-NABA0S03-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.79&CDS=1-2388	YJL204C
745	OG0000745	augustus_masked-NABA0S03-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.66&CDS=1-1140	YJL203W
746	OG0000746	augustus_masked-NABA0S03-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.67&CDS=1-1896	YJL201W
747	OG0000747	augustus_masked-NABA0S03-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.68&CDS=1-2790	YCR037C
748	OG0000748	augustus_masked-NABA0S03-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.69&CDS=1-3642	YJL197W
749	OG0000749	augustus_masked-NABA0S03-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.70&CDS=1-1704	YJL194W
750	OG0000750	snap_masked-NABA0S03-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-0.7&CDS=1-1755	YDL233W
751	OG0000751	augustus_masked-NABA0S03-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.82&CDS=1-3201	YDL231C
752	OG0000752	augustus_masked-NABA0S03-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.72&CDS=1-987	YDL230W
753	OG0000753	augustus_masked-NABA0S03-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.83&CDS=1-1956	YDL227C
754	OG0000754	augustus_masked-NABA0S03-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.84&CDS=1-1080	YDL226C
755	OG0000755	augustus_masked-NABA0S03-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.85&CDS=1-2028	YNL199C
756	OG0000756	augustus_masked-NABA0S03-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.73&CDS=1-1578	YDL225W
757	OG0000757	snap_masked-NABA0S03-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-0.24&CDS=1-2319	YDL220C
758	OG0000758	augustus_masked-NABA0S03-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.74&CDS=1-474	YDL219W
759	OG0000759	genemark-NABA0S03-processed-gene-0.44-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-0.44&CDS=1-759	YDL218W
760	OG0000760	genemark-NABA0S03-processed-gene-0.58-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-0.58&CDS=1-579	YDL217C
761	OG0000761	genemark-NABA0S03-processed-gene-0.59-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-0.59&CDS=1-1488	YDL216C
762	OG0000762	genemark-NABA0S03-processed-gene-0.60-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-0.60&CDS=1-3291	YDL215C
763	OG0000763	augustus_masked-NABA0S03-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.90&CDS=1-660	YDL213C
764	OG0000764	augustus_masked-NABA0S03-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.76&CDS=1-621	YDL212W
765	OG0000765	maker-NABA0S03-augustus-gene-1.45-mRNA-1_1&gene=maker-NABA0S03-augustus-gene-1.45&CDS=1-1047	YHR144C
766	OG0000766	augustus_masked-NABA0S03-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.3&CDS=1-210	YHR143W-A
767	OG0000767	augustus_masked-NABA0S03-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.4&CDS=1-1131	YHR143W
768	OG0000768	augustus_masked-NABA0S03-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.5&CDS=1-930	YHR142W
769	OG0000769	augustus_masked-NABA0S03-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.19&CDS=1-696	YHR140W
770	OG0000770	genemark-NABA0S03-processed-gene-1.55-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-1.55&CDS=1-369	YHR138C
771	OG0000771	augustus_masked-NABA0S03-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.20&CDS=1-1509	YHR137W
772	OG0000772	augustus_masked-NABA0S03-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.21&CDS=1-1128	YHR134W
773	OG0000773	snap_masked-NABA0S03-processed-gene-1.106-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-1.106&CDS=1-1347	YHR132C
774	OG0000774	augustus_masked-NABA0S03-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.22&CDS=1-648	YHR128W
775	OG0000775	augustus_masked-NABA0S03-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.23&CDS=1-717	YHR127W
776	OG0000776	genemark-NABA0S03-processed-gene-1.75-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-1.75&CDS=1-1932	YHR124W
777	OG0000777	augustus_masked-NABA0S03-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.25&CDS=1-570	YHR121W
778	OG0000778	augustus_masked-NABA0S03-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.26&CDS=1-5991	YHR120W
779	OG0000779	augustus_masked-NABA0S03-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.11&CDS=1-1392	YHR118C
780	OG0000780	augustus_masked-NABA0S03-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.28&CDS=1-1896	YHR114W
781	OG0000781	augustus_masked-NABA0S03-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.13&CDS=1-759	YOR115C
782	OG0000782	augustus_masked-NABA0S03-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.29&CDS=1-855	YOR114W
783	OG0000783	snap_masked-NABA0S03-processed-gene-1.134-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-1.134&CDS=1-2949	YOR113W
784	OG0000784	augustus_masked-NABA0S03-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.31&CDS=1-2268	YOR112W
785	OG0000785	augustus_masked-NABA0S03-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.32&CDS=1-645	YOR111W
786	OG0000786	augustus_masked-NABA0S03-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.33&CDS=1-1248	YNL108C
787	OG0000787	augustus_masked-NABA0S03-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.36&CDS=1-1098	YOR107W
788	OG0000788	augustus_masked-NABA0S03-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.37&CDS=1-852	YOR106W
789	OG0000789	augustus_masked-NABA0S03-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.38&CDS=1-771	YOR104W
790	OG0000790	augustus_masked-NABA0S03-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.14&CDS=1-447	YOR103C
791	OG0000791	augustus_masked-NABA0S03-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.15&CDS=1-975	YOR100C
792	OG0000792	augustus_masked-NABA0S03-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.16&CDS=1-3351	YOR098C
793	OG0000793	augustus_masked-NABA0S03-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.41&CDS=1-561	YOR096W
794	OG0000794	augustus_masked-NABA0S03-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.17&CDS=1-765	YOR095C
795	OG0000795	augustus_masked-NABA0S03-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.42&CDS=1-549	YOR094W
796	OG0000796	augustus_masked-NABA0S03-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.43&CDS=1-3882	YBL047C
797	OG0000797	augustus_masked-NABA0S03-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.18&CDS=1-1128	YBL046W
798	OG0000798	genemark-NABA0S03-processed-gene-2.41-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-2.41&CDS=1-1353	YBL045C
799	OG0000799	snap_masked-NABA0S03-processed-gene-2.80-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-2.80&CDS=1-585	YER034W
800	OG0000800	augustus_masked-NABA0S03-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.0&CDS=1-2787	YER033C
801	OG0000801	snap_masked-NABA0S03-processed-gene-2.81-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-2.81&CDS=1-2832	YER032W
802	OG0000802	augustus_masked-NABA0S03-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.3&CDS=1-669	YGL210W
803	OG0000803	augustus_masked-NABA0S03-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.19&CDS=1-456	YER030W
804	OG0000804	augustus_masked-NABA0S03-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.4&CDS=1-519	YER029C
805	OG0000805	augustus_masked-NABA0S03-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.6&CDS=1-1455	YER027C
806	OG0000806	augustus_masked-NABA0S03-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.7&CDS=1-801	YER026C
807	OG0000807	augustus_masked-NABA0S03-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.20&CDS=1-2709	YPR160W
808	OG0000808	augustus_masked-NABA0S03-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.8&CDS=1-1845	YPR155C
809	OG0000809	augustus_masked-NABA0S03-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.23&CDS=1-678	YPR154W
810	OG0000810	augustus_masked-NABA0S03-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.9&CDS=1-657	YPR151C
811	OG0000811	augustus_masked-NABA0S03-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.10&CDS=1-1320	YPR148C
812	OG0000812	augustus_masked-NABA0S03-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.11&CDS=1-969	YPR147C
813	OG0000813	augustus_masked-NABA0S03-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.12&CDS=1-1632	YPR144C
814	OG0000814	augustus_masked-NABA0S03-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.25&CDS=1-783	YPR143W
815	OG0000815	augustus_masked-NABA0S03-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.13&CDS=1-2178	YPR141C
816	OG0000816	augustus_masked-NABA0S03-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.26&CDS=1-879	YPR140W
817	OG0000817	augustus_masked-NABA0S03-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.27&CDS=1-1764	YPR137W
818	OG0000818	augustus_masked-NABA0S03-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.28&CDS=1-2772	YPR135W
819	OG0000819	augustus_masked-NABA0S03-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.29&CDS=1-774	YPR134W
820	OG0000820	augustus_masked-NABA0S03-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.15&CDS=1-1242	YPR133C
821	OG0000821	augustus_masked-NABA0S03-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.16&CDS=1-1518	YPR131C
822	OG0000822	augustus_masked-NABA0S03-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.32&CDS=1-1293	YPR125W
823	OG0000823	augustus_masked-NABA0S03-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.33&CDS=1-915	YPR124W
824	OG0000824	augustus_masked-NABA0S03-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.34&CDS=1-3675	YPR122W
825	OG0000825	genemark-NABA0S03-processed-gene-2.59-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-2.59&CDS=1-1209	YPR120C
826	OG0000826	augustus_masked-NABA0S03-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.35&CDS=1-1404	YPR119W
827	OG0000827	augustus_masked-NABA0S03-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.18&CDS=1-1242	YPR118W
828	OG0000828	augustus_masked-NABA0S03-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.95&CDS=1-7326	YPR117W
829	OG0000829	snap_masked-NABA0S03-processed-gene-3.49-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-3.49&CDS=1-843	YPR116W
830	OG0000830	augustus_masked-NABA0S03-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.98&CDS=1-933	YPR114W
831	OG0000831	augustus_masked-NABA0S03-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.99&CDS=1-642	YPR113W
832	OG0000832	augustus_masked-NABA0S03-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.94&CDS=1-2664	YPR112C
833	OG0000833	augustus_masked-NABA0S03-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.122&CDS=1-864	YPR109W
834	OG0000834	augustus_masked-NABA0S03-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.123&CDS=1-1275	YPR108W
835	OG0000835	augustus_masked-NABA0S03-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.102&CDS=1-2688	YPR105C
836	OG0000836	augustus_masked-NABA0S03-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.103&CDS=1-3681	YPR104C
837	OG0000837	augustus_masked-NABA0S03-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.124&CDS=1-861	YPR103W
838	OG0000838	snap_masked-NABA0S03-processed-gene-3.78-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-3.78&CDS=1-624	YPR101W
839	OG0000839	augustus_masked-NABA0S03-processed-gene-3.126-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.126&CDS=1-420	YPR100W
840	OG0000840	augustus_masked-NABA0S03-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.105&CDS=1-492	YPR098C
841	OG0000841	augustus_masked-NABA0S03-processed-gene-3.127-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.127&CDS=1-3099	YPR097W
842	OG0000842	augustus_masked-NABA0S03-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.106&CDS=1-3423	YPR095C
843	OG0000843	snap_masked-NABA0S03-processed-gene-3.81-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-3.81&CDS=1-321	YPR094W
844	OG0000844	snap_masked-NABA0S03-processed-gene-3.59-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-3.59&CDS=1-855	YPR093C
845	OG0000845	augustus_masked-NABA0S03-processed-gene-3.108-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.108&CDS=1-2343	YPR091C
846	OG0000846	augustus_masked-NABA0S03-processed-gene-3.128-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.128&CDS=1-2727	YPR089W
847	OG0000847	augustus_masked-NABA0S03-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.109&CDS=1-1602	YPR088C
848	OG0000848	augustus_masked-NABA0S03-processed-gene-3.129-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.129&CDS=1-1119	YPR086W
849	OG0000849	augustus_masked-NABA0S03-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.110&CDS=1-2433	YPR085C
850	OG0000850	augustus_masked-NABA0S03-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.130&CDS=1-1296	YPR084W
851	OG0000851	augustus_masked-NABA0S03-processed-gene-3.111-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.111&CDS=1-1467	YBR126C
852	OG0000852	augustus_masked-NABA0S03-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.112&CDS=1-447	YPR082C
853	OG0000853	genemark-NABA0S03-processed-gene-3.39-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-3.39&CDS=1-1422	YPR079W
854	OG0000854	augustus_masked-NABA0S03-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.114&CDS=1-1611	YPR075C
855	OG0000855	maker-NABA0S03-augustus-gene-3.92-mRNA-1_1&gene=maker-NABA0S03-augustus-gene-3.92&CDS=1-2550	YPR074C
856	OG0000856	augustus_masked-NABA0S03-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.133&CDS=1-1728	YPR072W
857	OG0000857	augustus_masked-NABA0S03-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.117&CDS=1-471	YIR001C
858	OG0000858	augustus_masked-NABA0S03-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.134&CDS=1-1224	YIL160C
859	OG0000859	augustus_masked-NABA0S03-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.135&CDS=1-567	YIL157C
860	OG0000860	snap_masked-NABA0S03-processed-gene-3.72-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-3.72&CDS=1-219	YIL156W-B
861	OG0000861	snap_masked-NABA0S03-processed-gene-3.73-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-3.73&CDS=1-3408	YIL156W
862	OG0000862	augustus_masked-NABA0S03-processed-gene-3.136-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.136&CDS=1-1959	YIL155C
863	OG0000863	augustus_masked-NABA0S03-processed-gene-3.137-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.137&CDS=1-1182	YIL154C
864	OG0000864	genemark-NABA0S03-processed-gene-3.27-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-3.27&CDS=1-1287	YIL153W
865	OG0000865	augustus_masked-NABA0S03-processed-gene-4.0-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.0&CDS=1-1821	YIL150C
866	OG0000866	augustus_masked-NABA0S03-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.1&CDS=1-3432	YIL147C
867	OG0000867	augustus_masked-NABA0S03-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.2&CDS=1-1458	YIL146C
868	OG0000868	augustus_masked-NABA0S03-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.23&CDS=1-888	YIL145C
869	OG0000869	augustus_masked-NABA0S03-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.3&CDS=1-2082	YIL144W
870	OG0000870	augustus_masked-NABA0S03-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.24&CDS=1-2613	YIL143C
871	OG0000871	augustus_masked-NABA0S03-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.4&CDS=1-1581	YIL142W
872	OG0000872	augustus_masked-NABA0S03-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.5&CDS=1-2565	YIL140W
873	OG0000873	augustus_masked-NABA0S03-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.25&CDS=1-690	YIL139C
874	OG0000874	augustus_masked-NABA0S03-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.27&CDS=1-1989	YEL060C
875	OG0000875	augustus_masked-NABA0S03-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.6&CDS=1-1647	YEL058W
876	OG0000876	augustus_masked-NABA0S03-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.7&CDS=1-1206	YEL056W
877	OG0000877	augustus_masked-NABA0S03-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.28&CDS=1-3054	YEL055C
878	OG0000878	augustus_masked-NABA0S03-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.8&CDS=1-705	YPL267W
879	OG0000879	augustus_masked-NABA0S03-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.9&CDS=1-960	YPL266W
880	OG0000880	augustus_masked-NABA0S03-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.29&CDS=1-969	YML004C
881	OG0000881	augustus_masked-NABA0S03-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.10&CDS=1-369	YLR012C
882	OG0000882	augustus_masked-NABA0S03-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.30&CDS=1-2349	YEL053C
883	OG0000883	augustus_masked-NABA0S03-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.11&CDS=1-1599	YDL178W
884	OG0000884	augustus_masked-NABA0S03-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.31&CDS=1-507	YDL177C
885	OG0000885	augustus_masked-NABA0S03-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.12&CDS=1-2205	YDL176W
886	OG0000886	augustus_masked-NABA0S03-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.13&CDS=1-2442	YER082C
887	OG0000887	augustus_masked-NABA0S03-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.32&CDS=1-1926	YER080W
888	OG0000888	augustus_masked-NABA0S03-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.14&CDS=1-1467	YER078C
889	OG0000889	augustus_masked-NABA0S03-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.15&CDS=1-1848	YER077C
890	OG0000890	augustus_masked-NABA0S03-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.16&CDS=1-2703	YER075C
891	OG0000891	maker-NABA0S03-snap-gene-4.85-mRNA-1_1&gene=maker-NABA0S03-snap-gene-4.85&CDS=1-177	YER074W-A
892	OG0000892	augustus_masked-NABA0S03-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.17&CDS=1-363	YER071C
893	OG0000893	augustus_masked-NABA0S03-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.34&CDS=1-2409	YIL068C
894	OG0000894	augustus_masked-NABA0S03-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.35&CDS=1-2664	YER070W
895	OG0000895	augustus_masked-NABA0S03-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.36&CDS=1-2574	YER069W
896	OG0000896	augustus_masked-NABA0S03-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.37&CDS=1-2007	YER068W
897	OG0000897	augustus_masked-NABA0S03-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.18&CDS=1-1659	YER065C
898	OG0000898	augustus_masked-NABA0S03-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.39&CDS=1-726	YER063W
899	OG0000899	augustus_masked-NABA0S03-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.20&CDS=1-1305	YER061C
900	OG0000900	genemark-NABA0S03-processed-gene-4.65-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-4.65&CDS=1-1737	YER054C
901	OG0000901	genemark-NABA0S03-processed-gene-4.66-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-4.66&CDS=1-1563	YER052C
902	OG0000902	snap_masked-NABA0S03-processed-gene-5.54-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-5.54&CDS=1-1464	YER051W
903	OG0000903	genemark-NABA0S03-processed-gene-5.95-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-5.95&CDS=1-510	YER050C
904	OG0000904	augustus_masked-NABA0S03-processed-gene-5.4-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-5.4&CDS=1-1896	YER049W
905	OG0000905	snap_masked-NABA0S03-processed-gene-5.56-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-5.56&CDS=1-267	YER048W-A
906	OG0000906	augustus_masked-NABA0S03-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-5.26&CDS=1-738	YER046W
907	OG0000907	augustus_masked-NABA0S03-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-5.5&CDS=1-1926	YER044C-A
908	OG0000908	augustus_masked-NABA0S03-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-5.6&CDS=1-444	YER044C
909	OG0000909	augustus_masked-NABA0S03-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-5.27&CDS=1-2496	YFR038W
910	OG0000910	genemark-NABA0S03-processed-gene-5.103-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-5.103&CDS=1-1623	YFR034C
911	OG0000911	maker-NABA0S03-snap-gene-5.43-mRNA-1_1&gene=maker-NABA0S03-snap-gene-5.43&CDS=1-549	YFR032C-A
912	OG0000912	maker-NABA0S03-snap-gene-5.44-mRNA-1_1&gene=maker-NABA0S03-snap-gene-5.44&CDS=1-927	YFR032C
