	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026197_Brettanomyces_custersianus
533	OG0000533	YBR043C	genemark-flattened_line_8-processed-gene-4.143-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.143&CDS=1-2094
534	OG0000534	YBR046C	genemark-flattened_line_2-processed-gene-1.93-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.93&CDS=1-1023
535	OG0000535	YBR053C	genemark-flattened_line_54-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.96&CDS=1-969
536	OG0000536	YBR056W	genemark-flattened_line_34-processed-gene-0.153-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.153&CDS=1-1485
537	OG0000537	YBR057C	genemark-flattened_line_8-processed-gene-1.23-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.23&CDS=1-1371
538	OG0000538	YBR058C	genemark-flattened_line_8-processed-gene-1.38-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.38&CDS=1-2334
539	OG0000539	YBR060C	genemark-flattened_line_0-processed-gene-8.64-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.64&CDS=1-1608
540	OG0000540	YBR061C	genemark-flattened_line_60-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.81&CDS=1-915
541	OG0000541	YBR062C	genemark-flattened_line_60-processed-gene-0.82-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.82&CDS=1-669
542	OG0000542	YBR065C	genemark-flattened_line_60-processed-gene-0.83-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.83&CDS=1-1098
543	OG0000543	YBR070C	genemark-flattened_line_60-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.56&CDS=1-678
544	OG0000544	YBR073W	augustus_masked-flattened_line_2-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-8.22&CDS=1-2565
545	OG0000545	YBR074W	genemark-flattened_line_76-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.58&CDS=1-2997
546	OG0000546	YBR079C	maker-flattened_line_0-snap-gene-3.149-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-3.149&CDS=1-3252
547	OG0000547	YBR080C	maker-flattened_line_72-snap-gene-0.111-mRNA-1_1&gene=maker-flattened_line_72-snap-gene-0.111&CDS=1-3369
548	OG0000548	YBR081C	genemark-flattened_line_6-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.61&CDS=1-3567
549	OG0000549	YBR082C	genemark-flattened_line_4-processed-gene-6.195-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.195&CDS=1-441
550	OG0000550	YBR083W	genemark-flattened_line_14-processed-gene-2.76-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.76&CDS=1-2601
551	OG0000551	YBR084W	genemark-flattened_line_0-processed-gene-1.12-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.12&CDS=1-2934
552	OG0000552	YBR085W	genemark-flattened_line_2-processed-gene-4.54-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.54&CDS=1-945
553	OG0000553	YBR086C	genemark-flattened_line_22-processed-gene-1.26-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.26&CDS=1-2058
554	OG0000554	YBR087W	genemark-flattened_line_32-processed-gene-0.122-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.122&CDS=1-1143
555	OG0000555	YBR088C	genemark-flattened_line_26-processed-gene-1.206-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.206&CDS=1-777
556	OG0000556	YBR095C	genemark-flattened_line_0-processed-gene-3.3-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.3&CDS=1-1104
557	OG0000557	YBR096W	genemark-flattened_line_44-processed-gene-0.175-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.175&CDS=1-675
558	OG0000558	YBR101C	augustus_masked-flattened_line_30-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.89&CDS=1-900
559	OG0000559	YBR102C	genemark-flattened_line_2-processed-gene-5.46-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.46&CDS=1-2013
560	OG0000560	YBR103W	genemark-flattened_line_6-processed-gene-3.11-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.11&CDS=1-1509
561	OG0000561	YBR106W	genemark-flattened_line_4-processed-gene-5.36-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.36&CDS=1-576
562	OG0000562	YBR110W	augustus_masked-flattened_line_4-processed-gene-6.270-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-6.270&CDS=1-1431
563	OG0000563	YBR111C	snap_masked-flattened_line_24-processed-gene-1.108-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.108&CDS=1-645
564	OG0000564	YBR111W-A	augustus_masked-flattened_line_24-processed-gene-1.176-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.176&CDS=1-294
565	OG0000565	YBR112C	snap_masked-flattened_line_24-processed-gene-1.109-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.109&CDS=1-2442
566	OG0000566	YBR114W	genemark-flattened_line_34-processed-gene-0.117-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.117&CDS=1-2370
567	OG0000567	YBR115C	genemark-flattened_line_26-processed-gene-1.282-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.282&CDS=1-4146
568	OG0000568	YBR120C	genemark-flattened_line_34-processed-gene-0.210-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.210&CDS=1-486
569	OG0000569	YBR121C	genemark-flattened_line_2-processed-gene-3.30-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.30&CDS=1-2091
570	OG0000570	YBR122C	genemark-flattened_line_4-processed-gene-1.103-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.103&CDS=1-585
571	OG0000571	YBR123C	genemark-flattened_line_82-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.32&CDS=1-1686
572	OG0000572	YBR125C	genemark-flattened_line_4-processed-gene-2.123-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.123&CDS=1-1236
573	OG0000573	YBR126C	genemark-flattened_line_4-processed-gene-2.122-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.122&CDS=1-1416
574	OG0000574	YBR127C	augustus_masked-flattened_line_0-processed-gene-5.55-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.55&CDS=1-2940
575	OG0000575	YBR133C	augustus_masked-flattened_line_4-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.147&CDS=1-2463
576	OG0000576	YBR135W	genemark-flattened_line_4-processed-gene-2.111-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.111&CDS=1-330
577	OG0000577	YBR136W	genemark-flattened_line_4-processed-gene-2.112-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.112&CDS=1-7206
578	OG0000578	YBR138C	augustus_masked-flattened_line_16-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.84&CDS=1-1167
579	OG0000579	YBR141C	augustus_masked-flattened_line_34-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.85&CDS=1-1020
580	OG0000580	YBR142W	genemark-flattened_line_34-processed-gene-0.142-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.142&CDS=1-2331
581	OG0000581	YBR143C	genemark-flattened_line_34-processed-gene-0.198-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.198&CDS=1-1320
582	OG0000582	YBR146W	genemark-flattened_line_2-processed-gene-8.116-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.116&CDS=1-924
583	OG0000583	YBR149W	genemark-flattened_line_2-processed-gene-7.72-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.72&CDS=1-933
584	OG0000584	YBR151W	genemark-flattened_line_2-processed-gene-7.98-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.98&CDS=1-891
585	OG0000585	YBR153W	genemark-flattened_line_26-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.92&CDS=1-777
586	OG0000586	YBR154C	genemark-flattened_line_26-processed-gene-0.68-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.68&CDS=1-642
587	OG0000587	YBR155W	genemark-flattened_line_28-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.74&CDS=1-1170
588	OG0000588	YBR158W	genemark-flattened_line_80-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.80&CDS=1-1953
589	OG0000589	YBR159W	genemark-flattened_line_66-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.24&CDS=1-1002
590	OG0000590	YBR162C	genemark-flattened_line_26-processed-gene-1.197-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.197&CDS=1-1218
591	OG0000591	YBR163W	genemark-flattened_line_18-processed-gene-1.63-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.63&CDS=1-1884
592	OG0000592	YBR166C	augustus_masked-flattened_line_6-processed-gene-4.110-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.110&CDS=1-1860
593	OG0000593	YBR167C	genemark-flattened_line_0-processed-gene-5.166-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.166&CDS=1-441
594	OG0000594	YBR170C	genemark-flattened_line_4-processed-gene-6.176-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.176&CDS=1-1719
595	OG0000595	YBR171W	genemark-flattened_line_26-processed-gene-1.277-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.277&CDS=1-660
596	OG0000596	YBR176W	genemark-flattened_line_40-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.88&CDS=1-945
597	OG0000597	YBR179C	genemark-flattened_line_66-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.43&CDS=1-2697
598	OG0000598	YBR182C	genemark-flattened_line_0-processed-gene-6.91-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.91&CDS=1-1797
599	OG0000599	YBR185C	genemark-flattened_line_28-processed-gene-1.149-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.149&CDS=1-963
600	OG0000600	YBR187W	maker-flattened_line_2-snap-gene-5.160-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-5.160&CDS=1-1755
601	OG0000601	YBR192W	genemark-flattened_line_50-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.80&CDS=1-1221
602	OG0000602	YBR193C	genemark-flattened_line_50-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.56&CDS=1-660
603	OG0000603	YBR195C	genemark-flattened_line_0-processed-gene-4.61-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.61&CDS=1-1341
604	OG0000604	YBR196C	genemark-flattened_line_4-processed-gene-2.129-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.129&CDS=1-1638
605	OG0000605	YBR198C	genemark-flattened_line_4-processed-gene-2.127-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.127&CDS=1-2280
606	OG0000606	YBR199W	genemark-flattened_line_4-processed-gene-3.20-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.20&CDS=1-1332
607	OG0000607	YBR200W	maker-flattened_line_4-snap-gene-0.118-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-0.118&CDS=1-2085
608	OG0000608	YBR201W	genemark-flattened_line_20-processed-gene-1.79-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.79&CDS=1-843
609	OG0000609	YBR202W	genemark-flattened_line_0-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.67&CDS=1-2490
610	OG0000610	YBR204C	genemark-flattened_line_74-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.76&CDS=1-1902
611	OG0000611	YBR208C	genemark-flattened_line_52-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.52&CDS=1-5523
612	OG0000612	YBR213W	genemark-flattened_line_26-processed-gene-1.245-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.245&CDS=1-780
613	OG0000613	YBR215W	augustus_masked-flattened_line_2-processed-gene-7.135-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-7.135&CDS=1-1197
614	OG0000614	YBR217W	genemark-flattened_line_54-processed-gene-0.116-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.116&CDS=1-513
615	OG0000615	YBR218C	genemark-flattened_line_78-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.55&CDS=1-3561
616	OG0000616	YBR220C	augustus_masked-flattened_line_78-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.34&CDS=1-2364
617	OG0000617	YBR221C	genemark-flattened_line_24-processed-gene-0.79-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.79&CDS=1-1080
618	OG0000618	YBR227C	genemark-flattened_line_38-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.76&CDS=1-1575
619	OG0000619	YBR228W	genemark-flattened_line_24-processed-gene-1.264-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.264&CDS=1-894
620	OG0000620	YBR229C	augustus_masked-flattened_line_2-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.7&CDS=1-2799
621	OG0000621	YBR231C	genemark-flattened_line_0-processed-gene-2.50-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.50&CDS=1-825
622	OG0000622	YBR233W	genemark-flattened_line_0-processed-gene-2.46-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.46&CDS=1-1575
623	OG0000623	YBR234C	genemark-flattened_line_28-processed-gene-1.141-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.141&CDS=1-1095
624	OG0000624	YBR235W	genemark-flattened_line_2-processed-gene-5.0-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.0&CDS=1-4089
625	OG0000625	YBR236C	genemark-flattened_line_2-processed-gene-4.83-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.83&CDS=1-1461
626	OG0000626	YBR239C	maker-flattened_line_2-snap-gene-8.153-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-8.153&CDS=1-1824
627	OG0000627	YBR243C	genemark-flattened_line_2-processed-gene-8.124-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.124&CDS=1-1347
628	OG0000628	YBR246W	genemark-flattened_line_2-processed-gene-8.121-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.121&CDS=1-1038
629	OG0000629	YBR247C	genemark-flattened_line_48-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.131&CDS=1-1470
630	OG0000630	YBR248C	maker-flattened_line_48-snap-gene-0.76-mRNA-1_1&gene=maker-flattened_line_48-snap-gene-0.76&CDS=1-2751
631	OG0000631	YBR251W	genemark-flattened_line_20-processed-gene-2.9-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.9&CDS=1-951
632	OG0000632	YBR254C	genemark-flattened_line_36-processed-gene-0.137-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.137&CDS=1-426
633	OG0000633	YBR255C-A	genemark-flattened_line_24-processed-gene-1.357-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.357&CDS=1-447
634	OG0000634	YBR255W	snap_masked-flattened_line_36-processed-gene-0.78-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.78&CDS=1-1494
635	OG0000635	YBR256C	genemark-flattened_line_24-processed-gene-1.303-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.303&CDS=1-696
636	OG0000636	YBR257W	genemark-flattened_line_0-processed-gene-8.42-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.42&CDS=1-882
637	OG0000637	YBR258C	snap_masked-flattened_line_12-processed-gene-2.21-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.21&CDS=1-426
638	OG0000638	YBR260C	genemark-flattened_line_0-processed-gene-9.108-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.108&CDS=1-2058
639	OG0000639	YBR261C	genemark-flattened_line_30-processed-gene-1.136-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.136&CDS=1-708
640	OG0000640	YBR265W	genemark-flattened_line_34-processed-gene-0.184-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.184&CDS=1-1008
641	OG0000641	YBR267W	genemark-flattened_line_92-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.40&CDS=1-1122
642	OG0000642	YBR269C	genemark-flattened_line_14-processed-gene-0.71-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.71&CDS=1-420
643	OG0000643	YBR271W	genemark-flattened_line_28-processed-gene-1.186-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.186&CDS=1-1185
644	OG0000644	YBR276C	genemark-flattened_line_80-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.75&CDS=1-3348
645	OG0000645	YBR279W	genemark-flattened_line_2-processed-gene-7.109-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.109&CDS=1-1386
646	OG0000646	YBR281C	genemark-flattened_line_64-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.6&CDS=1-2709
647	OG0000647	YBR282W	augustus_masked-flattened_line_6-processed-gene-4.191-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.191&CDS=1-2460
648	OG0000648	YBR286W	genemark-flattened_line_22-processed-gene-1.73-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.73&CDS=1-1518
649	OG0000649	YBR287W	genemark-flattened_line_12-processed-gene-1.6-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.6&CDS=1-1641
650	OG0000650	YBR288C	augustus_masked-flattened_line_24-processed-gene-1.177-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.177&CDS=1-1554
651	OG0000651	YBR290W	genemark-flattened_line_2-processed-gene-5.33-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.33&CDS=1-1005
652	OG0000652	YBR291C	genemark-flattened_line_2-processed-gene-5.50-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.50&CDS=1-867
653	OG0000653	YCL001W	genemark-flattened_line_4-processed-gene-6.142-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.142&CDS=1-348
654	OG0000654	YCL004W	snap_masked-flattened_line_48-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.17&CDS=1-1545
655	OG0000655	YCL005W-A	genemark-flattened_line_6-processed-gene-4.236-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.236&CDS=1-219
656	OG0000656	YCL009C	genemark-flattened_line_20-processed-gene-1.103-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.103&CDS=1-909
657	OG0000657	YCL010C	genemark-flattened_line_48-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.121&CDS=1-897
658	OG0000658	YCL014W	augustus_masked-flattened_line_0-processed-gene-8.7-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.7&CDS=1-4479
659	OG0000659	YCL017C	genemark-flattened_line_28-processed-gene-0.90-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.90&CDS=1-1443
660	OG0000660	YCL018W	genemark-flattened_line_28-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.88&CDS=1-1092
661	OG0000661	YCL029C	snap_masked-flattened_line_34-processed-gene-0.303-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.303&CDS=1-1521
662	OG0000662	YCL030C	genemark-flattened_line_34-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.118&CDS=1-2565
663	OG0000663	YCL031C	genemark-flattened_line_52-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.70&CDS=1-879
664	OG0000664	YCL032W	augustus_masked-flattened_line_52-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.91&CDS=1-1023
665	OG0000665	YCL034W	genemark-flattened_line_12-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.75&CDS=1-1254
666	OG0000666	YCL038C	augustus_masked-flattened_line_78-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.36&CDS=1-3303
667	OG0000667	YCL039W	genemark-flattened_line_78-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.70&CDS=1-1707
668	OG0000668	YCL043C	genemark-flattened_line_78-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.61&CDS=1-1785
669	OG0000669	YCL045C	snap_masked-flattened_line_40-processed-gene-0.244-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.244&CDS=1-3144
670	OG0000670	YCL048W	genemark-flattened_line_60-processed-gene-0.91-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.91&CDS=1-1302
671	OG0000671	YCL054W	genemark-flattened_line_0-processed-gene-6.89-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.89&CDS=1-2487
672	OG0000672	YCL055W	genemark-flattened_line_0-processed-gene-5.164-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.164&CDS=1-1137
673	OG0000673	YCL057W	augustus_masked-flattened_line_34-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.46&CDS=1-2190
674	OG0000674	YCL059C	genemark-flattened_line_8-processed-gene-3.66-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.66&CDS=1-1047
675	OG0000675	YCL061C	genemark-flattened_line_8-processed-gene-3.65-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.65&CDS=1-3381
676	OG0000676	YCR002C	genemark-flattened_line_28-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.63&CDS=1-1080
677	OG0000677	YCR003W	genemark-flattened_line_28-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.92&CDS=1-540
678	OG0000678	YCR008W	genemark-flattened_line_6-processed-gene-4.223-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.223&CDS=1-1953
679	OG0000679	YCR009C	augustus_masked-flattened_line_6-processed-gene-4.155-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.155&CDS=1-1824
680	OG0000680	YCR011C	genemark-flattened_line_8-processed-gene-1.4-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.4&CDS=1-3033
681	OG0000681	YCR012W	genemark-flattened_line_24-processed-gene-0.72-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.72&CDS=1-1248
682	OG0000682	YCR014C	genemark-flattened_line_28-processed-gene-1.150-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.150&CDS=1-1515
683	OG0000683	YCR015C	snap_masked-flattened_line_24-processed-gene-0.120-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.120&CDS=1-774
684	OG0000684	YCR016W	genemark-flattened_line_2-processed-gene-8.97-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.97&CDS=1-1050
685	OG0000685	YCR017C	genemark-flattened_line_24-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.97&CDS=1-2868
686	OG0000686	YCR019W	genemark-flattened_line_14-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.55&CDS=1-1014
687	OG0000687	YCR020C	genemark-flattened_line_26-processed-gene-1.222-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.222&CDS=1-669
688	OG0000688	YCR020C-A	snap_masked-flattened_line_6-processed-gene-0.103-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.103&CDS=1-243
689	OG0000689	YCR024C	genemark-flattened_line_0-processed-gene-8.45-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.45&CDS=1-1473
690	OG0000690	YCR028C-A	genemark-flattened_line_64-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.40&CDS=1-393
691	OG0000691	YCR030C	genemark-flattened_line_28-processed-gene-1.134-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.134&CDS=1-2676
692	OG0000692	YCR032W	genemark-flattened_line_78-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.67&CDS=1-6321
693	OG0000693	YCR033W	genemark-flattened_line_20-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.21&CDS=1-2889
694	OG0000694	YCR034W	genemark-flattened_line_28-processed-gene-1.182-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.182&CDS=1-1026
695	OG0000695	YCR035C	genemark-flattened_line_28-processed-gene-1.146-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.146&CDS=1-1170
696	OG0000696	YCR036W	genemark-flattened_line_8-processed-gene-2.97-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.97&CDS=1-990
697	OG0000697	YCR042C	augustus_masked-flattened_line_4-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.146&CDS=1-4500
698	OG0000698	YCR045C	augustus_masked-flattened_line_30-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.100&CDS=1-1296
699	OG0000699	YCR047C	augustus_masked-flattened_line_0-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.109&CDS=1-1509
700	OG0000700	YCR051W	genemark-flattened_line_0-processed-gene-6.77-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.77&CDS=1-630
701	OG0000701	YCR053W	maker-flattened_line_8-snap-gene-4.74-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-4.74&CDS=1-3042
702	OG0000702	YCR054C	genemark-flattened_line_6-processed-gene-4.271-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.271&CDS=1-1488
703	OG0000703	YCR057C	genemark-flattened_line_6-processed-gene-4.272-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.272&CDS=1-2718
704	OG0000704	YCR059C	genemark-flattened_line_6-processed-gene-4.273-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.273&CDS=1-882
705	OG0000705	YCR060W	genemark-flattened_line_6-processed-gene-4.230-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.230&CDS=1-948
706	OG0000706	YCR061W	genemark-flattened_line_66-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.8&CDS=1-1899
707	OG0000707	YCR063W	genemark-flattened_line_38-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.80&CDS=1-459
