	OrthologID	Metschnikowia_cerradonensis	Saccharomyces_cerevisiae
370	OG0000370	augustus_masked-cer-_s298-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-cer-_s298-processed-gene-0.11&CDS=1-966	YPR013C, YPR015C
371	OG0000371	genemark-cer-_s299-processed-gene-0.43-mRNA-1_1&gene=genemark-cer-_s299-processed-gene-0.43&CDS=1-3594, snap_masked-cer-_s519-processed-gene-0.11-mRNA-1_1&gene=snap_masked-cer-_s519-processed-gene-0.11&CDS=1-246	YOL051W
372	OG0000372	augustus_masked-cer-_s299-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-cer-_s299-processed-gene-0.29&CDS=1-414, genemark-cer-_s774-processed-gene-0.5-mRNA-1_1&gene=genemark-cer-_s774-processed-gene-0.5&CDS=1-2289	YKL213C
373	OG0000373	genemark-cer-_s301-processed-gene-0.114-mRNA-1_1&gene=genemark-cer-_s301-processed-gene-0.114&CDS=1-984, genemark-cer-_s770-processed-gene-0.53-mRNA-1_1&gene=genemark-cer-_s770-processed-gene-0.53&CDS=1-987	YOR246C
374	OG0000374	genemark-cer-_s364-processed-gene-0.5-mRNA-1_1&gene=genemark-cer-_s364-processed-gene-0.5&CDS=1-1857, maker-cer-_s304-snap-gene-0.135-mRNA-1_1&gene=maker-cer-_s304-snap-gene-0.135&CDS=1-2601	YMR058W
375	OG0000375	augustus_masked-cer-_s307-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-cer-_s307-processed-gene-0.29&CDS=1-2268	YGL139W, YPL221W
376	OG0000376	genemark-cer-_s311-processed-gene-0.43-mRNA-1_1&gene=genemark-cer-_s311-processed-gene-0.43&CDS=1-573	YGL147C, YNL067W
377	OG0000377	snap_masked-cer-_s313-processed-gene-0.15-mRNA-1_1&gene=snap_masked-cer-_s313-processed-gene-0.15&CDS=1-10395, snap_masked-cer-_s635-processed-gene-0.54-mRNA-1_1&gene=snap_masked-cer-_s635-processed-gene-0.54&CDS=1-282	YDR150W
378	OG0000378	genemark-cer-_s318-processed-gene-0.36-mRNA-1_1&gene=genemark-cer-_s318-processed-gene-0.36&CDS=1-390, snap_masked-cer-_s352-processed-gene-0.172-mRNA-1_1&gene=snap_masked-cer-_s352-processed-gene-0.172&CDS=1-390	YJL190C
379	OG0000379	genemark-cer-_s318-processed-gene-0.32-mRNA-1_1&gene=genemark-cer-_s318-processed-gene-0.32&CDS=1-3402, snap_masked-cer-_s571-processed-gene-0.3-mRNA-1_1&gene=snap_masked-cer-_s571-processed-gene-0.3&CDS=1-192	YKL033W
380	OG0000380	augustus_masked-cer-_s63-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-cer-_s63-processed-gene-0.32&CDS=1-663, genemark-cer-_s32-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s32-processed-gene-0.2&CDS=1-3123	YEL055C
381	OG0000381	genemark-cer-_s321-processed-gene-0.0-mRNA-1_1&gene=genemark-cer-_s321-processed-gene-0.0&CDS=1-1989, snap_masked-cer-_s455-processed-gene-0.19-mRNA-1_1&gene=snap_masked-cer-_s455-processed-gene-0.19&CDS=1-315	YAR014C
382	OG0000382	genemark-cer-_s325-processed-gene-0.41-mRNA-1_1&gene=genemark-cer-_s325-processed-gene-0.41&CDS=1-2919	YJL084C, YKR021W
383	OG0000383	augustus_masked-cer-_s438-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-cer-_s438-processed-gene-0.137&CDS=1-1491, snap_masked-cer-_s34-processed-gene-0.2-mRNA-1_1&gene=snap_masked-cer-_s34-processed-gene-0.2&CDS=1-198	YFL027C
384	OG0000384	genemark-cer-_s34-processed-gene-0.15-mRNA-1_1&gene=genemark-cer-_s34-processed-gene-0.15&CDS=1-1536	YBR214W, YGL056C
385	OG0000385	genemark-cer-_s348-processed-gene-0.21-mRNA-1_1&gene=genemark-cer-_s348-processed-gene-0.21&CDS=1-1152, snap_masked-cer-_s544-processed-gene-0.6-mRNA-1_1&gene=snap_masked-cer-_s544-processed-gene-0.6&CDS=1-192	YDR202C
386	OG0000386	snap_masked-cer-_s348-processed-gene-0.54-mRNA-1_1&gene=snap_masked-cer-_s348-processed-gene-0.54&CDS=1-2010	YDR505C, YLR177W
387	OG0000387	genemark-cer-_s348-processed-gene-0.28-mRNA-1_1&gene=genemark-cer-_s348-processed-gene-0.28&CDS=1-1593	YDR501W, YLR183C
388	OG0000388	genemark-cer-_s348-processed-gene-0.16-mRNA-1_1&gene=genemark-cer-_s348-processed-gene-0.16&CDS=1-252	YDR500C, YLR185W
389	OG0000389	genemark-cer-_s350-processed-gene-0.8-mRNA-1_1&gene=genemark-cer-_s350-processed-gene-0.8&CDS=1-909	YBR105C, YGR066C
390	OG0000390	genemark-cer-_s435-processed-gene-0.103-mRNA-1_1&gene=genemark-cer-_s435-processed-gene-0.103&CDS=1-912, snap_masked-cer-_s352-processed-gene-0.191-mRNA-1_1&gene=snap_masked-cer-_s352-processed-gene-0.191&CDS=1-399	YOR143C
391	OG0000391	genemark-cer-_s770-processed-gene-0.73-mRNA-1_1&gene=genemark-cer-_s770-processed-gene-0.73&CDS=1-1932, snap_masked-cer-_s352-processed-gene-0.192-mRNA-1_1&gene=snap_masked-cer-_s352-processed-gene-0.192&CDS=1-624	YDR311W
392	OG0000392	genemark-cer-_s352-processed-gene-0.78-mRNA-1_1&gene=genemark-cer-_s352-processed-gene-0.78&CDS=1-858	YHR133C, YNL156C
393	OG0000393	genemark-cer-_s352-processed-gene-0.111-mRNA-1_1&gene=genemark-cer-_s352-processed-gene-0.111&CDS=1-369	YHR132W-A, YNL157W
394	OG0000394	genemark-cer-_s352-processed-gene-0.123-mRNA-1_1&gene=genemark-cer-_s352-processed-gene-0.123&CDS=1-717, genemark-cer-_s67-processed-gene-1.56-mRNA-1_1&gene=genemark-cer-_s67-processed-gene-1.56&CDS=1-594	YDR207C
395	OG0000395	genemark-cer-_s352-processed-gene-0.87-mRNA-1_1&gene=genemark-cer-_s352-processed-gene-0.87&CDS=1-1347, genemark-cer-_s67-processed-gene-2.62-mRNA-1_1&gene=genemark-cer-_s67-processed-gene-2.62&CDS=1-1377	YBR028C
396	OG0000396	genemark-cer-_s352-processed-gene-0.95-mRNA-1_1&gene=genemark-cer-_s352-processed-gene-0.95&CDS=1-699, snap_masked-cer-_s764-processed-gene-0.8-mRNA-1_1&gene=snap_masked-cer-_s764-processed-gene-0.8&CDS=1-471	YDR262W
397	OG0000397	genemark-cer-_s352-processed-gene-0.140-mRNA-1_1&gene=genemark-cer-_s352-processed-gene-0.140&CDS=1-678	YDR185C, YLR168C
398	OG0000398	genemark-cer-_s352-processed-gene-0.104-mRNA-1_1&gene=genemark-cer-_s352-processed-gene-0.104&CDS=1-588	YDR453C, YML028W
399	OG0000399	genemark-cer-_s353-processed-gene-0.27-mRNA-1_1&gene=genemark-cer-_s353-processed-gene-0.27&CDS=1-456	YEL066W, YPR193C
400	OG0000400	genemark-cer-_s353-processed-gene-0.28-mRNA-1_1&gene=genemark-cer-_s353-processed-gene-0.28&CDS=1-1647	YHR115C, YNL116W
401	OG0000401	snap_masked-cer-_s353-processed-gene-0.100-mRNA-1_1&gene=snap_masked-cer-_s353-processed-gene-0.100&CDS=1-447, snap_masked-cer-_s359-processed-gene-0.51-mRNA-1_1&gene=snap_masked-cer-_s359-processed-gene-0.51&CDS=1-1248	YIR012W
402	OG0000402	genemark-cer-_s357-processed-gene-0.14-mRNA-1_1&gene=genemark-cer-_s357-processed-gene-0.14&CDS=1-4764, genemark-cer-_s48-processed-gene-1.152-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-1.152&CDS=1-4248	YGR281W
403	OG0000403	genemark-cer-_s357-processed-gene-0.15-mRNA-1_1&gene=genemark-cer-_s357-processed-gene-0.15&CDS=1-996	YCR073W-A, YNR034W
404	OG0000404	genemark-cer-_s359-processed-gene-0.105-mRNA-1_1&gene=genemark-cer-_s359-processed-gene-0.105&CDS=1-1146	YDR502C, YLR180W
405	OG0000405	genemark-cer-_s425-processed-gene-0.19-mRNA-1_1&gene=genemark-cer-_s425-processed-gene-0.19&CDS=1-1566, snap_masked-cer-_s364-processed-gene-0.63-mRNA-1_1&gene=snap_masked-cer-_s364-processed-gene-0.63&CDS=1-510	YHR030C
406	OG0000406	genemark-cer-_s364-processed-gene-0.6-mRNA-1_1&gene=genemark-cer-_s364-processed-gene-0.6&CDS=1-1524, snap_masked-cer-_s94-processed-gene-0.27-mRNA-1_1&gene=snap_masked-cer-_s94-processed-gene-0.27&CDS=1-411	YBR288C
407	OG0000407	genemark-cer-_s364-processed-gene-0.7-mRNA-1_1&gene=genemark-cer-_s364-processed-gene-0.7&CDS=1-3192	YBL106C, YPR032W
408	OG0000408	genemark-cer-_s364-processed-gene-0.9-mRNA-1_1&gene=genemark-cer-_s364-processed-gene-0.9&CDS=1-2664, genemark-cer-_s67-processed-gene-2.49-mRNA-1_1&gene=genemark-cer-_s67-processed-gene-2.49&CDS=1-3387	YDR490C
409	OG0000409	genemark-cer-_s366-processed-gene-0.9-mRNA-1_1&gene=genemark-cer-_s366-processed-gene-0.9&CDS=1-2490	YDR351W, YHR103W
410	OG0000410	genemark-cer-_s370-processed-gene-0.61-mRNA-1_1&gene=genemark-cer-_s370-processed-gene-0.61&CDS=1-1383, snap_masked-cer-_s634-processed-gene-0.10-mRNA-1_1&gene=snap_masked-cer-_s634-processed-gene-0.10&CDS=1-345	YMR014W
411	OG0000411	genemark-cer-_s370-processed-gene-0.65-mRNA-1_1&gene=genemark-cer-_s370-processed-gene-0.65&CDS=1-1098, snap_masked-cer-_s707-processed-gene-0.3-mRNA-1_1&gene=snap_masked-cer-_s707-processed-gene-0.3&CDS=1-453	YML038C
412	OG0000412	augustus_masked-cer-_s370-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-cer-_s370-processed-gene-0.29&CDS=1-3393	YDR165W, YLR114C
413	OG0000413	genemark-cer-_s370-processed-gene-0.46-mRNA-1_1&gene=genemark-cer-_s370-processed-gene-0.46&CDS=1-564, genemark-cer-_s554-processed-gene-0.0-mRNA-1_1&gene=genemark-cer-_s554-processed-gene-0.0&CDS=1-558	YLR109W
414	OG0000414	snap_masked-cer-_s370-processed-gene-0.116-mRNA-1_1&gene=snap_masked-cer-_s370-processed-gene-0.116&CDS=1-2658	YDR458C, YML034W
415	OG0000415	genemark-cer-_s371-processed-gene-0.22-mRNA-1_1&gene=genemark-cer-_s371-processed-gene-0.22&CDS=1-1926, genemark-cer-_s543-processed-gene-0.19-mRNA-1_1&gene=genemark-cer-_s543-processed-gene-0.19&CDS=1-1938	YJR045C
416	OG0000416	genemark-cer-_s435-processed-gene-1.93-mRNA-1_1&gene=genemark-cer-_s435-processed-gene-1.93&CDS=1-675, snap_masked-cer-_s371-processed-gene-0.47-mRNA-1_1&gene=snap_masked-cer-_s371-processed-gene-0.47&CDS=1-240	YPR124W
417	OG0000417	genemark-cer-_s425-processed-gene-0.31-mRNA-1_1&gene=genemark-cer-_s425-processed-gene-0.31&CDS=1-1899, snap_masked-cer-_s378-processed-gene-0.0-mRNA-1_1&gene=snap_masked-cer-_s378-processed-gene-0.0&CDS=1-336	YMR313C
418	OG0000418	genemark-cer-_s38-processed-gene-0.85-mRNA-1_1&gene=genemark-cer-_s38-processed-gene-0.85&CDS=1-1011	YBR161W, YPL057C
419	OG0000419	genemark-cer-_s38-processed-gene-0.95-mRNA-1_1&gene=genemark-cer-_s38-processed-gene-0.95&CDS=1-1353	YCL011C, YNL004W
420	OG0000420	genemark-cer-_s38-processed-gene-0.125-mRNA-1_1&gene=genemark-cer-_s38-processed-gene-0.125&CDS=1-861, snap_masked-cer-_s63-processed-gene-0.8-mRNA-1_1&gene=snap_masked-cer-_s63-processed-gene-0.8&CDS=1-384	YNL002C
421	OG0000421	augustus_masked-cer-_s404-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-cer-_s404-processed-gene-0.1&CDS=1-717, genemark-cer-_s682-processed-gene-0.30-mRNA-1_1&gene=genemark-cer-_s682-processed-gene-0.30&CDS=1-1854	YNL125C
422	OG0000422	genemark-cer-_s41-processed-gene-0.9-mRNA-1_1&gene=genemark-cer-_s41-processed-gene-0.9&CDS=1-2157	YFL050C, YOL130W
423	OG0000423	genemark-cer-_s41-processed-gene-0.12-mRNA-1_1&gene=genemark-cer-_s41-processed-gene-0.12&CDS=1-3291	YLR031W, YMR124W
424	OG0000424	genemark-cer-_s41-processed-gene-0.44-mRNA-1_1&gene=genemark-cer-_s41-processed-gene-0.44&CDS=1-1170	YMR243C, YOR316C
425	OG0000425	genemark-cer-_s41-processed-gene-0.25-mRNA-1_1&gene=genemark-cer-_s41-processed-gene-0.25&CDS=1-369	YMR230W, YOR293W
426	OG0000426	genemark-cer-_s42-processed-gene-0.17-mRNA-1_1&gene=genemark-cer-_s42-processed-gene-0.17&CDS=1-2136	YGR056W, YLR357W
427	OG0000427	maker-cer-_s425-snap-gene-0.3-mRNA-1_1&gene=maker-cer-_s425-snap-gene-0.3&CDS=1-558	YNL301C, YOL120C
428	OG0000428	maker-cer-_s425-snap-gene-0.2-mRNA-1_1&gene=maker-cer-_s425-snap-gene-0.2&CDS=1-462	YNL302C, YOL121C
429	OG0000429	snap_masked-cer-_s425-processed-gene-0.139-mRNA-1_1&gene=snap_masked-cer-_s425-processed-gene-0.139&CDS=1-759	YIR035C, YIR036C
430	OG0000430	snap_masked-cer-_s425-processed-gene-0.148-mRNA-1_1&gene=snap_masked-cer-_s425-processed-gene-0.148&CDS=1-3729	YIL151C, YKR096W
431	OG0000431	snap_masked-cer-_s425-processed-gene-0.124-mRNA-1_1&gene=snap_masked-cer-_s425-processed-gene-0.124&CDS=1-5346	YIL149C, YKR095W
432	OG0000432	genemark-cer-_s43-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s43-processed-gene-0.2&CDS=1-1008, genemark-cer-_s435-processed-gene-2.46-mRNA-1_1&gene=genemark-cer-_s435-processed-gene-2.46&CDS=1-1053	YDL144C
433	OG0000433	genemark-cer-_s43-processed-gene-0.26-mRNA-1_1&gene=genemark-cer-_s43-processed-gene-0.26&CDS=1-1590	YEL041W, YJR049C
434	OG0000434	augustus_masked-cer-_s434-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-cer-_s434-processed-gene-0.12&CDS=1-1941	YDR146C, YLR131C
435	OG0000435	augustus_masked-cer-_s435-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-cer-_s435-processed-gene-0.29&CDS=1-2760	YMR237W, YOR299W
436	OG0000436	augustus_masked-cer-_s435-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-cer-_s435-processed-gene-0.14&CDS=1-3858	YDR409W, YOR156C
437	OG0000437	genemark-cer-_s435-processed-gene-0.138-mRNA-1_1&gene=genemark-cer-_s435-processed-gene-0.138&CDS=1-1782	YHR117W, YNL121C
438	OG0000438	genemark-cer-_s435-processed-gene-1.53-mRNA-1_1&gene=genemark-cer-_s435-processed-gene-1.53&CDS=1-1020	YAL034C, YOR338W
439	OG0000439	snap_masked-cer-_s435-processed-gene-1.148-mRNA-1_1&gene=snap_masked-cer-_s435-processed-gene-1.148&CDS=1-357	YFL034C-A, YLR061W
440	OG0000440	augustus_masked-cer-_s766-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-cer-_s766-processed-gene-0.8&CDS=1-1791, genemark-cer-_s435-processed-gene-1.59-mRNA-1_1&gene=genemark-cer-_s435-processed-gene-1.59&CDS=1-1662	YDL174C
441	OG0000441	genemark-cer-_s435-processed-gene-1.64-mRNA-1_1&gene=genemark-cer-_s435-processed-gene-1.64&CDS=1-3153	YML100W, YMR261C
442	OG0000442	genemark-cer-_s435-processed-gene-1.89-mRNA-1_1&gene=genemark-cer-_s435-processed-gene-1.89&CDS=1-768	YDR066C, YER139C
443	OG0000443	genemark-cer-_s435-processed-gene-2.0-mRNA-1_1&gene=genemark-cer-_s435-processed-gene-2.0&CDS=1-612	YLR029C, YMR121C
444	OG0000444	snap_masked-cer-_s435-processed-gene-2.196-mRNA-1_1&gene=snap_masked-cer-_s435-processed-gene-2.196&CDS=1-2535	YBR172C, YPL105C
445	OG0000445	genemark-cer-_s435-processed-gene-2.35-mRNA-1_1&gene=genemark-cer-_s435-processed-gene-2.35&CDS=1-990	YKR076W, YMR251W
446	OG0000446	genemark-cer-_s435-processed-gene-2.37-mRNA-1_1&gene=genemark-cer-_s435-processed-gene-2.37&CDS=1-2946	YKL072W, YMR053C
447	OG0000447	genemark-cer-_s438-processed-gene-0.100-mRNA-1_1&gene=genemark-cer-_s438-processed-gene-0.100&CDS=1-1617	YDL042C, YOL068C
448	OG0000448	genemark-cer-_s438-processed-gene-0.75-mRNA-1_1&gene=genemark-cer-_s438-processed-gene-0.75&CDS=1-1653	YIR031C, YNL117W
449	OG0000449	snap_masked-cer-_s438-processed-gene-0.27-mRNA-1_1&gene=snap_masked-cer-_s438-processed-gene-0.27&CDS=1-639	YBR014C, YDL010W
450	OG0000450	snap_masked-cer-_s438-processed-gene-0.52-mRNA-1_1&gene=snap_masked-cer-_s438-processed-gene-0.52&CDS=1-465	YBR048W, YDR025W
451	OG0000451	snap_masked-cer-_s439-processed-gene-0.20-mRNA-1_1&gene=snap_masked-cer-_s439-processed-gene-0.20&CDS=1-1548	YKL133C, YMR115W
452	OG0000452	genemark-cer-_s442-processed-gene-0.12-mRNA-1_1&gene=genemark-cer-_s442-processed-gene-0.12&CDS=1-828, genemark-cer-_s49-processed-gene-2.75-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-2.75&CDS=1-870	YER118C
453	OG0000453	genemark-cer-_s712-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s712-processed-gene-0.2&CDS=1-1080, maker-cer-_s444-augustus-gene-0.0-mRNA-1_1&gene=maker-cer-_s444-augustus-gene-0.0&CDS=1-1041	YML050W
454	OG0000454	genemark-cer-_s455-processed-gene-0.33-mRNA-1_1&gene=genemark-cer-_s455-processed-gene-0.33&CDS=1-5571, snap_masked-cer-_s491-processed-gene-0.12-mRNA-1_1&gene=snap_masked-cer-_s491-processed-gene-0.12&CDS=1-204	YER155C
455	OG0000455	genemark-cer-_s49-processed-gene-1.105-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-1.105&CDS=1-1410, snap_masked-cer-_s455-processed-gene-0.13-mRNA-1_1&gene=snap_masked-cer-_s455-processed-gene-0.13&CDS=1-603	YPL011C
456	OG0000456	genemark-cer-_s456-processed-gene-0.99-mRNA-1_1&gene=genemark-cer-_s456-processed-gene-0.99&CDS=1-1533	YBR020W, YDR009W
457	OG0000457	genemark-cer-_s47-processed-gene-0.57-mRNA-1_1&gene=genemark-cer-_s47-processed-gene-0.57&CDS=1-546	YBR005W, YDR003W
458	OG0000458	genemark-cer-_s47-processed-gene-0.59-mRNA-1_1&gene=genemark-cer-_s47-processed-gene-0.59&CDS=1-1713, snap_masked-cer-_s635-processed-gene-0.51-mRNA-1_1&gene=snap_masked-cer-_s635-processed-gene-0.51&CDS=1-1773	YNL104C
459	OG0000459	augustus_masked-cer-_s47-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-cer-_s47-processed-gene-0.111&CDS=1-1245	YGL082W, YPL191C
460	OG0000460	genemark-cer-_s47-processed-gene-0.88-mRNA-1_1&gene=genemark-cer-_s47-processed-gene-0.88&CDS=1-594, genemark-cer-_s49-processed-gene-1.108-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-1.108&CDS=1-600	YDR032C
461	OG0000461	snap_masked-cer-_s473-processed-gene-0.18-mRNA-1_1&gene=snap_masked-cer-_s473-processed-gene-0.18&CDS=1-246	YHR021C, YKL156W
462	OG0000462	genemark-cer-_s478-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s478-processed-gene-0.4&CDS=1-1851	YBR238C, YGL107C
463	OG0000463	augustus_masked-cer-_s478-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-cer-_s478-processed-gene-0.19&CDS=1-720, genemark-cer-_s777-processed-gene-0.17-mRNA-1_1&gene=genemark-cer-_s777-processed-gene-0.17&CDS=1-1539	YER078C
464	OG0000464	snap_masked-cer-_s48-processed-gene-0.26-mRNA-1_1&gene=snap_masked-cer-_s48-processed-gene-0.26&CDS=1-1182	YDL088C, YMR153W
465	OG0000465	augustus_masked-cer-_s89-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-cer-_s89-processed-gene-0.0&CDS=1-711, genemark-cer-_s48-processed-gene-0.97-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-0.97&CDS=1-2352	YDL116W
466	OG0000466	genemark-cer-_s48-processed-gene-0.123-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-0.123&CDS=1-1425	YLR260W, YOR171C
467	OG0000467	genemark-cer-_s48-processed-gene-0.106-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-0.106&CDS=1-447	YIL111W, YNL052W
468	OG0000468	genemark-cer-_s48-processed-gene-0.131-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-0.131&CDS=1-660	YBR242W, YGL101W
469	OG0000469	genemark-cer-_s48-processed-gene-0.132-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-0.132&CDS=1-1842	YBR241C, YGL104C
470	OG0000470	genemark-cer-_s48-processed-gene-1.107-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-1.107&CDS=1-1014	YBR031W, YDR012W
471	OG0000471	genemark-cer-_s48-processed-gene-1.109-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-1.109&CDS=1-2583	YJL082W, YKR018C
472	OG0000472	genemark-cer-_s48-processed-gene-1.111-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-1.111&CDS=1-3588	YJL105W, YKR029C
473	OG0000473	genemark-cer-_s48-processed-gene-1.155-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-1.155&CDS=1-2097	YBR001C, YDR001C
474	OG0000474	snap_masked-cer-_s48-processed-gene-1.27-mRNA-1_1&gene=snap_masked-cer-_s48-processed-gene-1.27&CDS=1-1926	YER064C, YIL056W
475	OG0000475	genemark-cer-_s48-processed-gene-1.159-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-1.159&CDS=1-855	YDR272W, YOR040W
476	OG0000476	genemark-cer-_s48-processed-gene-1.137-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-1.137&CDS=1-708	YBR181C, YPL090C
477	OG0000477	augustus_masked-cer-_s488-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-cer-_s488-processed-gene-0.11&CDS=1-285	YJR094W-A, YPR043W
478	OG0000478	genemark-cer-_s79-processed-gene-0.5-mRNA-1_1&gene=genemark-cer-_s79-processed-gene-0.5&CDS=1-2946, snap_masked-cer-_s488-processed-gene-0.13-mRNA-1_1&gene=snap_masked-cer-_s488-processed-gene-0.13&CDS=1-312	YKL015W
479	OG0000479	genemark-cer-_s49-processed-gene-1.102-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-1.102&CDS=1-2436	YFL004W, YPL019C
480	OG0000480	genemark-cer-_s49-processed-gene-1.103-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-1.103&CDS=1-573, snap_masked-cer-_s67-processed-gene-3.14-mRNA-1_1&gene=snap_masked-cer-_s67-processed-gene-3.14&CDS=1-249	YPL010W
481	OG0000481	genemark-cer-_s49-processed-gene-1.130-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-1.130&CDS=1-1038	YEL006W, YIL006W
482	OG0000482	augustus_masked-cer-_s49-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-cer-_s49-processed-gene-1.84&CDS=1-2373	YBR150C, YOL089C
483	OG0000483	genemark-cer-_s49-processed-gene-1.134-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-1.134&CDS=1-1626	YNL293W, YOL112W
484	OG0000484	genemark-cer-_s49-processed-gene-2.70-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-2.70&CDS=1-651	YGL135W, YPL220W
485	OG0000485	genemark-cer-_s49-processed-gene-2.114-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-2.114&CDS=1-3501	YJR127C, YML081W
486	OG0000486	genemark-cer-_s49-processed-gene-2.122-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-2.122&CDS=1-3258, genemark-cer-_s627-processed-gene-0.23-mRNA-1_1&gene=genemark-cer-_s627-processed-gene-0.23&CDS=1-2145	YGL179C
487	OG0000487	genemark-cer-_s49-processed-gene-2.95-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-2.95&CDS=1-1329, genemark-cer-_s635-processed-gene-0.7-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.7&CDS=1-1488	YDL020C
488	OG0000488	snap_masked-cer-_s501-processed-gene-0.21-mRNA-1_1&gene=snap_masked-cer-_s501-processed-gene-0.21&CDS=1-318	YHR141C, YNL162W
489	OG0000489	snap_masked-cer-_s521-processed-gene-0.2-mRNA-1_1&gene=snap_masked-cer-_s521-processed-gene-0.2&CDS=1-681	YKR075C, YOR062C
490	OG0000490	snap_masked-cer-_s526-processed-gene-0.27-mRNA-1_1&gene=snap_masked-cer-_s526-processed-gene-0.27&CDS=1-3585	YHR155W, YNL257C
491	OG0000491	genemark-cer-_s531-processed-gene-0.6-mRNA-1_1&gene=genemark-cer-_s531-processed-gene-0.6&CDS=1-585	YLR287C-A, YOR182C
492	OG0000492	genemark-cer-_s667-processed-gene-0.20-mRNA-1_1&gene=genemark-cer-_s667-processed-gene-0.20&CDS=1-1971, snap_masked-cer-_s536-processed-gene-0.1-mRNA-1_1&gene=snap_masked-cer-_s536-processed-gene-0.1&CDS=1-639	YCR088W
493	OG0000493	augustus_masked-cer-_s542-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-cer-_s542-processed-gene-0.7&CDS=1-1953	YDR475C, YOR019W
494	OG0000494	genemark-cer-_s543-processed-gene-0.0-mRNA-1_1&gene=genemark-cer-_s543-processed-gene-0.0&CDS=1-3075	YLR450W, YML075C
495	OG0000495	genemark-cer-_s543-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_s543-processed-gene-0.1&CDS=1-1767	YJR130C, YML082W
496	OG0000496	genemark-cer-_s553-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s553-processed-gene-0.2&CDS=1-1251	YBR066C, YDR043C
497	OG0000497	snap_masked-cer-_s560-processed-gene-0.10-mRNA-1_1&gene=snap_masked-cer-_s560-processed-gene-0.10&CDS=1-723	YGL076C, YPL198W
498	OG0000498	genemark-cer-_s565-processed-gene-0.7-mRNA-1_1&gene=genemark-cer-_s565-processed-gene-0.7&CDS=1-1041	YMR194W, YPL249C-A
499	OG0000499	maker-cer-_s571-snap-gene-0.0-mRNA-1_1&gene=maker-cer-_s571-snap-gene-0.0&CDS=1-1641	YHR146W, YNL173C
500	OG0000500	genemark-cer-_s704-processed-gene-0.26-mRNA-1_1&gene=genemark-cer-_s704-processed-gene-0.26&CDS=1-3507, snap_masked-cer-_s575-processed-gene-0.8-mRNA-1_1&gene=snap_masked-cer-_s575-processed-gene-0.8&CDS=1-789	YNL233W
501	OG0000501	augustus_masked-cer-_s577-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-cer-_s577-processed-gene-0.18&CDS=1-321	YOR234C, YPL143W
502	OG0000502	snap_masked-cer-_s577-processed-gene-0.63-mRNA-1_1&gene=snap_masked-cer-_s577-processed-gene-0.63&CDS=1-1269	YOR237W, YPL145C
503	OG0000503	maker-cer-_s58-snap-gene-0.13-mRNA-1_1&gene=maker-cer-_s58-snap-gene-0.13&CDS=1-1335	YNL108C, YOR110W
