	OrthologID	Botrytis_cinerea	Saccharomyces_cerevisiae
365	OG0000365	XP_001557801.1, XP_024548499.1	YDR333C
366	OG0000366	XP_001557855.1	YDR447C, YML024W
367	OG0000367	XP_001557856.1	YDR066C, YER139C
368	OG0000368	XP_001558300.1	YDR098C, YER174C
369	OG0000369	XP_001558315.2	YIR033W, YKL020C
370	OG0000370	XP_001558370.1, XP_024547626.1	YNL040W
371	OG0000371	XP_001558378.1	YDR501W, YLR183C
372	OG0000372	XP_001558438.1	YGR108W, YPR119W
373	OG0000373	XP_001558463.1, XP_024551830.1	YGL200C
374	OG0000374	XP_001558505.1, XP_024551814.1	YER148W
375	OG0000375	XP_001558528.1	YFL061W, YNL335W
376	OG0000376	XP_001558535.2	YDL042C, YOL068C
377	OG0000377	XP_001558622.1	YHR179W, YPL171C
378	OG0000378	XP_001558654.1, XP_024549734.1	YKL095W
379	OG0000379	XP_001558687.2, XP_024549714.1	YGL167C
380	OG0000380	XP_001558737.1, XP_024549694.1	YOL012C
381	OG0000381	XP_001558802.2, XP_001559449.1	YJR116W
382	OG0000382	XP_001558805.1, XP_024546972.1	YER145C
383	OG0000383	XP_001558832.2, XP_024546961.1	YDR044W
384	OG0000384	XP_001558910.1	YGL082W, YPL191C
385	OG0000385	XP_001559023.1	YBR294W, YLR092W
386	OG0000386	XP_001559063.1, XP_024549410.1	YPL263C
387	OG0000387	XP_001559090.2	YDR122W, YLR096W
388	OG0000388	XP_001559130.2	YBR015C, YJL186W
389	OG0000389	XP_001559180.1, XP_024549358.1	YIL083C
390	OG0000390	XP_001559222.1	YDR368W, YOR120W
391	OG0000391	XP_001559318.1	YGL135W, YPL220W
392	OG0000392	XP_001559332.1, XP_024547540.1	YDL006W
393	OG0000393	XP_001559333.2	YHR115C, YNL116W
394	OG0000394	XP_001559367.2	YBR244W, YIR037W
395	OG0000395	XP_001559459.1	YGR027C, YLR333C
396	OG0000396	XP_001559648.1	YGR214W, YLR048W
397	OG0000397	XP_001559774.1	YDR178W, YLR164W
398	OG0000398	XP_001559848.2, XP_024549135.1	YLR352W
399	OG0000399	XP_001559872.1	YCL064C, YIL167W
400	OG0000400	XP_001559880.1, XP_024548757.1	YFL013C
401	OG0000401	XP_001559959.2	YLR450W, YML075C
402	OG0000402	XP_001560050.1	YBL087C, YER117W
403	OG0000403	XP_001560106.2, XP_024548672.1	YOR367W
404	OG0000404	XP_001560156.1	YBR048W, YDR025W
405	OG0000405	XP_001560384.1	YBR024W, YBR037C
406	OG0000406	XP_001560457.2, XP_024551396.1	YEL023C
407	OG0000407	XP_001560543.1, XP_024546990.1	YMR088C
408	OG0000408	XP_001560565.1	YNL302C, YOL121C
409	OG0000409	XP_001560648.2	YBR161W, YPL057C
410	OG0000410	XP_001560711.1, XP_024552407.1	YKL070W
411	OG0000411	XP_001560762.2	YDL161W, YLR206W
412	OG0000412	XP_001560910.1	YKL081W, YPL048W
413	OG0000413	XP_001560993.2	YKR089C, YOR081C
414	OG0000414	XP_001561078.1	YGR283C, YMR310C
415	OG0000415	XP_001561151.1, XP_024546444.1	YGR186W
416	OG0000416	XP_001561181.1, XP_024546429.1	YMR099C
417	OG0000417	XP_001561238.2, XP_024546407.1	YNL320W
418	OG0000418	XP_001561298.1, XP_024546370.1	YLR293C
419	OG0000419	XP_001561319.1	YGR121C, YPR138C
420	OG0000420	XP_001561381.1	YJL138C, YKR059W
421	OG0000421	XP_024545929.1, XP_024545930.1	YKL182W
422	OG0000422	XP_024545983.1, XP_024545984.1	YBL063W
423	OG0000423	XP_024546000.1, XP_024546001.1	YKL015W
424	OG0000424	XP_024546055.1, XP_024546056.1	YAR015W
425	OG0000425	XP_024546059.1, XP_024546060.1	YBL019W
426	OG0000426	XP_024546062.1, XP_024546063.1	YNL272C
427	OG0000427	XP_024546088.1, XP_024546089.1	YER177W
428	OG0000428	XP_024546092.1, XP_024546093.1	YHR086W
429	OG0000429	XP_024546145.1, XP_024546146.1	YGL156W
430	OG0000430	XP_024546160.1	YNL087W, YOR086C
431	OG0000431	XP_024546183.1, XP_024546184.1	YBR023C
432	OG0000432	XP_024546203.1, XP_024546204.1	YPL150W
433	OG0000433	XP_024546233.1, XP_024546234.1	YMR033W
434	OG0000434	XP_024546239.1, XP_024546240.1	YDR097C
435	OG0000435	XP_024546317.1, XP_024546318.1	YBR170C
436	OG0000436	XP_024546321.1, XP_024546322.1	YHR175W
437	OG0000437	XP_024546353.1	YNL106C, YOR109W
438	OG0000438	XP_024546368.1	YDR451C, YML027W
439	OG0000439	XP_024546389.1, XP_024546390.1	YGR254W
440	OG0000440	XP_024546394.1, XP_024546395.1	YBL008W
441	OG0000441	XP_024546402.1	YLR264W, YOR167C
442	OG0000442	XP_024546477.1	YNL299W, YOL115W
443	OG0000443	XP_024546479.1, XP_024546480.1	YJL104W
444	OG0000444	XP_024546501.1, XP_024546502.1	YOL058W
445	OG0000445	XP_024546574.1, XP_024546575.1	YBR186W
446	OG0000446	XP_024546576.1	YML100W, YMR261C
447	OG0000447	XP_024546581.1	YER059W, YIL050W
448	OG0000448	XP_024546651.1, XP_024546652.1	YAL038W
449	OG0000449	XP_024546735.1, XP_024546736.1	YFR018C
450	OG0000450	XP_024546792.1, XP_024546793.1	YJR119C
451	OG0000451	XP_024546861.1, XP_024546862.1	YJR141W
452	OG0000452	XP_024546953.1, XP_024546954.1	YAR035W
453	OG0000453	XP_024546980.1, XP_024546981.1	YDR109C
454	OG0000454	XP_024547041.1	YLL012W, YLR020C
455	OG0000455	XP_024547042.1, XP_024547043.1	YNL329C
456	OG0000456	XP_024547065.1	YBR031W, YDR012W
457	OG0000457	XP_024547135.1, XP_024547136.1	YNR008W
458	OG0000458	XP_024547163.1	YBR049C, YDR026C
459	OG0000459	XP_024547195.1	YER131W, YGL189C
460	OG0000460	XP_024547223.1	YJR130C, YML082W
461	OG0000461	XP_024547232.1	YIL105C, YNL047C
462	OG0000462	XP_024547236.1, XP_024547237.1	YMR129W
463	OG0000463	XP_024547299.1	YDR146C, YLR131C
464	OG0000464	XP_024547348.1, XP_024547349.1	YKR017C
465	OG0000465	XP_024547365.1, XP_024547366.1	YHR206W
466	OG0000466	XP_024547405.1	YDR358W, YHR108W
467	OG0000467	XP_024547451.1, XP_024553944.1	YKR064W
468	OG0000468	XP_024547579.1, XP_024547580.1	YGR063C
469	OG0000469	XP_024547586.1, XP_024547587.1	YCR065W
470	OG0000470	XP_024547620.1, XP_024547621.1	YOR274W
471	OG0000471	XP_024547630.1, XP_024547631.1	YBR261C
472	OG0000472	XP_024547658.1, XP_024547659.1	YNL063W
473	OG0000473	XP_024547753.1, XP_024547754.1	YER008C
474	OG0000474	XP_024547795.1	YDR272W, YOR040W
475	OG0000475	XP_024547835.1, XP_024547836.1	YOR358W
476	OG0000476	XP_024547848.1, XP_024551012.1	YBR096W
477	OG0000477	XP_024547864.1	YLR178C, YLR179C
478	OG0000478	XP_024547888.1	YDL083C, YMR143W
479	OG0000479	XP_024547903.1	YJL190C, YLR367W
480	OG0000480	XP_024547928.1	YFL050C, YOL130W
481	OG0000481	XP_024548012.1, XP_024548013.1	YNL128W
482	OG0000482	XP_024548096.1, XP_024548097.1	YMR113W
483	OG0000483	XP_024548138.1	YCR048W, YNR019W
484	OG0000484	XP_024548145.1, XP_024548146.1	YGL136C
485	OG0000485	XP_024548160.1	YGR008C, YLR327C
486	OG0000486	XP_024548170.1	YHR146W, YNL173C
487	OG0000487	XP_024548176.1, XP_024548177.1	YBL020W
488	OG0000488	XP_024548208.1, XP_024548209.1	YDL190C
489	OG0000489	XP_024548297.1, XP_024548298.1	YDR089W
490	OG0000490	XP_024548322.1, XP_024548323.1	YCR036W
491	OG0000491	XP_024548367.1	YDL081C, YDL130W
492	OG0000492	XP_024548431.1	YBL072C, YER102W
493	OG0000493	XP_024548561.1, XP_024548562.1	YMR109W
494	OG0000494	XP_024548596.1	YHL039W, YPL208W
495	OG0000495	XP_024548635.1	YMR242C, YOR312C
496	OG0000496	XP_024548703.1, XP_024548704.1	YGL084C
497	OG0000497	XP_024548709.1, XP_024553956.1	YLR451W
498	OG0000498	XP_024548717.1, XP_024548718.1	YDR051C
499	OG0000499	XP_024548745.1, XP_024553513.1	YKL051W
500	OG0000500	XP_024548760.1, XP_024548761.1	YMR208W
501	OG0000501	XP_024548786.1	YJL098W, YKR028W
502	OG0000502	XP_024548821.1, XP_024548822.1	YOL004W
503	OG0000503	XP_024548847.1, XP_024548848.1	YDR057W
504	OG0000504	XP_024548899.1, XP_024548900.1	YOR339C
505	OG0000505	XP_024548901.1	YDL075W, YLR406C
506	OG0000506	XP_024548934.1, XP_024548935.1	YOR134W
507	OG0000507	XP_024548967.1	YKL072W, YMR053C
508	OG0000508	XP_024549021.1	YJL136C, YKR057W
509	OG0000509	XP_024549165.1	YHR123W, YNL130C
510	OG0000510	XP_024549189.1	YMR222C, YOR280C
511	OG0000511	XP_024549206.1, XP_024549207.1	YHR186C
512	OG0000512	XP_024549208.1	YGR238C, YHR158C
513	OG0000513	XP_024549217.1, XP_024549218.1	YDR381W
514	OG0000514	XP_024549228.1	YPR169W-A, YPR170W-B
515	OG0000515	XP_024549280.1, XP_024549281.1	YNL277W
516	OG0000516	XP_024549302.1, XP_024549303.1	YLR239C
517	OG0000517	XP_024549362.1, XP_024549363.1	YLR410W
518	OG0000518	XP_024549414.1, XP_024549415.1	YGL124C
519	OG0000519	XP_024549446.1, XP_024549447.1	YMR123W
520	OG0000520	XP_024549542.1	YDR107C, YLR083C
521	OG0000521	XP_024549613.1	YMR182C, YPL230W
522	OG0000522	XP_024549620.1	YIL148W, YKR094C
523	OG0000523	XP_024549621.1, XP_024549622.1	YJL025W
524	OG0000524	XP_024549633.1, XP_024549634.1	YBR169C
525	OG0000525	XP_024549661.1	YDR385W, YOR133W
526	OG0000526	XP_024549662.1, XP_024549663.1	YKR051W
527	OG0000527	XP_024549689.1, XP_024549690.1	YBL051C
528	OG0000528	XP_024549778.1	YMR243C, YOR316C
529	OG0000529	XP_024549790.1, XP_024549791.1	YMR078C
530	OG0000530	XP_024549858.1, XP_024549859.1	YLR452C
531	OG0000531	XP_024549874.1, XP_024549875.1	YCL038C
532	OG0000532	XP_024549881.1, XP_024549882.1	YOL016C
533	OG0000533	XP_024549905.1, XP_024549906.1	YER031C
534	OG0000534	XP_024549909.1, XP_024549910.1	YLL050C
535	OG0000535	XP_024549979.1, XP_024549980.1	YNL267W
536	OG0000536	XP_024549999.1, XP_024550000.1	YFL016C
537	OG0000537	XP_024550031.1, XP_024550032.1	YDL133W
538	OG0000538	XP_024550034.1	YGR143W, YPR159W
539	OG0000539	XP_024550125.1, XP_024550126.1	YMR004W
540	OG0000540	XP_024550184.1, XP_024550185.1	YOR212W
541	OG0000541	XP_024550228.1	YLR098C, YOR337W
542	OG0000542	XP_024550231.1, XP_024550232.1	YBR111C
543	OG0000543	XP_024550316.1, XP_024550317.1	YKL140W
544	OG0000544	XP_024550327.1	YAL034C, YOR338W
545	OG0000545	XP_024550329.1	YDL224C, YNL197C
546	OG0000546	XP_024550344.1, XP_024550345.1	YOR032C
547	OG0000547	XP_024550349.1, XP_024550350.1	YML025C
548	OG0000548	XP_024550365.1, XP_024550366.1	YKL027W
549	OG0000549	XP_024550381.1	YHL003C, YKL008C
550	OG0000550	XP_024550382.1, XP_024550383.1	YAR014C
551	OG0000551	XP_024550459.1, XP_024550460.1	YDR421W
552	OG0000552	XP_024550469.1, XP_024550470.1	YOR191W
553	OG0000553	XP_024550477.1	YCR026C, YEL016C
554	OG0000554	XP_024550485.1, XP_024550486.1	YPL181W
555	OG0000555	XP_024550584.1, XP_024550585.1	YIL072W
556	OG0000556	XP_024550586.1	YER066W, YFL009W
557	OG0000557	XP_024550591.1	YIL149C, YKR095W
558	OG0000558	XP_024550601.1, XP_024550602.1	YOR258W
559	OG0000559	XP_024550647.1	YCR094W, YNR048W
560	OG0000560	XP_024550739.1, XP_024550740.1	YLR118C
561	OG0000561	XP_024550800.1, XP_024550801.1	YIL106W
562	OG0000562	XP_024550836.1	YCL024W, YDR507C
563	OG0000563	XP_024550858.1	YHL001W, YKL006W
564	OG0000564	XP_024550888.1	YGR243W, YHR162W
565	OG0000565	XP_024550903.1	YDR348C, YHR097C
566	OG0000566	XP_024550906.1	YCL040W, YDR516C
567	OG0000567	XP_024550952.1, XP_024550953.1	YJL187C
568	OG0000568	XP_024550984.1	YLR287C-A, YOR182C
569	OG0000569	XP_024550987.1, XP_024550988.1	YNL263C
570	OG0000570	XP_024551094.1	YDR252W, YPL037C
571	OG0000571	XP_024551097.1, XP_024551098.1	YML086C
572	OG0000572	XP_024551099.1, XP_024551100.1	YBR137W
573	OG0000573	XP_024551124.1	YDR147W, YLR133W
574	OG0000574	XP_024551159.1	YCR073W-A, YNR034W
575	OG0000575	XP_024551178.1	YHR155W, YNL257C
576	OG0000576	XP_024551198.1, XP_024551199.1	YDR124W
577	OG0000577	XP_024551290.1	YJL137C, YKR058W
578	OG0000578	XP_024551343.1	YIL113W, YNL053W
579	OG0000579	XP_024551351.1, XP_024551352.1	YML049C
580	OG0000580	XP_024551399.1, XP_024551400.1	YKR002W
581	OG0000581	XP_024551490.1, XP_024551491.1	YHR084W
582	OG0000582	XP_024551502.1	YCL036W, YDR514C
583	OG0000583	XP_024551518.1, XP_024551519.1	YHL027W
584	OG0000584	XP_024551530.1, XP_024551531.1	YPR079W
585	OG0000585	XP_024551560.1, XP_024551561.1	YDR316W
586	OG0000586	XP_024551601.1, XP_024551602.1	YHR164C
587	OG0000587	XP_024551733.1	YDR312W, YHR066W
588	OG0000588	XP_024551768.1	YCR073C, YNR031C
589	OG0000589	XP_024551783.1, XP_024551784.1	YER164W
590	OG0000590	XP_024551905.1	YGL147C, YNL067W
591	OG0000591	XP_024551922.1	YMR237W, YOR299W
592	OG0000592	XP_024551931.1	YJL082W, YKR018C
593	OG0000593	XP_024551978.1, XP_024551979.1	YCR077C
594	OG0000594	XP_024551980.1	YGR197C, YJR015W
595	OG0000595	XP_024551997.1	YBR172C, YPL105C
596	OG0000596	XP_024552009.1	YEL066W, YPR193C
597	OG0000597	XP_024552043.1, XP_024552044.1	YJL020C
598	OG0000598	XP_024552046.1	YKR076W, YMR251W
599	OG0000599	XP_024552056.1, XP_024552057.1	YJR138W
600	OG0000600	XP_024552147.1	YMR119W, YNL008C
601	OG0000601	XP_024552150.1	YEL022W, YJR031C
602	OG0000602	XP_024552171.1, XP_024552172.1	YIL129C
603	OG0000603	XP_024552235.1, XP_024552236.1	YGR261C
604	OG0000604	XP_024552260.1	YLR270W, YOR173W
605	OG0000605	XP_024552274.1, XP_024552275.1	YNR063W
606	OG0000606	XP_024552328.1, XP_024552329.1	YER134C
607	OG0000607	XP_024552444.1	YJR094W-A, YPR043W
608	OG0000608	XP_024552459.1, XP_024552460.1	YNL083W
609	OG0000609	XP_024552511.1	YJL134W, YKR053C
610	OG0000610	XP_024552527.1, XP_024552528.1	YER080W
611	OG0000611	XP_024552557.1	YFR022W, YOR018W
612	OG0000612	XP_024552578.1, XP_024552579.1	YML007W
613	OG0000613	XP_024552649.1, XP_024552650.1	YDL020C
614	OG0000614	XP_024552653.1	YBR140C, YOL081W
615	OG0000615	XP_024552729.1, XP_024552730.1	YCL010C
616	OG0000616	XP_024552782.1, XP_024552783.1	YHR012W
617	OG0000617	XP_024552866.1	YGR038W, YLR350W
618	OG0000618	XP_024552889.1, XP_024552890.1	YGR233C
619	OG0000619	XP_024552927.1	YBL085W, YER114C
620	OG0000620	XP_024552986.1, XP_024552987.1	YPL237W
621	OG0000621	XP_024552989.1	YGR131W, YPR149W
622	OG0000622	XP_024553024.1	YIR013C, YLR013W
623	OG0000623	XP_024553028.1, XP_024553029.1	YKL069W
624	OG0000624	XP_024553046.1	YJL042W, YOR227W
625	OG0000625	XP_024553051.1, XP_024553052.1	YCL008C
626	OG0000626	XP_024553078.1	YDR505C, YLR177W
627	OG0000627	XP_024553082.1, XP_024553083.1	YKL167C
628	OG0000628	XP_024553106.1, XP_024553107.1	YPR023C
629	OG0000629	XP_024553121.1, XP_024553122.1	YNL279W
630	OG0000630	XP_024553243.1, XP_024553244.1	YIL128W
631	OG0000631	XP_024553279.1, XP_024553280.1	YEL011W
632	OG0000632	XP_024553314.1, XP_024553315.1	YJL005W
633	OG0000633	XP_024553320.1	YBR147W, YOL092W
634	OG0000634	XP_024553449.1	YBR242W, YGL101W
635	OG0000635	XP_024553461.1, XP_024553462.1	YGR159C
636	OG0000636	XP_024553536.1, XP_024553537.1	YHR124W
637	OG0000637	XP_024553539.1, XP_024553540.1	YGR046W
638	OG0000638	XP_024553543.1, XP_024553544.1	YBR018C
639	OG0000639	XP_024553574.1, XP_024553575.1	YBR281C
640	OG0000640	XP_024553611.1	YJR054W, YML047C
641	OG0000641	XP_024553658.1, XP_024553659.1	YDR289C
642	OG0000642	XP_024553699.1, XP_024553700.1	YKL033W
643	OG0000643	XP_024553714.1, XP_024553715.1	YPR141C
644	OG0000644	XP_024553895.1, XP_024553896.1	YOR236W
645	OG0000645	XP_024553923.1, XP_024553924.1	YPR095C
646	OG0000646	XP_024553941.1, XP_024553942.1	YGR021W
647	OG0000647	XP_024553975.1, XP_024553976.1	YOR319W
648	OG0000648	XP_024553978.1, XP_024553979.1	YMR139W
649	OG0000649	XP_024553980.1, XP_024553981.1	YLR345W
650	OG0000650	XP_024554029.1, XP_024554030.1	YNL271C
651	OG0000651	XP_024554051.1, XP_024554052.1	YPL085W
652	OG0000652	XP_001545066.1	YNL147W
653	OG0000653	XP_001545155.2	YIL039W
654	OG0000654	XP_001545158.2	YJR113C
655	OG0000655	XP_001545175.1	YKL088W
656	OG0000656	XP_001545212.1	YBR167C
657	OG0000657	XP_001545239.2	YCL057W
658	OG0000658	XP_001545252.2	YJR070C
659	OG0000659	XP_001545267.1	YGR181W
660	OG0000660	XP_001545282.2	YBR112C
661	OG0000661	XP_001545301.2	YGR202C
662	OG0000662	XP_001545305.1	YER072W
663	OG0000663	XP_001545365.1	YDR427W
664	OG0000664	XP_001545374.1	YLR011W
665	OG0000665	XP_001545413.1	YER025W
666	OG0000666	XP_001545414.1	YFL046W
667	OG0000667	XP_001545425.1	YIL043C
668	OG0000668	XP_001545454.2	YGL110C
669	OG0000669	XP_001545455.1	YHL015W
670	OG0000670	XP_001545469.2	YMR284W
671	OG0000671	XP_001545490.2	YNL221C
672	OG0000672	XP_001545547.1	YGL100W
673	OG0000673	XP_001545556.1	YGR244C
674	OG0000674	XP_001545578.1	YDL208W
675	OG0000675	XP_001545579.1	YJL166W
676	OG0000676	XP_001545580.1	YGR132C
677	OG0000677	XP_001545584.1	YNL022C
678	OG0000678	XP_001545585.2	YLR009W
679	OG0000679	XP_001545600.1	YML030W
680	OG0000680	XP_001545640.2	YDR300C
681	OG0000681	XP_001545642.2	YPL209C
682	OG0000682	XP_001545643.1	YPR040W
683	OG0000683	XP_001545671.1	YER122C
684	OG0000684	XP_001545681.1	YDR538W
685	OG0000685	XP_001545692.1	YLR229C
686	OG0000686	XP_001545705.1	YDR435C
687	OG0000687	XP_001545706.2	YMR244W
688	OG0000688	XP_001545709.1	YCL059C
689	OG0000689	XP_001545710.2	YKR034W
690	OG0000690	XP_001545716.1	YOR211C
691	OG0000691	XP_001545720.2	YCR075C
692	OG0000692	XP_001545752.1	YGR231C
693	OG0000693	XP_001545753.1	YGL044C
694	OG0000694	XP_001545754.2	YOR128C
695	OG0000695	XP_001545761.1	YML092C
696	OG0000696	XP_001545772.1	YLR245C
697	OG0000697	XP_001545784.1	YNL212W
698	OG0000698	XP_001545785.1	YMR188C
699	OG0000699	XP_001545811.1	YOR223W
700	OG0000700	XP_001545837.2	YPL226W
701	OG0000701	XP_001545846.2	YKR009C
702	OG0000702	XP_001545849.1	YGR205W
703	OG0000703	XP_001545851.2	YOR317W
704	OG0000704	XP_001545853.1	YLR137W
705	OG0000705	XP_001545864.2	YDR158W
706	OG0000706	XP_001545865.1	YMR002W
707	OG0000707	XP_001545869.1	YDR204W
708	OG0000708	XP_001545872.1	YDR086C
709	OG0000709	XP_001545882.1	YDL213C
710	OG0000710	XP_001545900.1	YPL151C
711	OG0000711	XP_001545901.2	YML065W
712	OG0000712	XP_001545904.1	YML094W
713	OG0000713	XP_001545917.2	YFL036W
714	OG0000714	XP_001545950.2	YGL028C
715	OG0000715	XP_001545951.1	YJR101W
716	OG0000716	XP_001545954.1	YDL212W
717	OG0000717	XP_001545969.1	YLR150W
718	OG0000718	XP_001545985.1	YHR082C
719	OG0000719	XP_001546000.1	YAL020C
720	OG0000720	XP_001546002.1	YPR067W
721	OG0000721	XP_001546024.1	YPR143W
722	OG0000722	XP_001546025.2	YPL252C
723	OG0000723	XP_001546026.2	YDR470C
724	OG0000724	XP_001546057.1	YGL066W
725	OG0000725	XP_001546059.2	YBR289W
726	OG0000726	XP_001546060.2	YDR101C
727	OG0000727	XP_001546108.1	YLL026W
728	OG0000728	XP_001546132.1	YOR004W
729	OG0000729	XP_001546164.1	YDL195W
730	OG0000730	XP_001546171.1	YOR163W
731	OG0000731	XP_001546172.1	YJL124C
732	OG0000732	XP_001546179.1	YKL040C
733	OG0000733	XP_001546193.2	YKL059C
734	OG0000734	XP_001546206.1	YDR448W
735	OG0000735	XP_001546253.1	YHL013C
736	OG0000736	XP_001546273.1	YPL218W
737	OG0000737	XP_001546275.1	YGR006W
738	OG0000738	XP_001546303.1	YPR020W
739	OG0000739	XP_001546309.1	YPR189W
740	OG0000740	XP_001546315.2	YKL004W
741	OG0000741	XP_001546317.1	YDR449C
742	OG0000742	XP_001546325.2	YPL190C
743	OG0000743	XP_001546333.1	YKL082C
744	OG0000744	XP_001546341.1	YDL098C
745	OG0000745	XP_001546373.1	YLR330W
746	OG0000746	XP_001546376.1	YOR181W
747	OG0000747	XP_001546379.2	YPL022W
748	OG0000748	XP_001546386.1	YLR430W
749	OG0000749	XP_001546403.1	YBL071W-A
750	OG0000750	XP_001546404.1	YDL120W
751	OG0000751	XP_001546406.1	YPL160W
752	OG0000752	XP_001546414.2	YPL091W
753	OG0000753	XP_001546415.1	YKL011C
754	OG0000754	XP_001546425.1	YPR063C
755	OG0000755	XP_001546427.1	YNL244C
756	OG0000756	XP_001546430.1	YHL024W
757	OG0000757	XP_001546435.1	YGL191W
758	OG0000758	XP_001546440.1	YPR091C
759	OG0000759	XP_001546441.1	YPL167C
760	OG0000760	XP_001546442.1	YDR088C
761	OG0000761	XP_001546443.1	YBR189W
762	OG0000762	XP_001546448.2	YJL203W
763	OG0000763	XP_001546470.1	YNR050C
764	OG0000764	XP_001546484.1	YNL136W
765	OG0000765	XP_001546533.2	YJR078W
766	OG0000766	XP_001546555.2	YIL076W
767	OG0000767	XP_001546586.1	YJR074W
768	OG0000768	XP_001546590.1	YNR032W
769	OG0000769	XP_001546600.1	YDR100W
770	OG0000770	XP_001546620.1	YBR008C
771	OG0000771	XP_001546630.1	YOR117W
772	OG0000772	XP_001546636.1	YLR295C
773	OG0000773	XP_001546645.1	YPR073C
774	OG0000774	XP_001546646.1	YDR189W
775	OG0000775	XP_001546687.1	YNR043W
776	OG0000776	XP_001546692.1	YIR026C
777	OG0000777	XP_001546710.1	YBL015W
778	OG0000778	XP_001546799.1	YJL072C
779	OG0000779	XP_001546815.1	YCL018W
780	OG0000780	XP_001546822.1	YJL168C
781	OG0000781	XP_001546847.1	YPR025C
782	OG0000782	XP_001546871.2	YNR055C
783	OG0000783	XP_001546880.1	YBR160W
784	OG0000784	XP_001546881.1	YDR236C
785	OG0000785	XP_001546882.1	YBR239C
786	OG0000786	XP_001546884.1	YHR048W
787	OG0000787	XP_001546894.1	YDR299W
788	OG0000788	XP_001546896.2	YKR097W
789	OG0000789	XP_001546907.1	YDR172W
790	OG0000790	XP_001546912.1	YGL083W
791	OG0000791	XP_001546921.2	YOR356W
792	OG0000792	XP_001546938.1	YGL019W
793	OG0000793	XP_001546942.1	YLR220W
794	OG0000794	XP_001546950.2	YGR002C
795	OG0000795	XP_001546976.1	YDR116C
796	OG0000796	XP_001546997.2	YJL074C
797	OG0000797	XP_001546999.2	YLR276C
798	OG0000798	XP_001547006.1	YCR059C
799	OG0000799	XP_001547036.1	YLR387C
800	OG0000800	XP_001547045.2	YCR054C
801	OG0000801	XP_001547053.1	YGL048C
802	OG0000802	XP_001547079.1	YIL067C
803	OG0000803	XP_001547084.2	YLL002W
804	OG0000804	XP_001547085.1	YLR312W-A
805	OG0000805	XP_001547107.1	YEL032W
806	OG0000806	XP_001547110.2	YMR024W
807	OG0000807	XP_001547113.1	YNL137C
808	OG0000808	XP_001547116.2	YJL085W
809	OG0000809	XP_001547199.1	YNL071W
810	OG0000810	XP_001547201.2	YBR213W
811	OG0000811	XP_001547234.1	YMR166C
812	OG0000812	XP_001547236.2	YDL238C
813	OG0000813	XP_001547239.1	YJR007W
814	OG0000814	XP_001547274.1	YLR015W
815	OG0000815	XP_001547323.1	YDR068W
816	OG0000816	XP_001547324.2	YLR435W
817	OG0000817	XP_001547339.1	YHR168W
818	OG0000818	XP_001547361.1	YDR331W
819	OG0000819	XP_001547369.1	YER127W
820	OG0000820	XP_001547389.2	YDR282C
821	OG0000821	XP_001547398.2	YLR077W
822	OG0000822	XP_001547403.1	YMR307W
823	OG0000823	XP_001547436.2	YIL004C
824	OG0000824	XP_001547443.1	YDR171W
825	OG0000825	XP_001547449.1	YFL005W
826	OG0000826	XP_001547454.1	YOR028C
827	OG0000827	XP_001547459.1	YKL196C
828	OG0000828	XP_001547460.1	YGR271W
829	OG0000829	XP_001547476.1	YGR175C
830	OG0000830	XP_001547478.1	YGR060W
831	OG0000831	XP_001547491.2	YPL184C
832	OG0000832	XP_001547493.1	YHR019C
833	OG0000833	XP_001547510.1	YGL130W
834	OG0000834	XP_001547514.1	YNR017W
835	OG0000835	XP_001547564.1	YDL056W
836	OG0000836	XP_001547579.1	YER003C
837	OG0000837	XP_001547585.1	YDL029W
838	OG0000838	XP_001547586.2	YIR030C
839	OG0000839	XP_001547592.2	YBR081C
840	OG0000840	XP_001547595.1	YDR527W
841	OG0000841	XP_001547598.2	YBR215W
842	OG0000842	XP_001547601.1	YBR290W
843	OG0000843	XP_001547604.2	YIL070C
844	OG0000844	XP_001547614.1	YNL049C
845	OG0000845	XP_001547624.2	YCR071C
846	OG0000846	XP_001547632.1	YGL220W
847	OG0000847	XP_001547645.1	YMR235C
848	OG0000848	XP_001547656.1	YIL003W
849	OG0000849	XP_001547677.1	YAL049C
850	OG0000850	XP_001547681.1	YHR002W
851	OG0000851	XP_001547687.1	YER152C
852	OG0000852	XP_001547691.2	YER013W
853	OG0000853	XP_001547701.1	YOR244W
854	OG0000854	XP_001547702.1	YOL080C
855	OG0000855	XP_001547714.1	YGL201C
856	OG0000856	XP_001547723.2	YGL009C
857	OG0000857	XP_001547729.1	YDL183C
858	OG0000858	XP_001547747.1	YER136W
859	OG0000859	XP_001547748.1	YLR439W
860	OG0000860	XP_001547756.1	YHR172W
861	OG0000861	XP_001547757.1	YGR253C
862	OG0000862	XP_001547762.1	YGL055W
863	OG0000863	XP_001547777.1	YDR237W
864	OG0000864	XP_001547795.2	YDL200C
865	OG0000865	XP_001547796.1	YKL216W
866	OG0000866	XP_001547803.1	YOR375C
867	OG0000867	XP_001547805.1	YJR096W
868	OG0000868	XP_001547811.2	YFR010W
869	OG0000869	XP_001547812.1	YKL013C
870	OG0000870	XP_001547830.1	YDL219W
871	OG0000871	XP_001547832.1	YMR093W
872	OG0000872	XP_001547838.1	YNL177C
873	OG0000873	XP_001547840.1	YER065C
874	OG0000874	XP_001547852.2	YOR125C
875	OG0000875	XP_001547853.2	YKR031C
