	OrthologID	Lachancea_thermotolerans	Saccharomyces_cerevisiae
262	OG0000262	augustus_masked-CU928171-processed-gene-15.85-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-15.85&CDS=1-381	YGR034W, YLR344W
263	OG0000263	augustus_masked-CU928171-processed-gene-15.75-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-15.75&CDS=1-321	YGR027C, YLR333C
264	OG0000264	augustus_masked-CU928171-processed-gene-16.7-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-16.7&CDS=1-357	YFL034C-A, YLR061W
265	OG0000265	augustus_masked-CU928171-processed-gene-16.36-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-16.36&CDS=1-1506, augustus_masked-CU928180-processed-gene-12.63-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-12.63&CDS=1-1683	YFL040W
266	OG0000266	augustus_masked-CU928171-processed-gene-16.40-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-16.40&CDS=1-1062	YDL246C, YJR159W
267	OG0000267	augustus_masked-CU928171-processed-gene-16.21-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-16.21&CDS=1-906, augustus_masked-CU928171-processed-gene-16.54-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-16.54&CDS=1-909	YKL107W
268	OG0000268	augustus_masked-CU928180-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-1.1&CDS=1-411	YGR243W, YHR162W
269	OG0000269	maker-CU928180-snap-gene-2.56-mRNA-1_1&gene=maker-CU928180-snap-gene-2.56&CDS=1-1023	YDL137W, YDL192W
270	OG0000270	augustus_masked-CU928180-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-2.67&CDS=1-360	YDL136W, YDL191W
271	OG0000271	augustus_masked-CU928180-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-2.101&CDS=1-4896	YMR186W, YPL240C
272	OG0000272	augustus_masked-CU928180-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-2.83&CDS=1-864	YMR183C, YPL232W
273	OG0000273	augustus_masked-CU928180-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-3.11&CDS=1-2454	YGL139W, YPL221W
274	OG0000274	augustus_masked-CU928180-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-3.13&CDS=1-651	YGL135W, YPL220W
275	OG0000275	augustus_masked-CU928180-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-3.14&CDS=1-1452	YGL134W, YPL219W
276	OG0000276	augustus_masked-CU928180-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-3.45&CDS=1-1560	YGL071W, YPL202C
277	OG0000277	augustus_masked-CU928180-processed-gene-4.48-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-4.48&CDS=1-729	YGL076C, YPL198W
278	OG0000278	augustus_masked-CU928180-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-4.59&CDS=1-543	YGL089C, YPL187W
279	OG0000279	augustus_masked-CU928180-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-5.25&CDS=1-3522	YBR218C, YGL062W
280	OG0000280	genemark-CU928180-processed-gene-7.137-mRNA-1_1&gene=genemark-CU928180-processed-gene-7.137&CDS=1-504	YPR013C, YPR015C
281	OG0000281	augustus_masked-CU928180-processed-gene-8.74-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-8.74&CDS=1-465	YGL031C, YGR148C
282	OG0000282	maker-CU928180-snap-gene-8.51-mRNA-1_1&gene=maker-CU928180-snap-gene-8.51&CDS=1-1641	YJL079C, YKR013W
283	OG0000283	snap_masked-CU928180-processed-gene-9.8-mRNA-1_1&gene=snap_masked-CU928180-processed-gene-9.8&CDS=1-1587	YBR270C, YJL058C
284	OG0000284	snap_masked-CU928180-processed-gene-9.43-mRNA-1_1&gene=snap_masked-CU928180-processed-gene-9.43&CDS=1-2322, snap_masked-CU928180-processed-gene-9.44-mRNA-1_1&gene=snap_masked-CU928180-processed-gene-9.44&CDS=1-1962	YJL047C
285	OG0000285	augustus_masked-CU928180-processed-gene-9.156-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-9.156&CDS=1-2130	YFR015C, YLR258W
286	OG0000286	snap_masked-CU928180-processed-gene-10.101-mRNA-1_1&gene=snap_masked-CU928180-processed-gene-10.101&CDS=1-3027	YJL043W, YKR015C
287	OG0000287	maker-CU928180-augustus-gene-13.113-mRNA-1_1&gene=maker-CU928180-augustus-gene-13.113&CDS=1-537	YMR242C, YOR312C
288	OG0000288	augustus_masked-CU928180-processed-gene-13.100-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-13.100&CDS=1-597	YDL082W, YMR142C
289	OG0000289	augustus_masked-CU928180-processed-gene-13.75-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-13.75&CDS=1-429	YDL083C, YMR143W
290	OG0000290	genemark-CU928165-processed-gene-0.46-mRNA-1_1&gene=genemark-CU928165-processed-gene-0.46&CDS=1-1089	YFL055W
291	OG0000291	augustus_masked-CU928165-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-0.65&CDS=1-720	YKL070W
292	OG0000292	augustus_masked-CU928165-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-0.79&CDS=1-1107	YPR191W
293	OG0000293	augustus_masked-CU928165-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-0.69&CDS=1-1869	YPR190C
294	OG0000294	augustus_masked-CU928165-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-0.80&CDS=1-4233	YPR189W
295	OG0000295	augustus_masked-CU928165-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-0.70&CDS=1-462	YPR188C
296	OG0000296	augustus_masked-CU928165-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-0.81&CDS=1-465	YPR187W
297	OG0000297	augustus_masked-CU928165-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-0.71&CDS=1-1299	YPR186C
298	OG0000298	augustus_masked-CU928165-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-0.82&CDS=1-2046	YPR185W
299	OG0000299	augustus_masked-CU928165-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-0.83&CDS=1-4536	YPR184W
300	OG0000300	augustus_masked-CU928165-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-0.84&CDS=1-795	YPR183W
301	OG0000301	maker-CU928165-snap-gene-0.33-mRNA-1_1&gene=maker-CU928165-snap-gene-0.33&CDS=1-1362	YLR459W
302	OG0000302	augustus_masked-CU928165-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-0.72&CDS=1-2298	YPR181C
303	OG0000303	augustus_masked-CU928165-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-0.86&CDS=1-942	YPR180W
304	OG0000304	augustus_masked-CU928165-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.0&CDS=1-1941	YPR179C
305	OG0000305	augustus_masked-CU928165-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.4&CDS=1-1413	YPR178W
306	OG0000306	augustus_masked-CU928165-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.1&CDS=1-972	YPR176C
307	OG0000307	augustus_masked-CU928165-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.5&CDS=1-2088	YPR175W
308	OG0000308	snap_masked-CU928165-processed-gene-1.111-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-1.111&CDS=1-903	YLR457C
309	OG0000309	augustus_masked-CU928165-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.3&CDS=1-1281	YPR173C
310	OG0000310	augustus_masked-CU928165-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.6&CDS=1-630	YPR172W
311	OG0000311	augustus_masked-CU928165-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.7&CDS=1-927	YLR455W
312	OG0000312	snap_masked-CU928165-processed-gene-1.140-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-1.140&CDS=1-2268	YPR171W
313	OG0000313	maker-CU928165-augustus-gene-1.168-mRNA-1_1&gene=maker-CU928165-augustus-gene-1.168&CDS=1-249	YPR170W-B
314	OG0000314	snap_masked-CU928165-processed-gene-1.118-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-1.118&CDS=1-1836	YOL117W
315	OG0000315	genemark-CU928165-processed-gene-1.63-mRNA-1_1&gene=genemark-CU928165-processed-gene-1.63&CDS=1-882	YOL116W
316	OG0000316	augustus_masked-CU928165-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.11&CDS=1-1827	YOL115W
317	OG0000317	genemark-CU928165-processed-gene-1.89-mRNA-1_1&gene=genemark-CU928165-processed-gene-1.89&CDS=1-513	YOL114C
318	OG0000318	augustus_masked-CU928165-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.37&CDS=1-4842	YNL297C
319	OG0000319	snap_masked-CU928165-processed-gene-1.123-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-1.123&CDS=1-1428	YNL295W
320	OG0000320	augustus_masked-CU928165-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.38&CDS=1-1563	YNL294C
321	OG0000321	augustus_masked-CU928165-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.14&CDS=1-1698	YNL293W
322	OG0000322	augustus_masked-CU928165-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.39&CDS=1-624	YOL111C
323	OG0000323	augustus_masked-CU928165-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.15&CDS=1-1941	YNL292W
324	OG0000324	augustus_masked-CU928165-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.40&CDS=1-1146	YNL291C
325	OG0000325	augustus_masked-CU928165-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.16&CDS=1-984	YNL290W
326	OG0000326	augustus_masked-CU928165-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.17&CDS=1-756	YNL289W
327	OG0000327	augustus_masked-CU928165-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.20&CDS=1-993	YNL288W
328	OG0000328	augustus_masked-CU928165-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.21&CDS=1-2799	YNL287W
329	OG0000329	snap_masked-CU928165-processed-gene-1.132-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-1.132&CDS=1-888	YNL286W
330	OG0000330	augustus_masked-CU928165-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.23&CDS=1-1179	YBR025C
331	OG0000331	augustus_masked-CU928165-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.42&CDS=1-993	YBR037C
332	OG0000332	snap_masked-CU928165-processed-gene-1.135-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-1.135&CDS=1-3225	YBR023C
333	OG0000333	augustus_masked-CU928165-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.44&CDS=1-549	YBR022W
334	OG0000334	augustus_masked-CU928165-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.26&CDS=1-2064	YBR019C
335	OG0000335	genemark-CU928165-processed-gene-1.81-mRNA-1_1&gene=genemark-CU928165-processed-gene-1.81&CDS=1-1101	YBR018C
336	OG0000336	genemark-CU928165-processed-gene-1.100-mRNA-1_1&gene=genemark-CU928165-processed-gene-1.100&CDS=1-1425	YFR006W
337	OG0000337	augustus_masked-CU928165-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.28&CDS=1-1386	YFR005C
338	OG0000338	augustus_masked-CU928165-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.48&CDS=1-936	YFR004W
339	OG0000339	augustus_masked-CU928165-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.49&CDS=1-2541	YFR002W
340	OG0000340	augustus_masked-CU928165-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.50&CDS=1-627	YFR001W
341	OG0000341	augustus_masked-CU928165-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.51&CDS=1-1167	YPL001W
342	OG0000342	augustus_masked-CU928165-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.30&CDS=1-702	YPL002C
343	OG0000343	augustus_masked-CU928165-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.96&CDS=1-1329	YFL001W
344	OG0000344	augustus_masked-CU928165-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.94&CDS=1-1794	YFL002C
345	OG0000345	augustus_masked-CU928165-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.97&CDS=1-1341	YPL003W
346	OG0000346	augustus_masked-CU928165-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.95&CDS=1-945	YPL004C
347	OG0000347	augustus_masked-CU928165-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.98&CDS=1-1791	YPL005W
348	OG0000348	augustus_masked-CU928165-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.99&CDS=1-3537	YPL006W
349	OG0000349	augustus_masked-CU928165-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.100&CDS=1-1713	YPL007C
350	OG0000350	augustus_masked-CU928165-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.117&CDS=1-2463	YPL008W
351	OG0000351	augustus_masked-CU928165-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.101&CDS=1-1179	YPL014W
352	OG0000352	augustus_masked-CU928165-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.118&CDS=1-357	YPL013C
353	OG0000353	augustus_masked-CU928165-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.102&CDS=1-3648	YPL012W
354	OG0000354	augustus_masked-CU928165-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.119&CDS=1-1053	YPL011C
355	OG0000355	augustus_masked-CU928165-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.103&CDS=1-588	YPL010W
356	OG0000356	augustus_masked-CU928165-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.120&CDS=1-3174	YPL009C
357	OG0000357	augustus_masked-CU928165-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.104&CDS=1-948	YPL015C
358	OG0000358	augustus_masked-CU928165-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.121&CDS=1-1575	YPL020C
359	OG0000359	augustus_masked-CU928165-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.122&CDS=1-2502	YFL004W
360	OG0000360	augustus_masked-CU928165-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.123&CDS=1-639	YFL005W
361	OG0000361	augustus_masked-CU928165-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.124&CDS=1-6351	YFL007W
362	OG0000362	genemark-CU928165-processed-gene-2.82-mRNA-1_1&gene=genemark-CU928165-processed-gene-2.82&CDS=1-3684	YFL008W
363	OG0000363	snap_masked-CU928165-processed-gene-2.35-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-2.35&CDS=1-2259	YFL009W
364	OG0000364	augustus_masked-CU928165-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.106&CDS=1-648	YFL010C
365	OG0000365	augustus_masked-CU928165-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.107&CDS=1-1935	YFL013C
366	OG0000366	augustus_masked-CU928165-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.127&CDS=1-312	YFL014W
367	OG0000367	augustus_masked-CU928165-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.108&CDS=1-1419	YFL016C
368	OG0000368	augustus_masked-CU928165-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.109&CDS=1-504	YLR050C
369	OG0000369	augustus_masked-CU928165-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.110&CDS=1-1230	YLR049C
370	OG0000370	augustus_masked-CU928165-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.111&CDS=1-471	YFL017C
371	OG0000371	augustus_masked-CU928165-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.128&CDS=1-228	YFL017W-A
372	OG0000372	snap_masked-CU928165-processed-gene-2.19-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-2.19&CDS=1-1494	YFL018C
373	OG0000373	augustus_masked-CU928165-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.130&CDS=1-696	YLR051C
374	OG0000374	snap_masked-CU928165-processed-gene-2.20-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-2.20&CDS=1-684	YLR052W
375	OG0000375	genemark-CU928165-processed-gene-2.70-mRNA-1_1&gene=genemark-CU928165-processed-gene-2.70&CDS=1-1497	YFL022C
376	OG0000376	augustus_masked-CU928165-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.132&CDS=1-3285	YLR054C
377	OG0000377	augustus_masked-CU928165-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.133&CDS=1-2544	YFL023W
378	OG0000378	augustus_masked-CU928165-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.114&CDS=1-2283	YFL024C
379	OG0000379	augustus_masked-CU928165-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.115&CDS=1-3036	YFL025C
380	OG0000380	augustus_masked-CU928165-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.134&CDS=1-1287	YFL026W
381	OG0000381	augustus_masked-CU928165-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-2.116&CDS=1-1716	YGR055W
382	OG0000382	augustus_masked-CU928165-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.57&CDS=1-2679	YLR357W
383	OG0000383	augustus_masked-CU928165-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.58&CDS=1-1446	YLR359W
384	OG0000384	genemark-CU928165-processed-gene-3.4-mRNA-1_1&gene=genemark-CU928165-processed-gene-3.4&CDS=1-702	YGR057C
385	OG0000385	maker-CU928165-snap-gene-3.179-mRNA-1_1&gene=maker-CU928165-snap-gene-3.179&CDS=1-1590	YFR037C
386	OG0000386	augustus_masked-CU928165-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.59&CDS=1-2418	YFR038W
387	OG0000387	augustus_masked-CU928165-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.60&CDS=1-1386	YIL033C
388	OG0000388	augustus_masked-CU928165-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.63&CDS=1-444	YER044C
389	OG0000389	maker-CU928165-augustus-gene-3.172-mRNA-1_1&gene=maker-CU928165-augustus-gene-3.172&CDS=1-1980	YIL035C
390	OG0000390	genemark-CU928165-processed-gene-3.34-mRNA-1_1&gene=genemark-CU928165-processed-gene-3.34&CDS=1-1272	YIL036W
391	OG0000391	augustus_masked-CU928165-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.66&CDS=1-738	YER046W
392	OG0000392	augustus_masked-CU928165-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.68&CDS=1-2316	YIL038C
393	OG0000393	augustus_masked-CU928165-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.93&CDS=1-1185	YER048C
394	OG0000394	maker-CU928165-augustus-gene-3.173-mRNA-1_1&gene=maker-CU928165-augustus-gene-3.173&CDS=1-2166	YER049W
395	OG0000395	augustus_masked-CU928165-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.94&CDS=1-969	YIL041W
396	OG0000396	augustus_masked-CU928165-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.70&CDS=1-1116	YIL042C
397	OG0000397	augustus_masked-CU928165-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.95&CDS=1-513	YER050C
398	OG0000398	augustus_masked-CU928165-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.71&CDS=1-1404	YER051W
399	OG0000399	augustus_masked-CU928165-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.72&CDS=1-861	YIL043C
400	OG0000400	augustus_masked-CU928165-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.96&CDS=1-1566	YER052C
401	OG0000401	genemark-CU928165-processed-gene-3.17-mRNA-1_1&gene=genemark-CU928165-processed-gene-3.17&CDS=1-873	YIL044C
402	OG0000402	augustus_masked-CU928165-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.98&CDS=1-924	YER053C
403	OG0000403	maker-CU928165-snap-gene-3.180-mRNA-1_1&gene=maker-CU928165-snap-gene-3.180&CDS=1-2202	YIL046W
404	OG0000404	maker-CU928165-augustus-gene-3.176-mRNA-1_1&gene=maker-CU928165-augustus-gene-3.176&CDS=1-891	YER055C
405	OG0000405	augustus_masked-CU928165-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.74&CDS=1-2568	YIL047C
406	OG0000406	augustus_masked-CU928165-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.102&CDS=1-3390	YIL048W
407	OG0000407	augustus_masked-CU928165-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.104&CDS=1-423	YIL051C
408	OG0000408	augustus_masked-CU928165-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.75&CDS=1-321	YER058W
409	OG0000409	augustus_masked-CU928165-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.78&CDS=1-741	YIL049W
410	OG0000410	augustus_masked-CU928165-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.105&CDS=1-1272	YER061C
411	OG0000411	augustus_masked-CU928165-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.80&CDS=1-1194	YIL055C
412	OG0000412	augustus_masked-CU928165-processed-gene-3.108-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.108&CDS=1-2019	YIL056W
413	OG0000413	augustus_masked-CU928165-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.109&CDS=1-1668	YER065C
414	OG0000414	augustus_masked-CU928165-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.81&CDS=1-489	YIL057C
415	OG0000415	maker-CU928165-augustus-gene-3.174-mRNA-1_1&gene=maker-CU928165-augustus-gene-3.174&CDS=1-2682	YER068W
416	OG0000416	augustus_masked-CU928165-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.84&CDS=1-2571	YER069W
417	OG0000417	augustus_masked-CU928165-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.85&CDS=1-459	YIL062C
418	OG0000418	augustus_masked-CU928165-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.86&CDS=1-1161	YIL063C
419	OG0000419	augustus_masked-CU928165-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.110&CDS=1-687	YIL064W
420	OG0000420	augustus_masked-CU928165-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.87&CDS=1-462	YIL065C
421	OG0000421	augustus_masked-CU928165-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-4.1&CDS=1-2040	YIL067C
422	OG0000422	augustus_masked-CU928165-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-4.2&CDS=1-2817	YIL068C
423	OG0000423	augustus_masked-CU928165-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-4.3&CDS=1-369	YER072W
424	OG0000424	maker-CU928165-augustus-gene-4.102-mRNA-1_1&gene=maker-CU928165-augustus-gene-4.102&CDS=1-252	YER074W-A
425	OG0000425	genemark-CU928165-processed-gene-4.84-mRNA-1_1&gene=genemark-CU928165-processed-gene-4.84&CDS=1-2430	YER075C
426	OG0000426	augustus_masked-CU928165-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-4.7&CDS=1-714	YIL070C
427	OG0000427	augustus_masked-CU928165-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-4.30&CDS=1-1911	YER077C
428	OG0000428	snap_masked-CU928165-processed-gene-4.113-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-4.113&CDS=1-1254	YIL071C
429	OG0000429	genemark-CU928165-processed-gene-4.86-mRNA-1_1&gene=genemark-CU928165-processed-gene-4.86&CDS=1-3252	YER078C
430	OG0000430	snap_masked-CU928165-processed-gene-4.114-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-4.114&CDS=1-585	YER079W
431	OG0000431	augustus_masked-CU928165-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-4.10&CDS=1-1857	YER080W
432	OG0000432	augustus_masked-CU928165-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-4.12&CDS=1-2829	YIL075C
433	OG0000433	augustus_masked-CU928165-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-4.32&CDS=1-1656	YER082C
434	OG0000434	augustus_masked-CU928165-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-4.33&CDS=1-918	YER083C
435	OG0000435	augustus_masked-CU928165-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-4.34&CDS=1-882	YIL076W
436	OG0000436	snap_masked-CU928165-processed-gene-4.119-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-4.119&CDS=1-975	YIL077C
