	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035640_Yamadazyma_philogaea
620	OG0000620	YBR146W	augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-1.51&CDS=1-909
621	OG0000621	YBR149W	augustus_masked-NODE_32_length_101458_cov_32.2867_ID_63-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_32_length_101458_cov_32.2867_ID_63-processed-gene-0.107&CDS=1-987
622	OG0000622	YBR151W	augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-0.12&CDS=1-873
623	OG0000623	YBR153W	maker-NODE_22_length_176022_cov_30.2748_ID_43-augustus-gene-0.6-mRNA-1_1&gene=maker-NODE_22_length_176022_cov_30.2748_ID_43-augustus-gene-0.6&CDS=1-1278
624	OG0000624	YBR155W	maker-NODE_12_length_314767_cov_28.8002_ID_23-snap-gene-2.154-mRNA-1_1&gene=maker-NODE_12_length_314767_cov_28.8002_ID_23-snap-gene-2.154&CDS=1-7410
625	OG0000625	YBR158W	maker-NODE_14_length_296638_cov_28.971_ID_27-augustus-gene-1.263-mRNA-1_1&gene=maker-NODE_14_length_296638_cov_28.971_ID_27-augustus-gene-1.263&CDS=1-2652
626	OG0000626	YBR159W	augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.100&CDS=1-1008
627	OG0000627	YBR162C	augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-0.29&CDS=1-1353
628	OG0000628	YBR162W-A	genemark-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-4.29-mRNA-1_1&gene=genemark-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-4.29&CDS=1-234
629	OG0000629	YBR163W	augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-5.108&CDS=1-2973
630	OG0000630	YBR164C	augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-2.9&CDS=1-555
631	OG0000631	YBR166C	augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-2.32&CDS=1-1329
632	OG0000632	YBR167C	augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-1.83&CDS=1-435
633	OG0000633	YBR170C	augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-7.82&CDS=1-1764
634	OG0000634	YBR171W	maker-NODE_15_length_274748_cov_30.1148_ID_29-augustus-gene-1.17-mRNA-1_1&gene=maker-NODE_15_length_274748_cov_30.1148_ID_29-augustus-gene-1.17&CDS=1-1287
635	OG0000635	YBR173C	maker-NODE_7_length_373803_cov_30.4817_ID_13-augustus-gene-2.11-mRNA-1_1&gene=maker-NODE_7_length_373803_cov_30.4817_ID_13-augustus-gene-2.11&CDS=1-1485
636	OG0000636	YBR176W	augustus_masked-NODE_14_length_296638_cov_28.971_ID_27-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-NODE_14_length_296638_cov_28.971_ID_27-processed-gene-1.158&CDS=1-933
637	OG0000637	YBR179C	augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-1.86&CDS=1-2607
638	OG0000638	YBR182C	augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-4.151-mRNA-1_1&gene=augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-4.151&CDS=1-1566
639	OG0000639	YBR185C	augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-7.64-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-7.64&CDS=1-870
640	OG0000640	YBR187W	augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-2.220-mRNA-1_1&gene=augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-2.220&CDS=1-2391
641	OG0000641	YBR193C	augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-2.253-mRNA-1_1&gene=augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-2.253&CDS=1-615
642	OG0000642	YBR195C	augustus_masked-NODE_12_length_314767_cov_28.8002_ID_23-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-NODE_12_length_314767_cov_28.8002_ID_23-processed-gene-1.43&CDS=1-1275
643	OG0000643	YBR196C	augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-1.77&CDS=1-1644
644	OG0000644	YBR198C	augustus_masked-NODE_20_length_215016_cov_30.8952_ID_39-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-NODE_20_length_215016_cov_30.8952_ID_39-processed-gene-1.54&CDS=1-2298
645	OG0000645	YBR199W	augustus_masked-NODE_15_length_274748_cov_30.1148_ID_29-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-NODE_15_length_274748_cov_30.1148_ID_29-processed-gene-1.125&CDS=1-1344
646	OG0000646	YBR202W	augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-6.125-mRNA-1_1&gene=augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-6.125&CDS=1-2403
647	OG0000647	YBR203W	augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-0.26&CDS=1-1755
648	OG0000648	YBR204C	augustus_masked-NODE_31_length_112976_cov_35.8483_ID_61-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_31_length_112976_cov_35.8483_ID_61-processed-gene-0.42&CDS=1-1932
649	OG0000649	YBR208C	maker-NODE_18_length_255309_cov_31.6668_ID_35-augustus-gene-1.14-mRNA-1_1&gene=maker-NODE_18_length_255309_cov_31.6668_ID_35-augustus-gene-1.14&CDS=1-6648
650	OG0000650	YBR212W	augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-4.161-mRNA-1_1&gene=augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-4.161&CDS=1-1980
651	OG0000651	YBR213W	augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-4.135-mRNA-1_1&gene=augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-4.135&CDS=1-813
652	OG0000652	YBR215W	augustus_masked-NODE_25_length_160743_cov_28.9188_ID_49-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NODE_25_length_160743_cov_28.9188_ID_49-processed-gene-0.112&CDS=1-1272
653	OG0000653	YBR217W	augustus_masked-NODE_25_length_160743_cov_28.9188_ID_49-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_25_length_160743_cov_28.9188_ID_49-processed-gene-0.113&CDS=1-384
654	OG0000654	YBR220C	augustus_masked-NODE_34_length_92202_cov_29.9049_ID_67-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NODE_34_length_92202_cov_29.9049_ID_67-processed-gene-0.112&CDS=1-1638
655	OG0000655	YBR221C	augustus_masked-NODE_34_length_92202_cov_29.9049_ID_67-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_34_length_92202_cov_29.9049_ID_67-processed-gene-0.111&CDS=1-1143
656	OG0000656	YBR228W	snap_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-0.37&CDS=1-474
657	OG0000657	YBR229C	augustus_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-0.51&CDS=1-2682
658	OG0000658	YBR231C	augustus_masked-NODE_8_length_359490_cov_28.9294_ID_15-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-NODE_8_length_359490_cov_28.9294_ID_15-processed-gene-0.145&CDS=1-957
659	OG0000659	YBR233W	augustus_masked-NODE_8_length_359490_cov_28.9294_ID_15-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-NODE_8_length_359490_cov_28.9294_ID_15-processed-gene-0.144&CDS=1-1791
660	OG0000660	YBR233W-A	augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-2.201-mRNA-1_1&gene=augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-2.201&CDS=1-366
661	OG0000661	YBR234C	augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-2.229-mRNA-1_1&gene=augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-2.229&CDS=1-1116
662	OG0000662	YBR235W	augustus_masked-NODE_35_length_89803_cov_32.5795_ID_69-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_35_length_89803_cov_32.5795_ID_69-processed-gene-0.60&CDS=1-8550
663	OG0000663	YBR236C	augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-3.71&CDS=1-1449
664	OG0000664	YBR243C	augustus_masked-NODE_30_length_114726_cov_33.6541_ID_59-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_30_length_114726_cov_33.6541_ID_59-processed-gene-0.39&CDS=1-3096
665	OG0000665	YBR246W	augustus_masked-NODE_30_length_114726_cov_33.6541_ID_59-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_30_length_114726_cov_33.6541_ID_59-processed-gene-0.19&CDS=1-996
666	OG0000666	YBR248C	augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-6.87-mRNA-1_1&gene=augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-6.87&CDS=1-5571
667	OG0000667	YBR251W	augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-1.62&CDS=1-969
668	OG0000668	YBR254C	augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-0.18&CDS=1-459
669	OG0000669	YBR255W	augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-0.16&CDS=1-1938
670	OG0000670	YBR256C	augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-10.101-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-10.101&CDS=1-756
671	OG0000671	YBR257W	augustus_masked-NODE_42_length_54528_cov_32.4659_ID_83-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_42_length_54528_cov_32.4659_ID_83-processed-gene-0.36&CDS=1-825
672	OG0000672	YBR261C	augustus_masked-NODE_43_length_53871_cov_35.0206_ID_85-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_43_length_53871_cov_35.0206_ID_85-processed-gene-0.74&CDS=1-738
673	OG0000673	YBR265W	augustus_masked-NODE_8_length_359490_cov_28.9294_ID_15-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_8_length_359490_cov_28.9294_ID_15-processed-gene-0.115&CDS=1-936
674	OG0000674	YBR267W	augustus_masked-NODE_28_length_133224_cov_28.2264_ID_55-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_28_length_133224_cov_28.2264_ID_55-processed-gene-0.92&CDS=1-1155
675	OG0000675	YBR268W	augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-8.101-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-8.101&CDS=1-291
676	OG0000676	YBR269C	maker-NODE_10_length_332822_cov_29.6476_ID_19-augustus-gene-1.1-mRNA-1_1&gene=maker-NODE_10_length_332822_cov_29.6476_ID_19-augustus-gene-1.1&CDS=1-1551
677	OG0000677	YBR276C	augustus_masked-NODE_16_length_273302_cov_29.6828_ID_31-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-NODE_16_length_273302_cov_29.6828_ID_31-processed-gene-1.61&CDS=1-2835
678	OG0000678	YBR279W	augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-0.93&CDS=1-1179
679	OG0000679	YBR281C	augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-4.149-mRNA-1_1&gene=augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-4.149&CDS=1-2634
680	OG0000680	YBR282W	augustus_masked-NODE_38_length_76161_cov_28.3671_ID_75-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_38_length_76161_cov_28.3671_ID_75-processed-gene-0.48&CDS=1-471
681	OG0000681	YBR283C	maker-NODE_29_length_118492_cov_32.443_ID_57-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_29_length_118492_cov_32.443_ID_57-augustus-gene-0.4&CDS=1-1917
682	OG0000682	YBR286W	maker-NODE_2_length_752566_cov_29.4242_ID_3-augustus-gene-3.159-mRNA-1_1&gene=maker-NODE_2_length_752566_cov_29.4242_ID_3-augustus-gene-3.159&CDS=1-2574
683	OG0000683	YBR287W	augustus_masked-NODE_26_length_137620_cov_32.8613_ID_51-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_26_length_137620_cov_32.8613_ID_51-processed-gene-0.14&CDS=1-4014
684	OG0000684	YBR288C	augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-0.68&CDS=1-1446
685	OG0000685	YBR289W	snap_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-5.7-mRNA-1_1&gene=snap_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-5.7&CDS=1-2253
686	OG0000686	YBR291C	augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-5.101&CDS=1-882
687	OG0000687	YBR294W	genemark-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-4.42-mRNA-1_1&gene=genemark-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-4.42&CDS=1-2448
688	OG0000688	YBR296C	augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-1.117&CDS=1-1758
689	OG0000689	YCL004W	augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.128&CDS=1-1611
690	OG0000690	YCL005W-A	augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-1.89&CDS=1-210
691	OG0000691	YCL009C	augustus_masked-NODE_28_length_133224_cov_28.2264_ID_55-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_28_length_133224_cov_28.2264_ID_55-processed-gene-0.89&CDS=1-903
692	OG0000692	YCL010C	augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.127&CDS=1-774
693	OG0000693	YCL012C	augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.125&CDS=1-462
694	OG0000694	YCL014W	augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.124&CDS=1-4209
695	OG0000695	YCL017C	augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.104&CDS=1-4332
696	OG0000696	YCL027W	augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-1.119&CDS=1-1104
697	OG0000697	YCL029C	maker-NODE_45_length_41098_cov_31.9073_ID_89-snap-gene-0.53-mRNA-1_1&gene=maker-NODE_45_length_41098_cov_31.9073_ID_89-snap-gene-0.53&CDS=1-2022
698	OG0000698	YCL030C	augustus_masked-NODE_9_length_359155_cov_29.4677_ID_17-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_9_length_359155_cov_29.4677_ID_17-processed-gene-0.75&CDS=1-2559
699	OG0000699	YCL031C	augustus_masked-NODE_9_length_359155_cov_29.4677_ID_17-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-NODE_9_length_359155_cov_29.4677_ID_17-processed-gene-2.13&CDS=1-852
700	OG0000700	YCL032W	augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-6.81&CDS=1-1287
701	OG0000701	YCL034W	genemark-NODE_15_length_274748_cov_30.1148_ID_29-processed-gene-0.97-mRNA-1_1&gene=genemark-NODE_15_length_274748_cov_30.1148_ID_29-processed-gene-0.97&CDS=1-1362
702	OG0000702	YCL043C	augustus_masked-NODE_33_length_101399_cov_32.264_ID_65-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-NODE_33_length_101399_cov_32.264_ID_65-processed-gene-0.131&CDS=1-1599
703	OG0000703	YCL045C	augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-0.106&CDS=1-2424
704	OG0000704	YCL047C	augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-0.116&CDS=1-702
705	OG0000705	YCL054W	augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-1.42&CDS=1-2469
706	OG0000706	YCL055W	augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-3.61&CDS=1-897
707	OG0000707	YCL057C-A	genemark-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-4.47-mRNA-1_1&gene=genemark-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-4.47&CDS=1-246
708	OG0000708	YCL057W	augustus_masked-NODE_14_length_296638_cov_28.971_ID_27-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-NODE_14_length_296638_cov_28.971_ID_27-processed-gene-1.143&CDS=1-2034
709	OG0000709	YCL059C	augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-4.128&CDS=1-1014
710	OG0000710	YCL061C	augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-4.175-mRNA-1_1&gene=augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-4.175&CDS=1-3099
711	OG0000711	YCR009C	augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-2.53&CDS=1-795
712	OG0000712	YCR011C	snap_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-3.115-mRNA-1_1&gene=snap_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-3.115&CDS=1-3060
713	OG0000713	YCR012W	augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-0.12&CDS=1-1248
714	OG0000714	YCR015C	genemark-NODE_6_length_485873_cov_30.1022_ID_11-processed-gene-2.102-mRNA-1_1&gene=genemark-NODE_6_length_485873_cov_30.1022_ID_11-processed-gene-2.102&CDS=1-768
715	OG0000715	YCR016W	augustus_masked-NODE_6_length_485873_cov_30.1022_ID_11-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-NODE_6_length_485873_cov_30.1022_ID_11-processed-gene-3.117&CDS=1-5556
716	OG0000716	YCR017C	genemark-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-5.72-mRNA-1_1&gene=genemark-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-5.72&CDS=1-2943
717	OG0000717	YCR019W	augustus_masked-NODE_38_length_76161_cov_28.3671_ID_75-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_38_length_76161_cov_28.3671_ID_75-processed-gene-0.59&CDS=1-1002
718	OG0000718	YCR020C	augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-8.110&CDS=1-687
719	OG0000719	YCR020C-A	snap_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-0.14&CDS=1-234
720	OG0000720	YCR021C	augustus_masked-NODE_18_length_255309_cov_31.6668_ID_35-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_18_length_255309_cov_31.6668_ID_35-processed-gene-0.7&CDS=1-921
721	OG0000721	YCR024C	genemark-NODE_8_length_359490_cov_28.9294_ID_15-processed-gene-1.30-mRNA-1_1&gene=genemark-NODE_8_length_359490_cov_28.9294_ID_15-processed-gene-1.30&CDS=1-1479
722	OG0000722	YCR028C	augustus_masked-NODE_25_length_160743_cov_28.9188_ID_49-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-NODE_25_length_160743_cov_28.9188_ID_49-processed-gene-0.145&CDS=1-1464
723	OG0000723	YCR028C-A	augustus_masked-NODE_29_length_118492_cov_32.443_ID_57-processed-gene-0.171-mRNA-1_1&gene=augustus_masked-NODE_29_length_118492_cov_32.443_ID_57-processed-gene-0.171&CDS=1-387
724	OG0000724	YCR030C	augustus_masked-NODE_23_length_173057_cov_29.2639_ID_45-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_23_length_173057_cov_29.2639_ID_45-processed-gene-0.69&CDS=1-2634
725	OG0000725	YCR032W	augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-2.60&CDS=1-8409
726	OG0000726	YCR033W	augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-1.52&CDS=1-3147
727	OG0000727	YCR034W	augustus_masked-NODE_22_length_176022_cov_30.2748_ID_43-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-NODE_22_length_176022_cov_30.2748_ID_43-processed-gene-0.108&CDS=1-999
728	OG0000728	YCR035C	augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-2.59&CDS=1-882
729	OG0000729	YCR036W	augustus_masked-NODE_22_length_176022_cov_30.2748_ID_43-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-NODE_22_length_176022_cov_30.2748_ID_43-processed-gene-0.141&CDS=1-1005
730	OG0000730	YCR042C	genemark-NODE_42_length_54528_cov_32.4659_ID_83-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_42_length_54528_cov_32.4659_ID_83-processed-gene-0.12&CDS=1-4695
731	OG0000731	YCR044C	augustus_masked-NODE_33_length_101399_cov_32.264_ID_65-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_33_length_101399_cov_32.264_ID_65-processed-gene-0.110&CDS=1-1056
732	OG0000732	YCR047C	augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-0.102&CDS=1-2643
733	OG0000733	YCR051W	augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-0.122&CDS=1-669
734	OG0000734	YCR053W	augustus_masked-NODE_23_length_173057_cov_29.2639_ID_45-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_23_length_173057_cov_29.2639_ID_45-processed-gene-0.31&CDS=1-1509
735	OG0000735	YCR054C	genemark-NODE_23_length_173057_cov_29.2639_ID_45-processed-gene-0.133-mRNA-1_1&gene=genemark-NODE_23_length_173057_cov_29.2639_ID_45-processed-gene-0.133&CDS=1-1290
736	OG0000736	YCR057C	augustus_masked-NODE_14_length_296638_cov_28.971_ID_27-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_14_length_296638_cov_28.971_ID_27-processed-gene-0.52&CDS=1-2727
737	OG0000737	YCR059C	maker-NODE_14_length_296638_cov_28.971_ID_27-augustus-gene-0.102-mRNA-1_1&gene=maker-NODE_14_length_296638_cov_28.971_ID_27-augustus-gene-0.102&CDS=1-861
738	OG0000738	YCR061W	augustus_masked-NODE_18_length_255309_cov_31.6668_ID_35-processed-gene-1.207-mRNA-1_1&gene=augustus_masked-NODE_18_length_255309_cov_31.6668_ID_35-processed-gene-1.207&CDS=1-1878
739	OG0000739	YCR063W	augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-4.80&CDS=1-429
