	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034636_Ogataea_nitratoaversa
751	OG0000751	YCL057W	augustus_masked-flattened_line_40-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.144&CDS=1-2052
752	OG0000752	YCL059C	augustus_masked-flattened_line_80-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.68&CDS=1-1188
753	OG0000753	YCL061C	augustus_masked-flattened_line_80-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.67&CDS=1-3759
754	OG0000754	YCR002C	augustus_masked-flattened_line_18-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.118&CDS=1-1014
755	OG0000755	YCR003W	augustus_masked-flattened_line_18-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.88&CDS=1-567
756	OG0000756	YCR008W	genemark-flattened_line_58-processed-gene-0.130-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.130&CDS=1-2055
757	OG0000757	YCR009C	augustus_masked-flattened_line_58-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.34&CDS=1-774
758	OG0000758	YCR011C	genemark-flattened_line_160-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_160-processed-gene-0.19&CDS=1-3147
759	OG0000759	YCR012W	augustus_masked-flattened_line_60-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.141&CDS=1-1248
760	OG0000760	YCR014C	augustus_masked-flattened_line_94-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.63&CDS=1-1536
761	OG0000761	YCR016W	augustus_masked-flattened_line_186-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_186-processed-gene-0.33&CDS=1-978
762	OG0000762	YCR017C	augustus_masked-flattened_line_60-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.111&CDS=1-2910
763	OG0000763	YCR019W	genemark-flattened_line_160-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_160-processed-gene-0.24&CDS=1-1080
764	OG0000764	YCR020C-A	augustus_masked-flattened_line_30-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.63&CDS=1-264
765	OG0000765	YCR028C-A	augustus_masked-flattened_line_18-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.114&CDS=1-381
766	OG0000766	YCR030C	augustus_masked-flattened_line_38-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.42&CDS=1-2850
767	OG0000767	YCR032W	augustus_masked-flattened_line_152-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.11&CDS=1-6585
768	OG0000768	YCR033W	augustus_masked-flattened_line_46-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.111&CDS=1-4938
769	OG0000769	YCR034W	augustus_masked-flattened_line_152-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.12&CDS=1-1038
770	OG0000770	YCR035C	augustus_masked-flattened_line_152-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.6&CDS=1-1194
771	OG0000771	YCR036W	augustus_masked-flattened_line_98-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.44&CDS=1-978
772	OG0000772	YCR042C	augustus_masked-flattened_line_150-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_150-processed-gene-0.24&CDS=1-4794
773	OG0000773	YCR044C	augustus_masked-flattened_line_8-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.124&CDS=1-1071
774	OG0000774	YCR045C	augustus_masked-flattened_line_36-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.75&CDS=1-1293
775	OG0000775	YCR047C	augustus_masked-flattened_line_106-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.20&CDS=1-813
776	OG0000776	YCR051W	augustus_masked-flattened_line_106-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.41&CDS=1-675
777	OG0000777	YCR053W	augustus_masked-flattened_line_106-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.46&CDS=1-1545
778	OG0000778	YCR054C	augustus_masked-flattened_line_58-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.25&CDS=1-1707
779	OG0000779	YCR057C	augustus_masked-flattened_line_58-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.24&CDS=1-2787
780	OG0000780	YCR059C	augustus_masked-flattened_line_58-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.23&CDS=1-963
781	OG0000781	YCR061W	augustus_masked-flattened_line_30-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.109&CDS=1-1917
782	OG0000782	YCR063W	augustus_masked-flattened_line_2-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.75&CDS=1-462
783	OG0000783	YCR065W	augustus_masked-flattened_line_32-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.48&CDS=1-1971
784	OG0000784	YCR066W	maker-flattened_line_102-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_102-snap-gene-0.2&CDS=1-1419
785	OG0000785	YCR068W	augustus_masked-flattened_line_36-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.70&CDS=1-1983
786	OG0000786	YCR071C	augustus_masked-flattened_line_6-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.83&CDS=1-393
787	OG0000787	YCR072C	maker-flattened_line_74-snap-gene-0.73-mRNA-1_1&gene=maker-flattened_line_74-snap-gene-0.73&CDS=1-2724
788	OG0000788	YCR075C	genemark-flattened_line_38-processed-gene-1.79-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.79&CDS=1-564
789	OG0000789	YCR077C	augustus_masked-flattened_line_0-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.26&CDS=1-2631
790	OG0000790	YCR079W	augustus_masked-flattened_line_122-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.46&CDS=1-1566
791	OG0000791	YCR081W	maker-flattened_line_124-snap-gene-0.56-mRNA-1_1&gene=maker-flattened_line_124-snap-gene-0.56&CDS=1-4686
792	OG0000792	YCR084C	augustus_masked-flattened_line_20-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.36&CDS=1-2058
793	OG0000793	YCR086W	genemark-flattened_line_116-processed-gene-0.109-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.109&CDS=1-1263
794	OG0000794	YCR088W	augustus_masked-flattened_line_16-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.102&CDS=1-1854
795	OG0000795	YCR090C	augustus_masked-flattened_line_88-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.54&CDS=1-510
796	OG0000796	YCR091W	snap_masked-flattened_line_88-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.126&CDS=1-2592
797	OG0000797	YCR092C	augustus_masked-flattened_line_88-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.53&CDS=1-3102
798	OG0000798	YCR093W	maker-flattened_line_8-augustus-gene-1.92-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-1.92&CDS=1-6912
799	OG0000799	YCR095C	augustus_masked-flattened_line_102-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.32&CDS=1-1266
800	OG0000800	YCR098C	augustus_masked-flattened_line_80-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.91&CDS=1-1602
801	OG0000801	YDL001W	augustus_masked-flattened_line_0-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.111&CDS=1-1446
802	OG0000802	YDL002C	augustus_masked-flattened_line_0-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.110&CDS=1-1212
803	OG0000803	YDL003W	genemark-flattened_line_18-processed-gene-0.59-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.59&CDS=1-1638
804	OG0000804	YDL004W	maker-flattened_line_96-augustus-gene-0.110-mRNA-1_1&gene=maker-flattened_line_96-augustus-gene-0.110&CDS=1-474
805	OG0000805	YDL006W	genemark-flattened_line_28-processed-gene-1.149-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.149&CDS=1-1176
806	OG0000806	YDL007W	augustus_masked-flattened_line_28-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.89&CDS=1-1320
807	OG0000807	YDL008W	maker-flattened_line_66-augustus-gene-0.160-mRNA-1_1&gene=maker-flattened_line_66-augustus-gene-0.160&CDS=1-396
808	OG0000808	YDL013W	genemark-flattened_line_64-processed-gene-0.188-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.188&CDS=1-1458
809	OG0000809	YDL014W	snap_masked-flattened_line_64-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.45&CDS=1-975
810	OG0000810	YDL015C	augustus_masked-flattened_line_46-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.115&CDS=1-948
811	OG0000811	YDL017W	augustus_masked-flattened_line_6-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.62&CDS=1-2868
812	OG0000812	YDL018C	augustus_masked-flattened_line_88-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.89&CDS=1-621
813	OG0000813	YDL020C	augustus_masked-flattened_line_48-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.32&CDS=1-1725
814	OG0000814	YDL022W	augustus_masked-flattened_line_54-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.188&CDS=1-1158
815	OG0000815	YDL025C	augustus_masked-flattened_line_116-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.67&CDS=1-1959
816	OG0000816	YDL028C	augustus_masked-flattened_line_2-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.105&CDS=1-2598
817	OG0000817	YDL029W	augustus_masked-flattened_line_2-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.119&CDS=1-1965
818	OG0000818	YDL030W	augustus_masked-flattened_line_108-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.39&CDS=1-1572
819	OG0000819	YDL031W	maker-flattened_line_64-snap-gene-0.81-mRNA-1_1&gene=maker-flattened_line_64-snap-gene-0.81&CDS=1-4410
820	OG0000820	YDL033C	augustus_masked-flattened_line_92-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.121&CDS=1-1299
821	OG0000821	YDL040C	augustus_masked-flattened_line_94-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.75&CDS=1-2505
822	OG0000822	YDL043C	augustus_masked-flattened_line_20-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.42&CDS=1-654
823	OG0000823	YDL045C	augustus_masked-flattened_line_12-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.20&CDS=1-867
824	OG0000824	YDL045W-A	augustus_masked-flattened_line_2-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.70&CDS=1-273
825	OG0000825	YDL046W	augustus_masked-flattened_line_88-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.80&CDS=1-534
826	OG0000826	YDL047W	augustus_masked-flattened_line_194-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_194-processed-gene-0.13&CDS=1-2277
827	OG0000827	YDL051W	augustus_masked-flattened_line_4-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.53&CDS=1-738
828	OG0000828	YDL052C	augustus_masked-flattened_line_4-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.68&CDS=1-753
829	OG0000829	YDL054C	maker-flattened_line_6-snap-gene-1.48-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-1.48&CDS=1-2844
830	OG0000830	YDL055C	augustus_masked-flattened_line_52-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.10&CDS=1-1092
831	OG0000831	YDL056W	augustus_masked-flattened_line_114-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.69&CDS=1-2619
832	OG0000832	YDL057W	augustus_masked-flattened_line_114-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.56&CDS=1-1824
833	OG0000833	YDL060W	maker-flattened_line_12-snap-gene-0.85-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-0.85&CDS=1-3663
834	OG0000834	YDL063C	augustus_masked-flattened_line_12-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.60&CDS=1-1917
835	OG0000835	YDL064W	augustus_masked-flattened_line_12-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.50&CDS=1-486
836	OG0000836	YDL067C	snap_masked-flattened_line_40-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.71&CDS=1-216
837	OG0000837	YDL072C	augustus_masked-flattened_line_112-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.94&CDS=1-363
838	OG0000838	YDL074C	augustus_masked-flattened_line_204-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_204-processed-gene-0.18&CDS=1-2070
839	OG0000839	YDL076C	genemark-flattened_line_112-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_112-processed-gene-0.62&CDS=1-2511
840	OG0000840	YDL077C	augustus_masked-flattened_line_112-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.91&CDS=1-3153
841	OG0000841	YDL081C	augustus_masked-flattened_line_110-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.16&CDS=1-312
842	OG0000842	YDL084W	maker-flattened_line_48-augustus-gene-0.127-mRNA-1_1&gene=maker-flattened_line_48-augustus-gene-0.127&CDS=1-1296
843	OG0000843	YDL086W	augustus_masked-flattened_line_2-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.72&CDS=1-816
844	OG0000844	YDL087C	augustus_masked-flattened_line_184-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_184-processed-gene-0.9&CDS=1-792
845	OG0000845	YDL090C	genemark-flattened_line_46-processed-gene-0.202-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.202&CDS=1-1341
846	OG0000846	YDL095W	augustus_masked-flattened_line_54-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.144&CDS=1-2559
847	OG0000847	YDL097C	augustus_masked-flattened_line_42-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.18&CDS=1-1278
848	OG0000848	YDL098C	augustus_masked-flattened_line_8-processed-gene-2.145-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.145&CDS=1-627
849	OG0000849	YDL100C	augustus_masked-flattened_line_90-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.128&CDS=1-1032
850	OG0000850	YDL101C	augustus_masked-flattened_line_42-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.34&CDS=1-1647
851	OG0000851	YDL102W	augustus_masked-flattened_line_4-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.20&CDS=1-3300
852	OG0000852	YDL103C	augustus_masked-flattened_line_130-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.64&CDS=1-1449
853	OG0000853	YDL104C	augustus_masked-flattened_line_86-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.114&CDS=1-1176
854	OG0000854	YDL105W	augustus_masked-flattened_line_86-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.138&CDS=1-1275
855	OG0000855	YDL106C	augustus_masked-flattened_line_86-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.139&CDS=1-2514
856	OG0000856	YDL107W	augustus_masked-flattened_line_22-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.122&CDS=1-1107
857	OG0000857	YDL108W	genemark-flattened_line_42-processed-gene-0.141-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.141&CDS=1-1098
858	OG0000858	YDL110C	augustus_masked-flattened_line_42-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.53&CDS=1-468
859	OG0000859	YDL111C	augustus_masked-flattened_line_4-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.38&CDS=1-876
860	OG0000860	YDL112W	augustus_masked-flattened_line_4-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.49&CDS=1-4917
861	OG0000861	YDL113C	genemark-flattened_line_130-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_130-processed-gene-0.47&CDS=1-1782
862	OG0000862	YDL114W	augustus_masked-flattened_line_90-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.116&CDS=1-1032
863	OG0000863	YDL115C	augustus_masked-flattened_line_90-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.135&CDS=1-1008
864	OG0000864	YDL116W	augustus_masked-flattened_line_42-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.54&CDS=1-2433
865	OG0000865	YDL117W	augustus_masked-flattened_line_42-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.68&CDS=1-2538
866	OG0000866	YDL119C	augustus_masked-flattened_line_80-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.77&CDS=1-906
867	OG0000867	YDL120W	augustus_masked-flattened_line_218-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_218-processed-gene-0.5&CDS=1-558
868	OG0000868	YDL122W	snap_masked-flattened_line_46-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.67&CDS=1-2325
869	OG0000869	YDL124W	genemark-flattened_line_54-processed-gene-0.134-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.134&CDS=1-930
870	OG0000870	YDL126C	maker-flattened_line_50-snap-gene-0.72-mRNA-1_1&gene=maker-flattened_line_50-snap-gene-0.72&CDS=1-2946
871	OG0000871	YDL131W	augustus_masked-flattened_line_114-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.48&CDS=1-1308
872	OG0000872	YDL132W	augustus_masked-flattened_line_114-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.47&CDS=1-2364
873	OG0000873	YDL133W	augustus_masked-flattened_line_114-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.46&CDS=1-1215
874	OG0000874	YDL135C	augustus_masked-flattened_line_114-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.44&CDS=1-597
875	OG0000875	YDL139C	snap_masked-flattened_line_52-processed-gene-0.197-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.197&CDS=1-1950
876	OG0000876	YDL140C	genemark-flattened_line_52-processed-gene-0.117-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.117&CDS=1-5196
877	OG0000877	YDL141W	augustus_masked-flattened_line_52-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.17&CDS=1-2016
878	OG0000878	YDL142C	augustus_masked-flattened_line_52-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.48&CDS=1-975
879	OG0000879	YDL143W	augustus_masked-flattened_line_52-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.16&CDS=1-1584
880	OG0000880	YDL145C	augustus_masked-flattened_line_0-processed-gene-5.151-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.151&CDS=1-3651
881	OG0000881	YDL146W	augustus_masked-flattened_line_0-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.119&CDS=1-1647
882	OG0000882	YDL147W	augustus_masked-flattened_line_0-processed-gene-5.118-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.118&CDS=1-1329
883	OG0000883	YDL148C	augustus_masked-flattened_line_28-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.71&CDS=1-2493
884	OG0000884	YDL149W	augustus_masked-flattened_line_28-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.100&CDS=1-3135
885	OG0000885	YDL150W	augustus_masked-flattened_line_52-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.45&CDS=1-1260
886	OG0000886	YDL153C	augustus_masked-flattened_line_52-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.15&CDS=1-1782
887	OG0000887	YDL154W	augustus_masked-flattened_line_52-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.46&CDS=1-2520
888	OG0000888	YDL156W	augustus_masked-flattened_line_10-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.105&CDS=1-1599
889	OG0000889	YDL159W	augustus_masked-flattened_line_8-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.106&CDS=1-1809
890	OG0000890	YDL160C	augustus_masked-flattened_line_8-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.135&CDS=1-1482
891	OG0000891	YDL164C	augustus_masked-flattened_line_48-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.39&CDS=1-2220
892	OG0000892	YDL165W	genemark-flattened_line_156-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_156-processed-gene-0.31&CDS=1-4266
893	OG0000893	YDL166C	augustus_masked-flattened_line_156-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_156-processed-gene-0.3&CDS=1-552
894	OG0000894	YDL167C	augustus_masked-flattened_line_0-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.75&CDS=1-2406
895	OG0000895	YDL168W	augustus_masked-flattened_line_0-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.98&CDS=1-1140
896	OG0000896	YDL169C	augustus_masked-flattened_line_156-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_156-processed-gene-0.12&CDS=1-813
897	OG0000897	YDL171C	augustus_masked-flattened_line_0-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.72&CDS=1-6417
898	OG0000898	YDL174C	augustus_masked-flattened_line_14-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.128&CDS=1-1773
899	OG0000899	YDL177C	augustus_masked-flattened_line_94-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.61&CDS=1-624
900	OG0000900	YDL178W	augustus_masked-flattened_line_2-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.82&CDS=1-1593
901	OG0000901	YDL183C	augustus_masked-flattened_line_114-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.63&CDS=1-909
902	OG0000902	YDL185W	augustus_masked-flattened_line_194-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_194-processed-gene-0.14&CDS=1-1848
903	OG0000903	YDL188C	augustus_masked-flattened_line_114-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.62&CDS=1-1050
904	OG0000904	YDL189W	augustus_masked-flattened_line_114-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.43&CDS=1-2157
905	OG0000905	YDL190C	maker-flattened_line_114-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_114-augustus-gene-0.0&CDS=1-3189
906	OG0000906	YDL193W	augustus_masked-flattened_line_100-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_100-processed-gene-0.74&CDS=1-1095
907	OG0000907	YDL195W	augustus_masked-flattened_line_52-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.18&CDS=1-3822
908	OG0000908	YDL198C	augustus_masked-flattened_line_6-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.49&CDS=1-909
909	OG0000909	YDL201W	augustus_masked-flattened_line_4-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.17&CDS=1-945
910	OG0000910	YDL202W	augustus_masked-flattened_line_4-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.16&CDS=1-831
911	OG0000911	YDL205C	maker-flattened_line_12-augustus-gene-2.167-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-2.167&CDS=1-1248
912	OG0000912	YDL207W	maker-flattened_line_66-snap-gene-0.154-mRNA-1_1&gene=maker-flattened_line_66-snap-gene-0.154&CDS=1-2238
913	OG0000913	YDL208W	augustus_masked-flattened_line_66-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.31&CDS=1-456
914	OG0000914	YDL209C	augustus_masked-flattened_line_16-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.61&CDS=1-1035
915	OG0000915	YDL210W	augustus_masked-flattened_line_12-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.56&CDS=1-1659
916	OG0000916	YDL212W	augustus_masked-flattened_line_2-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.59&CDS=1-666
917	OG0000917	YDL213C	augustus_masked-flattened_line_158-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_158-processed-gene-0.25&CDS=1-639
