	OrthologID	Ashbya_aceri	Saccharomyces_cerevisiae
1003	OG0001003	genemark-CP006021.1-processed-gene-9.14-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.14&CDS=1-1065	YDR322W
1004	OG0001004	augustus_masked-CP006021.1-processed-gene-9.186-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-9.186&CDS=1-270	YDR322C-A
1005	OG0001005	snap_masked-CP006021.1-processed-gene-9.81-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-9.81&CDS=1-996	YHR076W
1006	OG0001006	augustus_masked-CP006021.1-processed-gene-9.187-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-9.187&CDS=1-4551	YHR077C
1007	OG0001007	genemark-CP006021.1-processed-gene-9.16-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.16&CDS=1-1593	YHR078W
1008	OG0001008	genemark-CP006021.1-processed-gene-9.48-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.48&CDS=1-2217	YDR324C
1009	OG0001009	genemark-CP006021.1-processed-gene-9.17-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.17&CDS=1-756	YBL064C
1010	OG0001010	genemark-CP006021.1-processed-gene-9.18-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.18&CDS=1-3126	YBL066C
1011	OG0001011	genemark-CP006021.1-processed-gene-9.20-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.20&CDS=1-726	YER100W
1012	OG0001012	snap_masked-CP006021.1-processed-gene-9.87-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-9.87&CDS=1-1086	YBL074C
1013	OG0001013	snap_masked-CP006021.1-processed-gene-9.117-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-9.117&CDS=1-681	YGL146C
1014	OG0001014	snap_masked-CP006021.1-processed-gene-9.118-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-9.118&CDS=1-351	YDL110C
1015	OG0001015	genemark-CP006021.1-processed-gene-9.23-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.23&CDS=1-4236	YGL150C
1016	OG0001016	genemark-CP006021.1-processed-gene-9.53-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.53&CDS=1-3294	YGL151W
1017	OG0001017	genemark-CP006021.1-processed-gene-9.54-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.54&CDS=1-1008	YGL153W
1018	OG0001018	augustus_masked-CP006021.1-processed-gene-9.166-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-9.166&CDS=1-825	YGL154C
1019	OG0001019	genemark-CP006021.1-processed-gene-9.25-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.25&CDS=1-879	YDL119C
1020	OG0001020	augustus_masked-CP006021.1-processed-gene-9.195-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-9.195&CDS=1-4575	YGL156W
1021	OG0001021	genemark-CP006021.1-processed-gene-9.57-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.57&CDS=1-378	YDL120W
1022	OG0001022	snap_masked-CP006021.1-processed-gene-9.91-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-9.91&CDS=1-363	YDL121C
1023	OG0001023	genemark-CP006021.1-processed-gene-9.58-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.58&CDS=1-2325	YDL122W
1024	OG0001024	genemark-CP006021.1-processed-gene-9.59-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.59&CDS=1-1131	YNL016W
1025	OG0001025	augustus_masked-CP006021.1-processed-gene-9.169-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-9.169&CDS=1-1044	YIL083C
1026	OG0001026	snap_masked-CP006021.1-processed-gene-9.127-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-9.127&CDS=1-1485	YNL026W
1027	OG0001027	augustus_masked-CP006021.1-processed-gene-9.170-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-9.170&CDS=1-3276	YNL329C
1028	OG0001028	genemark-CP006021.1-processed-gene-9.30-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.30&CDS=1-1299	YNL330C
1029	OG0001029	genemark-CP006021.1-processed-gene-9.31-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.31&CDS=1-516	YOL143C
1030	OG0001030	genemark-CP006021.1-processed-gene-9.61-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.61&CDS=1-1431	YOL144W
1031	OG0001031	genemark-CP006021.1-processed-gene-9.32-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.32&CDS=1-3168	YOL145C
1032	OG0001032	augustus_masked-CP006021.1-processed-gene-9.200-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-9.200&CDS=1-555	YOL146W
1033	OG0001033	genemark-CP006021.1-processed-gene-9.33-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.33&CDS=1-678	YOL147C
1034	OG0001034	augustus_masked-CP006021.1-processed-gene-9.175-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-9.175&CDS=1-1650	YOL148C
1035	OG0001035	genemark-CP006021.1-processed-gene-9.63-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.63&CDS=1-579	YOL149W
1036	OG0001036	genemark-CP006021.1-processed-gene-9.35-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.35&CDS=1-1047	YMR315W
1037	OG0001037	genemark-CP006022.1-processed-gene-0.65-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-0.65&CDS=1-1074	YCL064C
1038	OG0001038	snap_masked-CP006022.1-processed-gene-0.112-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-0.112&CDS=1-3063	YCL061C
1039	OG0001039	genemark-CP006022.1-processed-gene-0.67-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-0.67&CDS=1-1029	YCL059C
1040	OG0001040	augustus_masked-CP006022.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-0.25&CDS=1-246	YCL057C-A
1041	OG0001041	genemark-CP006022.1-processed-gene-0.50-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-0.50&CDS=1-966	YCL055W
1042	OG0001042	genemark-CP006022.1-processed-gene-0.51-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-0.51&CDS=1-2490	YCL054W
1043	OG0001043	augustus_masked-CP006022.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-0.29&CDS=1-1239	YCL052C
1044	OG0001044	augustus_masked-CP006022.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-0.30&CDS=1-378	YDR529C
1045	OG0001045	genemark-CP006022.1-processed-gene-0.53-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-0.53&CDS=1-1056	YDR531W
1046	OG0001046	augustus_masked-CP006022.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-0.32&CDS=1-1083	YDR532C
1047	OG0001047	maker-CP006022.1-augustus-gene-0.41-mRNA-1_1&gene=maker-CP006022.1-augustus-gene-0.41&CDS=1-1521	YDR527W
1048	OG0001048	snap_masked-CP006022.1-processed-gene-0.97-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-0.97&CDS=1-2619	YDR524C
1049	OG0001049	snap_masked-CP006022.1-processed-gene-0.98-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-0.98&CDS=1-1320	YDR523C
1050	OG0001050	snap_masked-CP006022.1-processed-gene-0.99-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-0.99&CDS=1-3534	YDR520C
1051	OG0001051	augustus_masked-CP006022.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-0.34&CDS=1-777	YCL047C
1052	OG0001052	genemark-CP006022.1-processed-gene-0.77-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-0.77&CDS=1-2196	YCL045C
1053	OG0001053	genemark-CP006022.1-processed-gene-0.78-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-0.78&CDS=1-1185	YCL044C
1054	OG0001054	maker-CP006022.1-augustus-gene-0.42-mRNA-1_1&gene=maker-CP006022.1-augustus-gene-0.42&CDS=1-2667	YCL043C
1055	OG0001055	genemark-CP006022.1-processed-gene-0.55-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-0.55&CDS=1-1479	YCL040W
1056	OG0001056	snap_masked-CP006022.1-processed-gene-0.101-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-0.101&CDS=1-2148	YCL039W
1057	OG0001057	genemark-CP006022.1-processed-gene-0.81-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-0.81&CDS=1-1521	YCL038C
1058	OG0001058	genemark-CP006022.1-processed-gene-0.82-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-0.82&CDS=1-1317	YCL037C
1059	OG0001059	genemark-CP006022.1-processed-gene-0.59-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-0.59&CDS=1-912	YCL034W
1060	OG0001060	genemark-CP006022.1-processed-gene-0.84-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-0.84&CDS=1-399	YCL033C
1061	OG0001061	genemark-CP006022.1-processed-gene-0.60-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-0.60&CDS=1-1302	YCL032W
1062	OG0001062	genemark-CP006022.1-processed-gene-1.47-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.47&CDS=1-870	YCL031C
1063	OG0001063	genemark-CP006022.1-processed-gene-1.48-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.48&CDS=1-369	YDR511W
1064	OG0001064	genemark-CP006022.1-processed-gene-1.49-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.49&CDS=1-2421	YCL030C
1065	OG0001065	genemark-CP006022.1-processed-gene-1.50-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.50&CDS=1-1479	YCL029C
1066	OG0001066	augustus_masked-CP006022.1-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-1.3&CDS=1-822	YCL028W
1067	OG0001067	snap_masked-CP006022.1-processed-gene-1.86-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-1.86&CDS=1-1188	YCL027W
1068	OG0001068	genemark-CP006022.1-processed-gene-1.53-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.53&CDS=1-3705	YDR507C
1069	OG0001069	genemark-CP006022.1-processed-gene-1.54-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.54&CDS=1-2283	YLR177W
1070	OG0001070	genemark-CP006022.1-processed-gene-1.71-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.71&CDS=1-612	YLR178C
1071	OG0001071	augustus_masked-CP006022.1-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-1.12&CDS=1-756	YDR503C
1072	OG0001072	genemark-CP006022.1-processed-gene-1.56-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.56&CDS=1-1146	YDR502C
1073	OG0001073	augustus_masked-CP006022.1-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-1.29&CDS=1-843	YLR181C
1074	OG0001074	genemark-CP006022.1-processed-gene-1.57-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.57&CDS=1-2094	YLR182W
1075	OG0001075	genemark-CP006022.1-processed-gene-1.73-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.73&CDS=1-1491	YLR183C
1076	OG0001076	genemark-CP006022.1-processed-gene-1.74-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.74&CDS=1-2079	YDR499W
1077	OG0001077	genemark-CP006022.1-processed-gene-1.59-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.59&CDS=1-759	YLR186W
1078	OG0001078	genemark-CP006022.1-processed-gene-1.60-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.60&CDS=1-1704	YNL279W
1079	OG0001079	genemark-CP006022.1-processed-gene-1.62-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.62&CDS=1-1425	YNL277W
1080	OG0001080	genemark-CP006022.1-processed-gene-1.75-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.75&CDS=1-3681	YLR189C
1081	OG0001081	genemark-CP006022.1-processed-gene-1.76-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.76&CDS=1-1386	YER019W
1082	OG0001082	maker-CP006022.1-augustus-gene-1.1-mRNA-1_1&gene=maker-CP006022.1-augustus-gene-1.1&CDS=1-3246	YNL275W
1083	OG0001083	augustus_masked-CP006022.1-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-1.21&CDS=1-375	YCR043C
1084	OG0001084	genemark-CP006022.1-processed-gene-1.77-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.77&CDS=1-1059	YNL274C
1085	OG0001085	augustus_masked-CP006022.1-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-1.22&CDS=1-4119	YCR042C
1086	OG0001086	augustus_masked-CP006022.1-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-1.23&CDS=1-2163	YOR154W
1087	OG0001087	genemark-CP006022.1-processed-gene-1.67-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.67&CDS=1-3783	YNL273W
1088	OG0001088	genemark-CP006022.1-processed-gene-1.78-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.78&CDS=1-1458	YEL064C
1089	OG0001089	genemark-CP006022.1-processed-gene-1.79-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.79&CDS=1-2154	YNL272C
1090	OG0001090	maker-CP006022.1-snap-gene-1.44-mRNA-1_1&gene=maker-CP006022.1-snap-gene-1.44&CDS=1-4863	YNL271C
1091	OG0001091	augustus_masked-CP006022.1-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-1.26&CDS=1-4005	YNL267W
1092	OG0001092	genemark-CP006022.1-processed-gene-1.81-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.81&CDS=1-3924	YGR047C
1093	OG0001093	genemark-CP006022.1-processed-gene-1.70-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.70&CDS=1-1047	YGR048W
1094	OG0001094	genemark-CP006022.1-processed-gene-1.82-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.82&CDS=1-4194	YGL140C
1095	OG0001095	genemark-CP006022.1-processed-gene-1.83-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.83&CDS=1-819	YGL128C
1096	OG0001096	genemark-CP006022.1-processed-gene-1.84-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.84&CDS=1-882	YNL263C
1097	OG0001097	genemark-CP006022.1-processed-gene-2.48-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.48&CDS=1-7821	YNL262W
1098	OG0001098	snap_masked-CP006022.1-processed-gene-2.4-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-2.4&CDS=1-1032	YHR156C
1099	OG0001099	augustus_masked-CP006022.1-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-2.89&CDS=1-489	YNL260C
1100	OG0001100	snap_masked-CP006022.1-processed-gene-2.6-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-2.6&CDS=1-219	YNL259C
1101	OG0001101	augustus_masked-CP006022.1-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-2.105&CDS=1-2214	YNL258C
1102	OG0001102	genemark-CP006022.1-processed-gene-2.68-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.68&CDS=1-1170	YDR058C
1103	OG0001103	genemark-CP006022.1-processed-gene-2.70-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.70&CDS=1-1413	YGR255C
1104	OG0001104	genemark-CP006022.1-processed-gene-2.50-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.50&CDS=1-2388	YNL256W
1105	OG0001105	snap_masked-CP006022.1-processed-gene-2.29-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-2.29&CDS=1-1356	YJL203W
1106	OG0001106	genemark-CP006022.1-processed-gene-2.73-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.73&CDS=1-468	YJR097W
1107	OG0001107	genemark-CP006022.1-processed-gene-2.53-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.53&CDS=1-1227	YNL248C
1108	OG0001108	genemark-CP006022.1-processed-gene-2.74-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.74&CDS=1-3888	YNL250W
1109	OG0001109	genemark-CP006022.1-processed-gene-2.54-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.54&CDS=1-1791	YNL251C
1110	OG0001110	genemark-CP006022.1-processed-gene-2.55-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.55&CDS=1-801	YNL252C
1111	OG0001111	augustus_masked-CP006022.1-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-2.113&CDS=1-1146	YNL253W
1112	OG0001112	genemark-CP006022.1-processed-gene-2.56-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.56&CDS=1-1218	YNL254C
1113	OG0001113	genemark-CP006022.1-processed-gene-2.57-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.57&CDS=1-1962	YJL201W
1114	OG0001114	genemark-CP006022.1-processed-gene-2.60-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.60&CDS=1-3876	YJL197W
1115	OG0001115	genemark-CP006022.1-processed-gene-2.77-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.77&CDS=1-1005	YCR036W
1116	OG0001116	genemark-CP006022.1-processed-gene-2.61-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.61&CDS=1-1104	YCR035C
1117	OG0001117	genemark-CP006022.1-processed-gene-2.79-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.79&CDS=1-3948	YCR033W
1118	OG0001118	genemark-CP006022.1-processed-gene-2.62-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.62&CDS=1-1518	YJL194W
1119	OG0001119	genemark-CP006022.1-processed-gene-2.81-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.81&CDS=1-6318	YCR032W
1120	OG0001120	genemark-CP006022.1-processed-gene-2.82-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.82&CDS=1-690	YJL192C
1121	OG0001121	genemark-CP006022.1-processed-gene-2.63-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.63&CDS=1-435	YBR282W
1122	OG0001122	snap_masked-CP006022.1-processed-gene-2.20-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-2.20&CDS=1-2352	YJL047C
1123	OG0001123	genemark-CP006022.1-processed-gene-2.83-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.83&CDS=1-1995	YBR260C
1124	OG0001124	genemark-CP006022.1-processed-gene-2.84-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.84&CDS=1-696	YBR261C
1125	OG0001125	snap_masked-CP006022.1-processed-gene-2.45-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-2.45&CDS=1-282	YBR262C
1126	OG0001126	augustus_masked-CP006022.1-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-2.102&CDS=1-1467	YBR283C
1127	OG0001127	augustus_masked-CP006022.1-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-2.103&CDS=1-381	YBR258C
1128	OG0001128	genemark-CP006022.1-processed-gene-2.86-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.86&CDS=1-816	YBR257W
1129	OG0001129	genemark-CP006022.1-processed-gene-2.66-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.66&CDS=1-1227	YJL046W
1130	OG0001130	genemark-CP006022.1-processed-gene-3.57-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.57&CDS=1-1722	YFR029W
1131	OG0001131	snap_masked-CP006022.1-processed-gene-3.99-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-3.99&CDS=1-2463	YFR013W
1132	OG0001132	snap_masked-CP006022.1-processed-gene-3.100-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-3.100&CDS=1-942	YOL092W
1133	OG0001133	genemark-CP006022.1-processed-gene-3.58-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.58&CDS=1-2868	YOL090W
1134	OG0001134	augustus_masked-CP006022.1-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-3.17&CDS=1-1866	YDL057W
1135	OG0001135	genemark-CP006022.1-processed-gene-3.60-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.60&CDS=1-2448	YDL056W
1136	OG0001136	genemark-CP006022.1-processed-gene-3.78-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.78&CDS=1-1083	YDL055C
1137	OG0001137	genemark-CP006022.1-processed-gene-3.79-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.79&CDS=1-4902	YLR378C
1138	OG0001138	snap_masked-CP006022.1-processed-gene-3.126-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-3.126&CDS=1-423	YDL053C
1139	OG0001139	genemark-CP006022.1-processed-gene-3.62-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.62&CDS=1-1026	YLR377C
1140	OG0001140	genemark-CP006022.1-processed-gene-3.81-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.81&CDS=1-840	YDL052C
1141	OG0001141	augustus_masked-CP006022.1-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-3.21&CDS=1-1476	YDL051W
1142	OG0001142	genemark-CP006022.1-processed-gene-3.83-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.83&CDS=1-957	YLR375W
1143	OG0001143	genemark-CP006022.1-processed-gene-3.85-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.85&CDS=1-3858	YLR371W
1144	OG0001144	genemark-CP006022.1-processed-gene-3.66-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.66&CDS=1-525	YLR370C
1145	OG0001145	augustus_masked-CP006022.1-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-3.44&CDS=1-1707	YLR368W
1146	OG0001146	snap_masked-CP006022.1-processed-gene-3.113-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-3.113&CDS=1-2514	YGR067C
1147	OG0001147	genemark-CP006022.1-processed-gene-3.68-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.68&CDS=1-1872	YGR065C
1148	OG0001148	augustus_masked-CP006022.1-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-3.46&CDS=1-336	YLR364W
1149	OG0001149	genemark-CP006022.1-processed-gene-3.69-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.69&CDS=1-306	YGR063C
1150	OG0001150	genemark-CP006022.1-processed-gene-3.70-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.70&CDS=1-927	YGR062C
1151	OG0001151	augustus_masked-CP006022.1-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-3.47&CDS=1-249	YLR363W-A
1152	OG0001152	genemark-CP006022.1-processed-gene-3.71-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.71&CDS=1-4044	YGR061C
1153	OG0001153	genemark-CP006022.1-processed-gene-3.91-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.91&CDS=1-933	YGR060W
1154	OG0001154	snap_masked-CP006022.1-processed-gene-3.138-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-3.138&CDS=1-1545	YGR058W
1155	OG0001155	genemark-CP006022.1-processed-gene-3.72-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.72&CDS=1-858	YOR292C
1156	OG0001156	genemark-CP006022.1-processed-gene-3.95-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.95&CDS=1-4350	YOR291W
1157	OG0001157	genemark-CP006022.1-processed-gene-3.73-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.73&CDS=1-5169	YMR229C
1158	OG0001158	genemark-CP006022.1-processed-gene-3.96-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.96&CDS=1-1002	YMR228W
1159	OG0001159	genemark-CP006022.1-processed-gene-3.75-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.75&CDS=1-1728	YMR227C
1160	OG0001160	genemark-CP006022.1-processed-gene-4.123-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-4.123&CDS=1-687	YOR289W
1161	OG0001161	augustus_masked-CP006022.1-processed-gene-4.0-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-4.0&CDS=1-1176	YOR288C
1162	OG0001162	genemark-CP006022.1-processed-gene-4.120-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-4.120&CDS=1-867	YOR287C
1163	OG0001163	augustus_masked-CP006022.1-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-4.5&CDS=1-408	YOR286W
1164	OG0001164	augustus_masked-CP006022.1-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-4.6&CDS=1-1002	YOR283W
1165	OG0001165	genemark-CP006022.1-processed-gene-4.121-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-4.121&CDS=1-2022	YMR224C
1166	OG0001166	genemark-CP006022.1-processed-gene-4.122-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-4.122&CDS=1-804	YOR281C
1167	OG0001167	genemark-CP006022.1-processed-gene-4.126-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-4.126&CDS=1-1404	YMR223W
1168	OG0001168	genemark-CP006022.1-processed-gene-4.146-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-4.146&CDS=1-1800	YGL203C
1169	OG0001169	augustus_masked-CP006022.1-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-4.27&CDS=1-2700	YPR160W
1170	OG0001170	augustus_masked-CP006022.1-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-4.28&CDS=1-2898	YGL201C
1171	OG0001171	genemark-CP006022.1-processed-gene-4.148-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-4.148&CDS=1-2010	YPR159W
1172	OG0001172	genemark-CP006022.1-processed-gene-4.129-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-4.129&CDS=1-1296	YOR307C
1173	OG0001173	genemark-CP006022.1-processed-gene-4.150-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-4.150&CDS=1-930	YMR241W
1174	OG0001174	genemark-CP006022.1-processed-gene-4.151-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-4.151&CDS=1-693	YOR305W
1175	OG0001175	snap_masked-CP006022.1-processed-gene-4.71-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-4.71&CDS=1-234	YOR304C-A
1176	OG0001176	augustus_masked-CP006022.1-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-4.12&CDS=1-1245	YMR240C
1177	OG0001177	genemark-CP006022.1-processed-gene-4.131-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-4.131&CDS=1-1497	YMR239C
