	OrthologID	Candida_arabinofermentans	Saccharomyces_cerevisiae
204	OG0000204	augustus_masked-scaffold_7-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.49&CDS=1-1731	YOL055C, YPL258C, YPR121W
205	OG0000205	augustus_masked-scaffold_8-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.4&CDS=1-5514, maker-scaffold_8-augustus-gene-0.125-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-0.125&CDS=1-5658	YGR184C, YLR024C
206	OG0000206	augustus_masked-scaffold_8-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.94&CDS=1-519, augustus_masked-scaffold_9-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-2.33&CDS=1-495	YEL066W, YPR193C
207	OG0000207	augustus_masked-scaffold_8-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.104&CDS=1-1191, augustus_masked-scaffold_8-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.87&CDS=1-1902	YDL225W, YJR076C
208	OG0000208	augustus_masked-scaffold_8-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.119&CDS=1-1284, augustus_masked-scaffold_8-processed-gene-3.139-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.139&CDS=1-1314	YFR014C, YOL016C
209	OG0000209	augustus_masked-scaffold_8-processed-gene-4.160-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.160&CDS=1-2106	YIL009W, YMR246W, YOR317W
210	OG0000210	augustus_masked-scaffold_8-processed-gene-4.210-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.210&CDS=1-6696, genemark-scaffold_8-processed-gene-4.107-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-4.107&CDS=1-3447	YJL130C, YJR109C
211	OG0000211	augustus_masked-scaffold_1-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.102&CDS=1-1353, augustus_masked-scaffold_10-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.67&CDS=1-1293	YLR210W
212	OG0000212	augustus_masked-scaffold_1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.105&CDS=1-1689, augustus_masked-scaffold_1-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.60&CDS=1-1449	YHR135C
213	OG0000213	augustus_masked-scaffold_1-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.110&CDS=1-465	YBR048W, YDR025W
214	OG0000214	genemark-scaffold_1-processed-gene-0.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.30&CDS=1-876	YBR014C, YDL010W
215	OG0000215	genemark-scaffold_1-processed-gene-0.31-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.31&CDS=1-1053, maker-scaffold_2-augustus-gene-0.39-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-0.39&CDS=1-2451	YBL016W
216	OG0000216	augustus_masked-scaffold_1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.93&CDS=1-1290	YDR312W, YHR066W
217	OG0000217	augustus_masked-scaffold_1-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.53&CDS=1-3717, augustus_masked-scaffold_4-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.53&CDS=1-2136	YIL038C
218	OG0000218	augustus_masked-scaffold_1-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.64&CDS=1-360	YER131W, YGL189C
219	OG0000219	augustus_masked-scaffold_1-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.66&CDS=1-2154, augustus_masked-scaffold_1-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.67&CDS=1-2229	YBL097W
220	OG0000220	augustus_masked-scaffold_1-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.70&CDS=1-1338, augustus_masked-scaffold_3-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.62&CDS=1-2304	YNL027W
221	OG0000221	augustus_masked-scaffold_1-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.74&CDS=1-2280	YEL041W, YJR049C
222	OG0000222	augustus_masked-scaffold_1-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.95&CDS=1-1185, augustus_masked-scaffold_4-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.110&CDS=1-897	YNL234W
223	OG0000223	augustus_masked-scaffold_1-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.77&CDS=1-723	YHR043C, YHR044C
224	OG0000224	augustus_masked-scaffold_1-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.97&CDS=1-2283, augustus_masked-scaffold_31-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scaffold_31-processed-gene-0.56&CDS=1-2403	YAL023C
225	OG0000225	augustus_masked-scaffold_1-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.82&CDS=1-1728	YDR358W, YHR108W
226	OG0000226	augustus_masked-scaffold_1-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.63&CDS=1-465	YER074W, YIL069C
227	OG0000227	genemark-scaffold_1-processed-gene-3.32-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.32&CDS=1-3795	YAL017W, YOL045W
228	OG0000228	augustus_masked-scaffold_1-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.107&CDS=1-2628	YCR091W, YNR047W
229	OG0000229	augustus_masked-scaffold_1-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.111&CDS=1-3837	YKL129C, YMR109W
230	OG0000230	augustus_masked-scaffold_1-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.98&CDS=1-1545	YBR214W, YGL056C
231	OG0000231	augustus_masked-scaffold_1-processed-gene-6.57-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.57&CDS=1-2502	YAL007C, YOR016C
232	OG0000232	augustus_masked-scaffold_3-processed-gene-8.75-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.75&CDS=1-1869, genemark-scaffold_1-processed-gene-6.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.20&CDS=1-2283	YDL206W
233	OG0000233	maker-scaffold_9-snap-gene-3.89-mRNA-1_1&gene=maker-scaffold_9-snap-gene-3.89&CDS=1-2478, snap_masked-scaffold_1-processed-gene-7.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.60&CDS=1-2724	YLR248W
234	OG0000234	augustus_masked-scaffold_1-processed-gene-7.131-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.131&CDS=1-2649	YDR069C, YER144C
235	OG0000235	maker-scaffold_1-augustus-gene-7.1-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.1&CDS=1-471	YBR191W, YPL079W
236	OG0000236	maker-scaffold_1-augustus-gene-7.2-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.2&CDS=1-570	YBR189W, YPL081W
237	OG0000237	augustus_masked-scaffold_1-processed-gene-7.155-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.155&CDS=1-1263, snap_masked-scaffold_4-processed-gene-7.2-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.2&CDS=1-1341	YDL131W
238	OG0000238	augustus_masked-scaffold_1-processed-gene-7.137-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.137&CDS=1-2904, augustus_masked-scaffold_8-processed-gene-4.191-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.191&CDS=1-1998	YNL101W
239	OG0000239	augustus_masked-scaffold_1-processed-gene-8.0-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.0&CDS=1-783	YDR066C, YER139C
240	OG0000240	genemark-scaffold_1-processed-gene-8.105-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.105&CDS=1-1476	YJR054W, YML047C
241	OG0000241	genemark-scaffold_1-processed-gene-9.56-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.56&CDS=1-204	YLR264W, YOR167C
242	OG0000242	augustus_masked-scaffold_3-processed-gene-7.44-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.44&CDS=1-777, genemark-scaffold_1-processed-gene-9.57-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.57&CDS=1-708	YNL322C
243	OG0000243	maker-scaffold_1-snap-gene-9.3-mRNA-1_1&gene=maker-scaffold_1-snap-gene-9.3&CDS=1-1428	YLR287C-A, YOR182C
244	OG0000244	augustus_masked-scaffold_1-processed-gene-10.3-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.3&CDS=1-1314	YCL048W, YDR522C
245	OG0000245	augustus_masked-scaffold_1-processed-gene-10.22-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.22&CDS=1-852	YIL114C, YNL055C
246	OG0000246	maker-scaffold_1-augustus-gene-10.38-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-10.38&CDS=1-3639	YGR121C, YPR138C
247	OG0000247	augustus_masked-scaffold_1-processed-gene-10.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.10&CDS=1-1146	YDL222C, YNL194C
248	OG0000248	augustus_masked-scaffold_1-processed-gene-10.30-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.30&CDS=1-1359	YGR108W, YPR119W
249	OG0000249	maker-scaffold_1-snap-gene-10.128-mRNA-1_1&gene=maker-scaffold_1-snap-gene-10.128&CDS=1-1338	YNL108C, YOR110W
250	OG0000250	augustus_masked-scaffold_1-processed-gene-12.102-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.102&CDS=1-528, snap_masked-scaffold_4-processed-gene-7.36-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.36&CDS=1-525	YML073C
251	OG0000251	augustus_masked-scaffold_1-processed-gene-12.103-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.103&CDS=1-1326	YDR132C, YLR108C
252	OG0000252	augustus_masked-scaffold_1-processed-gene-12.126-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.126&CDS=1-2685, augustus_masked-scaffold_7-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.13&CDS=1-2667	YLR241W
253	OG0000253	augustus_masked-scaffold_1-processed-gene-12.129-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.129&CDS=1-1665	YIR031C, YNL117W
254	OG0000254	augustus_masked-scaffold_1-processed-gene-13.55-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.55&CDS=1-1728	YGR243W, YHR162W
255	OG0000255	maker-scaffold_1-augustus-gene-13.94-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-13.94&CDS=1-396	YHL001W, YKL006W
256	OG0000256	genemark-scaffold_1-processed-gene-13.125-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.125&CDS=1-903	YGL096W, YPL177C
257	OG0000257	augustus_masked-scaffold_1-processed-gene-14.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.10&CDS=1-408	YBR010W, YNL031C
258	OG0000258	augustus_masked-scaffold_1-processed-gene-14.16-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.16&CDS=1-624, augustus_masked-scaffold_1-processed-gene-14.17-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.17&CDS=1-597	YPL067C
259	OG0000259	augustus_masked-scaffold_1-processed-gene-14.47-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.47&CDS=1-1131, genemark-scaffold_13-processed-gene-2.91-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-2.91&CDS=1-1380	YLR094C
260	OG0000260	augustus_masked-scaffold_1-processed-gene-14.27-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.27&CDS=1-1533, augustus_masked-scaffold_9-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-2.31&CDS=1-1524	YGR260W
261	OG0000261	augustus_masked-scaffold_1-processed-gene-14.35-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.35&CDS=1-2514	YOR256C, YPL176C
262	OG0000262	augustus_masked-scaffold_10-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.89&CDS=1-3135	YJL084C, YKR021W
263	OG0000263	genemark-scaffold_10-processed-gene-0.60-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-0.60&CDS=1-939	YBR066C, YDR043C
264	OG0000264	augustus_masked-scaffold_10-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.8&CDS=1-483	YBR244W, YIR037W
265	OG0000265	augustus_masked-scaffold_10-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.13&CDS=1-1368	YBR241C, YGL104C
266	OG0000266	augustus_masked-scaffold_10-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.15&CDS=1-663	YBR242W, YGL101W
267	OG0000267	augustus_masked-scaffold_8-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.131&CDS=1-3444, maker-scaffold_10-augustus-gene-2.84-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-2.84&CDS=1-3333	YIL107C
268	OG0000268	genemark-scaffold_10-processed-gene-2.32-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.32&CDS=1-2619	YAL056W, YOR371C
269	OG0000269	augustus_masked-scaffold_10-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.77&CDS=1-651	YGL135W, YPL220W
270	OG0000270	augustus_masked-scaffold_10-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.62&CDS=1-2871	YGR056W, YLR357W
271	OG0000271	genemark-scaffold_10-processed-gene-2.27-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.27&CDS=1-9534	YBL087C, YER117W
272	OG0000272	augustus_masked-scaffold_10-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.0&CDS=1-4638	YER132C, YGL197W
273	OG0000273	augustus_masked-scaffold_10-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.33&CDS=1-1629	YDR253C, YPL038W
274	OG0000274	augustus_masked-scaffold_10-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.15&CDS=1-612	YLR029C, YMR121C
275	OG0000275	augustus_masked-scaffold_10-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.24&CDS=1-1095, maker-scaffold_12-snap-gene-1.46-mRNA-1_1&gene=maker-scaffold_12-snap-gene-1.46&CDS=1-1416	YEL046C
276	OG0000276	augustus_masked-scaffold_10-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.29&CDS=1-1419	YER081W, YIL074C
277	OG0000277	augustus_masked-scaffold_11-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-0.98&CDS=1-1449, augustus_masked-scaffold_7-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.23&CDS=1-1464	YKL140W
278	OG0000278	augustus_masked-scaffold_11-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-0.81&CDS=1-810	YLR284C, YOR180C
279	OG0000279	augustus_masked-scaffold_11-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-0.88&CDS=1-3000	YIL156W, YKR098C
280	OG0000280	augustus_masked-scaffold_11-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-0.91&CDS=1-1491, maker-scaffold_15-snap-gene-0.83-mRNA-1_1&gene=maker-scaffold_15-snap-gene-0.83&CDS=1-2760	YDL054C
281	OG0000281	genemark-scaffold_11-processed-gene-1.77-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.77&CDS=1-345	YDL075W, YLR406C
282	OG0000282	genemark-scaffold_11-processed-gene-1.104-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.104&CDS=1-2400	YJL212C, YPR194C
283	OG0000283	augustus_masked-scaffold_11-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-1.56&CDS=1-1869	YDL042C, YOL068C
284	OG0000284	genemark-scaffold_11-processed-gene-2.209-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.209&CDS=1-732	YBR181C, YPL090C
285	OG0000285	augustus_masked-scaffold_11-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.43&CDS=1-2388	YCR026C, YEL016C
286	OG0000286	augustus_masked-scaffold_8-processed-gene-3.142-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.142&CDS=1-4902, maker-scaffold_11-snap-gene-2.151-mRNA-1_1&gene=maker-scaffold_11-snap-gene-2.151&CDS=1-2454	YPL270W
287	OG0000287	augustus_masked-scaffold_11-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.17&CDS=1-5817	YCL068C, YCR038C
288	OG0000288	augustus_masked-scaffold_11-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.52&CDS=1-1047, genemark-scaffold_24-processed-gene-0.165-mRNA-1_1&gene=genemark-scaffold_24-processed-gene-0.165&CDS=1-1170	YLR130C
289	OG0000289	augustus_masked-scaffold_11-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.22&CDS=1-1914, augustus_masked-scaffold_7-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.109&CDS=1-2019	YGL023C
290	OG0000290	augustus_masked-scaffold_11-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.58&CDS=1-2361, maker-scaffold_14-snap-gene-2.99-mRNA-1_1&gene=maker-scaffold_14-snap-gene-2.99&CDS=1-3630	YPR181C
291	OG0000291	augustus_masked-scaffold_11-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.61&CDS=1-498	YDR418W, YEL054C
292	OG0000292	augustus_masked-scaffold_11-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.24&CDS=1-2931, augustus_masked-scaffold_6-processed-gene-5.45-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.45&CDS=1-1962	YBR084W
293	OG0000293	maker-scaffold_11-augustus-gene-2.155-mRNA-1_1&gene=maker-scaffold_11-augustus-gene-2.155&CDS=1-2535	YDR458C, YML034W
294	OG0000294	augustus_masked-scaffold_12-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-1.61&CDS=1-1857	YDR200C, YLR238W
295	OG0000295	augustus_masked-scaffold_12-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-1.64&CDS=1-1308, augustus_masked-scaffold_4-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.113&CDS=1-2538	YEL036C
296	OG0000296	maker-scaffold_20-snap-gene-0.166-mRNA-1_1&gene=maker-scaffold_20-snap-gene-0.166&CDS=1-3075, snap_masked-scaffold_12-processed-gene-1.38-mRNA-1_1&gene=snap_masked-scaffold_12-processed-gene-1.38&CDS=1-4170	YER070W
297	OG0000297	augustus_masked-scaffold_12-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-1.98&CDS=1-1683, augustus_masked-scaffold_12-processed-gene-2.137-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-2.137&CDS=1-1677	YDR536W
298	OG0000298	augustus_masked-scaffold_12-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-2.128&CDS=1-357	YMR230W, YOR293W
299	OG0000299	genemark-scaffold_2-processed-gene-3.60-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.60&CDS=1-3936, maker-scaffold_12-snap-gene-2.162-mRNA-1_1&gene=maker-scaffold_12-snap-gene-2.162&CDS=1-9186	YIL126W
300	OG0000300	augustus_masked-scaffold_13-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-0.106&CDS=1-3732	YGR238C, YHR158C
301	OG0000301	maker-scaffold_13-snap-gene-0.77-mRNA-1_1&gene=maker-scaffold_13-snap-gene-0.77&CDS=1-3333	YGR092W, YPR111W
302	OG0000302	augustus_masked-scaffold_13-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-1.37&CDS=1-2109	YJL139C, YKR061W
303	OG0000303	maker-scaffold_13-augustus-gene-1.57-mRNA-1_1&gene=maker-scaffold_13-augustus-gene-1.57&CDS=1-618	YJL177W, YKL180W
304	OG0000304	augustus_masked-scaffold_13-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-1.32&CDS=1-1665	YDR348C, YHR097C
305	OG0000305	augustus_masked-scaffold_13-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-2.2&CDS=1-3252	YDR502C, YLR180W
306	OG0000306	augustus_masked-scaffold_13-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-2.0&CDS=1-246	YDR500C, YLR185W
307	OG0000307	augustus_masked-scaffold_13-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-2.29&CDS=1-5184, genemark-scaffold_30-processed-gene-0.12-mRNA-1_1&gene=genemark-scaffold_30-processed-gene-0.12&CDS=1-1587	YCR098C
308	OG0000308	augustus_masked-scaffold_8-processed-gene-4.158-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.158&CDS=1-1905, maker-scaffold_13-snap-gene-2.118-mRNA-1_1&gene=maker-scaffold_13-snap-gene-2.118&CDS=1-3354	YGL122C
309	OG0000309	augustus_masked-scaffold_13-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-2.26&CDS=1-1047	YJL133W, YKR052C
310	OG0000310	augustus_masked-scaffold_14-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-0.77&CDS=1-1419	YCL040W, YDR516C
311	OG0000311	snap_masked-scaffold_14-processed-gene-1.14-mRNA-1_1&gene=snap_masked-scaffold_14-processed-gene-1.14&CDS=1-240	YDL061C, YLR388W
312	OG0000312	augustus_masked-scaffold_14-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-1.72&CDS=1-2469	YCL051W, YDR528W
313	OG0000313	snap_masked-scaffold_14-processed-gene-2.74-mRNA-1_1&gene=snap_masked-scaffold_14-processed-gene-2.74&CDS=1-2847	YKL050C, YMR031C
314	OG0000314	augustus_masked-scaffold_14-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-2.129&CDS=1-1275, augustus_masked-scaffold_17-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-scaffold_17-processed-gene-1.81&CDS=1-1227	YOR099W
315	OG0000315	augustus_masked-scaffold_14-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-2.113&CDS=1-1230	YHL003C, YKL008C
316	OG0000316	augustus_masked-scaffold_14-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-2.134&CDS=1-906	YLR178C, YLR179C
317	OG0000317	augustus_masked-scaffold_14-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-2.139&CDS=1-795, augustus_masked-scaffold_14-processed-gene-2.140-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-2.140&CDS=1-726	YOR095C
318	OG0000318	augustus_masked-scaffold_14-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-2.122&CDS=1-567	YNL096C, YOR096W
319	OG0000319	snap_masked-scaffold_14-processed-gene-2.90-mRNA-1_1&gene=snap_masked-scaffold_14-processed-gene-2.90&CDS=1-600	YIL133C, YNL069C
320	OG0000320	augustus_masked-scaffold_14-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-2.144&CDS=1-3867	YDR122W, YLR096W
321	OG0000321	augustus_masked-scaffold_15-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-0.0&CDS=1-1740	YHL017W, YKL039W
322	OG0000322	augustus_masked-scaffold_15-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-0.29&CDS=1-465	YGR209C, YLR043C
323	OG0000323	augustus_masked-scaffold_15-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-0.14&CDS=1-1407, genemark-scaffold_23-processed-gene-0.82-mRNA-1_1&gene=genemark-scaffold_23-processed-gene-0.82&CDS=1-1413	YGR019W
324	OG0000324	augustus_masked-scaffold_52-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_52-processed-gene-0.2&CDS=1-1242, maker-scaffold_15-augustus-gene-1.95-mRNA-1_1&gene=maker-scaffold_15-augustus-gene-1.95&CDS=1-1323	YJL213W
325	OG0000325	augustus_masked-scaffold_15-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-1.131&CDS=1-2748	YBR033W, YKL038W
326	OG0000326	genemark-scaffold_15-processed-gene-2.89-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.89&CDS=1-1449	YKL133C, YMR115W
327	OG0000327	genemark-scaffold_15-processed-gene-2.122-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.122&CDS=1-9600	YBL106C, YPR032W
328	OG0000328	genemark-scaffold_16-processed-gene-0.63-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.63&CDS=1-1029, maker-scaffold_29-snap-gene-0.81-mRNA-1_1&gene=maker-scaffold_29-snap-gene-0.81&CDS=1-1869	YJR154W
329	OG0000329	augustus_masked-scaffold_16-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-0.87&CDS=1-3396, genemark-scaffold_2-processed-gene-11.83-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.83&CDS=1-1968	YMR216C
330	OG0000330	augustus_masked-scaffold_16-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-0.95&CDS=1-2136, maker-scaffold_2-snap-gene-12.150-mRNA-1_1&gene=maker-scaffold_2-snap-gene-12.150&CDS=1-2397	YNL054W
331	OG0000331	augustus_masked-scaffold_16-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-0.109&CDS=1-1224	YAL015C, YOL043C
