	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035652_Torulaspora_maleeae
935	OG0000935	YDR253C	genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-2.34-mRNA-1_1&gene=genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-2.34&CDS=1-705
936	OG0000936	YDR254W	augustus_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-2.170-mRNA-1_1&gene=augustus_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-2.170&CDS=1-1323
937	OG0000937	YDR255C	snap_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-2.99-mRNA-1_1&gene=snap_masked-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-2.99&CDS=1-1212
938	OG0000938	YDR257C	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.159-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.159&CDS=1-1461
939	OG0000939	YDR260C	snap_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.57-mRNA-1_1&gene=snap_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.57&CDS=1-501
940	OG0000940	YDR262W	snap_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.33-mRNA-1_1&gene=snap_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.33&CDS=1-861
941	OG0000941	YDR264C	augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.107&CDS=1-4392
942	OG0000942	YDR265W	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.138-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.138&CDS=1-921
943	OG0000943	YDR266C	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.167-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.167&CDS=1-1875
944	OG0000944	YDR267C	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.168-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.168&CDS=1-861
945	OG0000945	YDR268W	augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.91&CDS=1-2127
946	OG0000946	YDR270W	augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-4.93&CDS=1-4248
947	OG0000947	YDR279W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.57-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.57&CDS=1-1029
948	OG0000948	YDR280W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.56-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.56&CDS=1-915
949	OG0000949	YDR283C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.53-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.53&CDS=1-5538
950	OG0000950	YDR284C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.54-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.54&CDS=1-867
951	OG0000951	YDR285W	snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.83-mRNA-1_1&gene=snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.83&CDS=1-2481
952	OG0000952	YDR286C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.55-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.55&CDS=1-336
953	OG0000953	YDR287W	genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-1.107-mRNA-1_1&gene=genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-1.107&CDS=1-876
954	OG0000954	YDR289C	snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.82-mRNA-1_1&gene=snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.82&CDS=1-1074
955	OG0000955	YDR291W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.52-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.52&CDS=1-3228
956	OG0000956	YDR292C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.24-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.24&CDS=1-1818
957	OG0000957	YDR293C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.21-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.21&CDS=1-3762
958	OG0000958	YDR295C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.17-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.17&CDS=1-1914
959	OG0000959	YDR296W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.48-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.48&CDS=1-669
960	OG0000960	YDR297W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.47-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.47&CDS=1-975
961	OG0000961	YDR298C	augustus_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.136&CDS=1-618
962	OG0000962	YDR299W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.46-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.46&CDS=1-1548
963	OG0000963	YDR300C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.15-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.15&CDS=1-1263
964	OG0000964	YDR301W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.44-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.44&CDS=1-3996
965	OG0000965	YDR302W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.43-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.43&CDS=1-645
966	OG0000966	YDR303C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.10-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.10&CDS=1-2478
967	OG0000967	YDR305C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.7-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.7&CDS=1-537
968	OG0000968	YDR306C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.6-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.6&CDS=1-1353
969	OG0000969	YDR307W	augustus_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.133&CDS=1-1986
970	OG0000970	YDR308C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.5-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-2.5&CDS=1-453
971	OG0000971	YDR309C	snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.83-mRNA-1_1&gene=snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.83&CDS=1-1029
972	OG0000972	YDR311W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.51-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.51&CDS=1-1830
973	OG0000973	YDR313C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.20-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.20&CDS=1-870
974	OG0000974	YDR315C	snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.76-mRNA-1_1&gene=snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.76&CDS=1-831
975	OG0000975	YDR317W	snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.101-mRNA-1_1&gene=snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.101&CDS=1-1248
976	OG0000976	YDR318W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.43-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.43&CDS=1-957
977	OG0000977	YDR319C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.17-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.17&CDS=1-705
978	OG0000978	YDR320C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.16-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.16&CDS=1-1722
979	OG0000979	YDR320C-A	snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.73-mRNA-1_1&gene=snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.73&CDS=1-216
980	OG0000980	YDR322C-A	augustus_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.116&CDS=1-282
981	OG0000981	YDR322W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.38-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.38&CDS=1-1065
982	OG0000982	YDR324C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.12-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.12&CDS=1-2241
983	OG0000983	YDR325W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.35-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.35&CDS=1-3054
984	OG0000984	YDR326C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.10-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.10&CDS=1-4149
985	OG0000985	YDR328C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.9-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.9&CDS=1-645
986	OG0000986	YDR329C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.8-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.8&CDS=1-1422
987	OG0000987	YDR330W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.33-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.33&CDS=1-1485
988	OG0000988	YDR331W	augustus_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.129&CDS=1-1200
989	OG0000989	YDR332W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.31-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.31&CDS=1-2079
990	OG0000990	YDR333C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.5-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.5&CDS=1-2106
991	OG0000991	YDR334W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.4-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.4&CDS=1-4374
992	OG0000992	YDR335W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.1-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.1&CDS=1-3675
993	OG0000993	YDR336W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.0-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-1.0&CDS=1-1002
994	OG0000994	YDR337W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.137-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.137&CDS=1-840
995	OG0000995	YDR338C	maker-NODE_2_length_1019301_cov_58.9423_ID_1327-augustus-gene-0.53-mRNA-1_1&gene=maker-NODE_2_length_1019301_cov_58.9423_ID_1327-augustus-gene-0.53&CDS=1-2889
996	OG0000996	YDR339C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.115-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.115&CDS=1-567
997	OG0000997	YDR341C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.114-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.114&CDS=1-1827
998	OG0000998	YDR346C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.109-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.109&CDS=1-1350
999	OG0000999	YDR347W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.135-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.135&CDS=1-930
1000	OG0001000	YDR348C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.108-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.108&CDS=1-1140
1001	OG0001001	YDR349C	snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.18&CDS=1-1629
1002	OG0001002	YDR350C	snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.14&CDS=1-2106
1003	OG0001003	YDR353W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.129-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.129&CDS=1-963
1004	OG0001004	YDR354W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.128-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.128&CDS=1-1128
1005	OG0001005	YDR356W	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.127-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.127&CDS=1-2277
1006	OG0001006	YDR357C	augustus_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.64&CDS=1-345
1007	OG0001007	YDR359C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.100-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.100&CDS=1-2817
1008	OG0001008	YDR361C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.99&CDS=1-840
1009	OG0001009	YDR362C	genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.98-mRNA-1_1&gene=genemark-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.98&CDS=1-1923
1010	OG0001010	YDR363W	snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_2_length_1019301_cov_58.9423_ID_1327-processed-gene-0.33&CDS=1-1200
1011	OG0001011	YDR363W-A	snap_masked-NODE_4_length_856739_cov_59.0822_ID_2094-processed-gene-1.118-mRNA-1_1&gene=snap_masked-NODE_4_length_856739_cov_59.0822_ID_2094-processed-gene-1.118&CDS=1-270
1012	OG0001012	YDR364C	maker-NODE_4_length_856739_cov_59.0822_ID_2094-augustus-gene-1.58-mRNA-1_1&gene=maker-NODE_4_length_856739_cov_59.0822_ID_2094-augustus-gene-1.58&CDS=1-3210
1013	OG0001013	YDR367W	genemark-NODE_4_length_856739_cov_59.0822_ID_2094-processed-gene-1.52-mRNA-1_1&gene=genemark-NODE_4_length_856739_cov_59.0822_ID_2094-processed-gene-1.52&CDS=1-651
1014	OG0001014	YDR369C	snap_masked-NODE_4_length_856739_cov_59.0822_ID_2094-processed-gene-1.93-mRNA-1_1&gene=snap_masked-NODE_4_length_856739_cov_59.0822_ID_2094-processed-gene-1.93&CDS=1-3771
1015	OG0001015	YDR370C	genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-4.6-mRNA-1_1&gene=genemark-NODE_3_length_908381_cov_61.3483_ID_1566-processed-gene-4.6&CDS=1-1260
1016	OG0001016	YDR371W	genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-4.48-mRNA-1_1&gene=genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-4.48&CDS=1-1497
1017	OG0001017	YDR373W	genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-4.47-mRNA-1_1&gene=genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-4.47&CDS=1-570
1018	OG0001018	YDR374W-A	snap_masked-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-4.154-mRNA-1_1&gene=snap_masked-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-4.154&CDS=1-225
1019	OG0001019	YDR375C	maker-NODE_1_length_1102252_cov_58.3912_ID_1431-augustus-gene-4.178-mRNA-1_1&gene=maker-NODE_1_length_1102252_cov_58.3912_ID_1431-augustus-gene-4.178&CDS=1-2070
1020	OG0001020	YDR376W	genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-4.46-mRNA-1_1&gene=genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-4.46&CDS=1-1473
1021	OG0001021	YDR377W	genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-4.45-mRNA-1_1&gene=genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-4.45&CDS=1-303
1022	OG0001022	YDR378C	snap_masked-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-4.126-mRNA-1_1&gene=snap_masked-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-4.126&CDS=1-246
1023	OG0001023	YDR379C-A	snap_masked-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-4.125-mRNA-1_1&gene=snap_masked-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-4.125&CDS=1-237
1024	OG0001024	YDR380W	genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-4.17-mRNA-1_1&gene=genemark-NODE_1_length_1102252_cov_58.3912_ID_1431-processed-gene-4.17&CDS=1-1914
1025	OG0001025	YDR381C-A	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-1.50-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-1.50&CDS=1-330
1026	OG0001026	YDR381W	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-1.28-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-1.28&CDS=1-687
1027	OG0001027	YDR382W	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-1.30-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-1.30&CDS=1-333
1028	OG0001028	YDR383C	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-1.52-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-1.52&CDS=1-675
1029	OG0001029	YDR384C	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-1.53-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-1.53&CDS=1-831
1030	OG0001030	YDR386W	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.9-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.9&CDS=1-1878
1031	OG0001031	YDR387C	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.13-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.13&CDS=1-1674
1032	OG0001032	YDR388W	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.10-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.10&CDS=1-1329
1033	OG0001033	YDR389W	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.11-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.11&CDS=1-1935
1034	OG0001034	YDR390C	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.14-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.14&CDS=1-1860
1035	OG0001035	YDR392W	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.17-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.17&CDS=1-984
1036	OG0001036	YDR394W	maker-NODE_5_length_764704_cov_59.617_ID_1253-augustus-gene-2.113-mRNA-1_1&gene=maker-NODE_5_length_764704_cov_59.617_ID_1253-augustus-gene-2.113&CDS=1-2751
1037	OG0001037	YDR395W	snap_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.130-mRNA-1_1&gene=snap_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.130&CDS=1-2847
1038	OG0001038	YDR397C	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.46-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.46&CDS=1-462
1039	OG0001039	YDR398W	augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.78&CDS=1-3576
1040	OG0001040	YDR402C	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.47-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.47&CDS=1-1476
1041	OG0001041	YDR403W	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.25-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.25&CDS=1-1605
1042	OG0001042	YDR404C	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.48-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.48&CDS=1-513
1043	OG0001043	YDR405W	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.27-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.27&CDS=1-696
1044	OG0001044	YDR407C	augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.106&CDS=1-4629
1045	OG0001045	YDR408C	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.55-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.55&CDS=1-639
1046	OG0001046	YDR412W	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.33-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.33&CDS=1-669
1047	OG0001047	YDR414C	augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.109&CDS=1-1071
1048	OG0001048	YDR416W	snap_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.144-mRNA-1_1&gene=snap_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.144&CDS=1-2439
1049	OG0001049	YDR419W	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.38-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-2.38&CDS=1-1905
1050	OG0001050	YDR421W	snap_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-3.98-mRNA-1_1&gene=snap_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-3.98&CDS=1-2565
1051	OG0001051	YDR422C	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-3.3-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-3.3&CDS=1-2307
1052	OG0001052	YDR424C	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-3.29-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-3.29&CDS=1-261
1053	OG0001053	YDR427W	maker-NODE_5_length_764704_cov_59.617_ID_1253-augustus-gene-3.152-mRNA-1_1&gene=maker-NODE_5_length_764704_cov_59.617_ID_1253-augustus-gene-3.152&CDS=1-2961
1054	OG0001054	YDR428C	snap_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-3.129-mRNA-1_1&gene=snap_masked-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-3.129&CDS=1-750
1055	OG0001055	YDR429C	genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-3.31-mRNA-1_1&gene=genemark-NODE_5_length_764704_cov_59.617_ID_1253-processed-gene-3.31&CDS=1-828
