	OrthologID	Saccharomyces_cerevisiae	Saprochaete_clavata
316	OG0000316	YGR141W, YPR157W	-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-gi|736520329|emb|CBXB010000067.1|-processed-gene-0.149&CDS=1-1383
317	OG0000317	YGR143W, YPR159W	-processed-gene-0.75-mRNA-1_1&gene=snap_masked-gi|736520421|emb|CBXB010000013.1|-processed-gene-0.75&CDS=1-2487
318	OG0000318	YGR197C, YJR015W	-processed-gene-1.51-mRNA-1_1&gene=snap_masked-gi|736520417|emb|CBXB010000015.1|-processed-gene-1.51&CDS=1-1431
319	OG0000319	YGR204W	-processed-gene-1.70-mRNA-1_1&gene=snap_masked-gi|736520374|emb|CBXB010000041.1|-processed-gene-1.70&CDS=1-2955, -processed-gene-2.66-mRNA-1_1&gene=snap_masked-gi|736520356|emb|CBXB010000051.1|-processed-gene-2.66&CDS=1-2826
320	OG0000320	YGR209C, YLR043C	-processed-gene-0.18-mRNA-1_1&gene=snap_masked-gi|736520290|emb|CBXB010000106.1|-processed-gene-0.18&CDS=1-417
321	OG0000321	YGR214W, YLR048W	-processed-gene-0.214-mRNA-1_1&gene=augustus_masked-gi|736520373|emb|CBXB010000042.1|-processed-gene-0.214&CDS=1-795
322	OG0000322	YGR238C, YHR158C	-processed-gene-0.133-mRNA-1_1&gene=snap_masked-gi|736520283|emb|CBXB010000113.1|-processed-gene-0.133&CDS=1-4404
323	OG0000323	YGR241C, YHR161C	-processed-gene-0.54-mRNA-1_1&gene=snap_masked-gi|736520413|emb|CBXB010000017.1|-processed-gene-0.54&CDS=1-2082
324	OG0000324	YGR243W, YHR162W	-snap-gene-0.12-mRNA-1_1&gene=maker-gi|736520284|emb|CBXB010000112.1|-snap-gene-0.12&CDS=1-411
325	OG0000325	YGR248W, YHR163W	-snap-gene-0.95-mRNA-1_1&gene=maker-gi|736520344|emb|CBXB010000057.1|-snap-gene-0.95&CDS=1-864
326	OG0000326	YGR254W, YHR174W	-processed-gene-1.120-mRNA-1_1&gene=snap_masked-gi|736520320|emb|CBXB010000076.1|-processed-gene-1.120&CDS=1-1317
327	OG0000327	YGR273C, YMR295C	-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-gi|736520297|emb|CBXB010000099.1|-processed-gene-0.31&CDS=1-597
328	OG0000328	YGR279C, YMR305C	-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-gi|736520237|emb|CBXB010000150.1|-processed-gene-0.31&CDS=1-1149
329	OG0000329	YGR283C, YMR310C	-processed-gene-1.118-mRNA-1_1&gene=snap_masked-gi|736520320|emb|CBXB010000076.1|-processed-gene-1.118&CDS=1-1239
330	OG0000330	YGR284C	-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-gi|736520310|emb|CBXB010000086.1|-processed-gene-0.136&CDS=1-987, -processed-gene-0.179-mRNA-1_1&gene=snap_masked-gi|736520310|emb|CBXB010000086.1|-processed-gene-0.179&CDS=1-1002
331	OG0000331	YHL001W, YKL006W	-snap-gene-0.10-mRNA-1_1&gene=maker-gi|736520229|emb|CBXB010000155.1|-snap-gene-0.10&CDS=1-408
332	OG0000332	YHL003C, YKL008C	-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-gi|736520402|emb|CBXB010000023.1|-processed-gene-0.23&CDS=1-1476
333	OG0000333	YHL017W, YKL039W	-augustus-gene-0.3-mRNA-1_1&gene=maker-gi|736520396|emb|CBXB010000027.1|-augustus-gene-0.3&CDS=1-1782
334	OG0000334	YHL021C	-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-gi|736520170|emb|CBXB010000208.1|-processed-gene-0.11&CDS=1-1182, -processed-gene-0.48-mRNA-1_1&gene=snap_masked-gi|736520356|emb|CBXB010000051.1|-processed-gene-0.48&CDS=1-1446
335	OG0000335	YHL033C, YLL045C	-processed-gene-3.88-mRNA-1_1&gene=snap_masked-gi|736520429|emb|CBXB010000009.1|-processed-gene-3.88&CDS=1-729
336	OG0000336	YHL039W, YPL208W	-processed-gene-0.134-mRNA-1_1&gene=snap_masked-gi|736520385|emb|CBXB010000034.1|-processed-gene-0.134&CDS=1-1845
337	OG0000337	YHR001W, YKR003W	-processed-gene-1.29-mRNA-1_1&gene=snap_masked-gi|736520370|emb|CBXB010000044.1|-processed-gene-1.29&CDS=1-1482
338	OG0000338	YHR008C	-snap-gene-0.1-mRNA-1_1&gene=maker-gi|736520246|emb|CBXB010000144.1|-snap-gene-0.1&CDS=1-681, -snap-gene-0.133-mRNA-1_1&gene=maker-gi|736520281|emb|CBXB010000115.1|-snap-gene-0.133&CDS=1-663
339	OG0000339	YHR021C, YKL156W	-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-gi|736520333|emb|CBXB010000063.1|-processed-gene-0.105&CDS=1-246
340	OG0000340	YHR071W, YNL289W	-processed-gene-0.60-mRNA-1_1&gene=snap_masked-gi|736520379|emb|CBXB010000038.1|-processed-gene-0.60&CDS=1-1239
341	OG0000341	YHR115C, YNL116W	-snap-gene-0.10-mRNA-1_1&gene=maker-gi|736520231|emb|CBXB010000154.1|-snap-gene-0.10&CDS=1-1497
342	OG0000342	YHR117W, YNL121C	-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-gi|736520286|emb|CBXB010000110.1|-processed-gene-0.116&CDS=1-1791
343	OG0000343	YHR123W, YNL130C	-snap-gene-0.21-mRNA-1_1&gene=maker-gi|736520347|emb|CBXB010000055.1|-snap-gene-0.21&CDS=1-1302
344	OG0000344	YHR131C, YNL144C	-processed-gene-0.67-mRNA-1_1&gene=snap_masked-gi|736520362|emb|CBXB010000049.1|-processed-gene-0.67&CDS=1-1797
345	OG0000345	YHR132W-A, YNL157W	-processed-gene-0.42-mRNA-1_1&gene=snap_masked-gi|736520368|emb|CBXB010000045.1|-processed-gene-0.42&CDS=1-624
346	OG0000346	YHR133C, YNL156C	-processed-gene-0.28-mRNA-1_1&gene=snap_masked-gi|736520261|emb|CBXB010000135.1|-processed-gene-0.28&CDS=1-1305
347	OG0000347	YHR141C, YNL162W	-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-gi|736520242|emb|CBXB010000147.1|-processed-gene-0.25&CDS=1-318
348	OG0000348	YHR146W, YNL173C	-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-gi|736520243|emb|CBXB010000146.1|-processed-gene-0.29&CDS=1-1191
349	OG0000349	YHR155W, YNL257C	-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-gi|736520339|emb|CBXB010000059.1|-processed-gene-1.39&CDS=1-4239
350	OG0000350	YHR198C, YHR199C	-processed-gene-1.147-mRNA-1_1&gene=snap_masked-gi|736520390|emb|CBXB010000031.1|-processed-gene-1.147&CDS=1-1011
351	OG0000351	YHR203C, YJR145C	-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-gi|736520441|emb|CBXB010000001.1|-processed-gene-0.82&CDS=1-789
352	OG0000352	YIL009W, YMR246W	-processed-gene-2.147-mRNA-1_1&gene=snap_masked-gi|736520316|emb|CBXB010000080.1|-processed-gene-2.147&CDS=1-2070
353	OG0000353	YIL085C, YNL029C	-processed-gene-3.93-mRNA-1_1&gene=snap_masked-gi|736520429|emb|CBXB010000009.1|-processed-gene-3.93&CDS=1-2385
354	OG0000354	YIL095W, YNL020C	-snap-gene-0.65-mRNA-1_1&gene=maker-gi|736520250|emb|CBXB010000142.1|-snap-gene-0.65&CDS=1-3537
355	OG0000355	YIL105C, YNL047C	-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-gi|736520333|emb|CBXB010000063.1|-processed-gene-0.87&CDS=1-2460
356	OG0000356	YIL111W, YNL052W	-processed-gene-0.40-mRNA-1_1&gene=snap_masked-gi|736520275|emb|CBXB010000121.1|-processed-gene-0.40&CDS=1-456
357	OG0000357	YIL113W, YNL053W	-snap-gene-0.49-mRNA-1_1&gene=maker-gi|736520413|emb|CBXB010000017.1|-snap-gene-0.49&CDS=1-1737
358	OG0000358	YIL131C, YNL068C	-processed-gene-0.28-mRNA-1_1&gene=snap_masked-gi|736520290|emb|CBXB010000106.1|-processed-gene-0.28&CDS=1-4317
359	OG0000359	YIL133C, YNL069C	-processed-gene-0.57-mRNA-1_1&gene=snap_masked-gi|736520407|emb|CBXB010000020.1|-processed-gene-0.57&CDS=1-597
360	OG0000360	YIL151C, YKR096W	-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-gi|736520272|emb|CBXB010000124.1|-processed-gene-0.42&CDS=1-2814
361	OG0000361	YIR033W, YKL020C	-snap-gene-0.15-mRNA-1_1&gene=maker-gi|736520225|emb|CBXB010000158.1|-snap-gene-0.15&CDS=1-3906
362	OG0000362	YJL076W, YKR010C	-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-gi|736520322|emb|CBXB010000074.1|-processed-gene-1.138&CDS=1-2943
363	OG0000363	YJL079C, YKR013W	-processed-gene-0.43-mRNA-1_1&gene=snap_masked-gi|736520202|emb|CBXB010000177.1|-processed-gene-0.43&CDS=1-1113
364	OG0000364	YJL081C	-processed-gene-0.30-mRNA-1_1&gene=snap_masked-gi|736520254|emb|CBXB010000140.1|-processed-gene-0.30&CDS=1-1308, -snap-gene-0.77-mRNA-1_1&gene=maker-gi|736520306|emb|CBXB010000090.1|-snap-gene-0.77&CDS=1-1395
365	OG0000365	YJL082W, YKR018C	-processed-gene-0.62-mRNA-1_1&gene=snap_masked-gi|736520239|emb|CBXB010000149.1|-processed-gene-0.62&CDS=1-2337
366	OG0000366	YJL083W, YKR019C	-processed-gene-0.13-mRNA-1_1&gene=snap_masked-gi|736520254|emb|CBXB010000140.1|-processed-gene-0.13&CDS=1-4272
367	OG0000367	YJL084C, YKR021W	-processed-gene-3.71-mRNA-1_1&gene=snap_masked-gi|736520379|emb|CBXB010000038.1|-processed-gene-3.71&CDS=1-3444
368	OG0000368	YJL094C	-processed-gene-0.12-mRNA-1_1&gene=snap_masked-gi|736520405|emb|CBXB010000021.1|-processed-gene-0.12&CDS=1-2769, -snap-gene-0.140-mRNA-1_1&gene=maker-gi|736520332|emb|CBXB010000064.1|-snap-gene-0.140&CDS=1-2799
369	OG0000369	YJL098W, YKR028W	-processed-gene-0.69-mRNA-1_1&gene=snap_masked-gi|736520221|emb|CBXB010000161.1|-processed-gene-0.69&CDS=1-3135
370	OG0000370	YJL105W, YKR029C	-processed-gene-0.71-mRNA-1_1&gene=snap_masked-gi|736520316|emb|CBXB010000080.1|-processed-gene-0.71&CDS=1-3933
371	OG0000371	YJL112W, YKR036C	-processed-gene-0.40-mRNA-1_1&gene=snap_masked-gi|736520333|emb|CBXB010000063.1|-processed-gene-0.40&CDS=1-2046
372	OG0000372	YJL133W, YKR052C	-processed-gene-1.83-mRNA-1_1&gene=snap_masked-gi|736520378|emb|CBXB010000039.1|-processed-gene-1.83&CDS=1-1227
373	OG0000373	YJL134W, YKR053C	-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-gi|736520275|emb|CBXB010000121.1|-processed-gene-0.71&CDS=1-1761
374	OG0000374	YJL136C, YKR057W	-processed-gene-0.35-mRNA-1_1&gene=snap_masked-gi|736520356|emb|CBXB010000051.1|-processed-gene-0.35&CDS=1-261
375	OG0000375	YJL137C, YKR058W	-processed-gene-1.73-mRNA-1_1&gene=snap_masked-gi|736520422|emb|CBXB010000012.1|-processed-gene-1.73&CDS=1-2154
376	OG0000376	YJL138C, YKR059W	-snap-gene-0.20-mRNA-1_1&gene=maker-gi|736520220|emb|CBXB010000162.1|-snap-gene-0.20&CDS=1-1188
377	OG0000377	YJL139C, YKR061W	-processed-gene-0.17-mRNA-1_1&gene=snap_masked-gi|736520326|emb|CBXB010000070.1|-processed-gene-0.17&CDS=1-1569
378	OG0000378	YJL172W, YOL153C	-processed-gene-0.5-mRNA-1_1&gene=snap_masked-gi|736520234|emb|CBXB010000152.1|-processed-gene-0.5&CDS=1-1923
379	OG0000379	YJL177W, YKL180W	-processed-gene-1.136-mRNA-1_1&gene=snap_masked-gi|736520390|emb|CBXB010000031.1|-processed-gene-1.136&CDS=1-507
380	OG0000380	YJL190C, YLR367W	-snap-gene-0.111-mRNA-1_1&gene=maker-gi|736520293|emb|CBXB010000103.1|-snap-gene-0.111&CDS=1-390
381	OG0000381	YJR040W	-processed-gene-0.37-mRNA-1_1&gene=snap_masked-gi|736520390|emb|CBXB010000031.1|-processed-gene-0.37&CDS=1-2739, -processed-gene-1.64-mRNA-1_1&gene=augustus_masked-gi|736520242|emb|CBXB010000147.1|-processed-gene-1.64&CDS=1-2817
382	OG0000382	YJR091C, YPR042C	-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-gi|736520332|emb|CBXB010000064.1|-processed-gene-0.103&CDS=1-4002
383	OG0000383	YJR092W	-processed-gene-0.136-mRNA-1_1&gene=snap_masked-gi|736520385|emb|CBXB010000034.1|-processed-gene-0.136&CDS=1-5694, -processed-gene-1.13-mRNA-1_1&gene=snap_masked-gi|736520370|emb|CBXB010000044.1|-processed-gene-1.13&CDS=1-3123
384	OG0000384	YJR094W-A, YPR043W	-processed-gene-2.145-mRNA-1_1&gene=genemark-gi|736520335|emb|CBXB010000062.1|-processed-gene-2.145&CDS=1-282
385	OG0000385	YJR096W	-processed-gene-5.21-mRNA-1_1&gene=snap_masked-gi|736520429|emb|CBXB010000009.1|-processed-gene-5.21&CDS=1-855, -snap-gene-1.31-mRNA-1_1&gene=maker-gi|736520435|emb|CBXB010000005.1|-snap-gene-1.31&CDS=1-1704
386	OG0000386	YJR127C, YML081W	-augustus-gene-0.126-mRNA-1_1&gene=maker-gi|736520407|emb|CBXB010000020.1|-augustus-gene-0.126&CDS=1-4896
387	OG0000387	YJR130C, YML082W	-processed-gene-0.55-mRNA-1_1&gene=snap_masked-gi|736520438|emb|CBXB010000003.1|-processed-gene-0.55&CDS=1-1863
388	OG0000388	YKL046C	-processed-gene-1.67-mRNA-1_1&gene=snap_masked-gi|736520356|emb|CBXB010000051.1|-processed-gene-1.67&CDS=1-1374, -processed-gene-1.75-mRNA-1_1&gene=snap_masked-gi|736520300|emb|CBXB010000096.1|-processed-gene-1.75&CDS=1-1314
389	OG0000389	YKL050C, YMR031C	-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-gi|736520284|emb|CBXB010000112.1|-processed-gene-0.128&CDS=1-3144
390	OG0000390	YKL051W	-processed-gene-0.109-mRNA-1_1&gene=snap_masked-gi|736520389|emb|CBXB010000032.1|-processed-gene-0.109&CDS=1-906, -processed-gene-2.64-mRNA-1_1&gene=snap_masked-gi|736520379|emb|CBXB010000038.1|-processed-gene-2.64&CDS=1-1134
391	OG0000391	YKL072W, YMR053C	-processed-gene-0.11-mRNA-1_1&gene=genemark-gi|736520265|emb|CBXB010000131.1|-processed-gene-0.11&CDS=1-3723
392	OG0000392	YKL094W	-augustus-gene-0.1-mRNA-1_1&gene=maker-gi|736520383|emb|CBXB010000036.1|-augustus-gene-0.1&CDS=1-975, -processed-gene-0.110-mRNA-1_1&gene=snap_masked-gi|736520283|emb|CBXB010000113.1|-processed-gene-0.110&CDS=1-936
393	OG0000393	YKL103C	-augustus-gene-0.19-mRNA-1_1&gene=maker-gi|736520225|emb|CBXB010000158.1|-augustus-gene-0.19&CDS=1-1479, -processed-gene-0.52-mRNA-1_1&gene=snap_masked-gi|736520229|emb|CBXB010000155.1|-processed-gene-0.52&CDS=1-1635
394	OG0000394	YKL116C	-processed-gene-0.33-mRNA-1_1&gene=snap_masked-gi|736520410|emb|CBXB010000019.1|-processed-gene-0.33&CDS=1-3594, -processed-gene-0.8-mRNA-1_1&gene=snap_masked-gi|736520291|emb|CBXB010000105.1|-processed-gene-0.8&CDS=1-2655
395	OG0000395	YKL121W, YMR102C	-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-gi|736520283|emb|CBXB010000113.1|-processed-gene-0.59&CDS=1-3228
396	OG0000396	YKL132C, YMR113W	-processed-gene-1.39-mRNA-1_1&gene=snap_masked-gi|736520379|emb|CBXB010000038.1|-processed-gene-1.39&CDS=1-1374
397	OG0000397	YKL133C, YMR115W	-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-gi|736520365|emb|CBXB010000047.1|-processed-gene-0.29&CDS=1-1662
398	OG0000398	YKL141W, YMR118C	-processed-gene-0.12-mRNA-1_1&gene=snap_masked-gi|736520254|emb|CBXB010000140.1|-processed-gene-0.12&CDS=1-537
399	OG0000399	YKR001C	-processed-gene-0.132-mRNA-1_1&gene=snap_masked-gi|736520384|emb|CBXB010000035.1|-processed-gene-0.132&CDS=1-2037, -processed-gene-0.58-mRNA-1_1&gene=snap_masked-gi|736520435|emb|CBXB010000005.1|-processed-gene-0.58&CDS=1-2067
400	OG0000400	YKR066C	-processed-gene-0.0-mRNA-1_1&gene=snap_masked-gi|736520114|emb|CBXB010000247.1|-processed-gene-0.0&CDS=1-876, -processed-gene-0.115-mRNA-1_1&gene=snap_masked-gi|736520278|emb|CBXB010000118.1|-processed-gene-0.115&CDS=1-1179
401	OG0000401	YKR076W, YMR251W	-snap-gene-0.61-mRNA-1_1&gene=maker-gi|736520323|emb|CBXB010000073.1|-snap-gene-0.61&CDS=1-960
402	OG0000402	YKR089C, YOR081C	-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-gi|736520313|emb|CBXB010000083.1|-processed-gene-0.6&CDS=1-1974
403	OG0000403	YKR093W	-processed-gene-0.27-mRNA-1_1&gene=snap_masked-gi|736520175|emb|CBXB010000203.1|-processed-gene-0.27&CDS=1-1770, -processed-gene-0.75-mRNA-1_1&gene=snap_masked-gi|736520271|emb|CBXB010000125.1|-processed-gene-0.75&CDS=1-1779
404	OG0000404	YLL010C, YLR019W	-processed-gene-1.66-mRNA-1_1&gene=snap_masked-gi|736520431|emb|CBXB010000008.1|-processed-gene-1.66&CDS=1-1824
405	OG0000405	YLL012W, YLR020C	-processed-gene-0.7-mRNA-1_1&gene=snap_masked-gi|736520291|emb|CBXB010000105.1|-processed-gene-0.7&CDS=1-1806
406	OG0000406	YLL016W, YLR310C	-snap-gene-0.91-mRNA-1_1&gene=maker-gi|736520310|emb|CBXB010000086.1|-snap-gene-0.91&CDS=1-5451
407	OG0000407	YLR027C	-processed-gene-1.83-mRNA-1_1&gene=snap_masked-gi|736520383|emb|CBXB010000036.1|-processed-gene-1.83&CDS=1-1308, -snap-gene-0.9-mRNA-1_1&gene=maker-gi|736520229|emb|CBXB010000155.1|-snap-gene-0.9&CDS=1-1332
408	OG0000408	YLR029C, YMR121C	-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-gi|736520420|emb|CBXB010000014.1|-processed-gene-1.74&CDS=1-618
409	OG0000409	YLR047C	-processed-gene-0.210-mRNA-1_1&gene=snap_masked-gi|736520310|emb|CBXB010000086.1|-processed-gene-0.210&CDS=1-2628, -processed-gene-0.68-mRNA-1_1&gene=augustus_masked-gi|736520429|emb|CBXB010000009.1|-processed-gene-0.68&CDS=1-1821
410	OG0000410	YLR107W	-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-gi|736520339|emb|CBXB010000059.1|-processed-gene-0.14&CDS=1-1542, -snap-gene-0.61-mRNA-1_1&gene=maker-gi|736520339|emb|CBXB010000059.1|-snap-gene-0.61&CDS=1-993
411	OG0000411	YLR130C	-processed-gene-1.65-mRNA-1_1&gene=snap_masked-gi|736520422|emb|CBXB010000012.1|-processed-gene-1.65&CDS=1-1320, -snap-gene-0.82-mRNA-1_1&gene=maker-gi|736520387|emb|CBXB010000033.1|-snap-gene-0.82&CDS=1-1098
412	OG0000412	YLR153C	-processed-gene-1.106-mRNA-1_1&gene=snap_masked-gi|736520422|emb|CBXB010000012.1|-processed-gene-1.106&CDS=1-1986, -snap-gene-0.78-mRNA-1_1&gene=maker-gi|736520365|emb|CBXB010000047.1|-snap-gene-0.78&CDS=1-2007
413	OG0000413	YLR178C, YLR179C	-processed-gene-0.54-mRNA-1_1&gene=snap_masked-gi|736520397|emb|CBXB010000026.1|-processed-gene-0.54&CDS=1-876
414	OG0000414	YLR216C	-processed-gene-0.95-mRNA-1_1&gene=snap_masked-gi|736520424|emb|CBXB010000011.1|-processed-gene-0.95&CDS=1-1203, -snap-gene-0.79-mRNA-1_1&gene=maker-gi|736520410|emb|CBXB010000019.1|-snap-gene-0.79&CDS=1-1140
415	OG0000415	YLR260W, YOR171C	-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-gi|736520246|emb|CBXB010000144.1|-processed-gene-0.34&CDS=1-1851
416	OG0000416	YLR270W, YOR173W	-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-gi|736520379|emb|CBXB010000038.1|-processed-gene-0.39&CDS=1-885
417	OG0000417	YLR287C-A, YOR182C	-snap-gene-1.66-mRNA-1_1&gene=maker-gi|736520335|emb|CBXB010000062.1|-snap-gene-1.66&CDS=1-795
418	OG0000418	YLR307W, YLR308W	-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-gi|736520310|emb|CBXB010000086.1|-processed-gene-0.121&CDS=1-1503
419	OG0000419	YLR342W	-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-gi|736520310|emb|CBXB010000086.1|-processed-gene-0.118&CDS=1-5937, -processed-gene-0.26-mRNA-1_1&gene=snap_masked-gi|736520320|emb|CBXB010000076.1|-processed-gene-0.26&CDS=1-6042
420	OG0000420	YLR383W	-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-gi|736520358|emb|CBXB010000050.1|-processed-gene-0.58&CDS=1-3171, -processed-gene-4.31-mRNA-1_1&gene=snap_masked-gi|736520429|emb|CBXB010000009.1|-processed-gene-4.31&CDS=1-3540
421	OG0000421	YLR441C, YML063W	-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-gi|736520417|emb|CBXB010000015.1|-processed-gene-1.29&CDS=1-768
422	OG0000422	YLR450W, YML075C	-processed-gene-0.146-mRNA-1_1&gene=snap_masked-gi|736520278|emb|CBXB010000118.1|-processed-gene-0.146&CDS=1-3279
423	OG0000423	YLR456W, YPR172W	-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-gi|736520335|emb|CBXB010000062.1|-processed-gene-2.55&CDS=1-579
424	OG0000424	YML088W	-processed-gene-0.24-mRNA-1_1&gene=snap_masked-gi|736520309|emb|CBXB010000087.1|-processed-gene-0.24&CDS=1-2370, -processed-gene-5.99-mRNA-1_1&gene=augustus_masked-gi|736520429|emb|CBXB010000009.1|-processed-gene-5.99&CDS=1-1800
425	OG0000425	YML100W, YMR261C	-snap-gene-0.146-mRNA-1_1&gene=maker-gi|736520393|emb|CBXB010000029.1|-snap-gene-0.146&CDS=1-4959
426	OG0000426	YML106W, YMR271C	-processed-gene-0.105-mRNA-1_1&gene=snap_masked-gi|736520300|emb|CBXB010000096.1|-processed-gene-0.105&CDS=1-660
427	OG0000427	YML109W, YMR273C	-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-gi|736520374|emb|CBXB010000041.1|-processed-gene-1.133&CDS=1-4485
428	OG0000428	YML118W, YMR285C	-processed-gene-0.147-mRNA-1_1&gene=snap_masked-gi|736520283|emb|CBXB010000113.1|-processed-gene-0.147&CDS=1-1518
429	OG0000429	YMR008C, YOL011W	-processed-gene-4.23-mRNA-1_1&gene=snap_masked-gi|736520429|emb|CBXB010000009.1|-processed-gene-4.23&CDS=1-1914
430	OG0000430	YMR089C	-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-gi|736520291|emb|CBXB010000105.1|-processed-gene-0.23&CDS=1-2295, -processed-gene-0.48-mRNA-1_1&gene=snap_masked-gi|736520239|emb|CBXB010000149.1|-processed-gene-0.48&CDS=1-2526
431	OG0000431	YMR119W, YNL008C	-processed-gene-1.17-mRNA-1_1&gene=genemark-gi|736520376|emb|CBXB010000040.1|-processed-gene-1.17&CDS=1-2436
432	OG0000432	YMR177W, YPL224C	-processed-gene-0.29-mRNA-1_1&gene=snap_masked-gi|736520305|emb|CBXB010000091.1|-processed-gene-0.29&CDS=1-1809
433	OG0000433	YMR182C, YPL230W	-processed-gene-1.188-mRNA-1_1&gene=snap_masked-gi|736520387|emb|CBXB010000033.1|-processed-gene-1.188&CDS=1-2574
434	OG0000434	YMR183C, YPL232W	-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-gi|736520212|emb|CBXB010000169.1|-processed-gene-0.46&CDS=1-927
435	OG0000435	YMR222C, YOR280C	-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-gi|736520429|emb|CBXB010000009.1|-processed-gene-0.62&CDS=1-864
436	OG0000436	YMR230W, YOR293W	-processed-gene-2.91-mRNA-1_1&gene=snap_masked-gi|736520356|emb|CBXB010000051.1|-processed-gene-2.91&CDS=1-357
437	OG0000437	YMR237W, YOR299W	-processed-gene-0.69-mRNA-1_1&gene=snap_masked-gi|736520407|emb|CBXB010000020.1|-processed-gene-0.69&CDS=1-2103
438	OG0000438	YMR242C, YOR312C	-processed-gene-0.68-mRNA-1_1&gene=snap_masked-gi|736520370|emb|CBXB010000044.1|-processed-gene-0.68&CDS=1-489
439	OG0000439	YMR243C, YOR316C	-snap-gene-0.54-mRNA-1_1&gene=maker-gi|736520252|emb|CBXB010000141.1|-snap-gene-0.54&CDS=1-1641
440	OG0000440	YMR253C, YPL264C	-processed-gene-0.32-mRNA-1_1&gene=snap_masked-gi|736520275|emb|CBXB010000121.1|-processed-gene-0.32&CDS=1-1824
441	OG0000441	YNL026W	-processed-gene-0.31-mRNA-1_1&gene=snap_masked-gi|736520429|emb|CBXB010000009.1|-processed-gene-0.31&CDS=1-1590, -processed-gene-1.40-mRNA-1_1&gene=snap_masked-gi|736520370|emb|CBXB010000044.1|-processed-gene-1.40&CDS=1-1692
442	OG0000442	YNL087W, YOR086C	-processed-gene-0.65-mRNA-1_1&gene=snap_masked-gi|736520299|emb|CBXB010000097.1|-processed-gene-0.65&CDS=1-4521
443	OG0000443	YNL096C, YOR096W	-snap-gene-1.124-mRNA-1_1&gene=maker-gi|736520300|emb|CBXB010000096.1|-snap-gene-1.124&CDS=1-573
444	OG0000444	YNL097C, YOR064C	-processed-gene-0.37-mRNA-1_1&gene=snap_masked-gi|736520365|emb|CBXB010000047.1|-processed-gene-0.37&CDS=1-1854
445	OG0000445	YNL098C, YOR101W	-snap-gene-0.143-mRNA-1_1&gene=maker-gi|736520289|emb|CBXB010000107.1|-snap-gene-0.143&CDS=1-906
446	OG0000446	YNL104C, YOR108W	-processed-gene-0.20-mRNA-1_1&gene=snap_masked-gi|736520231|emb|CBXB010000154.1|-processed-gene-0.20&CDS=1-1809
447	OG0000447	YNL106C, YOR109W	-processed-gene-1.94-mRNA-1_1&gene=snap_masked-gi|736520356|emb|CBXB010000051.1|-processed-gene-1.94&CDS=1-3534
448	OG0000448	YNL108C, YOR110W	-snap-gene-0.56-mRNA-1_1&gene=maker-gi|736520250|emb|CBXB010000142.1|-snap-gene-0.56&CDS=1-1704
449	OG0000449	YNL238W	-processed-gene-0.25-mRNA-1_1&gene=snap_masked-gi|736520431|emb|CBXB010000008.1|-processed-gene-0.25&CDS=1-2229, -processed-gene-0.27-mRNA-1_1&gene=snap_masked-gi|736520194|emb|CBXB010000184.1|-processed-gene-0.27&CDS=1-2670
450	OG0000450	YNL293W, YOL112W	-processed-gene-0.23-mRNA-1_1&gene=snap_masked-gi|736520328|emb|CBXB010000068.1|-processed-gene-0.23&CDS=1-2880
451	OG0000451	YNL294C	-processed-gene-0.17-mRNA-1_1&gene=snap_masked-gi|736520328|emb|CBXB010000068.1|-processed-gene-0.17&CDS=1-2601, -processed-gene-0.57-mRNA-1_1&gene=snap_masked-gi|736520392|emb|CBXB010000030.1|-processed-gene-0.57&CDS=1-3309
