	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034632_Candida_athensensis
281	OG0000281	YER064C, YIL056W	snap_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-0.25&CDS=1-1602
282	OG0000282	YER066W, YFL009W	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-11.174-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-11.174&CDS=1-2058
283	OG0000283	YER067W, YIL057C	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-9.93-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-9.93&CDS=1-603
284	OG0000284	YER131W, YGL189C	genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-1.28-mRNA-1_1&gene=genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-1.28&CDS=1-369
285	OG0000285	YER132C, YGL197W	snap_masked-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-9.184-mRNA-1_1&gene=snap_masked-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-9.184&CDS=1-4353
286	OG0000286	YER145C	genemark-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-1.133-mRNA-1_1&gene=genemark-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-1.133&CDS=1-1182, genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-4.33-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-4.33&CDS=1-1152
287	OG0000287	YER166W	genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-0.5&CDS=1-5145, maker-NODE_1_length_1722945_cov_13.4341_ID_1-augustus-gene-2.64-mRNA-1_1&gene=maker-NODE_1_length_1722945_cov_13.4341_ID_1-augustus-gene-2.64&CDS=1-8571
288	OG0000288	YFL004W, YPL019C	genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-4.20-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-4.20&CDS=1-2397
289	OG0000289	YFL034C-A, YLR061W	snap_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-13.50-mRNA-1_1&gene=snap_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-13.50&CDS=1-357
290	OG0000290	YFL061W, YNL335W	genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.163-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.163&CDS=1-678
291	OG0000291	YFR007W	augustus_masked-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-3.70&CDS=1-1431, snap_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-6.108-mRNA-1_1&gene=snap_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-6.108&CDS=1-675
292	OG0000292	YFR013W, YOL017W	snap_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-7.67-mRNA-1_1&gene=snap_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-7.67&CDS=1-2229
293	OG0000293	YFR024C-A, YHR016C	genemark-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-3.130-mRNA-1_1&gene=genemark-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-3.130&CDS=1-1200
294	OG0000294	YFR031C-A, YIL018W	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-0.90-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-0.90&CDS=1-7044
295	OG0000295	YGL031C, YGR148C	genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-5.134-mRNA-1_1&gene=genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-5.134&CDS=1-468
296	OG0000296	YGL049C, YGR162W	genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-1.26-mRNA-1_1&gene=genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-1.26&CDS=1-2904
297	OG0000297	YGL076C, YPL198W	augustus_masked-NODE_13_length_49352_cov_18.0191_ID_25-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_13_length_49352_cov_18.0191_ID_25-processed-gene-0.32&CDS=1-723
298	OG0000298	YGL134W, YPL219W	genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-11.7-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-11.7&CDS=1-978
299	OG0000299	YGL135W, YPL220W	genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-5.120-mRNA-1_1&gene=genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-5.120&CDS=1-651
300	OG0000300	YGL147C, YNL067W	genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-6.167-mRNA-1_1&gene=genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-6.167&CDS=1-573
301	OG0000301	YGL162W, YPR009W	augustus_masked-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-1.83&CDS=1-933
302	OG0000302	YGL179C	genemark-NODE_11_length_252262_cov_15.7886_ID_21-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_11_length_252262_cov_15.7886_ID_21-processed-gene-0.47&CDS=1-3336, genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-3.14-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-3.14&CDS=1-1776
303	OG0000303	YGL205W	genemark-NODE_11_length_252262_cov_15.7886_ID_21-processed-gene-1.87-mRNA-1_1&gene=genemark-NODE_11_length_252262_cov_15.7886_ID_21-processed-gene-1.87&CDS=1-2106, maker-NODE_2_length_1403861_cov_14.2447_ID_3-augustus-gene-10.150-mRNA-1_1&gene=maker-NODE_2_length_1403861_cov_14.2447_ID_3-augustus-gene-10.150&CDS=1-4176
304	OG0000304	YGR019W	genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-3.281-mRNA-1_1&gene=genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-3.281&CDS=1-1410, genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-10.76-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-10.76&CDS=1-1476
305	OG0000305	YGR027C, YLR333C	augustus_masked-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-6.293-mRNA-1_1&gene=augustus_masked-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-6.293&CDS=1-792
306	OG0000306	YGR056W, YLR357W	maker-NODE_11_length_252262_cov_15.7886_ID_21-augustus-gene-1.91-mRNA-1_1&gene=maker-NODE_11_length_252262_cov_15.7886_ID_21-augustus-gene-1.91&CDS=1-3111
307	OG0000307	YGR070W, YLR371W	genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-3.5-mRNA-1_1&gene=genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-3.5&CDS=1-3957
308	OG0000308	YGR085C, YPR102C	genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-0.82-mRNA-1_1&gene=genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-0.82&CDS=1-522
309	OG0000309	YGR092W, YPR111W	genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-2.43-mRNA-1_1&gene=genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-2.43&CDS=1-1728
310	OG0000310	YGR108W, YPR119W	genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.160-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.160&CDS=1-1203
311	OG0000311	YGR118W, YPR132W	genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-1.96-mRNA-1_1&gene=genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-1.96&CDS=1-435
312	OG0000312	YGR121C, YPR138C	genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-10.73-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-10.73&CDS=1-1377
313	OG0000313	YGR131W, YPR149W	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-5.133-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-5.133&CDS=1-510
314	OG0000314	YGR136W, YPR154W	genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-8.54-mRNA-1_1&gene=genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-8.54&CDS=1-1155
315	OG0000315	YGR138C, YPR156C	augustus_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-1.138&CDS=1-1749
316	OG0000316	YGR141W, YPR157W	genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-3.79-mRNA-1_1&gene=genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-3.79&CDS=1-1320
317	OG0000317	YGR184C	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-1.122-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-1.122&CDS=1-5289, snap_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-1.24-mRNA-1_1&gene=snap_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-1.24&CDS=1-5766
318	OG0000318	YGR189C	augustus_masked-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-4.33&CDS=1-1539, genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-1.119-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-1.119&CDS=1-1284
319	OG0000319	YGR209C, YLR043C	genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-2.139-mRNA-1_1&gene=genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-2.139&CDS=1-309
320	OG0000320	YGR214W, YLR048W	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-1.76-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-1.76&CDS=1-783
321	OG0000321	YGR238C, YHR158C	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-15.102-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-15.102&CDS=1-3123
322	OG0000322	YGR241C, YHR161C	genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-4.63-mRNA-1_1&gene=genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-4.63&CDS=1-1935
323	OG0000323	YGR248W, YHR163W	genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-1.111-mRNA-1_1&gene=genemark-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-1.111&CDS=1-753
324	OG0000324	YGR254W	genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-5.60-mRNA-1_1&gene=genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-5.60&CDS=1-1317, genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-0.18&CDS=1-1317
325	OG0000325	YGR283C, YMR310C	maker-NODE_1_length_1722945_cov_13.4341_ID_1-augustus-gene-1.62-mRNA-1_1&gene=maker-NODE_1_length_1722945_cov_13.4341_ID_1-augustus-gene-1.62&CDS=1-2472
326	OG0000326	YHL001W, YKL006W	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-14.36-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-14.36&CDS=1-402
327	OG0000327	YHL003C, YKL008C	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-16.168-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-16.168&CDS=1-1239
328	OG0000328	YHL017W, YKL039W	genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.155-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.155&CDS=1-1656
329	OG0000329	YHR001W, YKR003W	genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-1.13-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-1.13&CDS=1-1173
330	OG0000330	YHR021C, YKL156W	augustus_masked-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-1.176-mRNA-1_1&gene=augustus_masked-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-1.176&CDS=1-246
331	OG0000331	YHR068W	augustus_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-10.25-mRNA-1_1&gene=augustus_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-10.25&CDS=1-2643, genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-3.120-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-3.120&CDS=1-1533
332	OG0000332	YHR115C, YNL116W	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-8.104-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-8.104&CDS=1-1470
333	OG0000333	YHR117W, YNL121C	maker-NODE_2_length_1403861_cov_14.2447_ID_3-augustus-gene-12.130-mRNA-1_1&gene=maker-NODE_2_length_1403861_cov_14.2447_ID_3-augustus-gene-12.130&CDS=1-3585
334	OG0000334	YHR131C, YNL144C	genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-6.142-mRNA-1_1&gene=genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-6.142&CDS=1-1812
335	OG0000335	YHR132W-A, YNL157W	genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-0.104-mRNA-1_1&gene=genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-0.104&CDS=1-372
336	OG0000336	YHR135C	genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-1.68-mRNA-1_1&gene=genemark-NODE_8_length_678611_cov_12.7469_ID_15-processed-gene-1.68&CDS=1-1335, snap_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-9.30-mRNA-1_1&gene=snap_masked-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-9.30&CDS=1-1362
337	OG0000337	YHR141C, YNL162W	genemark-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-5.164-mRNA-1_1&gene=genemark-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-5.164&CDS=1-318
338	OG0000338	YHR179W, YPL171C	maker-NODE_5_length_808207_cov_12.9991_ID_9-snap-gene-5.124-mRNA-1_1&gene=maker-NODE_5_length_808207_cov_12.9991_ID_9-snap-gene-5.124&CDS=1-3597
339	OG0000339	YHR198C, YHR199C	maker-NODE_14_length_36272_cov_15.7489_ID_27-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_14_length_36272_cov_15.7489_ID_27-augustus-gene-0.2&CDS=1-2853
340	OG0000340	YHR203C, YJR145C	genemark-NODE_11_length_252262_cov_15.7886_ID_21-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_11_length_252262_cov_15.7886_ID_21-processed-gene-0.22&CDS=1-786
341	OG0000341	YHR208W, YJR148W	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-2.53-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-2.53&CDS=1-1188
342	OG0000342	YIL105C, YNL047C	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-16.184-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-16.184&CDS=1-2256
343	OG0000343	YIL113W, YNL053W	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-16.191-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-16.191&CDS=1-1152
344	OG0000344	YIL120W, YIL121W	genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-5.112-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-5.112&CDS=1-1449
345	OG0000345	YIL135C, YNL074C	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-3.0-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-3.0&CDS=1-975
346	OG0000346	YIL149C, YKR095W	snap_masked-NODE_12_length_144101_cov_15.7091_ID_23-processed-gene-0.131-mRNA-1_1&gene=snap_masked-NODE_12_length_144101_cov_15.7091_ID_23-processed-gene-0.131&CDS=1-5292
347	OG0000347	YIL151C, YKR096W	genemark-NODE_12_length_144101_cov_15.7091_ID_23-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_12_length_144101_cov_15.7091_ID_23-processed-gene-0.91&CDS=1-3300
348	OG0000348	YIL156W, YKR098C	maker-NODE_2_length_1403861_cov_14.2447_ID_3-augustus-gene-2.4-mRNA-1_1&gene=maker-NODE_2_length_1403861_cov_14.2447_ID_3-augustus-gene-2.4&CDS=1-4065
349	OG0000349	YIL160C	genemark-NODE_12_length_144101_cov_15.7091_ID_23-processed-gene-0.104-mRNA-1_1&gene=genemark-NODE_12_length_144101_cov_15.7091_ID_23-processed-gene-0.104&CDS=1-1248, genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-14.24-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-14.24&CDS=1-1248
350	OG0000350	YIR013C, YLR013W	genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-1.108-mRNA-1_1&gene=genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-1.108&CDS=1-795
351	OG0000351	YIR031C, YNL117W	augustus_masked-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-1.57&CDS=1-2271
352	OG0000352	YJL045W, YKL148C	maker-NODE_3_length_1063087_cov_13.4636_ID_5-snap-gene-2.3-mRNA-1_1&gene=maker-NODE_3_length_1063087_cov_13.4636_ID_5-snap-gene-2.3&CDS=1-3573
353	OG0000353	YJL068C	augustus_masked-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-6.269-mRNA-1_1&gene=augustus_masked-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-6.269&CDS=1-2379, augustus_masked-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-2.131&CDS=1-1533
354	OG0000354	YJL076W, YKR010C	augustus_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-11.123-mRNA-1_1&gene=augustus_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-11.123&CDS=1-2085
355	OG0000355	YJL079C, YKR013W	genemark-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-2.43-mRNA-1_1&gene=genemark-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-2.43&CDS=1-741
356	OG0000356	YJL082W, YKR018C	genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-5.113-mRNA-1_1&gene=genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-5.113&CDS=1-2631
357	OG0000357	YJL084C, YKR021W	genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-3.7-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-3.7&CDS=1-2670
358	OG0000358	YJL105W, YKR029C	snap_masked-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-5.24-mRNA-1_1&gene=snap_masked-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-5.24&CDS=1-2919
359	OG0000359	YJL134W, YKR053C	genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-8.62-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-8.62&CDS=1-1434
360	OG0000360	YJL138C, YKR059W	maker-NODE_2_length_1403861_cov_14.2447_ID_3-snap-gene-8.5-mRNA-1_1&gene=maker-NODE_2_length_1403861_cov_14.2447_ID_3-snap-gene-8.5&CDS=1-2994
361	OG0000361	YJL158C, YJL160C	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-5.141-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-5.141&CDS=1-912
362	OG0000362	YJL177W, YKL180W	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-11.181-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-11.181&CDS=1-876
363	OG0000363	YJR019C	maker-NODE_10_length_477794_cov_14.1593_ID_19-snap-gene-0.118-mRNA-1_1&gene=maker-NODE_10_length_477794_cov_14.1593_ID_19-snap-gene-0.118&CDS=1-1878, snap_masked-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-1.141-mRNA-1_1&gene=snap_masked-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-1.141&CDS=1-999
364	OG0000364	YJR054W, YML047C	augustus_masked-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-3.125-mRNA-1_1&gene=augustus_masked-NODE_5_length_808207_cov_12.9991_ID_9-processed-gene-3.125&CDS=1-3750
365	OG0000365	YJR059W, YKL198C	genemark-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-5.171-mRNA-1_1&gene=genemark-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-5.171&CDS=1-2094
366	OG0000366	YJR091C, YPR042C	genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-3.73-mRNA-1_1&gene=genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-3.73&CDS=1-2943
367	OG0000367	YJR094W-A, YPR043W	maker-NODE_6_length_775093_cov_13.7984_ID_11-augustus-gene-3.57-mRNA-1_1&gene=maker-NODE_6_length_775093_cov_13.7984_ID_11-augustus-gene-3.57&CDS=1-846
368	OG0000368	YKL043W	augustus_masked-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-0.0&CDS=1-1470, augustus_masked-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-9.251-mRNA-1_1&gene=augustus_masked-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-9.251&CDS=1-528
369	OG0000369	YKL050C, YMR031C	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-8.109-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-8.109&CDS=1-2109
370	OG0000370	YKL071W	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-0.76-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-0.76&CDS=1-753, genemark-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-0.129-mRNA-1_1&gene=genemark-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-0.129&CDS=1-747
371	OG0000371	YKL072W, YMR053C	genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-6.246-mRNA-1_1&gene=genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-6.246&CDS=1-2643
372	OG0000372	YKL121W, YMR102C	genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.102-mRNA-1_1&gene=genemark-NODE_9_length_677365_cov_14.4922_ID_17-processed-gene-5.102&CDS=1-2523
373	OG0000373	YKL126W, YMR104C	genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-5.58-mRNA-1_1&gene=genemark-NODE_4_length_843707_cov_17.0791_ID_7-processed-gene-5.58&CDS=1-1926
374	OG0000374	YKL129C, YMR109W	augustus_masked-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-2.144&CDS=1-12795
375	OG0000375	YKL132C, YMR113W	augustus_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-5.151-mRNA-1_1&gene=augustus_masked-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-5.151&CDS=1-2934
376	OG0000376	YKL141W, YMR118C	genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-1.102-mRNA-1_1&gene=genemark-NODE_6_length_775093_cov_13.7984_ID_11-processed-gene-1.102&CDS=1-504
377	OG0000377	YKR028W	genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-3.257-mRNA-1_1&gene=genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-3.257&CDS=1-2544, genemark-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-2.57-mRNA-1_1&gene=genemark-NODE_7_length_686466_cov_12.8236_ID_13-processed-gene-2.57&CDS=1-2694
378	OG0000378	YKR075C, YOR062C	genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-10.51-mRNA-1_1&gene=genemark-NODE_2_length_1403861_cov_14.2447_ID_3-processed-gene-10.51&CDS=1-609
379	OG0000379	YKR076W, YMR251W	genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-3.288-mRNA-1_1&gene=genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-3.288&CDS=1-984
380	OG0000380	YKR097W	genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-6.37-mRNA-1_1&gene=genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-6.37&CDS=1-1533, maker-NODE_12_length_144101_cov_15.7091_ID_23-augustus-gene-0.190-mRNA-1_1&gene=maker-NODE_12_length_144101_cov_15.7091_ID_23-augustus-gene-0.190&CDS=1-6267
381	OG0000381	YLL012W, YLR020C	genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-1.47-mRNA-1_1&gene=genemark-NODE_10_length_477794_cov_14.1593_ID_19-processed-gene-1.47&CDS=1-1416
382	OG0000382	YLL053C, YPR192W	genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-2.153-mRNA-1_1&gene=genemark-NODE_3_length_1063087_cov_13.4636_ID_5-processed-gene-2.153&CDS=1-840
383	OG0000383	YLR031W, YMR124W	genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-11.166-mRNA-1_1&gene=genemark-NODE_1_length_1722945_cov_13.4341_ID_1-processed-gene-11.166&CDS=1-3108
