	OrthologID	Arxula_adeninivorans	Saccharomyces_cerevisiae
338	OG0000338	augustus_masked-Arad1D-processed-gene-17.108-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.108&CDS=1-2220	YJL082W, YKR018C
339	OG0000339	augustus_masked-Arad1D-processed-gene-19.75-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-19.75&CDS=1-303	YMR194W, YPL249C-A
340	OG0000340	maker-Arad1D-snap-gene-20.164-mRNA-1_1&gene=maker-Arad1D-snap-gene-20.164&CDS=1-1968	YOR390W, YPL279C
341	OG0000341	augustus_masked-Arad1D-processed-gene-20.90-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-20.90&CDS=1-324	YEL039C, YJR048W
342	OG0000342	augustus_masked-Arad1D-processed-gene-20.69-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-20.69&CDS=1-1566	YJL134W, YKR053C
343	OG0000343	augustus_masked-Arad1D-processed-gene-20.96-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-20.96&CDS=1-1212	YMR177W, YPL224C
344	OG0000344	maker-Arad1D-augustus-gene-20.168-mRNA-1_1&gene=maker-Arad1D-augustus-gene-20.168&CDS=1-2862	YBR214W, YGL056C
345	OG0000345	augustus_masked-Arad1D-processed-gene-22.36-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-22.36&CDS=1-1479, genemark-Arad1D-processed-gene-20.48-mRNA-1_1&gene=genemark-Arad1D-processed-gene-20.48&CDS=1-1596	YHR048W
346	OG0000346	augustus_masked-Arad1D-processed-gene-21.6-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-21.6&CDS=1-1581	YIR013C, YLR013W
347	OG0000347	augustus_masked-Arad1D-processed-gene-21.12-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-21.12&CDS=1-918	YDR277C, YOR047C
348	OG0000348	augustus_masked-Arad1D-processed-gene-21.36-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-21.36&CDS=1-516	YMR242C, YOR312C
349	OG0000349	snap_masked-Arad1D-processed-gene-21.92-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-21.92&CDS=1-1179	YBR273C, YJL048C
350	OG0000350	augustus_masked-Arad1D-processed-gene-21.42-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-21.42&CDS=1-1725	YLR044C, YLR134W
351	OG0000351	augustus_masked-Arad1D-processed-gene-22.38-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-22.38&CDS=1-363	YER056C-A, YIL052C
352	OG0000352	augustus_masked-Arad1D-processed-gene-22.18-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-22.18&CDS=1-1776	YJL172W, YOL153C
353	OG0000353	augustus_masked-Arad1D-processed-gene-22.40-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-22.40&CDS=1-201	YLR264W, YOR167C
354	OG0000354	augustus_masked-Arad1D-processed-gene-22.23-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-22.23&CDS=1-2169	YER054C, YIL045W
355	OG0000355	augustus_masked-Arad1D-processed-gene-23.131-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-23.131&CDS=1-309	YBR009C, YNL030W
356	OG0000356	maker-Arad1D-snap-gene-23.65-mRNA-1_1&gene=maker-Arad1D-snap-gene-23.65&CDS=1-2448	YDR458C, YML034W
357	OG0000357	augustus_masked-Arad1D-processed-gene-23.163-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-23.163&CDS=1-549	YKL141W, YMR118C
358	OG0000358	augustus_masked-Arad1D-processed-gene-24.5-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-24.5&CDS=1-3597	YOR227W, YPL137C
359	OG0000359	augustus_masked-Arad1D-processed-gene-25.26-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-25.26&CDS=1-1281	YDR312W, YHR066W
360	OG0000360	augustus_masked-Arad1D-processed-gene-25.50-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-25.50&CDS=1-1437, augustus_masked-Arad1D-processed-gene-26.107-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-26.107&CDS=1-966	YIL154C
361	OG0000361	augustus_masked-Arad1D-processed-gene-26.72-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-26.72&CDS=1-1380	YHR115C, YNL116W
362	OG0000362	augustus_masked-Arad1D-processed-gene-26.111-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-26.111&CDS=1-558	YJL177W, YKL180W
363	OG0000363	augustus_masked-Arad1D-processed-gene-26.82-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-26.82&CDS=1-606	YAL007C, YOR016C
364	OG0000364	augustus_masked-Arad1D-processed-gene-28.93-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-28.93&CDS=1-2598	YDR389W, YOR134W
365	OG0000365	augustus_masked-Arad1D-processed-gene-29.135-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-29.135&CDS=1-1434	YDR300C, YHR033W
366	OG0000366	augustus_masked-Arad1D-processed-gene-29.143-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-29.143&CDS=1-1218	YIL113W, YNL053W
367	OG0000367	augustus_masked-Arad1D-processed-gene-30.57-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-30.57&CDS=1-2934	YAL017W, YOL045W
368	OG0000368	snap_masked-Arad1D-processed-gene-30.2-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-30.2&CDS=1-504	YIL111W, YNL052W
369	OG0000369	augustus_masked-Arad1D-processed-gene-30.61-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-30.61&CDS=1-1578	YIL120W, YIL121W
370	OG0000370	augustus_masked-Arad1D-processed-gene-30.62-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-30.62&CDS=1-960	YBR054W, YDR033W
371	OG0000371	augustus_masked-Arad1D-processed-gene-30.79-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-30.79&CDS=1-918	YAL015C, YOL043C
372	OG0000372	augustus_masked-Arad1D-processed-gene-30.82-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-30.82&CDS=1-579	YDR453C, YML028W
373	OG0000373	maker-Arad1D-augustus-gene-30.97-mRNA-1_1&gene=maker-Arad1D-augustus-gene-30.97&CDS=1-273	YJR094W-A, YPR043W
374	OG0000374	augustus_masked-Arad1D-processed-gene-30.72-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-30.72&CDS=1-4272	YNL087W, YOR086C
375	OG0000375	augustus_masked-Arad1D-processed-gene-30.94-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-30.94&CDS=1-1344	YML118W, YMR285C
376	OG0000376	augustus_masked-Arad1D-processed-gene-31.142-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-31.142&CDS=1-1710	YJL112W, YKR036C
377	OG0000377	augustus_masked-Arad1D-processed-gene-31.147-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-31.147&CDS=1-468	YBR048W, YDR025W
378	OG0000378	augustus_masked-Arad1D-processed-gene-31.150-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-31.150&CDS=1-1104	YDL246C, YJR159W
379	OG0000379	augustus_masked-Arad1D-processed-gene-32.79-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-32.79&CDS=1-1896	YHR131C, YNL144C
380	OG0000380	augustus_masked-Arad1D-processed-gene-32.62-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-32.62&CDS=1-813	YDL222C, YNL194C
381	OG0000381	augustus_masked-Arad1D-processed-gene-32.85-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-32.85&CDS=1-2325	YDL224C, YNL197C
382	OG0000382	augustus_masked-Arad1D-processed-gene-32.74-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-32.74&CDS=1-261	YJL136C, YKR057W
383	OG0000383	augustus_masked-Arad1D-processed-gene-33.178-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-33.178&CDS=1-957	YBR161W, YPL057C
384	OG0000384	augustus_masked-Arad1D-processed-gene-33.200-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-33.200&CDS=1-441	YNL302C, YOL121C
385	OG0000385	augustus_masked-Arad1D-processed-gene-33.172-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-33.172&CDS=1-558	YNL301C, YOL120C
386	OG0000386	augustus_masked-Arad1D-processed-gene-34.129-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-34.129&CDS=1-2046	YFL050C, YOL130W
387	OG0000387	augustus_masked-Arad1D-processed-gene-34.134-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-34.134&CDS=1-3111	YLR450W, YML075C
388	OG0000388	augustus_masked-Arad1D-processed-gene-34.163-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-34.163&CDS=1-756, snap_masked-Arad1D-processed-gene-39.62-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-39.62&CDS=1-1185	YIL101C
389	OG0000389	genemark-Arad1D-processed-gene-34.49-mRNA-1_1&gene=genemark-Arad1D-processed-gene-34.49&CDS=1-1257	YDR132C, YLR108C
390	OG0000390	augustus_masked-Arad1D-processed-gene-35.4-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-35.4&CDS=1-1533	YHL039W, YPL208W
391	OG0000391	maker-Arad1D-augustus-gene-35.166-mRNA-1_1&gene=maker-Arad1D-augustus-gene-35.166&CDS=1-1257	YNL108C, YOR110W
392	OG0000392	augustus_masked-Arad1D-processed-gene-36.100-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-36.100&CDS=1-1641	YGR092W, YPR111W
393	OG0000393	augustus_masked-Arad1D-processed-gene-36.79-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-36.79&CDS=1-2823	YBL009W, YGL021W
394	OG0000394	augustus_masked-Arad1D-processed-gene-36.84-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-36.84&CDS=1-282	YGR008C, YLR327C
395	OG0000395	augustus_masked-Arad1D-processed-gene-36.85-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-36.85&CDS=1-2565	YJL084C, YKR021W
396	OG0000396	maker-Arad1D-snap-gene-36.118-mRNA-1_1&gene=maker-Arad1D-snap-gene-36.118&CDS=1-3147	YGL133W, YPL216W
397	OG0000397	augustus_masked-Arad1D-processed-gene-37.50-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-37.50&CDS=1-648	YGL135W, YPL220W
398	OG0000398	augustus_masked-Arad1D-processed-gene-37.53-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-37.53&CDS=1-2154	YGL139W, YPL221W
399	OG0000399	augustus_masked-Arad1D-processed-gene-37.55-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-37.55&CDS=1-3204	YDR122W, YLR096W
400	OG0000400	augustus_masked-Arad1D-processed-gene-37.86-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-37.86&CDS=1-1023	YPR013C, YPR015C
401	OG0000401	augustus_masked-Arad1D-processed-gene-37.91-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-37.91&CDS=1-246	YHR021C, YKL156W
402	OG0000402	augustus_masked-Arad1D-processed-gene-38.17-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-38.17&CDS=1-2256	YFL004W, YPL019C
403	OG0000403	augustus_masked-Arad1D-processed-gene-38.35-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-38.35&CDS=1-1716	YGR138C, YPR156C
404	OG0000404	augustus_masked-Arad1D-processed-gene-40.55-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-40.55&CDS=1-1197	YBR078W, YDR055W
405	OG0000405	snap_masked-Arad1D-processed-gene-40.30-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-40.30&CDS=1-1368	YEL041W, YJR049C
406	OG0000406	genemark-Arad1D-processed-gene-40.132-mRNA-1_1&gene=genemark-Arad1D-processed-gene-40.132&CDS=1-525	YGR085C, YPR102C
407	OG0000407	augustus_masked-Arad1D-processed-gene-40.69-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-40.69&CDS=1-2091	YDR264C, YOR034C
408	OG0000408	maker-Arad1D-augustus-gene-41.4-mRNA-1_1&gene=maker-Arad1D-augustus-gene-41.4&CDS=1-1194	YHR123W, YNL130C
409	OG0000409	augustus_masked-Arad1D-processed-gene-41.35-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-41.35&CDS=1-609	YBL072C, YER102W
410	OG0000410	augustus_masked-Arad1D-processed-gene-41.58-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-41.58&CDS=1-1662	YGL077C, YNR056C
411	OG0000411	maker-Arad1A-snap-gene-0.86-mRNA-1_1&gene=maker-Arad1A-snap-gene-0.86&CDS=1-447	YBR109C
412	OG0000412	maker-Arad1A-augustus-gene-0.137-mRNA-1_1&gene=maker-Arad1A-augustus-gene-0.137&CDS=1-429	YHR051W
413	OG0000413	augustus_masked-Arad1A-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.23&CDS=1-1050	YGL153W
414	OG0000414	augustus_masked-Arad1A-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.25&CDS=1-1605	YPL265W
415	OG0000415	augustus_masked-Arad1A-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.27&CDS=1-1146	YNL001W
416	OG0000416	augustus_masked-Arad1A-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.28&CDS=1-1140	YGL105W
417	OG0000417	augustus_masked-Arad1A-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.6&CDS=1-282	YHR005C-A
418	OG0000418	augustus_masked-Arad1A-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.30&CDS=1-684	YKL087C
419	OG0000419	augustus_masked-Arad1A-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.7&CDS=1-1248	YMR220W
420	OG0000420	augustus_masked-Arad1A-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.33&CDS=1-996	YNL274C
421	OG0000421	augustus_masked-Arad1A-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.11&CDS=1-1020	YMR079W
422	OG0000422	augustus_masked-Arad1A-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.12&CDS=1-459	YGL058W
423	OG0000423	augustus_masked-Arad1A-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.34&CDS=1-1005	YDL144C
424	OG0000424	augustus_masked-Arad1A-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.37&CDS=1-1131	YCR002C
425	OG0000425	augustus_masked-Arad1A-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.13&CDS=1-495	YCR003W
426	OG0000426	augustus_masked-Arad1A-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.38&CDS=1-2307	YJL212C
427	OG0000427	maker-Arad1A-snap-gene-1.0-mRNA-1_1&gene=maker-Arad1A-snap-gene-1.0&CDS=1-2451	YMR032W
428	OG0000428	genemark-Arad1A-processed-gene-1.120-mRNA-1_1&gene=genemark-Arad1A-processed-gene-1.120&CDS=1-1083	YKL060C
429	OG0000429	augustus_masked-Arad1A-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.67&CDS=1-630	YDL072C
430	OG0000430	augustus_masked-Arad1A-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.91&CDS=1-1860	YLR401C
431	OG0000431	augustus_masked-Arad1A-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.68&CDS=1-1023	YLR405W
432	OG0000432	augustus_masked-Arad1A-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.69&CDS=1-1299	YOR303W
433	OG0000433	snap_masked-Arad1A-processed-gene-1.39-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-1.39&CDS=1-1953	YKL054C
434	OG0000434	augustus_masked-Arad1A-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.93&CDS=1-1062	YDR316W
435	OG0000435	augustus_masked-Arad1A-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.70&CDS=1-1047	YDR432W
436	OG0000436	maker-Arad1A-augustus-gene-1.171-mRNA-1_1&gene=maker-Arad1A-augustus-gene-1.171&CDS=1-312	YDL092W
437	OG0000437	augustus_masked-Arad1A-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.96&CDS=1-1740	YDL122W
438	OG0000438	snap_masked-Arad1A-processed-gene-1.44-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-1.44&CDS=1-1008	YNL016W
439	OG0000439	augustus_masked-Arad1A-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.73&CDS=1-1041	YIL083C
440	OG0000440	augustus_masked-Arad1A-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.99&CDS=1-1014	YML128C
441	OG0000441	maker-Arad1A-augustus-gene-1.172-mRNA-1_1&gene=maker-Arad1A-augustus-gene-1.172&CDS=1-1434	YNL026W
442	OG0000442	augustus_masked-Arad1A-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.101&CDS=1-627	YML012W
443	OG0000443	augustus_masked-Arad1A-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.75&CDS=1-2970	YML010W
444	OG0000444	maker-Arad1A-augustus-gene-1.173-mRNA-1_1&gene=maker-Arad1A-augustus-gene-1.173&CDS=1-198	YML009C
445	OG0000445	snap_masked-Arad1A-processed-gene-1.25-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-1.25&CDS=1-4050	YDR443C
446	OG0000446	augustus_masked-Arad1A-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.79&CDS=1-2388	YDL116W
447	OG0000447	augustus_masked-Arad1A-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.106&CDS=1-1266	YDL097C
448	OG0000448	augustus_masked-Arad1A-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.108&CDS=1-2430	YMR154C
449	OG0000449	maker-Arad1A-augustus-gene-1.170-mRNA-1_1&gene=maker-Arad1A-augustus-gene-1.170&CDS=1-2700	YDL090C
450	OG0000450	augustus_masked-Arad1A-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.83&CDS=1-1062	YBL054W
451	OG0000451	augustus_masked-Arad1A-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.109&CDS=1-1554	YER087W
452	OG0000452	augustus_masked-Arad1A-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.110&CDS=1-2388	YBL051C
453	OG0000453	augustus_masked-Arad1A-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.85&CDS=1-1239	YJR122W
454	OG0000454	maker-Arad1A-snap-gene-1.2-mRNA-1_1&gene=maker-Arad1A-snap-gene-1.2&CDS=1-2682	YBR248C
455	OG0000455	augustus_masked-Arad1A-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.111&CDS=1-1455	YGL097W
456	OG0000456	augustus_masked-Arad1A-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.89&CDS=1-1305	YBR247C
457	OG0000457	augustus_masked-Arad1A-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.112&CDS=1-2991	YPL268W
458	OG0000458	augustus_masked-Arad1A-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.90&CDS=1-1242	YLR191W
459	OG0000459	augustus_masked-Arad1A-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.58&CDS=1-1053	YAL039C
460	OG0000460	augustus_masked-Arad1A-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.55&CDS=1-3654	YNL118C
461	OG0000461	snap_masked-Arad1A-processed-gene-2.31-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-2.31&CDS=1-582	YNL090W
462	OG0000462	augustus_masked-Arad1A-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.59&CDS=1-3120	YNL091W
463	OG0000463	augustus_masked-Arad1A-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.60&CDS=1-1158	YAL042W
464	OG0000464	augustus_masked-Arad1A-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.61&CDS=1-2403	YAL041W
465	OG0000465	augustus_masked-Arad1A-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.83&CDS=1-1875	YOR356W
466	OG0000466	augustus_masked-Arad1A-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.63&CDS=1-1926	YOR087W
467	OG0000467	augustus_masked-Arad1A-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.85&CDS=1-855	YGL161C
468	OG0000468	augustus_masked-Arad1A-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.65&CDS=1-567	YLR066W
469	OG0000469	snap_masked-Arad1A-processed-gene-2.38-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-2.38&CDS=1-2886	YLR067C
470	OG0000470	augustus_masked-Arad1A-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.89&CDS=1-2271	YLR069C
471	OG0000471	augustus_masked-Arad1A-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.90&CDS=1-1845	YMR058W
472	OG0000472	augustus_masked-Arad1A-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.91&CDS=1-1176	YNL092W
473	OG0000473	augustus_masked-Arad1A-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.92&CDS=1-2706	YLR071C
474	OG0000474	augustus_masked-Arad1A-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.70&CDS=1-1848	YKL116C
475	OG0000475	augustus_masked-Arad1A-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.94&CDS=1-3753	YLR398C
476	OG0000476	genemark-Arad1A-processed-gene-2.123-mRNA-1_1&gene=genemark-Arad1A-processed-gene-2.123&CDS=1-1329	YKR063C
477	OG0000477	snap_masked-Arad1A-processed-gene-2.22-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-2.22&CDS=1-2292	YJL061W
478	OG0000478	augustus_masked-Arad1A-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.96&CDS=1-402	YBR269C
479	OG0000479	augustus_masked-Arad1A-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.74&CDS=1-1293	YJL060W
480	OG0000480	augustus_masked-Arad1A-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.98&CDS=1-897	YDL236W
481	OG0000481	maker-Arad1A-snap-gene-2.1-mRNA-1_1&gene=maker-Arad1A-snap-gene-2.1&CDS=1-1860	YNL219C
482	OG0000482	augustus_masked-Arad1A-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.99&CDS=1-1284	YNL220W
483	OG0000483	snap_masked-Arad1A-processed-gene-2.26-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-2.26&CDS=1-2130	YNL221C
484	OG0000484	augustus_masked-Arad1A-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.100&CDS=1-3117	YAL035W
485	OG0000485	augustus_masked-Arad1A-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.78&CDS=1-1107	YAL036C
486	OG0000486	augustus_masked-Arad1A-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.56&CDS=1-4101	YDR407C
487	OG0000487	augustus_masked-Arad1A-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.53&CDS=1-684	YPR107C
488	OG0000488	augustus_masked-Arad1A-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.57&CDS=1-2346	YPR105C
489	OG0000489	augustus_masked-Arad1A-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.54&CDS=1-636	YDR408C
490	OG0000490	augustus_masked-Arad1A-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.58&CDS=1-798	YOR157C
491	OG0000491	augustus_masked-Arad1A-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.55&CDS=1-1434	YDR111C
492	OG0000492	augustus_masked-Arad1A-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.77&CDS=1-1107	YOR136W
493	OG0000493	augustus_masked-Arad1A-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.59&CDS=1-711	YPR183W
494	OG0000494	maker-Arad1A-augustus-gene-3.1-mRNA-1_1&gene=maker-Arad1A-augustus-gene-3.1&CDS=1-1788	YDR390C
495	OG0000495	augustus_masked-Arad1A-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.79&CDS=1-1773	YLR088W
496	OG0000496	augustus_masked-Arad1A-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.80&CDS=1-1731	YOR132W
497	OG0000497	augustus_masked-Arad1A-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.61&CDS=1-666	YOR131C
498	OG0000498	maker-Arad1A-augustus-gene-3.3-mRNA-1_1&gene=maker-Arad1A-augustus-gene-3.3&CDS=1-1407	YBR288C
499	OG0000499	augustus_masked-Arad1A-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.82&CDS=1-4998	YOR341W
500	OG0000500	augustus_masked-Arad1A-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.84&CDS=1-2049	YOR317W
501	OG0000501	augustus_masked-Arad1A-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.63&CDS=1-4653	YGL092W
502	OG0000502	augustus_masked-Arad1A-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.85&CDS=1-969	YGL091C
503	OG0000503	maker-Arad1A-augustus-gene-3.2-mRNA-1_1&gene=maker-Arad1A-augustus-gene-3.2&CDS=1-381	YKL084W
504	OG0000504	augustus_masked-Arad1A-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.86&CDS=1-510	YBR244W
