	OrthologID	Metschnikowia_arizonensis	Saccharomyces_cerevisiae
488	OG0000488	augustus_masked-ari-_s50-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-1.52&CDS=1-2427	YBR294W, YLR092W
489	OG0000489	augustus_masked-ari-_s50-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-1.68&CDS=1-1548	YJL137C, YKR058W
490	OG0000490	augustus_masked-ari-_s50-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-1.70&CDS=1-1467	YJL134W, YKR053C
491	OG0000491	maker-ari-_s50-augustus-gene-2.145-mRNA-1_1&gene=maker-ari-_s50-augustus-gene-2.145&CDS=1-2634	YBR205W, YOR099W
492	OG0000492	snap_masked-ari-_s50-processed-gene-2.21-mRNA-1_1&gene=snap_masked-ari-_s50-processed-gene-2.21&CDS=1-3807	YJL076W, YKR010C
493	OG0000493	augustus_masked-ari-_s50-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-2.78&CDS=1-1473, augustus_masked-ari-_s95-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-0.57&CDS=1-1509	YBR006W
494	OG0000494	augustus_masked-ari-_s50-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-2.94&CDS=1-2199	YJR059W, YKL198C
495	OG0000495	augustus_masked-ari-_s50-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-3.58&CDS=1-3060	YCR067C, YNR026C
496	OG0000496	snap_masked-ari-_s50-processed-gene-4.119-mRNA-1_1&gene=snap_masked-ari-_s50-processed-gene-4.119&CDS=1-5304	YIL149C, YKR095W
497	OG0000497	augustus_masked-ari-_s50-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-4.60&CDS=1-3717	YIL151C, YKR096W
498	OG0000498	snap_masked-ari-_s50-processed-gene-4.130-mRNA-1_1&gene=snap_masked-ari-_s50-processed-gene-4.130&CDS=1-759	YIR035C, YIR036C
499	OG0000499	maker-ari-_s50-augustus-gene-4.174-mRNA-1_1&gene=maker-ari-_s50-augustus-gene-4.174&CDS=1-987	YNL302C, YOL121C
500	OG0000500	augustus_masked-ari-_s53-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s53-processed-gene-0.0&CDS=1-3639	YDR379W, YOR127W
501	OG0000501	augustus_masked-ari-_s53-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s53-processed-gene-0.12&CDS=1-2409	YIL156W, YKR098C
502	OG0000502	augustus_masked-ari-_s54-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-ari-_s54-processed-gene-0.74&CDS=1-2634	YKL121W, YMR102C
503	OG0000503	augustus_masked-ari-_s58-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-0.20&CDS=1-771	YDR099W, YER177W
504	OG0000504	augustus_masked-ari-_s58-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-1.59&CDS=1-2979	YBR177C, YPL095C
505	OG0000505	augustus_masked-ari-_s58-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-2.9&CDS=1-1110, augustus_masked-ari-_s9-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-1.73&CDS=1-981	YLR130C
506	OG0000506	augustus_masked-ari-_s58-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-2.16&CDS=1-1728, augustus_masked-ari-_s95-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-1.44&CDS=1-1395	YOR059C
507	OG0000507	augustus_masked-ari-_s58-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-3.92&CDS=1-1650	YHR115C, YNL116W
508	OG0000508	augustus_masked-ari-_s58-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-3.101&CDS=1-273	YER019C-A, YER087C-B
509	OG0000509	augustus_masked-ari-_s62-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-ari-_s62-processed-gene-0.13&CDS=1-4890	YBR210W, YGL054C
510	OG0000510	augustus_masked-ari-_s64-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-ari-_s64-processed-gene-0.42&CDS=1-534	YOR226C, YPL135W
511	OG0000511	augustus_masked-ari-_s64-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-ari-_s64-processed-gene-0.37&CDS=1-2715	YDR251W, YPL032C
512	OG0000512	augustus_masked-ari-_s65-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-ari-_s65-processed-gene-0.64&CDS=1-876	YDR151C, YLR136C
513	OG0000513	augustus_masked-ari-_s66-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s66-processed-gene-0.6&CDS=1-828	YAL015C, YOL043C
514	OG0000514	augustus_masked-ari-_s67-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s67-processed-gene-0.4&CDS=1-435	YGR118W, YPR132W
515	OG0000515	maker-ari-_s69-snap-gene-0.22-mRNA-1_1&gene=maker-ari-_s69-snap-gene-0.22&CDS=1-336	YDL075W, YLR406C
516	OG0000516	augustus_masked-ari-_s7-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-ari-_s7-processed-gene-0.37&CDS=1-903	YBR105C, YGR066C
517	OG0000517	augustus_masked-ari-_s7-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-ari-_s7-processed-gene-0.32&CDS=1-519, augustus_masked-ari-_s78-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-3.25&CDS=1-684	YIR001C
518	OG0000518	augustus_masked-ari-_s72-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-ari-_s72-processed-gene-0.19&CDS=1-573	YGL147C, YNL067W
519	OG0000519	augustus_masked-ari-_s74-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s74-processed-gene-0.1&CDS=1-1878, snap_masked-ari-_s88-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ari-_s88-processed-gene-0.4&CDS=1-207	YOR181W
520	OG0000520	augustus_masked-ari-_s75-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s75-processed-gene-0.0&CDS=1-3042	YKL068W, YMR047C
521	OG0000521	maker-ari-_s78-snap-gene-0.70-mRNA-1_1&gene=maker-ari-_s78-snap-gene-0.70&CDS=1-3198	YML109W, YMR273C
522	OG0000522	augustus_masked-ari-_s78-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-0.41&CDS=1-657	YML106W, YMR271C
523	OG0000523	augustus_masked-ari-_s78-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-0.58&CDS=1-2151	YER066W, YFL009W
524	OG0000524	augustus_masked-ari-_s78-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-0.43&CDS=1-1632, augustus_masked-ari-_s95-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-0.48&CDS=1-1659	YEL060C
525	OG0000525	augustus_masked-ari-_s78-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-1.79&CDS=1-1434	YMR182C, YPL230W
526	OG0000526	augustus_masked-ari-_s78-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-1.85&CDS=1-3297	YIR033W, YKL020C
527	OG0000527	augustus_masked-ari-_s78-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-1.67&CDS=1-2811	YKR089C, YOR081C
528	OG0000528	augustus_masked-ari-_s78-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-1.94&CDS=1-1125	YMR253C, YPL264C
529	OG0000529	augustus_masked-ari-_s78-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-3.36&CDS=1-459	YGL031C, YGR148C
530	OG0000530	augustus_masked-ari-_s78-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-3.41&CDS=1-1935	YDR475C, YOR019W
531	OG0000531	maker-ari-_s84-augustus-gene-0.130-mRNA-1_1&gene=maker-ari-_s84-augustus-gene-0.130&CDS=1-381	YGR034W, YLR344W
532	OG0000532	maker-ari-_s89-augustus-gene-0.38-mRNA-1_1&gene=maker-ari-_s89-augustus-gene-0.38&CDS=1-411	YBL087C, YER117W
533	OG0000533	augustus_masked-ari-_s89-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-ari-_s89-processed-gene-0.60&CDS=1-2391	YIL105C, YNL047C
534	OG0000534	snap_masked-ari-_s89-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ari-_s89-processed-gene-0.26&CDS=1-3903	YGR143W, YPR159W
535	OG0000535	augustus_masked-ari-_s89-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-ari-_s89-processed-gene-0.67&CDS=1-507	YGR131W, YPR149W
536	OG0000536	augustus_masked-ari-_s89-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-ari-_s89-processed-gene-0.69&CDS=1-2214	YDL138W, YDL194W
537	OG0000537	augustus_masked-ari-_s89-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-ari-_s89-processed-gene-0.53&CDS=1-543	YDL137W, YDL192W
538	OG0000538	augustus_masked-ari-_s89-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-ari-_s89-processed-gene-0.54&CDS=1-360	YDL136W, YDL191W
539	OG0000539	augustus_masked-ari-_s89-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-ari-_s89-processed-gene-0.72&CDS=1-945	YGR136W, YPR154W
540	OG0000540	augustus_masked-ari-_s9-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-0.34&CDS=1-1356	YAL062W, YOR375C
541	OG0000541	maker-ari-_s9-augustus-gene-0.0-mRNA-1_1&gene=maker-ari-_s9-augustus-gene-0.0&CDS=1-2931	YCR026C, YEL016C
542	OG0000542	augustus_masked-ari-_s9-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-1.64&CDS=1-708	YBR181C, YPL090C
543	OG0000543	augustus_masked-ari-_s9-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-1.72&CDS=1-2250	YBL067C, YER098W
544	OG0000544	genemark-ari-_s9-processed-gene-1.16-mRNA-1_1&gene=genemark-ari-_s9-processed-gene-1.16&CDS=1-867	YDR272W, YOR040W
545	OG0000545	augustus_masked-ari-_s9-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-1.78&CDS=1-1899	YER064C, YIL056W
546	OG0000546	augustus_masked-ari-_s9-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-2.47&CDS=1-2103	YBR001C, YDR001C
547	OG0000547	augustus_masked-ari-_s9-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-2.71&CDS=1-3504	YJL105W, YKR029C
548	OG0000548	augustus_masked-ari-_s9-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-2.73&CDS=1-2571	YJL082W, YKR018C
549	OG0000549	augustus_masked-ari-_s9-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-2.75&CDS=1-1017	YBR031W, YDR012W
550	OG0000550	augustus_masked-ari-_s9-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-2.66&CDS=1-3072	YBR241C, YGL104C
551	OG0000551	augustus_masked-ari-_s9-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-2.85&CDS=1-447	YIL111W, YNL052W
552	OG0000552	augustus_masked-ari-_s9-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-3.0&CDS=1-1401	YER081W, YIL074C
553	OG0000553	augustus_masked-ari-_s9-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-3.2&CDS=1-1425	YLR260W, YOR171C
554	OG0000554	augustus_masked-ari-_s9-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-3.3&CDS=1-2985	YBL101C, YPR030W
555	OG0000555	augustus_masked-ari-_s9-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-3.9&CDS=1-1182	YDL088C, YMR153W
556	OG0000556	augustus_masked-ari-_s9-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-4.119&CDS=1-1767	YJR130C, YML082W
557	OG0000557	augustus_masked-ari-_s9-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-4.120&CDS=1-3078	YLR450W, YML075C
558	OG0000558	augustus_masked-ari-_s9-processed-gene-5.147-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-5.147&CDS=1-369	YMR230W, YOR293W
559	OG0000559	augustus_masked-ari-_s9-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-5.120&CDS=1-1170	YMR243C, YOR316C
560	OG0000560	genemark-ari-_s94-processed-gene-0.11-mRNA-1_1&gene=genemark-ari-_s94-processed-gene-0.11&CDS=1-1140	YBR066C, YDR043C
561	OG0000561	augustus_masked-ari-_s95-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-0.64&CDS=1-2001	YBR216C, YGL060W
562	OG0000562	snap_masked-ari-_s95-processed-gene-1.177-mRNA-1_1&gene=snap_masked-ari-_s95-processed-gene-1.177&CDS=1-1014	YBR273C, YJL048C
563	OG0000563	augustus_masked-ari-_s95-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-1.22&CDS=1-591	YBL072C, YER102W
564	OG0000564	augustus_masked-ari-_s96-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s96-processed-gene-0.7&CDS=1-1659	YKL127W, YMR105C
565	OG0000565	augustus_masked-ari-_s97-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-ari-_s97-processed-gene-0.39&CDS=1-2550	YDR351W, YHR103W
566	OG0000566	augustus_masked-ari-_s99-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-ari-_s99-processed-gene-0.21&CDS=1-357	YER131W, YGL189C
567	OG0000567	augustus_masked-ari-_C32273-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_C32273-processed-gene-0.1&CDS=1-711	YEL001C
568	OG0000568	augustus_masked-ari-_C33023-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_C33023-processed-gene-0.2&CDS=1-1125	YPL146C
569	OG0000569	augustus_masked-ari-_C34547-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_C34547-processed-gene-0.0&CDS=1-426	YOL127W
570	OG0000570	augustus_masked-ari-_C34629-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_C34629-processed-gene-0.2&CDS=1-891	YIL134W
571	OG0000571	augustus_masked-ari-_C34629-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_C34629-processed-gene-0.3&CDS=1-1116	YNL072W
572	OG0000572	augustus_masked-ari-_C34861-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_C34861-processed-gene-0.2&CDS=1-2982	YLR039C
573	OG0000573	augustus_masked-ari-_C34863-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_C34863-processed-gene-0.1&CDS=1-660	YDR410C
574	OG0000574	augustus_masked-ari-_C35247-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_C35247-processed-gene-0.4&CDS=1-2928	YBR281C
575	OG0000575	augustus_masked-ari-_C35487-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_C35487-processed-gene-0.2&CDS=1-2007	YJL090C
576	OG0000576	augustus_masked-ari-_C35557-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_C35557-processed-gene-0.9&CDS=1-1215	YKL181W
577	OG0000577	augustus_masked-ari-_C35557-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ari-_C35557-processed-gene-0.10&CDS=1-3357	YLR410W
578	OG0000578	augustus_masked-ari-_s1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.45&CDS=1-852	YHR187W
579	OG0000579	augustus_masked-ari-_s1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.32&CDS=1-3045	YMR288W
580	OG0000580	snap_masked-ari-_s1-processed-gene-0.69-mRNA-1_1&gene=snap_masked-ari-_s1-processed-gene-0.69&CDS=1-2313	YGR261C
581	OG0000581	augustus_masked-ari-_s1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.47&CDS=1-1092	YPL123C
582	OG0000582	augustus_masked-ari-_s1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.48&CDS=1-1341	YER043C
583	OG0000583	augustus_masked-ari-_s1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.52&CDS=1-1455	YFR044C
584	OG0000584	augustus_masked-ari-_s1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.53&CDS=1-879	YOR288C
585	OG0000585	augustus_masked-ari-_s1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.55&CDS=1-1026	YJR100C
586	OG0000586	augustus_masked-ari-_s1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.56&CDS=1-933	YJR095W
587	OG0000587	genemark-ari-_s1-processed-gene-0.25-mRNA-1_1&gene=genemark-ari-_s1-processed-gene-0.25&CDS=1-1386	YNL237W
588	OG0000588	augustus_masked-ari-_s1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.38&CDS=1-2436	YNL238W
589	OG0000589	augustus_masked-ari-_s1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.39&CDS=1-1506	YNL241C
590	OG0000590	augustus_masked-ari-_s1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.41&CDS=1-2790	YNL049C
591	OG0000591	augustus_masked-ari-_s1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.59&CDS=1-1164	YNL051W
592	OG0000592	snap_masked-ari-_s1-processed-gene-0.98-mRNA-1_1&gene=snap_masked-ari-_s1-processed-gene-0.98&CDS=1-540	YNL050C
593	OG0000593	augustus_masked-ari-_s101-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s101-processed-gene-0.4&CDS=1-2385	YPL153C
594	OG0000594	augustus_masked-ari-_s102-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s102-processed-gene-0.2&CDS=1-822	YKL183W
595	OG0000595	augustus_masked-ari-_s102-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s102-processed-gene-0.4&CDS=1-2151	YNR006W
596	OG0000596	augustus_masked-ari-_s102-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s102-processed-gene-0.5&CDS=1-717	YMR200W
597	OG0000597	augustus_masked-ari-_s102-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s102-processed-gene-0.7&CDS=1-648	YMR202W
598	OG0000598	augustus_masked-ari-_s105-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-ari-_s105-processed-gene-0.23&CDS=1-1623	YDR168W
599	OG0000599	augustus_masked-ari-_s105-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-ari-_s105-processed-gene-0.28&CDS=1-2421	YPL190C
600	OG0000600	augustus_masked-ari-_s105-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-ari-_s105-processed-gene-0.24&CDS=1-1035	YMR315W
601	OG0000601	augustus_masked-ari-_s105-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-ari-_s105-processed-gene-0.29&CDS=1-1278	YDR498C
602	OG0000602	augustus_masked-ari-_s105-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-ari-_s105-processed-gene-0.30&CDS=1-819	YIL106W
603	OG0000603	maker-ari-_s106-snap-gene-0.38-mRNA-1_1&gene=maker-ari-_s106-snap-gene-0.38&CDS=1-4035	YHR132C
604	OG0000604	augustus_masked-ari-_s106-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.41&CDS=1-1635	YNL189W
605	OG0000605	augustus_masked-ari-_s106-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.43&CDS=1-2130	YLR144C
606	OG0000606	augustus_masked-ari-_s106-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.44&CDS=1-1308	YCR028C
607	OG0000607	augustus_masked-ari-_s106-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.45&CDS=1-1344	YGL164C
608	OG0000608	snap_masked-ari-_s106-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ari-_s106-processed-gene-0.22&CDS=1-192	YAL044W-A
609	OG0000609	augustus_masked-ari-_s106-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.48&CDS=1-2097	YPL072W
610	OG0000610	genemark-ari-_s106-processed-gene-0.94-mRNA-1_1&gene=genemark-ari-_s106-processed-gene-0.94&CDS=1-588	YER183C
611	OG0000611	augustus_masked-ari-_s106-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.63&CDS=1-1425	YHR207C
612	OG0000612	snap_masked-ari-_s106-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ari-_s106-processed-gene-0.29&CDS=1-732	YER182W
613	OG0000613	augustus_masked-ari-_s106-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.64&CDS=1-1119	YDR005C
614	OG0000614	augustus_masked-ari-_s106-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.66&CDS=1-852	YBR011C
615	OG0000615	augustus_masked-ari-_s106-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.68&CDS=1-1458	YCR098C
616	OG0000616	augustus_masked-ari-_s107-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.2&CDS=1-1767	YAR018C
617	OG0000617	augustus_masked-ari-_s107-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.17&CDS=1-915	YAR015W
618	OG0000618	augustus_masked-ari-_s107-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.3&CDS=1-597	YKL001C
619	OG0000619	augustus_masked-ari-_s107-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.21&CDS=1-1974	YDR026C
620	OG0000620	maker-ari-_s107-augustus-gene-0.93-mRNA-1_1&gene=maker-ari-_s107-augustus-gene-0.93&CDS=1-738	YLR038C
621	OG0000621	augustus_masked-ari-_s107-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.22&CDS=1-699	YMR132C
622	OG0000622	augustus_masked-ari-_s107-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.7&CDS=1-6696	YCR093W
623	OG0000623	augustus_masked-ari-_s107-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.8&CDS=1-660	YDR177W
624	OG0000624	augustus_masked-ari-_s107-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.9&CDS=1-1230	YNR051C
625	OG0000625	augustus_masked-ari-_s107-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.10&CDS=1-519	YBL090W
626	OG0000626	augustus_masked-ari-_s107-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.23&CDS=1-2583	YIL143C
627	OG0000627	augustus_masked-ari-_s107-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.24&CDS=1-1029	YKR092C
628	OG0000628	augustus_masked-ari-_s107-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.25&CDS=1-1122	YOR084W
629	OG0000629	augustus_masked-ari-_s107-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.12&CDS=1-927	YIL145C
630	OG0000630	maker-ari-_s107-augustus-gene-0.94-mRNA-1_1&gene=maker-ari-_s107-augustus-gene-0.94&CDS=1-2247	YGR119C
631	OG0000631	augustus_masked-ari-_s107-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.2&CDS=1-1230	YPR065W
632	OG0000632	augustus_masked-ari-_s107-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.4&CDS=1-1095	YKR071C
633	OG0000633	augustus_masked-ari-_s107-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.3&CDS=1-1914	YIL144W
634	OG0000634	augustus_masked-ari-_s107-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.29&CDS=1-552	YKR085C
635	OG0000635	augustus_masked-ari-_s107-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.6&CDS=1-645	YNL151C
636	OG0000636	augustus_masked-ari-_s107-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.31&CDS=1-1524	YPR137W
637	OG0000637	augustus_masked-ari-_s107-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.32&CDS=1-393	YNL149C
638	OG0000638	augustus_masked-ari-_s107-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.33&CDS=1-717	YNL148C
639	OG0000639	snap_masked-ari-_s107-processed-gene-1.127-mRNA-1_1&gene=snap_masked-ari-_s107-processed-gene-1.127&CDS=1-414	YNL147W
640	OG0000640	augustus_masked-ari-_s107-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.8&CDS=1-648	YHR128W
641	OG0000641	augustus_masked-ari-_s107-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.35&CDS=1-468	YPR187W
642	OG0000642	augustus_masked-ari-_s107-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.36&CDS=1-1119	YPR191W
643	OG0000643	augustus_masked-ari-_s107-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.37&CDS=1-1278	YLR459W
644	OG0000644	augustus_masked-ari-_s107-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.10&CDS=1-435	YPR182W
645	OG0000645	augustus_masked-ari-_s107-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.39&CDS=1-669	YJR123W
646	OG0000646	augustus_masked-ari-_s107-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.14&CDS=1-2733	YPR162C
