	OrthologID	Lachancea_kluyveri	Saccharomyces_cerevisiae
1052	OG0001052	augustus_masked-SAKL0C-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-1.123&CDS=1-681	YLR178C
1053	OG0001053	genemark-SAKL0C-processed-gene-1.62-mRNA-1_1&gene=genemark-SAKL0C-processed-gene-1.62&CDS=1-789	YDR503C
1054	OG0001054	augustus_masked-SAKL0C-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-1.106&CDS=1-1152	YLR180W
1055	OG0001055	augustus_masked-SAKL0C-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-1.124&CDS=1-1365	YLR181C
1056	OG0001056	augustus_masked-SAKL0C-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-1.107&CDS=1-2283	YLR182W
1057	OG0001057	maker-SAKL0C-snap-gene-1.133-mRNA-1_1&gene=maker-SAKL0C-snap-gene-1.133&CDS=1-1593	YDR501W
1058	OG0001058	snap_masked-SAKL0C-processed-gene-1.40-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-1.40&CDS=1-2211	YDR499W
1059	OG0001059	augustus_masked-SAKL0C-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-1.109&CDS=1-756	YLR186W
1060	OG0001060	augustus_masked-SAKL0C-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.72&CDS=1-1953	YNL279W
1061	OG0001061	augustus_masked-SAKL0C-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.73&CDS=1-3459	YLR187W
1062	OG0001062	augustus_masked-SAKL0C-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.76&CDS=1-1446	YNL277W
1063	OG0001063	augustus_masked-SAKL0C-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.87&CDS=1-3960	YLR189C
1064	OG0001064	augustus_masked-SAKL0C-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.88&CDS=1-1371	YER019W
1065	OG0001065	augustus_masked-SAKL0C-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.77&CDS=1-3258	YNL275W
1066	OG0001066	augustus_masked-SAKL0C-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.78&CDS=1-390	YCR043C
1067	OG0001067	augustus_masked-SAKL0C-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.89&CDS=1-1047	YNL274C
1068	OG0001068	augustus_masked-SAKL0C-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.79&CDS=1-4539	YCR042C
1069	OG0001069	augustus_masked-SAKL0C-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.80&CDS=1-2319	YOR154W
1070	OG0001070	augustus_masked-SAKL0C-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.91&CDS=1-1314	YBR157C
1071	OG0001071	augustus_masked-SAKL0C-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.81&CDS=1-3699	YNL273W
1072	OG0001072	augustus_masked-SAKL0C-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.92&CDS=1-1419	YEL064C
1073	OG0001073	augustus_masked-SAKL0C-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.93&CDS=1-2202	YNL272C
1074	OG0001074	snap_masked-SAKL0C-processed-gene-2.15-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-2.15&CDS=1-3075	YNL267W
1075	OG0001075	augustus_masked-SAKL0C-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.83&CDS=1-1152	YGR046W
1076	OG0001076	augustus_masked-SAKL0C-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.98&CDS=1-885	YNL265C
1077	OG0001077	augustus_masked-SAKL0C-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.99&CDS=1-3354	YGR047C
1078	OG0001078	augustus_masked-SAKL0C-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.84&CDS=1-1110	YGR048W
1079	OG0001079	augustus_masked-SAKL0C-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.100&CDS=1-3717	YGL140C
1080	OG0001080	augustus_masked-SAKL0C-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.101&CDS=1-1062	YNL264C
1081	OG0001081	snap_masked-SAKL0C-processed-gene-2.34-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-2.34&CDS=1-843	YGL128C
1082	OG0001082	snap_masked-SAKL0C-processed-gene-2.35-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-2.35&CDS=1-939	YNL263C
1083	OG0001083	augustus_masked-SAKL0C-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.85&CDS=1-6834	YNL262W
1084	OG0001084	augustus_masked-SAKL0C-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.1&CDS=1-1452	YNL261W
1085	OG0001085	augustus_masked-SAKL0C-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.2&CDS=1-1266	YHR156C
1086	OG0001086	augustus_masked-SAKL0C-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.3&CDS=1-495	YNL260C
1087	OG0001087	augustus_masked-SAKL0C-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.4&CDS=1-219	YNL259C
1088	OG0001088	augustus_masked-SAKL0C-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.6&CDS=1-2250	YNL258C
1089	OG0001089	augustus_masked-SAKL0C-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.23&CDS=1-3957	YNL257C
1090	OG0001090	snap_masked-SAKL0C-processed-gene-3.74-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-3.74&CDS=1-1245	YDR058C
1091	OG0001091	augustus_masked-SAKL0C-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.25&CDS=1-1446	YGR255C
1092	OG0001092	augustus_masked-SAKL0C-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.7&CDS=1-2406	YNL256W
1093	OG0001093	augustus_masked-SAKL0C-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.26&CDS=1-474	YNL255C
1094	OG0001094	augustus_masked-SAKL0C-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.27&CDS=1-1119	YNL254C
1095	OG0001095	augustus_masked-SAKL0C-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.8&CDS=1-1446	YNL253W
1096	OG0001096	augustus_masked-SAKL0C-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.28&CDS=1-813	YNL252C
1097	OG0001097	augustus_masked-SAKL0C-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.29&CDS=1-1941	YNL251C
1098	OG0001098	augustus_masked-SAKL0C-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.9&CDS=1-4020	YNL250W
1099	OG0001099	augustus_masked-SAKL0C-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.30&CDS=1-1641	YNL249C
1100	OG0001100	augustus_masked-SAKL0C-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.31&CDS=1-1236	YNL248C
1101	OG0001101	augustus_masked-SAKL0C-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.10&CDS=1-495	YJR097W
1102	OG0001102	augustus_masked-SAKL0C-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.32&CDS=1-1989	YJR098C
1103	OG0001103	augustus_masked-SAKL0C-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.11&CDS=1-2307	YNL247W
1104	OG0001104	maker-SAKL0C-augustus-gene-3.41-mRNA-1_1&gene=maker-SAKL0C-augustus-gene-3.41&CDS=1-849	YNL246W
1105	OG0001105	augustus_masked-SAKL0C-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.33&CDS=1-681	YNL245C
1106	OG0001106	augustus_masked-SAKL0C-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.34&CDS=1-324	YNL244C
1107	OG0001107	augustus_masked-SAKL0C-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.15&CDS=1-3180	YNL243W
1108	OG0001108	augustus_masked-SAKL0C-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.17&CDS=1-864	YLR348C
1109	OG0001109	snap_masked-SAKL0C-processed-gene-3.65-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-3.65&CDS=1-1011	YJL210W
1110	OG0001110	maker-SAKL0C-augustus-gene-3.42-mRNA-1_1&gene=maker-SAKL0C-augustus-gene-3.42&CDS=1-7506	YJL207C
1111	OG0001111	augustus_masked-SAKL0C-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.38&CDS=1-204	YJL205C
1112	OG0001112	augustus_masked-SAKL0C-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.39&CDS=1-2403	YJL204C
1113	OG0001113	augustus_masked-SAKL0C-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.22&CDS=1-1335	YJL203W
1114	OG0001114	augustus_masked-SAKL0C-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.1&CDS=1-1800	YJL201W
1115	OG0001115	augustus_masked-SAKL0C-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.3&CDS=1-879	YKL107W
1116	OG0001116	maker-SAKL0C-snap-gene-4.47-mRNA-1_1&gene=maker-SAKL0C-snap-gene-4.47&CDS=1-2775	YJL197W
1117	OG0001117	augustus_masked-SAKL0C-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.21&CDS=1-1032	YCR036W
1118	OG0001118	augustus_masked-SAKL0C-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.6&CDS=1-1146	YCR035C
1119	OG0001119	genemark-SAKL0C-processed-gene-4.125-mRNA-1_1&gene=genemark-SAKL0C-processed-gene-4.125&CDS=1-1044	YCR034W
1120	OG0001120	genemark-SAKL0C-processed-gene-4.126-mRNA-1_1&gene=genemark-SAKL0C-processed-gene-4.126&CDS=1-4284	YCR033W
1121	OG0001121	augustus_masked-SAKL0C-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.7&CDS=1-1539	YJL194W
1122	OG0001122	maker-SAKL0C-augustus-gene-4.39-mRNA-1_1&gene=maker-SAKL0C-augustus-gene-4.39&CDS=1-1143	YJL193W
1123	OG0001123	augustus_masked-SAKL0C-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.24&CDS=1-6648	YCR032W
1124	OG0001124	augustus_masked-SAKL0C-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.25&CDS=1-672	YJL192C
1125	OG0001125	genemark-SAKL0C-processed-gene-4.109-mRNA-1_1&gene=genemark-SAKL0C-processed-gene-4.109&CDS=1-150	YJL189W
1126	OG0001126	augustus_masked-SAKL0C-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.27&CDS=1-2361	YJL187C
1127	OG0001127	augustus_masked-SAKL0C-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.11&CDS=1-2511	YCR030C
1128	OG0001128	maker-SAKL0C-augustus-gene-4.40-mRNA-1_1&gene=maker-SAKL0C-augustus-gene-4.40&CDS=1-384	YCR028C-A
1129	OG0001129	snap_masked-SAKL0C-processed-gene-4.75-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-4.75&CDS=1-1278	YJL183W
1130	OG0001130	genemark-SAKL0C-processed-gene-4.116-mRNA-1_1&gene=genemark-SAKL0C-processed-gene-4.116&CDS=1-2562	YJR030C
1131	OG0001131	augustus_masked-SAKL0C-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.29&CDS=1-957	YJL180C
1132	OG0001132	augustus_masked-SAKL0C-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.14&CDS=1-330	YJL179W
1133	OG0001133	augustus_masked-SAKL0C-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.30&CDS=1-834	YJL178C
1134	OG0001134	augustus_masked-SAKL0C-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.31&CDS=1-2046	YKL179C
1135	OG0001135	augustus_masked-SAKL0C-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.32&CDS=1-2694	YJL176C
1136	OG0001136	augustus_masked-SAKL0C-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.16&CDS=1-858	YJL174W
1137	OG0001137	augustus_masked-SAKL0C-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.33&CDS=1-348	YJL173C
1138	OG0001138	snap_masked-SAKL0C-processed-gene-4.95-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-4.95&CDS=1-1467	YKL178C
1139	OG0001139	maker-SAKL0C-augustus-gene-4.43-mRNA-1_1&gene=maker-SAKL0C-augustus-gene-4.43&CDS=1-2439	YJL171C
1140	OG0001140	snap_masked-SAKL0C-processed-gene-4.97-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-4.97&CDS=1-525	YJL170C
1141	OG0001141	maker-SAKL0C-snap-gene-4.53-mRNA-1_1&gene=maker-SAKL0C-snap-gene-4.53&CDS=1-2061	YJL168C
1142	OG0001142	maker-SAKL0C-snap-gene-4.52-mRNA-1_1&gene=maker-SAKL0C-snap-gene-4.52&CDS=1-2202	YKL176C
1143	OG0001143	augustus_masked-SAKL0C-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.18&CDS=1-1461	YKL175W
1144	OG0001144	augustus_masked-SAKL0C-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.5&CDS=1-1614	YKL174C
1145	OG0001145	maker-SAKL0C-augustus-gene-5.45-mRNA-1_1&gene=maker-SAKL0C-augustus-gene-5.45&CDS=1-2670	YKL173W
1146	OG0001146	augustus_masked-SAKL0C-processed-gene-5.1-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.1&CDS=1-1251	YKL172W
1147	OG0001147	genemark-SAKL0C-processed-gene-5.101-mRNA-1_1&gene=genemark-SAKL0C-processed-gene-5.101&CDS=1-1329	YJL167W
1148	OG0001148	maker-SAKL0C-snap-gene-5.51-mRNA-1_1&gene=maker-SAKL0C-snap-gene-5.51&CDS=1-2535	YKL171W
1149	OG0001149	augustus_masked-SAKL0C-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.6&CDS=1-414	YKL170W
1150	OG0001150	augustus_masked-SAKL0C-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.24&CDS=1-1836	YJL163C
1151	OG0001151	augustus_masked-SAKL0C-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.25&CDS=1-2772	YKL165C
1152	OG0001152	augustus_masked-SAKL0C-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.26&CDS=1-1749	YJL162C
1153	OG0001153	augustus_masked-SAKL0C-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.7&CDS=1-564	YJL161W
1154	OG0001154	snap_masked-SAKL0C-processed-gene-5.85-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-5.85&CDS=1-246	YPR197C
1155	OG0001155	augustus_masked-SAKL0C-processed-gene-5.30-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.30&CDS=1-594	YJL158C
1156	OG0001156	augustus_masked-SAKL0C-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.31&CDS=1-3465	YJL157C
1157	OG0001157	augustus_masked-SAKL0C-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.32&CDS=1-2244	YJL156C
1158	OG0001158	genemark-SAKL0C-processed-gene-5.133-mRNA-1_1&gene=genemark-SAKL0C-processed-gene-5.133&CDS=1-4143	YJL154C
1159	OG0001159	augustus_masked-SAKL0C-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.10&CDS=1-1056	YKR066C
1160	OG0001160	augustus_masked-SAKL0C-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.11&CDS=1-549	YKR065C
1161	OG0001161	augustus_masked-SAKL0C-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.12&CDS=1-1818	YJL149W
1162	OG0001162	augustus_masked-SAKL0C-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.35&CDS=1-2625	YKR064W
1163	OG0001163	augustus_masked-SAKL0C-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.13&CDS=1-1521	YKR063C
1164	OG0001164	augustus_masked-SAKL0C-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.14&CDS=1-639	YJL148W
1165	OG0001165	augustus_masked-SAKL0C-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.36&CDS=1-879	YKR062W
1166	OG0001166	augustus_masked-SAKL0C-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.37&CDS=1-1092	YJL147C
1167	OG0001167	augustus_masked-SAKL0C-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.15&CDS=1-1281	YJL146W
1168	OG0001168	augustus_masked-SAKL0C-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.16&CDS=1-867	YJL145W
1169	OG0001169	augustus_masked-SAKL0C-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.39&CDS=1-1200	YGR286C
1170	OG0001170	augustus_masked-SAKL0C-processed-gene-5.18-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.18&CDS=1-468	YJL143W
1171	OG0001171	augustus_masked-SAKL0C-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.40&CDS=1-2193	YJL141C
1172	OG0001172	augustus_masked-SAKL0C-processed-gene-5.19-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.19&CDS=1-603	YJL140W
1173	OG0001173	snap_masked-SAKL0C-processed-gene-6.95-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-6.95&CDS=1-813	YKR060W
1174	OG0001174	augustus_masked-SAKL0C-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.9&CDS=1-2895	YKR056W
1175	OG0001175	augustus_masked-SAKL0C-processed-gene-6.4-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.4&CDS=1-12519	YKR054C
1176	OG0001176	augustus_masked-SAKL0C-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.28&CDS=1-246	YJL133C-A
1177	OG0001177	augustus_masked-SAKL0C-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.29&CDS=1-1245	YKR051W
1178	OG0001178	augustus_masked-SAKL0C-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.12&CDS=1-2298	YJL132W
1179	OG0001179	augustus_masked-SAKL0C-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.30&CDS=1-1179	YJL131C
1180	OG0001180	augustus_masked-SAKL0C-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.32&CDS=1-3954	YJL129C
1181	OG0001181	augustus_masked-SAKL0C-processed-gene-6.33-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.33&CDS=1-1917	YJL128C
1182	OG0001182	augustus_masked-SAKL0C-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.34&CDS=1-1944	YJL127C
1183	OG0001183	augustus_masked-SAKL0C-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.14&CDS=1-906	YJL126W
1184	OG0001184	augustus_masked-SAKL0C-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.35&CDS=1-1203	YJL125C
1185	OG0001185	augustus_masked-SAKL0C-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.36&CDS=1-474	YJL124C
1186	OG0001186	augustus_masked-SAKL0C-processed-gene-6.16-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.16&CDS=1-381	YKR049C
1187	OG0001187	augustus_masked-SAKL0C-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.37&CDS=1-1419	YJL123C
1188	OG0001188	augustus_masked-SAKL0C-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.17&CDS=1-486	YJL122W
1189	OG0001189	augustus_masked-SAKL0C-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.38&CDS=1-708	YJL121C
1190	OG0001190	augustus_masked-SAKL0C-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.19&CDS=1-1326	YKR048C
1191	OG0001191	snap_masked-SAKL0C-processed-gene-6.111-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-6.111&CDS=1-966	YKR046C
1192	OG0001192	augustus_masked-SAKL0C-processed-gene-6.41-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.41&CDS=1-891	YKR045C
1193	OG0001193	augustus_masked-SAKL0C-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.21&CDS=1-894	YJL117W
1194	OG0001194	augustus_masked-SAKL0C-processed-gene-6.42-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.42&CDS=1-1356	YKR044W
1195	OG0001195	augustus_masked-SAKL0C-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.22&CDS=1-810	YKR043C
1196	OG0001196	snap_masked-SAKL0C-processed-gene-6.114-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-6.114&CDS=1-1020	YLR224W
1197	OG0001197	augustus_masked-SAKL0C-processed-gene-6.25-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.25&CDS=1-1086	YJL115W
1198	OG0001198	snap_masked-SAKL0C-processed-gene-6.135-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-6.135&CDS=1-876	YKR041W
1199	OG0001199	snap_masked-SAKL0C-processed-gene-6.117-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-6.117&CDS=1-2583	YDL028C
1200	OG0001200	augustus_masked-SAKL0C-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.45&CDS=1-1173	YDL029W
1201	OG0001201	snap_masked-SAKL0C-processed-gene-6.139-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-6.139&CDS=1-1083	YDL027C
1202	OG0001202	snap_masked-SAKL0C-processed-gene-6.140-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-6.140&CDS=1-1446	YOL062C
1203	OG0001203	augustus_masked-SAKL0C-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.27&CDS=1-1413	YOL061W
1204	OG0001204	augustus_masked-SAKL0C-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-7.10&CDS=1-2253	YOL060C
1205	OG0001205	augustus_masked-SAKL0C-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-7.6&CDS=1-1173	YDL022W
1206	OG0001206	augustus_masked-SAKL0C-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-7.11&CDS=1-1170	YJR149W
1207	OG0001207	augustus_masked-SAKL0C-processed-gene-7.7-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-7.7&CDS=1-1254	YOL058W
1208	OG0001208	snap_masked-SAKL0C-processed-gene-7.104-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-7.104&CDS=1-2091	YOL057W
1209	OG0001209	augustus_masked-SAKL0C-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-7.12&CDS=1-897	YOL056W
1210	OG0001210	augustus_masked-SAKL0C-processed-gene-7.34-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-7.34&CDS=1-1722	YDL020C
1211	OG0001211	augustus_masked-SAKL0C-processed-gene-7.36-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-7.36&CDS=1-3927	YAR042W
1212	OG0001212	augustus_masked-SAKL0C-processed-gene-7.37-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-7.37&CDS=1-2091	YAR035W
1213	OG0001213	maker-SAKL0C-snap-gene-7.4-mRNA-1_1&gene=maker-SAKL0C-snap-gene-7.4&CDS=1-2145	YAR018C
1214	OG0001214	augustus_masked-SAKL0C-processed-gene-7.38-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-7.38&CDS=1-915	YAR015W
1215	OG0001215	augustus_masked-SAKL0C-processed-gene-7.16-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-7.16&CDS=1-2094	YAR014C
1216	OG0001216	augustus_masked-SAKL0C-processed-gene-7.17-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-7.17&CDS=1-2766	YBR017C
1217	OG0001217	augustus_masked-SAKL0C-processed-gene-7.18-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-7.18&CDS=1-1623	YIR027C
1218	OG0001218	augustus_masked-SAKL0C-processed-gene-7.39-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-7.39&CDS=1-693	YDL018C
1219	OG0001219	augustus_masked-SAKL0C-processed-gene-7.19-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-7.19&CDS=1-1434	YDL017W
