	OrthologID	Nakaseomyces_delphensis	Saccharomyces_cerevisiae
800	OG0000800	snap_masked-NADE0S03-processed-gene-9.130-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.130&CDS=1-2151	YDR211W
801	OG0000801	snap_masked-NADE0S03-processed-gene-9.156-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.156&CDS=1-1080	YLR226W
802	OG0000802	snap_masked-NADE0S03-processed-gene-9.157-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.157&CDS=1-942	YLR224W
803	OG0000803	snap_masked-NADE0S03-processed-gene-9.132-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.132&CDS=1-2343	YLR223C
804	OG0000804	snap_masked-NADE0S03-processed-gene-9.133-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.133&CDS=1-2469	YLR222C
805	OG0000805	snap_masked-NADE0S03-processed-gene-9.134-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.134&CDS=1-558	YLR221C
806	OG0000806	snap_masked-NADE0S03-processed-gene-9.158-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.158&CDS=1-954	YLR220W
807	OG0000807	snap_masked-NADE0S03-processed-gene-9.159-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.159&CDS=1-2652	YLR219W
808	OG0000808	snap_masked-NADE0S03-processed-gene-9.160-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.160&CDS=1-1527	YBR127C
809	OG0000809	snap_masked-NADE0S03-processed-gene-9.161-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.161&CDS=1-1155	YBR128C
810	OG0000810	snap_masked-NADE0S03-processed-gene-9.162-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.162&CDS=1-942	YBR129C
811	OG0000811	snap_masked-NADE0S03-processed-gene-9.163-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.163&CDS=1-1200	YBR130C
812	OG0000812	snap_masked-NADE0S03-processed-gene-9.135-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.135&CDS=1-2028	YBR131W
813	OG0000813	augustus_masked-NADE0S03-processed-gene-9.107-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-9.107&CDS=1-1722	YBR132C
814	OG0000814	snap_masked-NADE0S03-processed-gene-9.164-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.164&CDS=1-2352	YBR133C
815	OG0000815	augustus_masked-NADE0S03-processed-gene-9.80-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-9.80&CDS=1-7497	YBR136W
816	OG0000816	snap_masked-NADE0S03-processed-gene-9.139-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.139&CDS=1-534	YBR137W
817	OG0000817	snap_masked-NADE0S03-processed-gene-9.165-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.165&CDS=1-696	YLR093C
818	OG0000818	snap_masked-NADE0S03-processed-gene-9.166-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.166&CDS=1-1542	YLR094C
819	OG0000819	snap_masked-NADE0S03-processed-gene-9.167-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.167&CDS=1-2304	YLR095C
820	OG0000820	snap_masked-NADE0S03-processed-gene-9.140-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.140&CDS=1-819	YJL174W
821	OG0000821	snap_masked-NADE0S03-processed-gene-9.168-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.168&CDS=1-348	YJL173C
822	OG0000822	snap_masked-NADE0S03-processed-gene-9.141-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.141&CDS=1-1692	YJL172W
823	OG0000823	snap_masked-NADE0S03-processed-gene-9.169-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.169&CDS=1-2088	YJL168C
824	OG0000824	snap_masked-NADE0S04-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.65&CDS=1-795	YFR052W
825	OG0000825	snap_masked-NADE0S04-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.66&CDS=1-1785	YGL252C
826	OG0000826	snap_masked-NADE0S04-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.44&CDS=1-1638	YFR051C
827	OG0000827	snap_masked-NADE0S04-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.45&CDS=1-795	YFR050C
828	OG0000828	snap_masked-NADE0S04-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.67&CDS=1-357	YFR049W
829	OG0000829	snap_masked-NADE0S04-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.46&CDS=1-351	YBL078C
830	OG0000830	augustus_masked-NADE0S04-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-0.93&CDS=1-1617	YBL080C
831	OG0000831	snap_masked-NADE0S04-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.68&CDS=1-1089	YBL081W
832	OG0000832	snap_masked-NADE0S04-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.69&CDS=1-1338	YBL082C
833	OG0000833	snap_masked-NADE0S04-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.70&CDS=1-3114	YER111C
834	OG0000834	snap_masked-NADE0S04-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.71&CDS=1-1050	YBL074C
835	OG0000835	snap_masked-NADE0S04-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.48&CDS=1-243	YBL071W-A
836	OG0000836	snap_masked-NADE0S04-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.74&CDS=1-3276	YBL066C
837	OG0000837	snap_masked-NADE0S04-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.75&CDS=1-774	YBL064C
838	OG0000838	snap_masked-NADE0S04-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.76&CDS=1-1851	YBL061C
839	OG0000839	maker-NADE0S04-augustus-gene-0.132-mRNA-1_1&gene=maker-NADE0S04-augustus-gene-0.132&CDS=1-303	YBL059C-A
840	OG0000840	augustus_masked-NADE0S04-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-0.95&CDS=1-342	YBL059W
841	OG0000841	snap_masked-NADE0S04-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.49&CDS=1-1158	YBL058W
842	OG0000842	snap_masked-NADE0S04-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.78&CDS=1-633	YBL057C
843	OG0000843	augustus_masked-NADE0S04-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-0.123&CDS=1-1149	YBL055C
844	OG0000844	snap_masked-NADE0S04-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.81&CDS=1-1806	YBL051C
845	OG0000845	snap_masked-NADE0S04-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.53&CDS=1-1665	YLR190W
846	OG0000846	augustus_masked-NADE0S04-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-0.101&CDS=1-1158	YLR191W
847	OG0000847	snap_masked-NADE0S04-processed-gene-0.82-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.82&CDS=1-783	YLR192C
848	OG0000848	augustus_masked-NADE0S04-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-0.127&CDS=1-546	YLR193C
849	OG0000849	snap_masked-NADE0S04-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.56&CDS=1-1692	YGL244W
850	OG0000850	snap_masked-NADE0S04-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.57&CDS=1-1149	YGL243W
851	OG0000851	snap_masked-NADE0S04-processed-gene-0.83-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.83&CDS=1-531	YGL242C
852	OG0000852	snap_masked-NADE0S04-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.58&CDS=1-3048	YGL241W
853	OG0000853	snap_masked-NADE0S04-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.59&CDS=1-744	YGL240W
854	OG0000854	snap_masked-NADE0S04-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.60&CDS=1-2877	YGL238W
855	OG0000855	snap_masked-NADE0S04-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.84&CDS=1-1164	YGL237C
856	OG0000856	augustus_masked-NADE0S04-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-0.130&CDS=1-1935	YGL236C
857	OG0000857	snap_masked-NADE0S04-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.61&CDS=1-2376	YGL234W
858	OG0000858	snap_masked-NADE0S04-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.62&CDS=1-2628	YGL233W
859	OG0000859	snap_masked-NADE0S04-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.63&CDS=1-810	YGL232W
860	OG0000860	snap_masked-NADE0S04-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-0.86&CDS=1-546	YGL231C
861	OG0000861	snap_masked-NADE0S04-processed-gene-1.48-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.48&CDS=1-831	YDL051W
862	OG0000862	snap_masked-NADE0S04-processed-gene-1.51-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.51&CDS=1-789	YDL049C
863	OG0000863	snap_masked-NADE0S04-processed-gene-1.49-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.49&CDS=1-1275	YNL207W
864	OG0000864	snap_masked-NADE0S04-processed-gene-1.52-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.52&CDS=1-1368	YNL206C
865	OG0000865	snap_masked-NADE0S04-processed-gene-1.50-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.50&CDS=1-873	YNL202W
866	OG0000866	snap_masked-NADE0S04-processed-gene-1.53-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.53&CDS=1-2520	YNL201C
867	OG0000867	snap_masked-NADE0S04-processed-gene-1.72-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.72&CDS=1-738	YNL200C
868	OG0000868	augustus_masked-NADE0S04-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-1.127&CDS=1-1659	YNL199C
869	OG0000869	augustus_masked-NADE0S04-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-1.130&CDS=1-1227	YNL195C
870	OG0000870	augustus_masked-NADE0S04-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-1.104&CDS=1-1701	YNL193W
871	OG0000871	snap_masked-NADE0S04-processed-gene-1.55-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.55&CDS=1-3498	YNL192W
872	OG0000872	snap_masked-NADE0S04-processed-gene-1.56-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.56&CDS=1-1083	YNL191W
873	OG0000873	augustus_masked-NADE0S04-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-1.107&CDS=1-630	YNL190W
874	OG0000874	snap_masked-NADE0S04-processed-gene-1.57-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.57&CDS=1-1629	YNL189W
875	OG0000875	augustus_masked-NADE0S04-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-1.109&CDS=1-2112	YNL187W
876	OG0000876	snap_masked-NADE0S04-processed-gene-1.59-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.59&CDS=1-2427	YNL186W
877	OG0000877	snap_masked-NADE0S04-processed-gene-1.78-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.78&CDS=1-447	YNL185C
878	OG0000878	maker-NADE0S04-augustus-gene-1.148-mRNA-1_1&gene=maker-NADE0S04-augustus-gene-1.148&CDS=1-3726	YNL183C
879	OG0000879	snap_masked-NADE0S04-processed-gene-1.60-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.60&CDS=1-1215	YNL181W
880	OG0000880	snap_masked-NADE0S04-processed-gene-1.81-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.81&CDS=1-1110	YNL180C
881	OG0000881	snap_masked-NADE0S04-processed-gene-1.61-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.61&CDS=1-726	YNL178W
882	OG0000882	snap_masked-NADE0S04-processed-gene-1.82-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.82&CDS=1-933	YNL177C
883	OG0000883	snap_masked-NADE0S04-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.85&CDS=1-1122	YNL175C
884	OG0000884	snap_masked-NADE0S04-processed-gene-1.62-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.62&CDS=1-5490	YNL172W
885	OG0000885	snap_masked-NADE0S04-processed-gene-1.87-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.87&CDS=1-1515	YNL169C
886	OG0000886	snap_masked-NADE0S04-processed-gene-1.88-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.88&CDS=1-762	YNL168C
887	OG0000887	snap_masked-NADE0S04-processed-gene-1.89-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.89&CDS=1-1629	YNL167C
888	OG0000888	augustus_masked-NADE0S04-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-1.141&CDS=1-1230	YNL166C
889	OG0000889	snap_masked-NADE0S04-processed-gene-1.63-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.63&CDS=1-1179	YNL165W
890	OG0000890	snap_masked-NADE0S04-processed-gene-1.91-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.91&CDS=1-954	YNL164C
891	OG0000891	snap_masked-NADE0S04-processed-gene-1.92-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.92&CDS=1-3315	YNL163C
892	OG0000892	augustus_masked-NADE0S04-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-1.115&CDS=1-219	YNL162W-A
893	OG0000893	snap_masked-NADE0S04-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.65&CDS=1-2313	YNL161W
894	OG0000894	snap_masked-NADE0S04-processed-gene-1.66-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.66&CDS=1-1101	YNL160W
895	OG0000895	augustus_masked-NADE0S04-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-1.118&CDS=1-1500	YNL142W
896	OG0000896	augustus_masked-NADE0S04-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-1.144&CDS=1-387	YNL153C
897	OG0000897	snap_masked-NADE0S04-processed-gene-1.67-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.67&CDS=1-1038	YNL141W
898	OG0000898	augustus_masked-NADE0S04-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-1.120&CDS=1-861	YNL155W
899	OG0000899	augustus_masked-NADE0S04-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-1.121&CDS=1-990	YNL156C
900	OG0000900	snap_masked-NADE0S04-processed-gene-1.96-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.96&CDS=1-618	YNL158W
901	OG0000901	augustus_masked-NADE0S04-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-1.122&CDS=1-849	YNL159C
902	OG0000902	snap_masked-NADE0S04-processed-gene-1.97-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-1.97&CDS=1-345	YNL147W
903	OG0000903	maker-NADE0S04-augustus-gene-2.78-mRNA-1_1&gene=maker-NADE0S04-augustus-gene-2.78&CDS=1-1140	YNL149C
904	OG0000904	snap_masked-NADE0S04-processed-gene-2.83-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.83&CDS=1-699	YNL151C
905	OG0000905	snap_masked-NADE0S04-processed-gene-2.85-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.85&CDS=1-1278	YNL152W
906	OG0000906	snap_masked-NADE0S04-processed-gene-2.86-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.86&CDS=1-4686	YNL139C
907	OG0000907	augustus_masked-NADE0S04-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-2.42&CDS=1-1566	YNL138W
908	OG0000908	augustus_masked-NADE0S04-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-2.65&CDS=1-1452	YNL137C
909	OG0000909	augustus_masked-NADE0S04-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-2.45&CDS=1-2397	YNL136W
910	OG0000910	augustus_masked-NADE0S04-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-2.66&CDS=1-342	YNL135C
911	OG0000911	snap_masked-NADE0S04-processed-gene-2.88-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.88&CDS=1-3162	YNL132W
912	OG0000912	snap_masked-NADE0S04-processed-gene-2.89-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.89&CDS=1-441	YNL131W
913	OG0000913	snap_masked-NADE0S04-processed-gene-2.90-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.90&CDS=1-714	YNL129W
914	OG0000914	snap_masked-NADE0S04-processed-gene-2.91-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.91&CDS=1-1233	YNL128W
915	OG0000915	augustus_masked-NADE0S04-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-2.49&CDS=1-2823	YNL127W
916	OG0000916	snap_masked-NADE0S04-processed-gene-2.93-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.93&CDS=1-2487	YNL126W
917	OG0000917	snap_masked-NADE0S04-processed-gene-2.94-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.94&CDS=1-1935	YNL124W
918	OG0000918	snap_masked-NADE0S04-processed-gene-2.95-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.95&CDS=1-2955	YNL123W
919	OG0000919	snap_masked-NADE0S04-processed-gene-2.96-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.96&CDS=1-1407	YNL119W
920	OG0000920	snap_masked-NADE0S04-processed-gene-2.117-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.117&CDS=1-2832	YNL118C
921	OG0000921	snap_masked-NADE0S04-processed-gene-2.97-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.97&CDS=1-1662	YNL117W
922	OG0000922	snap_masked-NADE0S04-processed-gene-2.118-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.118&CDS=1-1860	YNL115C
923	OG0000923	snap_masked-NADE0S04-processed-gene-2.100-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.100&CDS=1-417	YNL113W
924	OG0000924	maker-NADE0S04-snap-gene-2.123-mRNA-1_1&gene=maker-NADE0S04-snap-gene-2.123&CDS=1-1626	YNL112W
925	OG0000925	snap_masked-NADE0S04-processed-gene-2.119-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.119&CDS=1-360	YNL111C
926	OG0000926	snap_masked-NADE0S04-processed-gene-2.120-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.120&CDS=1-621	YNL110C
927	OG0000927	augustus_masked-NADE0S04-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-2.58&CDS=1-2658	YOR098C
928	OG0000928	augustus_masked-NADE0S04-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-2.59&CDS=1-381	YOR097C
929	OG0000929	snap_masked-NADE0S04-processed-gene-2.104-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.104&CDS=1-774	YOR095C
930	OG0000930	snap_masked-NADE0S04-processed-gene-2.105-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.105&CDS=1-5079	YOR093C
931	OG0000931	snap_masked-NADE0S04-processed-gene-2.121-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.121&CDS=1-1902	YJL103C
932	OG0000932	snap_masked-NADE0S04-processed-gene-2.108-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.108&CDS=1-2421	YJL102W
933	OG0000933	snap_masked-NADE0S04-processed-gene-2.122-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.122&CDS=1-2031	YJL101C
934	OG0000934	snap_masked-NADE0S04-processed-gene-2.110-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-2.110&CDS=1-3231	YKR028W
935	OG0000935	snap_masked-NADE0S04-processed-gene-3.86-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.86&CDS=1-642	YJL097W
936	OG0000936	snap_masked-NADE0S04-processed-gene-3.87-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.87&CDS=1-447	YJL096W
937	OG0000937	snap_masked-NADE0S04-processed-gene-3.88-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.88&CDS=1-4296	YJL095W
938	OG0000938	augustus_masked-NADE0S04-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-3.7&CDS=1-2595	YJL094C
939	OG0000939	maker-NADE0S04-snap-gene-3.132-mRNA-1_1&gene=maker-NADE0S04-snap-gene-3.132&CDS=1-2184	YJL093C
940	OG0000940	snap_masked-NADE0S04-processed-gene-3.91-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.91&CDS=1-3234	YJL092W
941	OG0000941	augustus_masked-NADE0S04-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-3.25&CDS=1-1461	YJL091C
942	OG0000942	augustus_masked-NADE0S04-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-3.26&CDS=1-2322	YJL090C
943	OG0000943	snap_masked-NADE0S04-processed-gene-3.92-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.92&CDS=1-3591	YJL089W
944	OG0000944	augustus_masked-NADE0S04-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-3.27&CDS=1-669	YGR042W
945	OG0000945	snap_masked-NADE0S04-processed-gene-3.95-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.95&CDS=1-258	YGR037C
946	OG0000946	augustus_masked-NADE0S04-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-3.13&CDS=1-693	YGR036C
947	OG0000947	augustus_masked-NADE0S04-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-3.14&CDS=1-699	YGR033C
948	OG0000948	snap_masked-NADE0S04-processed-gene-3.112-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.112&CDS=1-915	YGR031W
949	OG0000949	snap_masked-NADE0S04-processed-gene-3.97-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.97&CDS=1-426	YGR030C
950	OG0000950	snap_masked-NADE0S04-processed-gene-3.113-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.113&CDS=1-1077	YGR028W
951	OG0000951	augustus_masked-NADE0S04-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-3.16&CDS=1-1455	YMR135C
952	OG0000952	snap_masked-NADE0S04-processed-gene-3.114-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.114&CDS=1-705	YMR134W
953	OG0000953	snap_masked-NADE0S04-processed-gene-3.115-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.115&CDS=1-1197	YMR133W
954	OG0000954	maker-NADE0S04-augustus-gene-3.1-mRNA-1_1&gene=maker-NADE0S04-augustus-gene-3.1&CDS=1-2157	YMR131C
955	OG0000955	maker-NADE0S04-augustus-gene-3.3-mRNA-1_1&gene=maker-NADE0S04-augustus-gene-3.3&CDS=1-4863	YMR129W
956	OG0000956	snap_masked-NADE0S04-processed-gene-3.118-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.118&CDS=1-3777	YMR128W
957	OG0000957	snap_masked-NADE0S04-processed-gene-3.101-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.101&CDS=1-969	YMR127C
958	OG0000958	snap_masked-NADE0S04-processed-gene-3.102-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.102&CDS=1-1164	YMR126C
959	OG0000959	snap_masked-NADE0S04-processed-gene-3.119-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.119&CDS=1-2577	YMR125W
960	OG0000960	snap_masked-NADE0S04-processed-gene-3.120-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.120&CDS=1-2751	YMR124W
961	OG0000961	snap_masked-NADE0S04-processed-gene-3.121-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.121&CDS=1-345	YMR123W
962	OG0000962	snap_masked-NADE0S04-processed-gene-3.123-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.123&CDS=1-1545	YMR119W
963	OG0000963	augustus_masked-NADE0S04-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-3.21&CDS=1-609	YMR117C
964	OG0000964	snap_masked-NADE0S04-processed-gene-3.124-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.124&CDS=1-1551	YMR115W
965	OG0000965	snap_masked-NADE0S04-processed-gene-3.103-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.103&CDS=1-1119	YMR114C
966	OG0000966	snap_masked-NADE0S04-processed-gene-3.125-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.125&CDS=1-1332	YMR113W
967	OG0000967	augustus_masked-NADE0S04-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-NADE0S04-processed-gene-3.23&CDS=1-1905	YMR110C
968	OG0000968	snap_masked-NADE0S04-processed-gene-3.129-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.129&CDS=1-2022	YMR108W
969	OG0000969	snap_masked-NADE0S04-processed-gene-3.130-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.130&CDS=1-282	YMR107W
970	OG0000970	snap_masked-NADE0S04-processed-gene-3.105-mRNA-1_1&gene=snap_masked-NADE0S04-processed-gene-3.105&CDS=1-1806	YMR106C
971	OG0000971	genemark-NADE0S04-processed-gene-4.2-mRNA-1_1&gene=genemark-NADE0S04-processed-gene-4.2&CDS=1-2973	YMR102C
