	OrthologID	Lodderomyces_elongisporus	Saccharomyces_cerevisiae
755	OG0000755	snap_masked-NW_001813678.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-0.37&CDS=1-3141	YNL243W
756	OG0000756	snap_masked-NW_001813678.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-0.40&CDS=1-1323	YGL097W
757	OG0000757	snap_masked-NW_001813678.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-0.57&CDS=1-3261	YDL102W
758	OG0000758	snap_masked-NW_001813678.1-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-0.41&CDS=1-186	YNL070W
759	OG0000759	snap_masked-NW_001813678.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-0.42&CDS=1-975	YIL134W
760	OG0000760	snap_masked-NW_001813678.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-0.43&CDS=1-1242	YNL072W
761	OG0000761	snap_masked-NW_001813678.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-0.44&CDS=1-1455	YNL071W
762	OG0000762	snap_masked-NW_001813678.1-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-0.61&CDS=1-459	YER093C-A
763	OG0000763	snap_masked-NW_001813678.1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-0.47&CDS=1-2127	YOR361C
764	OG0000764	genemark-NW_001813678.1-processed-gene-0.98-mRNA-1_1&gene=genemark-NW_001813678.1-processed-gene-0.98&CDS=1-417	YAL046C
765	OG0000765	snap_masked-NW_001813678.1-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-0.49&CDS=1-2193	YLR429W
766	OG0000766	snap_masked-NW_001813678.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-0.63&CDS=1-4749	YPL242C
767	OG0000767	augustus_masked-NW_001813678.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-0.15&CDS=1-486	YPL234C
768	OG0000768	snap_masked-NW_001813678.1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-0.66&CDS=1-1578	YPL235W
769	OG0000769	snap_masked-NW_001813678.1-processed-gene-1.0-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.0&CDS=1-1017	YMR161W
770	OG0000770	snap_masked-NW_001813678.1-processed-gene-1.1-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.1&CDS=1-900	YMR314W
771	OG0000771	snap_masked-NW_001813678.1-processed-gene-1.2-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.2&CDS=1-849	YGL232W
772	OG0000772	augustus_masked-NW_001813678.1-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-1.87&CDS=1-564	YGL231C
773	OG0000773	snap_masked-NW_001813678.1-processed-gene-1.23-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.23&CDS=1-3030	YMR185W
774	OG0000774	snap_masked-NW_001813678.1-processed-gene-1.9-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.9&CDS=1-684	YPL239W
775	OG0000775	snap_masked-NW_001813678.1-processed-gene-1.10-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.10&CDS=1-882	YPL237W
776	OG0000776	snap_masked-NW_001813678.1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.25&CDS=1-1233	YPL236C
777	OG0000777	snap_masked-NW_001813678.1-processed-gene-1.11-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.11&CDS=1-897	YPL246C
778	OG0000778	snap_masked-NW_001813678.1-processed-gene-1.26-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.26&CDS=1-1170	YMR203W
779	OG0000779	snap_masked-NW_001813678.1-processed-gene-1.27-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.27&CDS=1-5733	YFL033C
780	OG0000780	snap_masked-NW_001813678.1-processed-gene-1.29-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.29&CDS=1-1836	YGL244W
781	OG0000781	snap_masked-NW_001813678.1-processed-gene-1.17-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.17&CDS=1-1200	YML060W
782	OG0000782	snap_masked-NW_001813678.1-processed-gene-1.30-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.30&CDS=1-327	YDL130W
783	OG0000783	snap_masked-NW_001813678.1-processed-gene-1.19-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.19&CDS=1-1119	YPR084W
784	OG0000784	snap_masked-NW_001813678.1-processed-gene-1.31-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.31&CDS=1-807	YIL070C
785	OG0000785	augustus_masked-NW_001813678.1-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-1.100&CDS=1-363	YKL084W
786	OG0000786	augustus_masked-NW_001813678.1-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-1.101&CDS=1-1029	YOR220W
787	OG0000787	snap_masked-NW_001813678.1-processed-gene-1.20-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.20&CDS=1-1017	YPR037C
788	OG0000788	maker-NW_001813678.1-snap-gene-1.121-mRNA-1_1&gene=maker-NW_001813678.1-snap-gene-1.121&CDS=1-300	YJR086W
789	OG0000789	snap_masked-NW_001813678.1-processed-gene-1.38-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-1.38&CDS=1-705	YHL031C
790	OG0000790	snap_masked-NW_001813678.1-processed-gene-2.4-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-2.4&CDS=1-894	YPL131W
791	OG0000791	snap_masked-NW_001813678.1-processed-gene-2.25-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-2.25&CDS=1-750	YDR152W
792	OG0000792	snap_masked-NW_001813678.1-processed-gene-2.7-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-2.7&CDS=1-870	YDR162C
793	OG0000793	augustus_masked-NW_001813678.1-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-2.102&CDS=1-486	YDR155C
794	OG0000794	augustus_masked-NW_001813678.1-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-2.103&CDS=1-555	YLR109W
795	OG0000795	augustus_masked-NW_001813678.1-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-2.87&CDS=1-1167	YDR165W
796	OG0000796	snap_masked-NW_001813678.1-processed-gene-2.32-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-2.32&CDS=1-2487	YDR164C
797	OG0000797	snap_masked-NW_001813678.1-processed-gene-2.12-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-2.12&CDS=1-1815	YML038C
798	OG0000798	snap_masked-NW_001813678.1-processed-gene-2.33-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-2.33&CDS=1-2259	YDR349C
799	OG0000799	snap_masked-NW_001813678.1-processed-gene-2.13-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-2.13&CDS=1-543	YER112W
800	OG0000800	snap_masked-NW_001813678.1-processed-gene-2.14-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-2.14&CDS=1-783	YOR077W
801	OG0000801	augustus_masked-NW_001813678.1-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-2.114&CDS=1-756	YHR122W
802	OG0000802	snap_masked-NW_001813678.1-processed-gene-2.19-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-2.19&CDS=1-1851	YHR117W
803	OG0000803	snap_masked-NW_001813678.1-processed-gene-2.20-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-2.20&CDS=1-1059	YNL128W
804	OG0000804	snap_masked-NW_001813678.1-processed-gene-2.23-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-2.23&CDS=1-2784	YNL127W
805	OG0000805	snap_masked-NW_001813678.1-processed-gene-2.24-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-2.24&CDS=1-441	YNL131W
806	OG0000806	snap_masked-NW_001813678.1-processed-gene-2.39-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-2.39&CDS=1-1185	YHR123W
807	OG0000807	snap_masked-NW_001813678.1-processed-gene-3.72-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.72&CDS=1-2139	YMR186W
808	OG0000808	augustus_masked-NW_001813678.1-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-3.6&CDS=1-1206	YMR201C
809	OG0000809	snap_masked-NW_001813678.1-processed-gene-3.74-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.74&CDS=1-1809	YBR248C
810	OG0000810	snap_masked-NW_001813678.1-processed-gene-3.71-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.71&CDS=1-3231	YGL141W
811	OG0000811	snap_masked-NW_001813678.1-processed-gene-3.76-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.76&CDS=1-6657	YER155C
812	OG0000812	snap_masked-NW_001813678.1-processed-gene-3.83-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.83&CDS=1-708	YLR059C
813	OG0000813	snap_masked-NW_001813678.1-processed-gene-3.84-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.84&CDS=1-465	YLR050C
814	OG0000814	snap_masked-NW_001813678.1-processed-gene-3.85-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.85&CDS=1-1362	YJR149W
815	OG0000815	snap_masked-NW_001813678.1-processed-gene-3.86-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.86&CDS=1-381	YNL111C
816	OG0000816	snap_masked-NW_001813678.1-processed-gene-3.87-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.87&CDS=1-915	YNL110C
817	OG0000817	snap_masked-NW_001813678.1-processed-gene-3.88-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.88&CDS=1-1554	YBR247C
818	OG0000818	snap_masked-NW_001813678.1-processed-gene-3.89-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.89&CDS=1-1614	YPL268W
819	OG0000819	snap_masked-NW_001813678.1-processed-gene-3.94-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.94&CDS=1-639	YOR111W
820	OG0000820	snap_masked-NW_001813678.1-processed-gene-3.79-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.79&CDS=1-735	YDR054C
821	OG0000821	snap_masked-NW_001813678.1-processed-gene-3.100-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.100&CDS=1-3381	YJL108C
822	OG0000822	augustus_masked-NW_001813678.1-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-3.33&CDS=1-4008	YOL023W
823	OG0000823	snap_masked-NW_001813678.1-processed-gene-3.103-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.103&CDS=1-2427	YDR052C
824	OG0000824	augustus_masked-NW_001813678.1-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-3.14&CDS=1-1275	YHL021C
825	OG0000825	maker-NW_001813678.1-augustus-gene-3.110-mRNA-1_1&gene=maker-NW_001813678.1-augustus-gene-3.110&CDS=1-4083	YGR116W
826	OG0000826	maker-NW_001813678.1-snap-gene-3.3-mRNA-1_1&gene=maker-NW_001813678.1-snap-gene-3.3&CDS=1-567	YGR129W
827	OG0000827	snap_masked-NW_001813678.1-processed-gene-3.81-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-3.81&CDS=1-1029	YOR075W
828	OG0000828	maker-NW_001813678.1-snap-gene-4.8-mRNA-1_1&gene=maker-NW_001813678.1-snap-gene-4.8&CDS=1-1896	YKR084C
829	OG0000829	snap_masked-NW_001813678.1-processed-gene-4.80-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.80&CDS=1-2859	YNL236W
830	OG0000830	snap_masked-NW_001813678.1-processed-gene-4.113-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.113&CDS=1-930	YDL124W
831	OG0000831	snap_masked-NW_001813678.1-processed-gene-4.81-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.81&CDS=1-1623	YMR297W
832	OG0000832	snap_masked-NW_001813678.1-processed-gene-4.83-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.83&CDS=1-2910	YJL050W
833	OG0000833	snap_masked-NW_001813678.1-processed-gene-4.84-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.84&CDS=1-1839	YDL234C
834	OG0000834	snap_masked-NW_001813678.1-processed-gene-4.85-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.85&CDS=1-1044	YNL217W
835	OG0000835	snap_masked-NW_001813678.1-processed-gene-4.115-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.115&CDS=1-657	YGL037C
836	OG0000836	snap_masked-NW_001813678.1-processed-gene-4.116-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.116&CDS=1-627	YJR050W
837	OG0000837	snap_masked-NW_001813678.1-processed-gene-4.117-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.117&CDS=1-2043	YGR145W
838	OG0000838	snap_masked-NW_001813678.1-processed-gene-4.119-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.119&CDS=1-1392	YHR018C
839	OG0000839	snap_masked-NW_001813678.1-processed-gene-4.120-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.120&CDS=1-1647	YHR019C
840	OG0000840	snap_masked-NW_001813678.1-processed-gene-4.87-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.87&CDS=1-2064	YHR020W
841	OG0000841	augustus_masked-NW_001813678.1-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-4.55&CDS=1-939	YFR025C
842	OG0000842	augustus_masked-NW_001813678.1-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-4.23&CDS=1-1410	YCR024C
843	OG0000843	snap_masked-NW_001813678.1-processed-gene-4.89-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.89&CDS=1-240	YEL020W-A
844	OG0000844	snap_masked-NW_001813678.1-processed-gene-4.91-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.91&CDS=1-3195	YOL098C
845	OG0000845	snap_masked-NW_001813678.1-processed-gene-4.122-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.122&CDS=1-498	YGL058W
846	OG0000846	snap_masked-NW_001813678.1-processed-gene-4.123-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.123&CDS=1-1335	YEL060C
847	OG0000847	snap_masked-NW_001813678.1-processed-gene-4.125-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.125&CDS=1-1959	YLR002C
848	OG0000848	snap_masked-NW_001813678.1-processed-gene-4.94-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.94&CDS=1-1578	YMR015C
849	OG0000849	snap_masked-NW_001813678.1-processed-gene-4.95-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.95&CDS=1-768	YML098W
850	OG0000850	genemark-NW_001813678.1-processed-gene-4.163-mRNA-1_1&gene=genemark-NW_001813678.1-processed-gene-4.163&CDS=1-3702	YIL030C
851	OG0000851	genemark-NW_001813678.1-processed-gene-4.195-mRNA-1_1&gene=genemark-NW_001813678.1-processed-gene-4.195&CDS=1-3015	YDL095W
852	OG0000852	snap_masked-NW_001813678.1-processed-gene-4.98-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.98&CDS=1-3420	YBL060W
853	OG0000853	snap_masked-NW_001813678.1-processed-gene-4.99-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.99&CDS=1-636	YER094C
854	OG0000854	snap_masked-NW_001813678.1-processed-gene-4.128-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.128&CDS=1-306	YBL059C-A
855	OG0000855	augustus_masked-NW_001813678.1-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-4.34&CDS=1-2166	YLR149C
856	OG0000856	augustus_masked-NW_001813678.1-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-4.36&CDS=1-1641	YCL043C
857	OG0000857	augustus_masked-NW_001813678.1-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-4.66&CDS=1-2346	YCL039W
858	OG0000858	snap_masked-NW_001813678.1-processed-gene-4.105-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.105&CDS=1-825	YGR017W
859	OG0000859	snap_masked-NW_001813678.1-processed-gene-4.106-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.106&CDS=1-525	YPL127C
860	OG0000860	snap_masked-NW_001813678.1-processed-gene-4.107-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.107&CDS=1-633	YOR236W
861	OG0000861	snap_masked-NW_001813678.1-processed-gene-4.134-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.134&CDS=1-1350	YJL054W
862	OG0000862	snap_masked-NW_001813678.1-processed-gene-4.135-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.135&CDS=1-1146	YNR029C
863	OG0000863	augustus_masked-NW_001813678.1-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-4.41&CDS=1-1749	YNR030W
864	OG0000864	maker-NW_001813678.1-augustus-gene-4.2-mRNA-1_1&gene=maker-NW_001813678.1-augustus-gene-4.2&CDS=1-4779	YJL095W
865	OG0000865	snap_masked-NW_001813678.1-processed-gene-4.138-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.138&CDS=1-558	YJL096W
866	OG0000866	augustus_masked-NW_001813678.1-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-NW_001813678.1-processed-gene-4.72&CDS=1-1134	YNL191W
867	OG0000867	maker-NW_001813678.1-snap-gene-4.7-mRNA-1_1&gene=maker-NW_001813678.1-snap-gene-4.7&CDS=1-1245	YJL097W
868	OG0000868	snap_masked-NW_001813678.1-processed-gene-4.140-mRNA-1_1&gene=snap_masked-NW_001813678.1-processed-gene-4.140&CDS=1-5481	YJL005W
869	OG0000869	augustus_masked-NW_001813679.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-0.1&CDS=1-690	YLR370C
870	OG0000870	augustus_masked-NW_001813679.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-0.2&CDS=1-687	YDR410C
871	OG0000871	augustus_masked-NW_001813679.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-0.19&CDS=1-1572	YGR009C
872	OG0000872	snap_masked-NW_001813679.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-0.31&CDS=1-915	YMR241W
873	OG0000873	snap_masked-NW_001813679.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-0.33&CDS=1-1896	YDR456W
874	OG0000874	augustus_masked-NW_001813679.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-0.21&CDS=1-1950	YML031W
875	OG0000875	snap_masked-NW_001813679.1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-0.55&CDS=1-894	YOR158W
876	OG0000876	snap_masked-NW_001813679.1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-0.56&CDS=1-1905	YDR386W
877	OG0000877	augustus_masked-NW_001813679.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-0.6&CDS=1-258	YOR159C
878	OG0000878	snap_masked-NW_001813679.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-0.37&CDS=1-1545	YML032C
879	OG0000879	snap_masked-NW_001813679.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-0.38&CDS=1-987	YPR066W
880	OG0000880	augustus_masked-NW_001813679.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-0.25&CDS=1-1311	YGR110W
881	OG0000881	snap_masked-NW_001813679.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-0.43&CDS=1-1545	YBR288C
882	OG0000882	snap_masked-NW_001813679.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-0.57&CDS=1-1386	YHR011W
883	OG0000883	snap_masked-NW_001813679.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-0.59&CDS=1-2433	YKL134C
884	OG0000884	snap_masked-NW_001813679.1-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-0.60&CDS=1-1554	YOR310C
885	OG0000885	maker-NW_001813679.1-augustus-gene-0.94-mRNA-1_1&gene=maker-NW_001813679.1-augustus-gene-0.94&CDS=1-4539	YHR164C
886	OG0000886	snap_masked-NW_001813679.1-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-0.61&CDS=1-2511	YLR207W
887	OG0000887	snap_masked-NW_001813679.1-processed-gene-1.2-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-1.2&CDS=1-2877	YOR032C
888	OG0000888	snap_masked-NW_001813679.1-processed-gene-1.15-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-1.15&CDS=1-2562	YKL034W
889	OG0000889	snap_masked-NW_001813679.1-processed-gene-1.3-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-1.3&CDS=1-375	YDR511W
890	OG0000890	snap_masked-NW_001813679.1-processed-gene-1.4-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-1.4&CDS=1-249	YNL211C
891	OG0000891	snap_masked-NW_001813679.1-processed-gene-1.20-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-1.20&CDS=1-2685	YNL212W
892	OG0000892	snap_masked-NW_001813679.1-processed-gene-1.23-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-1.23&CDS=1-1728	YNL115C
893	OG0000893	snap_masked-NW_001813679.1-processed-gene-1.24-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-1.24&CDS=1-1272	YER152C
894	OG0000894	snap_masked-NW_001813679.1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-1.25&CDS=1-1476	YNL206C
895	OG0000895	snap_masked-NW_001813679.1-processed-gene-1.11-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-1.11&CDS=1-2826	YER151C
896	OG0000896	snap_masked-NW_001813679.1-processed-gene-1.12-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-1.12&CDS=1-1158	YHR052W
897	OG0000897	snap_masked-NW_001813679.1-processed-gene-1.26-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-1.26&CDS=1-1110	YLR355C
898	OG0000898	snap_masked-NW_001813679.1-processed-gene-1.28-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-1.28&CDS=1-1251	YPL097W
899	OG0000899	snap_masked-NW_001813679.1-processed-gene-1.13-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-1.13&CDS=1-2397	YKL078W
900	OG0000900	snap_masked-NW_001813679.1-processed-gene-1.29-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-1.29&CDS=1-1059	YOL064C
901	OG0000901	augustus_masked-NW_001813679.1-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-1.83&CDS=1-1569	YMR065W
902	OG0000902	augustus_masked-NW_001813679.1-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-1.85&CDS=1-849	YGR053C
903	OG0000903	genemark-NW_001813679.1-processed-gene-2.35-mRNA-1_1&gene=genemark-NW_001813679.1-processed-gene-2.35&CDS=1-1818	YFL042C
904	OG0000904	snap_masked-NW_001813679.1-processed-gene-2.3-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.3&CDS=1-1266	YNL066W
905	OG0000905	augustus_masked-NW_001813679.1-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-2.73&CDS=1-2547	YOL006C
906	OG0000906	snap_masked-NW_001813679.1-processed-gene-2.23-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.23&CDS=1-459	YMR002W
907	OG0000907	snap_masked-NW_001813679.1-processed-gene-2.7-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.7&CDS=1-3171	YFR016C
908	OG0000908	augustus_masked-NW_001813679.1-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-2.77&CDS=1-774	YPR124W
909	OG0000909	snap_masked-NW_001813679.1-processed-gene-2.24-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.24&CDS=1-3453	YPR055W
910	OG0000910	snap_masked-NW_001813679.1-processed-gene-2.25-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.25&CDS=1-846	YBR101C
911	OG0000911	snap_masked-NW_001813679.1-processed-gene-2.10-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.10&CDS=1-1251	YCR012W
912	OG0000912	snap_masked-NW_001813679.1-processed-gene-2.26-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.26&CDS=1-1950	YBR041W
913	OG0000913	augustus_masked-NW_001813679.1-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-2.80&CDS=1-1341	YER141W
914	OG0000914	snap_masked-NW_001813679.1-processed-gene-2.28-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.28&CDS=1-2241	YER140W
915	OG0000915	snap_masked-NW_001813679.1-processed-gene-2.29-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.29&CDS=1-1866	YFR028C
916	OG0000916	maker-NW_001813679.1-augustus-gene-2.68-mRNA-1_1&gene=maker-NW_001813679.1-augustus-gene-2.68&CDS=1-762	YDR064W
917	OG0000917	augustus_masked-NW_001813679.1-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-2.84&CDS=1-1332	YPR056W
918	OG0000918	snap_masked-NW_001813679.1-processed-gene-2.31-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.31&CDS=1-480	YPR062W
919	OG0000919	snap_masked-NW_001813679.1-processed-gene-2.32-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.32&CDS=1-4488	YBR097W
