	OrthologID	Lachancea_mirantina	Saccharomyces_cerevisiae
701	OG0000701	genemark-LAMI0B-processed-gene-3.140-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.140&CDS=1-1752	YOR027W
702	OG0000702	augustus_masked-LAMI0B-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-3.23&CDS=1-1506	YDR257C
703	OG0000703	snap_masked-LAMI0B-processed-gene-3.93-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-3.93&CDS=1-933	YOR026W
704	OG0000704	genemark-LAMI0B-processed-gene-3.121-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.121&CDS=1-1686	YDR479C
705	OG0000705	augustus_masked-LAMI0B-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-3.44&CDS=1-519	YDR478W
706	OG0000706	genemark-LAMI0B-processed-gene-3.122-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.122&CDS=1-699	YJR099W
707	OG0000707	snap_masked-LAMI0B-processed-gene-3.95-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-3.95&CDS=1-1551	YPR045C
708	OG0000708	genemark-LAMI0B-processed-gene-3.145-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.145&CDS=1-951	YJR100C
709	OG0000709	genemark-LAMI0B-processed-gene-3.123-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.123&CDS=1-777	YJR101W
710	OG0000710	genemark-LAMI0B-processed-gene-3.146-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.146&CDS=1-540	YJR102C
711	OG0000711	genemark-LAMI0B-processed-gene-3.125-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.125&CDS=1-1725	YBL039C
712	OG0000712	snap_masked-LAMI0B-processed-gene-3.99-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-3.99&CDS=1-462	YJR104C
713	OG0000713	augustus_masked-LAMI0B-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-3.50&CDS=1-285	YBL039W-B
714	OG0000714	genemark-LAMI0B-processed-gene-3.127-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.127&CDS=1-660	YBL040C
715	OG0000715	genemark-LAMI0B-processed-gene-3.148-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.148&CDS=1-726	YBL041W
716	OG0000716	augustus_masked-LAMI0B-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-3.53&CDS=1-594	YBL043W
717	OG0000717	genemark-LAMI0B-processed-gene-3.128-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.128&CDS=1-1413	YFR034C
718	OG0000718	augustus_masked-LAMI0B-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-3.31&CDS=1-582	YFR032C-A
719	OG0000719	genemark-LAMI0B-processed-gene-3.130-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.130&CDS=1-879	YFR032C
720	OG0000720	maker-LAMI0B-augustus-gene-3.2-mRNA-1_1&gene=maker-LAMI0B-augustus-gene-3.2&CDS=1-4278	YFR031C
721	OG0000721	maker-LAMI0B-augustus-gene-4.0-mRNA-1_1&gene=maker-LAMI0B-augustus-gene-4.0&CDS=1-5847	YFR030W
722	OG0000722	genemark-LAMI0B-processed-gene-4.52-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.52&CDS=1-546	YIL016W
723	OG0000723	genemark-LAMI0B-processed-gene-4.53-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.53&CDS=1-702	YBR256C
724	OG0000724	genemark-LAMI0B-processed-gene-4.56-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.56&CDS=1-1287	YIR012W
725	OG0000725	snap_masked-LAMI0B-processed-gene-4.10-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.10&CDS=1-1953	YDR239C
726	OG0000726	snap_masked-LAMI0B-processed-gene-4.11-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.11&CDS=1-1347	YDR240C
727	OG0000727	genemark-LAMI0B-processed-gene-4.80-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.80&CDS=1-444	YDL208W
728	OG0000728	genemark-LAMI0B-processed-gene-4.60-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.60&CDS=1-366	YBR253W
729	OG0000729	snap_masked-LAMI0B-processed-gene-4.13-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.13&CDS=1-1524	YIR010W
730	OG0000730	genemark-LAMI0B-processed-gene-4.81-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.81&CDS=1-510	YBR254C
731	OG0000731	genemark-LAMI0B-processed-gene-4.62-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.62&CDS=1-1575	YBR255W
732	OG0000732	genemark-LAMI0B-processed-gene-4.82-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.82&CDS=1-1188	YBR255C-A
733	OG0000733	genemark-LAMI0B-processed-gene-4.63-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.63&CDS=1-2916	YDR238C
734	OG0000734	genemark-LAMI0B-processed-gene-4.83-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.83&CDS=1-867	YDR237W
735	OG0000735	maker-LAMI0B-snap-gene-4.3-mRNA-1_1&gene=maker-LAMI0B-snap-gene-4.3&CDS=1-2076	YDL207W
736	OG0000736	genemark-LAMI0B-processed-gene-4.66-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.66&CDS=1-1911	YDL206W
737	OG0000737	genemark-LAMI0B-processed-gene-4.84-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.84&CDS=1-1650	YDR235W
738	OG0000738	genemark-LAMI0B-processed-gene-4.85-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.85&CDS=1-999	YDL205C
739	OG0000739	genemark-LAMI0B-processed-gene-4.86-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.86&CDS=1-2112	YDR234W
740	OG0000740	genemark-LAMI0B-processed-gene-4.67-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.67&CDS=1-831	YDR233C
741	OG0000741	genemark-LAMI0B-processed-gene-4.87-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.87&CDS=1-1692	YDR232W
742	OG0000742	genemark-LAMI0B-processed-gene-4.88-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.88&CDS=1-1713	YDL203C
743	OG0000743	genemark-LAMI0B-processed-gene-4.68-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.68&CDS=1-606	YDR231C
744	OG0000744	genemark-LAMI0B-processed-gene-4.89-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.89&CDS=1-1224	YDR229W
745	OG0000745	genemark-LAMI0B-processed-gene-4.70-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.70&CDS=1-687	YDL202W
746	OG0000746	snap_masked-LAMI0B-processed-gene-4.21-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.21&CDS=1-849	YDL201W
747	OG0000747	genemark-LAMI0B-processed-gene-4.91-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.91&CDS=1-891	YDL198C
748	OG0000748	genemark-LAMI0B-processed-gene-4.72-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.72&CDS=1-1818	YDR228C
749	OG0000749	snap_masked-LAMI0B-processed-gene-4.42-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.42&CDS=1-4383	YDR227W
750	OG0000750	genemark-LAMI0B-processed-gene-4.93-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.93&CDS=1-684	YDR226W
751	OG0000751	snap_masked-LAMI0B-processed-gene-4.23-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.23&CDS=1-1812	YLR219W
752	OG0000752	genemark-LAMI0B-processed-gene-4.75-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.75&CDS=1-903	YLR220W
753	OG0000753	genemark-LAMI0B-processed-gene-4.95-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.95&CDS=1-567	YLR221C
754	OG0000754	genemark-LAMI0B-processed-gene-4.96-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.96&CDS=1-2418	YLR222C
755	OG0000755	genemark-LAMI0B-processed-gene-4.97-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.97&CDS=1-2880	YLR223C
756	OG0000756	snap_masked-LAMI0B-processed-gene-4.26-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.26&CDS=1-1290	YDR219C
757	OG0000757	genemark-LAMI0B-processed-gene-4.77-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.77&CDS=1-1077	YLR226W
758	OG0000758	snap_masked-LAMI0B-processed-gene-4.50-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.50&CDS=1-1203	YLR227C
759	OG0000759	snap_masked-LAMI0B-processed-gene-4.28-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.28&CDS=1-3342	YDR217C
760	OG0000760	genemark-LAMI0B-processed-gene-4.101-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.101&CDS=1-3261	YDR216W
761	OG0000761	genemark-LAMI0B-processed-gene-5.2-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.2&CDS=1-1050	YDR214W
762	OG0000762	genemark-LAMI0B-processed-gene-5.1-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.1&CDS=1-1194	YBR029C
763	OG0000763	genemark-LAMI0B-processed-gene-5.4-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.4&CDS=1-1545	YBR028C
764	OG0000764	augustus_masked-LAMI0B-processed-gene-5.67-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-5.67&CDS=1-1146	YBR026C
765	OG0000765	augustus_masked-LAMI0B-processed-gene-5.90-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-5.90&CDS=1-906	YBR036C
766	OG0000766	genemark-LAMI0B-processed-gene-5.34-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.34&CDS=1-300	YOL108C
767	OG0000767	genemark-LAMI0B-processed-gene-5.10-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.10&CDS=1-1011	YOL107W
768	OG0000768	genemark-LAMI0B-processed-gene-5.35-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.35&CDS=1-870	YNL284C
769	OG0000769	genemark-LAMI0B-processed-gene-5.13-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.13&CDS=1-741	YOL154W
770	OG0000770	snap_masked-LAMI0B-processed-gene-5.124-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-5.124&CDS=1-591	YNL282W
771	OG0000771	genemark-LAMI0B-processed-gene-5.15-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.15&CDS=1-408	YNL281W
772	OG0000772	genemark-LAMI0B-processed-gene-5.37-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.37&CDS=1-1383	YNL280C
773	OG0000773	snap_masked-LAMI0B-processed-gene-5.146-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-5.146&CDS=1-1191	YOL104C
774	OG0000774	genemark-LAMI0B-processed-gene-5.17-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.17&CDS=1-1068	YDR498C
775	OG0000775	genemark-LAMI0B-processed-gene-5.18-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.18&CDS=1-1722	YDR497C
776	OG0000776	genemark-LAMI0B-processed-gene-5.19-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.19&CDS=1-1974	YDR496C
777	OG0000777	snap_masked-LAMI0B-processed-gene-5.129-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-5.129&CDS=1-2805	YDR495C
778	OG0000778	snap_masked-LAMI0B-processed-gene-5.147-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-5.147&CDS=1-1029	YDR494W
779	OG0000779	genemark-LAMI0B-processed-gene-5.41-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.41&CDS=1-693	YOL102C
780	OG0000780	genemark-LAMI0B-processed-gene-5.42-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.42&CDS=1-372	YDR493W
781	OG0000781	genemark-LAMI0B-processed-gene-5.21-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.21&CDS=1-2991	YOL100W
782	OG0000782	genemark-LAMI0B-processed-gene-5.44-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.44&CDS=1-3144	YOL098C
783	OG0000783	genemark-LAMI0B-processed-gene-5.45-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.45&CDS=1-879	YDR489W
784	OG0000784	genemark-LAMI0B-processed-gene-5.22-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.22&CDS=1-636	YDR487C
785	OG0000785	genemark-LAMI0B-processed-gene-5.46-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.46&CDS=1-1290	YOL097C
786	OG0000786	genemark-LAMI0B-processed-gene-5.23-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.23&CDS=1-678	YDR486C
787	OG0000787	genemark-LAMI0B-processed-gene-5.47-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.47&CDS=1-927	YOL096C
788	OG0000788	genemark-LAMI0B-processed-gene-5.24-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.24&CDS=1-1977	YDR485C
789	OG0000789	snap_masked-LAMI0B-processed-gene-5.155-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-5.155&CDS=1-2118	YOL095C
790	OG0000790	genemark-LAMI0B-processed-gene-5.49-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.49&CDS=1-1740	YDR484W
791	OG0000791	genemark-LAMI0B-processed-gene-5.50-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.50&CDS=1-966	YOL094C
792	OG0000792	genemark-LAMI0B-processed-gene-5.25-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.25&CDS=1-918	YOL093W
793	OG0000793	snap_masked-LAMI0B-processed-gene-5.136-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-5.136&CDS=1-2139	YOL091W
794	OG0000794	genemark-LAMI0B-processed-gene-5.28-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.28&CDS=1-2877	YOL090W
795	OG0000795	genemark-LAMI0B-processed-gene-5.29-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.29&CDS=1-975	YBR149W
796	OG0000796	genemark-LAMI0B-processed-gene-5.30-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.30&CDS=1-912	YBR151W
797	OG0000797	snap_masked-LAMI0B-processed-gene-6.43-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-6.43&CDS=1-735	YOL088C
798	OG0000798	snap_masked-LAMI0B-processed-gene-6.48-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-6.48&CDS=1-1473	YLR267W
799	OG0000799	genemark-LAMI0B-processed-gene-6.99-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.99&CDS=1-546	YOR163W
800	OG0000800	genemark-LAMI0B-processed-gene-6.114-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.114&CDS=1-912	YOR164C
801	OG0000801	genemark-LAMI0B-processed-gene-6.100-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.100&CDS=1-2364	YOR165W
802	OG0000802	snap_masked-LAMI0B-processed-gene-6.66-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-6.66&CDS=1-1281	YOR166C
803	OG0000803	snap_masked-LAMI0B-processed-gene-6.52-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-6.52&CDS=1-2409	YOR168W
804	OG0000804	snap_masked-LAMI0B-processed-gene-6.53-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-6.53&CDS=1-192	YLR262C-A
805	OG0000805	genemark-LAMI0B-processed-gene-6.103-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.103&CDS=1-648	YLR262C
806	OG0000806	genemark-LAMI0B-processed-gene-6.117-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.117&CDS=1-1635	YLR260W
807	OG0000807	genemark-LAMI0B-processed-gene-6.104-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.104&CDS=1-1704	YLR259C
808	OG0000808	snap_masked-LAMI0B-processed-gene-6.56-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-6.56&CDS=1-1488	YML043C
809	OG0000809	snap_masked-LAMI0B-processed-gene-6.71-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-6.71&CDS=1-1548	YOL013C
810	OG0000810	genemark-LAMI0B-processed-gene-6.119-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.119&CDS=1-399	YOL012C
811	OG0000811	genemark-LAMI0B-processed-gene-6.107-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.107&CDS=1-1983	YMR008C
812	OG0000812	genemark-LAMI0B-processed-gene-6.120-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.120&CDS=1-1122	YMR005W
813	OG0000813	genemark-LAMI0B-processed-gene-6.108-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.108&CDS=1-1092	YOL010W
814	OG0000814	genemark-LAMI0B-processed-gene-6.121-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.121&CDS=1-1539	YMR004W
815	OG0000815	genemark-LAMI0B-processed-gene-6.122-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.122&CDS=1-813	YOL009C
816	OG0000816	snap_masked-LAMI0B-processed-gene-6.76-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-6.76&CDS=1-681	YMR003W
817	OG0000817	genemark-LAMI0B-processed-gene-6.124-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.124&CDS=1-468	YMR002W
818	OG0000818	snap_masked-LAMI0B-processed-gene-6.78-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-6.78&CDS=1-900	YOL007C
819	OG0000819	genemark-LAMI0B-processed-gene-6.126-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.126&CDS=1-2262	YOL006C
820	OG0000820	genemark-LAMI0B-processed-gene-6.109-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.109&CDS=1-2088	YMR001C
821	OG0000821	genemark-LAMI0B-processed-gene-6.127-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.127&CDS=1-363	YOL005C
822	OG0000822	genemark-LAMI0B-processed-gene-6.110-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.110&CDS=1-4329	YOL004W
823	OG0000823	genemark-LAMI0B-processed-gene-6.128-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.128&CDS=1-552	YOL003C
824	OG0000824	genemark-LAMI0B-processed-gene-6.130-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.130&CDS=1-2190	YOR001W
825	OG0000825	genemark-LAMI0B-processed-gene-6.131-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.131&CDS=1-903	YOL001W
826	OG0000826	genemark-LAMI0B-processed-gene-6.132-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.132&CDS=1-624	YML001W
827	OG0000827	genemark-LAMI0B-processed-gene-6.112-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.112&CDS=1-1608	YOR002W
828	OG0000828	genemark-LAMI0B-processed-gene-6.113-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.113&CDS=1-966	YOR007C
829	OG0000829	snap_masked-LAMI0B-processed-gene-6.86-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-6.86&CDS=1-3282	YML002W
830	OG0000830	genemark-LAMI0B-processed-gene-7.107-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-7.107&CDS=1-933	YOR006C
831	OG0000831	genemark-LAMI0B-processed-gene-7.108-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-7.108&CDS=1-2871	YOR005C
832	OG0000832	snap_masked-LAMI0B-processed-gene-7.49-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-7.49&CDS=1-2043	YEL062W
833	OG0000833	maker-LAMI0B-augustus-gene-7.103-mRNA-1_1&gene=maker-LAMI0B-augustus-gene-7.103&CDS=1-3669	YEL061C
834	OG0000834	genemark-LAMI0B-processed-gene-7.113-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-7.113&CDS=1-1722	YEL060C
835	OG0000835	maker-LAMI0B-augustus-gene-7.104-mRNA-1_1&gene=maker-LAMI0B-augustus-gene-7.104&CDS=1-1725	YPL262W
836	OG0000836	genemark-LAMI0B-processed-gene-7.115-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-7.115&CDS=1-1641	YEL058W
837	OG0000837	genemark-LAMI0B-processed-gene-7.116-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-7.116&CDS=1-1893	YPL263C
838	OG0000838	genemark-LAMI0B-processed-gene-7.117-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-7.117&CDS=1-1173	YEL056W
839	OG0000839	genemark-LAMI0B-processed-gene-7.139-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-7.139&CDS=1-1542	YPL272C
840	OG0000840	genemark-LAMI0B-processed-gene-7.140-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-7.140&CDS=1-3078	YEL055C
841	OG0000841	snap_masked-LAMI0B-processed-gene-7.59-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-7.59&CDS=1-186	YPL271W
842	OG0000842	snap_masked-LAMI0B-processed-gene-7.61-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-7.61&CDS=1-1710	YPL269W
843	OG0000843	genemark-LAMI0B-processed-gene-7.121-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-7.121&CDS=1-2532	YPL268W
844	OG0000844	snap_masked-LAMI0B-processed-gene-7.63-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-7.63&CDS=1-651	YPL267W
845	OG0000845	genemark-LAMI0B-processed-gene-7.123-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-7.123&CDS=1-963	YPL266W
846	OG0000846	genemark-LAMI0B-processed-gene-7.143-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-7.143&CDS=1-1122	YGL255W
847	OG0000847	augustus_masked-LAMI0B-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-7.22&CDS=1-1161	YJR149W
848	OG0000848	genemark-LAMI0B-processed-gene-7.150-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-7.150&CDS=1-1029	YIL164C
849	OG0000849	genemark-LAMI0C-processed-gene-0.99-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.99&CDS=1-591	YOL149W
850	OG0000850	genemark-LAMI0C-processed-gene-0.121-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.121&CDS=1-1659	YOL148C
851	OG0000851	genemark-LAMI0C-processed-gene-0.122-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.122&CDS=1-693	YOL147C
852	OG0000852	genemark-LAMI0C-processed-gene-0.100-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.100&CDS=1-552	YOL146W
853	OG0000853	genemark-LAMI0C-processed-gene-0.123-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.123&CDS=1-3249	YOL145C
854	OG0000854	snap_masked-LAMI0C-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LAMI0C-processed-gene-0.52&CDS=1-1389	YOL144W
855	OG0000855	genemark-LAMI0C-processed-gene-0.124-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.124&CDS=1-507	YOL143C
856	OG0000856	genemark-LAMI0C-processed-gene-0.125-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.125&CDS=1-1296	YNL330C
857	OG0000857	genemark-LAMI0C-processed-gene-0.126-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.126&CDS=1-3480	YNL329C
858	OG0000858	genemark-LAMI0C-processed-gene-0.127-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.127&CDS=1-1002	YNL326C
859	OG0000859	genemark-LAMI0C-processed-gene-0.103-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.103&CDS=1-708	YOL142W
860	OG0000860	genemark-LAMI0C-processed-gene-0.128-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.128&CDS=1-2580	YNL325C
861	OG0000861	genemark-LAMI0C-processed-gene-0.104-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.104&CDS=1-2061	YOL141W
862	OG0000862	genemark-LAMI0C-processed-gene-0.129-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.129&CDS=1-1542	YGR197C
863	OG0000863	augustus_masked-LAMI0C-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LAMI0C-processed-gene-0.15&CDS=1-384	YOR189W
864	OG0000864	genemark-LAMI0C-processed-gene-0.106-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.106&CDS=1-1326	YLR300W
865	OG0000865	maker-LAMI0C-augustus-gene-0.4-mRNA-1_1&gene=maker-LAMI0C-augustus-gene-0.4&CDS=1-4635	YOR191W
866	OG0000866	genemark-LAMI0C-processed-gene-0.109-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.109&CDS=1-405	YGL054C
867	OG0000867	snap_masked-LAMI0C-processed-gene-0.88-mRNA-1_1&gene=snap_masked-LAMI0C-processed-gene-0.88&CDS=1-978	YBR211C
868	OG0000868	snap_masked-LAMI0C-processed-gene-0.60-mRNA-1_1&gene=snap_masked-LAMI0C-processed-gene-0.60&CDS=1-177	YML081C-A
869	OG0000869	genemark-LAMI0C-processed-gene-0.131-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.131&CDS=1-1953	YJR130C
870	OG0000870	genemark-LAMI0C-processed-gene-0.110-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.110&CDS=1-1617	YJR131W
871	OG0000871	snap_masked-LAMI0C-processed-gene-0.90-mRNA-1_1&gene=snap_masked-LAMI0C-processed-gene-0.90&CDS=1-393	YHR191C
872	OG0000872	snap_masked-LAMI0C-processed-gene-0.62-mRNA-1_1&gene=snap_masked-LAMI0C-processed-gene-0.62&CDS=1-804	YHR192W
873	OG0000873	genemark-LAMI0C-processed-gene-0.132-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.132&CDS=1-549	YHR193C
874	OG0000874	snap_masked-LAMI0C-processed-gene-0.63-mRNA-1_1&gene=snap_masked-LAMI0C-processed-gene-0.63&CDS=1-1650	YHR194W
875	OG0000875	genemark-LAMI0C-processed-gene-0.113-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.113&CDS=1-3147	YJR132W
876	OG0000876	augustus_masked-LAMI0C-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-LAMI0C-processed-gene-0.24&CDS=1-879	YDR337W
877	OG0000877	genemark-LAMI0C-processed-gene-0.134-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.134&CDS=1-2013	YDR338C
878	OG0000878	genemark-LAMI0C-processed-gene-1.1-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-1.1&CDS=1-804	YHR090C
879	OG0000879	genemark-LAMI0C-processed-gene-1.2-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-1.2&CDS=1-567	YDR339C
