	OrthologID	Metschnikowia_dekortum	Saccharomyces_cerevisiae
705	OG0000705	genemark-dek_s12-processed-gene-1.89-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.89&CDS=1-2808	YPR097W
706	OG0000706	genemark-dek_s12-processed-gene-1.91-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.91&CDS=1-1836	YLR023C
707	OG0000707	genemark-dek_s12-processed-gene-1.92-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.92&CDS=1-1674	YDR536W
708	OG0000708	genemark-dek_s12-processed-gene-1.94-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.94&CDS=1-1251	YGR111W
709	OG0000709	genemark-dek_s12-processed-gene-1.95-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.95&CDS=1-390	YNL153C
710	OG0000710	genemark-dek_s12-processed-gene-1.122-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.122&CDS=1-5997	YGL130W
711	OG0000711	genemark-dek_s12-processed-gene-1.125-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.125&CDS=1-1521	YNL142W
712	OG0000712	augustus_masked-dek_s12-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-dek_s12-processed-gene-1.34&CDS=1-2835	YDR402C
713	OG0000713	snap_masked-dek_s12-processed-gene-1.204-mRNA-1_1&gene=snap_masked-dek_s12-processed-gene-1.204&CDS=1-1650	YIL166C
714	OG0000714	genemark-dek_s120-processed-gene-0.1-mRNA-1_1&gene=genemark-dek_s120-processed-gene-0.1&CDS=1-1608	YDR168W
715	OG0000715	augustus_masked-dek_s120-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-dek_s120-processed-gene-0.60&CDS=1-2385	YPL190C
716	OG0000716	genemark-dek_s120-processed-gene-0.2-mRNA-1_1&gene=genemark-dek_s120-processed-gene-0.2&CDS=1-1035	YMR315W
717	OG0000717	augustus_masked-dek_s120-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-dek_s120-processed-gene-0.61&CDS=1-1596	YDR498C
718	OG0000718	snap_masked-dek_s120-processed-gene-0.35-mRNA-1_1&gene=snap_masked-dek_s120-processed-gene-0.35&CDS=1-813	YIL106W
719	OG0000719	genemark-dek_s120-processed-gene-0.16-mRNA-1_1&gene=genemark-dek_s120-processed-gene-0.16&CDS=1-1026	YLL027W
720	OG0000720	genemark-dek_s120-processed-gene-0.17-mRNA-1_1&gene=genemark-dek_s120-processed-gene-0.17&CDS=1-2094	YLL029W
721	OG0000721	augustus_masked-dek_s120-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-dek_s120-processed-gene-0.59&CDS=1-3009	YGL016W
722	OG0000722	genemark-dek_s120-processed-gene-0.18-mRNA-1_1&gene=genemark-dek_s120-processed-gene-0.18&CDS=1-1869	YAR007C
723	OG0000723	genemark-dek_s120-processed-gene-0.19-mRNA-1_1&gene=genemark-dek_s120-processed-gene-0.19&CDS=1-1203	YGL184C
724	OG0000724	genemark-dek_s13-processed-gene-0.24-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.24&CDS=1-2136	YHL016C
725	OG0000725	genemark-dek_s13-processed-gene-0.26-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.26&CDS=1-1857	YLR417W
726	OG0000726	genemark-dek_s13-processed-gene-0.0-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.0&CDS=1-1020	YKL189W
727	OG0000727	augustus_masked-dek_s13-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-dek_s13-processed-gene-0.143&CDS=1-1200	YJR148W
728	OG0000728	genemark-dek_s13-processed-gene-0.28-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.28&CDS=1-2214	YHR204W
729	OG0000729	maker-dek_s13-augustus-gene-0.112-mRNA-1_1&gene=maker-dek_s13-augustus-gene-0.112&CDS=1-2409	YNL256W
730	OG0000730	genemark-dek_s13-processed-gene-0.30-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.30&CDS=1-1113	YNL254C
731	OG0000731	genemark-dek_s13-processed-gene-0.1-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.1&CDS=1-1965	YFR034C
732	OG0000732	genemark-dek_s13-processed-gene-0.2-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.2&CDS=1-588	YKL144C
733	OG0000733	genemark-dek_s13-processed-gene-0.33-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.33&CDS=1-1335	YKL145W
734	OG0000734	genemark-dek_s13-processed-gene-0.35-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.35&CDS=1-711	YDR296W
735	OG0000735	augustus_masked-dek_s13-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-dek_s13-processed-gene-0.122&CDS=1-1782	YHR078W
736	OG0000736	genemark-dek_s13-processed-gene-0.6-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.6&CDS=1-1962	YBR121C
737	OG0000737	genemark-dek_s13-processed-gene-0.36-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.36&CDS=1-2121	YCL057W
738	OG0000738	genemark-dek_s13-processed-gene-0.38-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.38&CDS=1-1725	YPL092W
739	OG0000739	genemark-dek_s13-processed-gene-0.8-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.8&CDS=1-4350	YHR186C
740	OG0000740	genemark-dek_s13-processed-gene-0.9-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.9&CDS=1-1239	YGR257C
741	OG0000741	genemark-dek_s13-processed-gene-0.41-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.41&CDS=1-651	YGR235C
742	OG0000742	genemark-dek_s13-processed-gene-0.10-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.10&CDS=1-2538	YKL155C
743	OG0000743	snap_masked-dek_s13-processed-gene-0.65-mRNA-1_1&gene=snap_masked-dek_s13-processed-gene-0.65&CDS=1-1353	YDR306C
744	OG0000744	genemark-dek_s13-processed-gene-0.43-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.43&CDS=1-480	YDR308C
745	OG0000745	genemark-dek_s13-processed-gene-0.13-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.13&CDS=1-819	YDR313C
746	OG0000746	genemark-dek_s13-processed-gene-0.44-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.44&CDS=1-1425	YHR065C
747	OG0000747	maker-dek_s13-augustus-gene-0.115-mRNA-1_1&gene=maker-dek_s13-augustus-gene-0.115&CDS=1-1425	YLR151C
748	OG0000748	genemark-dek_s13-processed-gene-0.47-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.47&CDS=1-1101	YDL022W
749	OG0000749	genemark-dek_s13-processed-gene-0.49-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.49&CDS=1-1035	YKL151C
750	OG0000750	genemark-dek_s13-processed-gene-0.16-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.16&CDS=1-879	YKL150W
751	OG0000751	genemark-dek_s13-processed-gene-0.17-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.17&CDS=1-1533	YKL149C
752	OG0000752	genemark-dek_s13-processed-gene-0.19-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.19&CDS=1-1050	YPR128C
753	OG0000753	genemark-dek_s13-processed-gene-0.50-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.50&CDS=1-1506	YPR133C
754	OG0000754	genemark-dek_s13-processed-gene-0.21-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.21&CDS=1-882	YPR129W
755	OG0000755	genemark-dek_s131-processed-gene-0.39-mRNA-1_1&gene=genemark-dek_s131-processed-gene-0.39&CDS=1-300	YGR215W
756	OG0000756	genemark-dek_s131-processed-gene-0.32-mRNA-1_1&gene=genemark-dek_s131-processed-gene-0.32&CDS=1-6450	YGR217W
757	OG0000757	augustus_masked-dek_s131-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-dek_s131-processed-gene-0.24&CDS=1-1449	YGR211W
758	OG0000758	genemark-dek_s131-processed-gene-0.33-mRNA-1_1&gene=genemark-dek_s131-processed-gene-0.33&CDS=1-2022	YIL046W
759	OG0000759	snap_masked-dek_s131-processed-gene-0.12-mRNA-1_1&gene=snap_masked-dek_s131-processed-gene-0.12&CDS=1-2001	YOL141W
760	OG0000760	genemark-dek_s131-processed-gene-0.43-mRNA-1_1&gene=genemark-dek_s131-processed-gene-0.43&CDS=1-798	YOL142W
761	OG0000761	genemark-dek_s131-processed-gene-0.44-mRNA-1_1&gene=genemark-dek_s131-processed-gene-0.44&CDS=1-831	YLR128W
762	OG0000762	genemark-dek_s131-processed-gene-0.36-mRNA-1_1&gene=genemark-dek_s131-processed-gene-0.36&CDS=1-1941	YLR127C
763	OG0000763	genemark-dek_s131-processed-gene-0.45-mRNA-1_1&gene=genemark-dek_s131-processed-gene-0.45&CDS=1-1647	YDR145W
764	OG0000764	genemark-dek_s136-processed-gene-0.0-mRNA-1_1&gene=genemark-dek_s136-processed-gene-0.0&CDS=1-2247	YAL053W
765	OG0000765	genemark-dek_s137-processed-gene-0.58-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.58&CDS=1-1971	YDR057W
766	OG0000766	genemark-dek_s137-processed-gene-0.59-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.59&CDS=1-1275	YLR203C
767	OG0000767	genemark-dek_s137-processed-gene-0.68-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.68&CDS=1-1758	YDR266C
768	OG0000768	genemark-dek_s137-processed-gene-0.61-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.61&CDS=1-654	YHR100C
769	OG0000769	snap_masked-dek_s137-processed-gene-0.41-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-0.41&CDS=1-11508	YHR099W
770	OG0000770	snap_masked-dek_s137-processed-gene-0.42-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-0.42&CDS=1-693	YBR040W
771	OG0000771	genemark-dek_s137-processed-gene-0.71-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.71&CDS=1-1245	YBR042C
772	OG0000772	genemark-dek_s137-processed-gene-0.63-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.63&CDS=1-2394	YBR043C
773	OG0000773	genemark-dek_s137-processed-gene-0.72-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.72&CDS=1-2223	YBR102C
774	OG0000774	genemark-dek_s137-processed-gene-0.64-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.64&CDS=1-1860	YBR103W
775	OG0000775	maker-dek_s137-augustus-gene-0.55-mRNA-1_1&gene=maker-dek_s137-augustus-gene-0.55&CDS=1-1716	YPR063C
776	OG0000776	genemark-dek_s137-processed-gene-0.75-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.75&CDS=1-1200	YPR056W
777	OG0000777	genemark-dek_s137-processed-gene-0.76-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.76&CDS=1-5007	YBR097W
778	OG0000778	snap_masked-dek_s137-processed-gene-0.53-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-0.53&CDS=1-288	YKR095W-A
779	OG0000779	snap_masked-dek_s137-processed-gene-0.54-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-0.54&CDS=1-3792	YOR330C
780	OG0000780	maker-dek_s137-augustus-gene-1.32-mRNA-1_1&gene=maker-dek_s137-augustus-gene-1.32&CDS=1-3246	YPR163C
781	OG0000781	genemark-dek_s137-processed-gene-1.7-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.7&CDS=1-1635	YPL260W
782	OG0000782	genemark-dek_s137-processed-gene-1.8-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.8&CDS=1-930	YIR011C
783	OG0000783	genemark-dek_s137-processed-gene-1.24-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.24&CDS=1-1473	YER082C
784	OG0000784	genemark-dek_s137-processed-gene-1.10-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.10&CDS=1-1269	YKL216W
785	OG0000785	maker-dek_s137-snap-gene-1.31-mRNA-1_1&gene=maker-dek_s137-snap-gene-1.31&CDS=1-1017	YER083C
786	OG0000786	genemark-dek_s137-processed-gene-1.26-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.26&CDS=1-1053	YGR112W
787	OG0000787	genemark-dek_s137-processed-gene-1.13-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.13&CDS=1-1527	YLR197W
788	OG0000788	genemark-dek_s137-processed-gene-1.28-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.28&CDS=1-2370	YDL170W
789	OG0000789	genemark-dek_s137-processed-gene-1.20-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.20&CDS=1-3165	YBR081C
790	OG0000790	genemark-dek_s137-processed-gene-1.22-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.22&CDS=1-528	YNL310C
791	OG0000791	augustus_masked-dek_s137-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-2.0&CDS=1-873	YNL315C
792	OG0000792	genemark-dek_s137-processed-gene-2.34-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.34&CDS=1-1806	YMR224C
793	OG0000793	genemark-dek_s137-processed-gene-2.36-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.36&CDS=1-4995	YDR283C
794	OG0000794	genemark-dek_s137-processed-gene-2.54-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.54&CDS=1-306	YBR135W
795	OG0000795	genemark-dek_s137-processed-gene-2.37-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.37&CDS=1-1518	YBR133C
796	OG0000796	snap_masked-dek_s137-processed-gene-2.97-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-2.97&CDS=1-852	YNL245C
797	OG0000797	snap_masked-dek_s137-processed-gene-2.98-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-2.98&CDS=1-303	YNL244C
798	OG0000798	genemark-dek_s137-processed-gene-2.39-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.39&CDS=1-1359	YBR029C
799	OG0000799	genemark-dek_s137-processed-gene-2.40-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.40&CDS=1-1617	YGL028C
800	OG0000800	genemark-dek_s137-processed-gene-2.42-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.42&CDS=1-1179	YKL172W
801	OG0000801	genemark-dek_s137-processed-gene-2.43-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.43&CDS=1-1050	YJL167W
802	OG0000802	snap_masked-dek_s137-processed-gene-2.101-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-2.101&CDS=1-282	YJL166W
803	OG0000803	genemark-dek_s137-processed-gene-2.44-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.44&CDS=1-2286	YJL176C
804	OG0000804	genemark-dek_s137-processed-gene-2.61-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.61&CDS=1-2859	YKL173W
805	OG0000805	genemark-dek_s137-processed-gene-2.46-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.46&CDS=1-525	YKL016C
806	OG0000806	snap_masked-dek_s137-processed-gene-2.106-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-2.106&CDS=1-1842	YMR258C
807	OG0000807	snap_masked-dek_s137-processed-gene-2.107-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-2.107&CDS=1-177	YMR256C
808	OG0000808	genemark-dek_s137-processed-gene-2.63-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.63&CDS=1-1191	YOL054W
809	OG0000809	genemark-dek_s137-processed-gene-2.47-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.47&CDS=1-1308	YIL063C
810	OG0000810	genemark-dek_s137-processed-gene-2.64-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.64&CDS=1-735	YIL064W
811	OG0000811	genemark-dek_s137-processed-gene-2.49-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.49&CDS=1-1269	YBR195C
812	OG0000812	snap_masked-dek_s137-processed-gene-2.110-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-2.110&CDS=1-603	YPL078C
813	OG0000813	genemark-dek_s137-processed-gene-2.50-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.50&CDS=1-843	YKR060W
814	OG0000814	augustus_masked-dek_s137-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-2.18&CDS=1-2286	YJL143W
815	OG0000815	genemark-dek_s137-processed-gene-3.31-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.31&CDS=1-1989	YJL141C
816	OG0000816	genemark-dek_s137-processed-gene-3.32-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.32&CDS=1-573	YJL140W
817	OG0000817	genemark-dek_s137-processed-gene-3.33-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.33&CDS=1-2937	YBL037W
818	OG0000818	genemark-dek_s137-processed-gene-3.53-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.53&CDS=1-1062	YKL018W
819	OG0000819	genemark-dek_s137-processed-gene-3.36-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.36&CDS=1-3363	YJL020C
820	OG0000820	genemark-dek_s137-processed-gene-3.37-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.37&CDS=1-2526	YBR086C
821	OG0000821	genemark-dek_s137-processed-gene-3.54-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.54&CDS=1-741	YBL036C
822	OG0000822	genemark-dek_s137-processed-gene-3.38-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.38&CDS=1-852	YDL051W
823	OG0000823	snap_masked-dek_s137-processed-gene-3.73-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-3.73&CDS=1-2055	YBL035C
824	OG0000824	maker-dek_s137-augustus-gene-3.62-mRNA-1_1&gene=maker-dek_s137-augustus-gene-3.62&CDS=1-3150	YDR331W
825	OG0000825	genemark-dek_s137-processed-gene-3.55-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.55&CDS=1-1518	YHR084W
826	OG0000826	maker-dek_s137-snap-gene-3.100-mRNA-1_1&gene=maker-dek_s137-snap-gene-3.100&CDS=1-1962	YKL125W
827	OG0000827	genemark-dek_s137-processed-gene-3.57-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.57&CDS=1-2205	YHR197W
828	OG0000828	genemark-dek_s137-processed-gene-3.58-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.58&CDS=1-2439	YOR270C
829	OG0000829	genemark-dek_s137-processed-gene-3.44-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.44&CDS=1-3996	YLR384C
830	OG0000830	genemark-dek_s137-processed-gene-3.59-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.59&CDS=1-705	YDL059C
831	OG0000831	augustus_masked-dek_s137-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-3.13&CDS=1-5391	YDL058W
832	OG0000832	genemark-dek_s137-processed-gene-3.46-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.46&CDS=1-2358	YNR033W
833	OG0000833	genemark-dek_s137-processed-gene-3.47-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.47&CDS=1-2412	YCR077C
834	OG0000834	genemark-dek_s137-processed-gene-3.51-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.51&CDS=1-1545	YCR072C
835	OG0000835	snap_masked-dek_s137-processed-gene-3.88-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-3.88&CDS=1-3789	YMR109W
836	OG0000836	snap_masked-dek_s137-processed-gene-3.89-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-3.89&CDS=1-4806	YCR081W
837	OG0000837	maker-dek_s137-augustus-gene-4.45-mRNA-1_1&gene=maker-dek_s137-augustus-gene-4.45&CDS=1-3240	YOL140W
838	OG0000838	genemark-dek_s137-processed-gene-4.102-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.102&CDS=1-1065	YNR032W
839	OG0000839	snap_masked-dek_s137-processed-gene-4.51-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-4.51&CDS=1-219	YNR032C-A
840	OG0000840	augustus_masked-dek_s137-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-4.5&CDS=1-2778	YBR221C
841	OG0000841	genemark-dek_s137-processed-gene-4.132-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.132&CDS=1-2535	YIL140W
842	OG0000842	augustus_masked-dek_s137-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-4.29&CDS=1-1320	YGL127C
843	OG0000843	genemark-dek_s137-processed-gene-4.135-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.135&CDS=1-3555	YGL062W
844	OG0000844	snap_masked-dek_s137-processed-gene-4.86-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-4.86&CDS=1-1098	YNL212W
845	OG0000845	augustus_masked-dek_s137-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-4.10&CDS=1-867	YNL213C
846	OG0000846	genemark-dek_s137-processed-gene-4.115-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.115&CDS=1-1200	YGL048C
847	OG0000847	genemark-dek_s137-processed-gene-4.117-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.117&CDS=1-1680	YBR286W
848	OG0000848	genemark-dek_s137-processed-gene-4.118-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.118&CDS=1-1011	YNL274C
849	OG0000849	genemark-dek_s137-processed-gene-4.139-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.139&CDS=1-1059	YDR400W
850	OG0000850	genemark-dek_s137-processed-gene-4.140-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.140&CDS=1-720	YKR043C
851	OG0000851	genemark-dek_s137-processed-gene-4.121-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.121&CDS=1-336	YBR120C
852	OG0000852	genemark-dek_s137-processed-gene-4.141-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.141&CDS=1-1029	YJL117W
853	OG0000853	snap_masked-dek_s137-processed-gene-4.92-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-4.92&CDS=1-267	YER048W-A
854	OG0000854	genemark-dek_s137-processed-gene-4.143-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.143&CDS=1-1302	YER048C
855	OG0000855	genemark-dek_s137-processed-gene-4.125-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.125&CDS=1-2319	YPL074W
856	OG0000856	genemark-dek_s137-processed-gene-4.145-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.145&CDS=1-1431	YLR378C
857	OG0000857	augustus_masked-dek_s137-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-4.24&CDS=1-2412	YLR377C
858	OG0000858	genemark-dek_s137-processed-gene-4.129-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.129&CDS=1-1086	YDL055C
859	OG0000859	snap_masked-dek_s137-processed-gene-4.99-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-4.99&CDS=1-267	YJR135W-A
860	OG0000860	snap_masked-dek_s137-processed-gene-5.56-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-5.56&CDS=1-189	YFR032C-A
861	OG0000861	genemark-dek_s137-processed-gene-5.116-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.116&CDS=1-3024	YFL025C
862	OG0000862	genemark-dek_s137-processed-gene-5.118-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.118&CDS=1-876	YPR139C
863	OG0000863	genemark-dek_s137-processed-gene-5.138-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.138&CDS=1-666	YIR005W
864	OG0000864	genemark-dek_s137-processed-gene-5.119-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.119&CDS=1-2430	YMR049C
865	OG0000865	genemark-dek_s137-processed-gene-5.120-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.120&CDS=1-846	YNL055C
866	OG0000866	genemark-dek_s137-processed-gene-5.121-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.121&CDS=1-1218	YJL006C
867	OG0000867	augustus_masked-dek_s137-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-5.28&CDS=1-3561	YGR252W
868	OG0000868	augustus_masked-dek_s137-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-5.15&CDS=1-5886	YHR170W
869	OG0000869	genemark-dek_s137-processed-gene-5.144-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.144&CDS=1-756	YGR253C
870	OG0000870	snap_masked-dek_s137-processed-gene-5.92-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-5.92&CDS=1-1212	YGR244C
871	OG0000871	genemark-dek_s137-processed-gene-5.125-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.125&CDS=1-891	YOR287C
872	OG0000872	genemark-dek_s137-processed-gene-5.146-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.146&CDS=1-567	YOR286W
873	OG0000873	snap_masked-dek_s137-processed-gene-5.74-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-5.74&CDS=1-948	YDR174W
874	OG0000874	genemark-dek_s137-processed-gene-5.149-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.149&CDS=1-2232	YGR245C
875	OG0000875	maker-dek_s137-snap-gene-5.47-mRNA-1_1&gene=maker-dek_s137-snap-gene-5.47&CDS=1-1038	YGR246C
876	OG0000876	genemark-dek_s137-processed-gene-5.151-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.151&CDS=1-1305	YHR169W
877	OG0000877	genemark-dek_s137-processed-gene-5.128-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.128&CDS=1-1575	YHR168W
878	OG0000878	genemark-dek_s137-processed-gene-5.129-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.129&CDS=1-1521	YPL122C
879	OG0000879	snap_masked-dek_s137-processed-gene-5.78-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-5.78&CDS=1-3477	YOR207C
880	OG0000880	augustus_masked-dek_s137-processed-gene-5.22-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-5.22&CDS=1-2742	YPL133C
881	OG0000881	genemark-dek_s137-processed-gene-5.154-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.154&CDS=1-2199	YOR206W
882	OG0000882	genemark-dek_s137-processed-gene-5.156-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.156&CDS=1-852	YPL134C
883	OG0000883	genemark-dek_s137-processed-gene-5.157-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.157&CDS=1-861	YOR223W
884	OG0000884	genemark-dek_s137-processed-gene-5.134-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.134&CDS=1-516	YJR025C
885	OG0000885	genemark-dek_s137-processed-gene-5.159-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.159&CDS=1-2535	YDR089W
886	OG0000886	genemark-dek_s137-processed-gene-6.98-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.98&CDS=1-4251	YJR137C
887	OG0000887	genemark-dek_s137-processed-gene-6.99-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.99&CDS=1-783	YHR200W
888	OG0000888	genemark-dek_s137-processed-gene-6.102-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.102&CDS=1-777	YMR048W
