	OrthologID	Metschnikowia_santaceciliae	Saccharomyces_cerevisiae
317	OG0000317	augustus_masked-sce_s246-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-sce_s246-processed-gene-0.37&CDS=1-657	YER031C, YGL210W
318	OG0000318	augustus_masked-sce_s611-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sce_s611-processed-gene-0.0&CDS=1-861, genemark-sce_s247-processed-gene-0.16-mRNA-1_1&gene=genemark-sce_s247-processed-gene-0.16&CDS=1-3618	YOL051W
319	OG0000319	snap_masked-sce_s25-processed-gene-0.18-mRNA-1_1&gene=snap_masked-sce_s25-processed-gene-0.18&CDS=1-3099, snap_masked-sce_s561-processed-gene-0.18-mRNA-1_1&gene=snap_masked-sce_s561-processed-gene-0.18&CDS=1-552	YOR144C
320	OG0000320	genemark-sce_s250-processed-gene-0.12-mRNA-1_1&gene=genemark-sce_s250-processed-gene-0.12&CDS=1-1275, genemark-sce_s456-processed-gene-0.44-mRNA-1_1&gene=genemark-sce_s456-processed-gene-0.44&CDS=1-1224	YLR174W
321	OG0000321	snap_masked-sce_s252-processed-gene-0.0-mRNA-1_1&gene=snap_masked-sce_s252-processed-gene-0.0&CDS=1-4674, snap_masked-sce_s76-processed-gene-0.14-mRNA-1_1&gene=snap_masked-sce_s76-processed-gene-0.14&CDS=1-273	YKL014C
322	OG0000322	genemark-sce_s252-processed-gene-0.77-mRNA-1_1&gene=genemark-sce_s252-processed-gene-0.77&CDS=1-1944	YDR069C, YER144C
323	OG0000323	augustus_masked-sce_s252-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-sce_s252-processed-gene-0.52&CDS=1-3480, genemark-sce_s652-processed-gene-0.73-mRNA-1_1&gene=genemark-sce_s652-processed-gene-0.73&CDS=1-1212	YDL156W
324	OG0000324	genemark-sce_s257-processed-gene-0.6-mRNA-1_1&gene=genemark-sce_s257-processed-gene-0.6&CDS=1-2994	YKL068W, YMR047C
325	OG0000325	genemark-sce_s257-processed-gene-0.54-mRNA-1_1&gene=genemark-sce_s257-processed-gene-0.54&CDS=1-1275, genemark-sce_s97-processed-gene-0.13-mRNA-1_1&gene=genemark-sce_s97-processed-gene-0.13&CDS=1-1425	YHR135C
326	OG0000326	genemark-sce_s257-processed-gene-0.55-mRNA-1_1&gene=genemark-sce_s257-processed-gene-0.55&CDS=1-591	YER067W, YIL057C
327	OG0000327	augustus_masked-sce_s44-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-sce_s44-processed-gene-0.53&CDS=1-264, genemark-sce_s257-processed-gene-0.59-mRNA-1_1&gene=genemark-sce_s257-processed-gene-0.59&CDS=1-1083	YKL178C
328	OG0000328	augustus_masked-sce_s257-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-sce_s257-processed-gene-0.144&CDS=1-534	YOR226C, YPL135W
329	OG0000329	genemark-sce_s259-processed-gene-0.30-mRNA-1_1&gene=genemark-sce_s259-processed-gene-0.30&CDS=1-312	YGR027C, YLR333C
330	OG0000330	genemark-sce_s259-processed-gene-0.34-mRNA-1_1&gene=genemark-sce_s259-processed-gene-0.34&CDS=1-1920	YHR131C, YNL144C
331	OG0000331	genemark-sce_s262-processed-gene-0.23-mRNA-1_1&gene=genemark-sce_s262-processed-gene-0.23&CDS=1-1734, snap_masked-sce_s75-processed-gene-0.4-mRNA-1_1&gene=snap_masked-sce_s75-processed-gene-0.4&CDS=1-225	YPL208W
332	OG0000332	augustus_masked-sce_s657-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-sce_s657-processed-gene-0.21&CDS=1-213, genemark-sce_s262-processed-gene-0.31-mRNA-1_1&gene=genemark-sce_s262-processed-gene-0.31&CDS=1-2790	YML093W
333	OG0000333	genemark-sce_s273-processed-gene-0.22-mRNA-1_1&gene=genemark-sce_s273-processed-gene-0.22&CDS=1-2967, genemark-sce_s28-processed-gene-0.38-mRNA-1_1&gene=genemark-sce_s28-processed-gene-0.38&CDS=1-1068	YKR050W
334	OG0000334	genemark-sce_s273-processed-gene-0.33-mRNA-1_1&gene=genemark-sce_s273-processed-gene-0.33&CDS=1-1122	YIL135C, YNL074C
335	OG0000335	genemark-sce_s273-processed-gene-0.28-mRNA-1_1&gene=genemark-sce_s273-processed-gene-0.28&CDS=1-675, genemark-sce_s45-processed-gene-2.25-mRNA-1_1&gene=genemark-sce_s45-processed-gene-2.25&CDS=1-762	YBL064C
336	OG0000336	genemark-sce_s273-processed-gene-0.31-mRNA-1_1&gene=genemark-sce_s273-processed-gene-0.31&CDS=1-861	YDR253C, YPL038W
337	OG0000337	genemark-sce_s273-processed-gene-0.32-mRNA-1_1&gene=genemark-sce_s273-processed-gene-0.32&CDS=1-1134, genemark-sce_s75-processed-gene-0.41-mRNA-1_1&gene=genemark-sce_s75-processed-gene-0.41&CDS=1-1110	YDL022W
338	OG0000338	augustus_masked-sce_s622-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-sce_s622-processed-gene-1.39&CDS=1-3522, snap_masked-sce_s276-processed-gene-0.127-mRNA-1_1&gene=snap_masked-sce_s276-processed-gene-0.127&CDS=1-333	YOL138C
339	OG0000339	genemark-sce_s276-processed-gene-0.71-mRNA-1_1&gene=genemark-sce_s276-processed-gene-0.71&CDS=1-633	YCL050C, YDR530C
340	OG0000340	genemark-sce_s279-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s279-processed-gene-0.2&CDS=1-852	YLR270W, YOR173W
341	OG0000341	genemark-sce_s28-processed-gene-0.44-mRNA-1_1&gene=genemark-sce_s28-processed-gene-0.44&CDS=1-2130	YGR056W, YLR357W
342	OG0000342	augustus_masked-sce_s28-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-sce_s28-processed-gene-0.58&CDS=1-324, augustus_masked-sce_s3-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-sce_s3-processed-gene-3.48&CDS=1-639	YOL032W
343	OG0000343	genemark-sce_s28-processed-gene-0.41-mRNA-1_1&gene=genemark-sce_s28-processed-gene-0.41&CDS=1-3747	YDR122W, YLR096W
344	OG0000344	augustus_masked-sce_s282-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sce_s282-processed-gene-0.18&CDS=1-507	YKL141W, YMR118C
345	OG0000345	genemark-sce_s286-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s286-processed-gene-0.2&CDS=1-1773	YDR497C, YOL103W
346	OG0000346	augustus_masked-sce_s287-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sce_s287-processed-gene-0.8&CDS=1-1059	YPR013C, YPR015C
347	OG0000347	augustus_masked-sce_s294-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-sce_s294-processed-gene-0.14&CDS=1-900, genemark-sce_s3-processed-gene-2.61-mRNA-1_1&gene=genemark-sce_s3-processed-gene-2.61&CDS=1-870	YER118C
348	OG0000348	genemark-sce_s295-processed-gene-0.54-mRNA-1_1&gene=genemark-sce_s295-processed-gene-0.54&CDS=1-561	YNL096C, YOR096W
349	OG0000349	genemark-sce_s295-processed-gene-1.121-mRNA-1_1&gene=genemark-sce_s295-processed-gene-1.121&CDS=1-1257	YMR177W, YPL224C
350	OG0000350	genemark-sce_s3-processed-gene-0.28-mRNA-1_1&gene=genemark-sce_s3-processed-gene-0.28&CDS=1-360	YGR243W, YHR162W
351	OG0000351	genemark-sce_s3-processed-gene-0.44-mRNA-1_1&gene=genemark-sce_s3-processed-gene-0.44&CDS=1-2373	YMR119W, YNL008C
352	OG0000352	genemark-sce_s3-processed-gene-1.102-mRNA-1_1&gene=genemark-sce_s3-processed-gene-1.102&CDS=1-2436	YFL004W, YPL019C
353	OG0000353	genemark-sce_s3-processed-gene-1.107-mRNA-1_1&gene=genemark-sce_s3-processed-gene-1.107&CDS=1-600, genemark-sce_s551-processed-gene-0.18-mRNA-1_1&gene=genemark-sce_s551-processed-gene-0.18&CDS=1-594	YDR032C
354	OG0000354	genemark-sce_s3-processed-gene-1.130-mRNA-1_1&gene=genemark-sce_s3-processed-gene-1.130&CDS=1-1038	YEL006W, YIL006W
355	OG0000355	snap_masked-sce_s3-processed-gene-1.38-mRNA-1_1&gene=snap_masked-sce_s3-processed-gene-1.38&CDS=1-2364	YBR150C, YOL089C
356	OG0000356	genemark-sce_s3-processed-gene-1.134-mRNA-1_1&gene=genemark-sce_s3-processed-gene-1.134&CDS=1-1725	YNL293W, YOL112W
357	OG0000357	genemark-sce_s3-processed-gene-2.74-mRNA-1_1&gene=genemark-sce_s3-processed-gene-2.74&CDS=1-651	YGL135W, YPL220W
358	OG0000358	augustus_masked-sce_s555-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-sce_s555-processed-gene-0.24&CDS=1-2145, genemark-sce_s3-processed-gene-3.121-mRNA-1_1&gene=genemark-sce_s3-processed-gene-3.121&CDS=1-3258	YGL179C
359	OG0000359	genemark-sce_s3-processed-gene-3.100-mRNA-1_1&gene=genemark-sce_s3-processed-gene-3.100&CDS=1-1890	YER059W, YIL050W
360	OG0000360	genemark-sce_s723-processed-gene-0.31-mRNA-1_1&gene=genemark-sce_s723-processed-gene-0.31&CDS=1-1461, snap_masked-sce_s3-processed-gene-3.179-mRNA-1_1&gene=snap_masked-sce_s3-processed-gene-3.179&CDS=1-1410	YGR019W
361	OG0000361	genemark-sce_s3-processed-gene-3.136-mRNA-1_1&gene=genemark-sce_s3-processed-gene-3.136&CDS=1-1452	YGR177C, YOR377W
362	OG0000362	augustus_masked-sce_s3-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-sce_s3-processed-gene-3.40&CDS=1-1263	YOR237W, YPL145C
363	OG0000363	snap_masked-sce_s3-processed-gene-3.188-mRNA-1_1&gene=snap_masked-sce_s3-processed-gene-3.188&CDS=1-297	YOR234C, YPL143W
364	OG0000364	genemark-sce_s306-processed-gene-0.14-mRNA-1_1&gene=genemark-sce_s306-processed-gene-0.14&CDS=1-705	YDR259C, YOR028C
365	OG0000365	augustus_masked-sce_s53-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sce_s53-processed-gene-0.9&CDS=1-243, snap_masked-sce_s306-processed-gene-0.0-mRNA-1_1&gene=snap_masked-sce_s306-processed-gene-0.0&CDS=1-282	YHR051W
366	OG0000366	augustus_masked-sce_s306-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sce_s306-processed-gene-0.18&CDS=1-450, genemark-sce_s43-processed-gene-1.7-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.7&CDS=1-672	YJL148W
367	OG0000367	genemark-sce_s309-processed-gene-0.12-mRNA-1_1&gene=genemark-sce_s309-processed-gene-0.12&CDS=1-1269	YDR300C, YHR033W
368	OG0000368	augustus_masked-sce_s314-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sce_s314-processed-gene-0.7&CDS=1-696, augustus_masked-sce_s45-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-sce_s45-processed-gene-0.21&CDS=1-1059	YDL205C
369	OG0000369	augustus_masked-sce_s323-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-sce_s323-processed-gene-0.60&CDS=1-171	YBR048W, YDR025W
370	OG0000370	genemark-sce_s323-processed-gene-0.108-mRNA-1_1&gene=genemark-sce_s323-processed-gene-0.108&CDS=1-1509, genemark-sce_s745-processed-gene-0.128-mRNA-1_1&gene=genemark-sce_s745-processed-gene-0.128&CDS=1-1473	YBR006W
371	OG0000371	genemark-sce_s323-processed-gene-0.98-mRNA-1_1&gene=genemark-sce_s323-processed-gene-0.98&CDS=1-1677, genemark-sce_s43-processed-gene-2.141-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.141&CDS=1-1410	YEL060C
372	OG0000372	genemark-sce_s323-processed-gene-1.171-mRNA-1_1&gene=genemark-sce_s323-processed-gene-1.171&CDS=1-2001	YBR216C, YGL060W
373	OG0000373	augustus_masked-sce_s323-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-sce_s323-processed-gene-1.140&CDS=1-978	YBR273C, YJL048C
374	OG0000374	augustus_masked-sce_s323-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-sce_s323-processed-gene-1.108&CDS=1-1347, snap_masked-sce_s82-processed-gene-0.1-mRNA-1_1&gene=snap_masked-sce_s82-processed-gene-0.1&CDS=1-252	YJL049W
375	OG0000375	genemark-sce_s323-processed-gene-1.186-mRNA-1_1&gene=genemark-sce_s323-processed-gene-1.186&CDS=1-1251	YFR024C-A, YHR016C
376	OG0000376	genemark-sce_s323-processed-gene-1.194-mRNA-1_1&gene=genemark-sce_s323-processed-gene-1.194&CDS=1-591	YBL072C, YER102W
377	OG0000377	augustus_masked-sce_s396-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sce_s396-processed-gene-0.4&CDS=1-561, genemark-sce_s327-processed-gene-0.13-mRNA-1_1&gene=genemark-sce_s327-processed-gene-0.13&CDS=1-2091	YIL005W
378	OG0000378	genemark-sce_s33-processed-gene-0.49-mRNA-1_1&gene=genemark-sce_s33-processed-gene-0.49&CDS=1-1659	YKL127W, YMR105C
379	OG0000379	genemark-sce_s332-processed-gene-0.65-mRNA-1_1&gene=genemark-sce_s332-processed-gene-0.65&CDS=1-1425	YLR260W, YOR171C
380	OG0000380	genemark-sce_s332-processed-gene-0.72-mRNA-1_1&gene=genemark-sce_s332-processed-gene-0.72&CDS=1-1182	YDL088C, YMR153W
381	OG0000381	genemark-sce_s332-processed-gene-0.106-mRNA-1_1&gene=genemark-sce_s332-processed-gene-0.106&CDS=1-1938, genemark-sce_s355-processed-gene-0.46-mRNA-1_1&gene=genemark-sce_s355-processed-gene-0.46&CDS=1-1926	YJR045C
382	OG0000382	genemark-sce_s332-processed-gene-0.124-mRNA-1_1&gene=genemark-sce_s332-processed-gene-0.124&CDS=1-1767	YJR130C, YML082W
383	OG0000383	genemark-sce_s332-processed-gene-0.125-mRNA-1_1&gene=genemark-sce_s332-processed-gene-0.125&CDS=1-3075	YLR450W, YML075C
384	OG0000384	snap_masked-sce_s34-processed-gene-0.16-mRNA-1_1&gene=snap_masked-sce_s34-processed-gene-0.16&CDS=1-402	YBR082C, YDR059C
385	OG0000385	augustus_masked-sce_s34-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-sce_s34-processed-gene-0.23&CDS=1-2685, snap_masked-sce_s456-processed-gene-0.84-mRNA-1_1&gene=snap_masked-sce_s456-processed-gene-0.84&CDS=1-1668	YDL170W
386	OG0000386	genemark-sce_s45-processed-gene-3.72-mRNA-1_1&gene=genemark-sce_s45-processed-gene-3.72&CDS=1-681, snap_masked-sce_s355-processed-gene-0.76-mRNA-1_1&gene=snap_masked-sce_s355-processed-gene-0.76&CDS=1-186	YPR124W
387	OG0000387	augustus_masked-sce_s355-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sce_s355-processed-gene-0.12&CDS=1-480	YBR191W, YPL079W
388	OG0000388	genemark-sce_s359-processed-gene-0.3-mRNA-1_1&gene=genemark-sce_s359-processed-gene-0.3&CDS=1-843	YMR222C, YOR280C
389	OG0000389	genemark-sce_s367-processed-gene-0.11-mRNA-1_1&gene=genemark-sce_s367-processed-gene-0.11&CDS=1-1230	YBR066C, YDR043C
390	OG0000390	genemark-sce_s374-processed-gene-0.80-mRNA-1_1&gene=genemark-sce_s374-processed-gene-0.80&CDS=1-3930	YLL016W, YLR310C
391	OG0000391	genemark-sce_s374-processed-gene-0.82-mRNA-1_1&gene=genemark-sce_s374-processed-gene-0.82&CDS=1-4506	YEL022W, YJR031C
392	OG0000392	genemark-sce_s374-processed-gene-0.72-mRNA-1_1&gene=genemark-sce_s374-processed-gene-0.72&CDS=1-1827	YDL224C, YNL197C
393	OG0000393	genemark-sce_s385-processed-gene-0.0-mRNA-1_1&gene=genemark-sce_s385-processed-gene-0.0&CDS=1-966	YGR136W, YPR154W
394	OG0000394	genemark-sce_s385-processed-gene-0.16-mRNA-1_1&gene=genemark-sce_s385-processed-gene-0.16&CDS=1-360	YDL136W, YDL191W
395	OG0000395	genemark-sce_s385-processed-gene-0.17-mRNA-1_1&gene=genemark-sce_s385-processed-gene-0.17&CDS=1-543	YDL137W, YDL192W
396	OG0000396	maker-sce_s385-augustus-gene-0.62-mRNA-1_1&gene=maker-sce_s385-augustus-gene-0.62&CDS=1-1278	YGR131W, YPR149W
397	OG0000397	maker-sce_s385-snap-gene-0.29-mRNA-1_1&gene=maker-sce_s385-snap-gene-0.29&CDS=1-2100	YGR143W, YPR159W
398	OG0000398	genemark-sce_s385-processed-gene-0.22-mRNA-1_1&gene=genemark-sce_s385-processed-gene-0.22&CDS=1-816	YDL127W, YDL179W
399	OG0000399	snap_masked-sce_s399-processed-gene-0.36-mRNA-1_1&gene=snap_masked-sce_s399-processed-gene-0.36&CDS=1-3366, snap_masked-sce_s432-processed-gene-0.4-mRNA-1_1&gene=snap_masked-sce_s432-processed-gene-0.4&CDS=1-270	YJR140C
400	OG0000400	augustus_masked-sce_s44-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-sce_s44-processed-gene-0.52&CDS=1-909, genemark-sce_s406-processed-gene-0.19-mRNA-1_1&gene=genemark-sce_s406-processed-gene-0.19&CDS=1-969	YGR060W
401	OG0000401	genemark-sce_s406-processed-gene-0.20-mRNA-1_1&gene=genemark-sce_s406-processed-gene-0.20&CDS=1-516	YMR242C, YOR312C
402	OG0000402	genemark-sce_s406-processed-gene-0.21-mRNA-1_1&gene=genemark-sce_s406-processed-gene-0.21&CDS=1-807, genemark-sce_s541-processed-gene-0.41-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.41&CDS=1-804	YMR226C
403	OG0000403	genemark-sce_s406-processed-gene-0.29-mRNA-1_1&gene=genemark-sce_s406-processed-gene-0.29&CDS=1-1413	YCL040W, YDR516C
404	OG0000404	augustus_masked-sce_s677-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sce_s677-processed-gene-0.0&CDS=1-339, maker-sce_s406-augustus-gene-0.35-mRNA-1_1&gene=maker-sce_s406-augustus-gene-0.35&CDS=1-2907	YFR010W
405	OG0000405	genemark-sce_s409-processed-gene-0.13-mRNA-1_1&gene=genemark-sce_s409-processed-gene-0.13&CDS=1-819	YDL049C, YJL174W
406	OG0000406	augustus_masked-sce_s411-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-sce_s411-processed-gene-0.34&CDS=1-723	YGL076C, YPL198W
407	OG0000407	augustus_masked-sce_s522-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-sce_s522-processed-gene-0.37&CDS=1-609, genemark-sce_s411-processed-gene-0.7-mRNA-1_1&gene=genemark-sce_s411-processed-gene-0.7&CDS=1-1896	YML127W
408	OG0000408	augustus_masked-sce_s48-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-sce_s48-processed-gene-0.46&CDS=1-279, genemark-sce_s411-processed-gene-0.22-mRNA-1_1&gene=genemark-sce_s411-processed-gene-0.22&CDS=1-1086	YML095C
409	OG0000409	augustus_masked-sce_s9-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-sce_s9-processed-gene-0.31&CDS=1-3279, snap_masked-sce_s42-processed-gene-0.44-mRNA-1_1&gene=snap_masked-sce_s42-processed-gene-0.44&CDS=1-879	YOR093C
410	OG0000410	genemark-sce_s43-processed-gene-0.1-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.1&CDS=1-459	YGL031C, YGR148C
411	OG0000411	genemark-sce_s43-processed-gene-0.32-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.32&CDS=1-2265, snap_masked-sce_s555-processed-gene-0.18-mRNA-1_1&gene=snap_masked-sce_s555-processed-gene-0.18&CDS=1-252	YGR150C
412	OG0000412	genemark-sce_s43-processed-gene-0.10-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.10&CDS=1-915	YDR368W, YOR120W
413	OG0000413	genemark-sce_s43-processed-gene-0.43-mRNA-1_1&gene=genemark-sce_s43-processed-gene-0.43&CDS=1-978	YDL175C, YIL079C
414	OG0000414	genemark-sce_s43-processed-gene-1.5-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.5&CDS=1-1707, genemark-sce_s685-processed-gene-0.14-mRNA-1_1&gene=genemark-sce_s685-processed-gene-0.14&CDS=1-1689	YNR055C
415	OG0000415	genemark-sce_s43-processed-gene-1.13-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.13&CDS=1-1125	YMR253C, YPL264C
416	OG0000416	genemark-sce_s43-processed-gene-1.39-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.39&CDS=1-2814	YKR089C, YOR081C
417	OG0000417	genemark-sce_s43-processed-gene-1.23-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.23&CDS=1-3300	YIR033W, YKL020C
418	OG0000418	genemark-sce_s43-processed-gene-2.103-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.103&CDS=1-1425	YMR182C, YPL230W
419	OG0000419	genemark-sce_s43-processed-gene-2.122-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.122&CDS=1-2148	YER066W, YFL009W
420	OG0000420	genemark-sce_s43-processed-gene-2.143-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.143&CDS=1-654	YML106W, YMR271C
421	OG0000421	maker-sce_s43-augustus-gene-3.61-mRNA-1_1&gene=maker-sce_s43-augustus-gene-3.61&CDS=1-1251	YDR348C, YHR097C
422	OG0000422	genemark-sce_s442-processed-gene-0.37-mRNA-1_1&gene=genemark-sce_s442-processed-gene-0.37&CDS=1-807, snap_masked-sce_s441-processed-gene-0.2-mRNA-1_1&gene=snap_masked-sce_s441-processed-gene-0.2&CDS=1-264	YMR289W
423	OG0000423	genemark-sce_s446-processed-gene-0.1-mRNA-1_1&gene=genemark-sce_s446-processed-gene-0.1&CDS=1-354	YCL035C, YDR513W
424	OG0000424	genemark-sce_s447-processed-gene-0.110-mRNA-1_1&gene=genemark-sce_s447-processed-gene-0.110&CDS=1-3192	YBL106C, YPR032W
425	OG0000425	genemark-sce_s447-processed-gene-0.158-mRNA-1_1&gene=genemark-sce_s447-processed-gene-0.158&CDS=1-1617	YDL042C, YOL068C
426	OG0000426	genemark-sce_s45-processed-gene-0.84-mRNA-1_1&gene=genemark-sce_s45-processed-gene-0.84&CDS=1-987, genemark-sce_s648-processed-gene-0.71-mRNA-1_1&gene=genemark-sce_s648-processed-gene-0.71&CDS=1-981	YOR246C
427	OG0000427	genemark-sce_s45-processed-gene-0.74-mRNA-1_1&gene=genemark-sce_s45-processed-gene-0.74&CDS=1-1263, genemark-sce_s646-processed-gene-0.10-mRNA-1_1&gene=genemark-sce_s646-processed-gene-0.10&CDS=1-1284	YDL131W
428	OG0000428	genemark-sce_s45-processed-gene-1.130-mRNA-1_1&gene=genemark-sce_s45-processed-gene-1.130&CDS=1-618, genemark-sce_s541-processed-gene-0.37-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.37&CDS=1-618	YNR018W
429	OG0000429	augustus_masked-sce_s45-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-sce_s45-processed-gene-1.86&CDS=1-1299	YDR353W, YHR106W
430	OG0000430	genemark-sce_s45-processed-gene-1.146-mRNA-1_1&gene=genemark-sce_s45-processed-gene-1.146&CDS=1-831, maker-sce_s472-snap-gene-0.17-mRNA-1_1&gene=maker-sce_s472-snap-gene-0.17&CDS=1-804	YOR106W
431	OG0000431	genemark-sce_s45-processed-gene-2.2-mRNA-1_1&gene=genemark-sce_s45-processed-gene-2.2&CDS=1-3036	YKL072W, YMR053C
432	OG0000432	genemark-sce_s45-processed-gene-2.4-mRNA-1_1&gene=genemark-sce_s45-processed-gene-2.4&CDS=1-990	YKR076W, YMR251W
433	OG0000433	snap_masked-sce_s45-processed-gene-2.59-mRNA-1_1&gene=snap_masked-sce_s45-processed-gene-2.59&CDS=1-2409	YBR172C, YPL105C
434	OG0000434	augustus_masked-sce_s45-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-sce_s45-processed-gene-2.122&CDS=1-1977, genemark-sce_s456-processed-gene-0.32-mRNA-1_1&gene=genemark-sce_s456-processed-gene-0.32&CDS=1-1008	YDL144C
435	OG0000435	genemark-sce_s45-processed-gene-3.96-mRNA-1_1&gene=genemark-sce_s45-processed-gene-3.96&CDS=1-612	YLR029C, YMR121C
436	OG0000436	genemark-sce_s45-processed-gene-3.76-mRNA-1_1&gene=genemark-sce_s45-processed-gene-3.76&CDS=1-768	YDR066C, YER139C
437	OG0000437	genemark-sce_s45-processed-gene-3.107-mRNA-1_1&gene=genemark-sce_s45-processed-gene-3.107&CDS=1-3153	YML100W, YMR261C
438	OG0000438	augustus_masked-sce_s522-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-sce_s522-processed-gene-0.39&CDS=1-1809, genemark-sce_s45-processed-gene-3.113-mRNA-1_1&gene=genemark-sce_s45-processed-gene-3.113&CDS=1-1662	YDL174C
439	OG0000439	snap_masked-sce_s45-processed-gene-3.22-mRNA-1_1&gene=snap_masked-sce_s45-processed-gene-3.22&CDS=1-354	YFL034C-A, YLR061W
440	OG0000440	genemark-sce_s45-processed-gene-3.119-mRNA-1_1&gene=genemark-sce_s45-processed-gene-3.119&CDS=1-1020	YAL034C, YOR338W
441	OG0000441	genemark-sce_s45-processed-gene-4.59-mRNA-1_1&gene=genemark-sce_s45-processed-gene-4.59&CDS=1-2469	YFR015C, YLR258W
442	OG0000442	augustus_masked-sce_s45-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-sce_s45-processed-gene-4.15&CDS=1-2760	YHR117W, YNL121C
443	OG0000443	genemark-sce_s45-processed-gene-4.66-mRNA-1_1&gene=genemark-sce_s45-processed-gene-4.66&CDS=1-1185	YHR123W, YNL130C
444	OG0000444	augustus_masked-sce_s45-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-sce_s45-processed-gene-4.20&CDS=1-2247, snap_masked-sce_s579-processed-gene-0.2-mRNA-1_1&gene=snap_masked-sce_s579-processed-gene-0.2&CDS=1-198	YNL258C
445	OG0000445	augustus_masked-sce_s45-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-sce_s45-processed-gene-4.44&CDS=1-3858	YDR409W, YOR156C
446	OG0000446	augustus_masked-sce_s45-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-sce_s45-processed-gene-4.29&CDS=1-2715	YMR237W, YOR299W
447	OG0000447	genemark-sce_s45-processed-gene-5.232-mRNA-1_1&gene=genemark-sce_s45-processed-gene-5.232&CDS=1-588	YDR453C, YML028W
448	OG0000448	genemark-sce_s45-processed-gene-5.195-mRNA-1_1&gene=genemark-sce_s45-processed-gene-5.195&CDS=1-678	YDR185C, YLR168C
449	OG0000449	genemark-sce_s45-processed-gene-5.241-mRNA-1_1&gene=genemark-sce_s45-processed-gene-5.241&CDS=1-699, maker-sce_s500-augustus-gene-0.0-mRNA-1_1&gene=maker-sce_s500-augustus-gene-0.0&CDS=1-429	YDR262W
450	OG0000450	genemark-sce_s45-processed-gene-5.245-mRNA-1_1&gene=genemark-sce_s45-processed-gene-5.245&CDS=1-390, genemark-sce_s642-processed-gene-0.3-mRNA-1_1&gene=genemark-sce_s642-processed-gene-0.3&CDS=1-390	YJL190C
451	OG0000451	genemark-sce_s45-processed-gene-5.253-mRNA-1_1&gene=genemark-sce_s45-processed-gene-5.253&CDS=1-2622, genemark-sce_s586-processed-gene-0.17-mRNA-1_1&gene=genemark-sce_s586-processed-gene-0.17&CDS=1-2610	YLR241W
452	OG0000452	genemark-sce_s45-processed-gene-5.224-mRNA-1_1&gene=genemark-sce_s45-processed-gene-5.224&CDS=1-369	YHR132W-A, YNL157W
453	OG0000453	augustus_masked-sce_s45-processed-gene-5.176-mRNA-1_1&gene=augustus_masked-sce_s45-processed-gene-5.176&CDS=1-858	YHR133C, YNL156C
