	OrthologID	Saccharomyces_cerevisiae	Saccharomyces_kudriavzevii
274	OG0000274	YAL034C	augustus_masked-Skud_1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.57&CDS=1-1227
275	OG0000275	YAL034W-A	augustus_masked-Skud_1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.24&CDS=1-864
276	OG0000276	YAL035W	augustus_masked-Skud_1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.23&CDS=1-2976
277	OG0000277	YAL036C	augustus_masked-Skud_1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.56&CDS=1-1107
278	OG0000278	YAL037W	augustus_masked-Skud_1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.22&CDS=1-789
279	OG0000279	YAL039C	augustus_masked-Skud_1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.55&CDS=1-792
280	OG0000280	YAL040C	augustus_masked-Skud_1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.54&CDS=1-1752
281	OG0000281	YAL041W	augustus_masked-Skud_1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.20&CDS=1-3789
282	OG0000282	YAL043C	augustus_masked-Skud_1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.53&CDS=1-2352
283	OG0000283	YAL044C	augustus_masked-Skud_1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.52&CDS=1-510
284	OG0000284	YAL044W-A	augustus_masked-Skud_1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.19&CDS=1-330
285	OG0000285	YAL048C	augustus_masked-Skud_1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.51&CDS=1-4608
286	OG0000286	YAL051W	augustus_masked-Skud_1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.18&CDS=1-3120
287	OG0000287	YAL053W	augustus_masked-Skud_1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.17&CDS=1-2331
288	OG0000288	YAL054C	augustus_masked-Skud_1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.50&CDS=1-2139
289	OG0000289	YAL056W	augustus_masked-Skud_1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.16&CDS=1-4548
290	OG0000290	YAL059W	genemark-Skud_1-processed-gene-0.77-mRNA-1_1&gene=genemark-Skud_1-processed-gene-0.77&CDS=1-564
291	OG0000291	YAL061W	maker-Skud_1-snap-gene-0.0-mRNA-1_1&gene=maker-Skud_1-snap-gene-0.0&CDS=1-2391
292	OG0000292	YAR002C-A	augustus_masked-Skud_1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.71&CDS=1-657
293	OG0000293	YAR002W	augustus_masked-Skud_1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.38&CDS=1-1608
294	OG0000294	YAR003W	genemark-Skud_1-processed-gene-0.103-mRNA-1_1&gene=genemark-Skud_1-processed-gene-0.103&CDS=1-1284
295	OG0000295	YAR007C	augustus_masked-Skud_1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.72&CDS=1-1863
296	OG0000296	YAR008W	genemark-Skud_1-processed-gene-0.104-mRNA-1_1&gene=genemark-Skud_1-processed-gene-0.104&CDS=1-825
297	OG0000297	YAR014C	augustus_masked-Skud_1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.44&CDS=1-2145
298	OG0000298	YAR015W	augustus_masked-Skud_1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-Skud_1-processed-gene-0.73&CDS=1-918
299	OG0000299	YAR019C	maker-Skud_1-snap-gene-0.4-mRNA-1_1&gene=maker-Skud_1-snap-gene-0.4&CDS=1-4170
300	OG0000300	YBL001C	augustus_masked-Skud_2-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.63&CDS=1-312
301	OG0000301	YBL004W	augustus_masked-Skud_2-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.49&CDS=1-7485
302	OG0000302	YBL005W	augustus_masked-Skud_2-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.48&CDS=1-2907
303	OG0000303	YBL007C	maker-Skud_2-augustus-gene-2.1-mRNA-1_1&gene=maker-Skud_2-augustus-gene-2.1&CDS=1-4257
304	OG0000304	YBL008W	augustus_masked-Skud_2-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.45&CDS=1-2520
305	OG0000305	YBL009W	augustus_masked-Skud_2-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.44&CDS=1-2028
306	OG0000306	YBL010C	augustus_masked-Skud_2-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.46&CDS=1-843
307	OG0000307	YBL011W	genemark-Skud_2-processed-gene-1.116-mRNA-1_1&gene=genemark-Skud_2-processed-gene-1.116&CDS=1-3282
308	OG0000308	YBL014C	genemark-Skud_2-processed-gene-1.134-mRNA-1_1&gene=genemark-Skud_2-processed-gene-1.134&CDS=1-2679
309	OG0000309	YBL015W	augustus_masked-Skud_2-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.73&CDS=1-1578
310	OG0000310	YBL016W	augustus_masked-Skud_2-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.72&CDS=1-1059
311	OG0000311	YBL020W	augustus_masked-Skud_2-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.71&CDS=1-3249
312	OG0000312	YBL021C	augustus_masked-Skud_2-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.88&CDS=1-432
313	OG0000313	YBL022C	augustus_masked-Skud_2-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.87&CDS=1-3423
314	OG0000314	YBL023C	augustus_masked-Skud_2-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.86&CDS=1-2604
315	OG0000315	YBL024W	augustus_masked-Skud_2-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.70&CDS=1-2043
316	OG0000316	YBL025W	augustus_masked-Skud_2-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.69&CDS=1-435
317	OG0000317	YBL026W	maker-Skud_2-augustus-gene-1.1-mRNA-1_1&gene=maker-Skud_2-augustus-gene-1.1&CDS=1-285
318	OG0000318	YBL028C	augustus_masked-Skud_2-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.85&CDS=1-318
319	OG0000319	YBL029C-A	snap_masked-Skud_2-processed-gene-1.43-mRNA-1_1&gene=snap_masked-Skud_2-processed-gene-1.43&CDS=1-282
320	OG0000320	YBL029W	augustus_masked-Skud_2-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.67&CDS=1-1122
321	OG0000321	YBL032W	augustus_masked-Skud_2-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.66&CDS=1-2076
322	OG0000322	YBL034C	augustus_masked-Skud_2-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.83&CDS=1-5538
323	OG0000323	YBL035C	maker-Skud_2-augustus-gene-1.2-mRNA-1_1&gene=maker-Skud_2-augustus-gene-1.2&CDS=1-2910
324	OG0000324	YBL037W	augustus_masked-Skud_2-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.65&CDS=1-3075
325	OG0000325	YBL038W	augustus_masked-Skud_2-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.64&CDS=1-696
326	OG0000326	YBL040C	snap_masked-Skud_2-processed-gene-1.37-mRNA-1_1&gene=snap_masked-Skud_2-processed-gene-1.37&CDS=1-687
327	OG0000327	YBL041W	augustus_masked-Skud_2-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.63&CDS=1-723
328	OG0000328	YBL042C	augustus_masked-Skud_2-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.79&CDS=1-1905
329	OG0000329	YBL043W	augustus_masked-Skud_2-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.62&CDS=1-792
330	OG0000330	YBL045C	augustus_masked-Skud_2-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.78&CDS=1-1371
331	OG0000331	YBL046W	augustus_masked-Skud_2-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.61&CDS=1-1362
332	OG0000332	YBL047C	augustus_masked-Skud_2-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.77&CDS=1-4170
333	OG0000333	YBL049W	augustus_masked-Skud_2-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.60&CDS=1-414
334	OG0000334	YBL050W	snap_masked-Skud_2-processed-gene-1.13-mRNA-1_1&gene=snap_masked-Skud_2-processed-gene-1.13&CDS=1-876
335	OG0000335	YBL051C	augustus_masked-Skud_2-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.76&CDS=1-2025
336	OG0000336	YBL052C	augustus_masked-Skud_2-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.75&CDS=1-2538
337	OG0000337	YBL054W	augustus_masked-Skud_2-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.58&CDS=1-1575
338	OG0000338	YBL055C	augustus_masked-Skud_2-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.57&CDS=1-1176
339	OG0000339	YBL056W	augustus_masked-Skud_2-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.53&CDS=1-1404
340	OG0000340	YBL057C	augustus_masked-Skud_2-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.56&CDS=1-621
341	OG0000341	YBL058W	augustus_masked-Skud_2-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.52&CDS=1-1767
342	OG0000342	YBL059C-A	augustus_masked-Skud_2-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.55&CDS=1-318
343	OG0000343	YBL060W	augustus_masked-Skud_2-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.51&CDS=1-2061
344	OG0000344	YBL061C	augustus_masked-Skud_2-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-1.54&CDS=1-2097
345	OG0000345	YBL063W	maker-Skud_2-snap-gene-0.112-mRNA-1_1&gene=maker-Skud_2-snap-gene-0.112&CDS=1-3555
346	OG0000346	YBL064C	augustus_masked-Skud_2-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.108&CDS=1-783
347	OG0000347	YBL066C	augustus_masked-Skud_2-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.107&CDS=1-3477
348	OG0000348	YBL067C	augustus_masked-Skud_2-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.106&CDS=1-2244
349	OG0000349	YBL071W-A	augustus_masked-Skud_2-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.88&CDS=1-246
350	OG0000350	YBL074C	augustus_masked-Skud_2-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.104&CDS=1-1074
351	OG0000351	YBL078C	augustus_masked-Skud_2-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.102&CDS=1-351
352	OG0000352	YBL080C	augustus_masked-Skud_2-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.101&CDS=1-1623
353	OG0000353	YBL081W	augustus_masked-Skud_2-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.86&CDS=1-1077
354	OG0000354	YBL082C	augustus_masked-Skud_2-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.100&CDS=1-1353
355	OG0000355	YBL084C	augustus_masked-Skud_2-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.99&CDS=1-2307
356	OG0000356	YBL085W	snap_masked-Skud_2-processed-gene-0.12-mRNA-1_1&gene=snap_masked-Skud_2-processed-gene-0.12&CDS=1-2946
357	OG0000357	YBL086C	augustus_masked-Skud_2-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.98&CDS=1-1398
358	OG0000358	YBL088C	genemark-Skud_2-processed-gene-0.64-mRNA-1_1&gene=genemark-Skud_2-processed-gene-0.64&CDS=1-8367
359	OG0000359	YBL089W	maker-Skud_2-augustus-gene-0.1-mRNA-1_1&gene=maker-Skud_2-augustus-gene-0.1&CDS=1-1917
360	OG0000360	YBL091C	augustus_masked-Skud_2-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.96&CDS=1-1695
361	OG0000361	YBL092W	augustus_masked-Skud_2-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.83&CDS=1-390
362	OG0000362	YBL093C	augustus_masked-Skud_2-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.95&CDS=1-666
363	OG0000363	YBL095W	augustus_masked-Skud_2-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.82&CDS=1-810
364	OG0000364	YBL097W	augustus_masked-Skud_2-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.81&CDS=1-2256
365	OG0000365	YBL098W	augustus_masked-Skud_2-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.80&CDS=1-1383
366	OG0000366	YBL099W	augustus_masked-Skud_2-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.79&CDS=1-1635
367	OG0000367	YBL101C	augustus_masked-Skud_2-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.94&CDS=1-3342
368	OG0000368	YBL102W	augustus_masked-Skud_2-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.78&CDS=1-645
369	OG0000369	YBL103C	augustus_masked-Skud_2-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.93&CDS=1-1467
370	OG0000370	YBL107C	augustus_masked-Skud_2-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-0.91&CDS=1-588
371	OG0000371	YBR002C	augustus_masked-Skud_2-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.65&CDS=1-858
372	OG0000372	YBR003W	snap_masked-Skud_2-processed-gene-2.90-mRNA-1_1&gene=snap_masked-Skud_2-processed-gene-2.90&CDS=1-1419
373	OG0000373	YBR004C	augustus_masked-Skud_2-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.66&CDS=1-1299
374	OG0000374	YBR005W	augustus_masked-Skud_2-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.52&CDS=1-639
375	OG0000375	YBR006W	augustus_masked-Skud_2-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.53&CDS=1-1491
376	OG0000376	YBR007C	augustus_masked-Skud_2-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.67&CDS=1-2184
377	OG0000377	YBR011C	augustus_masked-Skud_2-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.70&CDS=1-861
378	OG0000378	YBR014C	augustus_masked-Skud_2-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.71&CDS=1-612
379	OG0000379	YBR015C	augustus_masked-Skud_2-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.72&CDS=1-1788
380	OG0000380	YBR016W	genemark-Skud_2-processed-gene-2.14-mRNA-1_1&gene=genemark-Skud_2-processed-gene-2.14&CDS=1-381
381	OG0000381	YBR017C	genemark-Skud_2-processed-gene-2.33-mRNA-1_1&gene=genemark-Skud_2-processed-gene-2.33&CDS=1-2739
382	OG0000382	YBR023C	augustus_masked-Skud_2-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.74&CDS=1-3504
383	OG0000383	YBR024W	augustus_masked-Skud_2-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.57&CDS=1-903
384	OG0000384	YBR025C	augustus_masked-Skud_2-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.75&CDS=1-1182
385	OG0000385	YBR029C	maker-Skud_2-augustus-gene-2.2-mRNA-1_1&gene=maker-Skud_2-augustus-gene-2.2&CDS=1-4035
386	OG0000386	YBR030W	augustus_masked-Skud_2-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.58&CDS=1-1704
387	OG0000387	YBR033W	augustus_masked-Skud_2-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.60&CDS=1-2751
388	OG0000388	YBR034C	augustus_masked-Skud_2-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.77&CDS=1-1044
389	OG0000389	YBR035C	augustus_masked-Skud_2-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.78&CDS=1-684
390	OG0000390	YBR036C	augustus_masked-Skud_2-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.79&CDS=1-2085
391	OG0000391	YBR038W	augustus_masked-Skud_2-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-2.61&CDS=1-2889
392	OG0000392	YBR039W	genemark-Skud_2-processed-gene-3.92-mRNA-1_1&gene=genemark-Skud_2-processed-gene-3.92&CDS=1-933
393	OG0000393	YBR040W	genemark-Skud_2-processed-gene-3.93-mRNA-1_1&gene=genemark-Skud_2-processed-gene-3.93&CDS=1-894
394	OG0000394	YBR041W	genemark-Skud_2-processed-gene-3.94-mRNA-1_1&gene=genemark-Skud_2-processed-gene-3.94&CDS=1-2007
395	OG0000395	YBR043C	maker-Skud_2-augustus-gene-3.0-mRNA-1_1&gene=maker-Skud_2-augustus-gene-3.0&CDS=1-3114
396	OG0000396	YBR044C	snap_masked-Skud_2-processed-gene-3.9-mRNA-1_1&gene=snap_masked-Skud_2-processed-gene-3.9&CDS=1-1611
397	OG0000397	YBR045C	genemark-Skud_2-processed-gene-3.97-mRNA-1_1&gene=genemark-Skud_2-processed-gene-3.97&CDS=1-1959
398	OG0000398	YBR046C	genemark-Skud_2-processed-gene-3.98-mRNA-1_1&gene=genemark-Skud_2-processed-gene-3.98&CDS=1-1002
399	OG0000399	YBR047W	augustus_masked-Skud_2-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.55&CDS=1-525
400	OG0000400	YBR049C	augustus_masked-Skud_2-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.67&CDS=1-2427
401	OG0000401	YBR050C	augustus_masked-Skud_2-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.68&CDS=1-996
402	OG0000402	YBR052C	augustus_masked-Skud_2-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.69&CDS=1-624
403	OG0000403	YBR053C	augustus_masked-Skud_2-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.70&CDS=1-1074
404	OG0000404	YBR054W	augustus_masked-Skud_2-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.57&CDS=1-1029
405	OG0000405	YBR055C	augustus_masked-Skud_2-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.71&CDS=1-2703
406	OG0000406	YBR056W	augustus_masked-Skud_2-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.58&CDS=1-1503
407	OG0000407	YBR058C	augustus_masked-Skud_2-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.72&CDS=1-3417
408	OG0000408	YBR059C	augustus_masked-Skud_2-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.73&CDS=1-3270
409	OG0000409	YBR060C	augustus_masked-Skud_2-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.74&CDS=1-1863
410	OG0000410	YBR061C	maker-Skud_2-augustus-gene-3.1-mRNA-1_1&gene=maker-Skud_2-augustus-gene-3.1&CDS=1-1503
411	OG0000411	YBR063C	genemark-Skud_2-processed-gene-3.124-mRNA-1_1&gene=genemark-Skud_2-processed-gene-3.124&CDS=1-1215
412	OG0000412	YBR065C	augustus_masked-Skud_2-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.77&CDS=1-1101
413	OG0000413	YBR066C	augustus_masked-Skud_2-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.78&CDS=1-660
414	OG0000414	YBR067C	augustus_masked-Skud_2-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.79&CDS=1-678
415	OG0000415	YBR070C	augustus_masked-Skud_2-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.82&CDS=1-711
416	OG0000416	YBR071W	genemark-Skud_2-processed-gene-3.104-mRNA-1_1&gene=genemark-Skud_2-processed-gene-3.104&CDS=1-636
417	OG0000417	YBR072W	genemark-Skud_2-processed-gene-3.105-mRNA-1_1&gene=genemark-Skud_2-processed-gene-3.105&CDS=1-642
418	OG0000418	YBR073W	augustus_masked-Skud_2-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.61&CDS=1-2760
419	OG0000419	YBR074W	genemark-Skud_2-processed-gene-3.107-mRNA-1_1&gene=genemark-Skud_2-processed-gene-3.107&CDS=1-2919
420	OG0000420	YBR076W	genemark-Skud_2-processed-gene-3.108-mRNA-1_1&gene=genemark-Skud_2-processed-gene-3.108&CDS=1-1062
421	OG0000421	YBR077C	augustus_masked-Skud_2-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.83&CDS=1-486
422	OG0000422	YBR078W	augustus_masked-Skud_2-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.63&CDS=1-1278
423	OG0000423	YBR079C	augustus_masked-Skud_2-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.84&CDS=1-2880
424	OG0000424	YBR080C	augustus_masked-Skud_2-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.85&CDS=1-6249
425	OG0000425	YBR083W	augustus_masked-Skud_2-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-3.64&CDS=1-1461
426	OG0000426	YBR085C-A	augustus_masked-Skud_2-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.2&CDS=1-255
427	OG0000427	YBR086C	augustus_masked-Skud_2-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.3&CDS=1-2823
428	OG0000428	YBR087W	augustus_masked-Skud_2-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.1&CDS=1-1062
429	OG0000429	YBR088C	augustus_masked-Skud_2-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.4&CDS=1-774
430	OG0000430	YBR091C	maker-Skud_2-snap-gene-4.136-mRNA-1_1&gene=maker-Skud_2-snap-gene-4.136&CDS=1-855
431	OG0000431	YBR094W	augustus_masked-Skud_2-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.7&CDS=1-2259
432	OG0000432	YBR095C	augustus_masked-Skud_2-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.23&CDS=1-1305
433	OG0000433	YBR096W	augustus_masked-Skud_2-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.8&CDS=1-690
434	OG0000434	YBR097W	augustus_masked-Skud_2-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.9&CDS=1-6435
435	OG0000435	YBR101C	augustus_masked-Skud_2-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.24&CDS=1-870
436	OG0000436	YBR102C	augustus_masked-Skud_2-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.25&CDS=1-2259
437	OG0000437	YBR103W	augustus_masked-Skud_2-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.10&CDS=1-2607
438	OG0000438	YBR105C	augustus_masked-Skud_2-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.26&CDS=1-1089
439	OG0000439	YBR106W	augustus_masked-Skud_2-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.11&CDS=1-564
440	OG0000440	YBR107C	augustus_masked-Skud_2-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.27&CDS=1-735
441	OG0000441	YBR108W	augustus_masked-Skud_2-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.12&CDS=1-2898
442	OG0000442	YBR109C	augustus_masked-Skud_2-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.28&CDS=1-441
443	OG0000443	YBR110W	augustus_masked-Skud_2-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.13&CDS=1-1347
444	OG0000444	YBR111C	augustus_masked-Skud_2-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.29&CDS=1-636
445	OG0000445	YBR111W-A	maker-Skud_2-snap-gene-4.134-mRNA-1_1&gene=maker-Skud_2-snap-gene-4.134&CDS=1-288
446	OG0000446	YBR112C	augustus_masked-Skud_2-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.30&CDS=1-2952
447	OG0000447	YBR114W	augustus_masked-Skud_2-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.15&CDS=1-2397
448	OG0000448	YBR115C	augustus_masked-Skud_2-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-Skud_2-processed-gene-4.31&CDS=1-4176
