	OrthologID	Cyberlindnera_jadinii	Saccharomyces_cerevisiae
515	OG0000515	genemark-scaffold_1-processed-gene-0.102-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.102&CDS=1-2778	YIL031W
516	OG0000516	genemark-scaffold_1-processed-gene-0.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.103&CDS=1-558	YPR067W
517	OG0000517	genemark-scaffold_1-processed-gene-0.104-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.104&CDS=1-798	YJL066C
518	OG0000518	genemark-scaffold_1-processed-gene-1.93-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.93&CDS=1-753	YMR281W
519	OG0000519	genemark-scaffold_1-processed-gene-1.96-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.96&CDS=1-3597	YPL012W
520	OG0000520	genemark-scaffold_1-processed-gene-1.117-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.117&CDS=1-1713	YFL013C
521	OG0000521	genemark-scaffold_1-processed-gene-1.118-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.118&CDS=1-759	YPL011C
522	OG0000522	genemark-scaffold_1-processed-gene-1.99-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.99&CDS=1-582	YPL010W
523	OG0000523	genemark-scaffold_1-processed-gene-1.119-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.119&CDS=1-2940	YPL009C
524	OG0000524	genemark-scaffold_1-processed-gene-1.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.100&CDS=1-2481	YMR302C
525	OG0000525	maker-scaffold_1-augustus-gene-1.142-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-1.142&CDS=1-1929	YPL015C
526	OG0000526	genemark-scaffold_1-processed-gene-1.101-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.101&CDS=1-2361	YFL004W
527	OG0000527	genemark-scaffold_1-processed-gene-1.122-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.122&CDS=1-2262	YLR182W
528	OG0000528	genemark-scaffold_1-processed-gene-1.102-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.102&CDS=1-1731	YPL020C
529	OG0000529	augustus_masked-scaffold_1-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.62&CDS=1-2340	YOR090C
530	OG0000530	genemark-scaffold_1-processed-gene-1.126-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.126&CDS=1-549	YNL099C
531	OG0000531	genemark-scaffold_1-processed-gene-1.107-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.107&CDS=1-387	YOR103C
532	OG0000532	genemark-scaffold_1-processed-gene-1.127-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.127&CDS=1-816	YOR101W
533	OG0000533	maker-scaffold_1-snap-gene-1.153-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.153&CDS=1-1086	YNL097C
534	OG0000534	genemark-scaffold_1-processed-gene-1.131-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.131&CDS=1-2559	YLR045C
535	OG0000535	genemark-scaffold_1-processed-gene-1.109-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.109&CDS=1-1185	YGR286C
536	OG0000536	genemark-scaffold_1-processed-gene-1.134-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.134&CDS=1-1971	YGL178W
537	OG0000537	genemark-scaffold_1-processed-gene-1.135-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.135&CDS=1-1197	YAR003W
538	OG0000538	snap_masked-scaffold_1-processed-gene-1.20-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.20&CDS=1-645	YAR002C-A
539	OG0000539	genemark-scaffold_1-processed-gene-1.136-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.136&CDS=1-630	YAL003W
540	OG0000540	genemark-scaffold_1-processed-gene-1.114-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.114&CDS=1-1020	YLR321C
541	OG0000541	snap_masked-scaffold_1-processed-gene-1.47-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.47&CDS=1-942	YLR316C
542	OG0000542	snap_masked-scaffold_1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.25&CDS=1-2517	YLR318W
543	OG0000543	genemark-scaffold_1-processed-gene-1.138-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.138&CDS=1-2295	YLR319C
544	OG0000544	snap_masked-scaffold_1-processed-gene-2.2-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.2&CDS=1-4509	YLR320W
545	OG0000545	genemark-scaffold_1-processed-gene-2.128-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.128&CDS=1-2262	YGR003W
546	OG0000546	genemark-scaffold_1-processed-gene-2.126-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.126&CDS=1-1560	YGR002C
547	OG0000547	genemark-scaffold_1-processed-gene-2.127-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.127&CDS=1-393	YNL135C
548	OG0000548	snap_masked-scaffold_1-processed-gene-2.7-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.7&CDS=1-1932	YNL136W
549	OG0000549	genemark-scaffold_1-processed-gene-2.131-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.131&CDS=1-1428	YNL137C
550	OG0000550	genemark-scaffold_1-processed-gene-2.159-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.159&CDS=1-1626	YNL138W
551	OG0000551	genemark-scaffold_1-processed-gene-2.132-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.132&CDS=1-2220	YNL059C
552	OG0000552	genemark-scaffold_1-processed-gene-2.160-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.160&CDS=1-1872	YNL061W
553	OG0000553	genemark-scaffold_1-processed-gene-2.133-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.133&CDS=1-1332	YNL062C
554	OG0000554	augustus_masked-scaffold_1-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.95&CDS=1-792	YNL063W
555	OG0000555	genemark-scaffold_1-processed-gene-2.162-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.162&CDS=1-1497	YKL035W
556	OG0000556	snap_masked-scaffold_1-processed-gene-2.11-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.11&CDS=1-273	YHR005C-A
557	OG0000557	genemark-scaffold_1-processed-gene-2.163-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.163&CDS=1-768	YKL087C
558	OG0000558	genemark-scaffold_1-processed-gene-2.135-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.135&CDS=1-1377	YMR220W
559	OG0000559	genemark-scaffold_1-processed-gene-2.164-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.164&CDS=1-3621	YFL008W
560	OG0000560	genemark-scaffold_1-processed-gene-2.137-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.137&CDS=1-942	YER016W
561	OG0000561	genemark-scaffold_1-processed-gene-2.168-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.168&CDS=1-693	YGL019W
562	OG0000562	genemark-scaffold_1-processed-gene-2.140-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.140&CDS=1-501	YGL020C
563	OG0000563	genemark-scaffold_1-processed-gene-2.169-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.169&CDS=1-561	YGL018C
564	OG0000564	snap_masked-scaffold_1-processed-gene-2.18-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.18&CDS=1-1149	YGL017W
565	OG0000565	augustus_masked-scaffold_1-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.79&CDS=1-1146	YGR062C
566	OG0000566	genemark-scaffold_1-processed-gene-2.172-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.172&CDS=1-534	YGL010W
567	OG0000567	maker-scaffold_1-snap-gene-2.119-mRNA-1_1&gene=maker-scaffold_1-snap-gene-2.119&CDS=1-1854	YGL192W
568	OG0000568	genemark-scaffold_1-processed-gene-2.174-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.174&CDS=1-1320	YGL190C
569	OG0000569	snap_masked-scaffold_1-processed-gene-2.52-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.52&CDS=1-1557	YER090W
570	OG0000570	genemark-scaffold_1-processed-gene-2.149-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.149&CDS=1-1071	YNL025C
571	OG0000571	genemark-scaffold_1-processed-gene-2.152-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.152&CDS=1-747	YNL032W
572	OG0000572	genemark-scaffold_1-processed-gene-2.178-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.178&CDS=1-450	YIL087C
573	OG0000573	genemark-scaffold_1-processed-gene-2.153-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.153&CDS=1-2034	YDL122W
574	OG0000574	snap_masked-scaffold_1-processed-gene-2.33-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.33&CDS=1-462	YGL187C
575	OG0000575	maker-scaffold_1-snap-gene-2.123-mRNA-1_1&gene=maker-scaffold_1-snap-gene-2.123&CDS=1-1686	YNL016W
576	OG0000576	genemark-scaffold_1-processed-gene-2.156-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.156&CDS=1-1023	YIL083C
577	OG0000577	genemark-scaffold_1-processed-gene-2.181-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.181&CDS=1-1410	YNL026W
578	OG0000578	genemark-scaffold_1-processed-gene-2.182-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.182&CDS=1-741	YKL152C
579	OG0000579	genemark-scaffold_1-processed-gene-2.157-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.157&CDS=1-678	YKL159C
580	OG0000580	genemark-scaffold_1-processed-gene-3.9-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.9&CDS=1-1206	YHR052W
581	OG0000581	genemark-scaffold_1-processed-gene-3.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.8&CDS=1-411	YKL160W
582	OG0000582	genemark-scaffold_1-processed-gene-3.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.10&CDS=1-453	YHR051W
583	OG0000583	genemark-scaffold_1-processed-gene-3.11-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.11&CDS=1-1533	YHR048W
584	OG0000584	genemark-scaffold_1-processed-gene-3.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.30&CDS=1-816	YIL084C
585	OG0000585	genemark-scaffold_1-processed-gene-3.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.13&CDS=1-2181	YHR031C
586	OG0000586	genemark-scaffold_1-processed-gene-3.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.14&CDS=1-1425	YHR030C
587	OG0000587	genemark-scaffold_1-processed-gene-3.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.15&CDS=1-2373	YHR028C
588	OG0000588	genemark-scaffold_1-processed-gene-3.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.16&CDS=1-2805	YHR027C
589	OG0000589	genemark-scaffold_1-processed-gene-3.32-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.32&CDS=1-621	YHR026W
590	OG0000590	genemark-scaffold_1-processed-gene-3.33-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.33&CDS=1-1077	YHR025W
591	OG0000591	genemark-scaffold_1-processed-gene-3.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.17&CDS=1-1455	YHR024C
592	OG0000592	genemark-scaffold_1-processed-gene-3.34-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.34&CDS=1-5631	YHR023W
593	OG0000593	genemark-scaffold_1-processed-gene-3.38-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.38&CDS=1-759	YML025C
594	OG0000594	genemark-scaffold_1-processed-gene-3.40-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.40&CDS=1-1239	YDR449C
595	OG0000595	genemark-scaffold_1-processed-gene-3.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.20&CDS=1-849	YDR446W
596	OG0000596	genemark-scaffold_1-processed-gene-3.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.21&CDS=1-1290	YDR448W
597	OG0000597	genemark-scaffold_1-processed-gene-4.0-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.0&CDS=1-1971	YDR452W
598	OG0000598	genemark-scaffold_1-processed-gene-4.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.3&CDS=1-1548	YJL201W
599	OG0000599	genemark-scaffold_1-processed-gene-4.4-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.4&CDS=1-1623	YBL020W
600	OG0000600	genemark-scaffold_1-processed-gene-4.25-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.25&CDS=1-2388	YJL200C
601	OG0000601	genemark-scaffold_1-processed-gene-4.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.27&CDS=1-738	YNL155W
602	OG0000602	genemark-scaffold_1-processed-gene-4.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.28&CDS=1-1017	YNL230C
603	OG0000603	genemark-scaffold_1-processed-gene-4.5-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.5&CDS=1-1119	YNL231C
604	OG0000604	genemark-scaffold_1-processed-gene-4.29-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.29&CDS=1-1587	YHR150W
605	OG0000605	augustus_masked-scaffold_1-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.64&CDS=1-789	YNL232W
606	OG0000606	augustus_masked-scaffold_1-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.88&CDS=1-924	YML067C
607	OG0000607	genemark-scaffold_1-processed-gene-4.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.8&CDS=1-1317	YML068W
608	OG0000608	genemark-scaffold_1-processed-gene-4.32-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.32&CDS=1-642	YJR074W
609	OG0000609	genemark-scaffold_1-processed-gene-4.9-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.9&CDS=1-3042	YKL210W
610	OG0000610	genemark-scaffold_1-processed-gene-4.33-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.33&CDS=1-1095	YJR068W
611	OG0000611	genemark-scaffold_1-processed-gene-4.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.10&CDS=1-1074	YCR019W
612	OG0000612	genemark-scaffold_1-processed-gene-4.34-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.34&CDS=1-423	YKL013C
613	OG0000613	genemark-scaffold_1-processed-gene-4.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.12&CDS=1-1818	YKL012W
614	OG0000614	genemark-scaffold_1-processed-gene-4.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.35&CDS=1-501	YIR022W
615	OG0000615	genemark-scaffold_1-processed-gene-4.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.13&CDS=1-3000	YKL205W
616	OG0000616	genemark-scaffold_1-processed-gene-4.36-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.36&CDS=1-564	YJR056C
617	OG0000617	genemark-scaffold_1-processed-gene-4.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.37&CDS=1-1377	YMR211W
618	OG0000618	genemark-scaffold_1-processed-gene-4.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.16&CDS=1-1113	YMR214W
619	OG0000619	genemark-scaffold_1-processed-gene-4.39-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.39&CDS=1-894	YKL019W
620	OG0000620	maker-scaffold_1-augustus-gene-4.46-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.46&CDS=1-1371	YOR274W
621	OG0000621	genemark-scaffold_1-processed-gene-4.40-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.40&CDS=1-2334	YOR275C
622	OG0000622	genemark-scaffold_1-processed-gene-4.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.41&CDS=1-1944	YMR213W
623	OG0000623	genemark-scaffold_1-processed-gene-4.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.18&CDS=1-2346	YMR212C
624	OG0000624	genemark-scaffold_1-processed-gene-4.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.42&CDS=1-504	YOR276W
625	OG0000625	genemark-scaffold_1-processed-gene-4.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.19&CDS=1-534	YOR252W
626	OG0000626	maker-scaffold_1-snap-gene-4.51-mRNA-1_1&gene=maker-scaffold_1-snap-gene-4.51&CDS=1-648	YPL041C
627	OG0000627	maker-scaffold_1-snap-gene-4.52-mRNA-1_1&gene=maker-scaffold_1-snap-gene-4.52&CDS=1-2979	YPL040C
628	OG0000628	genemark-scaffold_1-processed-gene-4.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.20&CDS=1-471	YPL037C
629	OG0000629	genemark-scaffold_1-processed-gene-4.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.21&CDS=1-1629	YMR250W
630	OG0000630	snap_masked-scaffold_1-processed-gene-4.146-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.146&CDS=1-4278	YLR247C
631	OG0000631	genemark-scaffold_1-processed-gene-4.23-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.23&CDS=1-4863	YKR031C
632	OG0000632	genemark-scaffold_1-processed-gene-4.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.24&CDS=1-5244	YJL109C
633	OG0000633	genemark-scaffold_1-processed-gene-5.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.12&CDS=1-2301	YPL207W
634	OG0000634	genemark-scaffold_1-processed-gene-5.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.13&CDS=1-1488	YKR023W
635	OG0000635	maker-scaffold_1-snap-gene-5.54-mRNA-1_1&gene=maker-scaffold_1-snap-gene-5.54&CDS=1-1515	YGL065C
636	OG0000636	augustus_masked-scaffold_1-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.120&CDS=1-2193	YBR034C
637	OG0000637	genemark-scaffold_1-processed-gene-5.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.14&CDS=1-396	YJL104W
638	OG0000638	genemark-scaffold_1-processed-gene-5.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.15&CDS=1-2382	YKR029C
639	OG0000639	maker-scaffold_1-snap-gene-5.56-mRNA-1_1&gene=maker-scaffold_1-snap-gene-5.56&CDS=1-933	YNL075W
640	OG0000640	genemark-scaffold_1-processed-gene-5.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.35&CDS=1-1122	YNL074C
641	OG0000641	genemark-scaffold_1-processed-gene-5.36-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.36&CDS=1-2559	YNL076W
642	OG0000642	genemark-scaffold_1-processed-gene-5.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.37&CDS=1-3192	YER093C
643	OG0000643	genemark-scaffold_1-processed-gene-5.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.19&CDS=1-654	YBL057C
644	OG0000644	genemark-scaffold_1-processed-gene-5.38-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.38&CDS=1-1086	YBL058W
645	OG0000645	genemark-scaffold_1-processed-gene-5.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.20&CDS=1-2304	YER091C
646	OG0000646	genemark-scaffold_1-processed-gene-5.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.22&CDS=1-1164	YDL029W
647	OG0000647	genemark-scaffold_1-processed-gene-5.39-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.39&CDS=1-1083	YJL125C
648	OG0000648	genemark-scaffold_1-processed-gene-5.40-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.40&CDS=1-483	YJL124C
649	OG0000649	genemark-scaffold_1-processed-gene-5.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.41&CDS=1-1986	YBL061C
650	OG0000650	genemark-scaffold_1-processed-gene-5.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.42&CDS=1-1137	YGL243W
651	OG0000651	genemark-scaffold_1-processed-gene-5.43-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.43&CDS=1-3162	YBL063W
652	OG0000652	maker-scaffold_1-snap-gene-5.63-mRNA-1_1&gene=maker-scaffold_1-snap-gene-5.63&CDS=1-2163	YBL060W
653	OG0000653	genemark-scaffold_1-processed-gene-5.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.24&CDS=1-1053	YER095W
654	OG0000654	genemark-scaffold_1-processed-gene-5.45-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.45&CDS=1-2946	YBL066C
655	OG0000655	genemark-scaffold_1-processed-gene-5.46-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.46&CDS=1-762	YBL064C
656	OG0000656	genemark-scaffold_1-processed-gene-5.25-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.25&CDS=1-615	YER094C
657	OG0000657	genemark-scaffold_1-processed-gene-5.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.47&CDS=1-303	YBL059C-A
658	OG0000658	maker-scaffold_1-augustus-gene-5.4-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.4&CDS=1-510	YER093C-A
659	OG0000659	genemark-scaffold_1-processed-gene-5.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.48&CDS=1-2139	YDL028C
660	OG0000660	snap_masked-scaffold_1-processed-gene-5.91-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.91&CDS=1-4557	YFL033C
661	OG0000661	genemark-scaffold_1-processed-gene-5.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.49&CDS=1-1596	YLR345W
662	OG0000662	genemark-scaffold_1-processed-gene-5.31-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.31&CDS=1-1962	YDR496C
663	OG0000663	snap_masked-scaffold_1-processed-gene-5.115-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.115&CDS=1-5049	YDR180W
664	OG0000664	genemark-scaffold_1-processed-gene-5.32-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.32&CDS=1-804	YLR165C
665	OG0000665	snap_masked-scaffold_1-processed-gene-5.116-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.116&CDS=1-1401	YDR179W-A
666	OG0000666	snap_masked-scaffold_1-processed-gene-5.117-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.117&CDS=1-858	YDR181C
667	OG0000667	genemark-scaffold_1-processed-gene-6.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.8&CDS=1-711	YGR036C
668	OG0000668	genemark-scaffold_1-processed-gene-6.9-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.9&CDS=1-477	YDL004W
669	OG0000669	genemark-scaffold_1-processed-gene-6.11-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.11&CDS=1-2583	YLR347C
670	OG0000670	genemark-scaffold_1-processed-gene-6.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.12&CDS=1-660	YLR051C
671	OG0000671	genemark-scaffold_1-processed-gene-6.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.14&CDS=1-1488	YFL022C
672	OG0000672	maker-scaffold_1-augustus-gene-6.3-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.3&CDS=1-2532	YBR143C
673	OG0000673	snap_masked-scaffold_1-processed-gene-6.133-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.133&CDS=1-939	YDL006W
674	OG0000674	augustus_masked-scaffold_1-processed-gene-6.90-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.90&CDS=1-2175	YDL007W
675	OG0000675	genemark-scaffold_1-processed-gene-6.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.16&CDS=1-2133	YBR142W
676	OG0000676	genemark-scaffold_1-processed-gene-6.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.19&CDS=1-792	YCR009C
677	OG0000677	genemark-scaffold_1-processed-gene-6.39-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.39&CDS=1-615	YLR251W
678	OG0000678	augustus_masked-scaffold_1-processed-gene-6.93-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.93&CDS=1-327	YDL008W
679	OG0000679	genemark-scaffold_1-processed-gene-6.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.22&CDS=1-675	YOL142W
680	OG0000680	augustus_masked-scaffold_1-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.94&CDS=1-3249	YNL325C
681	OG0000681	maker-scaffold_1-augustus-gene-6.1-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.1&CDS=1-2661	YLR253W
682	OG0000682	genemark-scaffold_1-processed-gene-6.26-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.26&CDS=1-1749	YCR008W
683	OG0000683	genemark-scaffold_1-processed-gene-6.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.27&CDS=1-765	YKR025W
684	OG0000684	genemark-scaffold_1-processed-gene-6.43-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.43&CDS=1-453	YLR170C
685	OG0000685	genemark-scaffold_1-processed-gene-6.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.28&CDS=1-747	YNL010W
686	OG0000686	genemark-scaffold_1-processed-gene-6.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.44&CDS=1-909	YKR026C
687	OG0000687	maker-scaffold_1-augustus-gene-6.2-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.2&CDS=1-3276	YJL102W
688	OG0000688	maker-scaffold_1-augustus-gene-6.5-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.5&CDS=1-3951	YMR205C
689	OG0000689	genemark-scaffold_1-processed-gene-6.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.48&CDS=1-1629	YOR002W
690	OG0000690	genemark-scaffold_1-processed-gene-6.33-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.33&CDS=1-1176	YJR076C
691	OG0000691	maker-scaffold_1-snap-gene-6.57-mRNA-1_1&gene=maker-scaffold_1-snap-gene-6.57&CDS=1-2190	YKL167C
692	OG0000692	genemark-scaffold_1-processed-gene-7.128-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.128&CDS=1-396	YKL170W
693	OG0000693	genemark-scaffold_1-processed-gene-7.158-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.158&CDS=1-2790	YKL165C
694	OG0000694	genemark-scaffold_1-processed-gene-7.131-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.131&CDS=1-1821	YJL163C
