	OrthologID	Candida_tanzawaensis	Saccharomyces_cerevisiae
305	OG0000305	augustus_masked-scaffold_2-processed-gene-17.36-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.36&CDS=1-1710	YIL085C, YNL029C
306	OG0000306	augustus_masked-scaffold_2-processed-gene-17.40-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.40&CDS=1-1188	YIL135C, YNL074C
307	OG0000307	augustus_masked-scaffold_2-processed-gene-18.33-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.33&CDS=1-2004	YDR389W, YOR134W
308	OG0000308	augustus_masked-scaffold_3-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.34&CDS=1-1266	YDR300C, YHR033W
309	OG0000309	augustus_masked-scaffold_3-processed-gene-8.118-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.118&CDS=1-402, genemark-scaffold_3-processed-gene-1.50-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.50&CDS=1-369	YNL322C
310	OG0000310	augustus_masked-scaffold_3-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.108&CDS=1-3036	YKL072W, YMR053C
311	OG0000311	augustus_masked-scaffold_3-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.134&CDS=1-1716, genemark-scaffold_3-processed-gene-3.56-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.56&CDS=1-1629	YGL077C
312	OG0000312	augustus_masked-scaffold_3-processed-gene-2.147-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.147&CDS=1-264	YGR008C, YLR327C
313	OG0000313	maker-scaffold_3-snap-gene-4.150-mRNA-1_1&gene=maker-scaffold_3-snap-gene-4.150&CDS=1-1038	YDL081C, YDL130W
314	OG0000314	maker-scaffold_3-snap-gene-4.151-mRNA-1_1&gene=maker-scaffold_3-snap-gene-4.151&CDS=1-1953	YDL155W, YLR210W
315	OG0000315	augustus_masked-scaffold_3-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.60&CDS=1-2058, augustus_masked-scaffold_9-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-1.13&CDS=1-2640	YBL011W
316	OG0000316	maker-scaffold_3-augustus-gene-4.50-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-4.50&CDS=1-336	YDL075W, YLR406C
317	OG0000317	augustus_masked-scaffold_3-processed-gene-5.9-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.9&CDS=1-1281	YMR194W, YPL249C-A
318	OG0000318	augustus_masked-scaffold_3-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.24&CDS=1-2445	YJL139C, YKR061W
319	OG0000319	augustus_masked-scaffold_3-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.37&CDS=1-558	YJL177W, YKL180W
320	OG0000320	augustus_masked-scaffold_3-processed-gene-6.3-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.3&CDS=1-3078	YLR031W, YMR124W
321	OG0000321	augustus_masked-scaffold_3-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.31&CDS=1-1383	YBL056W, YER089C
322	OG0000322	augustus_masked-scaffold_3-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.78&CDS=1-3021	YBL085W, YER114C
323	OG0000323	genemark-scaffold_3-processed-gene-7.131-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.131&CDS=1-2370	YFL004W, YPL019C
324	OG0000324	augustus_masked-scaffold_3-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.100&CDS=1-1716, augustus_masked-scaffold_6-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.123&CDS=1-2115	YDL206W
325	OG0000325	augustus_masked-scaffold_3-processed-gene-8.117-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.117&CDS=1-873	YLR287C-A, YOR182C
326	OG0000326	augustus_masked-scaffold_3-processed-gene-8.122-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.122&CDS=1-2259, augustus_masked-scaffold_4-processed-gene-10.102-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.102&CDS=1-1434	YDR145W
327	OG0000327	augustus_masked-scaffold_3-processed-gene-10.118-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.118&CDS=1-1590, augustus_masked-scaffold_4-processed-gene-7.30-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.30&CDS=1-1506	YMR221C
328	OG0000328	augustus_masked-scaffold_3-processed-gene-11.32-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.32&CDS=1-2589, snap_masked-scaffold_4-processed-gene-1.84-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.84&CDS=1-2583	YER070W
329	OG0000329	augustus_masked-scaffold_3-processed-gene-11.18-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.18&CDS=1-2829, augustus_masked-scaffold_7-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.54&CDS=1-2964	YGR204W
330	OG0000330	augustus_masked-scaffold_3-processed-gene-11.23-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.23&CDS=1-777	YGR248W, YHR163W
331	OG0000331	augustus_masked-scaffold_3-processed-gene-11.25-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.25&CDS=1-4638	YCL068C, YCR038C
332	OG0000332	augustus_masked-scaffold_3-processed-gene-13.32-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.32&CDS=1-1863	YGL071W, YPL202C
333	OG0000333	augustus_masked-scaffold_3-processed-gene-13.35-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.35&CDS=1-1323, augustus_masked-scaffold_6-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-0.119&CDS=1-1314	YLR303W
334	OG0000334	maker-scaffold_3-snap-gene-13.54-mRNA-1_1&gene=maker-scaffold_3-snap-gene-13.54&CDS=1-2418	YFR013W, YOL017W
335	OG0000335	augustus_masked-scaffold_3-processed-gene-13.16-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.16&CDS=1-1737	YCR048W, YNR019W
336	OG0000336	augustus_masked-scaffold_3-processed-gene-13.23-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.23&CDS=1-1482	YLR260W, YOR171C
337	OG0000337	augustus_masked-scaffold_3-processed-gene-14.93-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.93&CDS=1-312	YGR027C, YLR333C
338	OG0000338	augustus_masked-scaffold_3-processed-gene-14.111-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.111&CDS=1-2223	YHR131C, YNL144C
339	OG0000339	augustus_masked-scaffold_3-processed-gene-14.118-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.118&CDS=1-1998	YDR146C, YLR131C
340	OG0000340	augustus_masked-scaffold_3-processed-gene-15.106-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.106&CDS=1-1839	YDL229W, YNL209W
341	OG0000341	augustus_masked-scaffold_3-processed-gene-15.115-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.115&CDS=1-228	YDL061C, YLR388W
342	OG0000342	genemark-scaffold_3-processed-gene-16.58-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-16.58&CDS=1-4113	YHR155W, YNL257C
343	OG0000343	augustus_masked-scaffold_3-processed-gene-16.108-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.108&CDS=1-1218	YBR177C, YPL095C
344	OG0000344	augustus_masked-scaffold_3-processed-gene-16.100-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.100&CDS=1-774	YDR099W, YER177W
345	OG0000345	augustus_masked-scaffold_3-processed-gene-17.153-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.153&CDS=1-2124	YDR200C, YLR238W
346	OG0000346	maker-scaffold_3-snap-gene-17.224-mRNA-1_1&gene=maker-scaffold_3-snap-gene-17.224&CDS=1-1848	YDR178W, YLR164W
347	OG0000347	augustus_masked-scaffold_3-processed-gene-17.193-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.193&CDS=1-1968	YIL114C, YNL055C
348	OG0000348	augustus_masked-scaffold_3-processed-gene-17.197-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.197&CDS=1-351	YCL035C, YDR513W
349	OG0000349	augustus_masked-scaffold_3-processed-gene-17.207-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.207&CDS=1-408, maker-scaffold_6-snap-gene-0.81-mRNA-1_1&gene=maker-scaffold_6-snap-gene-0.81&CDS=1-4317	YCR030C
350	OG0000350	augustus_masked-scaffold_4-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.16&CDS=1-1419	YHR115C, YNL116W
351	OG0000351	augustus_masked-scaffold_4-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.24&CDS=1-2730, augustus_masked-scaffold_8-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.36&CDS=1-2442	YOR270C
352	OG0000352	augustus_masked-scaffold_4-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.55&CDS=1-3249	YBL106C, YPR032W
353	OG0000353	augustus_masked-scaffold_4-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.47&CDS=1-4044	YGR070W, YLR371W
354	OG0000354	augustus_masked-scaffold_4-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.49&CDS=1-942	YDL048C, YLR375W
355	OG0000355	genemark-scaffold_4-processed-gene-2.58-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.58&CDS=1-2640	YDR107C, YLR083C
356	OG0000356	augustus_masked-scaffold_4-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.109&CDS=1-2709	YBR033W, YKL038W
357	OG0000357	augustus_masked-scaffold_4-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.97&CDS=1-1305	YDR132C, YLR108C
358	OG0000358	augustus_masked-scaffold_4-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.131&CDS=1-2808	YIL156W, YKR098C
359	OG0000359	augustus_masked-scaffold_4-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.10&CDS=1-4173	YCR073C, YNR031C
360	OG0000360	maker-scaffold_4-snap-gene-4.88-mRNA-1_1&gene=maker-scaffold_4-snap-gene-4.88&CDS=1-951	YBL003C, YDR225W
361	OG0000361	maker-scaffold_4-augustus-gene-5.0-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-5.0&CDS=1-1407	YNL108C, YOR110W
362	OG0000362	augustus_masked-scaffold_4-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.39&CDS=1-708	YDL222C, YNL194C
363	OG0000363	augustus_masked-scaffold_4-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.40&CDS=1-2157	YDL224C, YNL197C
364	OG0000364	augustus_masked-scaffold_7-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.70&CDS=1-4044, genemark-scaffold_4-processed-gene-6.56-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.56&CDS=1-8892	YOL075C
365	OG0000365	augustus_masked-scaffold_4-processed-gene-6.33-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.33&CDS=1-540	YLR456W, YPR172W
366	OG0000366	augustus_masked-scaffold_4-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.37&CDS=1-390	YBR016W, YDL012C
367	OG0000367	genemark-scaffold_4-processed-gene-7.130-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.130&CDS=1-1140	YDL175C, YIL079C
368	OG0000368	augustus_masked-scaffold_4-processed-gene-7.13-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.13&CDS=1-3588	YBL101C, YPR030W
369	OG0000369	augustus_masked-scaffold_4-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.35&CDS=1-1101	YPR169W-A, YPR170W-B
370	OG0000370	augustus_masked-scaffold_4-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.45&CDS=1-1473, augustus_masked-scaffold_7-processed-gene-4.43-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.43&CDS=1-1536	YBR006W
371	OG0000371	snap_masked-scaffold_4-processed-gene-7.74-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.74&CDS=1-837	YDL049C, YJL174W
372	OG0000372	augustus_masked-scaffold_4-processed-gene-8.109-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.109&CDS=1-924	YBR147W, YOL092W
373	OG0000373	augustus_masked-scaffold_4-processed-gene-8.103-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.103&CDS=1-2766	YJL083W, YKR019C
374	OG0000374	augustus_masked-scaffold_4-processed-gene-9.22-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.22&CDS=1-1662	YEL041W, YJR049C
375	OG0000375	augustus_masked-scaffold_4-processed-gene-9.10-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.10&CDS=1-1119	YDR453C, YML028W
376	OG0000376	augustus_masked-scaffold_4-processed-gene-10.72-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.72&CDS=1-3114	YKL068W, YMR047C
377	OG0000377	augustus_masked-scaffold_4-processed-gene-10.73-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.73&CDS=1-1215	YJL137C, YKR058W
378	OG0000378	augustus_masked-scaffold_4-processed-gene-10.78-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.78&CDS=1-1059	YBR105C, YGR066C
379	OG0000379	augustus_masked-scaffold_4-processed-gene-10.81-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.81&CDS=1-3993	YAL017W, YOL045W
380	OG0000380	genemark-scaffold_4-processed-gene-10.32-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-10.32&CDS=1-1869	YBR238C, YGL107C
381	OG0000381	augustus_masked-scaffold_4-processed-gene-12.54-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-12.54&CDS=1-4791	YER132C, YGL197W
382	OG0000382	genemark-scaffold_4-processed-gene-12.129-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-12.129&CDS=1-693	YBR242W, YGL101W
383	OG0000383	maker-scaffold_4-augustus-gene-13.91-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-13.91&CDS=1-669	YMR233W, YOR295W
384	OG0000384	augustus_masked-scaffold_4-processed-gene-14.32-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.32&CDS=1-1536	YDR247W, YPL026C
385	OG0000385	augustus_masked-scaffold_4-processed-gene-14.33-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.33&CDS=1-1548	YBR020W, YDR009W
386	OG0000386	augustus_masked-scaffold_4-processed-gene-14.39-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.39&CDS=1-855, genemark-scaffold_6-processed-gene-1.80-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.80&CDS=1-867	YNL202W
387	OG0000387	genemark-scaffold_5-processed-gene-0.62-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.62&CDS=1-1224	YHL003C, YKL008C
388	OG0000388	maker-scaffold_5-snap-gene-0.0-mRNA-1_1&gene=maker-scaffold_5-snap-gene-0.0&CDS=1-8133	YBR140C, YOL081W
389	OG0000389	augustus_masked-scaffold_5-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.88&CDS=1-2064	YBR216C, YGL060W
390	OG0000390	augustus_masked-scaffold_5-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.108&CDS=1-3714	YJR127C, YML081W
391	OG0000391	augustus_masked-scaffold_5-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.12&CDS=1-2487	YBR294W, YLR092W
392	OG0000392	augustus_masked-scaffold_5-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.31&CDS=1-723	YDR098C, YER174C
393	OG0000393	augustus_masked-scaffold_5-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.39&CDS=1-1332, genemark-scaffold_6-processed-gene-1.86-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.86&CDS=1-1428	YGR189C
394	OG0000394	augustus_masked-scaffold_5-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.8&CDS=1-936	YHR132W-A, YNL157W
395	OG0000395	augustus_masked-scaffold_5-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.26&CDS=1-1530	YHR133C, YNL156C
396	OG0000396	augustus_masked-scaffold_5-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.22&CDS=1-3720	YJL076W, YKR010C
397	OG0000397	augustus_masked-scaffold_5-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.105&CDS=1-1515	YGR121C, YPR138C
398	OG0000398	augustus_masked-scaffold_5-processed-gene-5.115-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.115&CDS=1-1938	YDR418W, YEL054C
399	OG0000399	augustus_masked-scaffold_5-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.101&CDS=1-2319, augustus_masked-scaffold_5-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.120&CDS=1-2148	YGL205W
400	OG0000400	maker-scaffold_5-augustus-gene-5.38-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-5.38&CDS=1-1428	YDR348C, YHR097C
401	OG0000401	genemark-scaffold_6-processed-gene-5.34-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.34&CDS=1-1848, snap_masked-scaffold_5-processed-gene-6.23-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.23&CDS=1-1959	YNL101W
402	OG0000402	augustus_masked-scaffold_5-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.85&CDS=1-708	YKR075C, YOR062C
403	OG0000403	augustus_masked-scaffold_5-processed-gene-6.103-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.103&CDS=1-1086, augustus_masked-scaffold_7-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.9&CDS=1-1107	YPL113C
404	OG0000404	augustus_masked-scaffold_5-processed-gene-7.79-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.79&CDS=1-582	YBL027W, YBR084C-A
405	OG0000405	augustus_masked-scaffold_5-processed-gene-8.112-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.112&CDS=1-435	YGR118W, YPR132W
406	OG0000406	augustus_masked-scaffold_5-processed-gene-8.120-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.120&CDS=1-2217	YMR237W, YOR299W
407	OG0000407	augustus_masked-scaffold_5-processed-gene-9.115-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.115&CDS=1-3360	YJR091C, YPR042C
408	OG0000408	maker-scaffold_5-augustus-gene-9.1-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-9.1&CDS=1-366	YJR094W-A, YPR043W
409	OG0000409	augustus_masked-scaffold_5-processed-gene-10.116-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-10.116&CDS=1-816	YMR222C, YOR280C
410	OG0000410	augustus_masked-scaffold_5-processed-gene-10.117-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-10.117&CDS=1-837	YER037W, YGL224C
411	OG0000411	snap_masked-scaffold_5-processed-gene-12.42-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-12.42&CDS=1-2211	YDR505C, YLR177W
412	OG0000412	augustus_masked-scaffold_5-processed-gene-12.27-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-12.27&CDS=1-1521	YDR501W, YLR183C
413	OG0000413	augustus_masked-scaffold_5-processed-gene-12.10-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-12.10&CDS=1-264	YDR500C, YLR185W
414	OG0000414	augustus_masked-scaffold_5-processed-gene-12.15-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-12.15&CDS=1-741	YBR014C, YDL010W
415	OG0000415	augustus_masked-scaffold_5-processed-gene-12.34-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-12.34&CDS=1-465	YBR048W, YDR025W
416	OG0000416	augustus_masked-scaffold_5-processed-gene-13.14-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-13.14&CDS=1-1155	YGL162W, YPR009W
417	OG0000417	augustus_masked-scaffold_5-processed-gene-13.10-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-13.10&CDS=1-561	YOR226C, YPL135W
418	OG0000418	genemark-scaffold_6-processed-gene-0.61-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.61&CDS=1-552	YKL065C, YMR040W
419	OG0000419	augustus_masked-scaffold_6-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-0.109&CDS=1-2529	YOR256C, YPL176C
420	OG0000420	augustus_masked-scaffold_6-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.120&CDS=1-2238	YGR241C, YHR161C
421	OG0000421	augustus_masked-scaffold_6-processed-gene-3.115-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.115&CDS=1-3702, augustus_masked-scaffold_9-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-1.11&CDS=1-2385	YER129W
422	OG0000422	augustus_masked-scaffold_6-processed-gene-11.177-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.177&CDS=1-1653, augustus_masked-scaffold_6-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.99&CDS=1-1692	YML054C
423	OG0000423	maker-scaffold_6-snap-gene-4.98-mRNA-1_1&gene=maker-scaffold_6-snap-gene-4.98&CDS=1-2790	YKL121W, YMR102C
424	OG0000424	genemark-scaffold_6-processed-gene-4.69-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.69&CDS=1-3798	YJL105W, YKR029C
425	OG0000425	augustus_masked-scaffold_6-processed-gene-4.130-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.130&CDS=1-2868	YJL082W, YKR018C
426	OG0000426	augustus_masked-scaffold_6-processed-gene-4.131-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.131&CDS=1-1086	YBR031W, YDR012W
427	OG0000427	augustus_masked-scaffold_6-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.109&CDS=1-1167, maker-scaffold_6-augustus-gene-5.41-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-5.41&CDS=1-1761	YLL057C
428	OG0000428	augustus_masked-scaffold_6-processed-gene-5.96-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.96&CDS=1-2751	YDR251W, YPL032C
429	OG0000429	augustus_masked-scaffold_6-processed-gene-5.122-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.122&CDS=1-441	YDR252W, YPL037C
430	OG0000430	augustus_masked-scaffold_6-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.80&CDS=1-1653	YIR031C, YNL117W
431	OG0000431	genemark-scaffold_6-processed-gene-6.59-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.59&CDS=1-987, maker-scaffold_6-augustus-gene-8.124-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-8.124&CDS=1-2127	YML131W
432	OG0000432	augustus_masked-scaffold_6-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.85&CDS=1-5439, augustus_masked-scaffold_7-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.55&CDS=1-5493	YNL271C
433	OG0000433	maker-scaffold_6-augustus-gene-6.72-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-6.72&CDS=1-399	YHL001W, YKL006W
434	OG0000434	augustus_masked-scaffold_6-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.9&CDS=1-2436	YDR264C, YOR034C
435	OG0000435	augustus_masked-scaffold_6-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.22&CDS=1-2829	YDR351W, YHR103W
436	OG0000436	maker-scaffold_6-snap-gene-7.4-mRNA-1_1&gene=maker-scaffold_6-snap-gene-7.4&CDS=1-3576	YJL045W, YKL148C
437	OG0000437	augustus_masked-scaffold_6-processed-gene-7.44-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.44&CDS=1-2334	YBR172C, YPL105C
438	OG0000438	augustus_masked-scaffold_6-processed-gene-8.15-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.15&CDS=1-1623	YDR497C, YOL103W
439	OG0000439	augustus_masked-scaffold_6-processed-gene-9.99-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.99&CDS=1-1221	YMR243C, YOR316C
440	OG0000440	augustus_masked-scaffold_6-processed-gene-10.122-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.122&CDS=1-1245	YDL088C, YMR153W
441	OG0000441	augustus_masked-scaffold_6-processed-gene-11.140-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.140&CDS=1-2427	YBR001C, YDR001C
442	OG0000442	augustus_masked-scaffold_7-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.49&CDS=1-4113	YDR122W, YLR096W
443	OG0000443	snap_masked-scaffold_7-processed-gene-1.13-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.13&CDS=1-468	YGL031C, YGR148C
444	OG0000444	genemark-scaffold_7-processed-gene-1.75-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.75&CDS=1-4329	YML109W, YMR273C
445	OG0000445	augustus_masked-scaffold_7-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.127&CDS=1-360	YFL034C-A, YLR061W
446	OG0000446	augustus_masked-scaffold_7-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.0&CDS=1-1671, augustus_masked-scaffold_7-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.87&CDS=1-1656	YDR536W
447	OG0000447	genemark-scaffold_7-processed-gene-2.71-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.71&CDS=1-579	YBR189W, YPL081W
