	OrthologID	Ogataea_methanolica	Saccharomyces_cerevisiae
368	OG0000368	-processed-gene-29.23-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-29.23&CDS=1-3132	YIL156W, YKR098C
369	OG0000369	-processed-gene-29.24-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-29.24&CDS=1-3228, -processed-gene-35.104-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-35.104&CDS=1-3228	YNL192W
370	OG0000370	-augustus-gene-32.4-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-augustus-gene-32.4&CDS=1-1773	YBR021W, YIR028W
371	OG0000371	-processed-gene-32.38-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.38&CDS=1-2694	YBR172C, YPL105C
372	OG0000372	-snap-gene-32.3-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-snap-gene-32.3&CDS=1-3276	YMR237W, YOR299W
373	OG0000373	-processed-gene-33.67-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.67&CDS=1-3501	YNL087W, YOR086C
374	OG0000374	-augustus-gene-0.33-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-augustus-gene-0.33&CDS=1-3363	YJL172W, YOL153C
375	OG0000375	-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-0.61&CDS=1-1974, -processed-gene-25.95-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-25.95&CDS=1-2268	YBR086C
376	OG0000376	-processed-gene-0.11-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-0.11&CDS=1-960, -processed-gene-9.47-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-9.47&CDS=1-951	YHR104W
377	OG0000377	-processed-gene-1.95-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.95&CDS=1-3486	YHR155W, YNL257C
378	OG0000378	-processed-gene-1.107-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.107&CDS=1-729	YHR043C, YHR044C
379	OG0000379	-processed-gene-1.117-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.117&CDS=1-1719	YDR358W, YHR108W
380	OG0000380	-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.29&CDS=1-423	YER074W, YIL069C
381	OG0000381	-processed-gene-2.33-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.33&CDS=1-1227	YDL127W, YDL179W
382	OG0000382	-processed-gene-2.68-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.68&CDS=1-525	YMR242C, YOR312C
383	OG0000383	-snap-gene-2.3-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-2.3&CDS=1-3177	YDR379W, YOR127W
384	OG0000384	-processed-gene-3.79-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.79&CDS=1-3819	YDR122W, YLR096W
385	OG0000385	-processed-gene-3.111-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.111&CDS=1-2199	YER059W, YIL050W
386	OG0000386	-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.16&CDS=1-639	YER057C, YIL051C
387	OG0000387	-processed-gene-19.69-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-19.69&CDS=1-678, -processed-gene-5.60-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-5.60&CDS=1-678	YLR118C
388	OG0000388	-snap-gene-5.41-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-5.41&CDS=1-2478	YHR141C, YNL162W
389	OG0000389	-processed-gene-5.65-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-5.65&CDS=1-2304	YHR131C, YNL144C
390	OG0000390	-processed-gene-6.86-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-6.86&CDS=1-1431	YJR054W, YML047C
391	OG0000391	-processed-gene-6.94-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-6.94&CDS=1-2577	YJR059W, YKL198C
392	OG0000392	-processed-gene-7.79-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-7.79&CDS=1-816	YCR010C, YNR002C
393	OG0000393	-processed-gene-7.49-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-7.49&CDS=1-246	YHR021C, YKL156W
394	OG0000394	-processed-gene-35.109-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-35.109&CDS=1-1458, -processed-gene-7.114-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-7.114&CDS=1-1434	YDL238C
395	OG0000395	-snap-gene-8.46-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-8.46&CDS=1-4572	YOR227W, YPL137C
396	OG0000396	-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-8.40&CDS=1-252	YDR500C, YLR185W
397	OG0000397	-snap-gene-8.48-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-8.48&CDS=1-3369	YDR502C, YLR180W
398	OG0000398	-processed-gene-8.72-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-8.72&CDS=1-1962	YDR505C, YLR177W
399	OG0000399	-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-9.27&CDS=1-4794	YBR024W, YBR037C
400	OG0000400	-processed-gene-9.71-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-9.71&CDS=1-357	YAL030W, YOR327C
401	OG0000401	-processed-gene-9.77-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-9.77&CDS=1-1122	YCR105W, YMR318C
402	OG0000402	-processed-gene-10.118-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-10.118&CDS=1-1416	YDR132C, YLR108C
403	OG0000403	-processed-gene-34.108-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-34.108&CDS=1-2424, -snap-gene-10.88-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-10.88&CDS=1-2481	YJR126C
404	OG0000404	-snap-gene-10.90-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-10.90&CDS=1-3273	YGR092W, YPR111W
405	OG0000405	-processed-gene-11.94-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-11.94&CDS=1-2484	YDL036C, YOL066C
406	OG0000406	-processed-gene-11.36-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-11.36&CDS=1-4470	YGR070W, YLR371W
407	OG0000407	-processed-gene-12.108-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-12.108&CDS=1-360	YMR230W, YOR293W
408	OG0000408	-processed-gene-12.117-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-12.117&CDS=1-492	YDR178W, YLR164W
409	OG0000409	-processed-gene-12.98-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-12.98&CDS=1-1995	YKL126W, YMR104C
410	OG0000410	-processed-gene-13.63-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-13.63&CDS=1-846	YNL098C, YOR101W
411	OG0000411	-processed-gene-14.102-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-14.102&CDS=1-903, -processed-gene-19.68-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-19.68&CDS=1-807	YKL150W
412	OG0000412	-processed-gene-15.112-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-15.112&CDS=1-402	YCL035C, YDR513W
413	OG0000413	-processed-gene-17.110-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-17.110&CDS=1-2436	YER066W, YFL009W
414	OG0000414	-processed-gene-18.77-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-18.77&CDS=1-1728	YDR253C, YPL038W
415	OG0000415	-processed-gene-18.96-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-18.96&CDS=1-2538	YOR256C, YPL176C
416	OG0000416	-processed-gene-18.151-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-18.151&CDS=1-2697, -processed-gene-29.72-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-29.72&CDS=1-885	YPL174C
417	OG0000417	-processed-gene-19.104-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-19.104&CDS=1-588	YDL082W, YMR142C
418	OG0000418	-processed-gene-19.44-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-19.44&CDS=1-426	YDL083C, YMR143W
419	OG0000419	-processed-gene-20.98-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-20.98&CDS=1-2424	YBR294W, YLR092W
420	OG0000420	-processed-gene-20.31-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-20.31&CDS=1-294	YJR094W-A, YPR043W
421	OG0000421	-processed-gene-21.10-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-21.10&CDS=1-3657	YJR091C, YPR042C
422	OG0000422	-processed-gene-22.45-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-22.45&CDS=1-1833	YDR200C, YLR238W
423	OG0000423	-processed-gene-22.8-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-22.8&CDS=1-3078	YDR206W, YLR233C
424	OG0000424	-processed-gene-23.46-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-23.46&CDS=1-2382	YFL050C, YOL130W
425	OG0000425	-processed-gene-23.18-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-23.18&CDS=1-3216	YGL049C, YGR162W
426	OG0000426	-processed-gene-24.50-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-24.50&CDS=1-1770	YBR273C, YJL048C
427	OG0000427	-processed-gene-24.85-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-24.85&CDS=1-2694, -processed-gene-33.21-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-33.21&CDS=1-2688	YGL008C
428	OG0000428	-processed-gene-25.8-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-25.8&CDS=1-765	YFR031C-A, YIL018W
429	OG0000429	-processed-gene-25.23-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-25.23&CDS=1-780	YHL033C, YLL045C
430	OG0000430	-snap-gene-25.124-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-25.124&CDS=1-1551	YHR115C, YNL116W
431	OG0000431	-processed-gene-26.40-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-26.40&CDS=1-978	YMR172W, YOL116W
432	OG0000432	-processed-gene-27.90-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-27.90&CDS=1-5880	YIL149C, YKR095W
433	OG0000433	-processed-gene-28.91-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-28.91&CDS=1-2400	YIL095W, YNL020C
434	OG0000434	-processed-gene-28.92-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-28.92&CDS=1-2778	YAL056W, YOR371C
435	OG0000435	-processed-gene-28.115-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-28.115&CDS=1-477	YGR209C, YLR043C
436	OG0000436	-processed-gene-29.50-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-29.50&CDS=1-1338	YCL048W, YDR522C
437	OG0000437	-snap-gene-29.43-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-29.43&CDS=1-2064	YEL041W, YJR049C
438	OG0000438	-processed-gene-30.1-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-30.1&CDS=1-2220, -processed-gene-30.17-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-30.17&CDS=1-2292	YBL097W
439	OG0000439	-processed-gene-30.84-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-30.84&CDS=1-360	YER131W, YGL189C
440	OG0000440	-processed-gene-30.20-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-30.20&CDS=1-333, -processed-gene-30.86-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-30.86&CDS=1-1593	YOR320C
441	OG0000441	-processed-gene-31.37-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-31.37&CDS=1-3687	YJR127C, YML081W
442	OG0000442	-snap-gene-31.61-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-31.61&CDS=1-2409	YJL105W, YKR029C
443	OG0000443	-processed-gene-32.21-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-32.21&CDS=1-2595	YDL138W, YDL194W
444	OG0000444	-processed-gene-32.109-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-32.109&CDS=1-543	YDL137W, YDL192W
445	OG0000445	-processed-gene-32.24-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-32.24&CDS=1-366	YDL136W, YDL191W
446	OG0000446	-processed-gene-32.40-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-32.40&CDS=1-1026	YDL134C, YDL188C
447	OG0000447	-processed-gene-32.45-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-32.45&CDS=1-792	YGR214W, YLR048W
448	OG0000448	-processed-gene-33.4-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-33.4&CDS=1-2331	YJL082W, YKR018C
449	OG0000449	-processed-gene-33.48-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-33.48&CDS=1-2724	YJL083W, YKR019C
450	OG0000450	-processed-gene-33.112-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-33.112&CDS=1-927	YBR104W, YPR058W
451	OG0000451	-snap-gene-33.38-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-33.38&CDS=1-2652	YBR031W, YDR012W
452	OG0000452	-processed-gene-34.100-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-34.100&CDS=1-3291	YML100W, YMR261C
453	OG0000453	-processed-gene-34.106-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-34.106&CDS=1-3180	YLR450W, YML075C
454	OG0000454	-processed-gene-35.94-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-35.94&CDS=1-1734, -snap-gene-35.156-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-35.156&CDS=1-3489	YKR039W
455	OG0000455	-processed-gene-35.82-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-35.82&CDS=1-522	YKL141W, YMR118C
456	OG0000456	-processed-gene-35.84-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-35.84&CDS=1-1548, -processed-gene-35.88-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-35.88&CDS=1-1479	YOL119C
457	OG0000457	-processed-gene-35.120-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-35.120&CDS=1-1740	YJR130C, YML082W
458	OG0000458		YCR102C, YLR460C, YNL134C
459	OG0000459		YHL009W-B, YJL113W, YPL060C-A
460	OG0000460	-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-gi|1002316317|dbj|BCKW01000020.1|-processed-gene-0.8&CDS=1-1449	YCR028C
461	OG0000461	-augustus-gene-0.22-mRNA-1_1&gene=maker-gi|1002316324|dbj|BCKW01000013.1|-augustus-gene-0.22&CDS=1-4614	YER157W
462	OG0000462	-processed-gene-0.62-mRNA-1_1&gene=genemark-gi|1002316324|dbj|BCKW01000013.1|-processed-gene-0.62&CDS=1-222	YDR079C-A
463	OG0000463	-processed-gene-0.52-mRNA-1_1&gene=genemark-gi|1002316324|dbj|BCKW01000013.1|-processed-gene-0.52&CDS=1-3180	YDR080W
464	OG0000464	-processed-gene-0.63-mRNA-1_1&gene=genemark-gi|1002316324|dbj|BCKW01000013.1|-processed-gene-0.63&CDS=1-738	YDR084C
465	OG0000465	-processed-gene-0.84-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.84&CDS=1-960	YOR142W
466	OG0000466	-processed-gene-0.87-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.87&CDS=1-1497	YHR137W
467	OG0000467	-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.41&CDS=1-249	YER048W-A
468	OG0000468	-processed-gene-0.88-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.88&CDS=1-2826	YIL109C
469	OG0000469	-processed-gene-0.126-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.126&CDS=1-4272	YIL112W
470	OG0000470	-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.43&CDS=1-2616	YIL110W
471	OG0000471	-processed-gene-0.90-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.90&CDS=1-1257	YNL051W
472	OG0000472	-processed-gene-0.91-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.91&CDS=1-372	YCR028C-A
473	OG0000473	-processed-gene-0.131-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.131&CDS=1-1230	YKL178C
474	OG0000474	-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.48&CDS=1-2754	YJR075W
475	OG0000475	-processed-gene-0.92-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.92&CDS=1-1899	YKL029C
476	OG0000476	-processed-gene-0.93-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.93&CDS=1-567	YBR047W
477	OG0000477	-processed-gene-0.94-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.94&CDS=1-588	YGL047W
478	OG0000478	-processed-gene-0.95-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.95&CDS=1-1785	YOR205C
479	OG0000479	-processed-gene-0.96-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.96&CDS=1-2115	YJL012C
480	OG0000480	-processed-gene-0.97-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.97&CDS=1-1494	YLL006W
481	OG0000481	-processed-gene-0.141-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.141&CDS=1-933	YHR187W
482	OG0000482	-processed-gene-0.98-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.98&CDS=1-3375	YGR258C
483	OG0000483	-processed-gene-0.143-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.143&CDS=1-480	YGR203W
484	OG0000484	-processed-gene-0.144-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.144&CDS=1-1422	YGR202C
485	OG0000485	-processed-gene-0.99-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.99&CDS=1-2619	YGR261C
486	OG0000486	-processed-gene-0.100-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.100&CDS=1-309	YGR181W
487	OG0000487	-processed-gene-0.146-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.146&CDS=1-456	YDL208W
488	OG0000488	-processed-gene-0.105-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.105&CDS=1-2859	YDR238C
489	OG0000489	-processed-gene-0.106-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.106&CDS=1-918	YPR114W
490	OG0000490	-snap-gene-0.81-mRNA-1_1&gene=maker-gi|1002316325|dbj|BCKW01000012.1|-snap-gene-0.81&CDS=1-2319	YDL207W
491	OG0000491	-processed-gene-0.107-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.107&CDS=1-903	YDR237W
492	OG0000492	-processed-gene-0.108-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.108&CDS=1-1341	YDR072C
493	OG0000493	-processed-gene-0.149-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.149&CDS=1-732	YDR071C
494	OG0000494	-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.26&CDS=1-258	YER146W
495	OG0000495	-processed-gene-0.150-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.150&CDS=1-1035	YER142C
496	OG0000496	-processed-gene-0.110-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.110&CDS=1-1332	YER143W
497	OG0000497	-processed-gene-0.151-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.151&CDS=1-645	YDR067C
498	OG0000498	-processed-gene-0.152-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.152&CDS=1-1629	YDR061W
499	OG0000499	-processed-gene-0.113-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.113&CDS=1-1701	YDR062W
500	OG0000500	-processed-gene-0.114-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.114&CDS=1-828	YGR104C
501	OG0000501	-processed-gene-0.154-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.154&CDS=1-3582	YNL118C
502	OG0000502	-processed-gene-0.115-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.115&CDS=1-774	YOR281C
503	OG0000503	-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.68&CDS=1-1749	YMR223W
504	OG0000504	-processed-gene-0.157-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.157&CDS=1-1128	YFL039C
505	OG0000505	-processed-gene-0.158-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.158&CDS=1-555	YLR065C
506	OG0000506	-processed-gene-0.159-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.159&CDS=1-609	YFL038C
507	OG0000507	-processed-gene-0.116-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.116&CDS=1-1830	YBR158W
508	OG0000508	-processed-gene-0.160-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.160&CDS=1-1308	YER003C
509	OG0000509	-processed-gene-0.161-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.161&CDS=1-2535	YGR068C
510	OG0000510	-processed-gene-0.162-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.162&CDS=1-1032	YEL004W
511	OG0000511	-processed-gene-0.120-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.120&CDS=1-387	YNL153C
512	OG0000512	-processed-gene-0.164-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.164&CDS=1-1551	YGR002C
513	OG0000513	-processed-gene-0.121-mRNA-1_1&gene=genemark-gi|1002316325|dbj|BCKW01000012.1|-processed-gene-0.121&CDS=1-2442	YGR003W
514	OG0000514	-processed-gene-0.47-mRNA-1_1&gene=genemark-gi|1002316326|dbj|BCKW01000011.1|-processed-gene-0.47&CDS=1-840	YMR312W
515	OG0000515	-processed-gene-0.61-mRNA-1_1&gene=genemark-gi|1002316326|dbj|BCKW01000011.1|-processed-gene-0.61&CDS=1-1647	YMR313C
516	OG0000516	-processed-gene-0.48-mRNA-1_1&gene=genemark-gi|1002316326|dbj|BCKW01000011.1|-processed-gene-0.48&CDS=1-579	YER012W
517	OG0000517	-processed-gene-0.63-mRNA-1_1&gene=genemark-gi|1002316326|dbj|BCKW01000011.1|-processed-gene-0.63&CDS=1-1032	YIL061C
518	OG0000518	-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-gi|1002316326|dbj|BCKW01000011.1|-processed-gene-0.40&CDS=1-1038	YER156C
519	OG0000519	-processed-gene-0.65-mRNA-1_1&gene=genemark-gi|1002316326|dbj|BCKW01000011.1|-processed-gene-0.65&CDS=1-3222	YBL076C
