	OrthologID	Saccharomyces_cerevisiae	yHAB166_Kazachstania_yakushimaensis
474	OG0000474	YOL028C	augustus_masked-scf7180000044121-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000044121-processed-gene-0.1&CDS=1-243, augustus_masked-scf7180000044641-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-scf7180000044641-processed-gene-1.86&CDS=1-1107
475	OG0000475	YOL031C	augustus_masked-scf7180000044487-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000044487-processed-gene-0.1&CDS=1-354, maker-scf7180000044641-augustus-gene-1.44-mRNA-1_1&gene=maker-scf7180000044641-augustus-gene-1.44&CDS=1-1161
476	OG0000476	YOL055C, YPL258C, YPR121W	
477	OG0000477	YOL065C	augustus_masked-scf7180000044004-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000044004-processed-gene-0.1&CDS=1-324, snap_masked-scf7180000044648-processed-gene-4.57-mRNA-1_1&gene=snap_masked-scf7180000044648-processed-gene-4.57&CDS=1-1164
478	OG0000478	YOL072W	augustus_masked-scf7180000044570-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-scf7180000044570-processed-gene-0.90&CDS=1-1422, genemark-scf7180000043909-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000043909-processed-gene-0.0&CDS=1-912
479	OG0000479	YOL073C	augustus_masked-scf7180000044369-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000044369-processed-gene-0.2&CDS=1-288, augustus_masked-scf7180000044570-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000044570-processed-gene-0.78&CDS=1-939
480	OG0000480	YOL078W	augustus_masked-scf7180000043897-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000043897-processed-gene-0.0&CDS=1-1029, maker-scf7180000044570-augustus-gene-0.37-mRNA-1_1&gene=maker-scf7180000044570-augustus-gene-0.37&CDS=1-4266
481	OG0000481	YOL137W	augustus_masked-scf7180000044586-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scf7180000044586-processed-gene-0.46&CDS=1-1524, augustus_masked-scf7180000044586-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scf7180000044586-processed-gene-0.47&CDS=1-1548
482	OG0000482	YOL144W	augustus_masked-scf7180000044066-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000044066-processed-gene-0.1&CDS=1-561, augustus_masked-scf7180000044574-processed-gene-1.194-mRNA-1_1&gene=augustus_masked-scf7180000044574-processed-gene-1.194&CDS=1-1590
483	OG0000483	YOR018W	augustus_masked-scf7180000044154-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000044154-processed-gene-0.2&CDS=1-432, augustus_masked-scf7180000044647-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-scf7180000044647-processed-gene-3.18&CDS=1-2349
484	OG0000484	YOR109W	augustus_masked-scf7180000044643-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-scf7180000044643-processed-gene-1.144&CDS=1-3531, genemark-scf7180000044639-processed-gene-3.107-mRNA-1_1&gene=genemark-scf7180000044639-processed-gene-3.107&CDS=1-5199
485	OG0000485	YOR140W	augustus_masked-scf7180000044373-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000044373-processed-gene-0.1&CDS=1-291, augustus_masked-scf7180000044639-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-scf7180000044639-processed-gene-0.108&CDS=1-3270
486	OG0000486	YOR162C, YOR172W	augustus_masked-scf7180000044594-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-scf7180000044594-processed-gene-0.163&CDS=1-2778
487	OG0000487	YOR178C	augustus_masked-scf7180000044605-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-scf7180000044605-processed-gene-0.189&CDS=1-2160, snap_masked-scf7180000044625-processed-gene-0.104-mRNA-1_1&gene=snap_masked-scf7180000044625-processed-gene-0.104&CDS=1-2766
488	OG0000488	YOR222W, YPL134C	augustus_masked-scf7180000044638-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-scf7180000044638-processed-gene-0.83&CDS=1-954
489	OG0000489	YOR229W, YOR230W	maker-scf7180000044612-snap-gene-1.39-mRNA-1_1&gene=maker-scf7180000044612-snap-gene-1.39&CDS=1-2553
490	OG0000490	YOR231W, YPL140C	maker-scf7180000044612-snap-gene-1.41-mRNA-1_1&gene=maker-scf7180000044612-snap-gene-1.41&CDS=1-1779
491	OG0000491	YOR234C, YPL143W	snap_masked-scf7180000044612-processed-gene-1.128-mRNA-1_1&gene=snap_masked-scf7180000044612-processed-gene-1.128&CDS=1-354
492	OG0000492	YOR237W, YPL145C	augustus_masked-scf7180000044638-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000044638-processed-gene-0.78&CDS=1-1371
493	OG0000493	YOR264W, YOR265W	genemark-scf7180000044612-processed-gene-2.22-mRNA-1_1&gene=genemark-scf7180000044612-processed-gene-2.22&CDS=1-1323
494	OG0000494	YOR278W	augustus_masked-scf7180000044612-processed-gene-2.190-mRNA-1_1&gene=augustus_masked-scf7180000044612-processed-gene-2.190&CDS=1-771, snap_masked-scf7180000044265-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000044265-processed-gene-0.1&CDS=1-321
495	OG0000495	YOR315W	snap_masked-scf7180000043996-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000043996-processed-gene-0.2&CDS=1-288, snap_masked-scf7180000044629-processed-gene-0.62-mRNA-1_1&gene=snap_masked-scf7180000044629-processed-gene-0.62&CDS=1-1059
496	OG0000496	YOR317W	augustus_masked-scf7180000044629-processed-gene-0.207-mRNA-1_1&gene=augustus_masked-scf7180000044629-processed-gene-0.207&CDS=1-2109, augustus_masked-scf7180000044645-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-scf7180000044645-processed-gene-1.5&CDS=1-2094
497	OG0000497	YOR320C	augustus_masked-scf7180000044592-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-scf7180000044592-processed-gene-0.93&CDS=1-1449, augustus_masked-scf7180000044645-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-scf7180000044645-processed-gene-1.3&CDS=1-1464
498	OG0000498	YOR372C	augustus_masked-scf7180000044457-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000044457-processed-gene-0.0&CDS=1-303, augustus_masked-scf7180000044561-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-scf7180000044561-processed-gene-0.93&CDS=1-2415
499	OG0000499	YPL034W	augustus_masked-scf7180000043975-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000043975-processed-gene-0.0&CDS=1-795, snap_masked-scf7180000044591-processed-gene-0.127-mRNA-1_1&gene=snap_masked-scf7180000044591-processed-gene-0.127&CDS=1-1098
500	OG0000500	YPL109C	augustus_masked-scf7180000043899-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000043899-processed-gene-0.0&CDS=1-570, augustus_masked-scf7180000044594-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-scf7180000044594-processed-gene-0.159&CDS=1-1593
501	OG0000501	YPL137C	augustus_masked-scf7180000044612-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-scf7180000044612-processed-gene-1.18&CDS=1-3936, augustus_masked-scf7180000044638-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-scf7180000044638-processed-gene-0.82&CDS=1-4002
502	OG0000502	YPL138C	augustus_masked-scf7180000044638-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-scf7180000044638-processed-gene-0.81&CDS=1-1077, snap_masked-scf7180000044064-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000044064-processed-gene-0.1&CDS=1-315
503	OG0000503	YPL204W	augustus_masked-scf7180000044575-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-scf7180000044575-processed-gene-0.127&CDS=1-1542, maker-scf7180000044648-snap-gene-1.78-mRNA-1_1&gene=maker-scf7180000044648-snap-gene-1.78&CDS=1-1260
504	OG0000504	YPL221W	augustus_masked-scf7180000044575-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-scf7180000044575-processed-gene-0.134&CDS=1-2517, augustus_masked-scf7180000044648-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-scf7180000044648-processed-gene-1.53&CDS=1-2442
505	OG0000505	YPR013C, YPR015C	snap_masked-scf7180000044648-processed-gene-3.28-mRNA-1_1&gene=snap_masked-scf7180000044648-processed-gene-3.28&CDS=1-1287
506	OG0000506	YPR045C	augustus_masked-scf7180000044630-processed-gene-1.175-mRNA-1_1&gene=augustus_masked-scf7180000044630-processed-gene-1.175&CDS=1-1374, snap_masked-scf7180000044388-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000044388-processed-gene-0.1&CDS=1-399
507	OG0000507	YPR063C	augustus_masked-scf7180000044315-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000044315-processed-gene-0.0&CDS=1-360, snap_masked-scf7180000044645-processed-gene-3.76-mRNA-1_1&gene=snap_masked-scf7180000044645-processed-gene-3.76&CDS=1-387
508	OG0000508	YPR074C	augustus_masked-scf7180000044623-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-scf7180000044623-processed-gene-0.186&CDS=1-2052, maker-scf7180000044644-snap-gene-2.45-mRNA-1_1&gene=maker-scf7180000044644-snap-gene-2.45&CDS=1-1980
509	OG0000509	YPR089W	augustus_masked-scf7180000043972-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000043972-processed-gene-0.1&CDS=1-801, augustus_masked-scf7180000044623-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-scf7180000044623-processed-gene-0.182&CDS=1-2775
510	OG0000510	YPR095C	augustus_masked-scf7180000043924-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000043924-processed-gene-0.1&CDS=1-954, augustus_masked-scf7180000044623-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-scf7180000044623-processed-gene-0.181&CDS=1-3483
511	OG0000511	YPR144C	augustus_masked-scf7180000043966-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000043966-processed-gene-0.1&CDS=1-786, augustus_masked-scf7180000044623-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-scf7180000044623-processed-gene-0.162&CDS=1-1716
512	OG0000512	YPR159W	augustus_masked-scf7180000044623-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-scf7180000044623-processed-gene-0.188&CDS=1-2361, augustus_masked-scf7180000044644-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-scf7180000044644-processed-gene-3.35&CDS=1-2493
513	OG0000513	YAL001C	snap_masked-scf7180000044611-processed-gene-1.76-mRNA-1_1&gene=snap_masked-scf7180000044611-processed-gene-1.76&CDS=1-3618
514	OG0000514	YAL002W	augustus_masked-scf7180000044611-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-scf7180000044611-processed-gene-1.101&CDS=1-3831
515	OG0000515	YAL003W	augustus_masked-scf7180000044611-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-scf7180000044611-processed-gene-2.35&CDS=1-621
516	OG0000516	YAL009W	genemark-scf7180000044580-processed-gene-0.30-mRNA-1_1&gene=genemark-scf7180000044580-processed-gene-0.30&CDS=1-753
517	OG0000517	YAL010C	augustus_masked-scf7180000044580-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-scf7180000044580-processed-gene-0.178&CDS=1-1272
518	OG0000518	YAL011W	augustus_masked-scf7180000044580-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-scf7180000044580-processed-gene-0.155&CDS=1-1977
519	OG0000519	YAL012W	augustus_masked-scf7180000044580-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-scf7180000044580-processed-gene-0.154&CDS=1-1152
520	OG0000520	YAL013W	augustus_masked-scf7180000044580-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-scf7180000044580-processed-gene-0.153&CDS=1-1428
521	OG0000521	YAL014C	snap_masked-scf7180000044580-processed-gene-0.93-mRNA-1_1&gene=snap_masked-scf7180000044580-processed-gene-0.93&CDS=1-804
522	OG0000522	YAL016W	snap_masked-scf7180000044641-processed-gene-2.63-mRNA-1_1&gene=snap_masked-scf7180000044641-processed-gene-2.63&CDS=1-1839
523	OG0000523	YAL017W	augustus_masked-scf7180000044580-processed-gene-0.176-mRNA-1_1&gene=augustus_masked-scf7180000044580-processed-gene-0.176&CDS=1-4482
524	OG0000524	YAL019W	snap_masked-scf7180000044580-processed-gene-0.128-mRNA-1_1&gene=snap_masked-scf7180000044580-processed-gene-0.128&CDS=1-3153
525	OG0000525	YAL020C	augustus_masked-scf7180000044580-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-scf7180000044580-processed-gene-0.152&CDS=1-1116
526	OG0000526	YAL023C	augustus_masked-scf7180000044641-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-scf7180000044641-processed-gene-2.15&CDS=1-2259
527	OG0000527	YAL025C	augustus_masked-scf7180000044641-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-scf7180000044641-processed-gene-2.16&CDS=1-939
528	OG0000528	YAL026C	augustus_masked-scf7180000044580-processed-gene-0.174-mRNA-1_1&gene=augustus_masked-scf7180000044580-processed-gene-0.174&CDS=1-3975
529	OG0000529	YAL031C	augustus_masked-scf7180000044580-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-scf7180000044580-processed-gene-0.172&CDS=1-3585
530	OG0000530	YAL034W-A	augustus_masked-scf7180000044580-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-scf7180000044580-processed-gene-0.147&CDS=1-1191
531	OG0000531	YAL035W	augustus_masked-scf7180000044569-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-scf7180000044569-processed-gene-0.37&CDS=1-3858
532	OG0000532	YAL036C	augustus_masked-scf7180000044580-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-scf7180000044580-processed-gene-0.170&CDS=1-1107
533	OG0000533	YAL038W	augustus_masked-scf7180000044580-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-scf7180000044580-processed-gene-0.145&CDS=1-1506
534	OG0000534	YAL039C	augustus_masked-scf7180000044580-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-scf7180000044580-processed-gene-0.169&CDS=1-816
535	OG0000535	YAL040C	augustus_masked-scf7180000044561-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-scf7180000044561-processed-gene-0.74&CDS=1-1332
536	OG0000536	YAL041W	augustus_masked-scf7180000044580-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-scf7180000044580-processed-gene-0.144&CDS=1-2412
537	OG0000537	YAL042W	augustus_masked-scf7180000044580-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-scf7180000044580-processed-gene-0.143&CDS=1-1284
538	OG0000538	YAL044C	genemark-scf7180000044580-processed-gene-0.46-mRNA-1_1&gene=genemark-scf7180000044580-processed-gene-0.46&CDS=1-510
539	OG0000539	YAL048C	genemark-scf7180000044572-processed-gene-0.110-mRNA-1_1&gene=genemark-scf7180000044572-processed-gene-0.110&CDS=1-4158
540	OG0000540	YAL049C	augustus_masked-scf7180000044626-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000044626-processed-gene-0.20&CDS=1-750
541	OG0000541	YAL051W	maker-scf7180000044572-snap-gene-0.34-mRNA-1_1&gene=maker-scf7180000044572-snap-gene-0.34&CDS=1-3744
542	OG0000542	YAL053W	augustus_masked-scf7180000044572-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000044572-processed-gene-0.6&CDS=1-2475
543	OG0000543	YAL059W	augustus_masked-scf7180000044572-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000044572-processed-gene-0.4&CDS=1-561
544	OG0000544	YAL060W	augustus_masked-scf7180000044597-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scf7180000044597-processed-gene-0.48&CDS=1-1134
545	OG0000545	YAL067C	snap_masked-scf7180000044630-processed-gene-1.104-mRNA-1_1&gene=snap_masked-scf7180000044630-processed-gene-1.104&CDS=1-1329
546	OG0000546	YAR002W	snap_masked-scf7180000044611-processed-gene-2.108-mRNA-1_1&gene=snap_masked-scf7180000044611-processed-gene-2.108&CDS=1-1776
547	OG0000547	YAR003W	augustus_masked-scf7180000044611-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-scf7180000044611-processed-gene-2.24&CDS=1-1371
548	OG0000548	YAR007C	augustus_masked-scf7180000044611-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-scf7180000044611-processed-gene-2.37&CDS=1-1914
549	OG0000549	YAR008W	augustus_masked-scf7180000044611-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-scf7180000044611-processed-gene-2.26&CDS=1-954
550	OG0000550	YAR014C	snap_masked-scf7180000044633-processed-gene-0.38-mRNA-1_1&gene=snap_masked-scf7180000044633-processed-gene-0.38&CDS=1-2370
551	OG0000551	YAR018C	snap_masked-scf7180000044633-processed-gene-0.39-mRNA-1_1&gene=snap_masked-scf7180000044633-processed-gene-0.39&CDS=1-1197
552	OG0000552	YAR019C	genemark-scf7180000044633-processed-gene-0.103-mRNA-1_1&gene=genemark-scf7180000044633-processed-gene-0.103&CDS=1-2910
553	OG0000553	YAR035W	augustus_masked-scf7180000044645-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-scf7180000044645-processed-gene-2.113&CDS=1-3087
554	OG0000554	YBL001C	genemark-scf7180000044645-processed-gene-2.3-mRNA-1_1&gene=genemark-scf7180000044645-processed-gene-2.3&CDS=1-282
555	OG0000555	YBL004W	augustus_masked-scf7180000044645-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-scf7180000044645-processed-gene-2.118&CDS=1-2994
556	OG0000556	YBL006C	snap_masked-scf7180000044598-processed-gene-0.96-mRNA-1_1&gene=snap_masked-scf7180000044598-processed-gene-0.96&CDS=1-594
557	OG0000557	YBL007C	maker-scf7180000044598-augustus-gene-0.92-mRNA-1_1&gene=maker-scf7180000044598-augustus-gene-0.92&CDS=1-3864
558	OG0000558	YBL009W	snap_masked-scf7180000044598-processed-gene-0.119-mRNA-1_1&gene=snap_masked-scf7180000044598-processed-gene-0.119&CDS=1-3012
559	OG0000559	YBL010C	augustus_masked-scf7180000044598-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000044598-processed-gene-0.1&CDS=1-1116
560	OG0000560	YBL011W	genemark-scf7180000044598-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000044598-processed-gene-0.43&CDS=1-2949
561	OG0000561	YBL015W	augustus_masked-scf7180000044596-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000044596-processed-gene-0.11&CDS=1-1578
562	OG0000562	YBL016W	augustus_masked-scf7180000044596-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000044596-processed-gene-0.10&CDS=1-1056
563	OG0000563	YBL019W	genemark-scf7180000044596-processed-gene-0.92-mRNA-1_1&gene=genemark-scf7180000044596-processed-gene-0.92&CDS=1-2463
564	OG0000564	YBL023C	augustus_masked-scf7180000044596-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000044596-processed-gene-0.25&CDS=1-2622
565	OG0000565	YBL025W	augustus_masked-scf7180000044596-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000044596-processed-gene-0.7&CDS=1-621
566	OG0000566	YBL026W	augustus_masked-scf7180000044648-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-scf7180000044648-processed-gene-3.114&CDS=1-285
567	OG0000567	YBL028C	augustus_masked-scf7180000044645-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-scf7180000044645-processed-gene-3.12&CDS=1-318
568	OG0000568	YBL029W	augustus_masked-scf7180000044645-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-scf7180000044645-processed-gene-3.26&CDS=1-1827
569	OG0000569	YBL031W	snap_masked-scf7180000044645-processed-gene-3.68-mRNA-1_1&gene=snap_masked-scf7180000044645-processed-gene-3.68&CDS=1-1434
570	OG0000570	YBL032W	augustus_masked-scf7180000044645-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-scf7180000044645-processed-gene-3.28&CDS=1-1035
571	OG0000571	YBL033C	augustus_masked-scf7180000044645-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-scf7180000044645-processed-gene-3.13&CDS=1-933
572	OG0000572	YBL034C	snap_masked-scf7180000044645-processed-gene-3.52-mRNA-1_1&gene=snap_masked-scf7180000044645-processed-gene-3.52&CDS=1-4767
573	OG0000573	YBL035C	snap_masked-scf7180000044645-processed-gene-3.53-mRNA-1_1&gene=snap_masked-scf7180000044645-processed-gene-3.53&CDS=1-1995
574	OG0000574	YBL036C	augustus_masked-scf7180000044583-processed-gene-0.210-mRNA-1_1&gene=augustus_masked-scf7180000044583-processed-gene-0.210&CDS=1-744
575	OG0000575	YBL037W	snap_masked-scf7180000044645-processed-gene-3.72-mRNA-1_1&gene=snap_masked-scf7180000044645-processed-gene-3.72&CDS=1-3141
576	OG0000576	YBL038W	augustus_masked-scf7180000044645-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-scf7180000044645-processed-gene-3.30&CDS=1-561
577	OG0000577	YBL039C	augustus_masked-scf7180000044630-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-scf7180000044630-processed-gene-1.148&CDS=1-1731
578	OG0000578	YBL040C	augustus_masked-scf7180000044630-processed-gene-1.149-mRNA-1_1&gene=augustus_masked-scf7180000044630-processed-gene-1.149&CDS=1-657
579	OG0000579	YBL041W	genemark-scf7180000044630-processed-gene-1.48-mRNA-1_1&gene=genemark-scf7180000044630-processed-gene-1.48&CDS=1-723
580	OG0000580	YBL045C	augustus_masked-scf7180000044630-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-scf7180000044630-processed-gene-1.150&CDS=1-1467
581	OG0000581	YBL046W	snap_masked-scf7180000044630-processed-gene-1.117-mRNA-1_1&gene=snap_masked-scf7180000044630-processed-gene-1.117&CDS=1-1620
582	OG0000582	YBL047C	augustus_masked-scf7180000044630-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-scf7180000044630-processed-gene-1.151&CDS=1-3969
583	OG0000583	YBL049W	augustus_masked-scf7180000044630-processed-gene-1.178-mRNA-1_1&gene=augustus_masked-scf7180000044630-processed-gene-1.178&CDS=1-399
584	OG0000584	YBL050W	augustus_masked-scf7180000044630-processed-gene-1.179-mRNA-1_1&gene=augustus_masked-scf7180000044630-processed-gene-1.179&CDS=1-876
585	OG0000585	YBL051C	maker-scf7180000044632-snap-gene-2.156-mRNA-1_1&gene=maker-scf7180000044632-snap-gene-2.156&CDS=1-2175
586	OG0000586	YBL055C	augustus_masked-scf7180000044632-processed-gene-2.185-mRNA-1_1&gene=augustus_masked-scf7180000044632-processed-gene-2.185&CDS=1-1158
587	OG0000587	YBL057C	augustus_masked-scf7180000044632-processed-gene-2.186-mRNA-1_1&gene=augustus_masked-scf7180000044632-processed-gene-2.186&CDS=1-672
588	OG0000588	YBL058W	augustus_masked-scf7180000044632-processed-gene-2.220-mRNA-1_1&gene=augustus_masked-scf7180000044632-processed-gene-2.220&CDS=1-1200
589	OG0000589	YBL059C-A	genemark-scf7180000044632-processed-gene-2.30-mRNA-1_1&gene=genemark-scf7180000044632-processed-gene-2.30&CDS=1-225
590	OG0000590	YBL060W	augustus_masked-scf7180000044632-processed-gene-2.221-mRNA-1_1&gene=augustus_masked-scf7180000044632-processed-gene-2.221&CDS=1-1869
591	OG0000591	YBL061C	augustus_masked-scf7180000044632-processed-gene-2.188-mRNA-1_1&gene=augustus_masked-scf7180000044632-processed-gene-2.188&CDS=1-2100
592	OG0000592	YBL063W	augustus_masked-scf7180000044632-processed-gene-2.222-mRNA-1_1&gene=augustus_masked-scf7180000044632-processed-gene-2.222&CDS=1-3561
593	OG0000593	YBL066C	augustus_masked-scf7180000044632-processed-gene-2.189-mRNA-1_1&gene=augustus_masked-scf7180000044632-processed-gene-2.189&CDS=1-3261
594	OG0000594	YBL071W-A	augustus_masked-scf7180000044632-processed-gene-2.224-mRNA-1_1&gene=augustus_masked-scf7180000044632-processed-gene-2.224&CDS=1-240
595	OG0000595	YBL076C	genemark-scf7180000044632-processed-gene-2.35-mRNA-1_1&gene=genemark-scf7180000044632-processed-gene-2.35&CDS=1-3249
596	OG0000596	YBL078C	augustus_masked-scf7180000044632-processed-gene-2.194-mRNA-1_1&gene=augustus_masked-scf7180000044632-processed-gene-2.194&CDS=1-354
597	OG0000597	YBL079W	maker-scf7180000044632-snap-gene-2.161-mRNA-1_1&gene=maker-scf7180000044632-snap-gene-2.161&CDS=1-4365
598	OG0000598	YBL080C	genemark-scf7180000044632-processed-gene-2.37-mRNA-1_1&gene=genemark-scf7180000044632-processed-gene-2.37&CDS=1-1602
599	OG0000599	YBL082C	augustus_masked-scf7180000044595-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-scf7180000044595-processed-gene-1.153&CDS=1-1524
600	OG0000600	YBL085W	augustus_masked-scf7180000044595-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-scf7180000044595-processed-gene-1.151&CDS=1-2820
601	OG0000601	YBL086C	genemark-scf7180000044595-processed-gene-1.57-mRNA-1_1&gene=genemark-scf7180000044595-processed-gene-1.57&CDS=1-1413
602	OG0000602	YBL088C	snap_masked-scf7180000044595-processed-gene-1.115-mRNA-1_1&gene=snap_masked-scf7180000044595-processed-gene-1.115&CDS=1-3057
603	OG0000603	YBL091C	snap_masked-scf7180000044593-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000044593-processed-gene-0.5&CDS=1-1995
604	OG0000604	YBL092W	augustus_masked-scf7180000044593-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-scf7180000044593-processed-gene-0.98&CDS=1-393
605	OG0000605	YBL093C	snap_masked-scf7180000044593-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000044593-processed-gene-0.9&CDS=1-597
606	OG0000606	YBL097W	snap_masked-scf7180000044640-processed-gene-2.138-mRNA-1_1&gene=snap_masked-scf7180000044640-processed-gene-2.138&CDS=1-3066
607	OG0000607	YBL099W	snap_masked-scf7180000044640-processed-gene-2.139-mRNA-1_1&gene=snap_masked-scf7180000044640-processed-gene-2.139&CDS=1-1662
608	OG0000608	YBL101C	augustus_masked-scf7180000044640-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-scf7180000044640-processed-gene-2.0&CDS=1-3774
609	OG0000609	YBL102W	augustus_masked-scf7180000044640-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-scf7180000044640-processed-gene-2.3&CDS=1-654
610	OG0000610	YBL103C	augustus_masked-scf7180000044640-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-scf7180000044640-processed-gene-2.1&CDS=1-2265
611	OG0000611	YBL104C	augustus_masked-scf7180000044640-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-scf7180000044640-processed-gene-2.4&CDS=1-8556
612	OG0000612	YBL107C	augustus_masked-scf7180000044640-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-scf7180000044640-processed-gene-2.5&CDS=1-615
613	OG0000613	YBR002C	augustus_masked-scf7180000044645-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-scf7180000044645-processed-gene-2.120&CDS=1-948
614	OG0000614	YBR003W	snap_masked-scf7180000044645-processed-gene-2.58-mRNA-1_1&gene=snap_masked-scf7180000044645-processed-gene-2.58&CDS=1-1455
615	OG0000615	YBR004C	snap_masked-scf7180000044633-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000044633-processed-gene-0.6&CDS=1-1218
