	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034988_Candida_fructus
635	OG0000635	YBR158W	augustus_masked-flattened_line_143-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_143-processed-gene-0.8&CDS=1-1560
636	OG0000636	YBR159W	augustus_masked-flattened_line_167-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_167-processed-gene-0.7&CDS=1-1020
637	OG0000637	YBR162C	augustus_masked-flattened_line_67-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_67-processed-gene-0.26&CDS=1-1356
638	OG0000638	YBR163W	augustus_masked-flattened_line_75-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_75-processed-gene-0.97&CDS=1-1662
639	OG0000639	YBR164C	augustus_masked-flattened_line_4-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.3&CDS=1-555
640	OG0000640	YBR166C	augustus_masked-flattened_line_4-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.21&CDS=1-1281
641	OG0000641	YBR167C	augustus_masked-flattened_line_61-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_61-processed-gene-0.16&CDS=1-429
642	OG0000642	YBR169C	augustus_masked-flattened_line_85-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-flattened_line_85-processed-gene-0.99&CDS=1-2067
643	OG0000643	YBR170C	augustus_masked-flattened_line_85-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_85-processed-gene-0.98&CDS=1-1698
644	OG0000644	YBR171W	augustus_masked-flattened_line_54-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.172&CDS=1-591
645	OG0000645	YBR173C	augustus_masked-flattened_line_28-processed-gene-1.180-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.180&CDS=1-1587
646	OG0000646	YBR176W	augustus_masked-flattened_line_30-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.27&CDS=1-936
647	OG0000647	YBR179C	augustus_masked-flattened_line_54-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.160&CDS=1-2658
648	OG0000648	YBR182C	augustus_masked-flattened_line_6-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.87&CDS=1-1122
649	OG0000649	YBR185C	augustus_masked-flattened_line_85-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_85-processed-gene-0.101&CDS=1-852
650	OG0000650	YBR187W	augustus_masked-flattened_line_4-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.115&CDS=1-888
651	OG0000651	YBR193C	augustus_masked-flattened_line_4-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.91&CDS=1-627
652	OG0000652	YBR195C	augustus_masked-flattened_line_46-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.178&CDS=1-1314
653	OG0000653	YBR196C	augustus_masked-flattened_line_65-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-flattened_line_65-processed-gene-0.160&CDS=1-1659
654	OG0000654	YBR198C	augustus_masked-flattened_line_24-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.91&CDS=1-2271
655	OG0000655	YBR199W	augustus_masked-flattened_line_42-processed-gene-0.194-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.194&CDS=1-1341
656	OG0000656	YBR200W	snap_masked-flattened_line_67-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_67-processed-gene-0.121&CDS=1-1617
657	OG0000657	YBR202W	snap_masked-flattened_line_30-processed-gene-1.112-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.112&CDS=1-2292
658	OG0000658	YBR203W	augustus_masked-flattened_line_71-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-flattened_line_71-processed-gene-0.144&CDS=1-1773
659	OG0000659	YBR204C	augustus_masked-flattened_line_26-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.133&CDS=1-1848
660	OG0000660	YBR208C	augustus_masked-flattened_line_111-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_111-processed-gene-0.68&CDS=1-5484
661	OG0000661	YBR212W	augustus_masked-flattened_line_131-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_131-processed-gene-0.47&CDS=1-1866
662	OG0000662	YBR213W	augustus_masked-flattened_line_131-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_131-processed-gene-0.53&CDS=1-798
663	OG0000663	YBR215W	augustus_masked-flattened_line_40-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.37&CDS=1-1491
664	OG0000664	YBR217W	augustus_masked-flattened_line_40-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.38&CDS=1-399
665	OG0000665	YBR220C	augustus_masked-flattened_line_46-processed-gene-0.166-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.166&CDS=1-1728
666	OG0000666	YBR221C	augustus_masked-flattened_line_46-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.165&CDS=1-1086
667	OG0000667	YBR223C	augustus_masked-flattened_line_2-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.118&CDS=1-2133
668	OG0000668	YBR229C	snap_masked-flattened_line_63-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_63-processed-gene-0.13&CDS=1-2757
669	OG0000669	YBR231C	augustus_masked-flattened_line_40-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.62&CDS=1-915
670	OG0000670	YBR233W	augustus_masked-flattened_line_40-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.61&CDS=1-1452
671	OG0000671	YBR233W-A	augustus_masked-flattened_line_65-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_65-processed-gene-0.135&CDS=1-336
672	OG0000672	YBR234C	augustus_masked-flattened_line_65-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-flattened_line_65-processed-gene-0.161&CDS=1-2703
673	OG0000673	YBR235W	maker-flattened_line_97-augustus-gene-0.116-mRNA-1_1&gene=maker-flattened_line_97-augustus-gene-0.116&CDS=1-6774
674	OG0000674	YBR236C	augustus_masked-flattened_line_2-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.131&CDS=1-1650
675	OG0000675	YBR243C	augustus_masked-flattened_line_18-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.2&CDS=1-1473
676	OG0000676	YBR246W	augustus_masked-flattened_line_18-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.17&CDS=1-1026
677	OG0000677	YBR247C	augustus_masked-flattened_line_87-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.12&CDS=1-2745
678	OG0000678	YBR248C	augustus_masked-flattened_line_79-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_79-processed-gene-0.6&CDS=1-1779
679	OG0000679	YBR251W	maker-flattened_line_10-snap-gene-2.62-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-2.62&CDS=1-2403
680	OG0000680	YBR254C	augustus_masked-flattened_line_42-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.188&CDS=1-462
681	OG0000681	YBR255W	maker-flattened_line_42-augustus-gene-0.154-mRNA-1_1&gene=maker-flattened_line_42-augustus-gene-0.154&CDS=1-2496
682	OG0000682	YBR256C	snap_masked-flattened_line_4-processed-gene-3.69-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.69&CDS=1-708
683	OG0000683	YBR257W	augustus_masked-flattened_line_73-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_73-processed-gene-0.10&CDS=1-795
684	OG0000684	YBR260C	augustus_masked-flattened_line_28-processed-gene-1.175-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.175&CDS=1-1806
685	OG0000685	YBR261C	augustus_masked-flattened_line_50-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.72&CDS=1-726
686	OG0000686	YBR265W	augustus_masked-flattened_line_57-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.13&CDS=1-948
687	OG0000687	YBR267W	augustus_masked-flattened_line_79-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_79-processed-gene-0.24&CDS=1-1194
688	OG0000688	YBR268W	augustus_masked-flattened_line_18-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.53&CDS=1-297
689	OG0000689	YBR269C	augustus_masked-flattened_line_121-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_121-processed-gene-0.69&CDS=1-372
690	OG0000690	YBR271W	augustus_masked-flattened_line_121-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_121-processed-gene-0.68&CDS=1-1203
691	OG0000691	YBR276C	snap_masked-flattened_line_173-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_173-processed-gene-0.19&CDS=1-3021
692	OG0000692	YBR279W	augustus_masked-flattened_line_79-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_79-processed-gene-0.36&CDS=1-1281
693	OG0000693	YBR280C	augustus_masked-flattened_line_26-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.38&CDS=1-1227
694	OG0000694	YBR281C	augustus_masked-flattened_line_28-processed-gene-1.168-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.168&CDS=1-2877
695	OG0000695	YBR282W	maker-flattened_line_40-augustus-gene-0.184-mRNA-1_1&gene=maker-flattened_line_40-augustus-gene-0.184&CDS=1-1161
696	OG0000696	YBR286W	augustus_masked-flattened_line_83-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_83-processed-gene-0.45&CDS=1-1581
697	OG0000697	YBR287W	augustus_masked-flattened_line_16-processed-gene-1.232-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.232&CDS=1-1869
698	OG0000698	YBR288C	snap_masked-flattened_line_24-processed-gene-1.178-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.178&CDS=1-1521
699	OG0000699	YBR289W	augustus_masked-flattened_line_20-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.140&CDS=1-2253
700	OG0000700	YBR290W	augustus_masked-flattened_line_0-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.102&CDS=1-1056
701	OG0000701	YBR291C	maker-flattened_line_0-augustus-gene-1.45-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-1.45&CDS=1-882
702	OG0000702	YBR296C	augustus_masked-flattened_line_50-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.8&CDS=1-1692
703	OG0000703	YCL001W	augustus_masked-flattened_line_4-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.93&CDS=1-543
704	OG0000704	YCL004W	maker-flattened_line_153-augustus-gene-0.29-mRNA-1_1&gene=maker-flattened_line_153-augustus-gene-0.29&CDS=1-2751
705	OG0000705	YCL005W-A	augustus_masked-flattened_line_4-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.106&CDS=1-213
706	OG0000706	YCL008C	snap_masked-flattened_line_4-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.82&CDS=1-1311
707	OG0000707	YCL009C	augustus_masked-flattened_line_67-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_67-processed-gene-0.17&CDS=1-888
708	OG0000708	YCL010C	augustus_masked-flattened_line_153-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_153-processed-gene-0.31&CDS=1-816
709	OG0000709	YCL012C	genemark-flattened_line_153-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_153-processed-gene-0.20&CDS=1-369
710	OG0000710	YCL014W	snap_masked-flattened_line_153-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_153-processed-gene-0.8&CDS=1-4416
711	OG0000711	YCL017C	augustus_masked-flattened_line_167-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_167-processed-gene-0.2&CDS=1-1350
712	OG0000712	YCL018W	augustus_masked-flattened_line_153-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_153-processed-gene-0.39&CDS=1-1119
713	OG0000713	YCL029C	maker-flattened_line_12-snap-gene-1.122-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-1.122&CDS=1-1782
714	OG0000714	YCL030C	augustus_masked-flattened_line_52-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.178&CDS=1-2556
715	OG0000715	YCL031C	augustus_masked-flattened_line_81-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_81-processed-gene-0.18&CDS=1-864
716	OG0000716	YCL032W	augustus_masked-flattened_line_0-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.27&CDS=1-1059
717	OG0000717	YCL033C	augustus_masked-flattened_line_105-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_105-processed-gene-0.96&CDS=1-435
718	OG0000718	YCL034W	augustus_masked-flattened_line_30-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.34&CDS=1-1341
719	OG0000719	YCL039W	augustus_masked-flattened_line_8-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.19&CDS=1-2070
720	OG0000720	YCL043C	augustus_masked-flattened_line_8-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.36&CDS=1-1671
721	OG0000721	YCL045C	snap_masked-flattened_line_16-processed-gene-1.168-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.168&CDS=1-2655
722	OG0000722	YCL052C	augustus_masked-flattened_line_30-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.27&CDS=1-1332
723	OG0000723	YCL054W	maker-flattened_line_4-augustus-gene-2.6-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-2.6&CDS=1-5274
724	OG0000724	YCL055W	augustus_masked-flattened_line_12-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.26&CDS=1-876
725	OG0000725	YCL057C-A	augustus_masked-flattened_line_12-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.28&CDS=1-249
726	OG0000726	YCL057W	augustus_masked-flattened_line_28-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.28&CDS=1-2061
727	OG0000727	YCL059C	augustus_masked-flattened_line_4-processed-gene-3.108-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.108&CDS=1-1107
728	OG0000728	YCL061C	augustus_masked-flattened_line_4-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.94&CDS=1-3225
729	OG0000729	YCR002C	augustus_masked-flattened_line_2-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.99&CDS=1-1080
730	OG0000730	YCR003W	augustus_masked-flattened_line_2-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.103&CDS=1-579
731	OG0000731	YCR009C	augustus_masked-flattened_line_4-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.98&CDS=1-798
732	OG0000732	YCR011C	snap_masked-flattened_line_14-processed-gene-1.201-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.201&CDS=1-3027
733	OG0000733	YCR012W	augustus_masked-flattened_line_28-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.158&CDS=1-1248
734	OG0000734	YCR016W	augustus_masked-flattened_line_36-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.26&CDS=1-918
735	OG0000735	YCR017C	maker-flattened_line_133-augustus-gene-0.65-mRNA-1_1&gene=maker-flattened_line_133-augustus-gene-0.65&CDS=1-3120
736	OG0000736	YCR020C	maker-flattened_line_8-augustus-gene-1.40-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-1.40&CDS=1-993
737	OG0000737	YCR023C	maker-flattened_line_65-snap-gene-0.121-mRNA-1_1&gene=maker-flattened_line_65-snap-gene-0.121&CDS=1-3150
738	OG0000738	YCR024C	augustus_masked-flattened_line_12-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.35&CDS=1-1491
739	OG0000739	YCR028C-A	augustus_masked-flattened_line_2-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.144&CDS=1-405
740	OG0000740	YCR030C	augustus_masked-flattened_line_227-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_227-processed-gene-0.0&CDS=1-2505
741	OG0000741	YCR032W	maker-flattened_line_14-snap-gene-1.99-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-1.99&CDS=1-8217
742	OG0000742	YCR033W	augustus_masked-flattened_line_16-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.8&CDS=1-2589
743	OG0000743	YCR034W	augustus_masked-flattened_line_16-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.20&CDS=1-987
744	OG0000744	YCR035C	augustus_masked-flattened_line_14-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.61&CDS=1-1062
745	OG0000745	YCR036W	augustus_masked-flattened_line_16-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.5&CDS=1-993
746	OG0000746	YCR042C	snap_masked-flattened_line_16-processed-gene-0.122-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.122&CDS=1-4974
747	OG0000747	YCR044C	augustus_masked-flattened_line_85-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-flattened_line_85-processed-gene-0.102&CDS=1-1179
748	OG0000748	YCR046C	augustus_masked-flattened_line_10-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.10&CDS=1-513
749	OG0000749	YCR047C	augustus_masked-flattened_line_10-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.9&CDS=1-807
750	OG0000750	YCR051W	augustus_masked-flattened_line_10-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.26&CDS=1-615
751	OG0000751	YCR053W	augustus_masked-flattened_line_22-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.97&CDS=1-1545
752	OG0000752	YCR054C	augustus_masked-flattened_line_22-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.81&CDS=1-1092
753	OG0000753	YCR057C	augustus_masked-flattened_line_22-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.19&CDS=1-2724
754	OG0000754	YCR059C	maker-flattened_line_22-augustus-gene-1.133-mRNA-1_1&gene=maker-flattened_line_22-augustus-gene-1.133&CDS=1-864
755	OG0000755	YCR061W	augustus_masked-flattened_line_117-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-flattened_line_117-processed-gene-0.86&CDS=1-1884
756	OG0000756	YCR063W	augustus_masked-flattened_line_0-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.107&CDS=1-438
757	OG0000757	YCR065W	augustus_masked-flattened_line_0-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.103&CDS=1-1482
758	OG0000758	YCR066W	augustus_masked-flattened_line_175-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_175-processed-gene-0.8&CDS=1-1392
759	OG0000759	YCR068W	augustus_masked-flattened_line_123-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_123-processed-gene-0.0&CDS=1-1545
760	OG0000760	YCR077C	augustus_masked-flattened_line_46-processed-gene-0.201-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.201&CDS=1-2442
761	OG0000761	YCR079W	augustus_masked-flattened_line_30-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.49&CDS=1-1236
762	OG0000762	YCR084C	augustus_masked-flattened_line_14-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.19&CDS=1-1881
763	OG0000763	YCR086W	augustus_masked-flattened_line_14-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.20&CDS=1-1038
764	OG0000764	YCR087C-A	augustus_masked-flattened_line_14-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.3&CDS=1-450
765	OG0000765	YCR088W	augustus_masked-flattened_line_4-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.19&CDS=1-1938
766	OG0000766	YCR090C	augustus_masked-flattened_line_38-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.45&CDS=1-480
767	OG0000767	YCR091W	genemark-flattened_line_73-processed-gene-0.135-mRNA-1_1&gene=genemark-flattened_line_73-processed-gene-0.135&CDS=1-2316
768	OG0000768	YCR092C	augustus_masked-flattened_line_73-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_73-processed-gene-0.40&CDS=1-3837
769	OG0000769	YCR093W	maker-flattened_line_91-augustus-gene-0.70-mRNA-1_1&gene=maker-flattened_line_91-augustus-gene-0.70&CDS=1-6684
770	OG0000770	YCR095C	augustus_masked-flattened_line_8-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.20&CDS=1-1221
771	OG0000771	YCR098C	augustus_masked-flattened_line_79-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_79-processed-gene-0.29&CDS=1-1527
772	OG0000772	YDL001W	augustus_masked-flattened_line_6-processed-gene-2.167-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.167&CDS=1-861
773	OG0000773	YDL002C	augustus_masked-flattened_line_6-processed-gene-2.166-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.166&CDS=1-801
774	OG0000774	YDL003W	augustus_masked-flattened_line_14-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.8&CDS=1-1563
775	OG0000775	YDL004W	augustus_masked-flattened_line_14-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.28&CDS=1-480
776	OG0000776	YDL006W	augustus_masked-flattened_line_10-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.111&CDS=1-1059
777	OG0000777	YDL007W	maker-flattened_line_2-augustus-gene-3.122-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-3.122&CDS=1-1737
778	OG0000778	YDL008W	augustus_masked-flattened_line_32-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.65&CDS=1-375
779	OG0000779	YDL013W	augustus_masked-flattened_line_28-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.157&CDS=1-1020
780	OG0000780	YDL014W	augustus_masked-flattened_line_28-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.156&CDS=1-969
781	OG0000781	YDL015C	augustus_masked-flattened_line_105-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_105-processed-gene-0.81&CDS=1-939
782	OG0000782	YDL017W	augustus_masked-flattened_line_0-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.146&CDS=1-1728
783	OG0000783	YDL018C	augustus_masked-flattened_line_0-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.121&CDS=1-636
784	OG0000784	YDL020C	augustus_masked-flattened_line_129-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_129-processed-gene-0.61&CDS=1-1371
785	OG0000785	YDL028C	augustus_masked-flattened_line_40-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.76&CDS=1-2058
786	OG0000786	YDL029W	augustus_masked-flattened_line_40-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.32&CDS=1-1176
787	OG0000787	YDL030W	augustus_masked-flattened_line_2-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.130&CDS=1-1458
788	OG0000788	YDL031W	augustus_masked-flattened_line_115-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_115-processed-gene-0.94&CDS=1-2814
789	OG0000789	YDL033C	snap_masked-flattened_line_12-processed-gene-0.61-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.61&CDS=1-1275
790	OG0000790	YDL035C	augustus_masked-flattened_line_16-processed-gene-1.200-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.200&CDS=1-1896
791	OG0000791	YDL040C	augustus_masked-flattened_line_2-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.108&CDS=1-2286
792	OG0000792	YDL043C	augustus_masked-flattened_line_97-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_97-processed-gene-0.28&CDS=1-732
793	OG0000793	YDL045C	augustus_masked-flattened_line_97-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_97-processed-gene-0.25&CDS=1-819
794	OG0000794	YDL045W-A	augustus_masked-flattened_line_97-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_97-processed-gene-0.14&CDS=1-279
795	OG0000795	YDL046W	augustus_masked-flattened_line_111-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_111-processed-gene-0.70&CDS=1-540
796	OG0000796	YDL047W	augustus_masked-flattened_line_129-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_129-processed-gene-0.81&CDS=1-942
797	OG0000797	YDL051W	augustus_masked-flattened_line_46-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.211&CDS=1-873
798	OG0000798	YDL052C	augustus_masked-flattened_line_34-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.42&CDS=1-855
799	OG0000799	YDL054C	augustus_masked-flattened_line_83-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_83-processed-gene-0.35&CDS=1-1425
800	OG0000800	YDL055C	augustus_masked-flattened_line_83-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_83-processed-gene-0.34&CDS=1-1083
