	OrthologID	Lachancea_lanzarotensis	Saccharomyces_cerevisiae
545	OG0000545	snap_masked-LN736360.1-processed-gene-7.51-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.51&CDS=1-1719	YOR128C
546	OG0000546	augustus_masked-LN736360.1-processed-gene-7.95-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-7.95&CDS=1-1902	YDR380W
547	OG0000547	snap_masked-LN736360.1-processed-gene-7.52-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.52&CDS=1-2667	YOR129C
548	OG0000548	snap_masked-LN736360.1-processed-gene-7.50-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.50&CDS=1-633	YDR381W
549	OG0000549	snap_masked-LN736360.1-processed-gene-7.75-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.75&CDS=1-315	YDR381C-A
550	OG0000550	snap_masked-LN736360.1-processed-gene-7.76-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.76&CDS=1-846	YOR130C
551	OG0000551	snap_masked-LN736360.1-processed-gene-7.54-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.54&CDS=1-333	YDR382W
552	OG0000552	snap_masked-LN736360.1-processed-gene-7.78-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.78&CDS=1-873	YDR384C
553	OG0000553	snap_masked-LN736360.1-processed-gene-7.79-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.79&CDS=1-681	YOR131C
554	OG0000554	snap_masked-LN736360.1-processed-gene-7.55-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.55&CDS=1-1584	YOR132W
555	OG0000555	snap_masked-LN736360.1-processed-gene-7.57-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.57&CDS=1-1854	YDR386W
556	OG0000556	snap_masked-LN736360.1-processed-gene-7.80-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.80&CDS=1-1593	YDR387C
557	OG0000557	snap_masked-LN736360.1-processed-gene-7.58-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.58&CDS=1-1281	YDR388W
558	OG0000558	snap_masked-LN736360.1-processed-gene-7.59-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.59&CDS=1-1839	YDR389W
559	OG0000559	snap_masked-LN736360.1-processed-gene-7.81-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.81&CDS=1-1818	YDR390C
560	OG0000560	snap_masked-LN736360.1-processed-gene-7.60-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.60&CDS=1-1104	YOR136W
561	OG0000561	snap_masked-LN736360.1-processed-gene-7.82-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.82&CDS=1-1788	YOR138C
562	OG0000562	snap_masked-LN736360.1-processed-gene-7.83-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.83&CDS=1-2376	YOR141C
563	OG0000563	augustus_masked-LN736360.1-processed-gene-7.108-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-7.108&CDS=1-642	YPR151C
564	OG0000564	snap_masked-LN736360.1-processed-gene-7.84-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.84&CDS=1-303	YPR150W
565	OG0000565	snap_masked-LN736360.1-processed-gene-7.87-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.87&CDS=1-492	YGR133W
566	OG0000566	snap_masked-LN736360.1-processed-gene-7.62-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.62&CDS=1-843	YGR132C
567	OG0000567	snap_masked-LN736360.1-processed-gene-7.65-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.65&CDS=1-2373	YGR130C
568	OG0000568	snap_masked-LN736360.1-processed-gene-7.66-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.66&CDS=1-1104	YPR148C
569	OG0000569	snap_masked-LN736360.1-processed-gene-7.88-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.88&CDS=1-636	YGR129W
570	OG0000570	augustus_masked-LN736360.1-processed-gene-7.112-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-7.112&CDS=1-2772	YGR128C
571	OG0000571	snap_masked-LN736360.1-processed-gene-7.89-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.89&CDS=1-690	YGR126W
572	OG0000572	snap_masked-LN736360.1-processed-gene-7.90-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.90&CDS=1-3120	YGR125W
573	OG0000573	snap_masked-LN736360.1-processed-gene-7.91-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.91&CDS=1-1716	YPR145W
574	OG0000574	snap_masked-LN736360.1-processed-gene-7.69-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.69&CDS=1-1602	YPR144C
575	OG0000575	snap_masked-LN736360.1-processed-gene-7.70-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.70&CDS=1-1536	YGR123C
576	OG0000576	snap_masked-LN736360.1-processed-gene-7.92-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.92&CDS=1-822	YPR143W
577	OG0000577	snap_masked-LN736360.1-processed-gene-7.71-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.71&CDS=1-2166	YPR141C
578	OG0000578	snap_masked-LN736360.1-processed-gene-7.93-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.93&CDS=1-1206	YPR140W
579	OG0000579	snap_masked-LN736360.1-processed-gene-7.72-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.72&CDS=1-939	YPR139C
580	OG0000580	snap_masked-LN736360.1-processed-gene-7.94-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-7.94&CDS=1-1194	YGR122W
581	OG0000581	snap_masked-LN736360.1-processed-gene-8.98-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.98&CDS=1-1719	YPR137W
582	OG0000582	snap_masked-LN736360.1-processed-gene-8.99-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.99&CDS=1-2679	YPR135W
583	OG0000583	snap_masked-LN736360.1-processed-gene-8.94-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.94&CDS=1-753	YGR120C
584	OG0000584	snap_masked-LN736360.1-processed-gene-8.95-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.95&CDS=1-1725	YGR119C
585	OG0000585	augustus_masked-LN736360.1-processed-gene-8.6-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-8.6&CDS=1-849	YPR134W
586	OG0000586	snap_masked-LN736360.1-processed-gene-8.96-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.96&CDS=1-1107	YPR133C
587	OG0000587	augustus_masked-LN736360.1-processed-gene-8.3-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-8.3&CDS=1-1338	YGR117C
588	OG0000588	snap_masked-LN736360.1-processed-gene-8.102-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.102&CDS=1-588	YPR131C
589	OG0000589	snap_masked-LN736360.1-processed-gene-8.121-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.121&CDS=1-1017	YPR129W
590	OG0000590	snap_masked-LN736360.1-processed-gene-8.103-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.103&CDS=1-978	YPR128C
591	OG0000591	snap_masked-LN736360.1-processed-gene-8.122-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.122&CDS=1-1254	YPR125W
592	OG0000592	maker-LN736360.1-augustus-gene-8.91-mRNA-1_1&gene=maker-LN736360.1-augustus-gene-8.91&CDS=1-5451	YGR116W
593	OG0000593	snap_masked-LN736360.1-processed-gene-8.126-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.126&CDS=1-903	YGR113W
594	OG0000594	maker-LN736360.1-snap-gene-8.0-mRNA-1_1&gene=maker-LN736360.1-snap-gene-8.0&CDS=1-2148	YBR251W
595	OG0000595	snap_masked-LN736360.1-processed-gene-8.105-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.105&CDS=1-831	YPR065W
596	OG0000596	snap_masked-LN736360.1-processed-gene-8.128-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.128&CDS=1-999	YER016W
597	OG0000597	maker-LN736360.1-augustus-gene-8.93-mRNA-1_1&gene=maker-LN736360.1-augustus-gene-8.93&CDS=1-2538	YER015W
598	OG0000598	snap_masked-LN736360.1-processed-gene-8.131-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.131&CDS=1-1572	YER014W
599	OG0000599	snap_masked-LN736360.1-processed-gene-8.133-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.133&CDS=1-585	YER012W
600	OG0000600	augustus_masked-LN736360.1-processed-gene-8.13-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-8.13&CDS=1-1236	YIR008C
601	OG0000601	augustus_masked-LN736360.1-processed-gene-8.33-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-8.33&CDS=1-2235	YIR007W
602	OG0000602	snap_masked-LN736360.1-processed-gene-8.135-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.135&CDS=1-1674	YOL027C
603	OG0000603	augustus_masked-LN736360.1-processed-gene-8.15-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-8.15&CDS=1-645	YIR014W
604	OG0000604	snap_masked-LN736360.1-processed-gene-8.110-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.110&CDS=1-480	YIR015W
605	OG0000605	snap_masked-LN736360.1-processed-gene-8.136-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.136&CDS=1-399	YOL026C
606	OG0000606	snap_masked-LN736360.1-processed-gene-8.111-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.111&CDS=1-762	YOL038W
607	OG0000607	augustus_masked-LN736360.1-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-8.18&CDS=1-2538	YIR016W
608	OG0000608	augustus_masked-LN736360.1-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-8.36&CDS=1-798	YIR017C
609	OG0000609	snap_masked-LN736360.1-processed-gene-8.115-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.115&CDS=1-4335	YIR006C
610	OG0000610	snap_masked-LN736360.1-processed-gene-8.138-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.138&CDS=1-534	YIR005W
611	OG0000611	snap_masked-LN736360.1-processed-gene-8.116-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.116&CDS=1-711	YER010C
612	OG0000612	snap_masked-LN736360.1-processed-gene-8.139-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.139&CDS=1-1251	YIR004W
613	OG0000613	snap_masked-LN736360.1-processed-gene-8.140-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.140&CDS=1-1779	YIR003W
614	OG0000614	snap_masked-LN736360.1-processed-gene-8.141-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.141&CDS=1-375	YER009W
615	OG0000615	augustus_masked-LN736360.1-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-8.22&CDS=1-6729	YIR002C
616	OG0000616	snap_masked-LN736360.1-processed-gene-8.119-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.119&CDS=1-543	YER007C-A
617	OG0000617	augustus_masked-LN736360.1-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-8.41&CDS=1-1479	YER007W
618	OG0000618	snap_masked-LN736360.1-processed-gene-8.143-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.143&CDS=1-1572	YER006W
619	OG0000619	snap_masked-LN736360.1-processed-gene-8.120-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.120&CDS=1-1071	YPR086W
620	OG0000620	snap_masked-LN736360.1-processed-gene-9.45-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.45&CDS=1-1956	YER005W
621	OG0000621	snap_masked-LN736360.1-processed-gene-9.42-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.42&CDS=1-1287	YER003C
622	OG0000622	augustus_masked-LN736360.1-processed-gene-9.4-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-9.4&CDS=1-693	YER002W
623	OG0000623	snap_masked-LN736360.1-processed-gene-9.43-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.43&CDS=1-705	YEL001C
624	OG0000624	snap_masked-LN736360.1-processed-gene-9.48-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.48&CDS=1-1560	YIL001W
625	OG0000625	snap_masked-LN736360.1-processed-gene-9.44-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.44&CDS=1-2811	YIL002C
626	OG0000626	snap_masked-LN736360.1-processed-gene-9.50-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.50&CDS=1-1284	YEL002C
627	OG0000627	genemark-LN736360.1-processed-gene-9.126-mRNA-1_1&gene=genemark-LN736360.1-processed-gene-9.126&CDS=1-309	YEL003W
628	OG0000628	snap_masked-LN736360.1-processed-gene-9.51-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.51&CDS=1-891	YEL005C
629	OG0000629	snap_masked-LN736360.1-processed-gene-9.73-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.73&CDS=1-843	YIL003W
630	OG0000630	snap_masked-LN736360.1-processed-gene-9.74-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.74&CDS=1-2100	YIL005W
631	OG0000631	snap_masked-LN736360.1-processed-gene-9.75-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.75&CDS=1-1149	YIL006W
632	OG0000632	augustus_masked-LN736360.1-processed-gene-9.7-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-9.7&CDS=1-1434	YIL007C
633	OG0000633	snap_masked-LN736360.1-processed-gene-9.77-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.77&CDS=1-303	YIL008W
634	OG0000634	snap_masked-LN736360.1-processed-gene-9.54-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.54&CDS=1-1323	YPL259C
635	OG0000635	snap_masked-LN736360.1-processed-gene-9.78-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.78&CDS=1-1014	YIL010W
636	OG0000636	snap_masked-LN736360.1-processed-gene-9.79-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.79&CDS=1-1809	YPL260W
637	OG0000637	augustus_masked-LN736360.1-processed-gene-9.31-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-9.31&CDS=1-1008	YOR008C
638	OG0000638	maker-LN736360.1-augustus-gene-9.142-mRNA-1_1&gene=maker-LN736360.1-augustus-gene-9.142&CDS=1-1599	YMR010W
639	OG0000639	snap_masked-LN736360.1-processed-gene-9.81-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.81&CDS=1-2244	YOR017W
640	OG0000640	snap_masked-LN736360.1-processed-gene-9.58-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.58&CDS=1-1437	YHL021C
641	OG0000641	snap_masked-LN736360.1-processed-gene-9.59-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.59&CDS=1-1149	YHL022C
642	OG0000642	snap_masked-LN736360.1-processed-gene-9.60-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.60&CDS=1-630	YOR016C
643	OG0000643	snap_masked-LN736360.1-processed-gene-9.61-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.61&CDS=1-1224	YPR108W
644	OG0000644	snap_masked-LN736360.1-processed-gene-9.82-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.82&CDS=1-4221	YLR419W
645	OG0000645	snap_masked-LN736360.1-processed-gene-9.63-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.63&CDS=1-471	YDL064W
646	OG0000646	snap_masked-LN736360.1-processed-gene-9.83-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.83&CDS=1-1851	YDL063C
647	OG0000647	snap_masked-LN736360.1-processed-gene-9.84-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.84&CDS=1-285	YLR390W
648	OG0000648	snap_masked-LN736360.1-processed-gene-9.64-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.64&CDS=1-2892	YLR389C
649	OG0000649	maker-LN736360.1-snap-gene-9.41-mRNA-1_1&gene=maker-LN736360.1-snap-gene-9.41&CDS=1-3594	YDL060W
650	OG0000650	snap_masked-LN736360.1-processed-gene-9.85-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.85&CDS=1-2586	YLR386W
651	OG0000651	snap_masked-LN736360.1-processed-gene-9.67-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.67&CDS=1-408	YLR385C
652	OG0000652	snap_masked-LN736360.1-processed-gene-9.68-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.68&CDS=1-3966	YLR384C
653	OG0000653	snap_masked-LN736360.1-processed-gene-9.86-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.86&CDS=1-618	YDL059C
654	OG0000654	snap_masked-LN736360.1-processed-gene-9.69-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.69&CDS=1-5142	YDL058W
655	OG0000655	snap_masked-LN736360.1-processed-gene-9.87-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.87&CDS=1-3309	YLR383W
656	OG0000656	snap_masked-LN736360.1-processed-gene-9.70-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.70&CDS=1-2640	YLR382C
657	OG0000657	snap_masked-LN736360.1-processed-gene-9.88-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.88&CDS=1-2022	YLR381W
658	OG0000658	snap_masked-LN736360.1-processed-gene-9.89-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.89&CDS=1-1350	YLR380W
659	OG0000659	snap_masked-LN736360.1-processed-gene-9.71-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-9.71&CDS=1-1851	YDL057W
660	OG0000660	augustus_masked-LN736360.1-processed-gene-10.88-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-10.88&CDS=1-2280	YDL056W
661	OG0000661	augustus_masked-LN736360.1-processed-gene-10.89-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-10.89&CDS=1-1083	YDL055C
662	OG0000662	snap_masked-LN736360.1-processed-gene-10.65-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.65&CDS=1-1440	YLR378C
663	OG0000663	snap_masked-LN736360.1-processed-gene-10.66-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.66&CDS=1-1194	YDL054C
664	OG0000664	snap_masked-LN736360.1-processed-gene-10.47-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.47&CDS=1-1041	YLR377C
665	OG0000665	snap_masked-LN736360.1-processed-gene-10.68-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.68&CDS=1-921	YDL052C
666	OG0000666	snap_masked-LN736360.1-processed-gene-10.48-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.48&CDS=1-720	YLR376C
667	OG0000667	snap_masked-LN736360.1-processed-gene-10.49-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.49&CDS=1-831	YDL051W
668	OG0000668	snap_masked-LN736360.1-processed-gene-10.73-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.73&CDS=1-1137	YLR372W
669	OG0000669	snap_masked-LN736360.1-processed-gene-10.74-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.74&CDS=1-3882	YLR371W
670	OG0000670	snap_masked-LN736360.1-processed-gene-10.52-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.52&CDS=1-528	YLR370C
671	OG0000671	snap_masked-LN736360.1-processed-gene-10.76-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.76&CDS=1-1773	YLR368W
672	OG0000672	snap_masked-LN736360.1-processed-gene-10.53-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.53&CDS=1-1905	YGR068C
673	OG0000673	snap_masked-LN736360.1-processed-gene-10.54-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.54&CDS=1-1794	YGR065C
674	OG0000674	snap_masked-LN736360.1-processed-gene-10.78-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.78&CDS=1-324	YLR364W
675	OG0000675	snap_masked-LN736360.1-processed-gene-10.55-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.55&CDS=1-306	YGR063C
676	OG0000676	snap_masked-LN736360.1-processed-gene-10.56-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.56&CDS=1-939	YGR062C
677	OG0000677	snap_masked-LN736360.1-processed-gene-10.79-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.79&CDS=1-258	YLR363W-A
678	OG0000678	snap_masked-LN736360.1-processed-gene-10.57-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.57&CDS=1-4038	YGR061C
679	OG0000679	snap_masked-LN736360.1-processed-gene-10.80-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.80&CDS=1-927	YGR060W
680	OG0000680	snap_masked-LN736360.1-processed-gene-10.58-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.58&CDS=1-669	YLR363C
681	OG0000681	genemark-LN736360.1-processed-gene-10.37-mRNA-1_1&gene=genemark-LN736360.1-processed-gene-10.37&CDS=1-942	YGR058W
682	OG0000682	snap_masked-LN736360.1-processed-gene-10.60-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.60&CDS=1-969	YOR292C
683	OG0000683	snap_masked-LN736360.1-processed-gene-10.83-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.83&CDS=1-4395	YOR291W
684	OG0000684	snap_masked-LN736360.1-processed-gene-10.61-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.61&CDS=1-5205	YMR229C
685	OG0000685	snap_masked-LN736360.1-processed-gene-10.84-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.84&CDS=1-1044	YMR228W
686	OG0000686	snap_masked-LN736360.1-processed-gene-10.63-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.63&CDS=1-1749	YMR227C
687	OG0000687	snap_masked-LN736360.1-processed-gene-10.86-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.86&CDS=1-801	YMR226C
688	OG0000688	snap_masked-LN736360.1-processed-gene-11.39-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.39&CDS=1-2694	YGL008C
689	OG0000689	maker-LN736360.1-snap-gene-11.0-mRNA-1_1&gene=maker-LN736360.1-snap-gene-11.0&CDS=1-3555	YGL012W
690	OG0000690	snap_masked-LN736360.1-processed-gene-11.43-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.43&CDS=1-627	YBL006C
691	OG0000691	snap_masked-LN736360.1-processed-gene-11.62-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.62&CDS=1-738	YGL011C
692	OG0000692	snap_masked-LN736360.1-processed-gene-11.44-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.44&CDS=1-510	YGL010W
693	OG0000693	snap_masked-LN736360.1-processed-gene-11.45-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.45&CDS=1-3570	YBL007C
694	OG0000694	augustus_masked-LN736360.1-processed-gene-11.24-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-11.24&CDS=1-4854	YGL009C
695	OG0000695	snap_masked-LN736360.1-processed-gene-11.65-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.65&CDS=1-3168	YGL016W
696	OG0000696	snap_masked-LN736360.1-processed-gene-11.66-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.66&CDS=1-1641	YGL017W
697	OG0000697	snap_masked-LN736360.1-processed-gene-11.46-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.46&CDS=1-558	YGL018C
698	OG0000698	snap_masked-LN736360.1-processed-gene-11.67-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.67&CDS=1-750	YGL019W
699	OG0000699	snap_masked-LN736360.1-processed-gene-11.47-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.47&CDS=1-585	YGL020C
700	OG0000700	snap_masked-LN736360.1-processed-gene-11.68-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.68&CDS=1-1932	YBL009W
701	OG0000701	snap_masked-LN736360.1-processed-gene-11.48-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.48&CDS=1-747	YBL010C
702	OG0000702	snap_masked-LN736360.1-processed-gene-11.69-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.69&CDS=1-2175	YGL022W
703	OG0000703	snap_masked-LN736360.1-processed-gene-11.49-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.49&CDS=1-1659	YGL023C
704	OG0000704	snap_masked-LN736360.1-processed-gene-11.71-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.71&CDS=1-1137	YBL013W
705	OG0000705	snap_masked-LN736360.1-processed-gene-11.50-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.50&CDS=1-1077	YGL025C
706	OG0000706	snap_masked-LN736360.1-processed-gene-11.51-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.51&CDS=1-2127	YGL026C
707	OG0000707	snap_masked-LN736360.1-processed-gene-11.52-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.52&CDS=1-2688	YBL014C
708	OG0000708	snap_masked-LN736360.1-processed-gene-11.53-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.53&CDS=1-2415	YGL027C
709	OG0000709	augustus_masked-LN736360.1-processed-gene-11.15-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-11.15&CDS=1-1503	YGL028C
710	OG0000710	augustus_masked-LN736360.1-processed-gene-11.31-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-11.31&CDS=1-1413	YGL029W
711	OG0000711	snap_masked-LN736360.1-processed-gene-11.55-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.55&CDS=1-2580	YGR150C
712	OG0000712	snap_masked-LN736360.1-processed-gene-11.74-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.74&CDS=1-1209	YGR149W
713	OG0000713	snap_masked-LN736360.1-processed-gene-11.57-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.57&CDS=1-2130	YLL019C
714	OG0000714	snap_masked-LN736360.1-processed-gene-11.76-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.76&CDS=1-1419	YGL172W
715	OG0000715	snap_masked-LN736360.1-processed-gene-11.58-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.58&CDS=1-4506	YGL173C
716	OG0000716	snap_masked-LN736360.1-processed-gene-11.77-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.77&CDS=1-837	YGL174W
717	OG0000717	snap_masked-LN736360.1-processed-gene-11.59-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.59&CDS=1-1197	YGL175C
